-0.00405637+6.72547e-16j -0.00854676+3.02918e-16j -0.00373353-2.00897e-17j 0.0113342+2.86279e-17j -0.000448338-5.1727e-20j 0.00779828-2.66329e-17j 0.00793434-1.34941e-18j 0.0053737+7.68879e-18j 0.00455262+1.07408e-17j -0.00231142+6.65005e-19j -0.0023624-7.23175e-18j 0.0070271+3.19415e-17j -0.00210915-7.32077e-18j 0.00545352-3.70331e-18j -0.0028545+3.64015e-17j 0.00144544-4.15671e-17j 0.00129208-1.0555e-17j -0.00835442+1.42927e-16j -1.56731e-05+3.2797e-17j 0.00397675+6.93102e-17j 0.010266-3.32314e-17j -0.00551117-1.05548e-16j 0.000500583+4.79042e-17j 0.0038894-8.54558e-17j 0.00510009+1.56773e-17j -0.000802376-4.69476e-17j 0.000829365+2.53029e-17j 0.000396265+4.57235e-18j 0.000987372+5.70444e-17j 0.00136157+6.87414e-18j 0.00641265+2.3363e-16j 0.00392712+9.3397e-18j -0.00519188+7.42671e-17j 0.00242805-6.57973e-17j 3.3662e-05-5.25617e-17j 0.00399077+8.84635e-17j -0.00418112-7.06334e-17j -0.00872295-1.22824e-16j -0.00399561+1.06937e-16j 0.00209407+6.83317e-17j -0.000523509+1.25719e-16j 0.00325336+3.74772e-19j -0.00125984+1.06225e-17j -0.00163605-1.31933e-16j 0.00556897-7.80298e-16j -0.00250479-6.49967e-17j -0.00545624-1.46599e-16j -0.00217117-9.29877e-18j 0.0131959-1.29432e-15j -0.00886718-6.34331e-17j -0.00106288-1.24735e-17j -0.00278786-1.06081e-17j 0.00439023+5.87199e-18j -0.00581892-6.77565e-16j -0.000960353-1.06822e-17j 0.00175027+1.24635e-15j -0.00354596-1.73395e-17j 0.0104023-3.21519e-17j -0.0052782+3.21743e-17j -0.00448822+2.53304e-17j 0.00402693+1.04557e-17j -0.00671145+1.40926e-17j 0.00544625-3.83742e-18j 0.00630848-1.61248e-17j -0.00456662-7.22947e-18j -0.00841397+4.12603e-18j 0.00881142-2.89344e-18j -1.3859e-05-2.55582e-18j 0.0114533+3.05705e-17j 0.00411241+2.11321e-17j -0.00858817+2.19015e-16j 0.00421881-5.05609e-16j 
1.17546e-17+2.93131e-18j 2.42988e-17+6.22225e-18j 1.13387e-17+2.64697e-18j -3.475e-17-8.00342e-18j 1.11316e-18+3.42262e-19j -2.40856e-17-5.48926e-18j -2.52513e-17-5.51181e-18j -2.35881e-17-3.09588e-18j -1.95384e-17-2.6666e-18j 4.06191e-18+1.92927e-18j 4.65228e-18+1.92264e-18j -2.00756e-17-5.10635e-18j 7.23909e-18+1.41345e-18j -1.28098e-17-4.23499e-18j 1.52558e-17+1.37679e-18j 9.27245e-18-2.36676e-18j 5.79103e-18-1.87032e-18j 1.50374e-17+6.93822e-18j -1.21211e-17+1.20639e-18j 5.68213e-18-4.56385e-18j -3.39927e-17-7.00178e-18j 2.50873e-17+3.08708e-18j 1.28333e-18-6.30286e-19j -1.95939e-17-1.99311e-18j -2.37225e-18-4.90423e-18j 8.15005e-18+7.67331e-21j -5.85337e-18-2.60453e-19j 1.25803e-18-5.22723e-19j -8.1498e-18-1.94042e-19j -1.20455e-17-1.88306e-19j -1.70792e-17-4.78174e-18j -7.80471e-18-3.18911e-18j 2.13151e-17+3.136e-18j 4.56592e-18-2.89423e-18j 3.37883e-18-3.65796e-19j -2.48645e-17-1.57749e-18j -4.9354e-18+4.69636e-18j 2.37038e-17+6.45817e-18j 1.50047e-17+2.55087e-18j -1.36273e-18-1.97547e-18j -3.6584e-18+8.86673e-19j -8.54175e-18-2.43804e-18j 1.00151e-17+2.85275e-19j -1.49487e-17+3.11631e-18j -8.02781e-18-4.821e-18j 1.04985e-17+1.49181e-18j 1.06082e-17+4.45399e-18j 1.57142e-17+6.43446e-19j -4.35056e-17-9.01866e-18j 1.3581e-17+7.59778e-18j 6.69947e-18+4.12562e-19j 6.10807e-19+2.74817e-18j -1.09907e-17-3.34264e-18j 1.07919e-17+4.80127e-18j -4.97751e-19+1.01624e-18j -4.33266e-18-1.33744e-18j 8.88486e-18+2.69907e-18j -3.13344e-17-7.40022e-18j 1.09987e-17+4.23629e-18j 9.20937e-18+3.61632e-18j -1.12569e-17-2.95054e-18j 1.96985e-17+4.82544e-18j -1.35414e-17-4.15581e-18j -2.03849e-17-4.35211e-18j 1.79196e-17+2.83972e-18j 2.52966e-17+5.99048e-18j -2.58701e-17-6.33449e-18j 2.7938e-19-1.34825e-20j -3.40652e-17-8.19061e-18j -1.21437e-17-2.94953e-18j 2.41852e-17+6.27512e-18j -1.20831e-17-3.06267e-18j 
-0.00435455+7.22665e-16j -0.00914778+3.28385e-16j -0.00403823-2.01578e-17j 0.0122783+2.62404e-17j -0.000470465+1.61115e-19j 0.00845814-3.20918e-17j 0.0086491-4.67947e-18j 0.00623538+7.01748e-18j 0.0052567+9.72198e-18j -0.00232787+1.58419e-18j -0.00240836-7.3524e-18j 0.00752692+3.14422e-17j -0.00232981-6.69067e-18j 0.00568014-7.25317e-18j -0.00347091+3.53365e-17j 0.000768052-4.18763e-17j 0.000831964-1.07203e-17j -0.00843458+1.487e-16j 0.000691453+3.37281e-17j 0.00326742+5.67281e-17j 0.0112677-4.24321e-17j -0.00644704-1.29546e-16j 0.000378225+5.57332e-17j 0.00465985-1.04226e-16j 0.00475273+1.98761e-17j -0.00120046-5.67737e-17j 0.00109118+3.34763e-17j 0.000285308+7.5996e-18j 0.00136783+6.63541e-17j 0.0019332+8.66367e-18j 0.00679652+2.50917e-16j 0.00400767+1.07719e-17j -0.00593854+8.1826e-17j 0.00193112-7.70782e-17j -0.000166242-2.08532e-16j 0.00505839+9.81336e-17j -0.00349581-5.50662e-17j -0.00927256-1.25438e-16j -0.00448878+1.12468e-16j 0.00197408+9.11024e-17j -0.000260702+1.581e-16j 0.00344094-8.19817e-18j -0.00172295+9.13578e-18j -0.000610071-1.32148e-16j 0.00550622-8.02648e-16j -0.00287754-6.64838e-17j -0.00555444-1.52728e-16j -0.00287931-1.40759e-17j 0.0144725-1.4288e-15j -0.00881376-6.50813e-17j -0.00135172-1.22772e-17j -0.00255804-9.47411e-18j 0.00461216+3.53497e-18j -0.00589329-6.85628e-16j -0.000839962-4.72942e-18j 0.00183589+1.30544e-15j -0.00372566-1.62215e-17j 0.0112363-3.74541e-17j -0.00541607+3.72626e-17j -0.00459713+2.92963e-17j 0.00429894+9.84803e-18j -0.00721935+1.80332e-17j 0.00571615-6.55756e-18j 0.0068947-2.03232e-17j -0.00517514-6.42204e-18j -0.00908572+7.98022e-18j 0.00947872-6.69928e-18j -2.8804e-05-2.83598e-18j 0.0123462+2.81172e-17j 0.00442791+2.10019e-17j -0.00917864+2.38093e-16j 0.00452065-5.42932e-16j 
-5.97158e-17+6.94395e-19j -1.23866e-16+1.47398e-18j -5.71329e-17+6.27038e-19j 1.74814e-16-1.89592e-18j -5.82336e-18+8.1078e-20j 1.21014e-16-1.30034e-18j 1.26239e-16-1.30568e-18j 1.12582e-16-7.33378e-19j 9.35197e-17-6.31687e-19j -2.30196e-17+4.57022e-19j -2.56185e-17+4.5545e-19j 1.02248e-16-1.20964e-18j -3.57566e-17+3.34829e-19j 6.77838e-17-1.00322e-18j -7.11857e-17+3.26145e-19j -3.4931e-17-5.60659e-19j -2.07954e-17-4.43058e-19j -8.46887e-17+1.64358e-18j 5.05736e-17+2.85781e-19j -1.33043e-17-1.08112e-18j 1.68851e-16-1.65864e-18j -1.19203e-16+7.31295e-19j -4.04685e-18-1.49308e-19j 9.2013e-17-4.72145e-19j 2.3273e-17-1.16175e-18j -3.61356e-17+1.81772e-21j 2.66159e-17-6.16984e-20j -4.21465e-18-1.23827e-19j 3.66194e-17-4.59664e-20j 5.38676e-17-4.46075e-20j 8.81257e-17-1.13274e-18j 4.28833e-17-7.55463e-19j -1.02614e-16+7.42882e-19j -1.27024e-17-6.8561e-19j -1.40209e-17-8.6653e-20j 1.14288e-16-3.7369e-19j 9.65052e-18+1.11251e-18j -1.21843e-16+1.52987e-18j -7.31282e-17+6.04271e-19j 1.11789e-17-4.67967e-19j 1.39045e-17+2.10043e-19j 4.41951e-17-5.77544e-19j -4.51224e-17+6.75783e-20j 5.81339e-17+7.38219e-19j 4.81181e-17-1.14204e-18j -5.04042e-17+3.53392e-19j -5.85975e-17+1.0551e-18j -7.13089e-17+1.52425e-19j 2.16254e-16-2.13642e-18j -7.99511e-17+1.79983e-18j -3.07611e-17+9.77311e-20j -9.85739e-18+6.51009e-19j 5.74009e-17-7.91833e-19j -6.03152e-17+1.13737e-18j -4.38547e-19+2.40736e-19j 2.26794e-17-3.16824e-19j -4.63947e-17+6.39378e-19j 1.58108e-16-1.75303e-18j -5.97618e-17+1.00353e-18j -5.02194e-17+8.56665e-19j 5.75604e-17-6.9895e-19j -9.98461e-17+1.14309e-18j 7.08196e-17-9.84463e-19j 1.01656e-16-1.03096e-18j -8.67966e-17+6.72697e-19j -1.27685e-16+1.41908e-18j 1.31121e-16-1.50057e-18j -1.20295e-18-3.19385e-21j 1.72266e-16-1.94026e-18j 6.14876e-17-6.98711e-19j -1.23501e-16+1.4865e-18j 6.15132e-17-7.25511e-19j 
0.00790166-1.30692e-15j 0.0165625-5.88893e-16j 0.00736857+3.94852e-17j -0.0224299-5.60918e-17j 0.000839053+3.69631e-20j -0.015465+5.29872e-17j -0.0158722+2.83918e-18j -0.0119454-1.669e-17j -0.0100381-2.00442e-17j 0.00401663-5.43988e-19j 0.00419754+1.6281e-17j -0.0136355-6.24877e-17j 0.00431632+1.31309e-17j -0.0100715+9.8936e-18j 0.00684783-5.65609e-17j -0.000334366+6.79728e-17j -0.000759282+1.52275e-17j 0.0145834-2.50814e-16j -0.00221214-5.70089e-17j -0.00457496-8.73379e-17j -0.02078+7.34035e-17j 0.0124161+2.62634e-16j -0.00047117-1.08101e-16j -0.00911063+2.02384e-16j -0.00764782-4.90998e-17j 0.00263672+1.11652e-16j -0.00225152-6.9753e-17j -0.000328346-1.83781e-17j -0.00289822-1.27674e-16j -0.00414536-1.77992e-17j -0.0122145-4.64151e-16j -0.00699085-2.63518e-17j 0.0112694-1.45617e-16j -0.00259115+1.43314e-16j 0.000575233+5.83349e-16j -0.0102255-1.8522e-16j 0.00500154+8.03963e-17j 0.0167019+2.30686e-16j 0.00841486-1.96296e-16j -0.00321181-1.92894e-16j 6.57815e-05-3.16552e-16j -0.00617413+2.20703e-17j 0.00362726-1.29936e-17j -0.000442461+2.32637e-16j -0.00935323+1.40038e-15j 0.0054765+1.18903e-16j 0.00966949+2.78949e-16j 0.00596623+3.22451e-17j -0.0266759+2.62944e-15j 0.0150399+1.27831e-16j 0.00273763+2.1523e-17j 0.00405408+1.96001e-17j -0.00823286-8.74817e-18j 0.0102161+1.19642e-15j 0.001266+1.32085e-18j -0.00327318-2.32728e-15j 0.00665106+3.11071e-17j -0.0204827+5.84834e-17j 0.00948975-6.35961e-17j 0.00804305-4.94303e-17j -0.0077683-2.13732e-17j 0.0131197-2.78771e-17j -0.010196+7.64037e-18j -0.0126765+3.30397e-17j 0.00975947+1.50055e-17j 0.0165587-8.3911e-18j -0.0172263+5.49849e-18j 7.10925e-05+5.24632e-18j -0.022472-5.95558e-17j -0.00805262-4.11955e-17j 0.0166001-4.24657e-16j -0.00819187+9.79833e-16j 
-1.03015e-17+3.78093e-20j -2.18304e-17+8.02572e-20j -9.34269e-18+3.41418e-20j 2.82747e-17-1.03231e-19j -1.18833e-18+4.41464e-21j 1.94066e-17-7.08027e-20j 1.95459e-17-7.10936e-20j 1.15036e-17-3.99319e-20j 9.86501e-18-3.43949e-20j -6.57491e-18+2.48845e-20j -6.58603e-18+2.4799e-20j 1.79229e-17-6.58639e-20j -5.05498e-18+1.82312e-20j 1.46501e-17-5.46247e-20j -5.38188e-18+1.77584e-20j 7.27007e-18-3.05275e-20j 5.83091e-18-2.41242e-20j -2.36692e-17+8.9492e-20j -3.29291e-18+1.55606e-20j 1.46999e-17-5.88665e-20j 2.49366e-17-9.03119e-20j -1.15584e-17+3.98185e-20j 2.00228e-18-8.12969e-21j 7.65203e-18-2.5708e-20j 1.62695e-17-6.32568e-20j -4.80224e-19+9.89736e-23j 1.18377e-18-3.35943e-21j 1.64976e-18-6.7423e-21j 1.09345e-18-2.50284e-21j 1.29205e-18-2.42885e-21j 1.66875e-17-6.16769e-20j 1.09293e-17-4.11344e-20j -1.15087e-17+4.04494e-20j 9.2684e-18-3.7331e-20j 1.01501e-18-4.7182e-21j 6.57871e-18-2.03472e-20j -1.51776e-17+6.05756e-20j -2.25735e-17+8.33002e-20j -9.23111e-18+3.29021e-20j 6.57625e-18-2.54805e-20j -2.71332e-18+1.14367e-20j 8.49906e-18-3.14469e-20j -1.49777e-18+3.67959e-21j -9.41953e-18+4.01955e-20j 1.63114e-17-6.21833e-20j -5.49478e-18+1.92419e-20j -1.52478e-17+5.74495e-20j -2.99446e-18+8.29944e-21j 3.21041e-17-1.16326e-19j -2.57582e-17+9.79993e-20j -1.73151e-18+5.32139e-21j -9.07678e-18+3.5447e-20j 1.16123e-17-4.31148e-20j -1.64007e-17+6.19288e-20j -3.31609e-18+1.31079e-20j 4.64263e-18-1.72508e-20j -9.37711e-18+3.48137e-20j 2.60992e-17-9.54512e-20j -1.45532e-17+5.46414e-20j -1.24134e-17+4.66448e-20j 1.0337e-17-3.80573e-20j -1.69775e-17+6.22405e-20j 1.44304e-17-5.36033e-20j 1.54583e-17-5.61353e-20j -1.03443e-17+3.66279e-20j -2.11235e-17+7.72677e-20j 2.22874e-17-8.17049e-20j 2.8767e-20-1.73903e-22j 2.88524e-17-1.05646e-19j 1.03832e-17-3.80443e-20j -2.1998e-17+8.09391e-20j 1.07521e-17-3.95036e-20j 
0.00147426-2.36537e-16j 0.00308552-9.46714e-17j 0.00137994+1.38258e-17j -0.00420373-2.99547e-17j 0.000154706+8.36175e-19j -0.00290011-3.40947e-18j -0.00298373-1.28689e-17j -0.00230805-1.0738e-17j -0.00193566-1.01803e-17j 0.000723318+4.63265e-18j 0.000761451+7.83307e-18j -0.00254121-2.40964e-17j 0.000816475+5.82809e-18j -0.00184947-8.31372e-18j 0.00134675-6.43297e-18j 7.0828e-05+6.22602e-18j -4.73015e-05-1.99563e-18j 0.00263013-2.84336e-17j -0.000533133-7.33211e-18j -0.000683302-2.48391e-17j -0.00391904-2.87414e-18j 0.00240676+5.95736e-17j -6.08536e-05-2.24962e-17j -0.00178219+3.48393e-17j -0.00130412-2.2089e-17j 0.000549591+2.19346e-17j -0.000454221-1.47465e-17j -3.74479e-05-5.20915e-18j -0.000593073-2.51816e-17j -0.000853581-4.01571e-18j -0.00226405-9.87188e-17j -0.00126894-1.31135e-17j 0.00216464-1.95897e-17j -0.00036863+2.05104e-17j 0.000141727+1.3377e-16j -0.00203944-3.90878e-17j 0.000764421+2.33554e-17j 0.00310059+5.82926e-17j 0.00160391-2.97731e-17j -0.000552678-4.40053e-17j -3.89436e-05-6.07507e-17j -0.00114318-5.89742e-19j 0.000739741-1.31692e-18j -0.000277404+4.96782e-17j -0.00166483+2.43125e-16j 0.00105385+2.54001e-17j 0.0017526+6.2526e-17j 0.0012064+8.34029e-18j -0.00502919+4.74454e-16j 0.00268619+4.25641e-17j 0.000546594+4.87043e-18j 0.000682489+1.02859e-17j -0.00151892-9.62021e-18j 0.001846+2.28276e-16j 0.000203739+1.67267e-18j -0.00060338-4.32069e-16j 0.00122716+1.22272e-17j -0.00383336-7.31538e-18j 0.00172804-1.60833e-18j 0.00146307-4.28905e-19j -0.00144529-1.12202e-17j 0.00245029+6.51598e-18j -0.00188016-8.67646e-18j -0.00238596-4.33656e-18j 0.00186726+9.75808e-18j 0.0030985+1.29899e-17j -0.00321734-1.43929e-17j 1.56315e-05+9.60405e-19j -0.00420139-3.10392e-17j -0.00150467-1.48638e-17j 0.00309023-6.38576e-17j -0.001527+1.75089e-16j 
0.0076798-1.26879e-15j 0.0160117-5.74846e-16j 0.00725685+3.71685e-17j -0.0221491-5.01324e-17j 0.000781418-2.2881e-19j -0.0153032+5.58288e-17j -0.0158403+6.21109e-18j -0.0130783-1.6102e-17j -0.0109186-1.70398e-17j 0.00342099-9.1695e-19j 0.0036779+1.68728e-17j -0.0132-5.79943e-17j 0.00440159+1.08082e-17j -0.00924036+1.47699e-17j 0.00793479-4.15254e-17j 0.00214066+5.45401e-17j 0.00100859+1.06006e-17j 0.0124938-2.20424e-16j -0.00437855-4.92829e-17j -0.00129491-3.48258e-17j -0.0209739+8.40766e-17j 0.0137374+3.10114e-16j 4.28272e-05-1.19386e-16j -0.0103793+2.33567e-16j -0.00516054-6.32799e-17j 0.00362962+1.28584e-16j -0.00282024-8.79758e-17j 0.000121638-2.69662e-17j -0.00378554-1.40424e-16j -0.00551261-2.15694e-17j -0.0115961-4.57297e-16j -0.00613966-3.18428e-17j 0.0121014-1.44314e-16j -0.000393283+1.5604e-16j 0.00119584+1.04511e-15j -0.0123745-1.91906e-16j 0.00173781+1.85422e-17j 0.0159447+2.11893e-16j 0.00880615-1.80348e-16j -0.00225973-2.45725e-16j -0.00088404-3.7939e-16j -0.00583851+4.55413e-17j 0.00469115-5.14654e-18j -0.00403655+2.00061e-16j -0.0076051+1.24503e-15j 0.00591621+1.07027e-16j 0.00844496+2.61918e-16j 0.00752461+4.50035e-17j -0.0268915+2.66839e-15j 0.0123986+1.24011e-16j 0.00332373+1.79185e-17j 0.00257237+1.63756e-17j -0.00768456-3.86292e-18j 0.00881738+1.03733e-15j 0.000629539-1.86787e-17j -0.00304586-2.16122e-15j 0.00620958+2.59931e-17j -0.0201257+5.70735e-17j 0.00843631-6.52184e-17j 0.00712179-5.02568e-17j -0.00747464-2.0037e-17j 0.0127971-3.03556e-17j -0.00949929+1.00347e-17j -0.012706+3.6291e-17j 0.0103438+1.38307e-17j 0.0162613-1.2031e-17j -0.0168042+8.93347e-18j 0.000112914+5.37294e-18j -0.0220014-5.30709e-17j -0.00786805-3.83346e-17j 0.0160055-4.14461e-16j -0.0079358+9.49078e-16j 
-0.0106934+1.7645e-15j -0.0223897+7.89686e-16j -0.00999908-5.64846e-17j 0.0304541+8.49197e-17j -0.00112578-4.13312e-19j 0.0210066-6.59053e-17j 0.021598+2.23964e-18j 0.0165846+2.65218e-17j 0.0139161+2.98483e-17j -0.00529802-1.6265e-18j -0.00556597-2.47973e-17j 0.018438+9.03305e-17j -0.00590019-1.90249e-17j 0.0134734-9.42963e-18j -0.00963207+7.09439e-17j -0.000250734-8.56669e-17j 0.000529401-1.70119e-17j -0.0192566+3.23875e-16j 0.00362931+7.38569e-17j 0.00529245+1.09768e-16j 0.0283434-9.39929e-17j -0.0172791-3.75028e-16j 0.000494812+1.51186e-16j 0.0127643-2.81847e-16j 0.00970169+7.71721e-17j -0.00387259-1.56833e-16j 0.00322724+1.00487e-16j 0.000318641+2.8138e-17j 0.00419847+1.77689e-16j 0.0060331+2.5547e-17j 0.0164514+6.36032e-16j 0.00927398+4.15278e-17j -0.0155785+1.93838e-16j 0.00290051-1.95015e-16j -0.000960081-9.25355e-16j 0.014533+2.56072e-16j -0.00587781-9.78241e-17j -0.0225206-3.16956e-16j -0.0115669+2.59402e-16j 0.00410074+2.80191e-16j 0.000181353+4.47713e-16j 0.00830922-3.36133e-17j -0.00524129+1.50846e-17j 0.00162741-3.11397e-16j 0.0122341-1.85587e-15j -0.00758066-1.6039e-16j -0.012814-3.80591e-16j -0.0085664-4.83596e-17j 0.0363758-3.57905e-15j -0.0197207-1.8267e-16j -0.00389394-2.88005e-17j -0.00509628-2.92855e-17j 0.0110511+1.48011e-17j -0.0135084-1.58949e-15j -0.0015419+2.60319e-18j 0.004391+3.12252e-15j -0.00892827-4.43484e-17j 0.0277816-6.97248e-17j -0.0126181+8.16059e-17j -0.0106864+6.28897e-17j 0.0104914+3.24973e-17j -0.0177681+3.247e-17j 0.0136813-5.75593e-18j 0.0172652-4.03252e-17j -0.0134524-2.37329e-17j -0.0224568+4.78102e-18j 0.0233301-3.43783e-19j -0.000108707-7.16073e-18j 0.0304572+8.97254e-17j 0.0109095+5.90456e-17j -0.0224284+5.67139e-16j 0.0110787-1.32116e-15j 
-1.13539e-16+6.59094e-18j -2.33873e-16+1.39905e-17j -1.10445e-16+5.95161e-18j 3.3904e-16-1.79954e-17j -1.04216e-17+7.69562e-19j 2.35289e-16-1.23424e-17j 2.47919e-16-1.23931e-17j 2.42083e-16-6.96095e-18j 1.99999e-16-5.99574e-18j -3.45508e-17+4.33789e-18j -4.10397e-17+4.32297e-18j 1.93401e-16-1.14814e-17j -7.19259e-17+3.17807e-18j 1.18413e-16-9.52221e-18j -1.59766e-16+3.09564e-18j -1.1348e-16-5.32157e-18j -7.28777e-17-4.20535e-18j -1.28951e-16+1.56003e-17j 1.38696e-16+2.71253e-18j -8.54546e-17-1.02616e-17j 3.35879e-16-1.57432e-17j -2.5852e-16+6.94118e-18j -1.72532e-17-1.41717e-18j 2.04047e-16-4.48142e-18j 8.70417e-19-1.10269e-17j -8.90716e-17+1.72531e-20j 6.26682e-17-5.85618e-19j -1.64269e-17-1.17532e-18j 8.81162e-17-4.36296e-19j 1.3074e-16-4.23397e-19j 1.62299e-16-1.07515e-17j 6.90342e-17-7.17057e-18j -2.17025e-16+7.05116e-18j -6.47162e-17-6.50755e-18j -3.88131e-17-8.22478e-19j 2.638e-16-3.54693e-18j 7.79673e-17+1.05596e-17j -2.26161e-16+1.45209e-17j -1.5102e-16+5.73551e-18j 4.80239e-18-4.44177e-18j 4.45322e-17+1.99365e-18j 8.09318e-17-5.48183e-18j -1.08044e-16+6.41428e-19j 1.79374e-16+7.0069e-18j 6.31323e-17-1.08398e-17j -1.07163e-16+3.35426e-18j -9.32212e-17+1.00146e-17j -1.68526e-16+1.44676e-18j 4.29583e-16-2.02781e-17j -1.09656e-16+1.70833e-17j -7.11417e-17+9.27628e-19j 7.36844e-18+6.17914e-18j 1.03084e-16-7.51579e-18j -9.34548e-17+1.07955e-17j 1.06367e-17+2.28498e-18j 4.05361e-17-3.00717e-18j -8.33491e-17+6.06874e-18j 3.04778e-16-1.66391e-17j -9.86043e-17+9.52511e-18j -8.22088e-17+8.13114e-18j 1.07999e-16-6.63417e-18j -1.90714e-16+1.08498e-17j 1.26816e-16-9.34416e-18j 2.00638e-16-9.78553e-18j -1.81414e-16+6.38499e-18j -2.45968e-16+1.34693e-17j 2.5048e-16-1.42428e-17j -3.12359e-18-3.03148e-20j 3.30596e-16-1.84162e-17j 1.17701e-16-6.63191e-18j -2.32361e-16+1.41093e-17j 1.16459e-16-6.88628e-18j 
-0.0172796+2.85099e-15j -0.0358671+1.29564e-15j -0.0165046-8.24011e-17j 0.0504837+1.07726e-16j -0.00169492+8.7512e-19j 0.0349383-1.31548e-16j 0.0364091-1.82701e-17j 0.0321524+3.7195e-17j 0.0267249+3.48287e-17j -0.00680072+2.0442e-18j -0.00752928-4.06487e-17j 0.0296021+1.2736e-16j -0.0102869-2.12323e-17j 0.0197728-4.11779e-17j -0.0202285+6.79364e-17j -0.00939448-1.00411e-16j -0.00551218-1.53373e-17j -0.0249918+4.49945e-16j 0.0139895+9.9051e-17j -0.00293806-1.28383e-17j 0.0486345-2.10132e-16j -0.0340098-8.00789e-16j -0.00102614+2.95452e-16j 0.0261842-5.93211e-16j 0.00739178+1.73149e-16j -0.0101477-3.26578e-16j 0.00751887+2.35517e-16j -0.00109206+7.77781e-17j 0.0103161+3.46357e-16j 0.0151581+5.65316e-17j 0.02558+1.04222e-15j 0.0125983+8.44381e-17j -0.0293606+3.28677e-16j -0.00306083-3.81081e-16j -0.00387293-3.23913e-15j 0.0323659+4.54464e-16j 0.00188897+6.71332e-17j -0.0353404-4.5637e-16j -0.0209791+3.85428e-16j 0.00348409+6.61789e-16j 0.00374921+9.86462e-16j 0.0128354-1.46263e-16j -0.0127195-2.42207e-18j 0.0157785-4.02977e-16j 0.0143534-2.58405e-15j -0.0144134-2.25533e-16j -0.0172317-5.73945e-16j -0.0201349-1.26874e-16j 0.062297-6.20981e-15j -0.0237769-2.81511e-16j -0.00870934-3.49046e-17j -0.00324808-3.2934e-17j 0.0167015+1.35889e-18j -0.0177747-2.10282e-15j -0.000300738+7.8702e-17j 0.00660177+4.67628e-15j -0.0134986-5.16462e-17j 0.0456877-1.26009e-16j -0.0175205+1.51445e-16j -0.0147328+1.15803e-16j 0.0166777+4.48478e-17j -0.0288786+7.25049e-17j 0.0206114-2.58285e-17j 0.0293041-8.77452e-17j -0.0248674-3.0809e-17j -0.0368989+3.19683e-17j 0.037924-2.43358e-17j -0.000335413-1.25926e-17j 0.0498011+1.13615e-16j 0.0177803+8.42197e-17j -0.0357737+9.33342e-16j 0.0178072-2.12823e-15j 
