0.226809+0.0483292j 0.0483153-0.22737j -0.272052-0.0834388j -0.0844777+0.282364j 0.161262+0.08844j 0.112405-0.191943j 0.0457332-0.0955408j 0.145299-0.0324903j -0.183054-0.027708j -0.0719595-0.0710226j -0.0376684-0.0904362j -0.00994005-0.0545164j -0.0480954+0.0153266j -0.0687706-0.0488721j 0.0708994+0.0506682j 0.0466836+0.0529653j -0.057145+0.0522922j -0.0307662+0.00788377j -0.00749884-0.0239567j -0.0190258-0.121558j 0.062282+0.00152831j -0.0282323+0.0191164j 0.00922328+0.0238855j 0.058583+0.0652028j 0.0271432+0.0837166j 0.0214391-0.0192426j 0.00081174-0.0124006j -0.0194478-0.0724343j -0.0387738-0.0471383j -0.0265226-0.0206739j 0.00812679+0.0249613j 0.0311977-0.0223438j 0.0184316-0.00735325j 0.038686-0.0161027j -0.0626369-0.0179116j -0.0454742-0.0412517j 0.032297+0.0269068j 0.0464546+0.0206438j 0.0190661-0.0301398j 0.0078401+0.0126753j -0.0308343+0.0615799j 0.0210269-0.130657j 0.0027704-0.0348436j 0.0320465-0.0784799j -0.016202+0.0112496j 0.0199526-0.0467394j 0.000351988-0.00305241j 0.00580954-0.0228453j -0.00614638+0.00126157j -0.0148663-0.0282413j -0.00969772+0.0089026j 0.00284057-0.0035776j -0.0184524+0.0326965j -0.0292249-0.0277686j -0.00708379+0.120013j 0.0260384-0.0259145j -0.0115626+0.0905252j 0.0833402-0.0480821j -0.0780572+0.0349157j -0.0292695-0.0135702j -0.0758586+0.031412j 0.0553367-0.0270256j -0.0537344+0.0415762j -0.111372+0.0230554j 0.0466065-0.0429981j -0.0999009+0.0264183j 0.0999514+0.0395734j 0.0740083+0.0119784j 0.117377+0.13138j 0.0212222-0.17036j -0.0539363+0.070508j 0.0993276-0.0879634j 0.152338+0.0650417j 0.0136161-0.226121j -0.215601-0.011353j -0.0228613-0.186233j 0.186024-0.022862j 
0.0455694-0.0212202j -0.0213279-0.0453747j -0.00472918+0.0147624j 0.0157907+0.00232483j -0.00173449-0.0155584j -0.0194751+0.0105077j 0.0151801+0.026581j -0.0292458+0.0329377j 0.0425121+0.00421875j 0.00215177+0.00303588j -0.00339019-0.0095678j 0.0132426-0.0107695j -0.00407434+0.0146113j 0.0358661+0.00856671j -0.00996814-0.0205064j -0.0121387-0.00991792j -0.00248472+0.00400239j -0.000228729+0.00642973j -0.00158493+0.0100541j 0.00376529+0.00627993j 0.00287435-0.00566861j -0.00436245+1.78125e-05j -0.000290265-0.00775693j -0.0217328-0.0222191j -0.0107431-0.0241542j 0.00933429+0.00404938j 0.00479557-0.0106699j 0.00749465+0.014079j -0.00377554-5.03887e-05j -0.00474758+0.00208445j 0.00368141+0.00606518j 0.00184103-0.0037729j 0.000530827-0.00503767j -0.00246013-0.00257225j -0.00370738+0.00340345j 0.00348544+0.00860922j 0.0106461-0.0109383j 0.00297259-0.00363039j 0.00863169+0.00201232j 0.00226816-0.000323412j -0.00268636-0.00824208j -0.000316661+0.0227648j 0.00218387+0.0129257j 0.000924303+0.0165868j 0.00129111-0.0105802j -0.00198144+0.020651j 0.00296847-0.00130498j -0.0075767+0.0168277j 0.00199619-0.00652611j -0.00951583+0.0109364j -0.0104615-0.0051857j 0.00356273-0.000160665j 0.00793661-0.00859286j -0.00688417+0.003009j 0.0108664-0.00828672j 0.00282002+0.00127168j 0.00891661+0.00182911j 0.00207879+0.00816311j 0.00375941-0.0168923j -0.00252794-0.00738062j 0.018304-0.0133551j -0.0183343+0.00234881j 0.00591573-0.00679311j 0.0233968-0.00702839j -0.00968293-0.0159113j -0.00402343+0.00976207j -0.00551329+0.00616839j 0.00618356+0.00712196j -0.0230461-0.00759599j -0.0074648+0.0171163j 0.00527126+0.0151269j 0.0167819+0.00421066j -0.00618856+0.0109665j 0.0153428-0.0118413j -0.0121767-0.0150133j 0.0218711-0.0450645j 0.0450141+0.0218896j 
0.0146513+0.00181559j 0.00188288-0.0143683j -0.00569874+0.00223695j 0.00226021+0.00440197j 0.00338557-0.00336048j -0.00344757+0.000117759j 0.00615119+0.00815778j -0.00656169+0.00903642j 0.0077704-0.000130824j -0.00275833-0.000558647j -0.00397462-0.00554183j 0.00363608-0.00377507j 0.00046307+0.00303815j 0.00792194+0.00124482j -0.00315152-0.00622625j -0.00133675+0.00090406j 0.000750609+0.00235151j -0.000316852+0.00241799j -0.00107702+0.00276687j 0.000831615-0.00286369j 0.000112477-0.000750182j -0.000612753+0.000451124j -0.000100438-0.00185694j -0.00514213-0.00262804j -0.00295975-0.00607519j 0.00240496+3.68599e-06j 0.0029436-0.0035765j 0.00161317+0.00124396j -0.00110202-0.00212864j -0.00122342+0.00184877j 0.000191835+0.00275859j 0.00154593-0.00251359j 0.000265364-0.00151379j -6.71822e-05-0.00239345j -0.000849291+0.000841942j 0.00209113-0.000595376j 0.00372425-0.00314142j 0.000912425-0.00219357j 0.00361611-0.000310701j 0.00198691-0.00140591j -0.00190916-0.00020008j 0.000479224+0.00260961j 0.00015924+0.00374718j 0.0015299+0.00105343j 0.000431025-0.00175288j -0.000724706+0.00358851j 0.00124825-0.000129496j -0.00217985+0.00340402j 0.00069768-0.00196505j -0.00261216+0.00221888j -0.00337572-0.00108392j 0.00258193-0.000734787j 0.00103143-0.000809336j -0.00314551+0.000499749j 0.000221144-0.00109678j 0.00223842-0.000918801j 0.00370503+0.00179718j 0.00227463+0.00142613j 0.000237911-0.00412522j -0.0023163-0.00275705j 0.00294903-0.0014522j -0.00303944-0.000820148j -4.89408e-05-0.0001455j 0.00228593-0.00171648j -0.000244678-0.00684443j -0.0042248+0.0017043j -0.0016668+0.00154742j 0.00366137+0.00108632j -0.00294726-0.000646095j -0.00216128-0.0003287j -0.00228781+0.00485446j 0.00619673+0.00162925j 0.00121952+0.00474625j 0.00467707-0.00857752j -0.00845026-0.00423355j -0.00420969-0.00548383j 0.00552525-0.00423618j 
0.0193415+0.00966359j 0.00968861-0.0191716j 0.00179282+0.00844512j 0.00799276-0.00316088j -0.00152015-0.00557455j -0.00212741+0.00541065j 0.00649677+0.00526649j -0.000805255+0.00637102j 0.00190048-0.00709845j -0.00284025+0.00253803j -0.0114082+0.00231385j 0.000173167-0.00820678j 0.00696223-0.00741272j 0.000961798-0.0066656j -0.0157456+0.00056418j 0.00558832+0.00268226j 0.00844458+0.0008491j 0.00173337+0.0022023j 0.000743275+0.00318747j -0.00214353-0.00852649j -0.00173312-0.00143973j 0.00350226+0.000769036j -0.0059293-0.00165238j -0.000396392+0.0058581j -0.0111098-0.00308864j -0.00223491-0.00495232j 0.00126909-0.00511337j 0.002961-0.00272846j 0.000796838-0.00125997j 0.00595315+0.00486245j 0.000100777+0.00192087j -0.00318814-0.00634084j -0.00252742-0.00230766j -0.00143702-0.00448079j 0.00466401+0.00489711j -0.00031518-0.00690935j -0.00290644-0.0079545j -0.00277613-0.0056131j 0.00127623-0.00372031j -0.00296064-0.00899704j -0.00248924+0.00354673j 0.00643078-0.000257268j 0.00323328+0.00267967j 0.00332242-0.00740726j 7.36336e-05+0.00123409j 0.00125942-0.00142057j 0.00266975-0.00122645j -0.000253801+0.00175676j -0.000473799-0.000619088j -0.0012258+0.00424457j -0.000685056+0.00701832j 0.00154752-0.00518915j -0.00233908+0.00140188j -0.00385615+0.00604004j -0.00581911+3.27911e-05j 0.00433086-0.00266479j 0.00583653-0.0105773j 0.00506269-0.000268876j -0.00396245+0.000467916j -0.00608137+0.00438918j -0.00100164+0.00114151j 0.000341656+0.0029157j 0.000364267+0.00120575j -0.00961026+0.000202565j -0.00698992-0.00219797j -0.00412794-0.00195563j 0.000767897+0.00332091j 0.000720986-0.00457866j 0.0078137+0.0014074j -0.00326882-0.00768725j -0.0022737+0.00217711j -0.0011664-0.00235257j 0.00450752-0.003061j -0.0063281-0.00233699j -0.00222361+0.00592663j 0.0129062+0.0263298j -0.0262493+0.0129797j 
-0.0165143-0.0165807j -0.016812+0.0164463j -0.0148351+0.00219058j 0.00388426+0.0156663j -0.00377995+0.00988492j 0.00406352+0.0038503j -0.0294508-0.00475136j 0.000808545-0.0252969j -0.00215784-0.00181903j 0.00728813-3.67008e-05j 0.0154807-0.00180605j -0.00327162+0.00388181j -0.00836966+0.00254251j 0.00428728+0.013132j 0.00510084+0.00817353j -0.00745264-0.00983092j -0.00864604+0.00717783j 0.00680484-0.00311153j -0.0037954-0.00860859j 0.00665487+0.0111168j 0.00179062-0.00322298j -0.00556757+0.000315368j -0.000474463+0.00516757j 0.00372436-0.0149311j 0.00718346+0.00173823j 0.00166035+0.00694624j -0.00775606+0.00942438j 0.00157598+0.00917596j 0.000605671+0.00603691j -0.00104558-0.00404165j 0.000931804-0.000941876j 0.00288281+0.00288934j -0.00033296+0.00315216j 0.00565755+0.0069277j -0.00645214-0.000118894j -0.00883338+0.00528203j -0.00317657+0.00867373j 0.00534196+0.00351883j -0.00558075+0.00256263j 0.000346487+0.00758499j 0.00132815-0.00458629j -0.00326004+0.00507477j -0.00632295-0.0016649j -0.00663897+0.0131111j 0.0021372-0.00166273j -0.00360701+0.00380758j -0.00761709+0.00238123j 0.00168726-0.000381311j -0.00356415+0.00275663j -9.64542e-05-0.00229823j 0.00610942+0.0019765j -0.00718284+0.00249552j -0.00202152-0.00302283j 0.000482495-0.00585903j 0.00837234+0.00262134j -0.00886206+0.00293732j -0.00974075+0.00423564j -0.00627368+0.00333136j 0.00574824+0.00327885j 0.00721949+0.000869723j -0.00300548-0.00677294j -0.00453837+0.00394573j 0.00132954+0.00401909j 0.00483148+0.00271079j -0.000157214+0.0133423j 0.00609246+0.00112337j 0.00291534+0.000903677j -0.00651553+0.00011421j -0.00639653+0.00615552j 0.0213085+0.00960035j 0.0105829-0.0176049j -0.00332663-0.00674081j 6.04621e-05+0.0100301j 0.022035+0.00143206j 0.00127096-0.0208688j -0.00661143-0.0184532j 0.0183985-0.00662563j 
0.0135984-0.00584286j -0.00573794-0.013443j -0.00589361+0.0284136j 0.0282847+0.00453486j -0.00597621+0.00519208j 0.00910357+0.012978j -0.0227725+0.0182277j -0.0133476-0.0211971j -0.00840907-0.0131997j 0.0063333+0.00390415j -0.00336307+0.00351772j -0.0065038-0.00786609j -0.00204785-0.0126637j 0.0100287-0.000391613j -0.017462+0.020055j -0.000788024-0.00688601j 0.0104309+0.00740736j 0.0108547-0.00602838j -0.00589888-0.00257435j 0.00291057-0.00394469j -0.00360279-0.00591822j 0.000692758+0.00196185j -0.0102684+0.00829321j 0.000923495-0.00743221j -0.0124483-0.000653386j -0.00268484-0.0002483j -0.00554793+0.00684961j 0.00985849+0.00266696j 0.00380358+0.00313507j 0.00940435+0.000254231j 0.0022834+0.0017958j -0.00532618-0.0065248j -0.00585747+0.00197018j 0.00566608-0.0028486j 0.00491244+0.00886877j -0.0132866-0.00125043j -0.010384+0.000739286j 0.000619857-0.00816545j -0.00537854+0.00154014j -0.00743216-0.00522914j -0.00241927+0.000101606j 0.00952117+0.00347397j -0.00171041+0.00477623j -9.65284e-05+0.00295901j 0.00236529-0.000407468j -0.000584537+0.00253463j -0.00370256+0.0026911j 0.00322285+0.00228961j -0.00352178+0.00372112j 0.000395276+0.00604914j 0.0135682+0.0118546j -0.00731793-0.00238239j -0.0081082+0.00133531j -0.0054984+0.00521565j 0.00225209+0.00293218j -0.000987496-5.00365e-06j -0.00539085-0.0126551j 0.00240532+0.00463527j 0.00376374+0.00463719j 0.00177733+0.00842407j -0.00876813-0.00285107j -0.00010879+0.0132068j 0.00574579+0.00632905j -0.00884874+0.00823887j -0.00710635+0.0173614j 0.00170297-0.00382299j 0.00571733+0.00442145j -0.0120132-0.00538103j 0.0119617+0.00843186j 0.0217778-0.0159829j -0.00555478-0.0247786j -0.014723-0.0066173j 0.012062+0.000921352j 0.0151788-0.0137265j -0.0129143-0.0146924j 0.0188276+0.0089274j -0.00889835+0.0188252j 
0.0152159-0.00440352j -0.00405996-0.0155419j 0.00839126+0.00235969j 0.000905127-0.0073605j -0.00513765-0.00181624j 0.00283489+0.00265607j 0.0059097-0.00248228j 0.00133469+0.00233876j -0.00438306-0.00166594j 0.00252226+0.00538075j -0.00214891+0.0116475j -0.00356088-0.00360539j -0.00494999-0.00995591j -0.00438324-0.00292261j -0.00700815+0.0103072j 0.0060918-0.00407342j 0.00304021-0.00680574j 0.000963577-0.00012712j 0.00295022+0.000298624j -0.00790203+0.000190624j -6.99123e-05+0.00037625j 0.0017768-0.00310985j -0.00442193+0.00441314j 0.00602371+0.00298378j -0.00724149+0.00486722j -0.0049377+2.17165e-05j -0.00295409-0.000934103j -0.00214525-0.00182655j -0.00300116-0.000552761j 0.00409889-0.00070864j 0.00202277+0.00076023j -0.00420513+0.000519282j -0.00404416+0.00170543j -0.0037135-0.00190417j 0.0044886-0.00208331j -0.00465401-0.00357055j -0.00654436+9.27172e-05j -0.00362963-0.00197478j 0.000323877+0.00122622j -0.00630084-0.00155729j 0.000395812+0.00067935j 0.00135932-0.00239738j 0.00241724+0.000159111j -0.00520507-0.00509027j 0.000799839+0.0010694j -0.000927539-0.00165738j 9.4085e-05-0.0025005j 0.00213836+0.00096822j -0.00134024-0.00140064j 0.00299195+0.00163687j 0.00426379+0.00236849j -0.00178377-0.00381425j -0.000850114+0.00160442j 0.0013322+0.0028476j -0.00121223+0.0041706j 0.000501394-0.00573412j -0.00297524-0.00810462j 0.00080306-0.00126938j 0.00114401+0.00104399j 0.000360148+0.00371952j 0.000712678+0.00145854j 0.00142009+0.000995893j 0.0010583+0.00106388j -0.0030899+0.00526508j -0.00520894+0.0019537j -0.00139611-0.000406227j -0.00136059+0.00260539j -0.00399746-0.00271278j 0.00347144-0.00397902j -0.00508995-0.00247928j -0.00399104+0.00259965j -0.00168673+0.00341821j -0.00210986-0.00422547j 0.00105507+0.00195757j 0.00196503-0.00148568j 0.00892984-0.000353433j 0.000245892+0.00885078j 
0.00368542-0.00521623j -0.0052596-0.00368559j 0.000581595-0.00136076j -0.00124559-0.000372303j -0.00148847+0.000403521j 0.000608684+0.000244711j 0.00122299-0.00146375j 0.000640756+0.000793918j -0.000182037+0.000589383j 0.0015704-0.000105902j 0.00224075+0.00301828j -0.00206155-0.000567867j -0.00363377-0.000759135j -0.00133336+0.00153017j 0.000527139+0.00365529j -8.8391e-05-0.00247006j -0.00112174-0.001861j 0.000627389+0.000365204j 0.00073378-0.000514463j -0.00177025+0.0019784j -0.000393232+0.00017068j -0.000499376-0.00124445j -0.000121553+0.00208328j 0.00154676-0.00161088j -0.000510804+0.00233937j -0.00100584+0.00143825j -0.00113645-0.000337932j -0.00107261+0.000360241j -0.000787252+0.000284748j 0.000868347-0.00139938j 0.00054064+0.000274444j -0.00064633+0.00102484j -0.000523626+0.00121205j -0.00124517+0.00049646j 0.000311709-0.00178867j -0.00188752+0.000407961j -0.00148954+0.00107747j -0.00124861+0.000434576j 0.000143423-0.000162957j -0.00173583+0.0016057j 0.000334499+0.000305802j -0.000589263-0.00101992j 0.000389916-0.000545846j -0.00268452+0.000600635j 0.000649917-0.000339417j -0.00110756+0.00058797j -0.000850984-0.000915214j 0.000222496+0.000470349j -0.000436734-0.000396525j 0.000768214+0.000242198j 0.00162556-0.000472679j -0.00128678-0.000617268j 0.000598667+0.000194176j 0.00118687+0.000522551j 0.0008269+0.00109189j -0.00120577-0.0017205j -0.00309918-0.000907121j -8.84489e-05-0.000948434j 0.000877903-6.60942e-05j 0.00109034+0.000937339j 0.00148715-0.000414766j -0.000227418-0.000364249j 0.000305436-1.00713e-05j 0.00140443+0.00228589j -0.000862075+0.00136774j -0.00132543+0.00101452j 0.000226266+0.000642748j -0.000963205+0.000383057j -0.00134115-0.00278919j -0.0023037+0.00240771j 0.000562219+0.00204611j 0.00153035+0.00166775j -0.00222691+0.000915307j 0.00283987-0.000757989j -0.00101374-0.00274323j 0.00169079-0.00495323j 0.00495964+0.00168572j 
0.00363485+0.00862037j 0.00914128-0.00368672j 0.000132306+0.00912655j 0.00742237+0.000215284j -0.000551713-0.00220306j 0.00321717+0.000330761j 0.0064538+0.00175737j -0.00120377+0.00260933j -0.00255954-0.00262555j -0.000144557+0.00351521j -0.00511091+0.00674042j 0.000495334-0.00227834j -0.000582387-0.00706941j 0.000741724-0.00425588j -0.0033482+0.00160561j 0.00325173+8.62959e-05j 0.00248825-0.00302441j -0.00315324-0.00171314j 0.00272454+0.00102289j -0.00591477-0.00149439j 0.0027618+0.000919236j 0.00231908-0.00210276j -0.0044111+0.00224997j -0.000514838+0.00117484j -0.0045364-0.000775473j -0.00136957-0.000465752j -0.00269081+0.00028343j -0.00163399-0.00210299j -0.00344604-0.00359325j -0.00186973-0.00335229j 0.00261188+0.00260561j -0.00282515+0.00161111j -0.00450888-0.00139752j -0.000625998-0.00304294j 0.00236754-0.0030263j -0.00124941-0.00146561j -0.00449782-0.00130406j 3.61837e-05+0.000362129j -0.00157612+0.00501081j -0.00124519+0.000335169j 0.00057351-0.00133075j -0.000709215-0.0025633j 0.000375715+0.00153029j -0.00255488-0.00366681j -2.06779e-05-0.00185486j -0.000623414+0.000275493j -0.000560541+0.00124099j 0.000825752+0.00389438j 0.000566576-0.00227237j 0.00110794+0.00197962j 0.00333257-0.000943675j 0.000878565-0.00233064j 0.000458005-0.0008194j 0.00143149-0.0012065j -0.000978022+0.00275575j 0.00223903-0.00373492j -0.000758879+8.71459e-05j 0.000632717-0.00122653j 0.00509029+0.00062443j 0.00235489-0.000960852j 0.000838082+0.000540564j -0.000691468-0.000818927j -0.00125408+0.00172705j 0.00181102+0.00235497j 0.00334317-0.00264766j -0.00120346+0.000404292j -0.00236349-0.00268439j 0.000730737+0.00114464j 0.000474797-0.00310568j -0.00170087-0.00133999j -0.00266468-0.000791537j -0.00111369+0.00112237j 0.00027727-0.000360557j 0.00857627+0.00359384j 0.00381636-0.00823165j -0.00904791-0.00470516j 0.00467905-0.00923619j 
0.0105546+0.00359658j 0.00373738-0.0104887j -0.00639662-0.00141991j -0.00219234+0.00571589j -0.00779608+0.00262827j 0.0051724+0.0107346j -0.00265183+0.00421501j -0.0010645+0.00124118j 0.00221108-0.00439098j 0.00298792+0.00175337j -0.00235301+1.32428e-05j -0.00516309-0.00353485j -0.00540537+0.00598805j 0.00918614+0.000187835j 0.0040971+0.00423057j -0.00444291-0.00539811j 0.000867525+0.00308483j 0.000828741-0.00325687j -0.00291038-0.00506541j -0.00300267+0.00288269j 6.29144e-05-0.00114484j 0.000280945-0.00220546j -0.00318349+0.00569812j -0.00214655-0.00221632j -0.000113461+0.000323502j -0.000808582+0.00185658j -0.00175823+0.00224892j -0.000242537-0.00221841j 0.000146363-0.00360739j -0.0034875-0.00466509j 0.00112567+0.00305219j 0.000693429-0.0016746j -0.00415709+0.00182859j -0.00370735+0.00331968j -2.11167e-05+0.00156861j -0.000215984+0.00170574j -0.0021246+0.00301331j -0.000174078-0.00339843j 0.00341632+0.00120365j 0.000272515+0.00481518j -0.00276357+0.0015277j 0.00187731-0.00339819j -0.00263215+0.00163715j -0.00353798+0.000511493j 0.00317508-0.00109676j -0.000239674+0.000997917j -0.00465891+0.00129675j 0.000803377+0.00209664j -0.00164541-0.000679119j -0.00161994+0.0011832j 0.00019045-0.00471299j -0.00250944-0.000960799j -0.00529587+0.000780278j -0.000521711-0.00350096j 0.00232491+0.00125677j -0.00387826-0.00315086j -0.00738203+0.00182298j 0.00193607+0.000776744j 0.00232161+0.00107988j 0.00118751-0.00265203j 0.000880109-0.00312428j 0.000552342-0.00472308j -0.0029938+0.00362921j 0.000286497+0.00614992j 0.00374308+0.00322343j -0.0064937+0.0005316j 0.00248659+0.0037818j -0.00374178+0.00148028j 0.00231145-0.00166135j -0.00217074-0.00151778j 0.00160697+0.0054768j 0.00668663-0.00308012j 0.0023712+0.00399351j -0.00271763+0.0028009j 0.00282039+0.00311248j -0.00939936-0.000617084j 0.000655892-0.00941842j 
0.001676-0.0146411j -0.0148267-0.00135198j -0.00873574-0.0135976j -0.0130431+0.00711713j -0.00170386+0.00333382j -0.000173593+0.00754295j -0.00887131+0.0073026j -0.00277433-0.00320874j 0.00193842-0.00121576j -0.000493616-0.00416177j -0.000965238-0.0130105j -0.000591183+0.0070709j 0.00701629+0.0117313j 0.00742168-0.00135363j 0.00837027-0.0032893j -0.00760913+0.00302289j 0.00381802+0.00543868j 0.00541138-0.00198339j -0.00753522-0.00110072j 0.00769013-0.00245311j -0.00822094+0.00183698j -0.00196057+0.00457731j 0.00526309-0.00235635j -0.00177749-0.000276253j 0.00254637-0.00114259j 0.00151001+0.000953939j 0.00405191+0.000768083j 0.000885342-0.000598465j 0.00434061-0.000119375j 0.00292772+0.00569985j -0.00351833-0.00199693j 0.00217374-0.00584472j 0.00719754+0.00166445j 0.00309735+0.00533742j 0.000815534+0.0081757j 0.00482009+0.00222381j 0.00689015+0.0016916j -0.00427328-0.00539923j 0.00157021-0.00866752j 0.00442484+0.000268818j -0.00173512+0.00571215j 0.00384415+0.000327278j -0.00137248+0.00229623j 0.00668859+0.00312289j 0.000549345+0.00139657j 0.00208157-0.00252179j -0.00127985-0.00100061j -0.000717411-0.0057339j -0.00019289+0.00384167j -0.00145523-0.000645293j -0.00769128+0.000807542j -0.00121373+0.00420252j -0.00336235+0.00736026j -0.00375709+0.00339159j -0.000210451-0.00529181j -0.0040835+0.00615084j -0.00177996+0.00187505j 0.00225598+0.000506224j -0.00800449+0.000203701j -0.00456082+0.00102043j -0.00607959-0.000553788j 0.00415456-0.00233874j 0.00193923-0.00168727j -0.00349084-0.0015742j -0.000197249+0.00756775j 9.50454e-05+0.00192768j 0.00887436+0.00435708j -0.00295882+0.00123559j 0.00465668+0.00573855j -0.000981727-0.00358196j 0.00249804+0.00392643j 0.00184069-0.00432971j 0.00166803-0.00280261j -0.0154335+0.0122927j 0.0120714+0.0145727j 0.0158119+0.00479627j -0.00473817+0.01591j 
