-0.043496+8.82053e-14j 0.337882+4.52555e-14j 0.0836882-1.4006e-16j 0.0138274+4.09281e-16j -0.0783443-1.83384e-16j 0.150259+3.2733e-15j 0.138252+7.919e-16j 0.0934535-1.9527e-14j 0.140513+2.72671e-14j -0.16766-1.61916e-14j 0.0102258+1.49746e-15j 0.0730987-1.51213e-15j -0.0274768+5.59608e-15j 0.0844489-1.14539e-14j -0.00881236-3.26075e-15j 0.0551827+2.14551e-16j -0.0815278+1.20863e-14j 0.0572761-2.91228e-15j 0.0710196-4.08895e-15j -0.0652591+5.93666e-15j -0.0901408-3.73273e-17j 0.0143362+6.61554e-16j -0.0207489+9.70368e-16j -0.112549+1.53277e-14j -0.0177461+6.62994e-15j -0.086395-2.60674e-15j 0.0125042+1.14394e-15j 0.0641515+2.14938e-15j 0.00731123-1.31291e-14j -0.0283137+1.77361e-13j 0.0760706+4.56912e-13j -0.00983269+2.28539e-14j -0.00228125-8.61426e-16j 0.0486086-5.18834e-16j -0.080731-1.63448e-16j 0.0967054-1.19283e-15j 0.113742-1.38656e-16j -0.0546393+1.35373e-15j 0.117692+1.05885e-15j -0.115569-2.61282e-15j -0.117856+2.50436e-15j 0.103413-3.67906e-15j -0.000487702-3.9055e-15j -0.0252043+1.50883e-15j 0.00475457+7.81086e-16j -0.0130789-4.21465e-16j 0.065228+7.19531e-16j 0.0720814+1.66626e-15j 0.00870016+2.45398e-15j 0.00345791+3.82797e-16j -0.00637969-7.32103e-15j 0.0608497+5.65409e-15j 0.0385831+2.28728e-15j -0.00226103+2.27185e-15j -0.0367964+1.0675e-15j 0.00540622+1.17053e-15j -0.0362666+1.31475e-15j -0.0159652+4.89122e-16j -0.0328988-1.87502e-16j -0.0128586-4.41408e-17j -0.0678751-2.10684e-15j -0.0047768-1.90257e-15j -0.0666143-1.82944e-16j -0.0312247-7.42739e-16j -0.0613199-1.1297e-15j 0.085136-1.44518e-16j 0.0157165+5.418e-16j 0.066222+2.83784e-16j -0.126502-2.02155e-15j -0.0151979-2.01063e-15j 0.098215+4.60343e-14j 0.1196-1.37002e-13j 
0.312236+2.35278e-13j 0.0553884+1.19679e-13j -0.192982+2.20483e-16j 0.065783-1.16353e-16j -0.242243-3.43963e-16j -0.146774-1.52351e-15j 0.0601667+9.08486e-16j 0.106711-2.42277e-14j -0.0663373-1.55854e-15j -0.0928043+3.18642e-16j -0.223329+8.53411e-15j 0.00920143-3.55322e-15j 0.039063-3.96176e-16j 0.0280298+1.57131e-15j -0.151312+3.25115e-15j 0.0340259+6.67319e-15j 0.0481355-3.99977e-15j -0.0430291+1.73641e-15j -0.113859-6.29531e-16j -0.0814915+3.22156e-16j 0.033681-1.30636e-15j -0.0568086-1.48774e-14j -0.0343197-3.43749e-15j -0.0340131+2.93204e-15j 0.0246628+4.06271e-16j -0.0177754+2.92267e-18j 0.0776973+4.39993e-15j 0.0361084+3.28995e-15j 0.0323448+1.58391e-14j 0.0396909-2.31751e-13j 0.0322017+2.1575e-13j 0.0716224+9.00598e-15j 0.0739408-4.52964e-14j 0.0264079-3.07726e-15j -0.131195+1.65507e-16j -0.149425+4.89471e-15j 0.030095-1.05162e-15j 0.0102003-3.33444e-15j -0.121394-1.85425e-15j -0.08854-5.89312e-16j -0.112038-2.84476e-16j -0.0583686-7.66194e-16j 0.0270369+1.04286e-13j 0.00952611-2.72069e-15j -0.0327213-1.26182e-15j 0.0324624+2.2085e-15j 0.0408357+6.37453e-16j -0.0213546-2.94892e-15j 0.0258955+5.76049e-15j 0.0429821+4.58879e-15j -0.0315102-2.21278e-14j 0.158384+1.3695e-14j -0.0247241+2.553e-15j 0.0597967-8.00777e-15j 0.0340854-5.11367e-15j -0.0194561+3.94082e-16j 0.0388421-8.75475e-16j -0.0165843-9.69074e-16j 0.0442476+1.55224e-15j -0.0106469-1.83356e-15j 0.033805+1.94327e-15j 0.094424+4.74127e-15j 0.0758498+9.88512e-16j -0.0591931+7.11557e-16j 0.0289118+1.24549e-15j 0.0148904+2.73014e-16j -0.0453718-4.51277e-16j -0.00748223-1.658e-16j -0.0448549+4.89845e-16j 0.0863561+7.81213e-16j -0.11767+8.2504e-14j 0.11639-2.46536e-13j 
-0.027816-1.6202e-14j 0.0128261-5.66427e-15j 0.0315034+1.93888e-15j 0.593919+6.09089e-16j -0.356143-6.84271e-16j 0.209407+9.89934e-15j -0.0458024+4.19881e-15j -0.0823617+2.63736e-14j 0.550596+7.35766e-14j -0.249562-4.04656e-14j -0.296265+2.38155e-14j 0.0969977-1.2142e-14j -0.101477+2.78732e-15j -0.125131+1.79267e-14j 0.0676473+2.23761e-15j -0.0469536-1.45462e-15j 0.0025051-6.14669e-15j 0.000996841+2.14419e-15j -0.11911-8.91192e-15j -0.0197293-5.76265e-15j 0.0468853-2.92485e-15j 0.256085+9.11232e-14j 0.263798+1.60347e-14j 0.0931813-1.06921e-14j -0.0447213-3.85705e-15j 0.109363+4.59772e-15j -0.0199465-2.83787e-15j -0.100647-4.37354e-15j -0.0484867-4.66983e-14j -0.111234+6.68194e-13j -0.0153293-1.06867e-13j -0.0672257-7.51286e-15j -0.109646+7.08612e-14j -0.112238+4.16715e-15j -0.0160733-1.50403e-16j 0.00979662-1.41437e-15j -0.033688-6.79197e-16j 0.0345418-6.70425e-16j 0.0120654-2.81076e-16j 0.0314032+3.5629e-16j -0.0304851+1.43721e-16j -0.0192561-1.26576e-15j -0.00644869-2.39041e-14j -0.0189161+1.04869e-15j 0.0363887-9.01848e-16j 0.0165817+3.67529e-16j 0.000418007+6.92804e-16j -0.000732139-2.91097e-16j 0.00503866-4.22388e-16j -0.00428783-5.27794e-16j 0.0206402+3.08416e-15j 0.00836856-1.54257e-15j 0.00112607+5.25586e-17j 0.000212181+2.38082e-15j -0.0150446+2.06931e-15j 0.0300165-2.76641e-15j 0.0222831-2.55563e-15j -0.0212625-8.52128e-16j 0.0150513+1.42505e-16j -0.0196254-1.08601e-15j -0.0311395-1.45858e-15j -0.0346879-1.00654e-15j -0.0118117+5.35774e-16j -0.0205908-4.51575e-16j 0.0660722+7.39933e-16j 0.0103576+1.69893e-16j 0.0384808-5.4718e-17j -0.0583739-2.46768e-16j 0.0345222+1.06046e-15j 0.0235261+1.28223e-15j 0.0603422-3.72685e-14j -0.0502891+1.11945e-13j 
0.0517539+3.41319e-14j -0.00411449+1.77019e-14j -0.275438+1.34418e-15j 0.230815-7.59778e-16j 0.314309-9.15477e-16j -0.207054-4.13114e-15j 0.212812+2.07834e-15j 0.197559-4.65843e-14j -0.329519-3.43712e-14j 0.00317649+2.19094e-14j -0.249873-2.62579e-15j -0.509322+1.16728e-15j -0.257139+1.04646e-14j 0.289883-4.32993e-14j -0.0761319+3.99207e-15j 0.0722704+1.01234e-14j -0.144244+1.29673e-14j 0.0949918-7.82345e-15j -0.000735312-2.06903e-14j -0.0961078+8.38332e-15j -0.0427324-2.67506e-16j 0.15136+5.63281e-14j 0.161101+7.36596e-15j -0.0246448+3.16521e-15j -0.0162713+5.8e-15j 0.113633+5.06017e-15j 0.0140813-2.04925e-15j -0.0917746-1.76974e-15j 0.0468294-8.94188e-14j -0.205856+1.29229e-12j 0.0124154+7.63129e-14j -0.00372882+3.76627e-15j -0.120625+7.24987e-14j 0.0194055+4.81666e-15j -0.0326032+2.75893e-16j 0.0364891-7.56607e-16j 0.00883924-5.59298e-16j -0.0204434+1.54887e-15j 0.0570006+9.06965e-16j 0.0154673-1.04185e-16j 0.0160225-4.20622e-16j -0.0285215+3.10764e-16j -0.00504058-1.84653e-14j -0.0162647+1.45965e-15j 0.0259426+8.1141e-16j -0.0196071-1.41115e-15j 0.00401304+1.02337e-16j -0.00179786+1.34314e-15j 0.0152326+1.71048e-15j -0.0105608-9.94053e-16j 0.0087491+4.39416e-15j -0.0261155-2.5938e-15j 0.00861419+2.12239e-16j -0.02272+2.02015e-15j 0.00176625+8.09054e-16j -0.00210931+1.14828e-15j -0.0329249+2.57447e-15j -0.00172219+1.00713e-15j -0.0163039-7.07869e-16j 0.00504068+4.80142e-16j -0.0195966-7.51801e-16j -0.00816665-8.75311e-16j -0.0161263-1.63302e-16j -0.0254668-3.68384e-16j 0.0111999-9.09485e-17j 0.0217439+6.26776e-17j 0.0193045-3.95674e-16j -0.0404368-1.58829e-16j 0.0327306+8.17077e-16j 0.0328842+6.64493e-16j 0.0621683-5.56587e-15j 0.0103782+1.64098e-14j 
0.0343168+4.4284e-14j 0.0621156+2.09445e-14j -0.0467095+4.42993e-16j -0.00579973+5.10968e-16j -0.342012+2.00652e-14j -0.301904+6.1283e-15j 0.521881-2.33514e-14j -0.0659712+1.74151e-14j -0.259534-1.68465e-14j -0.0103948+1.55648e-14j -0.207594+2.17447e-14j 0.120275-1.48954e-14j 0.03153-6.96634e-15j -0.24298+4.55963e-14j 0.0975924-2.94522e-14j 0.54598-4.18373e-14j -0.0247618+1.48173e-14j 0.34013-6.4194e-15j -0.119056+2.80847e-15j 0.039293+3.70736e-15j -0.0408267-3.20151e-15j -0.205812-4.99793e-14j -0.0344652-1.34579e-14j -0.00194723-2.22087e-14j 0.209559-1.99591e-14j -0.0909619+3.84671e-15j -0.157642-5.56351e-16j -0.000892177-1.05576e-14j -0.0903757-1.09436e-14j -0.0442165+2.38884e-13j 0.0336243+2.05959e-13j 0.00723037+1.12699e-14j -0.0219826+1.1939e-14j 0.0114006+4.30447e-16j 0.0878749-4.87927e-15j 0.0780001-6.89948e-15j -0.0598143+4.71499e-15j -0.0237776+1.24266e-15j 0.0053868+6.45253e-16j 0.041271-1.52329e-15j 0.0249093-2.01317e-15j -0.0159923+1.59555e-15j -0.0205533-7.92576e-14j -0.00558907+4.09077e-16j 0.00503899-6.26377e-16j 0.00952951-1.23261e-16j -0.022968+1.61227e-15j 0.000913328+6.91212e-16j -0.0199445-2.43896e-15j 0.0029802+1.59522e-16j -0.0159594-4.13107e-16j -0.0146124+8.71992e-16j 0.00504954+1.53758e-16j -0.00356894-2.88447e-16j 0.00899218-5.09503e-16j -0.0142107+1.30958e-15j 0.00040984+1.03236e-15j 0.00139754+3.5803e-16j 0.0339042-1.8919e-15j 0.0102345-8.97466e-16j 0.00447738+2.68029e-17j 0.0165655+6.61795e-16j 0.00665865-1.38065e-16j 0.0198521-3.14782e-16j -0.000926962-2.42242e-16j 0.00171974+3.85169e-16j -0.0373892+1.88952e-15j 0.0141882-8.55356e-16j 0.00211518+3.71437e-16j -0.0229128+9.37862e-16j 0.0180873-1.29625e-14j -0.0172906+3.81258e-14j 
0.0511952+3.75779e-14j -0.00600639+1.6481e-14j -0.0505302-2.17285e-15j 0.0259461-7.00365e-16j -0.152594-9.72468e-15j -0.366051-3.48111e-14j -0.106739-1.00342e-14j 0.168506-2.00867e-14j -0.431941-6.04168e-14j -0.353882-1.64333e-14j 0.15765+8.19098e-15j -0.0846019-2.01564e-14j -0.304844-2.81458e-14j 0.029535-1.97122e-14j 0.206895-6.00096e-15j 0.237228+2.92512e-14j 0.673837+2.72374e-14j -0.191377-1.1123e-15j 0.0412948+4.09148e-14j -0.324332-4.55368e-14j -0.0646297+4.58835e-15j -0.017648-1.03828e-14j 0.0789159+2.01757e-15j 0.0533499+1.05649e-16j 0.113636-4.61452e-15j -0.151557-1.27464e-14j -0.0487999-6.24772e-16j 0.0562105+3.83014e-15j -0.0111369-3.961e-14j -0.0944284+5.74143e-13j -0.00259116-8.30734e-15j 0.0280653+4.48285e-15j -0.0210081+1.19399e-14j 0.00600209+1.97355e-15j 0.0309841+1.90509e-15j 0.0824668+4.25708e-15j 0.0275351+2.71437e-15j -0.00496877+9.59742e-16j 0.0246569+2.42727e-15j 0.0319368+2.54143e-15j 0.00710666+1.26302e-15j 0.0169164+2.42769e-15j 0.00205658+8.78533e-15j 0.00299588+5.69216e-16j 0.0204463+2.5257e-15j 0.00397808-1.37873e-15j -0.00961532-1.74372e-15j -0.00365352-3.14928e-16j -0.0118579-2.91192e-15j -0.00573937-6.77978e-16j -0.00450239+4.54664e-16j -0.0105271-1.19415e-15j 0.00792454+1.58715e-15j -0.0110859+1.01701e-16j -0.00394712+7.86802e-16j 0.00136063-1.64503e-15j 0.0160135-1.35658e-15j 0.0191184+9.70529e-16j -0.00652248-3.80954e-16j -0.0118383-9.72683e-16j -0.00588272-1.70867e-15j 0.00653138+1.45742e-15j 0.00138741+5.58462e-16j 0.00301631+7.41444e-17j 0.0152615+1.05986e-15j -0.00966828-1.34503e-15j -0.0193321-1.6912e-15j 0.0142459+9.1223e-16j -0.00940282-1.34956e-15j -0.0039953-7.79711e-16j 0.0169675-2.14672e-15j 0.000844374+7.43977e-15j 
0.0957454+4.18357e-14j -0.0789505+1.8029e-14j -0.119862-2.48092e-15j 0.0282715-2.49838e-15j -0.1802-7.86635e-15j -0.332766-1.83337e-14j -0.0696272+4.07427e-15j -0.105343+2.23704e-14j 0.152833+3.5972e-14j -0.0448892-5.47304e-15j -0.201448+8.89343e-15j 0.476559+2.00307e-14j 0.406776+6.10698e-15j -0.172349+5.3907e-14j -0.139021+1.71753e-14j -0.428678-2.56704e-14j -0.321261-5.72804e-14j -0.401059-1.76939e-14j -0.580094-5.91773e-14j 0.295937+2.39762e-14j -0.324712-2.3401e-14j -0.0289605+1.18832e-14j 0.198679+1.03566e-14j -0.111691-3.41308e-15j 0.172444+7.52038e-15j -0.21958-1.59664e-14j -0.0804831-6.82913e-15j 0.105286+1.02129e-14j 0.0594091-8.70382e-14j -0.190414+1.19795e-12j -0.067121-3.88329e-13j 0.0571031-1.85277e-14j -0.0267756+1.44617e-14j 0.0270364+1.78841e-15j 0.0313108+1.59766e-15j 0.095776+1.11154e-15j 0.0457915+1.27895e-15j -0.0290719+5.46048e-16j 0.0435608+7.67323e-16j 0.00293127-1.26326e-16j 0.0155181+1.92098e-15j 0.0304212+5.05795e-16j -0.0199496-7.79704e-14j -0.00690213+1.39012e-15j 0.030145-5.91562e-16j 0.00400156+6.08276e-17j -0.00156736+4.01139e-16j 0.00438414+4.18213e-16j 0.00395158+2.77822e-16j -0.0153746-1.37091e-15j 0.00372941+3.4197e-15j -0.0144251-1.47945e-15j 0.00862661+2.75692e-16j -0.0117276+2.15941e-15j -0.00960433+1.48995e-15j -7.44086e-05-3.13434e-16j -0.000217117+3.14178e-16j -0.0134895-2.02107e-16j -0.0183643-1.17589e-15j -0.000538954+1.24546e-15j 0.00455326+8.42757e-16j -0.0193275-1.64144e-15j -0.0194777-1.08731e-15j -0.00305477-2.45828e-16j 0.00618137+3.1346e-16j 0.00860859+9.30119e-17j -0.0276125-1.17659e-15j 0.019998+1.50262e-15j -0.00990083-1.77544e-15j -0.00650677-7.26195e-16j 0.0266642-6.68942e-16j 0.00636622+4.56371e-15j 
0.0529319-1.14845e-13j 0.0163713-2.30961e-14j -0.114569+3.44239e-13j 0.0313184-9.50035e-14j 0.0273271-8.21577e-14j 0.146462-4.28737e-13j -0.0126193+3.35466e-14j -0.149604+4.85275e-13j -0.317021+9.01926e-13j 0.0251568-5.365e-14j 0.176223-5.07473e-13j 0.255652-7.42123e-13j 0.309468-9.40032e-13j -0.300713+8.81323e-13j -0.214873+6.25653e-13j -0.469683+1.39771e-12j 0.00754662-3.00862e-14j 0.18643-5.5844e-13j 0.139542-3.86238e-13j -0.300073+8.94968e-13j -0.301927+8.48913e-13j -0.541623+1.444e-12j 0.0566075-2.00207e-13j -0.0358501+1.56231e-13j -0.246292+7.17179e-13j 0.331704-9.79727e-13j -0.0133353+4.63781e-14j -0.175641+5.17671e-13j 0.0292994-1.31183e-13j -0.0936328+8.75051e-13j -0.00688086-5.39173e-15j 0.0589255-1.75725e-13j -0.0583905+2.08269e-13j 0.0375034-1.09252e-13j 0.0144086-4.08422e-14j -0.017302+5.12906e-14j 0.0119857-3.79735e-14j -0.012968+4.11722e-14j 0.0442316-1.3168e-13j 0.00939711-2.92653e-14j -0.000494634+1.6694e-15j -0.0136417+3.8388e-14j -0.00222165+1.6935e-16j -0.0169216+5.30744e-14j 0.0201019-5.77513e-14j -0.0145542+4.11364e-14j 0.0171483-5.18644e-14j 0.00265116-8.08377e-15j 0.00840367-2.6357e-14j -0.00883535+2.63441e-14j -0.00578463+1.79773e-14j -0.0242786+7.19586e-14j -0.0039076+9.0507e-15j -0.0153864+4.76439e-14j 0.000104144+9.18688e-16j 0.00677098-1.90762e-14j -0.0165935+5.014e-14j 0.0046343-1.18123e-14j -0.00895946+2.68882e-14j 0.00834467-2.49026e-14j 0.00224677-5.26069e-15j 0.0164833-4.70518e-14j -0.00939963+2.72413e-14j 0.0252872-7.31533e-14j -0.0186813+5.67559e-14j 0.0170601-5.27198e-14j 0.0281273-8.24342e-14j -0.029868+8.77284e-14j 0.0432255-1.28819e-13j 0.00994361-2.9462e-14j 0.00617488-1.98569e-14j 0.00225885-8.02124e-15j 
-0.0228434+6.74938e-15j 0.0530621+2.0372e-15j 0.0850759-7.27995e-15j -0.0195771+2.65396e-15j -0.0314155+1.43078e-15j 0.01969+7.37318e-15j -0.0150146-4.14325e-15j 0.184826-5.15229e-14j 0.142795-1.61739e-15j 0.00684897-1.16779e-14j 0.191805+1.92619e-14j 0.0852528+1.99628e-14j -0.145836+1.40083e-14j -0.46716+2.14943e-14j -0.355397-9.00585e-15j -0.0769715-3.40027e-14j -0.433757+1.71834e-14j -0.229639-2.70276e-15j -0.0639031-7.06777e-15j 0.0674115-1.37181e-14j -0.575375-4.84816e-14j -0.0490504-5.80661e-14j 0.040581+6.17981e-15j 0.379824-1.93218e-14j -0.257006-4.95109e-14j -0.119116+1.45197e-14j 0.0210279+6.61475e-15j 0.0833241-6.55753e-15j -0.110269+5.28919e-14j 0.109963-7.32882e-13j 0.0419951+2.46538e-13j -0.00707334+1.64628e-14j 0.0228377-1.71833e-14j -0.023757+1.61239e-15j 0.0125528+8.82294e-16j -0.0034556-9.54905e-16j -0.0179333+1.09376e-15j 0.0351107-4.13726e-16j -0.0347136+2.93799e-15j -0.00551279+8.82021e-16j 0.00582331-4.24892e-16j -0.0194308+4.80563e-16j 0.0205155+8.15272e-14j 0.0183459-2.44883e-15j 0.00601268+3.5585e-15j -0.00844892-2.64265e-15j -0.0119125-7.51639e-17j -0.00982391-9.61863e-16j -0.0177001-2.98938e-15j 0.00863319-9.33653e-16j 0.00311968-1.91011e-15j 0.00834564-1.87206e-15j -0.00664645-3.35033e-16j 0.0023859-8.39948e-16j 0.0052678-1.20651e-16j 0.0043938+8.40008e-16j 0.00839803-1.90117e-15j 0.00857522+8.79527e-17j 0.00346508-3.02664e-16j -0.00948094+1.204e-16j 0.0143343+6.07098e-16j 0.00785263+1.93028e-15j -0.00708468-1.01793e-15j 0.0120535+2.17621e-15j 0.0170177-5.00565e-16j -0.0239538+8.32051e-16j 0.0118044+2.50639e-15j 0.00670935-1.88527e-15j -0.0240247+2.4535e-15j -0.00844009+5.75698e-17j -0.0160336-1.1137e-15j -0.00826987+4.32757e-15j 
-0.0711706-1.03471e-13j -0.168177-6.04514e-14j -0.0366983-3.59433e-15j 0.0469996-1.25616e-15j 0.215676-8.02292e-16j -0.144819-5.1004e-15j -0.131687-8.29709e-15j -0.240567+5.70193e-14j -0.208897-4.27479e-14j 0.15439+3.00672e-14j 0.0134842+3.70932e-15j 0.041681-1.13268e-14j -0.0916568-8.78995e-15j -0.303795+1.89643e-14j -0.0792755-1.66556e-14j 0.239951+2.0634e-15j 0.0616601+2.09706e-14j 0.137436+1.05029e-14j 0.0124544+1.95639e-14j -0.254817-1.67433e-14j 0.135136+1.30711e-14j 0.0556817+2.45181e-14j -0.0719741-1.34939e-14j 0.332316-5.50636e-14j 0.413181-3.00731e-14j -0.0585855+1.80969e-14j 0.196474+1.15107e-14j -0.093456+9.05622e-15j 0.334004-7.23722e-14j -0.155714+1.10531e-12j -0.100007-6.55039e-13j -0.142485-2.09804e-14j 0.018986-1.01243e-14j -0.0208036+1.8308e-15j -0.118679+3.99223e-16j -0.0201504+2.65404e-15j 0.0640247+2.57874e-15j -0.0496211+2.09016e-16j 0.0560053+3.1211e-15j -0.0443071-1.62524e-15j -0.0916151+1.52672e-15j 0.037652+1.18331e-15j 0.00323251+1.17542e-14j -0.00473472+8.62033e-16j 0.00976135+2.20021e-15j -0.00984328-2.69119e-15j 0.00380918-6.88374e-17j 0.0159162+1.63116e-15j 0.0198306+4.02959e-15j -0.00366116-9.54911e-16j 8.31487e-05-3.05601e-15j 0.0282631+1.71051e-15j 0.0238699+2.39559e-15j 0.00191993-3.5496e-16j -0.007061-9.81078e-16j -0.0090071+1.25392e-15j -0.00740243-4.11285e-17j -0.0203878+1.39907e-15j -0.0172925-1.32513e-15j -0.028521+1.1801e-15j -0.0273033-1.98002e-15j 0.00164442-1.4856e-16j 0.00230706-1.13489e-15j -0.0337802-7.4412e-16j 0.000721014-9.64889e-16j -0.00132299-6.09789e-16j -0.0140089+3.20985e-16j 0.00356911-4.43254e-16j 0.0224463+7.3201e-16j 0.0304232+2.95908e-16j 0.0445952+9.96809e-16j 0.0186203-6.53924e-15j 
0.199112+1.26906e-13j -0.0375885+6.44781e-14j -0.115449-5.21793e-15j -0.0270984-1.34382e-15j -0.239744+5.19924e-15j -0.0564466-6.35184e-15j -0.080844-3.56795e-15j 0.18669-4.36624e-14j 0.0724805-6.89498e-15j 0.0693774-5.10704e-15j -0.207751+6.95658e-15j -0.11941+5.29936e-15j -0.034984+9.48567e-16j -0.0187654-9.24911e-15j -0.264234-1.30964e-14j 0.177705+2.05092e-14j 0.127423+1.08448e-14j 0.0397943+3.35539e-15j 0.194323+2.34371e-14j -0.13993-3.71723e-14j 0.361036+1.65075e-14j 0.305835+8.79391e-14j -0.231688+1.45517e-15j 0.0815297-3.28119e-16j 0.0346944+2.92784e-14j 0.224319+9.02368e-15j 0.141443+3.50668e-14j 0.376333+2.29657e-14j -0.109343-5.08974e-14j -0.127208+7.22913e-13j -0.172878-9.41731e-13j 0.31625-4.85607e-14j -0.0213424+5.68999e-15j 0.0854407+3.24633e-15j 0.105335-3.20669e-16j 0.092051-3.02538e-16j 0.0521754+1.66449e-15j 0.0307063-3.63995e-17j 0.0603987+2.71982e-15j 0.030043+2.27459e-15j 0.0819301+3.76037e-15j 0.0656753-5.55444e-16j -0.0243325-9.42396e-14j 0.0156582+5.05391e-16j 0.0198486+8.86616e-16j -0.0329628-3.00831e-15j -0.00198614-1.08327e-15j -0.000207189+3.06508e-16j 0.00157297-6.50388e-16j -0.0288383-1.38788e-15j 0.0139401+8.54209e-15j -0.0419999-6.5098e-15j -0.0106314-6.03107e-16j -0.00833398+6.82781e-16j -0.0174109+1.82737e-15j 0.000948988+2.47031e-16j -0.0297827+1.30319e-16j 0.032909+7.15635e-16j -0.0352384-1.89845e-15j 0.0245792+1.33498e-15j 0.0175498+1.41524e-15j -0.0276939-7.14122e-16j -0.0368204-2.10591e-16j 0.000365398-3.23367e-16j -0.0134333-6.6363e-16j -0.0236069-9.47492e-16j -0.00258782-7.34925e-16j -0.00410413-4.7801e-16j -0.0247045-3.79842e-16j -0.0210278+1.39926e-15j -0.0464457+8.08792e-16j -0.0159684+2.9672e-15j 
