0.0639989-9.08726e-15j -0.247277+1.22022e-14j -0.078775+9.0352e-15j -0.0452644-1.12855e-15j 0.074009+8.06239e-15j 0.193761-1.09978e-14j -0.101207+3.82227e-15j -0.0272557+2.42552e-15j 0.0664243-8.52833e-15j -0.217108-1.83647e-15j 0.14528-1.73208e-14j -0.0517878+1.22551e-14j -0.0505173+1.78194e-15j -0.0377882+2.03662e-15j 0.023066-1.00325e-14j -0.0442073+1.31901e-14j -0.0174818+1.14583e-14j 0.0475175-3.38324e-14j -0.0378932-1.63745e-15j -0.0253556-3.78063e-16j 0.0360451-2.8456e-15j -0.084904-7.77738e-16j -0.0475318+2.55857e-15j -0.0259952-6.3543e-15j -0.0053714-1.04126e-15j -0.00670108+3.50096e-15j -0.00715091+5.04781e-15j -0.0150692+3.3817e-16j -0.00492806-1.46882e-15j -0.00456885-1.6084e-15j -0.0170547+7.06672e-15j -0.0117269+6.11787e-15j -0.0243658+2.21094e-15j 0.0381849-2.54941e-15j -0.0299384+7.34201e-15j 0.000730845+1.30317e-15j -0.0264601+6.31939e-15j 0.0147018+3.8229e-14j 0.0488819+3.51276e-14j 0.0144771+5.73284e-15j -0.00760787+3.16053e-18j 0.00652701+1.99693e-14j -0.0326635+3.41735e-15j 0.078266-6.3047e-15j -0.0287043-2.5659e-15j -0.0314939-1.4862e-15j 0.0888523-8.13615e-15j -0.00248559+8.41358e-16j -0.0620508+3.20547e-15j 0.0550135-6.17779e-17j 0.0365131-4.12597e-15j 0.0368439-2.42797e-15j -0.0531518-1.34689e-15j -0.0699788+5.9726e-15j 0.118694-7.58506e-15j 0.00733238+7.72191e-15j 
-0.242148-1.38082e-13j -0.0673098-4.18441e-14j 0.092997-7.71809e-15j -0.0692488+6.20249e-16j 0.230946-7.55553e-15j -0.119407+1.28346e-14j -0.0644412-1.8906e-15j 0.0150152-3.44425e-15j -0.163025+1.17571e-14j -0.136496-9.74375e-15j -0.0953077+1.13627e-14j 0.127102-5.49007e-15j -0.0304294-3.93407e-15j -0.026053+2.4068e-15j -0.0239173-2.02216e-16j -0.0370846+8.09298e-17j 0.0262597-9.4956e-17j -0.0555328+4.62916e-14j -0.0339684+1.07069e-14j -0.0628515+6.2178e-15j 0.0586725+2.40035e-15j -0.0390588-1.40834e-15j -0.0349441-2.68643e-15j -0.0181724-1.23147e-16j 0.0429081-5.03378e-15j 0.0716094+8.49091e-15j 0.0462278-3.10917e-15j 0.00457678-6.35953e-15j -0.045491+3.07018e-14j -0.0674915+6.57326e-15j -0.0165334-3.51354e-15j 0.0456317-3.92904e-15j 0.0155435-1.02896e-15j -0.0233037+3.27491e-15j 0.0596204-6.4969e-15j 0.0191254-2.57513e-15j 0.0610136+8.18044e-15j 0.0278382+3.65136e-14j 0.0138922+3.20764e-14j 0.00582538+6.22851e-15j 0.0394623+2.57213e-15j -0.00374982-2.66105e-14j 0.0461356-3.80936e-15j -0.0388472+6.43841e-15j -0.0683968+2.87743e-15j -0.0211008-6.65917e-16j -0.0318569+5.83004e-15j 0.0527132-2.71448e-15j 0.0143585-3.7776e-15j 0.0627306+1.00341e-16j -0.0214085+2.88087e-15j 0.00609243+1.51938e-15j -0.0840291+8.82896e-16j 0.0418603-5.36425e-15j -0.00573728+9.02301e-15j 0.122953-1.84982e-14j 
0.051107+2.95771e-14j -0.00740426+6.87115e-15j -0.0757707-9.66861e-16j -0.480329-1.12315e-15j 0.206458+1.61274e-15j 0.167622+7.55849e-15j 0.0992294+3.07092e-15j 0.0937472+6.9043e-16j 0.194816+5.85877e-15j -0.265821-1.52602e-14j 0.192152-3.77351e-16j 0.302099+7.34245e-15j 0.0644123-1.77489e-15j -0.000728948+2.81523e-15j 0.150038-9.34502e-15j 0.0538619+4.50531e-15j 0.0415693-1.18888e-14j 0.0147628-2.24382e-14j 0.0719842-7.2228e-15j 0.0257725+2.27256e-15j 0.0220042+7.31723e-16j 0.127921+7.54633e-15j 0.00219308-7.27122e-15j 0.125676+3.07303e-14j 0.0104009+5.89098e-15j 0.0312767+7.8998e-15j -0.00426742+7.70434e-15j -0.0522471-3.93435e-15j 0.0832953-4.30255e-14j -0.107193-1.19783e-14j 0.0521597-2.17041e-14j 0.0593859-1.81903e-14j -0.00763391-1.00812e-14j 0.106447+1.66446e-15j -0.0693005+1.5168e-14j -0.171367-2.62128e-14j -0.0941247-1.11712e-14j -0.0476365-5.05244e-14j -0.00685763-4.23831e-14j -0.0223352-1.60465e-14j -0.00210871+2.06928e-14j -0.0507607-1.49649e-13j 0.0776008-3.06862e-15j -0.101006+1.34875e-16j -0.00183758+1.1863e-15j -0.14348-3.8665e-15j 0.151266-3.40863e-15j -0.115934-5.82047e-15j 0.193327+2.03327e-15j -0.0345351+1.16337e-15j 0.0992924-9.31873e-16j -0.0860191-1.0495e-15j 0.0284767+4.18589e-16j 0.0602001+2.90515e-16j 0.0310602-4.62615e-15j -0.139876+1.58446e-14j 
-0.0460514-3.33968e-14j -0.0405026-7.37702e-15j 0.350196+4.80058e-15j -0.157022-3.49896e-17j -0.254256-4.39367e-15j -0.195843-1.31731e-14j -0.296052-5.31165e-15j -0.232571-2.63969e-15j 0.049626+5.50602e-16j -0.190487-1.65065e-14j -0.486694+5.60659e-15j 0.148715-1.26877e-15j 0.0775211-2.06218e-15j 0.208509+1.25941e-15j 0.11752-1.87268e-16j 0.15416-5.33033e-15j -0.188213+2.70211e-14j 0.0664375-4.14882e-14j -0.0754665+9.76387e-15j -0.16015+1.22196e-14j 0.0148235-2.42434e-16j -0.0642502-6.19503e-16j 0.022572-4.09234e-16j 0.0630644+1.33775e-14j -0.0394173+5.97216e-15j -0.15932-3.08297e-14j -0.110954+1.67246e-15j 0.185252+2.53708e-14j 0.0545618-3.10073e-14j 0.135686+9.15075e-15j 0.0695977-8.10193e-15j -0.0622834-3.69274e-15j -0.126437+8.12295e-16j -0.010107-8.99895e-15j -0.00863338-1.48253e-14j 0.0939681+1.70463e-14j 0.0138082+6.03942e-15j 0.00852418+4.22874e-14j 0.0543997+3.95483e-14j 0.0232521+1.38017e-14j -0.0340176+5.24136e-15j -0.0128795-2.38856e-14j -0.0616305+2.16405e-16j 0.0479137+3.72185e-15j -0.06145-4.85641e-16j -0.105134-2.25459e-15j 0.100626-2.73136e-15j 0.0581465-1.94233e-15j 0.0742616+1.64433e-15j 0.0336425+5.77747e-16j 0.077305-8.63148e-16j -0.110098-1.45179e-15j 0.0524439+1.47802e-16j 0.0808919+7.42444e-16j 0.139688+8.33565e-16j 6.08685e-05+3.76783e-15j 
-0.0283961-3.39627e-14j -0.141508-5.92811e-15j -0.0819124+3.85254e-16j -0.0185211+9.55681e-16j 0.396463-5.91539e-15j -0.241388-4.89199e-15j -0.299469+2.844e-15j -0.274397-1.052e-15j 0.0530565+4.35757e-15j -0.173805-5.22327e-15j -0.206157+5.13719e-15j 0.0831357-1.09333e-15j -0.14834+5.73483e-16j -0.247681+1.41631e-15j 0.450692+7.34373e-15j 0.42628-5.03625e-14j 0.101653-4.95756e-14j 0.0469844-4.07667e-14j 0.0137321-1.19595e-14j 0.206712-1.5908e-14j 0.033125-1.21484e-14j -0.10037-1.62311e-14j 0.0706945+1.90882e-14j -0.28291-7.18916e-14j -0.165434-2.48769e-14j 0.060419+1.08622e-14j 0.00818188-6.79476e-15j -0.0715537-2.10775e-14j -0.108783+5.75233e-14j 0.031813+3.17059e-15j -0.00393738+2.19724e-15j -0.0329422+9.88919e-15j 0.14117+5.06372e-15j -0.00622957+7.39349e-15j 0.0758179+5.98974e-15j -0.0662689-1.62479e-14j 0.0814613+2.56387e-14j 0.0476113+1.23142e-13j 0.120809+1.10658e-13j -0.0124249-3.36753e-15j 0.0696495+2.52253e-14j -0.0515396-1.79845e-13j 0.0433636+1.17896e-15j -0.0312793-5.17569e-16j 0.00203039+1.6895e-15j 0.116919+3.2158e-15j -0.0450203+1.13452e-15j 0.018592+1.68692e-15j -0.089746-1.54037e-16j -0.00422384-2.10701e-16j -0.115739+3.70042e-15j 0.098906+1.01236e-15j -0.0835643+4.57626e-16j -0.142323+2.37958e-16j 0.00555604-1.47967e-15j -0.0434451+5.26947e-15j 
-0.128656-5.51601e-14j 0.117226-1.83295e-14j 0.03679-1.75233e-15j 0.00704011-1.09017e-15j -0.0204887-3.02413e-15j -0.489907+9.45186e-15j 0.348864-1.48955e-14j -0.0289484-4.32961e-15j -0.0503498+3.66662e-15j -0.0414605+6.57235e-15j -0.228039+1.48707e-14j -0.289282+1.06898e-14j -0.0229308-1.96677e-15j -0.221506+9.03874e-15j 0.217508-4.66696e-14j 0.0963134+3.54735e-14j -0.138622+1.49375e-14j -0.333761+2.76447e-13j -0.142043+6.6294e-14j -0.144519+4.51128e-14j -0.150139+4.41795e-14j 0.427496-1.07944e-14j -0.0487881-4.34829e-15j -0.0578681+1.98023e-14j 0.0461849+6.58439e-15j 0.0600215+9.42766e-15j 0.0387948-2.10659e-14j 0.0594801+5.35233e-15j -0.0758772+5.16636e-14j -0.0665207+7.17625e-15j -0.14622+3.71933e-14j -0.0902288+2.16419e-14j 0.236375+1.58207e-15j 0.125445+1.32258e-14j -0.133797+3.11346e-14j -0.0234892+7.51861e-15j 0.0340348-1.28322e-14j -0.00612864-9.22654e-14j -0.148899-8.75806e-14j -0.0406028-1.90621e-14j 0.048182-3.99587e-15j 0.0142975+1.52045e-14j 0.0781655-2.02683e-15j -0.0267198+2.60147e-15j -0.0100933+1.05415e-15j -0.014403+1.58742e-15j 0.0175274-1.07255e-15j -0.0450646+1.35302e-15j 0.0725833-4.04429e-15j -0.0230915+7.57578e-16j -0.0558786+4.49828e-15j 0.0881086-3.96339e-15j -0.10496+4.58546e-15j 0.00260127+3.70293e-16j -0.00251016+8.32146e-16j 0.0599964-9.35271e-15j 
-0.143728-9.00441e-14j -0.0753037-1.93655e-14j 0.113565-1.17179e-15j -0.0851266+8.44963e-16j 0.28895-9.05854e-15j -0.15907+3.48297e-15j -0.211082+1.63087e-15j 0.454703-6.55211e-15j -0.347966+8.71806e-16j -0.0698883+7.65574e-15j -0.0133547-5.50892e-16j -0.168205+1.82605e-15j -0.00356006-3.20308e-15j -0.12266+7.86479e-15j -0.0579947-3.35707e-14j -0.283087+6.90516e-14j -0.0686859+3.8925e-14j -0.31806+2.03488e-13j 0.33931+3.55723e-14j -0.293091-2.30116e-15j 0.0323358+5.62099e-15j -0.114446-2.6267e-14j 0.15415+2.05613e-14j -0.31523-8.76909e-14j -0.0567144-3.30393e-14j 0.111266+8.32328e-15j 0.0595924+7.38471e-15j -0.0403515-1.51081e-14j 0.0110791+1.01987e-15j -0.0262012+4.37309e-15j 0.085189-2.14465e-14j 0.0117185-6.53919e-15j 0.0550343-9.65563e-15j 0.017104+1.38488e-16j 0.0282615+9.95825e-15j -0.139857-2.51182e-14j -0.0147049+7.55385e-15j -0.0291645+5.92877e-14j 0.126176+5.70854e-14j 0.0955522+4.44771e-14j -0.109466-8.8737e-15j 0.0164454+9.09014e-14j -0.0445967-6.58351e-15j -0.0899247-1.68011e-16j -0.116361+4.44774e-16j -0.0310252-8.0063e-16j 0.0455697-2.02261e-15j 0.00525078-1.74102e-15j 0.0522295-1.62949e-15j 0.105716-3.63497e-15j -0.0636254+3.15197e-15j -0.0544288-7.19606e-16j 0.0535842-8.40851e-16j 0.0214418+6.44658e-16j 0.102421-9.90086e-16j -0.00700837+1.9401e-15j 
0.19674+9.90484e-14j -0.10307+1.29809e-14j -0.0705723+1.01156e-15j 0.00941129-4.23187e-15j -0.213136+4.97896e-15j 0.0486895-5.67967e-15j 0.0597467+3.01109e-15j -0.0306235-2.75311e-15j -0.139605-3.72787e-14j -0.0154182+1.04479e-14j -0.135602+5.04794e-15j -0.392258-8.86922e-15j -0.0845743-2.86423e-14j 0.108133+7.38107e-15j 0.323786-5.44398e-14j -0.011849+6.23114e-14j -0.362652+5.52623e-14j -0.168217+1.23114e-13j -0.00802957+3.03986e-14j -0.241357+1.42208e-14j -0.226264-1.66672e-14j -0.121143-4.46247e-14j -0.00161321+8.52168e-15j -0.166409-4.22069e-14j -0.45566-5.37794e-14j -0.13878-2.6533e-14j -0.28728-1.42723e-14j 0.028134+2.84353e-15j -0.284788+8.94808e-14j 0.218149+1.05459e-14j -0.158982+3.73979e-14j -0.0348237+4.90794e-15j 0.0266584+2.53433e-14j 0.246064+3.59237e-14j -0.0733121+3.76384e-14j -0.124846-3.6878e-14j 0.241924+4.08167e-14j 0.0848675+1.03967e-13j 0.0200412+9.92799e-14j -0.263631-1.51581e-13j 0.0358123-2.10036e-14j 0.0349961+7.85335e-14j -0.00421232+4.40882e-15j 0.024136+1.62241e-15j -0.0758228-1.50767e-14j -0.157923-3.39787e-15j -0.0387708-7.2427e-15j 0.0793105+2.98775e-15j 0.0570336+4.58799e-15j -0.13396-6.22212e-15j 0.0123889-2.49651e-15j 0.0191598+3.13401e-15j 0.0153828-1.96721e-15j 0.0168275+1.37619e-15j 0.0668495+2.84229e-15j -0.0436396+7.78141e-15j 
0.169306+1.10857e-13j 0.126562+3.54206e-14j -0.0121273+2.8376e-15j 0.0632242+2.51397e-15j -0.196422+6.19224e-15j 0.00860696+3.389e-15j -0.0232751-4.7179e-15j 0.0676936+8.98176e-15j 0.300025+2.86268e-14j -0.0358665-2.14369e-15j -0.152092+9.52581e-15j -0.110217+1.0298e-14j 0.321322+2.54634e-14j -0.132465-1.48421e-14j 0.258272+3.82332e-15j 0.356323-2.83367e-14j 0.107209-2.2089e-14j 0.0600481-4.74739e-14j 0.135463+4.13011e-15j -0.0180786+5.22776e-15j 0.100055+1.6332e-14j 0.000928617+5.90749e-15j 0.299809+2.42774e-14j -0.351993-1.02426e-13j 0.203015+2.84848e-14j 0.139587+1.51649e-14j -0.430257+8.9347e-15j -0.0591853-1.28843e-15j 0.164379-9.03514e-14j 0.108277-1.77382e-14j -0.0785781+2.36611e-14j 0.147251+1.27756e-14j -0.0527335+1.3305e-15j -0.115616-2.27451e-14j -0.0839488+4.04788e-15j -0.00970459+2.45707e-14j -0.0668474-1.96334e-14j 0.0693609-1.00596e-14j -0.0646285-1.16824e-14j 0.0756171+6.41163e-14j 0.0802062-4.52739e-15j 0.0274176+5.05309e-14j -0.109255-4.71858e-15j -0.0657817-3.01793e-16j 0.126371+9.72182e-15j -0.100533+4.84984e-15j 0.0867942-9.52799e-16j 0.0347506-8.92259e-15j 0.0230959-4.10857e-15j 0.0282595+1.01218e-14j -0.0351178+2.17364e-15j -0.0241649-3.34103e-15j 0.0815416+2.86076e-15j 0.0182978-1.50965e-16j -0.00717578-6.74804e-15j -0.0524334+6.44551e-15j 
-0.0138365+2.32689e-14j 0.242982-9.07853e-16j 0.0735967-9.06796e-16j 0.0172815-1.90962e-15j -0.00781164-5.84437e-16j -0.322475-9.80192e-15j -0.0449964-1.32731e-15j -0.00603702-1.52231e-15j -0.257678-1.27189e-14j 0.254783+4.03836e-15j -0.0943733+3.8809e-15j 0.326028-1.07252e-14j -0.131877-6.93152e-15j 0.0541928+6.20266e-16j 0.0936157+1.26777e-14j 0.116666-1.26356e-14j -0.138575+2.14726e-14j 0.154902-1.12621e-13j 0.0302644-2.45527e-14j 0.111179-2.02476e-14j -0.176014-3.94134e-14j -0.261933-1.01189e-14j 0.257175-6.53669e-16j 0.133568-2.76353e-15j -0.185345-1.83553e-14j -0.0891356-1.65348e-14j -0.183302-3.99046e-15j -0.112284-2.33095e-14j -0.147903+6.80271e-14j -0.117521+1.36347e-14j 0.0298802-4.47987e-14j 0.123218-1.88197e-14j 0.215785-2.99204e-15j -0.18679+8.39846e-15j 0.109662+1.1335e-14j -0.15248-3.44357e-14j -0.0794027+2.70881e-14j 0.0660683+1.09726e-13j 0.103011+1.1052e-13j 0.00421769+3.74441e-15j 0.168788+1.10228e-13j -0.249444-7.87389e-13j 0.107882-1.12615e-15j -0.194776-9.61475e-16j -0.0395622-1.19186e-15j 0.0513504+1.57627e-15j 0.128428-7.88616e-15j 0.162945+9.43295e-16j 0.115183+3.70121e-15j -0.0251533-1.73659e-15j -0.200308+8.48333e-15j -0.00660436+3.0169e-15j 0.00228547-1.19601e-15j 0.043171-2.01603e-16j -0.0142662+1.40974e-15j -0.0506805+5.38131e-15j 
-0.0811828-5.82363e-14j -0.0740463-1.2013e-14j -0.016606+3.4724e-16j -0.0334577-8.09808e-16j 0.0949027-8.87227e-17j -0.022282-7.82716e-16j -0.00755047+2.05147e-16j -0.0738847-1.73122e-15j -0.1256-3.82512e-15j -0.233056-8.54616e-15j -0.00108537-1.07259e-15j 0.16899+8.98387e-15j 0.0847965+1.65343e-16j 0.223943+6.66388e-15j -0.247671+6.55477e-14j 0.292791-1.017e-13j 0.132713-4.63381e-14j 0.101342-1.21052e-14j -0.475352+1.33775e-14j 0.103728+1.40211e-14j -0.274084-3.12233e-14j -0.303481-2.36979e-15j 0.272389+2.58112e-15j -0.00245624-2.31133e-14j 0.212688+1.1864e-14j -0.0878273-4.4164e-14j -0.553163+1.08822e-14j 0.0288446-3.96777e-15j 0.237654-1.23009e-13j -0.522609-2.87574e-15j -0.0656619-2.09796e-14j -0.0371618+6.15183e-15j 0.0923863+8.30237e-15j 0.152387+1.83475e-14j 0.155634+2.83046e-16j 0.0040505-3.41177e-14j 0.127077+2.05841e-14j -0.0673391-1.39553e-14j 0.03362-3.03633e-14j -0.0409698-2.00623e-14j 0.0905333+1.34294e-14j -0.0103528-7.4312e-14j 0.0619526+6.67839e-15j 0.028232+1.3925e-15j -0.0249651-2.6154e-15j 0.00609158+2.79846e-15j -0.00632556+9.5977e-16j 0.0278567+2.86437e-15j -0.0309786-1.02951e-15j -0.0249021-2.34229e-15j -0.00448366-1.01036e-15j 0.033675+5.56686e-16j -0.101603-1.40733e-15j -0.0248406+2.0248e-16j -0.00766415+3.82519e-16j 0.0311414-3.63533e-15j 
