0.0253383-0j -0.247347-0j -0.000126591-0j 0.677192-0j 0.670246-0j 0.00184759-0j 0.00186673-0j -7.30876e-05-0j -7.3845e-05-0j 
-0.0999358-0j -0.02083-0j -0.144314-0j -0.00186673-0j -0.00184759-0j 0.692263-0j 0.699437-0j 0.000877051-0j 0.00088614-0j 
-0.0120281-0j -0.00124034-0j -0.00859331-0j -7.3845e-05-0j -7.30876e-05-0j -0.000877051-0j -0.00088614-0j 0.709473-0j 0.716825-0j 
-0.02083-0j 0.00203816-0j -0.000303707-0j -0.0174788-0j 0.0180357-0j 0.144291-0j -0.139836-0j 9.04413e-05-0j -8.76488e-05-0j 
-0.00107416-0j -2.26056e-06-0j 0.00299137-0j 6.32551e-06-0j -6.52704e-06-0j 0.01496-0j -0.0144981-0j -0.00044307-0j 0.00042939-0j 
0.00246776-0j -0.000741344-0j -1.8838e-07-0j -0.195676-0j 0.20191-0j 0.00017994-0j -0.000174385-0j -5.3293e-06-0j 5.16475e-06-0j 
0.0824428-0j 0.000350691-0j -2.55753e-05-0j -0.00147712-0j 0.00152418-0j 0.00601146-0j -0.00582584-0j 0.103465-0j -0.10027-0j 
0.0105246-0j 2.21489e-05-0j 0.000153452-0j -6.19771e-05-0j 6.39516e-05-0j 0.00076742-0j -0.000743725-0j 0.00434118-0j -0.00420714-0j 
