-0.923154+1.2258e-15j 0.285365-3.04608e-05j 0.00305997-0.00526753j 0.0679592+0.00238465j -0.0173474-0.00334524j -0.031217+0.00642931j -0.0274487-0.00219482j -0.0442925+0.000157001j -0.0453513+0.00811668j -0.0769582-0.000826368j 0.056261+0.00173911j 0.0123367-0.000517346j 0.0015942-0.000824116j 0.00986182+0.000788304j -0.0105983+0.00136504j -0.00802873-0.0014302j -0.0149225+0.000415345j 0.0116917-9.48424e-05j -0.0121997+3.67748e-05j -0.0100837+0.000349679j 0.0109372+0.000436668j 0.0123601+0.000136626j -0.0047759+5.2838e-05j -0.00221116+0.000103994j -0.02531+0.000422842j -0.0141108-6.78568e-05j 0.0191238+0.000274861j 0.0103541+0.000201171j -0.00121642+0.00100906j 0.028912-0.00102315j 0.0187023+0.000683487j -0.000571523+0.000941083j 0.0549165-0.000113418j 0.0275636-0.000635441j 0.0199271+2.79106e-05j 0.00823737+0.000492197j 0.0013028+4.00527e-05j 0.00505229-0.00140874j -0.00122142-8.05934e-05j 0.000118529+0.000530785j -0.0105458-0.000498167j 0.00621993+0.00093414j 0.00291994-0.000291814j 0.00492623-0.000249179j 0.00176422-5.26629e-05j -0.000792489+0.000354685j 0.0103087-0.000489964j -0.00512448+0.000424281j 0.00252298+0.000459649j 0.00338812+0.000238199j 0.00262565+0.00016404j -0.00391574+0.000508677j 0.00211379+0.000218282j -0.00936688-0.000154255j -0.0121668+0.000309091j -0.00339854+0.0018975j -0.00650149-0.0015323j 0.000365235+0.000278666j -0.00165232+0.000716357j 9.37422e-05+0.000456729j -0.00442483-3.52429e-06j -0.000279946+0.000101461j -0.0040094+0.000296545j -0.00161861+0.000967689j -0.000655134-0.000793269j 0.00023207+0.000126857j -0.00539765-0.000297087j 0.00370497+0.000422629j 0.00188263+3.67332e-05j 
0.285365+3.04608e-05j 0.0248054-5.68122e-17j -0.0337088+0.00381448j -0.0495494-0.0034629j 0.0552233-0.00176603j -0.0205058+0.0021164j 0.0390379+0.000958677j -0.00323868-0.00435797j -0.058935+0.000586528j -0.338013+0.00636536j 0.107277-0.00062709j 0.0147449-0.00128321j 0.0224979-0.00293848j 0.000236742+0.000400913j -0.0216104+0.00297438j 0.0256818-0.00190955j -0.0229753+0.000959743j 0.0584693-0.00302713j 0.0135597-0.00175273j -0.019572+0.000598941j -0.0233777+0.00128153j 0.00681243+0.000145925j 0.00557698+0.000413054j -0.0235288+0.00133012j -0.0531821+0.001805j 0.00797374+0.000107748j 0.02721+0.0011181j 0.00430771+0.00126193j -0.00459572+0.00134055j 0.0725853-0.00316314j 0.0302672+0.00207734j 0.0467355+0.00299931j 0.0640919+0.00371499j 0.0758136-0.00234461j 0.0259643-0.00108713j -0.0154149+0.00260443j 0.0190908-0.00171194j 0.0275785-0.00178601j 2.32528e-05+0.000344933j 0.00645295+0.0010199j -0.0218329-0.0019082j 0.0153266+0.00189501j 0.000563818-0.00108992j 0.00983051-0.00137597j 0.0150405-0.000832905j -0.0149652+0.00166362j 0.0377681-0.00171624j -0.0278045+0.00128366j 0.00297932+0.00136471j 0.00463087-0.000435364j 0.0244045+0.000834913j -0.00528967-0.000730589j 0.0111354-0.000206094j -0.0294258-0.000183799j -0.0256086+0.00345858j -0.0113051+0.00445256j -0.00489439-0.00721893j 0.0215857-0.0025437j -0.012412+0.002143j -0.011254+0.000611117j -0.016596+0.000878073j 0.000260822+0.000352597j -0.00766586+0.000102098j -0.00636569+0.00390157j 0.000589511-0.00206957j -0.00490989-0.00050072j -0.0145869-0.0028546j 0.000683967+0.00104522j 0.0104443+0.000549315j 
0.00305997+0.00526753j -0.0337088-0.00381448j -0.146356+7.45931e-17j -0.0691447+0.0021759j -0.0786952-0.00300718j 0.0756988-0.000479742j 0.0443253-0.00382196j -0.189388-0.00288641j -0.0280665-0.00070398j 0.565313+0.00348346j 0.0243557-0.00406822j -0.106184-0.000795653j -0.0843475+0.00341896j -0.00294868+0.000687462j 0.0545492-0.0050521j -0.0804482-0.00242647j 0.0674833+0.00345378j -0.0646719+0.00112843j -0.046196+0.000743397j 0.0303288+0.00407704j 0.0699687+0.00244011j 0.015377+0.00209868j -0.0235571-0.00641392j 0.038391-0.000541851j 0.0336286+0.00355355j -0.0262551+0.000961015j -0.00570876-0.00483183j -0.0171068-0.00292471j -0.0502118+0.00145613j -0.0329769-0.00177641j -0.0191734-0.000517997j 0.0233931-0.00777512j 0.138166-0.00575755j 0.0267072+1.239e-05j 0.0150853-0.000767536j 0.0673591-0.000322678j -0.00412628-0.000147816j 0.0105729-0.00418157j -0.00499646-0.000804268j 0.0164611-0.00120218j -0.0204671+0.00182992j 0.0118293-0.000369881j -0.0176286+0.000431906j 0.00754819+0.00268097j -0.00256399+0.000408296j 0.00680868+0.000198212j -0.0229527-0.00322077j 0.00810613+0.00242751j 0.00999989+0.00109963j -0.00369199-0.000286586j -0.0191176-0.00371629j -0.0211924+0.00219897j -0.00447569-0.000293032j -0.00305118+0.00188009j -0.00976703-0.00765283j -0.015542+0.00457127j -0.048795+0.00116832j -0.0329178+0.00127256j -0.00763101+0.0017692j -0.00427026+0.0016691j 0.0110659-0.00115796j 0.00105811-0.00115643j -0.0101498+0.00151411j 0.00511411-0.000725283j -0.000703508-0.00238399j 0.00640104+0.00396312j -0.00336329+0.00189518j 0.0184917+0.00153598j -0.00399864-0.000141473j 
0.0679592-0.00238465j -0.0495494+0.0034629j -0.0691447-0.0021759j 0.0472281+1.9082e-17j 0.048576+0.00339656j -0.296441-0.00165277j 0.0357831+0.0020624j 0.0636225+0.00400252j 0.301339-0.000289775j 0.377135-0.00503691j 0.0251525+0.00186833j -0.0511287-8.01572e-05j -0.0110538+0.000985834j 0.00250585-0.000106273j -0.040862-0.00277607j 0.0169219-0.0013521j 0.0165647+0.00110048j -0.0480254+0.00265181j -0.0173641+0.00113319j 0.0242071+0.000667037j 0.0181164+0.000134486j -0.0529449+0.000383053j 0.0138958-0.0014315j -0.00102618-0.000265055j 0.0141902+0.00160783j 0.00124414+0.000520427j -0.0290585-0.00240446j 0.014281+3.83494e-06j 0.00314177+0.00137293j -0.0286818+0.000459935j 0.0068266-0.00227983j 0.050567-0.00371134j 0.0379532-0.00157373j 0.0261786+0.0014982j 0.041582+0.000871826j 0.0259393+0.000885121j 0.0170466-0.000904982j 0.0020231+0.00245374j 0.000306681-0.00066902j 0.00201993-0.00326436j 0.00593131+0.00282133j -0.00599445+0.000387987j -0.00605083-0.000597049j 0.00535753+0.00222161j 0.0104-0.000902092j -0.00572166-0.000377556j 0.000457393-0.000960404j -0.00651641+0.000862431j -0.00262412-0.000363759j 0.000631767-0.000902951j 0.00338749-0.00438348j -0.00299779-0.00201636j 8.52846e-05-0.000668379j 0.00575972-0.00137652j 0.00804153-0.00625726j -0.00211647+0.00112535j -0.027524+0.000448423j -0.00438051+0.000813141j -0.00686098+0.000430021j -0.002277+0.000919009j -0.00862834+0.000725718j 0.00317122-0.000951286j -0.00123477-0.000568339j 0.0012853-0.000471576j 0.00356016-0.000468608j 0.00638605+0.00231975j -0.0038822+0.000635918j 0.00828454+0.00126434j 0.00284113-7.29122e-05j 
-0.0173474+0.00334524j 0.0552233+0.00176603j -0.0786952+0.00300718j 0.048576-0.00339656j -0.0300188+4.11455e-16j 0.0178873+0.00250536j 0.076721+0.00194179j 0.870722+0.000490115j -0.148596+0.0034343j 0.137605+0.000340967j 0.0778346+0.000450482j 0.0282771+0.00260844j 0.0226502-0.0021182j 0.0933263-0.00375213j -0.0385103+0.00360904j 0.0308526+0.00327924j -0.112447-0.00172783j 0.0398187-0.00313585j 0.0456207-0.00307436j 0.0300483-0.00359842j 0.039497-0.00498488j -0.00725287-0.00364998j 0.0219964+0.00460053j 0.0249227-0.0002557j 0.00223241-0.00203617j 0.0381427+0.000448972j -0.00937276+0.00172373j 0.0077779-0.000290113j -0.0335619-0.00130067j -0.0680557-6.82482e-05j 0.0206159+0.0019236j -0.0102669-0.00172085j -0.0505778+0.000249976j 0.0399484-0.000998376j 0.00913105+5.2586e-05j -0.0258457-0.000429336j -0.00706114-9.02187e-06j -0.00171202+0.00162303j -0.0069024-0.00593971j -0.0137472+0.00330485j 0.00127355+9.74041e-05j -0.0034125-0.00497543j 0.00283117+0.00415298j -0.0118614+0.00114573j 0.00792644-0.000267005j -0.0109453-0.00326123j 0.0121697+0.000313467j -0.00588306-0.00107881j 0.0120716-1.45759e-07j -0.00813808+0.00206499j 0.00535972-0.00381966j -0.00296992-0.000931916j -0.00348729+0.00147397j -0.00451926+0.00473351j 0.00994124-0.00742515j 0.00140065+0.000598624j 0.0109899-0.000426708j 0.024248-0.000375836j -0.00114531-0.000463356j 0.00199288-0.000458572j -0.00921937+0.000667424j -0.000610174-0.000262463j 0.00292906-0.00115667j -0.00163248+2.6434e-05j 0.000870718-0.000324254j -0.00231105-0.00145424j -0.00173267-0.00134369j -0.00777274-0.000222163j 0.00496304+0.000192948j 
-0.031217-0.00642931j -0.0205058-0.0021164j 0.0756988+0.000479742j -0.296441+0.00165277j 0.0178873-0.00250536j 0.0433431+3.09518e-15j -0.688694-0.00215112j 0.183114-0.00353445j -0.0052534-0.00196887j 0.239173+0.00132372j -0.0615532-0.00138905j -0.0199638-0.0013043j -0.0267147-0.000893535j -0.0274856+0.00111057j 0.118996+0.000126114j -0.0213021+0.000709268j -0.0388861-5.23087e-06j 0.0403641-0.00174884j 0.00361887-0.00226724j 0.0226679+0.000191443j -0.00192502+0.000886715j 0.0184924-0.00128581j -0.0307708+0.000855807j -0.00732633+0.00126952j 0.0222407+0.001989j -0.0038856+0.00213848j -0.0538186-0.001911j -0.00848212-0.0025056j 0.0146679-0.00166271j -0.0320185+0.00204589j 0.0131432-0.000760283j 0.00819722-0.00424218j 0.0135762+0.00255868j 0.00837916+0.00131054j -0.000241357-0.0009707j 0.0208054+0.000224696j 0.000285322+0.000340161j 0.0168137-0.00306528j 0.00206309-0.00142838j 0.000350733+0.00307138j 0.00137267-0.00239576j 0.0074078-0.00130118j -0.00283818+0.000480144j -0.00565521-0.000581983j -0.00747774-0.000298867j -0.000403993-3.27171e-05j -0.0088289-0.00101895j 0.00905054+0.000139684j -0.00679078+0.000468156j 0.0063425+0.00166342j 0.0118968+0.00155082j 0.00633829+0.00112946j 0.00996684-0.000259663j -0.00752169+0.00149943j -0.00349071-0.000572893j -0.00271826+0.00105572j -0.00525587-0.000701304j -0.00131786-0.000498183j -0.00191938-0.00010393j -0.00223805-0.000356404j 0.00669386-0.000207995j 0.00311421+0.000485267j -0.00152352+0.0014035j 0.000288142+0.00161881j 0.00218221-1.67979e-05j -0.00434079+0.000106948j -0.00218957+2.13376e-05j 0.00344934-2.78188e-05j -0.00143288+3.01607e-05j 
-0.0274487+0.00219482j 0.0390379-0.000958677j 0.0443253+0.00382196j 0.0357831-0.0020624j 0.076721-0.00194179j -0.688694+0.00215112j -0.137034+6.85866e-16j 0.0539078-0.00302779j 0.510382+0.00106269j -0.0795766+0.00397725j 0.0220868-0.00126474j 0.0321617+0.00076792j 0.0325013-0.00119983j 0.0080733+0.000534618j -0.0951335+0.000227387j 0.0670947-0.00227532j 0.0297289-0.00108243j -0.0234357+0.00196003j -0.0097826+0.00218015j 0.0232393-0.000818719j 0.00737416-0.00139586j -0.0683326-0.00131456j 0.0257659+0.00282973j -0.0217929+0.00011863j -0.0158416+0.00116426j -0.0119773-0.00128801j -0.00164948+0.000294208j 0.0198577+0.00215686j -0.0210279+0.00127089j -0.0127676-0.00185688j -0.00652292-0.00173514j 0.0186475+0.000898624j -0.0380351+0.00136079j -0.020115-0.00163767j -0.00331376-0.000324952j -0.0209876-0.000548771j -0.00503972-0.000802286j -0.00917949+0.0028371j -0.00408559+0.0025396j -0.00580923-0.00408812j 0.00483468+0.00322094j -0.00430349+0.00104752j -0.00238811-0.0013054j 0.00611371+0.00104017j 0.0105242+0.000414539j -0.000577058+0.000213236j 0.00256907+0.000813484j -0.00427788-0.000343355j 0.00309191-0.000510493j -0.00191907-0.00223014j -0.00202147-0.00280063j 0.000797827-0.00173383j -0.00846277-0.000581245j 0.00955999-0.000626503j 0.0146323-9.86884e-05j 0.00564286-0.0013649j 0.00554276+0.000423535j 0.0036372-0.00107672j 0.0029315-7.56827e-05j 0.00249885-0.000296527j -0.00456173-7.69368e-05j 0.00248668-0.000520502j 0.0031978-0.00119233j 0.00452384-0.00161476j 0.00222037+0.000110457j 0.00228015-0.000269554j 0.00264358-0.000362958j -0.00440393-0.000456772j 0.000985517+0.000147891j 
-0.0442925-0.000157001j -0.00323868+0.00435797j -0.189388+0.00288641j 0.0636225-0.00400252j 0.870722-0.000490115j 0.183114+0.00353445j 0.0539078+0.00302779j 0.0101434+2.07375e-15j 0.0708734+0.0039808j 0.0819173+0.000327411j 0.195813-0.00117152j -0.0838618+0.00330353j 0.184615-0.00141645j -0.0566486-0.00251954j 0.0380201-0.00503677j 0.0520095+0.0031833j 0.0390149-0.00180884j 0.0182623+0.00146815j 0.0260082+0.000198482j -0.0458114+0.00210835j 0.0638583+0.00241063j 0.00831004+0.0037164j 0.00335594-0.00682542j 0.0177455+0.000719026j 0.0109353+0.00407427j 0.00908322+0.00334714j -0.00874921-0.00495746j 0.0315129-0.00123595j -0.0276553-0.000575839j 0.0201529+0.00194613j -0.0080991-0.00191132j -0.00136201-0.0042887j 0.00714693+0.00161243j 0.0220378+0.00198245j 0.0410599-3.56396e-05j -0.0216576+0.000388443j -0.00399037-0.000726145j 0.00602064+0.000551804j -0.00880887+0.00485199j -0.00368771-0.0037898j -0.0223319+0.000928447j 0.0137821+0.00520873j 0.00539979-0.00309594j 0.00384088-9.96826e-05j 0.00776564+0.000916692j 0.00189067+0.00247633j 0.0120765-0.000574478j -0.010891-5.8429e-05j 0.00306946-0.00015465j 0.00232542-0.00297788j -0.00332068+0.00126643j 0.00119862-0.000182165j -0.00959326-0.00092593j -0.0016664-0.00350699j -0.00820658+0.00384228j -0.00887989+0.00054178j -0.00559982-0.00113569j 0.00390571+0.000285038j -0.0103493+0.000952712j -0.00222709+0.000574639j -0.00230352-0.000643106j 0.000970177+0.000107612j -0.010668+0.000389187j 0.0040181+0.000516566j -0.00281195-0.000752953j 0.00505847+0.000699743j -0.00265774+0.000114378j 0.000918665+0.000532078j 0.00416142+2.84357e-05j 
-0.0453513-0.00811668j -0.058935-0.000586528j -0.0280665+0.00070398j 0.301339+0.000289775j -0.148596-0.0034343j -0.0052534+0.00196887j 0.510382-0.00106269j 0.0708734-0.0039808j 0.0619781-4.66651e-15j 0.19547+0.00295382j -0.0205833-0.0013258j -0.0104972-0.000931232j -0.0297651-0.000644053j 0.0603107-0.00204359j -0.0532097-9.91763e-05j -0.0101083-0.00129913j 0.0243237+0.00100539j -0.025971-0.000194286j -0.00632412+0.000171965j -0.000842052-0.000386383j 0.0787131+0.000492702j -0.0140129+0.000933342j 0.026336-0.000636465j 0.0292823-1.67487e-05j -0.0252339-0.00161442j 0.00263676-0.00190282j 0.0311226+0.00173753j -0.0160629+0.00120005j -0.0121492+0.000571313j 0.00208846-0.00297111j -0.0124772+0.00112697j -0.00117424+0.000233697j 0.0297423+0.000209884j 0.0254069+9.53264e-05j 0.00506414-0.000319496j 0.0136197+7.78688e-05j -0.0095448-0.000222195j 0.00224578+0.00124246j -0.000952033-0.000147576j 0.00701301-0.00231162j -0.0146054+0.00328853j 0.00795343+5.41954e-05j -0.00238507+0.000563512j -0.00138002+0.00315185j -0.00967113+0.000189772j -0.00284918-0.000899456j 0.00137369-0.000342751j -0.000915904+0.000368287j 0.00232448+0.000928672j -0.00453642-0.00159076j -0.00920674-0.00562859j -0.00833956-0.000993287j 0.000878565-0.000188438j -0.00141766+0.000756911j -0.00184196-0.00659714j -0.00176281+0.000229523j -0.00285138+1.63901e-05j 0.000888095-0.000151582j 0.00125891-0.000267136j 0.00142145-0.000326348j -0.0011174+2.44898e-05j -0.00220602-0.000179901j -0.000862176-2.99361e-05j -0.000384847-0.000642645j -0.00233407-0.000467816j 0.00154924+0.000319495j 0.00102545+8.29409e-05j 0.000919818-0.000197295j -7.0654e-06+7.15965e-05j 
-0.0769582+0.000826368j -0.338013-0.00636536j 0.565313-0.00348346j 0.377135+0.00503691j 0.137605-0.000340967j 0.239173-0.00132372j -0.0795766-0.00397725j 0.0819173-0.000327411j 0.19547-0.00295382j 0.0284466+6.96437e-16j -0.430424+0.00137295j 0.0180757+2.08071e-05j 0.0915155-0.0058088j -0.0211742-0.00388551j -0.0234637+0.00373813j 0.0231125+0.00365524j -0.0285475-0.00130575j -0.043187-0.00410582j 0.0123822-0.00372537j -0.0298331-0.00311769j 0.000976093-0.000654202j 0.000536153-0.00338667j 0.00883885+0.00542021j 0.0342849+0.00128542j 0.0549482-0.00249475j -0.00282941-0.000880663j -0.00402629+0.003415j -0.00152987+0.00141236j 0.0268943-0.00171919j -0.0428653-0.00261425j 0.0206744-0.00245011j 0.00813915-9.85795e-05j 0.0192058+0.00166322j -0.0369057+0.000514008j -0.0339673-0.000791493j 0.0394082-0.000912392j 0.0228871+0.000543035j -0.0247543+0.0019025j 0.00366512+0.00402997j 0.00242256-0.00413241j 0.0210929+0.00456781j -0.0211519+0.00121826j -0.00240829-0.00289133j 0.00292356+0.000577764j -0.00298567+2.28134e-05j 0.0163408+0.00150417j -0.0228304-0.000188184j 0.0222341-0.000240241j -0.00864651-0.00181869j 0.00440437-0.00255169j -0.0118562-0.00137723j -0.00782071-0.00108018j 0.00182353-0.00243715j 0.010428-0.00297009j 0.0102655+0.00345023j 0.00334965-0.00350054j -0.00255026+0.0014976j 0.000322982-0.00183712j 0.00286654-0.000972801j 0.00220947-0.000759242j -0.00149964+0.000997224j -0.0025262-0.000799339j 0.0138923-0.00129494j -0.00259387-0.0022205j 0.00177571+0.000570187j 0.000501477+0.000547876j 0.00441276+0.000175769j 0.00252878-0.000388015j -0.00352619+3.44024e-05j 
0.056261-0.00173911j 0.107277+0.00062709j 0.0243557+0.00406822j 0.0251525-0.00186833j 0.0778346-0.000450482j -0.0615532+0.00138905j 0.0220868+0.00126474j 0.195813+0.00117152j -0.0205833+0.0013258j -0.430424-0.00137295j 0.0211091-1.63931e-16j -0.0236026+0.00146989j 0.00954498-0.000926447j 0.031354+0.00174075j 0.000720111+0.00198668j 0.0168997+0.0017655j 0.0215445-9.12512e-05j 0.00318233-0.000526581j -0.0400657-0.00224305j 0.00738093-0.000933226j 0.0317376+0.00150687j 0.0168975-0.00149135j -0.0117514+0.00374279j 0.0142422+0.000963135j 0.0199935-0.000112195j 0.0163623-0.00434161j 0.00875683+0.0020075j 0.0179758-0.00132713j 0.0457338-0.000902689j -0.0757768-0.00373932j 0.0601107-0.00279751j -0.0379216-0.00475639j 0.106693-0.0124051j -0.0472801-0.00571707j -0.0756808-0.00107866j 0.0773581-0.00384264j -0.034308-0.000435888j -0.012816-0.00647939j -0.000899429+0.00104637j 0.0147259-0.00185323j -0.0032585+0.00175424j 0.00837493-0.00125348j -0.0264903-0.000356351j 0.0163692-0.0004173j -0.0131939-0.000360875j 0.0142428+0.00199853j -0.0322182-0.00379995j 0.0286856+0.00321273j -0.00783089-0.000919015j 0.00951321+0.000349914j -0.0100612+0.000370773j 0.00294792+0.00422867j -0.00176775-0.0023279j -0.00483278+0.00180314j -0.020023+0.00206219j -0.00138979+0.000996998j -0.0855826+0.00890336j -0.0672707+0.000779169j -0.0238013+0.00271495j -0.00635712+0.0035343j 0.0274504-0.00238452j -0.000182978-0.000931504j 0.00303681+0.00268485j 0.00326545-0.000407108j -0.000714399-0.000687863j 0.00978625+0.00588079j -0.0111835+0.00392772j 0.0279248+0.00294849j -0.0134367-0.000707862j 
