-0.193465+1.55431e-15j 0.274383-0.0390992j -0.125857+0.839112j 0.58872-0.651079j -0.440576+0.465546j 1.27125-0.880016j -0.19503+0.301607j 1.58765-1.31088j -1.52672+1.27683j 0.300033-0.290591j -2.64705+2.12687j 1.20687-1.33921j 1.41171-1.15018j 2.35357-1.89128j 0.805127-0.644085j 4.83185-4.23297j -3.06497+2.69119j -0.290342+0.36328j 1.20559-1.15305j 0.848951-0.628415j 0.930852-0.829505j 5.32589-4.71305j -0.190373-0.201279j 4.15602-3.78269j 0.27341+0.0582719j -5.36081+0.0462518j -1.74416-1.54458j 0.17591-0.261805j -4.33346+3.83826j -0.00520584-0.0541712j 5.86288-5.21934j 1.02053-0.922156j -1.37385+0.982912j -1.58488+1.52157j 0.241932-0.265951j -3.29439+3.67094j 5.08433-5.60833j -0.61831+0.793849j 2.1043-2.94629j 1.32905-1.67465j 1.16542-1.54645j 2.11993-2.48579j -0.0656255-0.427281j 1.66293-1.7571j 1.29995-1.34657j 0.654767-1.2029j -1.53935+1.28953j 0.111987+0.980165j 0.774704-1.50093j 1.54781-0.104275j -1.49096-0.770895j 1.04097-2.36109j 
0.274383+0.0390992j -1.01133+3.77476e-15j 3.05951-0.451467j -3.6419-0.328113j 3.43578+0.270019j -8.96378+0.300145j 1.11306+0.727384j -11.4782+0.561496j 11.509+0.320178j -2.46282-0.2828j 18.6817-2.38081j -9.2184+0.683688j -10.5521+1.27543j -16.7328+1.37604j -6.2092+0.307126j -36.0074+4.58937j 23.2286-3.02157j 2.24123-0.0568501j -9.56447+1.73792j -7.47691+0.873548j -6.91354+1.22099j -39.8698+6.26728j 0.669833+0.730986j -30.2323+5.89314j -1.18483-0.234673j 25.802+13.915j 4.7042+11.9187j -1.44236+0.78219j 30.0171-6.19067j -0.890568+0.83452j -39.1849+9.44918j -6.85746+1.62046j 7.28584-1.98253j 9.36562-1.85897j -1.88761+1.08031j 23.3251-6.33499j -35.7416+9.51256j 5.92674-2.41147j -16.9059+5.13965j -10.3455+2.83867j -9.11059+3.06411j -18.2339+4.63475j -2.32165+1.77757j -10.9772+5.21962j -11.1884+3.83807j -0.346518+0.886055j 9.43618-3.61262j 2.4024-1.90683j -3.80061+2.94961j -4.47327+0.603057j 0.680109-1.49649j -1.49096-0.770895j 
-0.125857-0.839112j 3.05951+0.451467j -5.44943+4.55191e-15j 6.7169+2.53459j -6.62893-2.00616j 16.672+3.42238j -2.64758-2.05484j 21.2261+4.43062j -21.5522-5.9216j 4.60732+1.30655j -34.3847-4.59326j 17.2547+3.36648j 19.1901+2.39751j 31.246+4.92165j 11.1456+2.09898j 65.936+8.46111j -42.6401-5.63025j -4.05619-0.848847j 17.4901+1.56737j 13.9772+2.8162j 12.7756+1.36913j 72.382+7.84897j -1.13591-0.830695j 55.325+4.43711j 2.5838+0.806151j -38.2471-36.5575j -2.32822-22.634j 2.92288-0.279497j -55.2631-3.58421j 1.33963-0.917389j 72.7225+2.39367j 12.5031+0.503484j -13.4571+0.467826j -17.1889-0.939511j 3.94438-0.310308j -42.7702-0.310482j 65.2354+0.760313j -11.6583-0.312285j 30.4805-0.0691653j 18.9202+0.402287j 17.2149-0.0214523j 33.4839+0.954573j 3.73217-1.33579j 20.9554-2.33011j 21.7193-0.646581j 1.35436-1.18081j -17.396+1.8519j -5.71368+1.20795j 6.68107-1.0525j 5.19631+1.76841j -4.47327+0.603057j 1.54781-0.104275j 
0.58872+0.651079j -3.6419+0.328113j 6.7169-2.53459j -8.64497-3.28626e-13j 8.18451-0.417746j -21.2201+2.8338j 2.79789+1.85513j -27.2035+3.87031j 27.6753-1.94421j -5.7162+0.504339j 43.7643-9.82659j -21.9757+3.53137j -24.7464+5.64006j -39.5312+7.84433j -14.9175+2.75282j -84.1145+19.345j 54.1156-12.8001j 4.896-1.05917j -22.3099+5.57946j -17.6147+3.19982j -16.1449+4.25091j -92.4436+23.8497j 1.67496+0.0610131j -70.258+20.3612j -3.55808+0.289081j 64.6019+27.8105j 13.1057+27.0539j -3.53212+2.19618j 69.9989-21.0972j -1.95356+1.58593j -91.7016+30.0575j -16.1173+5.44934j 16.4894-7.57301j 22.0742-7.70202j -5.31232+2.13425j 53.2505-18.9089j -83.8446+29.5636j 13.6782-6.03275j -40.2333+16.0355j -24.2175+9.03242j -21.3244+8.98062j -43.7816+16.0288j -5.91517+3.25149j -26.554+14.8583j -25.8746+11.4985j -3.6788+1.27629j 21.441-9.83846j 7.64925-3.96634j -8.49011+5.43402j -6.68107+1.0525j 3.80061-2.94961j -0.774704+1.50093j 
-0.440576-0.465546j 3.43578-0.270019j -6.62893+2.00616j 8.18451+0.417746j -8.3211-1.04095e-12j 21.1256-2.06402j -2.7522-1.48499j 26.7316-3.13915j -27.0418+0.885935j 6.00452-0.153711j -43.1227+8.52159j 21.0295-2.70518j 24.0593-4.61594j 39.1411-5.79359j 14.2253-1.84041j 82.5356-15.923j -53.2004+10.3725j -5.35863+1.08718j 21.7136-4.91491j 17.3904-2.3806j 15.7684-3.55145j 91.0567-20.1362j -2.08173-0.7993j 69.0005-16.9779j 3.74083-0.266099j -61.1659-29.1721j -11.8829-26.9642j 3.36074-1.72187j -69.0391+17.9184j 1.81384-1.53951j 90.8593-25.4436j 15.8439-4.60595j -16.6934+6.60224j -21.7016+6.15655j 5.48495-2.10123j -53.3191+16.8956j 83.1902-26.1761j -14.1833+6.08626j 38.3407-14.2606j 24.3193-8.14949j 21.0785-7.63601j 42.0272-14.499j 6.44106-2.16158j 27.6367-13.307j 26.3405-10.0229j 2.23459-4.02178j -20.996+9.6818j -5.82381+2.16472j 7.64925-3.96634j 5.71368-1.20795j -2.4024+1.90683j -0.111987-0.980165j 
1.27125+0.880016j -8.96378-0.300145j 16.672-3.42238j -21.2201-2.8338j 21.1256+2.06402j -54.3101-2.06946e-13j 7.15745+5.09213j -69.002+0.870257j 69.929+4.35095j -15.5415-0.889916j 111.396-9.94303j -54.8948+1.56005j -62.7204+5.52778j -100.875+5.74054j -37.0355+1.40347j -214.082+19.1143j 138.48-12.7487j 13.1071-0.136123j -56.3641+6.48325j -44.3826+1.63172j -41.0139+4.53471j -235.873+27.7651j 4.74245+1.63252j -179.107+25.7218j -8.73081-0.761998j 148.377+89.0944j 24.0891+71.2123j -8.70818+3.64244j 179.198-27.5792j -5.1191+3.90485j -234.893+42.3108j -41.8095+7.81305j 43.9568-12.2139j 57.0399-10.1161j -13.7019+2.77663j 138.099-29.2244j -213.682+45.7143j 36.8076-10.3814j -101.916+25.0659j -62.0862+13.7221j -53.7583+14.7788j -110.394+23.1299j -14.2587+5.09523j -70.2592+26.301j -69.3941+19.3732j -6.7485+7.46634j 53.8705-14.2629j 20.996-9.6818j -21.441+9.83846j -17.396+1.8519j 9.43618-3.61262j -1.53935+1.28953j 
-0.19503-0.301607j 1.11306-0.727384j -2.64758+2.05484j 2.79789-1.85513j -2.7522+1.48499j 7.15745-5.09213j -1.071-3.9968e-15j 9.59401-6.33837j -9.71186+5.96252j 2.03417-0.763162j -15.3547+11.8221j 7.43246-5.45425j 8.4054-6.7872j 13.5487-10.39j 5.08719-3.76839j 28.8119-23.1577j -18.5046+15.1091j -1.94096+1.14817j 7.51535-6.39889j 6.30239-5.24907j 5.68909-4.555j 32.3794-26.4129j -0.888159+0.212278j 24.8761-20.2699j 1.08215-1.00312j -31.246+0.39986j -10.3134-8.56959j 2.06882-1.50964j -24.6212+21.2732j 0.25975-0.818858j 32.2371-29.2381j 5.9827-4.97848j -6.32142+6.74357j -8.3308+7.06251j 1.89167-1.57865j -18.0038+17.908j 28.9273-28.2012j -5.04104+5.53597j 13.2444-14.0254j 8.37474-7.9134j 6.94243-7.87593j 15.6984-13.3922j 1.3537-1.16723j 9.48802-10.7224j 9.11984-9.69496j 1.81525-2.55408j -6.7485+7.46634j -2.23459+4.02178j 3.6788-1.27629j 1.35436-1.18081j -0.346518+0.886055j 0.654767-1.2029j 
1.58765+1.31088j -11.4782-0.561496j 21.2261-4.43062j -27.2035-3.87031j 26.7316+3.13915j -69.002-0.870257j 9.59401+6.33837j -87.1147+1.03917e-11j 88.1405+6.52944j -19.4516-1.2052j 141.231-10.475j -69.4392+0.78677j -79.5519+6.24102j -128.24+5.04766j -47.2142+1.53885j -270.921+20.8521j 174.396-13.6886j 16.5965-0.242324j -71.5814+7.50676j -55.7483+1.03066j -51.8085+5.25954j -298.714+30.4176j 5.9412+2.32573j -226.884+29.4038j -10.5785-1.20009j 186.426+115.24j 29.1167+90.2221j -10.7484+3.9086j 226.92-31.9533j -6.07121+4.26211j -297.63+50.5284j -52.8191+9.33481j 55.5982-14.7636j 71.8692-11.6117j -16.0145+4.63447j 174.263-34.2551j -270.702+53.9449j 46.6502-12.5382j -127.829+29.3893j -78.8782+13.2164j -70.0508+17.7173j -141.653+28.5682j -19.1704+7.49497j -87.6923+30.8683j -88.8411+24.2072j -9.11984+9.69496j 69.3941-19.3732j 26.3405-10.0229j -25.8746+11.4985j -21.7193+0.646581j 11.1884-3.83807j -1.29995+1.34657j 
-1.52672-1.27683j 11.509-0.320178j -21.5522+5.9216j 27.6753+1.94421j -27.0418-0.885935j 69.929-4.35095j -9.71186-5.96252j 88.1405-6.52944j -89.4155+1.19016e-12j 19.4893+0.138832j -142.917+20.9974j 70.4242-6.45117j 80.5413-12.2845j 129.619-14.6796j 47.2111-4.66584j 274.633-41.9842j -177.279+27.2635j -17.0621+1.29127j 72.1228-13.5007j 56.2893-5.37076j 52.4856-8.97465j 302.604-53.8114j -6.15635-2.1909j 229.969-47.0376j 11.4307+0.262113j -200.054-104.422j -36.3012-90.6875j 10.9805-4.38747j -229.981+51.0935j 5.90361-4.75339j 301.282-74.9728j 53.045-13.5014j -57.9811+19.344j -72.0691+18.1341j 16.7756-6.33608j -175.893+48.6719j 274.102-74.5648j -46.615+16.2556j 129.12-40.9978j 80.0317-22.6198j 71.0693-23.7382j 142.89-39.0425j 19.8906-9.64164j 91.3095-39.2545j 87.6923-30.8683j 9.48802-10.7224j -70.2592+26.301j -27.6367+13.307j 26.554-14.8583j 20.9554-2.33011j -10.9772+5.21962j 1.66293-1.7571j 
0.300033+0.290591j -2.46282+0.2828j 4.60732-1.30655j -5.7162-0.504339j 6.00452+0.153711j -15.5415+0.889916j 2.03417+0.763162j -19.4516+1.2052j 19.4893-0.138832j -4.38989-1.66223e-12j 31.4619-4.84533j -15.215+1.64267j -18.0348+3.01621j -28.351+3.57027j -10.0617+0.771168j -59.9528+9.56869j 38.4137-6.46304j 3.37081+0.00148476j -15.8113+3.24632j -11.925+0.858414j -11.8088+1.97765j -65.4943+11.759j 1.42067+0.950494j -49.9364+10.6061j -2.00194-0.0945163j 44.0468+22.6741j 7.68771+20.0478j -2.40645+1.30771j 50.1517-10.8021j -1.21717+1.17957j -66.5068+16.7436j -11.2803+3.21289j 11.681-4.33838j 15.7971-4.30658j -3.48542+0.820863j 38.5805-10.5371j -59.4499+16.6245j 12.0806-2.3472j -28.9363+9.35486j -17.3278+5.31688j -16.1134+4.94807j -31.2794+8.45185j -4.3464+1.75249j -19.8906+9.64164j -19.1704+7.49497j -1.3537+1.16723j 14.2587-5.09523j 6.44106-2.16158j -5.91517+3.25149j -3.73217+1.33579j 2.32165-1.77757j 0.0656255+0.427281j 
-2.64705-2.12687j 18.6817+2.38081j -34.3847+4.59326j 43.7643+9.82659j -43.1227-8.52159j 111.396+9.94303j -15.3547-11.8221j 141.231+10.475j -142.917-20.9974j 31.4619+4.84533j -228.307-3.83693e-12j 112.347+7.06183j 128.694-0.0808319j 207.211+7.36106j 75.7648+3.32428j 438.545-0.0307148j -282.593+0.379847j -26.7585-1.52883j 115.653-2.91743j 90.4245+5.67692j 83.796-1.96234j 482.915-12.7303j -9.95703-4.65427j 367.408-19.4741j 17.717+2.69147j -284.856-207.716j -35.7585-148.234j 17.9048-5.74518j -366.708+24.6983j 9.83351-5.30978j 482.859-45.2034j 84.2943-8.90718j -90.584+16.7564j -115.95+9.10496j 27.4766-5.82528j -282.602+34.7887j 437.723-51.9334j -75.6977+11.6007j 207.882-32.8438j 129.061-15.7747j 112.63-20.5325j 228.202-29.2627j 31.2794-8.45185j 142.89-39.0425j 141.653-28.5682j 15.6984-13.3922j -110.394+23.1299j -42.0272+14.499j 43.7816-16.0288j 33.4839+0.954573j -18.2339+4.63475j 2.11993-2.48579j 
