0.0930661-3.88578e-16j -0.0642325-0.15657j 0.00420431-0.108953j -0.092366+0.07941j 0.0130126-0.0407094j -0.0875303-0.139369j 0.0207524+0.109995j -0.0145959+0.0522085j 0.0307274-0.0117822j -0.0258541+0.0704177j -0.00142019-0.0583183j 0.0183617-0.166543j 0.00741777-0.0511699j 0.0149432-0.0425274j -0.00073735-0.144218j 0.021689-0.0239776j 0.00676659-0.0945089j 0.0166558-0.200007j -0.0191148+0.123313j -0.0219106+0.0282199j 0.00658548-0.029402j -0.0820728-0.223723j 0.00166249-0.00456013j 0.00850268+0.0065756j 0.0264179+0.0341667j 0.0252677-0.00181841j -0.00633353-0.0110346j 0.003749-0.0621159j -0.00925303+0.0438842j -0.0121869+0.0104482j 0.0145998-0.0293483j -0.00698215-0.0224496j 0.00310829-0.00317327j -0.00518922+0.0190959j 0.00527159+0.0365576j -0.00301608-0.0162847j -0.00592796+0.0125231j 0.00284101+0.0319068j 0.000532667-0.0310769j -0.012113+0.0176868j 0.00416591+0.0311029j -0.00722711-0.0195617j 0.027223-0.00313904j 0.0282441+0.0122483j -0.0156132-0.00322581j 0.0353798+0.0197028j 0.03515-0.0142546j 0.00724434+0.0300115j 0.061416-0.0362444j 0.0172119+0.056282j -0.0202935+0.0218562j 0.00219684-0.0634903j 0.0287885-0.155868j 0.0191363-0.0352743j 0.00254972+0.00751473j 0.0591257+0.0280762j 0.0297096-0.0501937j 0.0241034+0.0226451j 0.0495437+0.0841293j 0.0094488+0.0693402j -0.0022978-0.0846419j -0.00247241+0.0390097j 0.00579111+0.0241679j -0.0236932-0.0131369j 0.000215293+0.00339729j -0.0101666+0.0212511j 0.0219996+0.0117096j 0.0109507+0.0207585j -0.00750244-0.0323432j -0.0151146-0.00458843j 0.0130259-0.0121558j 0.00387743+0.0303751j -0.0125621+0.0134739j -0.00421724+0.0139012j 7.80665e-05-0.0130738j 0.0263295+0.0178908j 0.0313851+0.0442199j 0.0714198-0.0167j -0.0265877+0.0315678j 0.0158069-0.0513392j -0.0333459-0.123398j -0.00842037+0.0286404j 0.00186752+0.0203095j -0.0481244-0.00551184j -0.0210713-0.0596805j -0.0363099-0.0402238j -0.00115228+0.0310075j 0.0180042-0.0631988j -0.025343-0.0151195j -0.00591659+0.0421868j 0.0115155+0.0278899j 0.00114681+0.0100378j 
-0.0642325+0.15657j 0.195736-1.80411e-16j 0.106162+0.12731j 0.116859-0.252993j -0.129015-0.0925096j 0.0443288+0.0175894j -0.0333762+0.127416j -0.0117223+0.12984j -0.00364986-0.00372156j 0.0194386+0.0132803j 0.00459434-0.0399947j -0.0124652-0.0564591j 0.0270665-0.0424369j -0.030148-0.0848982j 0.0538781+0.00951082j -0.0269578+0.0346555j -0.006327-0.0653176j 0.0564889-0.0449223j 0.0365848-0.0699467j 0.0654211-0.0437224j 0.0569341+0.0751929j 0.1266-0.101328j -0.0202899+0.00959564j -0.00029985-0.00964419j -0.0261143-0.03074j -0.00133286-0.0284288j 0.0474515-0.0320522j -0.00099481+0.0100951j -0.00291792+0.0356627j 0.00794783-0.0125758j 0.010019-0.0226232j -0.0317553-0.0120439j 0.0187479-0.0185767j -0.00573228-0.0209686j 0.0233203-0.0210163j -0.00137599-0.0250573j 0.0123114+0.00441845j -0.0293749-0.010847j 0.0213986+0.00930774j 0.00779906+0.00434929j 0.0211734+0.012166j 0.00186693-0.0216858j 0.00190293+0.0428783j 0.00806848+0.015424j -0.0245837+0.0316682j 0.0110294+0.0182227j -0.00522928+0.0176463j -0.0330424-0.00985203j 0.0141989-0.0498646j -0.00999459-0.0381899j 0.0189658+0.00826242j 0.00997297-0.0306723j 0.0392766+0.0548607j 0.000233912-0.0449043j 0.00754951+0.0302935j -0.0553916+0.0622449j 0.000111712+0.0292707j 0.0225695-0.00998381j -0.0714183+0.00788211j -0.0660294-0.0234863j 0.0653321+0.0217273j 0.0215929-0.00854158j -0.0118916+0.00390358j 0.00306192-0.0100845j -0.0216-0.000756504j -0.0184859-0.00965599j -0.00199634-0.000308887j 0.0129599+0.0352234j 0.0224009-0.0179442j 0.00288008-0.0134656j 0.0406856+0.00422839j -0.00951732-0.000956501j 0.0266593-0.00751604j -0.00186277-0.00599673j 0.0529107+0.0279157j -0.0179487+0.0719568j -0.0545274+0.0069935j 0.00342593+0.0541977j -0.00849844-0.0617346j -0.00497485-0.00577682j 0.0233277-0.00239372j -0.0538176+0.00311187j 0.0032271+0.0149083j 0.00037107-0.0378054j 0.036593-0.00372278j 0.0461446-0.0241878j -0.0143231+0.042246j 0.0214366+0.0152842j -0.0185688-0.0201169j -0.0571906-0.00691136j -0.0256416-0.00508919j 0.00208955+0.0130217j 
0.00420431+0.108953j 0.106162-0.12731j 0.338459-5.36376e-15j -0.211236-0.125602j -0.0578787+0.25701j 0.0139526-0.0224016j -0.0138347+0.0100817j -0.00927629-0.125848j 0.0288506+0.0609621j 0.0128462-0.00496108j -0.00753024+0.112282j -0.0129835-0.0141701j 0.0138371+0.0207775j -0.00495923+0.0797826j 0.0197503-0.0948121j 0.0546274-0.088451j -0.0141923+0.00340035j -0.00800497-0.0693643j -0.0359599+0.110968j 0.0411089+0.0408836j 0.000544107-0.167539j 0.0117559+0.108116j -0.0225697-0.0154255j -0.0078709-0.0287355j 0.0322928-0.00430489j -0.0365186-0.00611123j 0.00249668+0.00421873j -0.0148869-0.000945027j 0.0211357-0.00753115j 0.0144443-0.0329919j -0.0249762+0.0219203j 0.0180135+0.028065j -0.0120797+0.0172997j -0.00318405+0.0297654j -0.0100788+0.00376045j 0.0239961-0.0257339j -0.00297806+0.0216901j 0.014613+0.00865946j -0.00382646+0.00238959j -0.0178635+0.0157089j -0.00907728+0.00333097j -0.00589975+0.0196493j 0.00790021-0.01907j 0.02706-0.00572276j 0.0227507-0.0190772j 0.0542227-0.0189879j -0.00534161-0.00505906j -0.0261297+0.0132276j 0.0203591+0.0487182j 0.00423803+0.0063237j -0.0087301-0.00856957j -0.0135393-0.00160966j -0.0231857-0.0639136j -0.0125916-0.00296277j 0.00478587-0.0180945j -0.0261422-0.0276596j 0.000649946-0.0158652j -0.0340781-0.00917195j -0.0241244-0.0124806j -0.0078456-0.0161415j -0.0128058+0.0233698j -0.0315097-0.0231229j -0.00538757+0.00100355j 0.0087552+0.0170524j 0.0391953-0.0173552j 0.0113231+0.00646476j 0.0345932+0.0120919j -0.00135878-0.00598541j 0.0172994+0.0138925j 0.00524455+0.00582201j -0.000334968-0.00215877j 0.028888+0.0354298j 0.00977555+0.0190514j -0.00328197-0.0173388j 0.0104948-0.0295227j -0.000798356-0.0244529j -0.0159241+0.00710314j 0.0214688-0.0269579j -0.019413+0.00256122j 0.00282323+3.01557e-05j -0.00852936+0.0214768j 0.000921925+0.00157728j -0.00300119-0.0088753j 0.0192208+0.0171614j 0.0129108+0.024451j 0.0138065+0.0195375j 0.0113699-0.0185438j -0.0123843+0.0219008j 0.00820293+0.0111399j 0.00151434-0.00410801j -0.00601109-0.0188905j -0.00148597+2.80913e-05j 
-0.092366-0.07941j 0.116859+0.252993j -0.211236+0.125602j 0.238671-2.8727e-15j -0.0548983-0.090909j 0.00403085-0.0464842j 0.0117904+0.047545j 0.0235495-0.146379j -0.0199356+0.0182267j 0.0163634+0.0654794j 0.0239633+0.123768j -0.0117049-0.110009j 0.00654558+0.0439484j -0.0216193+0.0890791j 0.0608683-0.155829j -0.0391806-0.0603119j 0.00870483-0.0306462j 0.00815917-0.123098j 0.028004+0.129321j 0.0274096+0.0394488j -0.000847783-0.146585j -0.00677658+0.0413531j 0.00580348-0.00977443j -0.0200189-0.0346279j 0.018465-0.0543429j -0.0221762+0.00803815j -0.000861724-0.0250558j -0.022485-0.0554387j 0.00534649+0.00693181j -0.00662687-0.0271882j -0.0104524+0.00181124j 0.0054575+0.0296932j -0.00617454+0.0290275j -0.0369422+0.0078667j -0.000208516-0.000595489j 0.0118995+0.00401616j -0.0143618-0.00139944j -0.0138462+0.0137102j 0.00351128+0.040637j -0.000890314-0.00865845j 0.00577429-0.0202246j -0.0337192-0.0175044j 0.024013-0.0247661j 0.0206797+0.0295265j -0.016277+0.0108695j 0.021341+0.0210891j 0.00608849-0.0247984j -0.0182622-0.000553776j 0.045865-0.0127844j 0.0267927+0.0318133j 0.0185993+0.0130798j 0.00430339+0.00431626j -0.0445565-0.0146852j -0.0134672+0.000334825j -0.00637796-0.0490992j -0.0212231-0.0242772j -0.0123524+0.0295071j -0.0113184-0.0330231j -0.0112234-0.0132232j -0.00339245-0.00761075j -0.00991585+0.0172659j -0.0372624+0.0122518j -0.00115005+0.017441j -0.00689335+0.0300661j -0.0113006+0.00139536j 0.00543624+0.00942946j 0.00226366+0.0330333j -0.00790357+0.00342625j 0.00941638+0.00181254j 0.0098133+0.00475244j -0.00127665-0.00102273j -0.0206916+0.0191866j 0.0030051+0.0111988j -0.0139546-0.00756925j -0.0110381-0.0175024j -0.0451808-0.00452628j 0.00647414+0.000673704j 0.00522353-0.0374158j 0.0027118+0.0106877j -0.00804979-0.0183369j -0.0206264+0.00276813j -0.00133303+0.00887142j -0.0014853-0.00263627j 0.00736443+0.0204047j 0.00735452+0.00878541j 0.00578564+0.0126885j 0.00512389-0.0175619j -0.0042413+0.00903347j -2.52208e-05+0.00239225j -0.000938064-0.000980353j -0.00523361-0.011319j -0.000932398+0.0017326j 
0.0130126+0.0407094j -0.129015+0.0925096j -0.0578787-0.25701j -0.0548983+0.090909j 0.129192-2.67147e-16j 0.0721514+0.0462943j -0.0462395+0.0457025j -0.0375419-0.0273495j 0.0331991-0.00524053j -0.0261077+0.0489366j -0.000754027+0.0328779j 0.0238264-0.0532382j -0.014609+0.0167438j -0.0354073+0.0237876j 0.0686633-0.0789761j -0.0462796-0.0196044j 0.00026902-0.0439109j 0.0548334-0.0734204j 0.0444583-0.0583095j 0.100159+0.054777j 0.00897717-0.0731236j 0.161427+0.0129407j -0.000187484-0.0576846j -0.0160964-0.033941j -0.0346882+0.0165787j -0.0234107-0.0102877j 0.0360455-0.00542893j 0.0166829+0.00776761j 0.0259957+0.0259352j -0.0221006-0.0443873j -0.03313+0.0455005j -0.0020546+0.0251093j 0.0194721+0.0180017j -0.00658454+0.0116611j 0.0215338-0.000456407j -0.0125866-0.0341458j 0.00121372-0.0139273j 0.00704706-0.0232357j 0.0184805+0.0192788j -0.00641277-0.0332906j 0.0111094+0.0188739j -0.026895-0.0218593j 0.0129813-0.00869658j 0.0065151-0.000601397j 0.00397714+0.0678092j -0.0215943-0.00858887j 0.00475605+0.0154577j -0.0183067-0.027219j -0.00294753+0.0430313j -0.0740467-0.0573576j -0.0125603+0.000307734j 0.0267493+0.0143202j 0.0651196+0.136978j 0.0653561+0.00488859j 0.0192383+0.06755j -0.109051+0.130067j -0.0395337-0.0136943j 0.0832848-0.0200769j -0.114193+0.000373672j -0.0640616-0.0519107j 0.109389+0.0812041j -0.0112945-0.0294245j -0.0305484+0.00799564j -0.0191131+0.0431909j -7.43898e-05-0.0398615j 0.00108952-0.0225487j 0.00254214+0.00643469j 0.0238481+0.0283976j 0.00990376+0.0308185j 0.0240996-0.0165241j -0.00213123+0.0307317j -0.00290005+0.00250181j 0.0153809+0.0101773j -0.00694126-0.023137j 0.0417556+0.030859j -0.0585846+0.077488j -0.0655602+0.0269028j -0.00933317+0.063505j 0.00189508-0.0700563j 0.0220612+0.0891265j 0.0856956+0.0795601j -0.138858-0.0210295j -0.00769543+0.0185255j 0.0217676-0.0884485j 0.0852488+0.0314595j 0.0953407-0.00533019j -0.0171711+0.0272468j 0.011143+0.0762407j 0.0116912-0.00719293j -0.0803993-0.0553861j -0.0444201-0.036221j 0.00694659+0.00870391j 
-0.0875303+0.139369j 0.0443288-0.0175894j 0.0139526+0.0224016j 0.00403085+0.0464842j 0.0721514-0.0462943j 0.0182738-1.61329e-16j -0.032791+0.100575j -0.0174712+0.165738j 0.0541182-0.0992123j 0.078033+0.0518362j 0.00188921+0.0240698j -0.0373236+0.00423355j -0.0499643-0.0486649j 0.0230759-0.0980698j -0.043821+0.000596886j 0.030233-0.0723177j 0.0352556+0.0346577j -0.165428-0.0211043j -0.0196193+0.0334547j -0.0126651-0.0200763j -0.118194-0.0492183j 0.0480691-0.000525389j -0.00932054-0.0777507j 0.00963689-0.0338586j -0.000291367+0.0363988j 0.03588+0.0102219j 0.0241834+0.01704j 0.0228248-0.0243124j -0.00160373+0.0208169j 0.0534695-0.0262549j 0.0415806+0.00778153j 0.00784447-0.0208487j 0.0390988-0.0213664j 0.029618+0.0309705j -0.024958-0.0469639j 0.0569687-0.095502j 0.00801798-0.0244211j -0.0112252+0.00189204j -0.016434-0.03061j 0.000595157-0.0451624j 0.00869495-0.0263283j 0.0167054-0.00412153j -0.024419-0.00303104j -0.033688-0.0110005j 0.00776854-0.0528028j 0.026392-0.0427273j -0.00623726-0.0248414j -0.00625415-0.0137362j -0.046984+0.0179276j 0.037476+0.113376j 0.0864711-0.0127703j 0.00431618+0.0612015j -0.11348+0.0225925j -0.0698509+0.087103j 0.0194066-0.137547j -0.0438681-0.0283142j -0.0287126+0.086138j -0.11373-0.0429005j -0.0904196-0.0293334j 0.112065-0.0521941j -0.119287+0.0369746j 0.0699657-0.017576j 0.0215812-0.00436706j -0.0101342-0.0638229j -0.00539911-0.0362046j -0.00951102-0.00874705j -0.00330272+0.00205988j 0.0122712-0.00162902j -0.0078355+0.0229567j -0.0112417+0.0209642j -0.0446533+0.0234979j 0.0100603-0.0187863j -0.0285265-0.0160057j -0.00134479-0.0105856j -0.0400647+0.0271922j -0.0872713+0.0471904j -0.0621407-0.0182819j -0.0700917-0.0381537j 0.013003+0.0856838j 0.0208298+0.0149451j -0.049621+0.112315j 0.0754205+0.0302865j -0.0569555-0.00021899j 0.166989+0.0173737j -0.0297695+0.0511681j 0.0352587+0.0191146j -0.0393023-0.0266086j 0.0540512+0.0201448j -0.020069+0.0280734j 0.0461395+0.0236819j -0.051497+0.0301725j 0.0337784+0.0171331j 
0.0207524-0.109995j -0.0333762-0.127416j -0.0138347-0.0100817j 0.0117904-0.047545j -0.0462395-0.0457025j -0.032791-0.100575j 0.0751386-1.01308e-14j -0.0205976-0.0371053j -0.0425517-0.00807349j -0.042903-0.011727j -0.0277887-0.0148324j -0.0431543-0.169036j 0.0100165+0.00462095j -0.0393823+0.0844943j -0.120113-0.0270874j -0.0258718+0.0831829j -0.0390753-0.0509158j 0.0891654+0.0303726j 0.0330568-0.145905j -0.0435332+0.14821j 0.0195768-0.0562269j -0.142474-0.0169223j 0.0573644+0.0103302j 0.0195311+0.0558531j -0.0233035+0.0778683j 0.0449482+0.0203517j -0.0318901+0.025845j 0.0465132+0.00569204j -0.00335571-0.037904j 0.0692688+0.0420785j 0.0397174-0.0369988j -0.00215398+0.000161791j -0.00148902-0.0568019j -0.0291489-0.00236954j 0.00881572-0.0278326j 0.0381343+0.0441158j 0.0244789-0.0805583j 0.0123801-0.0503359j -0.0337221+0.0746961j 0.0151722-0.0402481j -0.0266087-0.0942678j 0.00464209+0.128556j 0.0207624+0.0234885j -0.0208146-0.0223201j -0.053538+0.0537214j -0.0156062-0.00120041j -0.00769396-0.00981144j 0.0486869-0.0435896j -0.049058+0.151696j -0.0220963+0.0195252j 0.0623288-0.0529985j -0.0430384+0.0690865j -0.0438983+0.0869321j -0.0485397+0.00790333j 0.0397913+0.131044j -0.048981+0.119237j -0.0223173+0.066542j -0.0203375+0.0657727j 0.0812494-0.0193347j 0.0488665-0.0180508j -0.0597173+0.0562845j 0.023394+0.0232886j 0.0238008-0.00861198j 0.011601-0.00300887j 0.0438439-0.0396893j -0.0421134-0.00158297j -0.0349446+0.0489867j -0.0126119+0.000904642j 0.0157361-0.0107752j 0.00990968-0.0278689j -0.008319+0.0400005j -0.0319471+0.0044874j -0.000909985+0.00362705j 0.0547662-0.052688j -0.0793645+0.0134133j -0.0989663-0.00270066j 0.0387027-0.0258403j 0.0493447+0.111716j -0.0120644-0.0364234j -0.0296223+0.070447j 0.000623803-0.100922j 0.0683556-0.0671658j 0.0376549-0.0171563j -0.0308766-0.0515792j -0.0463277-0.0692314j -0.0374249-0.0111891j -0.0344747+0.0083447j 0.0229993-0.0217881j 0.0071851-0.0512275j 0.05934-0.0355014j 0.0119227+0.0557313j 0.0108444-0.0342675j 
-0.0145959-0.0522085j -0.0117223-0.12984j -0.00927629+0.125848j 0.0235495+0.146379j -0.0375419+0.0273495j -0.0174712-0.165738j -0.0205976+0.0371053j -0.0647349+5.73847e-15j -0.100583+0.0698244j 0.00595972+0.00490881j 0.0607728+0.130248j 0.149584+0.0232923j 0.0414534+0.00720884j 0.223593-0.098116j -0.0650025+0.0620717j 0.0154517-0.0154283j 0.0972096+0.0333436j -0.00279216-0.0459615j 0.00178728+0.0392936j -0.0596937+0.0610676j -0.0613495-0.0229277j -0.0571825+0.0029594j -0.0460066-0.0355353j -0.00230958+0.0187396j 0.0235596+0.0732886j 0.0545105+0.0348643j 0.0120635-0.0334457j -0.00443285+0.0458701j 0.0348719+0.0652395j 1.49205e-05-0.0267249j -0.0292092-0.0245531j 0.00672242+0.0333529j 0.00138373-0.0541885j -0.025574+0.000465689j 0.00412141-0.00811556j 0.0362843-0.0773197j 0.000418666+0.0496498j 0.00711973+0.0079837j 0.0198702-0.0436276j 0.00494668-0.0207581j -0.0811493+0.133439j 0.00843775-0.0319544j 0.0382043+0.0196692j -0.0279503+0.0208102j -0.0522659+0.0793812j -0.0441+0.0693008j 0.0761608+0.0348748j 0.067588-0.193518j -0.010457-0.00415162j -0.0146664-0.00697967j 0.0622723-0.0953048j 0.0617554+0.0378402j 0.0689888-0.0432364j 0.00264651-0.00667834j -0.0132925-0.0870962j -0.0821262+0.0722706j 0.0842518-0.0933542j -0.0846545+0.12935j -0.0578174+0.0147808j 0.0297107-0.062463j 0.0393598+0.0349158j 0.0101631+0.000125458j -0.019227-0.0230872j -0.00485597-0.028985j -0.021237-0.0360957j 0.00125159+0.0106368j -0.0432323+0.0224281j 0.011993+0.0426101j 0.00291066+0.0354859j 0.00193519-0.0473417j 0.000698895+0.0658648j -0.0644692+0.0120941j -0.0203054+0.0151675j -0.0285025-0.0452432j 0.00678213+0.0573496j -0.0225363-0.00503903j -0.0130234-0.0290788j -0.00699064-0.0351446j 0.0265757+0.00118433j 0.049715-0.0548268j 0.0165039-0.00382018j 0.0241875-0.019853j -0.0370089+0.00870419j 0.0243542-0.00533595j -0.0115845-0.00575842j -0.00524101+0.0171275j -0.0210557+0.0294189j 0.00623205-0.0336746j 0.0103986+0.00819225j -0.00573511+0.0172406j 0.0149465+0.0186562j -0.0307777-0.00106236j 
0.0307274+0.0117822j -0.00364986+0.00372156j 0.0288506-0.0609621j -0.0199356-0.0182267j 0.0331991+0.00524053j 0.0541182+0.0992123j -0.0425517+0.00807349j -0.100583-0.0698244j 0.0571091+2.00881e-15j -0.006006+0.0685618j 0.0341445-0.0231213j -0.042263-0.0114056j 0.0135904-0.0436503j 0.0296127+0.0763313j 0.0949941+0.0112062j -0.187978+0.0997625j -0.0421784+0.0165346j -0.000363597-0.0898005j 0.0851789+0.0171415j 0.0112924-0.00360458j 0.000938816+0.136461j 0.0988024-0.0255389j -0.0194474+0.117357j -0.049653+0.0584749j -0.00337176-0.0432928j -0.055562+0.0439264j -0.0143526-0.0281761j -0.0217587-0.0345058j -0.0026088+0.00753342j -0.0340271+0.0636011j -0.0392604-0.0159516j 0.0243352+0.0778015j 0.012077-0.0326596j 0.0333019+0.0417456j -0.0041729-0.0264213j -0.0447885+0.0748425j -0.0262324+0.0263106j 0.0499368+0.0840661j -0.0240405-0.0151864j 0.0243099+0.048834j -0.0173097-0.0106464j -0.0314597+0.140552j 0.0659461-0.0670052j -0.0180557-0.109262j -0.113352-0.110824j -0.0219372+0.0179057j -0.0456917-0.145822j -0.0253801-0.0700848j 0.0150846+0.0484169j 0.082837+0.0670406j 0.0602247-0.0756908j -0.0917331+0.0131784j -0.00672667-0.103259j 0.0140054-0.0483192j -0.0485477-0.0684097j -0.109904-0.0668487j 0.0860007-0.0717725j -0.0425016-0.0511234j -0.0542029-0.154053j -0.0101111+0.052453j 0.0215406-0.0625167j -0.0279022+0.0516421j 0.0212811-0.00314525j 0.00488868+0.0533275j 0.00929228+0.0184188j 0.0466894+0.0224588j -0.0320374-0.0473894j -0.0052263-0.00833698j -0.00101258-0.0272354j 0.0420452-0.0100371j -0.0419075-0.0118809j -0.0161121-0.0070489j 0.0309733-0.0054157j -0.0196311-0.0144578j -0.0531074-0.0227705j -0.0305362-0.0219143j -0.0214479-0.00182981j 0.00996836-0.10503j 0.0704399-0.0259005j -0.0567019-0.0401748j 0.0119074-0.0447315j -0.0302848+0.0471729j 0.00637144+0.00290686j 0.0299436+0.0818267j 0.0124861+0.000438357j 0.0417674+0.0223778j -0.0212364-0.0318255j -0.0176302-0.0298981j -0.0365868+0.000911487j -0.069749+0.0234978j -0.0628514-0.0427215j 0.0143647+0.0345526j 
-0.0258541-0.0704177j 0.0194386-0.0132803j 0.0128462+0.00496108j 0.0163634-0.0654794j -0.0261077-0.0489366j 0.078033-0.0518362j -0.042903+0.011727j 0.00595972-0.00490881j -0.006006-0.0685618j -0.193743-4.48808e-14j 0.00802166+0.0214302j 0.14799+0.00853041j 0.105571+0.0355941j 0.0188117-0.032381j 0.118182+0.108941j 0.0641323+0.038696j -0.0472201-0.119536j 0.0182964+0.0341058j -0.0268628+0.0897581j -0.110944+0.0436158j 0.0557466-0.024852j 0.0725234-0.0519457j 0.0674485+0.0303127j 0.0255906+0.0172089j -0.00709839+0.0342256j -0.0270723+0.0691358j -0.0326051+0.068183j 0.0565479+0.00128168j -0.0460656+0.0264193j -0.0134936+0.0708667j -0.0249534+0.0303344j 0.00502547+0.0441694j -0.0267685-0.0404539j -0.0246116+0.0396366j -0.0204569-0.0254968j 0.0130379-0.0315365j -0.10401+0.145526j 0.0462654-0.0615691j -0.0288745+0.0323381j 0.00366143-0.0274215j -0.0329623-0.0316204j 0.0146245+0.131324j 0.0352788-0.0997693j -0.0397375-0.0281838j 0.0683009-0.135216j 0.00651712-0.104263j 0.0247401-0.0557157j -0.0405049-0.0566735j 0.00169001+0.0246032j -0.0714849+0.0551448j -0.0603831-0.007914j 0.0192692-0.00603689j 0.0812298-0.0744781j 0.0359766-0.0692234j 0.0165316-0.0879031j 0.0860862-0.0329269j -0.0104714-0.09425j 0.0297872+0.0217453j 0.0788502-0.0480108j 0.0178042-0.0507306j 0.0252995+0.0468306j 0.0179755+0.025204j 0.0262876-0.0201185j 0.0202827-0.0143049j 0.034339-0.0222506j 0.0145842-0.0218808j -0.061402+0.0214512j -0.028162+0.0276592j 0.0302131-0.0250699j 0.015867-0.0408472j -0.00916668-0.00114667j -0.0521871-0.0321821j 0.00253115-0.0250705j -0.00404021-0.00546235j -0.045824+0.0256014j -0.0359459-0.0202033j -0.00212786-0.0167038j 0.0304149-0.0403128j 0.034754-0.0421641j 0.0351344-0.00240439j 0.0661232+0.0375517j 0.00642539-0.0434465j 0.016318+0.00194993j -0.0426991-0.0154176j -0.00700658-0.0232069j 0.00649138+0.0143339j -0.0309411-0.0156718j 0.00160162-0.0196512j -0.00438429+0.00495495j -0.0124091-0.0170226j 0.0160061+0.0101084j -0.00424049-0.0104707j 
-0.00142019+0.0583183j 0.00459434+0.0399947j -0.00753024-0.112282j 0.0239633-0.123768j -0.000754027-0.0328779j 0.00188921-0.0240698j -0.0277887+0.0148324j 0.0607728-0.130248j 0.0341445+0.0231213j 0.00802166-0.0214302j -0.0131537-8.41688e-15j -0.153515-0.116839j 0.00799168-0.00107663j -0.0720471+0.028109j -0.226685+0.135709j -0.261576+0.0452164j -0.220172-0.0564152j -0.0858942+0.0012118j 0.215198-0.149571j -0.0615001+0.12377j -0.0308017-0.00989726j -0.0240367-0.00355531j -0.0320817-0.067628j -0.00338663-0.00360249j 0.0249248-0.0231475j -0.00683288-0.00205385j 0.0263427-0.0437321j -0.0565785+0.00955724j 0.0585681-0.00407867j -0.00585726-0.0367077j -0.0330487-0.000111398j -0.0163439+0.0165427j 0.0296213+0.0249747j 0.0220138+0.0775602j 0.0440772-0.0776644j 0.00978356-0.0110998j -0.0268085+0.0658245j -0.0161037+0.0149839j 0.00896914-0.0880317j 0.0369519-0.080547j -0.0440833+0.0939807j -0.0370617+0.0385413j 0.00216016-0.0816685j -0.00886296+0.083056j -0.0127407+0.0187004j -0.0570077+0.0840196j 0.0425062-0.0256855j 0.100567-0.0362917j -0.00850862-0.0214742j -0.026763-0.0160193j 0.0640215-0.0422242j 0.0134198+0.0111284j 0.0742455-0.0302678j 0.00829818-0.0649543j -0.0218685-0.0348181j 0.00179582+0.00936737j -0.0239248-0.0309998j 0.0164772-0.0224122j 0.0277483+0.022587j -0.0117507-0.00719103j 0.00614214-0.0240206j 0.00726283-0.0415822j -0.0213064-0.0125441j 0.0111493-0.0319916j 0.000107293-0.0154703j 0.0167702-0.00558423j -0.0381177+0.00748j -0.00772684+0.00831415j 0.0032997+0.00110562j 0.0178298-0.00559893j 0.0194566-0.0148513j -0.0258171-0.0353647j 0.0113675-0.0315082j 0.0432748+0.0072057j 0.0456159-0.00358051j -0.00206501+0.00153012j -0.00190656+0.0113578j 0.0272204+0.00822905j -0.0033434-0.00939871j 0.0259725-0.0075018j 0.0120623+0.0041854j -0.0022746-0.00702878j -0.00446752+0.0063335j -0.0186589-0.00907154j 0.0108243+0.0115394j -0.00757103-0.00878662j 0.0149059+0.0110376j -0.00502006+0.00972686j 0.00264833+0.00862777j 0.00061331-0.00118085j 0.0174963-0.0100887j -0.00417105-0.00147541j 
