-0.045262+0.00115191j -0.0275697-0.000442579j 0.0231696+0.00116568j -0.0673494-0.000637645j 0.0152595-0.00698031j 0.00583431-0.00962987j 0.0368249+0.00159294j -0.0122158+0.000321703j -0.108103+0.00171765j -0.0132387-0.00900624j -0.0148547+0.00315392j 0.00135792-0.0054442j 0.027683+0.00910211j 0.0557818-0.00134035j 0.0201976+0.000358137j -0.0111007+0.00252378j -0.0766474+0.00457204j -0.0298245-0.00909779j -0.0139418+0.00786262j 0.0278939+0.00140022j -0.0292429-0.00746423j -0.0274692-0.00016898j -0.0582262-7.65026e-05j -0.00248147+0.00035264j -0.00225899+0.00363095j 0.0266187-0.00941788j -0.00481626+0.00698244j -0.00940216-0.0121862j 0.026569-0.00397327j -0.00336748-0.0170124j 0.00181146+0.00729273j 0.00999749-0.00847965j 0.0478212-0.00353087j -0.0343215-0.0140979j -0.0202432-0.00694655j -0.0052639+0.0133951j -0.0299101-0.00582799j 0.0409675-0.00640572j 0.0266518+0.00541388j -0.00596405+0.00580965j -0.0331947-0.00211853j 0.043968+0.00998289j 0.0699151+0.00556643j 0.0395565+0.00398133j -0.020027+0.0119927j -0.0130177+0.00252432j -0.0831277+0.00269158j 0.0147818+0.000605538j 0.0131904-0.00340026j -0.00392425+0.000633325j -0.034119-0.000110077j 0.0559492-0.00419412j 0.146652+0.0027976j 0.13462-0.00175317j 0.00714465-0.00553016j -0.0792423-0.00459104j -0.0553185+0.00530496j 0.00972924-0.00512175j 0.0301168+0.00548662j -0.0613366-0.00394946j 0.0281659-0.000666949j 0.0735922-0.000811757j 0.046136-0.00428854j 0.0638305+9.61484e-06j -0.0777884+0.00186053j 0.0292648-0.00720245j -0.141947+0.0155087j 0.0350033-0.0131444j 0.0976795-0.00450352j -0.226145-0.00883229j 0.000646528-0.0010135j -0.10048+0.00336748j 0.0196286+0.00844791j -0.0184819+0.00654074j 0.180876+0.00074369j -0.0115369-0.00423824j 0.0500897-0.000556466j -0.0819605-0.00338112j 0.0109857+0.0130049j 0.000255975-0.00410499j 0.0145161-0.0170454j 0.104786-0.000270736j -0.00109733-0.00759771j -0.0466501+0.0170914j -0.0165072+0.00711768j -0.008369+0.0175077j 0.0159026-0.0301394j -0.0676392+0.0132157j 0.0378718+0.0119889j -0.102241+0.0365056j 0.0784594+0.0180019j 0.00546522-0.00296944j -0.028098+0.00637924j 0.0481169+0.088988j 0.369267+0.0133504j 
-0.0301175-0.00010889j 0.0441184-0.000401898j -0.0625218-0.000804675j -0.0200735-0.00469964j 0.0237719-0.0137375j -0.0144119+0.00373127j -0.0481463+0.000515129j 0.0506907-0.00188414j -0.0281863-0.00164308j -0.00211524-0.00548842j -0.0385609+0.0124151j 0.00403598+0.00479206j -0.0353847+0.00323769j 0.0136533+0.00630339j -0.00803053+0.00219665j 0.0162873+0.000315037j 0.0425392+0.00416087j 0.0385179+0.00794172j -0.0240632+0.00999296j 0.00991652+0.00710509j 0.000898273+0.00519583j 0.0359141+0.00620143j 0.00646955+0.00374022j -0.003688-0.0025549j -0.0147834-0.000609346j -0.0159732+0.00633164j 0.0239184-0.00510734j -0.0404908+0.00535449j -0.0296017-0.0106011j -0.0312995-0.00904828j 0.0405956-0.0100515j -0.0316588+0.00326717j 0.0462299-0.00737339j -0.0216252-0.00266987j -0.00250698+0.00456803j 0.0248944+0.00994065j 0.003768+0.00993803j -0.0588983-0.0161487j -0.00995821+0.0136221j 0.0277603-0.00232905j 0.0142729+0.00203985j -0.0508452-0.00168074j -0.0268979-0.0030072j -0.0274593+0.000634838j -0.0385755-0.00458784j 0.0289606-0.00644308j -0.0274443-0.000645577j -0.0941456-0.0084685j 0.0915945-0.00309675j -0.0316793-0.00788369j -0.034152-0.0021533j 0.0243483+0.00110272j 0.134305-0.00520371j 0.0518817+0.0035692j -0.0876829+0.00164837j 0.0232009+0.00306906j 0.0788013+0.00493706j -0.0273519+0.0017857j 0.03575-0.00408477j -0.00191824+0.00864829j -0.0360268+0.00164073j -0.0516688-0.00205288j -0.0382677-0.00155801j 0.0232487-0.00275381j 0.0293678-0.00150789j -0.174341+0.00379953j 0.217608+0.00620793j -0.0987268-0.00155701j -0.0425137-0.0035455j -0.17725+0.0183856j -0.0444569+0.00827838j 0.0938648+0.00439666j 0.139284+0.00548871j 0.0157757+0.00591105j 0.0315517-0.0176715j -0.0445421+0.000838012j 0.0302021-0.0120129j 0.0118579+0.00415019j 0.0337451-0.00614935j -0.0275734+0.0147954j -0.143168-0.000113717j -0.0346231-0.00518857j 0.00211051+0.00594497j 0.00834984+0.0161537j 0.0287652-0.0126995j -0.021733-0.000344263j -0.0693821+0.000740032j -0.00926343+0.0297199j 0.0102489-0.0316214j -0.0633822-0.0192318j -0.0896491+0.0352879j -0.0896254+0.0020034j -0.0065843-0.00609148j -0.36597-0.0117303j 0.0458033+0.0860179j 
0.0180215-0.00235719j -0.0231821+0.0025777j -0.00634977-0.00222258j 0.0266923+0.00628233j 0.00994701+0.0178685j 0.0363819-0.0114133j -0.0136288-0.00297702j -0.0296227+0.00730592j 0.073465+0.00610015j 0.0475901+0.00887099j -0.0697453-0.00994413j 0.0594054-0.0148793j 0.0203203+0.00122297j 0.0364735-0.00549165j 0.00384039-0.0111678j -0.0540785+0.000807151j 0.0933096+0.00140395j -0.0257346-0.0086988j -0.0531353-0.00911041j -0.0496973-0.00606721j -0.0331547+0.00134207j 0.0176633+0.000450809j -0.0148866-0.00273323j 0.0730064+0.00634334j -0.0332127-0.00842483j -0.0349067-0.017657j -0.0118747+0.00789378j 0.0113211-0.0302351j -0.0653+0.032661j -0.030163-0.00619582j -0.0610997+0.0024745j -0.0143435+0.000294463j 0.138855+0.00170506j -0.0389763+0.000794394j -0.033872-0.00762081j -0.102398-0.00491833j -0.0336406-0.000251374j 0.0811645-0.00108192j 0.0811083-0.0050014j -0.0293338+0.00559216j 0.0949661+0.0143501j -0.0306549+0.00882517j -0.115105-0.00339996j -0.0164377-0.00163878j -0.0710232+0.0131337j 0.0879453+0.00241797j 0.0127215+0.00174433j 0.00784839+0.00722099j -0.0890597+0.00373916j -0.0460339+0.00356754j -0.0110041+0.000140508j 0.0186529+0.000522648j -0.0346303+0.0144841j 0.0862138-0.0103954j -0.159965-0.0060846j 0.0110866-0.00730082j 0.0466952-0.000681739j -0.00178189-0.00705756j -0.0582346+0.0187039j -0.0428634-0.00484942j 0.0379911+0.000898499j -0.0385385-0.00412407j -0.0504374-0.00200119j 0.111004+0.0079404j -0.163571-0.00615509j -0.127218-0.0225842j 0.020947+0.00814788j 0.0397906-0.0152564j -0.0221593+0.00545887j -0.0212711+0.00771184j 2.8215e-05+0.0005734j 0.0306322+0.00746549j -0.0843878+0.00714456j -0.070519+0.0115421j -0.0917122+0.00688743j 0.0466477+0.0043112j -0.000421813+0.0144994j 0.046494-0.00262613j -0.0330278+0.00719545j -0.0236066-6.25795e-05j -0.103649+0.00524448j -0.0181487-0.0115011j -0.0365501-0.0291392j 0.0174665-0.0231961j 0.149744-0.0261889j 0.0648127-0.0212715j 0.000998254-0.00461121j 0.0369023+0.000391121j 0.00740388-0.00740624j 0.00942425-0.0329301j -0.0314115+0.00235598j -0.00696448+0.0646946j -0.312876-0.0425128j -0.0428699-0.00229307j -0.0496216-0.02769j 
0.00676708-0.0113304j 0.0260449-0.00551493j -0.0358564+0.000732533j -0.03731-0.0162286j -0.0343916+0.0199504j -0.0124647+0.025081j 0.0112734+0.00410185j 0.0579397+0.00430756j -0.0341731-0.0174092j -0.00572039+0.0134505j 0.00979759-0.0165062j -0.0275328+0.0161215j -0.0202779-0.0105274j 0.0123313+0.00659411j 0.0599325+0.00466062j -0.00150654-0.000429878j 0.00803286-0.022198j 0.0241581-0.00869424j 0.00807271-0.0363039j 0.011452-0.0229165j 0.000330028-0.0149027j 0.0296541-0.0222625j -0.0125508+0.0041079j -0.000637206-0.00330294j 0.00795436+0.0110176j 0.0582841+0.000359845j -0.0149993-0.00501243j 0.0656761+0.0284491j -0.0441137-0.0183831j -0.026578+0.046891j -0.0322866+0.0180702j 0.000542592+0.000520633j 0.074862+0.0390811j -0.0569007+0.0232195j 0.00296493+0.0128711j 0.0273177-0.0424639j 0.0622747-0.0138661j -0.0168574+0.0558482j -0.0289529-0.036466j 0.0252791-0.0102704j 0.029532+0.00169683j -0.132099-0.00737249j 0.00888018-0.0140131j -0.0228905-0.00466607j -0.053693-0.0252995j 0.0298045+0.00352901j 0.0159703-0.0054836j -0.0840836+0.0123808j 0.0262926-0.000851279j -0.197079-0.0020581j -0.00513834-0.00856446j -0.0807434+0.00236462j -0.019703-0.00882663j 0.247572+0.016521j -0.0484892-0.0112469j -0.0944025-0.00276923j 0.0540254-0.00406701j -0.0477979+0.00438224j 0.0165794-0.0050528j 0.0218751-0.000678499j 0.0180254+0.00450398j 0.0125309-0.00725003j -0.00278696+0.0090893j -0.0705694+0.0139664j 0.0443498-0.00853223j 0.0658192-0.00415004j -0.0232461-0.0140028j -0.0367675+0.0047275j 0.0179413+0.000314584j -0.173046-0.0113869j -0.0416472-0.00450561j 0.0123681-0.010199j 0.0355122+0.00196694j -0.0172833-0.0155151j 0.018017-0.00412079j -0.0564491+0.00316514j 0.0857624+0.00908309j -0.0252544+0.00764252j 0.0379894-0.00624135j 0.00736653-0.0163867j -0.0716076+0.00849596j 0.0474027+0.0144651j 0.0603915-0.0117147j -0.0207791+0.0214364j 0.0914144-0.0120346j -0.0582046+4.47265e-05j -0.0287309+0.00228743j -0.041356+0.00201678j 0.0280459+0.00149515j -0.0178052+0.00778732j -0.032568+0.0523229j 0.206638+0.0299828j -0.0117724+0.0294788j -0.116165-0.0378201j 0.0981118-0.0126839j 
-0.0227142+0.0064269j -0.0237903-0.0152493j 0.0184489+0.018483j -0.0181603-0.00290925j 0.00734771-0.0231586j -0.000453706+0.0133904j 0.00414832+0.0116232j -0.0290452-0.00564803j -0.0300983-0.00566489j -0.0131787+0.00483195j -0.0180045+0.0451524j 0.0108123+0.00474894j 0.0513597-0.00461937j 0.0570941+0.000851152j -0.00244716+0.00794792j -0.0259207-0.0154484j -0.00669689-0.0155739j -0.0233027+0.0494542j -0.000661577+0.0070741j 0.0105793+0.0272842j -0.0528321+0.0237599j -0.0096552+0.0104639j -0.053528-0.0267231j 0.0385448-0.00129873j -0.028825-0.00467924j 0.0107945+0.0385346j -0.00754263-0.0368316j -0.0344198+0.048854j 0.0133021+0.0144808j -0.0934435+0.0539707j -0.0681377-0.0594522j -0.0113253+0.034162j -0.0124775-0.047876j -0.0575855+0.0602466j -0.0441959+0.0162488j 0.0499254-0.0070601j -0.0280349+0.0455694j -0.0246123-0.0200502j 0.103021+0.0118318j 0.00400533-0.0217655j -0.006441-0.0107158j 0.0954271-0.0492844j 0.0305628-0.00122062j 0.039134-0.021472j 0.0187041-0.0451122j 0.00314655-0.0376544j -0.0594462+0.0159136j 0.0301527-0.0188851j -0.0898181-0.00346985j 0.0149121-0.0210355j -0.0488433-0.00662248j 0.0558423+0.00178579j 0.0668865-0.0172031j 0.0556887+0.0177463j -0.030261+0.0138405j -0.00958454+0.00706198j -0.0459412-0.00145973j 0.0170555+0.00446156j -0.0140479-0.0233322j -0.0702611+0.00605423j -0.0224553+0.00267278j 0.0745329+0.00879065j -0.0104424-0.001301j 0.0384804-0.0241856j -0.10469+0.0114738j 0.0503978+0.0216595j -0.131531-0.0106194j 0.0676378+0.00275543j 0.082252-0.00577512j -0.102917+0.0052488j 0.0196257-0.00186038j -0.0680876-0.0109124j -0.054662-0.00678511j -0.0274103+0.00062402j 0.0854466-0.00177462j 0.0133262+0.00327247j -0.00197126+0.00675061j -0.0532317-0.00108198j -0.00216337-0.00534172j -0.0207725+0.0202799j 0.027463+0.0028608j 0.0560978-0.0167409j -0.0192601+0.00330896j -0.0275656-0.0188945j 0.048312+0.000730414j 0.0135748-0.0101571j 0.0525142-0.0114191j -0.0342958-0.00795006j 0.00804604-0.00160795j -0.0115653+0.0646893j -0.0631968+0.000909615j -0.0315807+0.0520518j -0.0750166-0.0173373j 0.117893-0.0471661j 0.138274+0.0181688j 
-0.0301959-0.0110965j 0.00478552-0.00416316j -0.00512599-0.00398609j 0.00619777-0.0136403j 0.0226429+0.020345j 0.00248633+0.0051741j -0.035286+0.0115138j -0.00873686+0.000530301j -0.0153596-0.0200178j -0.0245545+0.0229642j 0.0178359-0.0237905j 0.044686-0.00505384j 0.010099-0.000542038j 0.0178858-0.0101654j -0.0508549+0.0163522j 0.0215666-0.0109432j -0.00466426-0.0280639j 0.0455472-0.0143623j -0.00125824-0.0220907j 0.0508476-0.010895j 0.00371631+0.00273764j 0.0105761-0.0117739j -0.0278713-0.0163469j -0.00315811+0.0062338j -0.0141523+0.00369027j -0.0164557-0.0167328j -0.0100489+0.00181261j -0.0459856+0.00873102j 0.0112447+0.0115466j 0.0339088+0.0717466j 0.0015491+0.0345578j 0.0196543+0.00284108j -0.0909263+0.0260283j 0.0891387+0.0220623j 0.0202765-0.00474277j 0.00459184-0.0505156j -0.0129282-0.015267j -0.0769004+0.0727481j 0.0410469-0.0415534j -0.0422195-0.00826037j -0.0462498-0.015612j 0.0141563-0.0231009j -0.0102896+0.00189271j 0.00328017-0.0113995j -0.0464806-0.00638267j -0.114888+0.00758001j -0.064489+0.0323141j -0.0479191+0.00983609j 0.0238885+0.0196151j 0.0606217+0.00812912j -0.0908837+0.0176023j 0.103458-0.0156129j 0.179308-9.52971e-05j -0.0465971+0.0101665j -0.0241456+0.0110312j 0.0588452-0.0193473j 0.000671591-0.00598367j 0.0341089-0.00020697j 0.00983897+0.00770592j -0.0218984-0.0110292j -0.0337613+0.0079894j -0.0179741+0.00254926j -0.00921794+0.0156422j 0.0575326+0.00324157j -0.0227862+0.0149537j -0.163686-0.00256388j 0.146879-0.0115674j -0.0559503-0.00225854j -0.0490351+0.00263484j -0.0874091-0.0171292j -0.0205196-0.0111078j 0.0098479-0.0126351j 0.0954052-0.0120866j 0.0322209-0.00541643j 0.059125+0.00822063j 0.00316856-0.000611708j -0.0137753+0.00628678j -0.00682438+0.01393j 0.0101727+0.00156314j -0.00633104+0.00361594j -0.0343667-0.00335504j -0.0336726-0.00022592j -0.0637068+0.00375697j 0.00125204-0.0206535j -0.0569216+0.0134634j 0.0557689+0.019629j -0.0551174-0.00271472j -0.0269078+0.0110108j 0.0131931+0.0338939j 0.0884851-0.0129827j 0.00387583+0.0563452j -0.190752-0.0221457j 0.0265513-0.0522683j -0.0917966-0.000544146j 0.0803607-0.051217j 
0.0180883-0.00474556j -0.012731+0.00569068j 0.0091848+0.00158077j -0.0153938+0.00533964j -0.00817955+0.0136741j 0.00941977-0.00342058j 0.0669984+0.00128784j 0.00130464+0.00930659j 0.0229788+0.00459182j -0.0165945+0.00414934j -0.0146005+0.0216492j 0.00167-0.00209305j -0.0302795+0.00488306j -0.142938+0.00556197j -0.0049773-0.0173869j 0.0490846+0.0275307j -0.00089756-0.00169824j -0.0703337+0.00303381j 0.0651619-0.0113117j -0.00716951-0.00928437j 0.0853143-0.0163781j 0.0622961-0.019676j 0.122505-0.00915584j -0.0680636+0.0137106j 0.0722582+0.00422161j 0.0367361-0.019057j -0.00628489+0.00720015j 0.0882356-0.00036231j 0.0804488+0.0409002j -0.0455524-0.00859773j 0.0754035-0.025069j -0.0217902+0.0266689j 0.0864854-0.0267404j -0.0374895+0.0352318j -0.0125636+0.0114195j -0.0617429-0.0138657j -0.00438508+0.00298845j 0.0794575-0.0148946j -0.0138807-0.0170691j 0.0565092+0.00600085j 0.0161807+0.0098023j 0.0489674-0.00508448j 0.0337428-0.0167078j 0.0743408-0.00791713j -0.0171439-0.000982932j -0.120121-0.007523j -0.106299-0.00971114j 0.0331798-0.00128131j 0.0934216-0.00464408j 0.00173539-0.00180734j 0.06296-0.0113838j 0.0121158-0.000450516j 0.0242574+0.00560178j -0.0340995-0.00649491j 0.13519-0.0151876j -0.0292453-0.00640642j -0.00689283+0.000934863j -0.0113897+0.0034333j 0.0439579-0.00425759j 0.119681-0.00212497j 0.150547+0.00259213j -0.0445672-0.0038919j 0.064479+0.0016438j 0.0766265+0.00420422j 0.00798053-0.00392495j -0.0677693+0.0135591j 0.00178116+0.0094166j 0.000875752-0.00394669j -0.00553023-0.0194346j -0.00164081+5.97451e-05j 0.00356862-8.47661e-05j -0.0131965+0.0129787j 0.0835433+6.45282e-05j 0.0112851+0.00967611j -0.0163763+0.0202703j -0.00335231+0.00893j 0.0310118-0.0132403j 0.0288719-0.0373487j -0.0462655-0.00183354j 0.0216918+0.0031742j -0.0407727-0.0162116j -0.0413058-0.00212769j 0.0165517+0.0147595j -0.0221334+0.00438004j -0.0217771+0.0190716j 0.0161001+0.0320873j -0.0857906+0.0248072j -0.145441-0.0456382j 0.163025-0.000120567j -0.0128487+0.0066519j 0.0086652+0.0155196j -1.8137e-05+0.0275654j 0.0587537-0.000440614j 0.021633-0.0203139j -0.0192223-0.0167378j 
0.00434517-0.0159696j 0.0301001-0.00295909j -0.0354047+0.00463859j -0.0323372-0.00943992j -0.020595+0.0315506j -0.00669393+0.0193253j -0.00624421-0.00607958j 0.023955+0.008958j -0.0524876-0.0142161j -0.00706068-0.00410669j -0.0196007+0.000782417j -0.0469883+0.00313566j -0.00668784+0.00590031j 0.0388387+0.012911j 0.04321-0.0454447j 0.0343332-0.000430417j -0.0321594-0.0321523j -0.0553482-0.0212019j -0.0180664-0.0354752j -0.00580736-0.0136397j -0.0658391-0.000135841j -0.0713943-0.000468319j 0.0351966+0.0234725j -0.0466456-0.0366091j 0.0318084+0.0120767j 0.0117331-0.00527888j 0.00874688-0.0247934j 0.0325405-0.0565121j -0.145424+0.0334605j 0.0320526+0.0191642j 0.0463021-0.0128872j 0.0896427+0.0136924j -0.0774994+0.0149019j 0.0296327+0.00858225j 0.0641237+0.020299j 0.0261971-0.034778j -0.0170631+0.0148267j -0.0371222+0.00968029j -0.0874296-0.0132028j 0.0453198+0.00812599j -0.0645945+0.0282675j 0.0373382+0.0346817j 0.0669673-0.0270324j -0.072999-0.00867887j 0.056149-0.00351453j 0.0426943-0.0210598j -0.00233226-0.0184439j 0.00528051+0.0446631j -0.0148212-0.00817635j 0.102873+0.00577807j 0.00787742-0.0254256j 0.0476491+0.0121221j -0.0233144+0.00739195j -0.0546752-0.00473073j 0.0775309-9.43965e-05j 0.0583086+0.0128764j 0.0326645-0.0037996j 0.00320732+0.00404429j -0.0806428+0.0035509j 0.117278+0.0083973j -0.0244028-0.00884881j -0.0373819-0.0055371j -0.0396447+0.0152907j 0.016789-0.0016968j 0.0306041-0.0071615j -0.0536963-0.0184807j 0.0622995+0.0063448j -0.00126173-0.0117289j 0.0446534+0.0151152j -0.073048-0.00661663j 0.0730989+0.00317969j 0.0179159-0.0234671j 0.10089-0.00937199j 0.0461811-0.0136187j 0.0954025+0.00262697j -0.0418213+0.0171775j 0.0289132+0.0100135j -0.0481711+0.0107177j 0.00881718+0.0118089j -0.0378649+0.0106526j 0.0337939-0.00506848j 0.0123631+0.0114633j -0.032544-0.0107171j -0.0264436-0.00898165j -0.043195+0.0371526j 0.000926272+0.0368776j 0.0463583-0.0114304j 0.0884911+0.0273841j 0.104713+0.0223031j -0.00346858-0.00675316j -0.0200011-0.00301809j -0.0472795+0.0282271j 0.124933+0.0311705j -0.0260785-0.0124858j 0.0221269+0.0123346j 
-0.0103174+0.00946394j -0.0149292+0.00457726j 0.0102689+0.00391472j -0.0438328+0.00540553j -0.00757544-0.00706641j -0.0221819-0.016716j 0.0397361+0.00912298j -0.0443849+0.00557042j -0.019642-0.00372948j 0.0357182-0.00836897j -0.0185977+0.0223261j -0.0564513-0.00928905j -0.00610953+0.0160535j 0.00769579+0.0100823j 0.0452887-0.00631041j -0.018154-0.000219846j 0.0359342-0.000151966j -0.0155539-0.00021022j -0.0114405+0.0235404j 0.0024265+0.00674771j -0.0623067+0.0119113j -0.0392123+0.000683892j -0.0232591-0.0231195j 0.0434123+0.00979364j -0.0235792+0.00951485j 0.0171078-0.0178613j 0.0690242-0.0154672j 0.109909-0.0322848j 0.0978377+0.0204827j -0.21714+0.0323839j -0.0929255-0.0132469j 0.109147+0.0123368j 0.0131032-0.0208259j 0.0193121+0.00320331j 0.0447201-0.0027082j 0.0860983-0.0084406j 0.0571795+0.0119416j 0.0211957-0.0081115j 0.0273374-0.00195795j 0.0870048-0.00804933j 0.0237222-0.0099152j 0.0190815-0.0176078j 0.108899+0.00523133j -0.0631074-0.0179663j -0.00597694+0.0150794j 0.20719+8.29983e-05j -0.111277+0.0223014j 0.00673024+0.00104115j 0.0636849+0.011352j -0.000142193+0.00697132j 0.128447+0.0102435j 0.00618852+0.000475258j -0.0353762+0.00127012j 0.0207772-0.00339462j -0.0239848+0.00817719j -0.0331025-0.00780764j 0.0560148-0.0164227j -0.0884411-0.00231813j -0.0426444-0.00489346j -0.0155104-0.0130019j 0.00801617+0.00427963j -0.0116714+0.016433j 0.0204953-0.00174485j -0.00998751-0.0108183j 0.0540514-0.00126841j 0.0411104+0.00725818j 0.0109331+0.00653039j 0.0806247-0.0170106j 0.071012-0.00664853j -0.00734902+0.00178434j 0.0205944-0.00944167j 0.0618297+0.00317665j -0.0468+0.00279097j -0.00531841-0.0178014j 0.00270903+0.00683166j -0.026508+0.0165007j -0.0247957-0.00565463j 0.00646555+0.00293484j 0.00723551-0.0129471j -0.0903985+0.0227053j 0.0054896-0.0114674j -0.030915+0.00403343j 0.0183833+0.00134907j 0.034531+0.0296908j 0.0164576-0.00339808j -0.00489267-0.0184788j -0.127995-0.0410392j 0.13861-0.00823826j 0.0605178+0.00998929j -0.0288352-0.0288491j -0.00345837+0.00881511j 0.0815354-0.00963559j -0.0229164-0.00554499j 0.0223068+0.0244653j 0.0361142-0.0167849j 
0.0061425-0.0031872j 0.00897638+0.013246j 0.00816734-0.00859376j 0.0103007+0.00858152j -0.018896+0.0162111j -0.0165548-0.028102j -0.000646257+0.00498406j 0.0316015+0.00989925j 0.00227318-0.00942289j -0.0242089-0.00871475j 0.0261942+0.0209436j -0.0220451-0.0387196j -0.0216043+0.0130248j 0.00814673-0.019766j -0.0197443-0.0457094j -0.0122958+0.0118135j -0.0215777-0.025923j 0.0116325+0.039644j 0.0174054+0.0162071j -0.0175166+0.041652j 0.0177539+0.0519094j 0.0172571+0.0320987j 0.0145687-0.0124305j -0.0125886-0.0149907j 0.0272507-0.0388265j 0.0442297-0.0247899j 0.0175499-0.0197594j -0.0506766-0.0798489j -0.0237976+0.133826j -0.00824532-0.000868175j 0.0505095-0.0318712j -0.0396673+0.0245253j -0.0249265-0.0648789j -0.022372+0.0209004j 0.045962-0.0388924j 0.0515461-0.0133179j 0.0283599+0.0502577j -0.0612878-0.00914456j -0.0604788+0.0126534j 0.00617196+0.0378294j 0.0320248+0.0152892j -0.0450501+0.0134081j -0.0226045-0.0119523j 0.0440472-0.0312809j 0.0130655+0.0229406j 0.00629999-0.0115322j 0.0417077+0.033404j -0.0505941-0.00320383j 0.0475883+0.0203827j -0.137887+0.015838j -0.04051+0.00498226j -0.120619-0.0127738j -0.0494293+0.0454024j 0.0759866-0.00119287j -0.0126149+0.0105687j -0.0601821-0.0252242j -0.00112407-0.00347878j -0.0223677-0.00108948j 0.0794815+0.0247903j -0.0255404-0.0184185j -0.0644296+0.0104985j 0.0363875+0.00666223j 0.00142896+0.0292088j -0.142108-0.00237919j 0.119446+0.0104459j 0.162367-0.01049j -0.0425955+0.0129304j -0.0480507-0.00827531j -0.0157373-0.0115024j 0.0201112-0.00859014j -0.0746367-0.015223j 0.0252449-0.0178927j -0.0277161-0.00302558j 0.0237652-0.00608287j -0.0223624+7.77814e-05j -0.0342829+0.00464298j 0.00376275-0.0189004j 0.00899773+0.0121449j 0.0576649+0.0126085j 0.0339012+0.0122697j -0.0350348-0.0175883j 0.039235+0.00706454j 0.106295-0.000572817j -0.0119511+0.0253636j 0.0767519-0.040066j 0.0013313+0.0239974j -0.00847187-0.0116151j -0.0311054-0.0119327j -0.0833528-0.0663008j 0.0222155-0.00659941j 0.0140046+0.00106736j 0.0837608-0.00480515j 0.113817-0.0339899j -0.0205904+0.00905539j 0.00277223-0.0157452j 
0.0250781-0.00859659j 0.0130716+0.0132191j -0.0218966+0.00311129j -0.0114617+0.0153176j -0.0192174+0.00603484j -0.00674463-0.0047111j 0.0240482-0.0151008j -0.0179612+0.0264334j 0.0194672-0.00348812j 0.019005-0.0191266j 0.0558849+0.0318735j -0.0173966-0.0129997j -0.0371924+0.0200562j -0.0286684+0.0225495j -0.0147089-0.0537914j 0.0741566-0.0194585j 0.00692228+0.00734291j 0.0245097-0.0417019j 0.00653162+0.0165844j 0.0311573+0.0043237j -0.00609299+0.0192383j -0.0304171+0.0461839j 0.0674058+0.017801j -0.0542408+0.00191379j 0.0277434-0.00939166j -0.0565841-0.00937171j -0.000158288+0.0308763j 0.00416735-0.0806776j 0.0830538+0.0164646j -0.00295403+0.00292486j -0.0789785-0.028295j 0.0991161-0.00477677j 0.0141702-0.0211269j 0.0414881-0.0247754j 0.0514019+0.0242725j -0.0634107+0.00020132j 0.100462+0.0129638j 0.0264304-0.0418795j -0.0637902+0.0408038j 0.0402545-0.0210121j 0.0431269-0.015462j -0.0120926-0.0183832j 0.00291682-0.00436749j -0.0890687+0.00778844j 0.0150205+0.0190101j -0.0233825+0.00738489j -0.0617474-0.0146849j 0.000300651+0.0151206j -0.0285586-0.0113464j -0.0409666-0.0232179j -0.00550977-0.00425595j -0.0239536-0.00719285j -0.0317563+0.0135383j 0.0168795-0.00439618j 0.0296927-0.00115338j -0.099793-6.02999e-05j -0.0149202+0.00421704j -0.0463704+0.000841514j -0.0422641+0.00765581j 0.0549732-0.00238343j 0.0240777-0.0106764j -0.0471462+0.00177842j 0.0448174-0.0210348j -0.0624552-0.0128658j 0.0898691+0.00487442j 0.0382076-0.0105935j 0.000480821+0.00733482j 0.0110565-0.0133042j -0.0255085-0.00338584j 0.0349604+0.00635608j -0.030489-0.00431939j 0.0134039+0.00449344j 0.00639945-0.0184422j 0.00299575+0.0229733j -0.0188205+0.00560857j -0.0210765+0.00136282j 0.0103818-0.00962728j 0.0299292+0.00227405j 0.00385084+0.00332475j 0.0114321+0.00837314j 0.0437893+0.00743175j -0.0347574-0.00355973j 0.0258135-0.0306363j -0.0523447+0.00864347j -0.0454698-0.0298043j 0.0191057+0.0138039j -0.0350414-0.0119598j 0.0188163-0.00403617j 0.0311001+0.0351613j 0.0130692+0.0253244j -0.0213933+0.0150314j 0.0891997+0.0152116j 0.0374463+0.0136623j -0.0216419-0.0316678j -0.0419386-0.000603088j 
