0.00788854+0.000548454j 0.0245311-0.00361647j -0.0261137+0.00248779j 0.00699777+0.00208354j 0.0141484-0.00356508j 0.02454-0.00205931j 0.00818801+0.00522746j 0.0293814-0.00369843j -0.0235349+0.00215281j -0.00951077-0.00604569j 0.0399008+0.00859208j 0.00295759-0.00351087j 0.00901919+0.00233502j 0.0343956-0.00914281j -0.0147091+0.00889659j 0.0143385+0.00424744j 0.0136131-0.00105149j 0.0181101+0.00171776j 0.0169789-3.28098e-06j -0.00521932+0.000731711j 0.0225874+0.00336941j -0.0182112+0.00407419j -0.0158907+0.00698013j 0.0359295-0.0103665j -0.0162065+0.00604772j -0.0232379+0.000575526j 0.0308828-0.00647924j -0.0042232-0.00157842j -0.0135539+0.00452269j 0.0139264-0.00217493j 0.0028761+0.00535573j 0.0185247-0.000575552j 0.00452404-0.00185779j -0.0232797+0.00037905j -0.00641237-0.00259661j 0.00245852-0.00432037j -0.0361837+0.0121443j -0.0178675+0.000893542j -0.00973794-0.00256885j 0.0144207-0.0052652j 0.0168818-0.00852588j -0.0015463+0.00606035j 0.00485729+0.000619423j -0.00195786-0.00738756j -0.00745809+0.00361262j -0.0144813+0.00836143j -0.0141295+0.0120551j -0.020341+0.00170149j -0.0091024+0.00699588j 0.00827213+0.0044555j 0.0143249-0.00931896j 0.0103643-0.00127918j -0.0291103+0.00493704j 0.0011469-0.00436943j 0.0108139-0.00154474j -0.00606233-0.00107567j -0.0114604+0.00466941j -0.0304497-0.00316559j -0.00783323+0.00231368j 0.00484652-0.00597212j 0.0391585+0.00853094j 0.0256985+0.00125618j -0.0207158+0.00050472j 0.0079186-0.00218304j -0.0109646-0.00224516j 0.0395446-0.0141252j -0.0128765-0.0126416j 0.00351879+0.0131189j 0.0457457+0.00579797j -0.0229232+0.00312054j -0.0976901-0.00165104j -0.00544919+0.0252649j -0.0354799-0.0168609j 0.123967-0.00462367j 0.0326033+0.0328017j -0.0576497+0.0284458j 0.147561-0.0119551j 0.00739176-0.11565j 0.340189-0.0121584j 0.19775-0.0502781j 0.12384+0.0167504j 0.11461-0.0491654j 0.0658701+0.04746j 0.0963151-0.0190347j 0.0227573-0.00304879j -0.0050474+0.0301291j -0.053064+0.0157449j -0.049326-0.0102607j 0.00126758-0.0158498j 0.0161125-0.00474184j -0.00157888-0.00211193j -0.433266+0.00262359j 
0.0243127-0.00292834j -0.0126735-0.000743586j 0.00851702+0.00214482j 0.0236551-0.00240415j -0.0144545-0.000773284j -0.00805054-0.0048133j 0.0353041-0.00328521j -0.00921735-0.00280128j 0.0212047+0.00515369j -0.0202288+0.00109133j 0.0302156-0.0091161j -0.022817-0.00435168j 0.00892555-0.00521081j -0.0115634-0.00853045j 0.0347053+0.000518224j 0.0103577-0.00176669j 0.00358648-0.00772541j 0.00689552-0.00591941j 0.0143432-0.00395709j 0.0158313+0.00388717j 0.0114403-0.00382114j 0.0105816+0.00468309j 0.0239525+0.00145042j -0.0274021-0.0073336j 0.014269+0.00361207j -0.00782424+0.00747043j -0.00880292-0.00633541j -0.0134353-0.000172441j 0.00513977+0.00240182j -0.00329151-0.00477504j 0.0136485-0.0028335j 0.000673852-0.00403748j -0.0119695+0.00187595j -0.0002058+0.00500715j -0.00469666-0.000329558j -0.0254217+0.00153926j 0.0366038+0.0094802j -0.00276945+0.00817077j -0.00556842+0.00398417j -0.0112682-0.00108613j -0.0309639-0.00195574j 0.0178066-0.00101534j 0.0193649-0.000877668j -0.0307975+0.00491006j 0.0160702+0.002891j 0.0214038+0.00282259j 0.0284709+0.0026668j 0.00299116+0.0071264j 0.00884775+0.000697886j 0.0164144-0.00175494j -0.0279679-0.000754921j 0.00911599-0.00570911j -0.00179431+0.00348824j -0.0203383-0.00235204j 0.0085921-0.00449214j -0.0113901-0.00270826j 0.00988357-0.00398438j -0.0204965+0.0149858j 0.00341029+0.00200288j -0.0158836-0.00187692j 0.0267344-0.0120569j 0.00404091-0.00379558j -0.0235993+0.00766624j -0.0170764-0.00266921j -0.00106674-0.00132709j -0.0420556-0.00465398j -0.0343576+0.0135226j 0.0279967+0.00769092j 0.0547749-0.0133051j 0.0213651+0.007068j -0.00634274+0.0307931j 0.0603365+0.00281704j -0.052256+0.0204462j -0.00297315-0.0382373j 0.131645-0.0205757j 0.0851652+0.0133621j 0.0109988-0.0420825j -0.379558+0.0307035j 0.0634891-0.113062j -0.119725-0.0549943j 0.0871628-0.0506318j -0.128777-0.0320175j 0.15562-0.0429442j -0.0140089-0.0316148j -0.023981-0.00226693j 0.0748753-0.00167479j 0.0172857+0.0281326j -0.0214792+0.0316348j -0.021604+0.00508415j 0.00603128-0.0182083j 0.433415-0.00234248j -0.000577197+0.00125195j 
-0.0121073+0.0026689j -0.00246399-0.000408271j 0.0185143-0.00378699j 0.00963347-0.000303124j 0.00682398-0.0010109j 0.0023535+0.00601197j -0.00545596+0.0020286j -0.0428211+0.00148682j -0.013843-0.00664267j 0.017745-0.00296674j -0.0120894+0.00810162j 0.0208392+0.00509641j -0.00147938+0.00569845j -0.00328913+0.00317364j 0.0460035-0.000586007j -0.0320075+0.00185728j -0.0172841+0.0078647j -0.00697328+0.00188719j -0.00403842-0.00207884j -0.0290962+0.00651755j 0.0016827-0.00695383j 0.0115133-0.0131808j 0.0183493-0.00326138j -0.0278755+0.00315818j -0.0262284-0.00391522j -0.0295655+0.00349439j -0.0172905+0.00189643j 0.00561152-0.00307279j -0.0133322+0.00180627j 0.0301652-0.00506606j -0.000397068+0.00279018j 0.0203034+0.00646444j -0.0273171-0.0128216j 0.0198589-0.01118j -0.0180835+0.00223422j -0.0483562+0.00322511j -0.0331642+0.00994791j 0.00317411-0.00653086j -0.0234097-0.00645458j 0.00876001-0.0126938j -0.00139158+0.0103567j 0.0470792-0.0103086j -0.0275302+0.00698619j -0.0215635+0.00514195j -0.0173866-0.00234599j -0.00196916+0.00788248j -0.0162394+0.0278668j -0.060976-0.00058271j 0.0865346+0.000278767j 0.0372504+0.00469918j 0.0197795-0.00819247j -0.00653144-0.00129502j 0.00776145-0.0036291j 0.0368747+0.00410824j 0.0109279-0.00701756j 0.0942345-0.0229834j 0.133341-0.021643j 0.0394335-0.0205219j -0.023707-0.0156301j -0.026706-0.0127613j -0.111806-0.00151269j -0.0237404+0.00518166j 0.0490228+0.0371527j -0.00232318+0.023902j 0.0446129-0.0154868j 0.0180508-0.0339168j 0.0298517-0.0121883j -0.0648153+0.11121j -0.0936961+0.0206875j -0.168035+0.00727544j -0.264448+0.0272101j 0.0467975+0.0297495j -0.13165+0.018606j 0.0895962+0.0131074j 0.0678637-0.00672444j -0.0909077+0.0517165j -0.103527+0.0402186j -0.0273597+0.01333j -0.0797521+0.0246972j -0.0264943+0.0395297j 0.0132628+0.0132746j 0.0531923+0.0121887j 0.0484499-0.0199292j -0.0661444+0.00890853j -0.0301633+0.0379358j -0.0255527-0.00880512j 0.00994136-0.0140399j 0.0051257+0.00659474j -0.0135967-0.00339109j 0.399888+0.00307109j 0.000972054+0.00356325j 0.0593373-0.00624627j 
-0.00484134-0.00094186j 0.0128888-0.0047576j -0.0016497+0.00115772j -0.00774532+0.000382534j -0.00349385-0.00270943j 0.034417-0.00679344j -0.0142255+0.00456207j -0.0165965+0.0045901j -0.0328759+0.00514357j -0.0374071-0.00220837j 0.00449521+0.00448393j 0.0225276-0.00911779j 0.00321364-0.00539492j -0.00480336-0.00585336j 0.0145342-0.00656372j -0.000353311+0.00539465j 0.000912957+0.00358034j -0.00820629+0.00667873j -0.0043349-0.0080112j -0.00502228+0.0034254j -0.0246185-0.00615755j -0.0520552+0.00340661j 0.00731607+0.0105643j -0.00693037+0.0038873j -0.01556+0.00985402j -0.00227028+0.00774012j -0.00954505-0.00525608j -0.0133391+0.00628151j -0.00221042+0.00986133j -0.00118425-0.00669473j 0.0161048-0.00088727j 0.0428079-0.0100481j -0.0370455-2.42934e-05j -0.0398689+0.00376555j -0.0118785+0.00812257j 0.00487302+0.00269198j 0.0328036+0.0077962j -0.0175743+0.00128863j -0.037072+0.011699j -0.0479021-0.00873251j 0.0384446-0.00385527j -0.0235053-0.00992639j -0.0138988-0.00336165j 0.0297454+0.0105732j -0.00968087+0.0081167j 0.0325869-0.00464356j 0.111714+0.00546851j -0.0232313+0.0257325j 0.0297715-0.0227952j 0.0427315-0.0167907j -0.0288294-0.00047823j -0.00469453-0.00236779j 0.00832196+0.0170441j 0.0373713-0.0187774j -0.0309277-0.00132839j -0.0398738-0.0275264j -0.0271967-0.0277016j -0.0389115+0.00212146j -0.0761706+0.0397946j -0.0525622-0.0015067j -0.0240735+0.0534329j 0.0123103+0.0100703j 0.0993671-0.0308394j 0.101893-0.00458297j -0.0711476-0.00863757j -0.109348+0.00166896j -0.0622369-0.038363j 0.343207-0.0164107j -0.0223642+0.028699j -0.0668558+0.0654518j -0.0206098+0.102769j 0.121983-0.0231183j 0.00126048+0.0354631j 0.0567382-0.0506021j -0.013153-0.0277065j 0.0949887+0.0207352j 0.0169491+0.00908023j 0.0481389-0.024637j -0.0618705-0.00666003j 0.0730773-0.0179475j -0.0155759-0.0188246j 0.0340973-0.0396384j -0.0450559+0.000988243j -0.0259157+0.0224595j 0.00325282+0.000311451j -0.00346579+0.025789j 0.00583131-0.01053j -0.00492757+0.00852308j -0.362857-0.0036513j -0.0139724-0.0162685j -0.0775646+0.00374555j -0.00106154+0.00778907j 
0.0246258+0.00954908j -0.0108237+0.0248993j 0.0151767-0.0226188j 0.0157161+0.00989173j -0.0139916+0.0143875j -0.00486569+0.0213415j 0.0183742+0.00825097j -0.012629+0.0254862j 0.00129597-0.0190874j -0.0240342-0.000161287j 0.00368398+0.0266048j -0.0075272-0.000726549j 0.00804221-0.00242093j 0.0058818+0.0366739j 0.0274492-0.0142089j 0.00252148+0.0062085j 0.0187436+0.00972569j 0.0119939+0.0145282j -0.00875277+0.00526011j 0.00238655-0.0048486j -0.00652187+0.0163226j -0.0145428-0.0176486j 0.029713-0.0146316j 0.00783528+0.0350868j -0.00824539-0.0177577j -0.0134067-0.0167223j -0.00761836+0.0294151j -0.00267286-0.00189451j 0.00166387-0.0158065j 0.00118744+0.0158744j 0.0386671-0.00459709j 0.00946926+0.00876914j -0.0197816-0.000821303j -0.0142058-0.0102698j 0.0034947-0.00366197j -0.00795459-0.0106893j 0.0262217-0.047185j -0.0241055-0.0116666j -0.0125885-0.00101306j -0.038772+0.0255462j -0.000438833+0.0143726j 0.00265928+0.000119746j -0.0253653-0.00250427j -0.00458163+0.00636343j -0.0056868-0.00881509j 0.0154445-0.0275437j 0.0447902-0.02537j -9.97477e-05-0.01958j 0.0333722-0.0121976j 0.0225063+0.00153082j -0.0230264+0.0325864j -0.0145248+0.0122564j 0.0489228-0.0296716j -0.00331603+0.00491362j -0.0104988+0.0123094j 0.0179149-0.0049531j 0.0090342-0.00953937j -0.0232111-0.011541j 0.0526728+0.00538067j -0.0251821+0.00300145j 0.0802735+0.0270858j -0.00936091+0.0307478j 0.0271234-0.0274749j 0.0526528-0.0125912j -0.00405655-0.00746675j -0.0230193+0.0594307j -0.114224+0.00418521j 0.0467288-0.0363095j -0.0141228+0.0425396j 0.00685784-0.0279981j -0.0253445-0.0935491j 0.0430058-0.0197958j -0.0409242-0.0320595j 0.0337499+0.115463j 0.0196186+0.0155967j 0.0296226-0.0812935j 0.00983956+0.13523j -0.113862+0.0551782j 0.0627721+0.315654j 0.0152135+0.196201j 0.0244335+0.111849j -0.00614003+0.133654j 0.0224624+0.0520068j -0.00295856+0.092751j 0.00822077+0.00862996j -0.00622085-0.0217888j -0.0469354-0.0669913j 0.0760228-0.0770671j -0.0632756+0.0303709j 0.00277798+0.0960629j 0.15894-0.00807651j -0.06363-0.0723163j 
0.0108279-0.0238722j 0.0242869+0.0112702j -0.0190863-0.00592019j 0.0134504-0.0213281j 0.0104811+0.011726j 0.0200741-0.00229979j 0.0149862-0.0297935j 0.0140117+0.00759725j -0.0108337-0.00690205j -0.00451248+0.0214896j 0.0277859-0.0325571j -0.0121518+0.0103706j -0.0163772-0.0139295j 0.0351579-0.00272545j 0.014179-0.0302688j -0.00568467-0.00740313j 0.0336621-0.00754871j 0.0136202-0.0125775j 0.00766498-0.0188835j 0.00319909-0.00427815j 0.00854495-0.0137023j -0.00601339-0.00502962j 0.0334128-0.016641j 0.0417972+0.0194351j -0.0321673-0.0103208j -0.0303145+0.025784j 0.0104957+0.0033955j 0.0139475+0.00756271j -0.0201196+0.00730683j 0.0179443-0.0118941j -0.000278584-0.00925836j 0.0112422-0.013312j -0.0115663+0.00865456j -0.0184321+0.0104539j 0.0289923+0.00333163j 0.0123799+0.0168204j -0.00380688-0.0179364j -0.0188137+0.0106552j 0.0199459+0.00845531j -0.0319095+0.0162614j 0.0205355+0.0185044j -0.0222845-0.00652742j 0.0109275-0.0169667j -0.0142446+0.0306087j -0.0359406+0.00209485j -0.00939742-0.0157189j -0.000121298-0.0266195j -0.0316213+0.0144395j -0.00540667-0.00325448j 0.0193475-0.0200502j -0.0220243+0.0297142j 0.000427225-0.0143287j 0.0427847-0.00565257j 0.0251916+0.00316147j 0.0383241-0.0146201j 0.0320554+0.00049002j 0.0712227-0.0341454j -0.0622822+0.0373352j 0.0187009+0.0169191j 0.0178007+0.00788683j 0.0134977-0.0193507j -0.0284436-0.00302572j -0.00995032+0.0347493j 0.0366796+0.00387939j 0.0366402+0.00227458j -0.0419879+0.0487245j -0.110538+0.0577059j -0.0847481-0.0254741j -0.0341901-0.0435124j -0.0178044+0.0137348j -0.0306782+0.0546973j -0.0652931-0.0497545j -0.021945+0.0706519j 0.0235286-0.0379003j -0.0174404-0.135101j -0.0479523-0.0521292j 0.0181712-0.0328888j 0.0611366+0.335497j 0.0840034-0.127641j 0.0874646+0.0421284j 0.0189325-0.111351j 0.0476525+0.0746278j 0.0105156-0.162721j -0.00489168+0.000313603j -0.013137+0.00955708j -0.024469-0.0633619j 0.0397317-0.0207194j 0.142535+0.0575322j 0.01084+0.0912601j 0.0371699-0.039142j -0.06656-0.0622705j -0.152199+0.0164086j 
-0.00490769+0.00892154j -0.00376649-0.0159322j 0.00725427+0.0145207j -0.00542759+0.00982649j 0.00269452-0.0126065j 0.00405608-0.0147059j -0.00582771+0.0142869j -0.00742867-0.00971506j 0.00727669+0.0186649j -0.0160601-0.00336458j 0.000970929-0.00543245j -0.00601584-0.0125136j -0.0337199-0.000564543j 0.00709603-0.00944557j 0.029908+0.0128289j -0.0120075+0.00667768j 0.0457973-0.00456452j 0.0156666+0.0037849j -0.00505963-0.0139499j -0.00780593+0.00620372j -0.0106881-0.00397192j 0.00359119+0.0130143j 0.109106+0.00516034j 0.0386532-0.0169169j -0.0433638+0.0105905j -0.0365644+0.0219034j -0.00485573-0.0101429j 0.0416624-0.00862817j -0.0235836+0.0171372j 0.0102769-0.0158195j 0.0209969+0.0148868j 0.0133926-0.023247j -0.00948496-0.0224009j -0.023583+0.00597479j 0.0510036-0.00340476j 0.0168163-0.0306309j 0.0418452+0.0241139j -0.0238943+0.00687178j 0.0380891-0.00147971j -0.0853285+0.0121004j 0.0239584-0.0258616j -0.048129+0.0286033j -0.0112323-0.00559492j 0.00678879-0.00572559j -0.0532534+0.0175638j -0.00148822+0.00562754j 0.0375886+0.026468j 0.0135671+0.00495889j -0.0259789+0.0309571j 0.0630926-0.00156999j -0.0493118+0.00218224j -0.0377935-0.00983095j 0.121737-0.00873396j -0.00254818-0.0168497j 0.045249-0.0141195j 0.0490621-0.0296109j 0.0909382-0.0251518j -0.0319783+0.0152954j 0.115432+0.0384093j -0.00239784-0.0354582j 0.0923052+0.0154698j -0.0405352+0.0306877j -0.0559718+0.0412338j 0.0483756-0.0485847j 0.0169465-0.00359596j -0.0802271-0.00822454j -0.249031+0.0279416j -0.0948905+0.0132799j -0.0676951+0.0381251j 0.000114823+0.0258593j 0.0452735+0.0169764j -0.0563394+0.0710113j -0.0255127-0.00537532j -0.0448317-0.0265777j -0.0627737+0.0469014j -0.0272556+0.0716264j -0.0544239-0.00324271j 0.00868365-0.212587j -0.0337939-0.0408007j 0.0184042-0.1288j -0.0173899+0.0162036j 0.00664042-0.106657j 0.0198379+0.0617091j -0.00462235-0.0352401j -0.00152133-0.0105716j 0.0330433+0.058859j 0.0305557+0.0303277j 0.320057+0.000322937j 0.0100545-0.0502274j 0.0516163-0.0225296j 0.000876354+0.0372987j 0.0606161+0.0176345j 
0.00777093+0.00707707j 0.00171656+0.00206854j -0.00984138+0.000889672j 0.0162315+0.00591017j 0.00628597-0.00319023j 0.0170788-0.00199166j -0.000113701+0.00875719j 0.00490316-0.00195652j 0.0149651+0.00686623j -0.00488692-0.0100972j 0.0312282+0.00144086j -0.00289158-0.0118144j -0.00830218-0.00318498j 0.000688192+0.00639897j -0.00461492+0.0190098j 0.00716936+0.00317473j 0.0309086-0.000487382j -0.0249989-0.00088218j 0.0748596+0.00196517j 0.00760288+0.00883731j 0.0252034+0.00723874j 0.0222252-0.0213201j 0.00136445+0.0153696j 0.00301604+0.00663865j -0.00218501-0.0250091j 0.00686402-0.00498119j -0.00145282+0.00614732j 0.0250096-0.00685727j 0.0114029-0.00200119j -0.033726+0.00755922j -0.0517752+0.0331134j -0.00446805+0.0167715j 0.0269592-0.00917699j -0.0651929+0.0065384j 0.0306729-0.00496252j 0.0906403-0.00544782j 0.0343468+0.00371252j -0.00445998-0.0118007j -0.00914802-0.0131922j -0.00691055-0.0157159j 0.0189592-0.0130189j -0.00894649+0.0217501j 0.123674-0.00239631j -0.103995-0.0100034j -0.0235993+0.0131988j 0.0518962+0.0119003j -0.0257773-0.001727j -0.0901174+0.0133549j 0.00634274+0.0348394j 0.0135537+0.0241715j -0.0980233-0.00196044j 0.017085-0.024162j -0.0688708+0.00943568j 0.0384372-0.017204j 0.0812264-0.00693149j 0.0133649+0.0484311j 0.0949586-0.00127896j -0.154927-0.0144184j -0.17042+0.0447011j 0.0861466-0.00755649j -0.155678+0.0731227j -0.0494156-0.029698j 0.0386451+0.0387554j 0.0137776+0.0583534j 0.0768658+0.0020993j -0.165336+0.0238013j 0.0534363-0.060254j -0.0412902+0.0240744j -0.00576117-0.0384331j -0.00888522+0.0122876j 0.0303801-0.0427587j -0.0808125+0.0235952j 0.0379707-0.0438379j -0.0546655+0.0485955j 0.0558372-0.00353743j 0.0796376+0.0066464j 0.0379246-0.00510366j 0.0218133-0.0906312j 0.0104281+0.0738249j 0.0224581+0.00382035j 0.0296832+0.0210178j -0.0013022-0.0141221j 0.00223786+0.075502j 0.0120712-0.000257463j -0.026049+0.00339529j -0.0237991+0.00596401j 0.334315-0.00604052j -0.0394173-0.0238736j 0.000463049-0.0270679j -0.0316872+0.0214938j 0.0283557+0.0139416j -0.0148153-0.0114924j 
0.0113952-0.00279014j -0.00910667-0.00346578j 0.00748731+0.00631771j 0.00431502-0.00490979j -0.00774483+0.000905236j -0.00831852-0.00525288j 0.0141768-0.0117205j -0.00516588-0.0106989j 0.0318734-0.000698546j 0.0190938+0.00684551j -0.0142213-0.0265626j -0.0300872+0.0144444j 0.0128254+0.00630405j 0.0239501-0.00829602j 0.0309948-0.000607691j 0.0221019-0.0123398j 0.0245549-0.0159413j -0.024519-0.00509845j -0.0226287-0.0039292j 0.0445801+0.00343663j 0.0395248-0.0154312j -0.0137981-0.0106811j -0.0373371+0.0030418j 0.0641866-0.0237478j -0.0128817+0.0134288j 0.0708198-0.00532591j 0.025043-0.0132461j -0.0318894-0.0139071j 0.0546046-0.0142334j -0.0336949+0.00725169j 0.0916375-0.00218775j -0.0527113+0.00419886j -0.00668767-0.00275016j 0.0168055+0.0200785j -0.0147106-0.0192036j 0.0278335-0.0276246j 0.0584787+0.00445451j -0.0127373+0.00208688j -0.0224226-0.0123336j 0.00645338+0.00547291j -0.051414-0.00272399j 0.0866902-0.00905616j 0.0106162-0.0300797j -0.0398436+0.0320727j 0.0803672+0.0154345j 0.0217802-0.00670521j -0.0119968+0.0138599j -0.00855095+0.0177917j 0.160552-0.00424201j 0.00518038+0.0145633j 0.0173403+0.0384426j -0.0359596+0.0206867j 0.0155211-0.00328367j 0.000418711-0.00306428j -0.0269749-0.0113909j 0.091791+0.00254781j -0.0236258-0.0180259j -0.0498691+0.072915j 0.115953-0.00269647j -0.0387254-0.0282603j 0.0341629-0.00432232j -0.0722215+0.000715301j 0.262624-0.0501108j 0.108192+0.0100649j 0.102207-0.0372238j 0.0339965+0.0675884j 0.0331116+0.0160765j 0.00806756+0.0529343j -0.0797827-0.00454033j 0.091342-0.0211081j 0.015007-0.021378j 0.0176512+0.0370419j 0.0224946-0.0240189j 0.00358423+0.00302683j -0.0514528-0.00188453j 0.0488118-0.0252753j 0.0269888-0.0584951j -0.00857034-0.0113042j 0.0577811-0.104987j -0.00946326-0.0676535j -0.00784608-0.0406173j -0.00239624-0.00940833j -0.00646873-0.0149994j 0.0060759-0.0522839j -0.0377029-0.00325067j -0.303295-0.00796876j -0.037511+0.0186655j 0.0296384+0.00843055j -0.0153166-0.00927161j -0.0590371-0.0171626j 0.0189933-0.000688619j 0.018049+0.0200857j 
0.0106228-0.00394423j 0.00800336+0.0028912j -0.00854982+0.0071971j -0.0168186+0.006956j -0.00933483+0.00584328j 0.0115683+0.00160174j -0.00179602+0.000672924j 0.0130699-0.00387163j 0.00359651-6.35665e-05j -0.0155289+0.00844107j 0.00515869-0.00680912j 0.00605851-0.00171717j -0.0227442+0.00449167j 0.0243455+0.000966268j 0.0199886+0.0036822j 0.00827921+0.00710627j 0.0279024-0.015863j 0.0172095-0.0106294j -0.0546928-0.0026569j -0.0122839-4.40305e-05j 0.000471725+0.0108559j 0.0624393-0.00492471j 0.0248271-0.0245214j 0.0561015-0.0154555j -0.0534776+0.0117922j 0.059147+0.0266661j 0.0379133-0.00690568j 0.0177512-0.0190774j 0.0069012+0.011363j -0.0310805+0.00303705j 0.00446019+0.00603481j -0.0356298-0.0146523j -0.0117034-0.0253032j -0.0392077+0.00891279j 0.014254-0.0209691j -0.0486897+0.00582526j 0.0311425-0.0211109j -0.0208+0.0203033j 0.0624255-0.0306977j 0.0527445+0.0395249j 0.00888929-0.0182579j 0.00796062+0.0433793j -0.00330451+0.00594647j 0.0274669-0.0186592j -0.0892818+0.0506045j -0.0244272+0.00544529j 0.126009-0.0222327j -0.0232872-0.0310319j 0.0411148+0.055776j -0.00230946+0.00474726j 0.0200253+0.0175408j -0.0805843+0.020433j 6.59041e-05-0.0537176j 0.0394198-0.00670518j -0.0108703-0.0089031j -0.133508+0.0241776j -0.0328591+0.0254245j -0.0244014-0.0252043j 0.128855-0.0517261j -0.0664883-0.00328242j -0.0658294-0.0360264j 0.10122+0.0105378j 0.14396+0.0608637j -0.196988+0.0351533j -0.0170115+0.0333663j -0.118356+0.0275601j 0.034193+0.097086j 0.00680447-0.026499j 0.0631539-0.0359001j -0.0739472-0.00230907j -0.0342108-0.0527828j 0.0926445+0.00596777j 0.0452272-0.0225759j -0.0136923+0.0269629j 0.00870402+0.00929757j 0.027416-0.00305572j 0.0261964-0.00655425j 0.0536138+0.00146751j 0.000276927+0.0228439j 0.0152178-0.0296793j 0.00721085+0.0309124j 0.0368726-0.0136505j 0.0290485-0.00199629j -0.0306349-0.0125607j -0.252575-0.014423j 0.0525193-0.0276921j -0.023047+0.0133212j -0.00388813-0.0304392j -0.0930824-0.00115859j -0.0427158+0.0107551j -0.026234-0.000299817j -0.0129947+0.00305544j 
-0.0054538-0.0144843j 0.0119181-0.00636721j 0.0185289+0.00825836j 0.00860691+0.00676641j -0.0195542+0.0079285j 0.0215726-0.0162281j -0.00564364-0.00107862j -0.0420428-0.0137851j -0.0210684+0.0143069j -0.0273716+0.0339057j -0.0130861-0.00819022j 0.0188453+0.000470934j 0.0107451-0.0125226j -0.0139138-0.00324752j 0.0334016+0.0132931j -0.0120822-0.0162877j -0.0195147-0.000200177j -0.0184483-0.00582686j -0.010938-0.00484623j -0.0257458-0.0230245j -0.0109935+0.0167229j -0.0340963+0.0509038j -0.0288747+0.0056344j -0.0284639+0.00382545j 0.0028848-0.0206103j -0.0465565+0.0129894j 0.00272378+0.00791251j -0.0414427+0.0374255j -0.00761039+0.0112083j 0.0046592-0.000870149j 0.0197758-0.0136749j 0.0152326-0.0223312j -0.0161985+0.0268685j -0.0168009+0.0301211j 0.00423554+0.00549775j 0.0337478-0.0243545j -0.0205628-0.0299965j 0.0222915+0.0136624j -0.0315172+0.0242159j -0.00691808+0.0383639j -0.0379768-0.00430095j 0.0378181+0.0456618j 0.000317713+0.0172505j -0.0404914-0.0417712j -0.00473075-0.0212982j 0.0339369-0.0174173j -0.0238211-0.0834929j -0.0123421-0.0255872j 0.0129328+0.0355428j 0.00671287-0.0203567j -0.0599179+0.0083792j -0.00860306-0.0286385j -0.00175779-0.012979j 0.0318234-0.00157407j -0.0431665+0.0409583j 0.0573592+0.0751523j -0.0184403+0.0960471j -0.0363169+0.060106j -0.0960489+0.049816j 0.0485804+0.0191723j -0.00744009-0.085512j -0.0203908-0.0274997j 0.0751383-0.00458964j 0.00564511-0.0921463j -0.00097071+0.0693884j -0.020699+0.0461039j 0.0567295+0.0800153j 0.0198763-0.231473j -0.0726025-0.0296796j -0.0587058-0.0513848j -0.0950359-0.113422j 0.0294774-0.0441441j -0.0357476-0.0387969j 0.0447106-0.0165005j 0.0218718+0.0431132j -0.015055-0.0757298j -0.0237797-0.0673844j -0.00502963+0.010526j -0.00636344-0.0757203j -0.0291859-0.0901518j -0.0273287+1.56858e-05j 0.00357069-0.00603865j -0.0872631+0.0180958j 0.0327513-0.0341662j 0.0144511-0.124542j -0.0197626-0.00839776j 0.0184297+0.051177j -0.0311853-0.00769365j -0.098806+0.0464565j 0.159888+0.013327j 0.000549873+0.00499241j 0.0249789+0.024196j 
