0.112184-0.0170158j -0.160689-0.0240915j 0.0448322+0.0271016j 0.196348-0.0687612j -0.150958-0.0466138j 0.0898245+0.0434013j 0.0133069+0.0169456j 0.179056-0.0106102j -0.0886389+0.00139012j 0.114172+0.031047j -0.059509-0.0258197j 0.0402414+0.0474971j 0.0208632+0.0107334j -0.116967-0.0159158j 0.0547854-0.0198811j 0.0118368-0.0253305j 0.0369884+0.0545537j -0.107747-0.0337147j -0.115202-0.0924742j -0.0955632+0.0101841j 0.0634045+0.0285744j 0.0525013-0.013437j -0.0306766+0.0513862j 0.130888+0.0325944j 0.0845918+0.0325842j 0.123341+0.0307409j -0.0753226-0.028044j -0.0152123-0.0117187j -0.00484065+0.0128024j 0.0151552-0.00915185j 0.0535849-0.0199353j 0.0188366-0.0260406j -0.0938141+0.0164007j 0.015057+0.0447129j -0.0487186+0.0924294j -0.197722-0.0694448j 
-0.0393321+0.0134033j 0.0678025+0.0169688j -0.0114638+0.0815272j -0.0557313-0.0416995j 0.0562404-0.00543556j 0.0172392-0.0453314j -0.0670426+0.00859633j -0.0362553+0.00732581j 0.042993-0.0110033j -0.0694931-0.0418433j 0.0541287+0.00118126j -0.01789-0.0377213j 0.00519518+0.00158292j 0.0559327+0.00937814j 0.0116756-0.0108117j 0.0454749+0.00689985j -0.00628418+0.0142166j 0.0313078+0.0268482j 0.0425397+0.00243959j 0.0302068+0.0108168j 0.000983216-0.0118628j -0.0446043-0.0174203j 0.000850545-0.0067846j -0.049872-0.00761366j -0.0379024-0.00228335j -0.0327848-0.0115286j 0.0211866+0.00661407j -0.00800176+0.0179209j -0.021342-0.0194193j 0.0066902-0.0181902j -0.0111829+0.0101406j -0.0177709-0.0165174j 0.0340455-0.0197859j 0.0192648-0.01367j 0.0157101-0.0115195j 0.0669443+0.0289261j 
0.127404+0.0530973j 0.0221427-0.0395383j 0.140046-0.0474551j -0.0419487-0.157657j 0.112706+0.0143479j -0.108671+0.012104j 0.0845266+0.0387387j -0.0374487+0.0280867j -0.0667874+0.0164357j 0.0164681+0.0711964j -0.105693-0.109903j -0.0614833+0.0122778j 0.0264116+0.0346762j -0.025729-0.0594171j 0.0597822+0.0478371j -0.0291676-0.00818506j -0.0421347-0.00447397j 0.0635771-0.0678802j 0.215557+0.103202j -0.0949601-0.0282546j -0.111483-0.0628926j 0.118032+0.0702341j -0.148302-0.0432521j -0.0603131+0.0417643j -0.0755064-0.00575971j -0.0167196+0.0243605j 0.0364757+0.00185507j 0.0162008-0.0214533j -0.00076948-4.02819e-05j 0.0093577-0.0120315j 0.015889+0.00397831j 0.0573101+0.0266227j 0.0288965-0.0329506j -0.0803654-0.0100287j -0.138382-0.12287j 0.0863477-0.0888978j 
-0.0311085-0.0268135j 0.0320348+0.0251139j 0.051507+0.011624j 0.103846+0.00474948j 0.00996598+0.0265482j -0.0823099-0.0151546j -0.0503533+0.00286084j -0.104961-0.00936249j 0.0114259-0.00762592j -0.0820596-0.0387576j 0.067736+0.0128736j -0.0041344-0.0315536j -0.0557064-0.0239679j 0.00657638-0.0382844j 0.0156575+0.0358874j 0.0495336+0.0542199j -0.0779116+0.0104756j 0.0175659+0.0441785j 0.0579341-0.0523967j -0.021038-0.0415938j -0.00513396+0.0321613j -0.0534178-0.0220478j 0.0301311+0.00147189j -0.0911924-0.0355968j -0.0595563-0.0300965j -0.0704778-0.0325558j 0.0291339-0.00800673j 0.0162513-0.00251769j -0.00715558-0.0347712j -0.00144978-0.00502575j -0.0393105+0.0363184j 0.0100245+0.0376422j 0.028472-0.0619929j 0.0402435-0.0018966j -0.00110528+0.0312053j 0.100086+0.0331361j 
0.103806-0.00323246j -0.036344-0.0124342j 0.242737+0.0497231j -0.0128369+0.225512j -0.00892487+0.0162598j -0.0791635-0.0240528j 0.0863298-0.0396997j -0.140219-0.0478478j -0.116896+0.0196343j 0.0680673-0.0512157j -0.0610699+0.0332542j 0.0920052+0.0121781j 0.0480788+0.00434406j -0.0690025-0.0368693j 0.056987+0.0760047j -0.0250747+0.0909399j -0.192488+0.00821895j -0.126609+0.0378139j 0.164519+0.00429048j -0.0550209-0.081332j -0.113256+0.0531434j 0.020793-0.0245451j 0.00909227-0.0254045j -0.0190701-0.060065j -0.0514239-0.0106802j -0.00591613-0.0523357j 0.00780534+0.0249041j 0.00543571+0.0163701j 0.0237936-0.0183553j 0.0254605+0.0056745j -0.0440299-0.0198989j 0.0386677+0.0398643j 0.0668403-0.0197821j 0.0133131+0.0707848j -0.0946191+0.0162415j -0.0214795+0.0194098j 
0.019591+0.0521742j 0.0326212-0.101584j 0.028701-0.333542j -0.162583+0.274361j 0.0101561+0.108772j 0.0357525+0.0402847j 0.0323098-0.0600012j 0.0156374-0.0226475j -0.0272527+0.00760689j 0.0872536+0.0307253j -0.0507812+0.0186256j 0.0214747+0.0513067j 0.0208658+0.0139957j -0.017653+0.017981j -0.0641855+0.0318169j -0.100117+0.0665394j 0.0963316+0.0124599j 0.0100044-0.0658239j -0.0723153+0.0885273j 0.103291-0.0425215j -0.0301417-0.00762559j 0.021982+0.0177426j 0.010948-0.0298473j 0.080512+0.031946j 0.0713335-0.0221732j 0.0547114-0.00554823j -0.0400942-0.0117729j -0.024651+0.013789j 0.0169801-0.0250003j 2.38647e-05+0.0423661j 0.0315485-0.035363j -0.0214013-0.0177163j 0.00614476+0.0330376j -0.0568127-0.00370557j 0.0222651-0.0283806j -0.0611814+0.00283142j 
0.163463-0.00765085j -0.0665276+0.0480056j 0.196574+0.348301j 0.318772-0.214788j -0.0524139-0.122541j -0.067039-0.0456754j -0.120181+0.0564068j -0.0478339-0.0183504j -0.0223751-0.0383667j 0.050953-0.0977844j -0.0381114-0.0125219j -0.071298+0.0422938j -0.03634-0.00506493j -0.0200144-0.00480905j 0.0210341-0.0495519j 0.080928-0.0484882j 0.10032+0.0234995j -0.0552285-0.0172319j -0.0583944-0.102888j -0.0627036-0.018457j 0.00798143+0.0468151j 0.0470193-0.0464632j -0.0599393+0.10041j 0.0298003-0.0377831j -0.00585901+0.032572j 0.00353517+0.000542998j 0.0182653+0.00620165j 0.0041062-0.00306904j -0.00315391+0.00538642j 0.00490035-0.0259827j -0.020155-0.0294763j -0.00220505+0.0161681j -0.058291+0.0111756j -0.0150461+0.0347291j -0.0246466+0.0760356j -0.0675532-0.0151811j 
0.0300347-0.125639j -0.0542066-0.00441157j -0.0564285-0.436838j 0.389574+0.0190167j 0.0265342+0.154971j 0.0126512+0.0873159j -0.0543605+0.0751116j -0.00746694+0.00905176j -0.0314432+0.0408842j -0.0258632-0.0259505j 0.132229+0.0102075j -0.096566+0.0414739j -0.00699292+0.0448164j 0.0196319+0.072422j 0.0729664+0.0290353j 0.0281012+0.0572883j -0.0844944-0.00498809j 0.0481401+0.0241211j 0.00255268-0.0168297j -0.00644577-0.0107416j 0.0248086+0.0871597j -0.0426516-0.0102829j -0.0249382+0.0220645j -0.0488026+0.0114943j -0.0270674-0.0150188j -0.059986+0.00794157j 0.015122+0.00723252j -0.00135991-0.0123667j -0.00822336+0.000287097j 0.0125795-0.0138097j -0.0484216+0.0309307j 0.0241231-0.0190176j -0.00979742-0.0439615j 0.0349428+0.00118266j 0.00366947+0.0227469j 0.0619571+0.00555891j 
-0.0222699+0.047979j 0.0382135-0.0648022j 0.348044+0.0270723j 0.00525017+0.354538j -0.170652-0.00430731j -0.0618086-0.0260345j -0.12325-0.0878388j 0.0896346-0.027215j 0.047587+0.0017648j -0.129197+0.0163992j 0.0193406-0.039177j -0.0379005+0.0128965j -0.0385989+0.0105156j 0.00559724-0.0845385j -0.04705-0.00332875j 0.0742875+0.00840167j 0.0929212+0.0740984j 0.0836925-0.0114321j -0.149381-0.084853j -0.0318615-0.0357275j 0.075024+0.0315537j -0.0567107+0.00840267j 0.0217705-0.019222j -0.0378445+0.0492517j 0.0283207+0.0138798j -0.0090132+0.0426059j -0.00939124-0.0378721j 0.0161518-0.0335286j -0.0327258+0.00826343j -0.0179305-0.00209877j 0.034891+0.0489935j 0.0247404+0.0254484j -0.0635428-0.0392389j 0.0268754-0.0353907j 0.0567512+0.00737507j 0.0371872-0.055958j 
0.103596+0.0733004j -0.034144+0.0386543j 0.242387+0.221572j 0.354295-0.112689j -0.0530348-0.04834j -0.0622744-0.0629316j -0.0858455-0.0152506j 0.0414888+0.027303j -0.104257+0.0106905j 0.0398109-0.00926123j 0.0715533+0.0005213j 0.0274691-0.0314848j -0.00398664-0.0153355j 0.00179635-0.00534364j -0.0619735+0.0328664j -0.0605531-0.032847j -0.0261592-0.0113876j 0.103504-0.009531j 0.00299934+0.0968785j 0.0224041-0.0226781j -0.0288615-0.0655335j -0.00672224+0.0336729j 0.0259402-0.00801319j 0.0379418-0.0170457j 0.00949545-0.00857452j 0.00630216-0.0108297j -0.00355497+0.00425788j -0.017003+0.000455386j 0.00711066-0.0126249j 0.021643+0.00926098j 0.0147597-0.0135814j -0.00582808+0.0115628j 0.0188449+0.00765044j -0.0202138-0.038644j 0.0392096-0.0517694j 0.0169456+0.0309233j 
0.0825314+0.0113933j 0.102784-0.0115735j 0.0644289-0.118857j -0.121782-0.0345339j 0.142451-0.0574747j 0.0218072-0.0182631j 0.0135118+0.0146593j -0.0966719+0.0862523j -0.122034+0.0611837j 0.0367259-0.0389593j -0.0204076+0.0771498j 0.052272-0.0305039j 0.0498355-0.0682388j -0.00634681+0.0432553j 0.0214398-0.0574929j 0.0826295-0.0782096j 0.0422644+0.0860611j 0.00678171-0.0196413j 0.129251-0.0543397j 0.0335998+0.0285733j -0.0674583+0.0471172j 0.0268452-0.0133297j -0.00804932+0.0510616j -0.0140632+0.0257531j -0.0511778+0.069519j -0.0553113-0.0100891j 0.0121782+0.00423443j -0.0115264-0.0124253j -0.00248522+0.00247381j -0.0397032+0.0164057j -0.00557768-0.0151079j -0.00714383-0.0404088j 0.0142352-0.0178708j -0.0255351-0.0185383j -0.0439011+0.0563193j 0.0154517-0.0204653j 
