0.0184417+0.0563232j -0.00980857+0.0205527j 0.0216537+0.0155327j -0.0134021+0.0479941j -0.0159816-0.0461262j -0.00374955-0.0022748j 0.061314-0.0500439j -0.00427855-0.0303503j 0.00171556+0.0249493j 0.0322097-0.0557606j 0.06045+0.0102395j 0.0290691-0.0249751j 0.0129796-0.0233417j -0.00150511-0.000164118j -0.0466935+0.0567163j 0.0142693+0.0179742j 0.0173226-0.00526728j 0.0179531+0.00448045j -0.0116863-0.00799906j 0.0323316-0.0246533j 0.0191387-0.0213635j 0.00102527-0.017499j 0.00591348+0.0056279j 0.0147018-0.0177799j -0.00307252-0.012414j -0.0264275+0.0198967j 0.0269386-0.0155522j 0.0319825+0.00814903j 0.0337672-0.0259098j 0.0035244-0.00172558j -0.00609759-0.00595362j -0.00530088+0.00112335j -0.00735805-0.0150997j 0.00296923-0.0133554j -0.00549192-0.00555487j -0.0332091-0.00573075j 0.00176259-0.00830666j -0.0042733+0.00199605j 0.0126361+0.00394554j -0.0169419+0.00361223j -0.0111733-0.0254961j 0.0334936-0.0436926j -0.0168143+0.0596278j 0.0188769+0.00581041j -0.0123922-0.0258042j -0.0386205-0.0124927j -0.0377366+0.0295578j 0.0220291-0.0161496j 0.0312326-0.0582655j 0.00689763-0.0550774j 0.0225151+0.0238403j -0.0133652-0.0403912j -0.0281946+0.0303586j 0.00112309-0.0680005j 0.0145793-0.0695172j -0.0431538+0.0683577j -0.0693141+0.0556944j -0.05243+0.0472283j -0.0409405+0.0739429j -0.107122+0.0774685j -0.00017471-0.00588904j -0.0477079+0.0622636j 0.0131511-0.0200719j 0.0555839-0.0151262j 0.0449012-0.00732433j -0.0752998+0.0734713j -0.00184685+0.105427j -0.079313+0.061428j 0.108831+0.0243456j 0.0903634-0.0956985j -0.11272+0.0986123j 0.153179-0.166271j -0.00394961-0.0835543j 0.0916756+0.00457066j 0.0334315+0.00335629j 0.116612-0.0735305j 0.068824-0.0672854j 0.0297544-0.0469385j 0.0328174-0.00430706j -0.0296671-0.00459832j 0.0526117-0.0700572j -0.0395215+0.0190081j 0.0218519-0.0308668j -0.04011+0.0203843j 0.0174478-0.00287381j 0.0307973-0.0411998j -0.0186114+0.0497833j 0.0160805-0.019238j -0.00491842+0.149109j 0.134275-0.0595645j -0.0777122+0.126709j -0.0828408+0.0538502j 
0.010129-0.0286102j 0.00766598+0.0669891j 0.0142818-0.0412142j 0.0349092+0.022204j -0.00906934+0.0305401j 0.0274042-0.0685123j 0.00050514-0.0391397j -0.0147007+0.00526649j 0.0436291-0.0480287j 0.00804651-0.0443176j 0.0402361-0.046885j -0.0155695-0.0138999j 0.0130322+0.0183253j -0.0298128+0.025218j 0.0147755+0.0427443j 0.0329505-0.0173826j -0.00840182-0.0141688j 0.00726012-0.025263j -0.0214512-0.0066371j -0.0234264-0.0032483j -0.00696316+0.00126522j 0.00723694-0.00918287j 0.0174192-0.0281048j -0.0110283-0.0495369j 0.0125551+0.0173003j 0.0436511+0.000250258j -0.00672419-0.0426119j 0.000340032+0.00700795j -0.0117305-0.0430301j 0.0289638-0.0204052j -0.0124008-0.0165068j 0.00731536-0.00243845j 0.00916644-0.036701j -0.0278155-0.00126494j -0.00540072+0.010899j -0.00118164-0.0157904j 0.0231827+0.0223142j 0.00429141+0.0105769j 0.014798-0.00365661j 0.000968344+0.00640724j -0.0130118-0.0209047j -0.00870515+0.0118169j -0.0354386+0.00983349j -0.0277836+0.0419523j 0.0221285+0.000916626j 0.00253986-0.0356409j 0.0274191+0.043291j 0.0216671+0.0014923j 0.0169386+0.0528361j -0.0212353-0.0127902j -0.0415804+0.0205865j -0.0512309-0.0191616j -0.0259181+0.00895521j 0.076245-0.0554998j 0.0606992-0.0232174j -0.0457041-0.0212124j -0.0116715-0.0456465j 0.0196908-0.0614756j -0.0650157-0.00957543j 0.00920341-0.119638j 0.0197405-0.0527447j -0.0152328-0.0246226j 0.00569773+0.0264642j -0.0347796+0.0565495j -0.0213562+0.0633988j -0.00937205-0.0349427j -0.166465+0.109084j -0.000637561-0.0358198j -0.162898+0.195401j 0.0614161+0.0119481j -0.0431147-0.0185146j 0.0658483+0.0256113j 0.136373-0.111254j -0.134275+0.14295j -0.044849+0.031232j -0.0349537+0.080145j 0.0232632+0.0278016j 0.0660147-0.0355935j -0.0453602+0.0445429j 0.0179856-0.0326036j 0.0173815+0.0187733j 0.0311052-0.0638368j 0.0487179-0.0476196j 0.0393234-0.021007j 0.00871242+0.0180083j 0.0127839-0.0199994j 0.028082+0.00192068j -0.0322982+0.064667j -0.131733+0.0554578j -0.0176628+0.167052j -0.0674757+0.0528236j 0.0889853-0.136821j 
0.0508159+0.0221632j -0.0221543-0.00872038j 0.00473401-0.00299779j 0.00734856-0.0289909j -0.00779016-0.0445221j 0.034136+0.0266694j -0.00165241-0.00321668j -0.0132881+0.0273017j 0.0569875+0.0363071j 0.0206663+0.000578587j 0.0399954+8.36907e-05j 0.0227503-0.0046487j 0.009614-0.0300518j 0.0189987-0.0037545j 0.063184+0.000823073j -0.0050027+0.0184897j 0.0167484+0.00130649j -0.00757684-0.00864859j -0.070295+0.00516038j 0.0178265+0.0136202j -0.0163375-0.0360877j 0.0151377+0.0380273j 0.00706446+0.0134011j -0.037685-0.00979617j -0.0417156-0.00275118j -0.016863-0.0395247j -0.0270749-0.00476389j 0.00863286-0.00885377j -0.0168308-0.01776j 0.00923834-0.00511047j -0.0190411+0.032224j -0.0034369-0.00267157j -0.0326114-0.00100272j 0.00607768-0.0144089j -0.0195741+0.00872232j -0.00834142-0.0406685j 0.0339279-0.0371603j -0.0379097-0.0135018j -0.0274043-0.0156438j 0.000862894-0.00149961j -0.021951+0.0131781j -0.0285577+0.075673j 0.0209239+0.014095j -0.0343745-0.00073684j 0.0212729-0.0595099j -0.0540035+0.0319941j -0.0107086-0.00198513j 0.00534737+0.00525771j -0.0191476+0.0148232j -0.0608969-0.0352347j -0.00148896-0.0939918j -0.0189994+0.0156578j 0.00557832-0.00215525j -0.0315882+0.0919756j -0.0882351+0.040476j -0.0082636-0.0160131j -0.0266882+0.0232686j 0.007593-0.0411953j -0.0215022-0.0225197j -0.0886634+0.0449902j -0.0388252-0.0356784j 0.00499928+0.000682407j 0.010993+0.014274j 0.00889035-0.0522061j 0.0499249-0.0307154j 0.0252128+0.0567659j 0.0435018-0.00344263j 0.0229615+0.0198278j 0.0514849-0.0554144j -0.0364301-0.0566611j 0.058827+0.0537993j -0.0678138-0.0783766j -0.0420539-0.00291269j 0.00284576-0.0724288j -0.0043995-0.0262606j -0.0370839-0.068608j -0.0302607-0.0241333j -0.0122621-0.0307801j 0.00175185-0.0198004j 0.0126071+0.0268865j -0.0100195-0.0212633j 0.0146318+0.0485328j -0.0101402-0.0120652j 0.0301082-0.0267716j 0.0348806-0.0774313j -0.0128866-0.0565932j 0.0737268+0.0375555j 0.0365529-0.0878171j 0.0565771-0.0589509j 0.0342179+0.00111853j 0.0735758+0.0547509j 0.0348089+0.0626689j 
-0.0264348-0.00694122j -0.0448643-0.0269925j 0.0181553+0.00322518j -0.0149489+0.00218263j 0.00343095+0.0259468j -0.0123352+0.0461364j 0.05591-0.0136424j -0.0614736-0.0217102j -0.0372105+0.0109362j 0.0191212+0.0625885j 0.0287882-0.0255379j 0.0660055+0.0223043j 0.00199032+0.0380537j -0.0250262+0.0162235j 0.0364965+0.0324683j -0.0203532-0.000360138j 0.0491392+0.0651622j 0.0114096-0.00275727j 0.00663604-0.0200941j -0.0157515-0.00728766j 0.0396541+0.020668j -0.0211214+0.0170605j -0.0231011-0.00988211j 0.0305676+0.0285812j -0.0133998+0.0382512j 0.00997634-0.0172938j 0.0327334+0.00988728j 0.00600786-0.00608496j 0.0398238-0.0305848j 0.0218887+0.0584128j 0.00276603+0.0276994j -0.000100987-0.0261504j 0.0366122+0.00204805j 0.001181+0.0334148j -0.0190361+0.00170988j 0.00683743+0.013428j -0.00351035+0.0209738j -0.0289829+0.000275567j 0.0284472+0.0195965j -0.0511901-0.0388883j 0.0561028+0.0192079j 0.0184741-0.0118752j -0.00483427+0.0138643j -0.00522966-0.0312982j 0.0112089+0.0225379j 0.00722205+0.0159382j -0.0120367-0.0451522j -0.0372413-0.0838745j -0.00328009-0.0353434j -0.0161157-0.0178048j 0.0482662-0.057748j -0.100724+0.0787205j -0.0483258-0.044249j -0.0261785+0.0610112j -0.0531976-0.0780423j 0.0381135-0.0410612j 0.0421286-0.0689658j 0.0643299-0.0261977j 0.0479224-0.0470164j 0.0380891-0.105186j 0.0348459-0.00790118j 0.0388776-0.0188617j -0.0207564+0.0111436j 0.00220807+0.00928025j -0.00901463+0.046164j 0.0290122-0.0117741j -0.0287667-0.0640906j 0.0169157-0.0205503j -0.0664951-0.0276017j 0.00102268+0.0393525j 0.0174443-0.0136452j -0.0279802+0.0434422j 0.0498364+0.0705432j -0.0468143-0.055322j -0.00828571-0.0154793j -0.0293663-0.00863671j -0.0338207+0.00357766j 0.0296063+0.0465997j -0.026123-0.0263058j 0.0136262+0.0165831j 0.0202097+0.0348928j 0.0139257-0.0175769j 0.024266-0.00639562j -0.00755021+0.0491414j 0.025821-0.0701568j -0.034482+0.0959811j 0.00733261-0.00134678j -0.107682-0.0450458j 0.058877-0.023626j -0.0096633+0.0771807j -0.0320751-0.0419024j 0.0888592+0.049438j 
0.0103202+0.00522188j 0.0269732+0.000213765j 0.0160192+0.0264705j 0.039351+0.0547181j -0.00034059+0.0441623j -0.018973-0.00979611j -0.0313348+0.00640131j -0.0100623-0.0118751j 0.0191864+0.00965707j -0.0146312+0.00311335j -0.0327385+0.0226421j -0.0454772+0.0199183j 0.00383742+0.0322691j 0.0194682+0.00328326j 0.00627979+0.0360508j 0.0284113+0.0382524j 0.0178701-0.0140633j 0.00769437+0.0265864j 0.0344393-0.0278101j -0.0295701+0.0233204j 0.0196093+0.00598338j -0.0216442-0.0400429j 0.0165474-0.00471028j -0.00481205+0.0836006j 0.0282656+0.00194922j 0.0623025+0.00420029j -0.0172139-0.0297271j 0.0195372-0.014495j -0.0234994-0.0668702j -0.0144532+0.0406432j -0.0295099+0.0133783j 0.0104955-0.0135734j -0.00772023+0.0162287j -0.0130657+0.0329391j -0.0296827-0.0472793j 0.0208844-0.0118738j 0.0290496-0.0207264j -0.00883576+0.00727443j -0.0160598-0.00171627j 0.0310658-0.0678942j -0.0235016-0.0341858j -0.0734955+0.0461419j -0.0230065+0.0532358j -0.0543+0.0719987j 0.0534325+0.00445813j 0.0687754-0.0470341j -0.0241785+0.0484931j 0.000473742-0.0714438j -0.0390831+0.0488858j 0.102365-0.0775907j 0.030001+0.0136547j 0.131128-0.242001j 0.0122821-0.0197524j -0.0189243+0.0139212j 0.0161903+0.0371626j 0.0281666-0.0426902j 0.00750421+0.0046241j 0.0197462-0.0228868j 0.0235376+0.00230225j -0.00665914+0.0398274j 0.0169385-0.00244738j -0.00998374+0.00066794j -0.00781813+0.0176362j 0.0157249-0.00527923j -0.00980256+0.00965933j -0.0553193+0.0333786j 0.0358343-0.00338844j 0.0233865-0.0616673j 0.029472+0.0658444j 0.00314642+0.0132914j -0.0125465-0.0328324j -0.0164919+0.0212388j -0.0323891-0.0654888j 0.0492465-0.00104891j 0.0192128-0.022878j 0.014176+0.0353235j -0.0388663+0.0344812j -0.0160926+0.0206368j -0.00542633+0.0530009j 0.0247504-0.0732022j -0.000662725+0.0258938j -0.00925288-0.0212188j -0.00939872-0.0624583j 0.021221-0.000415133j -0.00545426+0.0464829j 0.0273524-0.0581011j -0.0637353+0.0420917j 0.0626223-0.0889081j 0.0215917-0.0237476j 0.00306076+0.0757974j 0.034531+0.0213907j -0.0415859-0.0590273j 
0.00792582-0.0206569j 0.0238764+0.00814965j -0.055558-0.0279511j 0.0137371+0.0199613j 0.00311417+0.0502523j 0.0155338+0.0677598j -0.00458399-0.0309039j 0.00509028+0.0560881j 0.0431622-0.0103057j -0.0181509+0.0157361j -0.0371512-0.0173586j -0.0184892+0.00353968j 0.0211965+0.010129j 0.0431444-0.0145286j 0.0265132-0.0504217j 0.00744361+0.0136252j -0.0483936-0.0602832j -4.38494e-05-0.0261224j 0.0298151-0.0895807j 0.0102703+0.0345469j -0.0316691-0.0586504j -0.01271+0.0351947j 0.00871217-0.028242j 0.0247272-0.0181696j 0.00288105+0.027902j -0.0706702+0.00401623j 0.0640426-0.00138911j -0.0187844+0.00242j 0.0174935+0.00653528j 0.00388798+0.0598212j 0.0192197-0.0622681j 0.0135516-0.0395965j -0.0344569+0.0414878j 0.0396776+0.00501204j 0.0438457+0.0155516j 0.0643318+0.064537j 0.0386346+0.0235332j 0.0653378+0.0343913j -0.00555071-0.0254659j 0.0300897+0.0620929j 0.0296381-0.0372006j 0.00438339-0.0925392j 0.0229132-0.0188076j 0.00295525-0.0659074j 0.0185078+0.14607j 0.0390087-0.17455j -0.132726+0.134449j -0.0701937+0.0746187j -0.0667528-0.026788j 0.0541053+0.0289286j 0.00649789+0.0472765j 0.0998666+0.01586j -0.0501586+0.1726j -0.0189489-0.0197579j -0.0953692+0.0429919j 0.0394255-0.0694311j -0.0540586+0.00323575j -0.0167483+0.0529187j 0.016118-0.0411972j -0.0264026+0.0682103j 0.0384559+0.0520402j 0.0117965-0.0461257j -0.0203555-0.00118073j 0.0311839-0.0127612j 0.0411172-0.0485209j -0.0136744-0.0794595j 0.00828048-0.0635122j -0.00593462+0.0280404j 0.0238331-0.035406j 0.0132912+0.0577217j 0.00304898-0.0650363j 0.0207499+0.0818381j 0.0145515+0.0109627j 0.0442762-0.00161505j 0.0329547+0.0349572j 0.0173351+0.00823826j -0.0274395+0.0533962j 0.00193798+0.0303355j 0.011699-0.00322265j 0.00552368+0.0260106j -0.00420453-0.00433196j -0.000584592-0.039485j -0.0351243+0.0415371j -0.0174506-0.00479651j -0.00770285+0.0655482j 0.0920001-0.0117008j -0.0232624+0.0423486j 0.0112685+0.0892713j 0.0186572-0.0919471j -0.034414-0.0511078j -0.0178923-0.0746545j -0.0582844-0.0278088j 
0.0594274-0.00882508j -0.0235565+0.00849806j 0.00378763-0.0035365j 0.0345072+0.0106595j 0.00828498+0.032722j 0.0396443-0.0158428j -0.0338723+0.0231115j 0.0161964+0.0271379j 0.0919633+0.00908343j 0.071105-0.0121093j 0.0374756-0.00476482j -0.0302399+0.0510228j -0.0341035+0.00939929j 0.00866032-0.00902952j -0.0220114+0.014562j 0.0185842+0.0188493j -0.0421349-0.0353225j 0.0397657+0.0156449j -0.0130991-0.021969j -0.0307474+0.0285737j -0.0365576+0.0059208j 0.0015303+0.00872297j 0.070329-0.0416063j -0.0337878-0.0187157j -0.0647767-0.0231418j 0.00879565-0.0121847j -0.00740035+0.0121581j 0.0220135+0.0150183j 0.0237311+0.0512057j -0.0297418+0.012557j -0.0195537-0.0968494j 0.0249165-0.00413296j -0.0289252+0.00382185j 0.0101172+0.0563049j 0.00299827-0.0962363j 0.0815364-0.0129002j -0.00418541+0.0136766j -0.00145195+0.0486997j -0.00341562-0.0958681j 0.0367938+0.0554618j -0.0621525-0.00666585j -0.129596+0.0276012j -0.0932796+0.0310079j -0.0612699-0.00102421j 0.161769+0.0254805j -0.0372231-0.0696363j 0.0362919-0.031916j 0.0039526+0.0467131j 0.0120781-0.0368576j 0.138571-0.0070591j 0.0899795+0.0304663j 0.0350382-0.119657j 0.0437783+0.0537895j -0.0866005+0.0541134j 0.0491069+0.0525084j 0.020078-0.0175058j 0.0239962+0.0398969j 0.0383855+0.0214884j 0.0201305-0.0355691j 0.0429251+0.0537448j 0.0191859+0.0112379j -0.0213945-0.0208378j -0.00625418+0.00770472j -0.00891022-0.0226452j -0.0284245-0.0189701j -0.0585724+0.00149242j 0.0260905-0.0176474j 0.035953+0.00346215j 0.00852302+0.0119439j -0.0210398+0.00385519j 0.0231708-0.0175652j -0.0218435+0.0140843j -0.0270371-0.0389575j 0.0167415+0.0327284j -0.00412447+0.0186482j -0.00610924+0.013201j -0.0180143-0.00380702j -0.0350457-0.0140946j 0.0100423+0.0326701j 0.0360244-0.0209474j -0.022745-0.0507526j 0.00737929+0.0423116j -0.0285724+0.0257712j 0.0524234-0.0585128j 0.0910776+0.0307395j -0.019847+0.0210361j -0.0126175+0.0331854j 0.0821025+0.00874772j -0.0254373-0.0255109j -0.082041-0.00650595j 0.0753774+0.00320345j -0.0187492-0.0408445j 
-0.0103676+0.012332j -0.0414125+0.0123433j -0.00586067-0.00251363j 0.0297574-0.000140164j 0.0501188+0.00612777j 0.0252622+0.00816945j 0.0350486-0.0133483j 0.0023139-0.0366638j -0.0197076+0.0320639j 0.0520209-0.0233644j 0.0337107-0.0275957j 0.017036-0.0100439j -0.029676-0.0037328j -0.0642983+0.0151931j 0.0408879+0.0478868j 0.00394646-0.0292017j -0.0550047-0.00801046j 0.0109348+0.0181953j -0.0443501-0.0155848j 8.51636e-05-0.0127036j -0.000404246+0.060028j -0.0178852+0.00404116j 0.0143093-0.0467225j 0.0198345-0.0478783j -0.0611721+0.00264642j -0.00956655-0.0220727j -0.0596042+0.009254j 0.0120147+0.0168365j -0.00852664-0.00802626j 0.00735476+0.0318811j -0.0171679-0.00904204j -0.0117372+0.00409958j 0.0454603-0.0158218j -0.016977-0.0116693j -0.0117592-0.0338403j -0.0127087-0.0350986j -0.0537301-0.0311941j -0.0525977+0.00749028j -0.0172183-0.0336651j -0.0353303+0.0129489j -0.0203924+0.0301231j 0.0347193+0.132596j -0.0529763+0.00613736j -0.0303521+0.0148737j 0.0920982+0.0658215j -0.0308725-0.0208467j 0.0779088+0.0656432j 0.00563252-0.083487j 0.137909+0.0870076j 0.0636314-0.0494512j 0.0367683-0.0424793j -0.0681963-0.235301j 0.0378569-0.0113412j -0.0679256+0.104848j 0.00269498+0.0616796j -0.0487133-0.0547729j 0.0239343+0.038425j 0.0195881-0.0513535j 0.00360836-0.0709061j -0.0207207+0.0272719j -0.038995-0.0496808j -0.0104809-0.031889j 0.0241335+0.0361691j -0.0121513-0.046062j -0.00954436+0.00245405j -0.00365525+0.0478609j -0.0142025-0.0324914j 0.026273-0.0131335j -0.014854+0.0096582j -0.0121753-0.0108926j 0.0409499+0.0103179j -0.0301943-0.0117476j 0.0137777-0.0515427j -0.0563817-0.0352421j -0.0376794-0.0428158j -0.0355373-0.0182057j 0.0187815+0.0136034j -0.00655397-0.0352727j -0.0179108+0.030765j 0.00532281+0.0470756j 0.025466+0.0199216j 0.0548144+0.0100123j 0.00818686-0.0607651j -0.00612648-0.0217012j 0.0251777+0.00668153j -0.0195869-0.0445422j 0.0248967+0.0277379j 0.0471745-0.0683464j -0.0267832-0.0510128j 0.0259946+0.0717988j 0.0240564+0.0418205j 0.0532836-0.01516j 
0.0279491-0.0247268j -0.014459+0.0129656j -0.0249237-0.0376195j -0.00385625-0.00228893j -0.0141968-0.00110251j 0.00980705-0.0215532j -0.0411846-0.0490278j 0.00590803+0.0162154j 0.0469577-0.00926268j 0.0520327+0.0570066j 0.000501577-0.0724486j 0.0210656+0.015549j 0.00184004+0.0556931j 0.0389897+0.00659893j -0.030283+0.017539j -0.00934625+0.0282622j -0.0130749+0.0732775j 0.00825552-0.0366537j 0.00634371+0.0401516j -0.00377591-0.0405193j -0.0572794-0.0505968j 0.0466073+0.0256424j -0.0321793+0.0504222j -0.0220405+0.0133515j -0.0127665+0.0713944j -0.0410902-0.0154489j 0.0915649+0.0129594j -0.0511608-0.00570784j 0.0621101-0.0101831j -0.0341596-0.0226879j 0.048428+0.0186065j 2.601e-05+0.0125856j 0.00933654-0.0231064j -0.00543284+0.0634526j 0.00646154+0.0386078j 0.0419664+0.0494033j -0.0166865+0.0662392j -0.0568021+0.0590433j -0.0384798+0.119656j -0.0405457-0.0876662j 0.0892732-0.0195531j 0.0295187-0.14444j -0.0189962-0.0162946j -0.0468558+0.0862133j 0.074472-0.045276j -0.022858+0.0621047j -0.0140115+0.103921j 0.044403-0.0747682j 0.0142355-0.0235703j 0.100122-0.0561953j 0.053166-0.0334228j 0.154716+0.0122094j 0.0507094-0.0847062j -0.0340302+0.00891722j -0.0379745+0.0555231j -0.0125904+0.0174578j -0.000527141-0.0327728j -0.0397817-0.0475303j 0.0124479+0.0450762j -0.0435264+0.0644959j -0.00874044+0.0337146j -0.0371148+0.0161545j 0.00903592-0.0159837j 0.0360698-0.0176491j -0.0179356-0.0173067j -0.0387918-0.00938788j 0.104639-0.0492473j -0.00484117-0.0773926j 0.117726-0.0472189j -0.0216403+0.0271611j 0.0171804-0.0792236j -0.0120951+0.0972011j -0.0945996+0.0822091j 0.104436-0.00244639j 0.040233+0.0373447j 0.00694089+0.0645432j -0.0056429+0.0122333j -0.0425049+0.0277327j 0.0338752-0.0148301j 0.0113323-0.043888j 0.0224178+0.035971j -0.0111128-0.0406418j -0.00553119-0.0139691j -0.0383123+0.0467525j -0.0221283-0.0236089j 0.0211716+0.000958775j -0.0049783-0.0400465j 0.0813907-0.0566973j 0.00180114-0.0640229j -0.00360562-0.0247643j 0.045131-0.0617025j -0.0486951-0.0323748j 
0.00386998+0.00654494j -0.00140862+0.00666307j 0.0240506+0.0141509j 0.0284525+0.0163743j -0.0370909-0.0159542j 0.00521143+0.0228714j -0.0109505-0.0150662j -0.0490502-0.0562609j -0.0420026-0.0749916j -0.0104884+0.0183894j -0.0111129+0.0184829j -0.0254829-0.0530619j -0.00546463+0.0356947j 0.0205512+0.0331203j 0.0231254-0.00086378j 0.0340121-0.0292917j 0.0185399+0.121738j -0.00240067+0.0096482j 0.01206-0.0499869j 0.00561951-0.0551488j 0.0162569+0.00654864j 0.00159821+0.00698449j -0.0496297+0.00845798j 0.0103476-0.00175579j 0.0473321+0.0291111j 0.0749074+0.00925891j 0.0124398+0.00384133j -0.0166764+0.0644025j -0.0267524-0.0245031j 0.0559573+0.00357162j 0.0365169-0.0294013j -0.0427399-0.049888j 0.0568465-0.0397993j -0.0819357+0.0650524j 0.0339649-0.0228669j 0.0282231-0.0797525j 0.0182934+0.00856781j 0.0532444+0.0274664j 0.10144+0.0258783j -0.0475982+0.0370583j 0.10405-0.0199375j 0.0720608-0.172711j 0.0983947-0.151738j 0.0543371+0.0305282j -0.0456533-0.123976j 0.0456052-0.0480821j 0.0619942+0.0335174j -0.029926-0.0639863j 0.0088858-0.0338245j 0.000672728-0.172761j -0.0311594-0.0288525j 0.115627-0.180292j 0.0339353-0.112382j -0.0602765+0.0720859j -0.130763+0.134529j 0.013019-0.0174051j -0.0130464-0.0321659j -0.0364104-0.0847944j 0.0612566-0.0467283j -0.0378693-0.0351961j -0.0194088-0.0325639j 0.0254204-0.0391683j -0.00585661-0.00879393j 0.0301682+0.00877047j 0.0239508+0.0744126j 0.0417185-0.0308655j 0.10454+0.0212072j 0.0480346-0.0656219j 0.0476846+0.098667j -0.0635532+0.031119j 0.101317-0.0766952j -0.0855801+0.0550024j -0.0253394-0.0850967j 0.0331258+0.0722939j 0.00640874-0.0501711j -0.0710507+0.116656j -0.054677+0.0210859j -0.000508931-0.0504581j -0.0415165+0.0659573j -0.016458-0.0435618j 0.0168962-0.00879345j -0.0530166-0.0368193j -0.0605944+0.0158048j -0.00274252+0.0458534j -0.0238303-0.00204143j -0.00368532-0.0101124j 0.0224214-0.0518544j 0.0205227-0.0414473j 0.0755132-0.0276006j 0.0172163+0.10605j 0.0341812+0.0273983j 0.0192498-0.064019j 
0.0113841-0.0192308j 0.0226386+0.0103498j -0.0232706+0.010369j 0.0696619+0.00870364j 0.0414824+0.0203866j -0.0369459-0.00761558j -0.0119985-0.0417256j 0.00622321+0.0208983j 0.0567098+0.0273885j 0.0332459+0.0586517j -0.00441436-0.00879934j -0.0275653-0.031209j 0.0170446-0.00772839j -0.0023799-0.0637382j 0.0764816-0.0372512j 0.0511337+0.0327146j -0.07674-0.0464366j -0.00482889+0.0459664j -0.00233438+0.0299458j 0.0332633+0.00563301j -0.0111507+0.0627343j -0.0486356-0.0283768j -0.0507598+0.0615017j 0.0552973+0.0321977j -0.0385286+0.0261841j 0.0218061+0.0374342j 0.0314913-0.00906432j -0.0423611+0.0412248j 0.0277033-0.0352636j -0.0232276-0.00359973j -0.0384036+0.014989j 0.0446356+0.0705915j 0.0676182+0.0570848j -0.043642-0.0662708j -0.0685253-0.0198192j -0.00459217+0.00948075j -0.094199-0.116216j -0.105967-0.00328985j -0.0647409+0.11016j -0.135262-0.0895912j 0.0682288-0.110033j 0.12715+0.00665291j 0.0412208+0.162641j -0.0465564-0.00593361j 0.102641+0.00742521j 0.0137194+0.0787779j 0.0368727+0.00962675j 0.0422436-0.0164897j 0.143463-0.0180798j 0.101169+0.0703514j 0.0864148-0.0491816j -0.057452+0.148603j 0.0335906+0.0308561j -0.0323529+0.0532719j 0.0230969-0.0380526j -0.0878261-0.0342544j 0.0157589-0.0582953j -0.0192238+0.0188122j -0.00711363-0.0368j -0.023699-0.00563952j 0.00831078+0.0495171j -0.056582-0.00708207j 0.0356302+0.0121707j 0.0446624+0.0090848j -0.0373416-0.0244126j -0.0514744-0.0468222j 0.0135222-0.0999087j -0.0694161-0.0331718j 0.12134-0.0614301j 0.0571116+0.0908399j -0.0498353-0.0960882j 0.0722248+0.12438j -0.0781651+0.119546j 0.0867645-0.0198408j 0.0291039+0.0671901j 0.0481464+0.0341685j 0.0787892+0.0364659j -0.0303865+0.0870267j 0.0190619-0.0692558j -0.0279642-0.0536118j 0.114784+0.047007j -0.0280431+0.0151374j -0.0224959-0.00372093j -0.0647607+0.0195562j 0.0353365+0.00590538j -0.0144227+0.0850511j 0.0250003+0.0132544j 0.0649855+0.0189503j -0.0395088-0.0269296j 0.0165337-0.0382606j -0.00177341-0.078628j -0.0759463-0.0178033j 
