-0.016385-0.06494j -0.0049655-0.0126327j 0.000734416-0.0342175j 0.0143272-0.0370376j -0.00302483-0.0431981j 0.0170757-0.0276285j 0.0311266-0.0423843j 0.0119012-0.0400495j 0.0137786+0.0427133j 0.0285003-0.066512j -0.0293716-0.015601j -0.0129164+0.0140559j -0.0105281+0.0261202j -0.00545128-0.0288283j 0.0402653-0.0232119j 0.0130938-0.0177153j 0.0266454+0.00914551j -0.016639+0.0392998j -0.00290936-0.00516792j -0.0112369+0.0332891j 0.0100061-0.00422905j -0.00786029+0.0106827j -0.0444459-0.00327892j 0.046718-0.0429235j 0.0264725-0.00583674j 0.00321758-0.00353846j -0.00766648+0.0131068j -0.0139582+0.0380821j 0.0394046-0.0509798j -0.0514675+0.0131554j -0.0291229+0.0107131j 0.0273665+0.0002774j -0.00862859-0.020054j -0.0400247+0.0122102j 0.0138819-0.0126455j 0.011274-0.0647606j -0.00654209+0.0589404j 0.0232011-0.072892j -0.0184162+0.0392043j 0.00762978-0.000846474j -0.0325596+0.0616739j -0.000911805-0.0307965j 0.0316035-0.055393j 0.0180734-0.0129785j 0.0274847-0.0199139j 0.0507284-0.0395882j -0.0743023-0.0058283j -0.0674811+0.0764642j -0.0641883-0.0222165j -0.099673+0.0845166j 0.120182-0.0472351j 0.045882-0.0657951j -0.0070862+0.060375j -0.228128+0.227033j 0.115453+0.0695752j -0.0418944+0.0228767j -0.175522+0.079044j 0.12833-0.116578j -0.00131225-0.0732226j -0.0349783-0.0238214j 0.018237+0.00395152j -0.0152621-0.01268j 0.0547276-0.0733832j 0.0579361-0.0657435j 0.0350447-0.0188517j -0.0428323+0.157718j 0.139292-0.0626884j -0.0966464+0.152042j 0.130408-0.0560402j 
-0.00448767-0.00784614j 0.00785208+0.0665538j -0.0134836+0.0444095j -0.0130916-0.0401272j -0.00182072+0.014523j -0.0128057+0.0495634j 0.0216375-0.0561607j -0.0135724-0.00612007j 0.0304906-0.0732181j -0.0059041-0.0505021j -0.0365641+0.0368221j 0.0239032+0.0117211j 0.045725-0.0688551j 0.00823608+0.0062527j 0.0151703-0.0377681j -0.00403344-0.0119357j 0.00326265+0.0212348j -0.00335991+0.0404879j -0.00162214-0.00648818j 0.0153647+0.0346172j 0.000109514-0.060201j 0.00414779+0.0116255j 0.0258206+0.00914491j 0.013252+0.0365137j 0.00639909-0.0646621j 0.00466922-0.0450916j -0.00945451-0.0141771j -0.0125484-0.00379527j 0.0395372-0.0649305j 0.0203952-0.0205846j -0.00341383-0.0138664j -0.00871541+0.00723536j -0.0107696-0.0240193j -0.0274802+0.0297924j -0.0388362+0.0324539j 0.0455669-0.040424j 0.0025672+0.0584371j 0.0447139-0.0329337j -0.0182933+0.0305721j 0.0100705+0.0161886j -0.0362785+0.0163148j -0.0289712+0.00399132j 0.0530464-0.000521517j 0.0299827+0.0158809j -0.0372355+0.035363j 0.0515343-0.0153775j 0.0165539-0.0714139j -0.040986-0.0208834j 0.161474-0.132313j 0.000226147-0.076767j -0.0668477+0.148902j 0.0178743-0.0188087j -0.101556+0.0542551j -0.135435-0.0312685j -0.247833+0.18511j -6.67815e-05-0.00427695j 0.0177555-0.0925347j 0.0282347+0.0432025j 0.133944-0.0896599j 0.0972613-0.0480516j 0.0177226-0.0140373j -0.0128771-0.0246086j 0.0387984-0.0139974j -0.0237134+0.0218255j -0.0590137+0.0766204j -0.139943+0.0579843j -0.037869+0.164905j -0.114988+0.0571739j -0.11032+0.156104j 
0.00804705+0.00611734j 0.047527+0.0278631j 0.0138862+0.00260245j -0.0128139-0.0194791j 0.00976599+0.00663477j 0.00722565+0.044465j -0.0352773-0.00727338j 0.0403734-0.00323243j -0.0336504-0.0425092j -0.0344488-0.0416324j 0.0473599-0.0199994j 0.0656241-0.0056767j -0.0378684-0.0139808j 0.00988861-0.0148099j 0.0159411+0.0334302j 0.00223702+0.0188446j 0.000336289-0.0177287j -0.0049943+0.0252097j 0.0332078-0.0386716j -0.007703-0.0244699j 0.00918491-0.0350438j -0.0153255-0.0060423j -0.00489897+0.0237404j 0.0167036+0.0242682j -0.0284389-0.0673404j -0.0273864-0.0196648j -0.00676746-0.00587866j -0.0453766+0.0311538j 0.000774062-0.0185916j 0.00335684+0.00149717j -0.0378682+0.019292j -0.065185-0.0137309j 0.0506085-0.0111485j -0.00574029-0.00756408j 0.0446287+0.00810033j -0.00996615-0.0437194j -0.0502274+0.0496933j 0.0335118-0.085088j -0.000508279+0.0344879j 0.0780866-0.0102297j -0.0648589+0.00188699j 0.0329232-0.0394023j -0.0177115-0.0631414j 0.0359285+0.0459464j -0.0225141+0.0390994j 0.0231403+0.017762j 0.0160922-0.0406392j 0.0415434-0.00907081j 0.0358254-0.0226335j 0.0248984+0.0407127j -0.0869051+0.0501408j -0.0114649-0.0218271j -0.0187744+0.00235002j -0.0262947-0.0781942j 0.014323+0.0631703j 0.00149131-0.0332962j -0.0230382-0.0894144j 0.00613453+0.0262133j -0.0339434-0.0242544j -0.0290714+0.0165241j 0.00608445+0.0187451j 0.0492861-0.0872896j -0.026462+0.0217232j 0.0447089+0.0761025j 0.0155571+0.0559638j -0.0650319+0.0557342j -0.0456438-0.0178898j -0.0224562-0.0436523j 0.0555421+0.0908848j 
-0.0553966-0.0207195j 0.00656344+0.00536019j 0.00902866+0.00744312j -0.0141861+0.0148101j -0.00569226-0.0493355j -0.0339766+0.000977791j -0.0371173-0.00259884j 0.0104054+0.0269945j 0.0676827+0.0212473j -0.0164409-0.0288227j -0.00421392+0.0106585j 0.0361816+0.0107378j -0.0279862+0.0260065j 0.0181835-0.0369554j -0.0260543+0.0315175j -0.0532992-0.0192468j 0.0267293+0.0161242j 0.0434553+0.0293485j 0.00305881+0.0506933j 0.044956+0.0084496j -0.0195281-0.00542532j -0.00184176-0.040366j -0.00529314-0.0470818j -0.0134053-0.000907476j 0.0113304+0.0207084j -0.0207736+0.00759643j -0.012786-0.00689522j 0.024989-0.00347995j -0.0124689+0.0109566j -0.027944-0.00665662j -0.0488746-0.035618j 0.0315784-0.0532806j -0.00613792+0.0647876j 0.00927146+0.00582956j 0.0209604+0.00126954j 0.0317279-0.00945138j 0.00146201+0.0191547j 0.030196+0.0165089j 0.0304788-0.00515589j 0.0306627+0.0269698j 0.0414664-0.00850604j 0.0100662-0.010863j 0.111046-0.0382608j -0.00224206+0.0428043j -0.00244555-0.0413648j -0.00985611+0.0792033j 0.0166104-0.080724j -0.0218019+0.0567106j -0.00719962-0.0104342j -0.0918792+0.0262674j 0.0427009-0.0105245j 0.0103446-0.0398618j -0.00773589+0.0133162j 0.0160341+0.0875108j 0.0132154+0.0750552j 0.0247769+0.000199714j 0.00288976+0.0628998j -0.0327693-0.0355356j -0.0172098-0.0468353j 0.0117609-0.0721286j -0.00804885+0.0152027j 0.0261623-0.0313446j 0.016145-0.132969j -0.0342976-0.00324175j 0.0932824-0.0263663j -0.0168357-0.000386074j 0.0320376-0.0338968j 0.0444665+0.0821402j 0.0294552+0.0219816j 
-0.00853656-0.000338586j 0.016718+0.00134371j -0.0210841-0.0151872j -0.0314369-0.0434006j 0.00617519+0.0348365j 0.00400751+0.0157161j -0.0225209-0.00349604j -0.0248617-0.0265129j 0.0046652-0.000832062j -0.0278837-0.0103814j 0.000716947-0.00700898j 0.0427014-0.00550661j -0.000588462+0.0180329j 0.00449893+0.021901j -0.00311159-0.0342543j 0.0275434+0.0453194j -0.0386506+0.0543691j 0.0345005-0.0347352j -0.0314393-0.0191216j 0.00839602+0.0481761j -0.0234678-0.000620219j 0.0109104+0.0209944j 0.0567261-0.0172117j -0.0117481+0.00899671j -0.0539449-0.022168j -0.0295803+0.0209151j 0.00610306-0.0273241j 0.0135798-0.00504753j 0.0165687-0.081156j 0.00401444-0.00433619j 0.00642941+0.0432125j 0.0285429+0.0297552j -0.0302751-0.0398411j 0.0128783-0.0968438j 0.024907-0.00113415j 0.0043736-0.0243827j -0.0537627+0.0783683j -0.0252712-0.0442028j 0.0248794-0.0550857j -0.0424438+0.0573275j -0.0248578-0.0455798j 0.0247842-0.0379316j -0.0688727+0.0204474j -0.0140537-0.0134705j 0.0442948-0.0539597j -0.054499+0.0313269j 0.0896955-0.114617j -0.0310631+0.0427103j -0.0524875+0.113703j 0.035441-0.0249404j -0.034414+0.0137287j 0.0521765-0.0588212j 0.0364537-0.00728656j 0.0393456-0.0780407j 0.00692192+0.0203597j -0.0088052-0.00219002j 0.000741007-0.0357989j -0.0411457+0.0667905j 0.00760873-0.0475842j 0.0124043-0.0119018j -0.00943956-0.0451027j 0.025499-0.060338j 0.0390456-0.0232143j 0.0574305-0.0557798j 0.0527738-0.0674255j 0.0372072-0.0618685j -0.00792165+0.0718103j 0.0253569-0.00625708j 0.0154884+0.0532211j 
-0.00422166-0.00941165j -0.0165556-0.015032j -0.0423205-0.0210556j 0.0143043+0.0255095j -0.0118487-0.0481173j -0.00305913+0.0478658j -0.0123256+0.0154814j 0.0269766-0.0329407j 0.00595948+0.0121244j 0.013305-0.00148102j -0.0382728-0.0428953j -0.0208704-0.0177431j 0.044946-0.0182207j -0.032815-0.0321782j 0.0703304-0.0382452j -0.0618138+0.0765433j -0.0192286-0.0234426j 0.0112759-0.0614418j 0.0224244+0.0702148j 0.00488053+0.0084344j 0.0105724+0.111392j 0.0063291-0.0149722j 0.0172233+0.0159645j 0.0285788-0.02388j -0.0568167+0.0519037j -0.0451541-0.0125302j -0.0159081-0.0321187j 0.00906246-0.0679938j 0.0187486+0.00111535j -0.0252607-0.0315803j -0.0101211+0.0435459j -0.0530438+0.0255138j -0.0255628+0.0620294j 0.0177737+0.0295409j -0.102716-0.024274j 0.0777769-0.112623j 0.0838366+0.0262037j -0.047428+0.0824844j 0.0656284-0.0965513j 0.0432395-0.0403555j -0.056239+0.0557764j 0.0166559-0.0209987j -0.0189019-0.0914869j 0.114919-0.0732559j -0.0152287-0.184429j 0.0952908-0.00763725j 0.000200286-0.159102j 0.0327712-0.00597051j 0.0443161-0.0499347j 0.00902158+0.0281573j -0.0455209+0.0787603j -0.013795-0.111522j -0.00100673+0.0130392j -0.0308661-0.00800368j 0.033091+0.0191181j -0.0016-0.0476009j -0.00709714+0.0403252j 0.0221716+0.0204074j 0.0313919-0.0089675j 0.0322918-0.0381645j 0.0342826-0.0736234j -0.0484634+0.0591681j -0.069285-0.0209559j 0.0227359-0.0149275j 0.0167842-0.136993j -0.0270636+0.0636068j -0.0120527+0.0712278j 0.0209327+0.060065j -0.0131381+0.00449142j 
-0.0554399+0.0104724j -0.00629613+0.00746138j 0.00156082+0.00568528j -0.02542-0.0331986j -0.00510641+0.0458764j -0.018306+0.0157127j -0.0256375+0.0220183j -0.00790043+0.0477059j 0.0968543-0.0144195j 0.0110825-0.00334044j -0.0127613+0.0242232j 0.0550913-0.0207969j -0.0204343+0.0602822j -0.0419699-0.000447338j 0.0174772+0.00843399j 0.0113791+0.00807239j -0.0266514+0.0541988j 0.11102+0.000170417j -0.0555884-0.0415755j 0.0109554-0.000392046j -0.0509928-0.0479256j -0.0136222-0.0166693j 0.0264329-0.0702273j -0.037905+0.0141408j -0.0229997-0.0227204j -0.0462635+0.00242672j 0.0187043+0.0170817j 0.104+0.0394016j 0.0775176-0.019719j -7.99895e-05-0.0153546j -0.0481434-0.00146869j 0.0800193+0.0198107j 0.0171705+0.0067488j -0.0100844-0.0445237j 0.0421768+0.0512683j 0.0575749+0.0840996j -0.0979619+0.0456778j 0.00389857-0.0922337j 0.0495799+0.0342103j -0.0721506-2.27502e-05j 0.0135822-0.0707048j -0.00550642-0.023499j -0.00653364-0.0442031j -0.0245808+0.0735978j 0.0556856+0.066012j -0.0366519+0.0611962j 0.149137+0.00733767j -0.109465+0.0430487j -0.0362405+0.0392292j -0.0086141+0.0309542j -0.0295397-0.0130472j 0.146521-0.00713074j 0.0249922-0.0111172j -0.00348675-0.012895j 0.0365859+0.0676866j -0.0126008-0.0262961j -0.0437271-0.0703781j -0.0768003-0.0356822j -0.0224157-0.0176693j 0.0253573-0.0388485j -0.00544457+0.0689891j -0.00569079-0.089617j 0.057692+0.00152542j 0.0683673+0.0135954j 0.0625632+0.0610415j -0.00347039-0.017288j -0.0652848-0.056866j 0.0267231-0.0298383j 0.0628876+0.0603704j 
-0.0121126+0.0043084j 0.0421741-0.0112234j 0.00508493+0.0138099j 0.0421787+0.00388492j -0.0476124-0.0279361j 0.00849869+0.00587098j -0.0478889+0.014995j 0.00440579+0.0115754j 0.0194714-0.00748593j -0.049967+0.0452051j 0.0150896-0.0127988j 0.0212246+0.0336568j -0.10671+0.0171161j 0.0237162-0.00159051j 0.0404946+0.0504966j 0.000119679+0.0379952j -0.0482786-0.0159121j -0.0200638+0.0685355j 0.00563608+0.0258006j -0.00932335+0.0218317j 0.116571-0.00786871j -0.0801901+0.00783917j 0.0238553+0.0418725j 0.0134172-0.0991286j 0.0745594-0.000513375j -0.0400226+0.0116693j -0.0678207+0.0115726j -0.0370663+0.00763932j -0.0363472+0.038988j 0.0297107+0.00737102j 0.00120183-0.0383467j -0.0322445-0.0213788j 0.0939065-0.156783j 0.120785+0.0951658j 0.0332653+0.081448j -0.0412589-0.042289j -0.0727778-0.0760303j 0.065244-0.0203765j 0.0558416+0.134435j 0.0545037-0.0590646j 0.127994+0.0957472j -0.0528082+0.0706092j 0.063716-0.048848j -0.0159511-0.00437201j -0.0871445+0.122444j -0.00937685-0.0957498j -0.0195979+0.0919204j -0.0389906-0.0509273j 0.0398402-0.152447j 0.0428303+0.02811j -0.00716445+0.00169513j -0.019207+0.0185131j 0.0129944+0.0219078j -0.0422687-0.031906j 0.0227465-0.0383385j -0.0156114-0.00171853j -0.0614985-0.10291j 0.00836371+0.0333786j -0.0230106+0.0312322j -0.0430302+0.0820976j 0.0461439+0.0299099j 0.0887347+0.0199146j -0.00205253+0.0391835j -0.0130647+0.0617785j -0.076062+0.0549012j -0.00241402+0.0787553j -0.00193729-0.0574533j -0.0460651-0.0565222j 0.0411677-0.0179966j 
-0.0303427+0.00215243j -0.0200292+0.0298007j -0.00379136+0.00918533j -0.0134468-0.0121501j -0.0437729+0.00700412j -0.0384967-0.00914823j -0.0324255-0.0420871j -0.0501388-0.0154462j 0.00766567-0.06801j 0.0185777+0.0120559j -0.00392905-0.0511536j 0.0234549+0.0278394j -0.0193619-0.102875j -0.00763524+0.0372404j 0.0277901+0.0205754j -0.0310274-0.0378459j 0.00145098+0.00247306j 0.0360801-0.00410676j -0.033922+0.0288941j 0.038602+0.0138818j 0.0262185+0.0901642j 0.0046155+0.133833j 0.0528215+0.0521994j -0.0790542+0.00961886j 0.0615473-0.0771233j -0.0190563-0.0626398j 0.00585894-0.0349056j -0.0458277+0.00459081j -0.00521326+0.0554094j 0.0584475-0.0759662j 0.0198106+0.0239574j -0.0662716-0.0296598j -0.0660049-0.0245013j 0.021638+0.0150813j 0.0136127-0.0717448j -0.0480386-0.1987j -0.0367139-0.0836168j 0.0750135-0.0469049j 0.0425355+0.0836446j -0.0395237+0.158157j 0.00791097+0.107552j 0.119824-0.0117458j -0.0734585+0.14103j -0.0653738-0.0249278j 0.137625-0.0388559j -0.0876495+0.0123038j 0.025432-0.0909151j 0.0468513-0.0676013j -0.20988-0.0127046j -0.00383554-0.00447201j -0.000280576+0.0945442j -0.00732639-0.0221138j 0.123047-0.0236398j 0.148848-0.185607j 0.149234+0.0877467j 0.0402503-0.0274543j -0.0138512-0.134385j 0.0180762+0.075595j -0.0823483-0.0654312j -0.0616584+0.0774619j -0.0255137+0.00349161j 0.0217796+0.0455127j -0.0238553+0.0362877j 0.0139568+0.0283373j 0.0882823-0.0382637j 0.0867655-0.0450159j 0.00204361+0.0725856j 0.0862757-0.0454706j 0.0437542+0.0898635j 
0.00426432-0.0157598j 0.00427625-0.0193881j -0.0659163-0.0383327j 0.0114513-0.00488994j 0.000664354+0.0130297j -0.005351-0.0131359j -0.00960813+0.0211938j -0.00110087+0.0469563j 0.00792517-0.0105487j -0.0581538-0.0415865j -0.0319346-0.0739249j -0.0113891-0.0707115j -0.0294926-0.0134963j 0.0136123-0.0635454j 0.00470655+0.0420827j 0.020861-0.0371565j -0.035822+0.059293j -0.0756142-0.0444909j 0.0735749+0.0148608j 0.0913608-0.0416629j 0.0802137+0.0542582j 0.0696277+0.0197025j 0.0583871-0.122775j -0.0169937+0.0936741j -0.0563657-0.0765895j -0.0117615-0.00115441j -0.0475453-0.000428282j -0.0689067+0.105386j -0.0660823-0.0277147j 0.0853107-0.00614052j -0.00503029+0.0186455j -0.0227457+0.100235j -0.0891853+0.0882972j 0.00135882-0.0543998j 0.033189-0.078752j -0.132654+0.0101085j -0.00834712+0.0232141j -0.025192-0.137316j 0.0299445-0.0120433j 0.0962516-0.00655401j 0.0283259+0.0508656j -0.018892-0.123541j -0.0445302+0.0634433j -0.02745-0.0375046j -0.0746251+0.035885j -0.0115116+0.0851529j -0.0851078-0.158262j 0.0731413+0.0432447j 0.0162133+0.0657715j 0.106527-0.0166847j -0.0581819+0.148321j -0.135773+0.0181675j -0.00109383+0.00422298j 0.0553188-0.0302464j -0.106761+0.1786j 0.042073-0.0298544j 0.0508746+0.0245792j -0.00239714-0.00880532j -0.0373277-0.0641022j 0.0283143-0.0276617j -0.0397356+0.0301623j 0.0102047-0.0615267j -0.0365637+0.0098024j -0.0349425-0.00343897j -0.0849705-0.00339147j 0.0531323+0.035727j -0.0130573+0.0867765j 0.0166829+0.0631022j -0.0502371+0.0522385j 
0.0328647-0.00179013j 0.0137045-0.0216926j -0.0199034+0.000988418j 0.0371883-0.0084594j -0.0435055-0.0411813j -0.0025972-0.0209385j 0.0298966+0.0202193j 0.000875738-0.0983642j -0.0581921-0.0248076j -0.0211541+0.0329051j -0.0208602-0.023728j -0.0187133+0.013004j 0.0319808+0.000773177j -0.00457756+0.0249108j 0.061695+0.0017817j -0.0702794-0.0296252j -0.0533106+0.00295209j -0.0405401+0.0238749j -0.00329868-0.0456304j -0.0292692-0.0102368j -0.0161215-0.0922583j -0.0242128+0.0494834j -0.00024421+0.0877291j 0.0670326+0.069764j 0.0364912+0.114436j -0.0695842-0.00813299j -0.00598051+0.0116897j -0.0971632-0.0216562j 0.00511033-0.0416057j 0.043289-0.00922265j -0.0270366-0.0729657j 0.0316457+0.038436j 0.0522916-0.0124272j 0.0818165+0.106089j 0.0221557-0.0260594j -0.0304064+0.0614576j 0.0599512+0.0596781j -0.00401432+0.124989j -0.00686089-0.0585953j 0.0214216+0.0391116j 0.0745475-0.0461945j -0.000695952+0.00708257j 0.0937554+0.0570488j 0.00810742+0.0567247j 0.0577638-0.106923j -0.195107+0.0146703j 0.12607-0.00172726j -0.025333-0.0579131j -0.0817693-0.0602077j 0.00353485-0.128442j 0.0808441+0.078917j -0.032457+0.0298846j -0.0279272+0.0407904j 0.0712119+0.0938986j -0.167681+0.0374752j 0.0274623+0.087512j 0.0450264+0.138925j -0.0471016-0.0315626j 0.0498046-0.0314618j 0.0821238-0.0302097j -0.00601296-0.0600874j 0.0428232+0.0540529j 0.0469507-0.0538553j -0.061927-0.0497594j -0.0021936-0.00472278j 0.0591663-0.0452752j 0.0499909+0.0974457j -0.0494295+0.0777779j -0.0899812-0.0408287j 
