0.0473263-0.0032055j 0.0478686-0.000719326j -0.00975992+0.00518906j 0.00241709+0.00258275j 0.0236401-0.000217421j -0.0668335-0.0104664j -0.0293387-0.0166131j 0.0531284+0.00784817j -0.0986153+0.00520388j -0.0692192+0.0281333j 0.00813719-0.0117409j 0.189697-0.0301907j -0.237611+0.0416281j -0.394273+0.0230709j 0.200278+0.00561959j 0.065767-0.0202468j -0.26108-0.0112614j 0.121152-0.0108149j -0.0706786+0.0262435j -0.157513-0.00508445j -0.0663543+0.00387903j -0.0322231-0.0100952j 0.0767323-0.047248j -0.0735351+0.037563j 0.102887-0.0309473j -0.0875186-0.00643576j 0.0143742-0.0175649j 0.0608096-0.0206663j 0.153549-0.017985j 0.0143185-0.240622j 0.0119675+0.41916j 0.0408943-0.0197683j -0.327459+0.0387992j 0.295987+0.153583j 
0.030898+0.00125605j -0.0646075+0.00390654j 0.0879922+0.00247712j 0.0251708+0.00116905j -0.025062-0.0098637j -0.0775959+0.00283766j -0.0207965-0.000230026j -0.0742173+0.0245253j -0.0142937-0.00731075j -0.277085+0.0225348j 0.147403-0.0184163j 0.262466-5.85325e-06j -0.100806-0.0106434j 0.128084-0.0238657j -0.258048+0.0136122j 0.18678-0.00873057j 0.212352-0.0574405j 0.100556+0.00265648j -0.015897-0.0153828j 0.128484-0.0405936j -0.027096-0.00423792j -0.0700082-0.0190787j 0.139088-0.00159339j -0.0722284-0.0294004j 0.109078+0.00970128j 0.0697324+0.0444044j 0.00878166+0.0796785j 0.0839108-0.0156418j 0.0391498+0.151053j -0.00472305-0.378389j -0.0335515-0.199936j 0.14576-0.197154j 0.317737+0.139267j 0.344141-0.0133511j 
-0.0482642-0.000134356j -0.121849+0.00211989j 0.130681+0.00423266j -0.00150106-0.00529391j -0.108155+0.000164126j -0.0555437-0.0197964j 0.013702-0.0112716j -0.146561+0.0229664j 0.156946+0.00376757j -0.26502+0.0235145j -0.010996-0.00460445j -0.496695+0.000161164j -0.0166281-0.0102508j -0.402421+0.0259199j 0.255899-0.0115483j -0.188959+0.00947636j 0.20701-0.00885312j 0.0781834-0.00822085j -0.130405-0.0270051j -0.0150581+0.00547125j 0.00647082-0.00630142j -0.0527234+0.00460701j 0.131241+0.0704881j -0.0719009-0.0734469j 0.0898426-0.0596842j 0.0912908+0.0736099j 0.0469718+0.126245j 0.0631212-0.164146j -0.107157+0.184582j 0.10364+0.0525865j 0.0654482-0.0210243j -0.249123-0.0851689j 0.125847+0.0228373j 0.0226053-0.0104686j 
0.00247569-0.0066137j -0.0649444+0.000185565j 0.0161853-0.0118068j 0.115021+0.000325815j -0.073538-0.000611074j -0.0940587+0.02265j -0.0124386+0.0267911j -0.129162+0.00241205j 0.573333-0.00975734j 0.469159+0.00665097j -0.0909122-0.00860168j 0.288555-0.0163211j -0.21842+0.00139453j -0.234336+0.0215018j 0.156467-0.0113943j -0.022949+0.00220438j 0.0473782-0.000426905j -0.104624-0.0213869j 0.0656809-0.00567201j 0.29592-0.0073587j -0.0081805-0.0254438j 0.103572+0.0379006j 0.0132981+0.0724452j -0.0183248-0.0326677j 0.0192132+0.108435j -0.00659325-0.151284j -0.0396107+0.0307912j -0.0659695-0.0422279j -0.0794362-0.032787j -0.00326809-0.038632j -0.00486438-0.047351j -0.0100364-0.0376342j 0.0756098+0.0177862j 0.0238348-0.00549225j 
0.144015-0.00211755j 0.136342-0.00234398j -0.0486118+0.00212731j 0.158421+0.0016049j -0.0211998+0.0119979j 0.100825+0.000119011j -0.0273003+0.00314721j 0.229282-0.0164619j 0.531109-0.00667577j -0.479787-0.0123257j -0.00584857+0.00168223j -0.170587-2.27283e-05j 0.060029+0.00135338j 0.146705-0.00262313j -0.147079+0.000337823j -0.0516331-0.00878377j -0.305876-0.00402931j -0.0742928-0.0583832j 0.196023+0.0369983j 0.146474+0.00682166j -0.048605+0.0394183j 0.104416-0.065797j 0.113894-0.0760048j -0.0571947-0.0225147j -0.00523866+0.0664331j 0.138565-0.028021j 0.0486027+0.00626273j -0.00778338+0.00894172j -0.0919747-0.0679015j -0.0787682-0.0176016j -0.0481007+0.0907104j 0.0770133+0.0223882j -0.123281-0.0128421j 0.030839+0.0270952j 
0.295426-0.002182j 0.0642069-0.0160472j 0.0918673+0.0212007j -0.0908693-0.000380469j -0.0266384-0.0128845j -0.0302465-0.00682263j 0.100134-0.00181395j -0.325993-0.0101181j -0.0285493+0.00509918j 0.25894-0.0134509j -0.397829-0.000673653j -0.525896+0.00862914j -0.223587+0.00567027j 0.145095-0.00651964j -0.160149+0.00771619j 0.24827-0.00854434j -0.0553628-0.0230043j -0.0225126-0.0436866j 0.0389251-0.0613465j -0.00461843-0.0349958j 0.0454264+0.00557006j 0.0301293+0.0384411j -0.0172248-0.0662828j 0.00765735+0.0354031j -0.040092-0.000943234j 0.0893417+0.0271609j 0.0347725-0.0523117j 0.0262601+0.084033j -0.0505831-0.0427884j -0.0116653-0.154011j -0.0949807+0.0462132j 0.105802-0.00517713j -0.0388231+0.0195913j 0.16203+0.0333528j 
0.12142-0.00346161j 0.0126528+0.00302665j -0.118989+0.00174559j 0.0101666+0.000401959j 0.0878115+0.00487172j 0.073599+0.0120162j -0.0533483+0.00968283j 0.230932-0.00735326j -0.0572604-0.00747423j 0.0925242-0.027714j 0.0786021+0.000881125j -0.169692+0.0186378j -0.107139-0.0116386j -0.314836-0.0647441j 0.150783+0.0267629j -0.0188203+0.0207024j -0.42548-0.0200432j -0.02131+0.0133915j 0.00381066+0.0026526j -0.17552-0.0248333j -0.0243148+0.0120327j 0.0683939-0.0230563j -0.00845266-0.0562383j -0.0311445+0.0138142j 0.0126974+0.0446223j -0.0501085-0.0026691j 0.0428348-0.0724571j -0.0008781+0.154171j 0.0602168-0.051188j 0.0960925-0.129854j 0.0731473-0.399548j 0.270454-0.0111136j 0.333248+0.0552837j -0.030303-0.097565j 
-0.170798+0.017932j 0.36151+0.0120209j 0.112686-0.0104385j -0.0153477-0.00696084j -0.132287+0.00262214j -0.14353+0.00749896j 0.0780212-0.000751772j -0.22568-0.0034109j 0.121188-0.0167239j -0.259009+0.00039284j -0.555758+0.0151549j 0.209974-0.00417408j 0.0855112-0.0237441j 0.130466-0.0158202j 0.287736+0.0309774j -0.152097-0.0306503j -0.0370307-0.00551888j 0.0849297+0.0282513j -0.035545+0.0410317j -0.119616+0.0377658j -0.0479711-0.050271j -0.0856544-0.0898997j -0.0165679+0.0540867j -0.000298309+0.0261j 0.019799-0.092211j -0.11821-0.00719279j -0.000825747-0.0879804j 0.00861815+0.0870836j 0.176374-0.0163468j 0.0203671-0.0292027j 0.0293874-0.129479j 0.142559+0.0178661j 0.0729042+0.0130611j -0.0374356-0.0369856j 
-0.207653-0.0108921j -0.0118727+0.00832971j -0.108057-0.011518j -0.00501796+0.000740355j 0.029368+0.000721298j 0.146173+0.0164405j 0.00972602+0.00572904j 0.104299+0.0183774j 0.0537134-0.00494128j 0.175995+0.0281499j 0.0317527-0.00598693j -0.173828-0.035563j 0.381941+0.0176004j 0.114257-0.00331646j 0.144351+0.0405573j -0.347911-0.00409129j 0.0634454-0.0190635j -0.140927+0.0345101j 0.0178924+0.0360863j -0.0464398-0.00163779j 0.0547864-0.0280033j 0.0315035-0.0297223j -0.189648+0.0404841j 0.122023+0.0141789j -0.148506-0.0578261j -0.062645-0.0558489j -0.0146797-0.0757599j -0.131432+0.0701394j -0.035424+0.0232972j 0.08034-0.366008j -0.213543+0.069766j 0.0326492-0.0989636j 0.0150365+0.0782937j 0.308157+0.0819514j 
0.055422+0.00977566j 0.220138+0.0108564j -0.0999873-0.00543967j -0.00661722-0.0161532j 0.0561475+0.0114249j 0.055376-0.0397252j -0.00131995-0.01827j 0.0872717+0.0207193j -0.0674535+0.000381037j 0.104004+0.0232417j -0.196382-0.0156294j 0.153471+0.020847j -0.0245397-0.00458232j 0.169741+0.0142155j 0.0119242-0.028731j 0.0511852-0.000271929j -0.35133-0.0160584j -0.0442418-0.0136766j 0.0650033+0.0133527j -0.0915174+0.00704672j -0.0124682+0.0416275j 0.0377484-0.00245639j -0.0822195-0.0509598j 0.00537095-0.00484102j -0.0809892+0.133717j -0.00184231+0.152194j -0.0261295+0.331512j 0.129148-0.25323j -0.190258+0.235241j 0.20062+0.0629737j 0.0232485-0.0158972j -0.374771-0.149809j 0.0825401+0.0354574j 0.0369199+0.0111562j 
-0.0683988-0.0177453j 0.0534808+0.00517955j 0.0452659-0.0267686j -0.0518907-0.0269345j -0.0173068+0.00763247j -0.0360895+0.0511523j -0.00808088+0.0576696j -0.0342034-0.0227878j -0.198022-0.018915j -0.12143-0.0060248j -0.0653876-0.0168614j 0.0551911-0.0216135j -0.00747457+0.0123691j -0.0497407+0.0383621j 0.081599-0.0472178j -0.0185238-0.0230499j 0.0380276+0.00141586j 0.122054-0.0217418j -0.0645324+0.00982772j -0.10574-0.00830281j -0.00962073+0.0294133j -0.0352912+0.126227j 0.080839-0.0134806j -0.00585473+0.0365662j -0.168717+0.460939j 0.121469-0.333411j 0.2222+0.12905j -0.234231-0.0843882j -0.417038-0.183933j -0.109688-0.0446917j -0.0360349-0.0335049j 0.0765448-0.0207756j 0.0198938+0.00523765j -0.0232311-0.000632644j 
0.0374428+0.002259j 0.0542068-0.00216707j -0.00834163+0.00466692j -0.0340282+0.0849867j 0.0241752-0.0592965j 0.00744088+0.048772j 0.000237468+0.0560176j 0.0134274-0.000429138j -0.0748473-0.0413109j -0.0492433+0.00272439j -0.0423898-0.0107196j 5.98595e-05-0.0228362j -0.0545544+0.00636467j 0.00593155+0.0296098j 0.000565977-0.0282899j 0.0563476-0.00689622j -0.06488+0.0177579j -0.00906481-0.0376511j 0.0236178-0.0289508j -0.0920019+0.00865266j -0.0337166-0.0424106j -0.00408531+0.0383464j 0.0150464-0.0454699j 0.157468-0.605759j 0.173392-0.0885327j 0.180415-0.15606j -0.446596-0.171659j -0.369614-0.167747j 0.000618904-0.0172445j -0.00777588-0.0082936j -0.0230931-0.019885j -0.0243803-0.0240051j 0.0193365+0.00944003j -0.00965152+0.00407538j 
-0.131886+0.000560573j -0.0321768-0.00137522j -0.00901146+0.00979313j -0.0197044-0.0115039j -0.0107836-0.0105046j 0.00674448-0.0117414j 0.0289022-0.0372888j -0.0294029-0.0239032j -0.0274309+0.0010948j 0.220266-0.0379964j -0.0414868+0.00961303j 0.0544663+0.0213078j 0.158152-6.82575e-05j 0.0551607-0.0578011j 0.0761835+0.010941j -0.182566+0.00894807j 0.0611698+0.00667191j -0.00451319+0.106018j 0.0639499+0.075128j -0.0771049+0.0311432j -0.120437-0.0539595j 0.010588-0.0289378j 0.256609-0.545272j -0.16133-0.130374j 0.253477+0.150114j 0.311463+0.235822j -0.0250797+0.0380537j 0.158431+0.0594198j -0.0548431-0.0464696j 0.0098687-0.0355331j 0.0195835+0.0107919j 0.0124409+0.0479291j -0.00010911-0.013925j 0.0333685-0.0039029j 
-0.0434957-0.00634812j 0.0174438-0.018987j -0.00408366-0.108211j -0.00862227+0.146311j 0.0102011-0.0550597j 0.00593408-0.0332188j 0.00408999-0.00278811j 0.0124326-0.0320453j -0.0637364+0.026051j 0.0626664-0.00439234j -0.0499317-0.00472147j -0.0170711+0.0497296j 0.0730865-0.0122838j 0.0431858-0.032547j 0.0342319-0.0123903j -0.0637868-0.00497854j -0.182139+0.0198669j 0.196327-0.00773223j -0.359436+0.179793j 0.391481-0.180348j 0.221687+0.607371j -0.101614-0.0787295j 0.0132269+0.0511777j -0.0147626-0.0775061j 0.0606585+0.0246044j 0.0317285+0.0452095j -0.0504094-0.0282826j -0.00700166+0.0195217j -0.0199028-0.00846832j -0.00264575-0.0163206j 0.00145904+0.00164512j 0.00397114+0.0120105j 0.00537233-0.00358563j 0.00993928-0.00193011j 
-0.084595+0.0343543j 0.0708697-0.0313321j 0.0256698+0.0567178j -0.00724684-0.00412602j 0.0106562-0.118726j -0.0311289-0.0190586j -0.0149231-0.0278454j 0.0108208+0.02168j -0.238551+0.0515068j -0.163684-0.0179617j -0.0848616-0.0162376j 0.0449327+0.0538662j -0.0289436+0.00942361j -0.0768035+0.00491157j 0.155053-0.10386j -0.075966-0.0271123j 0.00111395+0.0327895j -0.13695+0.0655941j 0.257153-0.298018j 0.31381-0.189154j 0.0625345+0.0904146j 0.304872+0.518606j 0.0274562-0.033264j 0.00798511+0.0130647j -0.0455395-0.0349147j 0.0391323+0.0783286j -0.00618444-0.0405916j -0.00107923+0.0588661j 0.0222315+0.0222808j -0.0213261-0.0179583j -0.00496374+0.000203825j 0.0129824+0.0059567j 0.0138152-0.0022957j -0.000141276+0.00723188j 
0.0248931+0.0252421j -0.103467-0.0388311j 0.115687-0.14772j -0.0280762+0.00664392j -0.0995649-0.00317847j -0.0902089+0.0466049j 0.0302663+0.0269526j -0.38824+0.0680977j 0.0116892+0.0487878j 0.00831845+0.0605616j 0.211373+0.00255248j -0.00373546-0.0585376j 0.120874+0.0284302j 0.0259715+0.0836625j -0.105362+0.138186j -0.100189+0.104213j -0.316257+0.0883841j 0.112122+0.546461j 0.108375+0.233727j -0.0100835+0.0135196j -0.0301104-0.0160929j 0.0299644+0.122749j 0.0488298+0.0085815j -0.0109123+0.0157561j -0.0209674-0.0171001j 0.00399932-0.0630339j 0.0139149-0.0256469j -0.0264394-0.0218407j 0.0038207+0.0269479j -0.0110568+0.0270279j -0.00806019+0.00722688j 0.0191843-0.0222851j -0.0236686+0.011701j -0.0137793+0.00258639j 
0.426094-0.0929849j 0.0829492-0.189306j 0.0279351-0.00233422j 0.0170628-0.0196894j 0.0643048-0.0657066j -0.182998-0.0487363j 0.277285+0.0535808j -0.0225841-0.0172599j -0.00573586+0.0437929j -0.0166523-0.0504722j 0.121849+0.154848j 0.0856011-0.042953j 0.197067-0.0846288j -0.0131692+0.308117j 0.118827+0.428735j -0.0306057+0.26421j 0.0309809-0.0742108j -0.0242065-0.118637j -0.0182562-0.0722745j -0.0109048-0.0294778j 0.0107516+0.0209299j 0.00104141+0.0231794j -0.027331+0.0035291j 0.012889-0.0240814j -0.00390399+0.0257568j -0.0167412+0.036437j -0.00473519+0.0253203j -0.0137725+0.00406562j -0.00166721-0.0144105j -0.000704633-0.00138608j 0.00598405-0.0101172j -0.0199486+0.019054j 0.0101123-0.00782493j -0.016249+0.00664144j 
0.0533083-0.204917j -0.418117+0.0864414j 0.12327+0.0127949j 0.134479+0.0168859j 0.273621+0.0486179j 0.079649-0.0256458j -0.0387829+0.0735541j -0.0282394-0.022281j 0.00586605+0.0542871j -0.0714804+0.0178373j -0.254592-0.0476171j 0.0782698-0.0207627j 0.0926996+0.38527j 0.00658031-0.23602j 0.00269011-0.059888j -0.00703631+0.438929j -0.0394791-0.0315978j 0.0192256-0.0451486j -0.0047788+0.00767986j -0.033942+0.0243392j -0.0115124-0.000934574j -0.0124094+0.0269721j 0.00249142+0.0242184j -0.00262103-0.00699487j -0.000804106-0.00196365j -0.0123023+0.0136237j 0.00765197-0.00226698j -0.00604543+0.000324667j 0.0164768-0.0115771j -0.00540868+0.00897812j -0.00298762+0.00486275j 0.00717271-0.00225604j -0.0152027+0.00680265j -0.00876628+0.00585606j 
