0.00960303-0.00174945j -0.0593645+0.0408034j -0.060535-0.0135621j -0.0172202-0.000857568j -0.0184892-0.00712754j -0.0336792-0.00220966j -0.0112216+0.00772208j 0.0379651+0.0531234j 0.00443186+0.000982138j 0.00529817+0.00877557j 0.0115851+0.0118189j -0.00792213+0.0261841j 0.00708813+0.0290913j -0.0013376-0.00287461j -0.0029867+0.00669563j 9.07506e-05+0.00614408j -0.00891912-0.00368468j 0.0117154-0.0295414j -0.0100416-0.00832659j 0.00544388-0.00315164j 0.00496933+0.0136882j -0.00366823-0.00553367j 0.0173322-0.0179699j 0.0016554+0.00961724j 0.00178604-0.0045605j -0.0059768+0.0298635j 0.0108117+0.0202976j -0.00665286+0.00237257j -0.00766099-0.00940534j 0.0141926+0.00512541j 0.0133227+0.00541543j -0.00793034+0.0191914j 0.0201364-0.0395303j -0.00694685+0.0168148j -0.00948798+0.0392445j 0.00517351-0.00443915j -0.00110708-0.00470252j -0.0113973-0.0238917j 0.0134251-0.0165408j -0.00339181-0.00465472j 0.0734973-0.0161969j 0.0396529-0.0663345j -0.0883125-0.0546581j -0.0133165+0.0649809j -0.0589371-0.00295963j -0.0210335+0.0152932j -0.00362305+0.0728919j -0.00917805+0.00502679j 0.0550198-0.00628036j 0.00776265+0.0812899j 0.0178173-0.0173195j 0.0738226-0.119077j 
0.062332-0.0428758j 0.0198046-0.00870338j -0.00852794+0.00755836j 0.0601537+0.0186763j 0.0070562-0.000944556j 0.00565436+0.0182423j 0.0445373+0.0354213j 0.0177316-0.0147752j 0.0100837-0.0177574j 0.00624518+0.00583308j -0.00576081-0.00585038j 0.0204652+0.0405259j 0.00215268-0.0253646j -0.00296808-0.00459494j -0.00583704-0.00413275j -0.00476523-0.0134295j -0.00141755+0.0155941j -0.0157737-0.0203399j -0.00684908+0.00567769j -0.00878895-0.0321079j 0.0103987+0.00143319j 0.00910782-0.00059058j -0.00470751-0.008031j 0.00395325-0.0197329j -0.00815949-0.00322508j 0.00668384+0.0157524j 0.0233903+0.0149239j 0.00132944+0.00210172j -0.0138247+0.0163791j 0.0160088-0.0381355j -0.0072489-0.00197702j -0.00199381-0.0127659j -0.0186158+0.0031431j -0.0114636+0.0155659j 0.0410595-0.00817946j -0.00568894-0.0144605j -0.0065453-0.00792211j -0.0176423+0.01935j -0.00534852-0.0157384j -0.0103394-0.0179608j 0.0258368-0.0524023j -0.0988062-0.0113849j -0.0356917+0.071354j 0.0730602+0.0367638j 0.00865853+0.0456599j 0.0277903+0.0616528j 0.0270999-0.0061491j -0.0272549+0.0298455j -0.034121-0.0697023j 0.0570678+0.0151132j -0.0691696+0.125817j 0.0317635-0.00563821j 
-0.00738578+0.0716512j -0.00606578+0.0186719j 0.0125931-0.0174044j 0.00321471+0.00272111j -0.013721-0.000328749j -0.0361426-0.0220936j -0.00453092+0.00354847j -0.057651+0.00380127j -0.00740411-0.0236148j 0.0037443+0.000494082j 0.0311311+0.0459554j 0.0165483-0.0137013j -0.0317639-0.040302j -0.0260135+0.0134299j -0.00141834+0.0238821j -0.0038857+0.0105195j 0.0105518-0.0141477j 0.0297101+0.025206j -0.012162+0.0151151j 0.0143489+0.0320802j -0.0203709-0.00808139j 0.0112879-0.0369556j -0.0239522-0.026261j 0.0122383+0.00367178j -0.0107491-0.00457877j 0.00809787+0.0121878j 0.0220127-0.0250881j -0.0140408+0.0153195j -0.00313227+0.00149189j -0.0294638+0.0205329j -0.0165901+0.0172263j -0.0455627-0.00872971j -0.00821998+0.0430518j 0.0209352+0.00434033j 0.012261-0.0412952j -0.0150946-0.00948106j 0.0456633+0.0220297j 0.00741742+0.00747846j 0.0213412-0.0724038j 0.0654527+0.00620143j -0.00848214-0.0209389j -0.0264696-0.0382611j -0.0294363-0.0433779j -0.0238871+0.00508911j 0.0011438-0.0233885j -0.0104517-0.0181483j -0.00156823+0.00407397j -0.0992523+0.0799197j -0.0144814+0.0288658j 0.0970978-0.0261573j -0.209981-0.0570251j 0.0216724+0.141815j 
-0.00799087+0.00544152j -0.00604042-0.0655674j -0.00884477+0.00828573j 0.00870654-0.0318386j -0.0366648+0.00756872j 0.0749588-0.0073428j -0.0084702-0.00584918j 0.0288688-0.00131778j -0.020897+0.00768032j 0.019579+0.0176958j -0.0168074+0.00141126j -0.00137104+0.0109869j 0.0221031-0.000391484j 0.00609782+0.00602939j -0.00405053+0.000147862j 0.00160143+0.00473667j 0.00460741+0.00263205j -0.0070943-0.00241113j 0.0037806+0.0204841j -0.0182724+0.0159457j -0.00911854-0.0588998j 0.0217924+0.00126835j 0.0100663-0.0284027j -0.00552704-0.0153341j -0.0159007-0.0174921j -0.00813624+0.00221691j 0.0289383+0.0260157j -0.0321434-0.00290361j -0.0148972+0.00820165j -0.0103897-0.0189836j -0.023963+0.00202481j 0.0256979-0.0297835j -0.0501968+0.0155181j 0.0246339+0.0363545j -0.0167283-0.0254191j -0.019712-0.0279641j -0.000648456+0.0221718j 0.00427678-0.00860832j 0.0504947+0.00947999j 0.00707102+0.083155j 0.0300212+0.0111782j 0.053786-0.0355465j 0.0372352-0.0350832j 0.0547486-0.0432673j 0.0331507+0.0417044j 0.0154298-0.00464446j -0.0611526+0.018382j -0.0729297-0.0813153j 0.0382818-0.0331166j 0.0118098+0.0524008j 0.0225651+0.145414j 0.218418+0.02852j 
-0.0224035-0.0229191j 0.028488-0.0112831j 0.0398886-0.0194717j 0.000515829+0.0307691j 0.0428265-0.0377495j -0.0437636+0.0287051j 0.0205012-0.0192765j -0.0310033+0.000572332j -0.0177599-0.0321246j 0.00151201-0.00833335j 0.0338758-0.0195909j 0.00469633-0.0202876j -0.0142061+0.00897805j -0.00987851+0.0275148j -0.00454702+0.0159327j -0.0209519-0.000489478j 0.00431161-0.00450745j -0.0206946-0.0258508j 0.0249153+0.0105509j 0.0313263-0.0010802j -0.00580495+0.0105702j 0.003854-0.00466379j -0.0208452+0.00372307j 0.00751871-0.00401317j -0.00846063+0.0222927j 0.0126885-0.000802801j -0.00276915-0.0288892j 0.00957468+0.000799075j 0.02322-0.0112865j 0.00412569-0.00936451j -0.00512794-0.0376614j -0.0131655-0.0139115j -0.0402688-0.0263337j 0.0225337-0.000244364j 0.0288472-0.0525453j 0.00363571-0.0143654j -0.0278408+0.0250326j -0.0136267+0.0788994j -0.0781823+0.0535244j -0.0340307-0.034236j 0.0128362+0.0244366j 0.0650378-0.045086j 0.0228828+0.000660431j 0.0290787-0.000355387j 0.0198028-0.0540715j 0.0353969+0.000345257j -0.0424648-0.0244509j -0.0699027-0.0223049j 0.0401173+0.20382j 0.166517-0.0657447j 0.0700268-0.0193007j -0.0635705+0.0128239j 
-0.0350964+0.0236022j -0.0263753+0.0370849j -0.00926202-0.00214838j -0.0559603+0.0423364j 0.0178015-0.0370372j 0.0236205-0.0150524j -0.0119352-0.0199504j 0.0156365+0.0329688j 0.0140201-0.00850394j 0.00388519+0.0333738j -0.0154198-0.0219686j -0.0122533-0.0240927j -0.00283876+0.0315926j 0.0288108-0.0211576j 0.0216017-0.0100437j -0.0423218+0.00617632j -0.00482643-0.0132618j 0.0193709+0.0190028j -0.0264919-0.0188787j -0.0318584+0.0184632j 0.00582573-0.0060502j 0.0142189-0.0207111j 0.00880563+0.0193065j -0.00946491+0.0118353j 0.0321317+0.0115339j -0.0409141-0.00725369j -0.0319223-0.0196322j 0.0155429+0.00759962j -0.00560111+0.019172j 0.0138209-0.0139339j -0.0416472-0.0073284j 0.00564851+0.0606152j -0.0376822+0.0474841j -0.0284171+0.0589375j -0.0442248+0.0112934j -0.00104783+0.00214543j 0.00577986+0.0713577j 0.0567525-0.0349617j 0.0130073+0.0607498j -0.0698338-0.0342176j 0.0232523-0.0166711j -0.0012871-0.0248304j 0.00540488-0.0205356j 0.00911008+0.0277129j -0.0527214-0.0504179j 0.00300421+0.02942j 0.00207076+0.0255958j 0.0222777+0.0669706j -0.0251538+0.0500452j -0.0390331+0.107939j 0.0933073-0.0748613j 0.022267-0.0969179j 
-0.0127935+0.0593983j -0.00571929-0.0489756j 0.0258158-0.0103327j -0.00938886-0.0315811j -0.00945745+0.0127046j 0.00931244+0.00191812j 0.00104231-0.0314396j -0.008764-0.0249101j -0.00269593+0.00745433j 0.0333444-0.0194719j -0.0144653-0.0313151j 0.0184154+0.00661414j 0.0153736+0.0121507j -0.00562427-0.0136831j -0.0324822-0.0146966j -0.00506223-0.0221782j 0.0156563-0.000329466j -0.0188185+0.00616878j -0.0254648-0.0393333j -0.00610596-0.0113841j 0.010872+0.00140611j 0.00105151+0.0343189j -0.00387876+0.000505698j -0.00530843+0.0194512j 0.0295522+0.0345075j -0.025514-0.0251671j -0.00272497-0.030133j 0.0305723+0.0122039j 0.0121165-0.0112343j 0.00124704+0.0227745j -0.000372821-0.0128361j -0.0368606+0.0262844j -0.006066-0.0333407j -0.0325025-0.0139118j -0.0194491-0.0674077j -0.0115734-0.020668j -0.085763+0.0422979j 0.023607+0.0478298j -0.0196852-0.000791916j 0.0832344+0.0136826j -0.015731-0.00702979j -0.0242059-0.00410389j -0.00158149-0.0545817j -0.02073-0.0139292j 0.0124022-0.0370969j -0.0911-0.0987322j 0.0128384+0.0597074j 0.0675622+0.0456807j -0.148061-0.0336384j -0.0575451+0.0463889j -0.0340608-0.084843j -0.0189485+0.0863267j 
0.0225994+0.0436641j 0.0165907+0.0182225j -0.00644738-0.0259945j -0.0318955-0.0606409j -0.00165935+0.051917j 0.00296204-0.013879j -0.0226725+0.00238464j -0.00776083-0.0103817j 0.0427576+0.0177507j -0.0174537-0.0154773j -0.044994+0.023075j 0.00951366+0.00532165j -0.00953253+0.0102534j -0.0101682-0.0256749j -0.0147581-0.00261794j 0.0106751-0.0100552j 0.00297893-0.00670575j 0.0190794+0.0123329j -0.0445478-0.0123335j 0.000445918+0.00487492j 0.0128835+0.00772226j -0.0244687-0.0199919j -0.0129286-0.00605345j 0.0139391+0.0205483j 0.0370151-0.005044j 0.00723196+0.0261716j 0.0207679-0.0298382j 0.0307412-0.026273j -0.0182196+0.00714421j 0.00468176-0.00831694j 0.0412552+0.0358095j 0.00335335+0.00458144j 0.00455395+0.0131929j 0.0100067-0.0195583j -0.0141406-0.000464074j -0.0187245+0.016447j -0.0652181+0.0165151j 0.010808-0.0146983j -0.0524831-0.0550836j -0.0421926-0.0679292j -0.0147106+0.0443771j 0.0193981+0.0335312j -0.0355305-0.0340913j -0.0110414-0.00129757j 0.0231019+0.0170115j -0.0369654+0.0810283j 0.020557+0.0139486j -0.0236443-0.101788j 0.0790765-0.053733j -0.191812-0.0950528j 0.0192141-0.0479961j -0.083542-0.0299348j 
0.0302894+0.00605289j 0.018696-0.0388922j 0.0421601+0.013552j 0.0363367-0.0147126j -0.0175074+0.00201838j 0.0125134-0.0114596j 0.00881671-0.0177841j -0.0157988-0.0331887j 0.0622618-0.00438486j 0.0153417-0.0149598j 0.0159404-0.00871583j 0.0134902-0.0465418j 0.0242719-0.0552458j 0.00262769-0.00144846j 0.0211154-0.0122934j -0.0126915-0.00569103j 0.0172947+0.00233003j 0.0325106+0.0516423j -0.0354703-0.0118116j 0.00477794-0.00658381j -0.012439+0.0135495j 0.034758+0.021226j -0.00522392-0.0068383j 0.029515-0.0174032j 0.0206973-0.0270549j -0.0112636+0.0180134j -0.0163438-0.0457963j 0.0616228+0.0486047j 0.0246414-0.0200243j -0.0119158+0.0151877j -0.0327325-0.00340556j 0.011799+0.0123464j -0.0156073+0.0517769j 0.0228377+0.0413306j -0.00877568+0.00361239j -0.04952+0.00635802j 0.013429+0.0277363j 0.0141384-0.00413281j 0.0432388+0.0203902j 0.0258592-0.0541502j -0.0649608-0.0215233j -0.086285+0.00863741j 0.0705602+0.0402013j -0.0174834-0.0210128j 0.0755499-0.0287131j 0.0580957+0.0367206j 0.0386837-0.142484j -0.0142698+0.0428365j -0.101925-0.0377208j -0.0130242-0.0460145j -0.0432949+0.0178929j -0.0775782+0.0403008j 
-0.0523383+0.0086504j 0.0128952-0.0122532j 0.0243258+0.0142561j -0.0506275+0.0117641j 0.0247756+0.00542561j 0.00607751-0.0311999j -0.0370911-0.00617113j -0.0125567-0.0203587j 0.0186807+0.016455j -0.0670821+0.00143331j -0.00690938+0.0205788j 9.95616e-06-0.0316325j -0.0233705+0.00504142j 0.019234+0.00254238j 0.0142575-0.00169473j 0.0250053+0.0298619j 0.0230136+0.00156003j 0.0116779+0.00118629j 0.0168869+0.0194593j -0.0485099-0.0124777j 0.0183452-0.00328363j -0.0335262+0.000684843j 0.00312401-0.0159723j -0.0318927-0.0126089j -0.00376549-0.0476322j 0.0458436-0.0123619j -0.0481979-5.69176e-05j 0.0368353-0.0129087j 0.00771509-0.0126568j -0.000623311+0.0424997j -0.0242411+0.0291962j 0.0570235+0.0357182j 0.0407553-0.0248317j 0.0401935-0.0508114j -0.0428831+0.0450341j -0.0118551-0.000154045j 0.00456515-0.0437935j 0.0381825-0.0447666j -0.00493189+0.0416576j -0.0136652+0.073674j -0.0702759+0.0260192j 0.0680587+0.0191062j 0.0463746-0.0274553j -0.0243098-0.0880608j 0.0412295-0.0172145j -0.0576813-0.145937j -0.0760658-0.022012j 0.186628-0.0676125j 0.00519657+0.029907j -0.0739698-0.0207932j 0.135506-0.00955734j -0.0277199-0.000925614j 
-0.0171547+0.0914578j -0.0537354+0.0299874j -0.0192048-0.0225975j -0.0458033-0.0217815j -0.0383597-0.0264833j -0.0385022-0.0233116j -0.0234862-0.0624903j -0.0173074+0.054967j -0.0490775-0.0254852j 0.00251439-0.0171606j 0.0216993+0.00335821j 0.0275024-0.0118151j 0.00666006+0.0352076j 0.00737712+0.0310386j 0.0198868+0.0445809j 0.00357272+0.0513616j 0.0195515+0.00148628j 0.00457608-0.0214314j 0.0409374-0.0159932j -0.0156446+0.01417j -0.0199387+0.0367152j 0.0225991+0.00808674j -0.0149314-0.0316035j 0.00320193+0.0253494j -0.00102963+0.0236972j 0.0191316+0.00667038j 0.0369634+0.00622551j -0.0351171+0.0131053j 0.00902671-0.0162572j -0.0907543+0.0264623j 0.0321737+0.0182065j -0.0141643+0.0269149j 0.0154239-0.0391465j 0.00319184+0.0395202j 0.0274777+0.064969j -0.0265577-0.00586681j 0.0689346-0.00327835j -0.00799386-0.0879551j 0.0518734-0.00013809j 0.0480815-0.043847j 0.0383595-0.00142706j 0.0603009+0.0163705j -0.0840474-0.134336j -0.0596671+0.0390777j -0.0499249-0.128561j 0.0503928+0.000806736j -0.108652+0.0919631j -0.115829+0.0248252j -0.00771554+0.0590073j -0.0165832+0.0350256j -0.046651-0.0960802j 0.0730602+0.0289704j 
