-0.138238+0.0838969j 0.00386006-0.105536j 0.218075-0.0243019j 0.171956-0.102223j -0.0875258+0.057721j 0.199268-0.0606138j -0.144843+0.0730803j -0.0716976+0.0717583j 0.012438-0.10597j 0.0179797+0.0319624j 0.101758+0.0865813j -0.0482207+0.0132632j 0.142021-0.062428j 0.0219431-0.187336j -0.191375+0.0609771j -0.132347+0.088655j -0.17506+0.00842948j -0.075511+0.135654j 
-0.0640366-0.0398465j 0.116533-0.189876j -0.0554074-0.0530933j -0.00291302-0.0763196j 0.0598547+0.0635269j -0.172974-0.284454j 0.0157765+0.0310178j 0.0525041+0.191319j 0.165376+0.0385098j -0.124239+0.0470659j -0.066872+0.0154475j 0.0698762+0.000184382j -0.00105707-0.190722j -0.199395+0.024138j 0.0816995-0.0260556j -0.0505407-0.00617126j 0.135625+0.180513j 0.149416+0.175871j 
0.02562+0.171353j 0.0700102-0.00644931j -0.0249371+0.0297774j 0.320925+0.33651j 0.175856+0.392071j -0.208086+0.0432554j -0.0907126+0.14836j 0.186239+0.26529j 0.149756-0.0416247j 0.0589098-0.0293045j 0.0326351+0.0540298j -0.0262237-0.0326267j -0.0208175-0.0345089j -0.0484131-0.0997313j -0.0932563-0.119108j -0.108437-0.0647434j 0.0142053-0.141885j 0.0932159+0.0888768j 
-0.0575724+0.00254875j -0.00322726-0.090135j 0.00240398-0.038049j -0.057481-0.0423195j -0.0461266+0.144881j -0.0954219-0.202724j -0.0478368+0.0824388j -0.0251854+0.158701j 0.0235404-0.018017j -0.000866637-0.0196275j 0.00334721+0.000929114j -0.098319+0.0824196j 0.064651-0.00588573j 0.0958706+0.0750444j -0.0260875-0.0473637j -0.0404642+0.0100754j -0.0509219-0.000415637j -0.077381-0.0322006j 
-0.104652+0.207755j -0.0722779+0.0133448j 0.306702-0.0576973j 0.24674+0.105308j -0.2385+0.148347j 0.238991+0.363339j -0.0615586+0.139081j 0.00983796-0.0208106j -0.246116-0.0417619j 0.15848-0.0530735j -0.0245211-0.047572j -0.135128-0.0201206j -0.168064-0.119773j -0.0592308-0.00603863j 0.111814-0.00549619j 0.0364586+0.0122884j 0.0722863-0.0635577j 0.169482+0.0952631j 
-0.167416+0.12524j -0.13198-0.106298j 0.163257-0.157279j -0.204338+0.0105639j -0.211791+0.335075j -0.0487678-0.0243396j 0.0206519+0.136674j -0.033575+0.12881j -0.207202+0.0980254j 0.0441318-0.0304563j 0.0431799+0.0304275j -0.0553255-0.0179312j 0.00441289+0.0745137j 0.0261324+0.077675j 0.0115632+0.00680783j 0.0780631+0.0489045j -0.0344488+0.06928j -0.139035-0.156078j 
-0.0171604+0.169245j -0.236333+0.224023j 0.0133462-0.149568j -0.381396+0.144582j 0.0367226-0.0188791j 0.0128604+0.267992j 0.20598-0.0854355j 0.0628608-0.198186j -0.1878+0.190066j -0.186795+0.0219841j -0.0642668+0.0284647j 0.0754358-0.0433208j 0.07119-0.0748664j -0.0218015-0.0879065j -0.0270924+0.0815308j -0.0313395+0.0471707j -0.0355353-0.00593066j 0.0450163+0.115412j 
0.000974281+0.0284897j 0.0341183-0.15358j 0.0431199-0.028289j 0.196579+0.160435j 0.131278+0.0595966j 0.0101969+0.209188j 0.00384268-0.0413746j 0.0361095-0.045075j 0.0219537+0.108033j 0.101064+0.209413j 0.129351+0.0770304j -0.0728401-0.010988j 0.0885329-0.0692974j 0.0399711+0.194542j 0.0481308+0.109449j 0.0955905+0.176654j -0.064259+0.316733j -0.298796-0.232774j 
0.00973771-0.0238554j 0.115126-0.105954j 0.0875581+0.0635964j 0.0959815-0.00292173j -0.0726749+0.100213j -5.27638e-05+0.0896651j 0.00483839-0.0612553j 0.0539252-0.00484768j -0.107065+0.041016j 0.0197521-0.0311389j -0.0754309+0.101648j 0.400094-0.0997374j -0.0347496+0.335014j -0.258007-0.151792j 0.0954299-0.0197889j 0.0648332-0.0816293j 0.135135+0.135254j 0.03895-0.0881335j 
-0.0740435-0.102677j -0.0116114+0.0217815j -0.0473375+0.0211888j -0.00236085-0.0037389j 0.00462722+0.0561674j -0.0417284-0.00750201j 0.0567344+0.124904j -0.0540262+0.00937133j 0.11132+0.0383959j 0.0885972+0.00368426j 0.192918+0.129213j 0.110113+0.0496825j -0.355186-0.0960342j 0.246553-0.211059j -0.207133-0.0149654j 0.151513+0.203142j -0.188448-0.088463j -0.0197571-0.181618j 
0.0504233-0.0314151j 0.0165186-0.0375221j -0.074255+0.0532572j -0.0283187+0.0490519j 0.0531658+0.0735267j -0.0927095-0.101726j -0.0407884-0.054443j -0.0436228+0.0389246j 0.0102605-0.0061179j 0.0238558+0.0218193j 0.0167224-0.00585018j -0.0244089+0.0945994j 0.175686+0.263109j 0.177061+0.130075j -0.0302058-0.0307212j 0.114436+0.0959466j -0.09974-0.0276913j -0.0775374-0.19601j 
-0.088325+0.0512899j 0.05734-0.200353j 0.0571376-0.0175758j 0.0726495+0.00960401j -0.055793+0.00556276j 0.0130882+0.0837507j 0.0907028-0.106608j 0.0654674-0.0175801j -0.0413091+0.0755028j -0.0954506+0.146278j -0.278832+0.0833507j 0.0286906+0.42016j -0.169909+0.0228329j 0.168899+0.168128j 0.159075-0.107851j -0.0695123+0.0384964j 0.0929336+0.22789j 0.0348075-0.0176139j 
-0.045245-0.0284958j 0.0204322-0.0697228j -0.00151497+0.0276611j 0.0614109+0.0168987j -0.0594355+0.0397439j -0.0358596+0.00663808j -0.00844518+0.0256611j -0.0428728+0.0601272j 0.0762813-0.0333753j 0.120251-0.0280009j 0.132172-0.0885486j -0.122647-0.0969546j -0.129674+0.126894j -0.0795201+0.164271j 0.11924+0.0995264j 0.113554+0.0699883j -0.0204871-0.00411929j -0.0257551-0.0871136j 
-0.19838+0.149648j -0.0139459-0.156137j -0.00871866-0.0554282j -0.0460258+0.00384098j 0.0407942-0.0308319j 0.0830348-0.0802877j 0.0991157-0.157716j 0.00551537+0.0414855j 0.218498-0.0791017j -0.157793+0.195692j 0.0810905+0.0296177j -0.137508-0.0206363j -0.195341+0.124164j -0.133892+0.0412139j -0.0917788+0.0918198j -0.036741-0.00923129j 0.033268+0.103874j 0.0625163+0.0899701j 
-0.127635+0.18946j -0.0632718-0.0436225j 0.0745074-0.0507521j -0.0329889+0.0102226j 0.0661173-0.0659992j 0.099282+0.0163293j 0.0188345-0.176508j -0.0278319-0.0622423j 0.0951416-0.0589618j -0.126229+0.18338j 0.0367082+0.0563462j -0.108008+0.0390049j 0.0268412+0.180456j 0.0215144-0.028382j -0.210051+0.0557585j -0.0806073-0.0035247j -0.0322492+0.00687639j -0.0188481+0.0375758j 
-0.0709348+0.11222j 0.0316531-0.0924634j 0.0837257-0.0319244j 0.039208-0.0337044j -0.0047328-0.0195342j 0.074928-0.0122218j -0.0384712-0.0378963j -0.0313934+0.0528254j 0.0535078-0.0635419j -0.128029+0.0991058j -0.0621103+0.119027j 0.0737984+0.0849078j 0.0691429+0.0369627j 0.0147925-0.160259j -0.151755-0.0568844j -0.154545-0.024959j -0.00755839+0.0590921j -0.0145193+0.106898j 
0.0148771+0.087162j -0.0137369+0.150043j -0.0350297+0.0687419j -0.0369163+0.0262302j -0.034153+0.0288823j -0.0246951-0.0410923j -0.0136436-0.0237127j 0.00318975+0.0204556j 0.0206634-0.18448j -0.00268526-0.0971563j 0.0282843-0.105645j -0.0730763-0.0362755j -0.119208+0.169151j 0.0238334-0.0422979j 0.00638383-0.134219j -0.108939-0.113301j -0.00663131-0.176116j 0.112433-0.00575743j 
0.0454856+0.0115296j 0.0301192-0.0278312j 0.0281378+0.0138146j 0.0470258+0.00879002j -0.00186776+0.0136974j -0.0228933+0.0302618j -0.0443696-0.0068849j 0.02813+0.0219244j -0.0253148-0.00919107j 0.0112857-0.0113698j -0.11821-0.0361007j 0.0806449+0.0311194j 0.055114+0.0219045j -0.0423467-0.0426298j 0.0518791-0.0662237j -0.0564554-0.0387342j 0.0357248-0.0349112j 0.0683363+0.0297753j 
-0.0588275+0.0579279j -0.00184126-0.0361067j 0.0490853-0.020245j 0.0278199+0.0197123j 0.056281+0.015401j 0.0144505+0.0480874j 0.00292242+0.00818231j -0.0227019-0.00969734j 0.0634734-0.0216445j -0.0243665+0.04336j 0.0641796+0.0652519j -0.0997353-0.0153237j -0.0130639-0.0189916j -0.0107701+0.0586445j -0.0580096+0.0995319j 0.0447861-0.01285j 0.0195861+0.0225916j -0.00525656+0.0444376j 
-0.0574272+0.104781j -0.0407693+0.0495173j 0.00546538-0.0104541j -0.0130528-0.0165381j 0.0119168-0.0101884j 0.0526689-0.0139949j -0.00197049-0.00760615j -0.0369262-0.0315509j 0.0385313-0.10732j -0.0474496+0.039703j -0.0056587+0.0138145j -0.180341+0.124138j -0.0197927-0.0194584j 0.192402+0.0458228j -0.110539-0.0690237j -0.0396477-0.0214056j -0.0254035-0.0824332j 0.0609725+0.0245407j 
-0.00240468+0.00346851j -0.0181275+0.0346379j -0.00796089-0.00166733j -0.0167394+0.0573615j 0.0283139-0.00292251j -0.0444238+0.017467j 0.0177329+0.00359816j -0.00426147+0.0222171j 0.0169994-0.0159955j 0.0104197+0.000899025j 0.0155825+0.0180133j 0.00656039-0.01016j -0.0222132+0.0145188j 0.0310731-0.0244236j -0.0315487-0.0242974j 0.000922937+0.00028797j -0.0114312-0.0242038j 0.00650264-0.0165793j 
0.036499+0.0375714j 0.0155435-0.00266003j 0.00337113+0.0196978j 0.0501879+0.0193122j 0.00656427+0.0225878j -0.0208058+0.0581418j -0.0174245-0.0207578j 0.0428501-0.0134357j 0.000141742+0.00809032j 0.0173927-0.00496221j -0.054941-0.0649342j 0.040817+0.000478731j -0.0199766+0.0212823j -0.0514293-0.0295238j 0.0502911-0.0375485j -0.0500729+0.00965967j 0.00158543-0.0103037j 0.018399-0.00104554j 
-0.0141566-0.0110414j -0.0257349+0.00848544j -0.0185691+0.0317576j 0.0229341-0.0133371j -0.0358974-0.0245037j -0.0280508+0.0115761j 0.063544+0.0342581j -0.0361746+0.0138457j 0.0146498+0.0524244j 0.0177971-0.0150929j 0.0521759+0.0171652j 0.0121656-0.0114795j -0.105704+0.0111772j 0.00063+0.0121325j 0.0196575+0.0391287j 0.0432117+0.0227083j -0.0169773+0.030736j -0.0438327-0.0457843j 
