-0.204717-0.00609404j 0.735213-0.01238j -0.609098-0.0122509j 0.00674982+0.115754j 0.0334625+0.072539j -0.0250517+0.08108j 0.0708066-0.0594425j -0.0866231-0.0643656j 0.0496211-0.048445j 0.137986+0.0194561j 0.038187+0.0332083j 0.0149646-0.0170919j -0.0173299+0.02878j 0.00159015+0.0527183j -0.0125599+0.0272589j -0.0149344-0.00694514j -0.0305722+0.012412j 0.052519-0.0217616j -0.0201732+0.0275512j -0.00352283+0.000821345j -0.00439072+0.00645183j -0.0202477-0.00156867j 0.072949+0.00850061j 0.0207476+0.00319995j 0.0259928-0.001759j -0.0244397+0.000417147j 0.0164317-0.0363864j -0.00314547-0.012166j -0.0173297+0.0345714j 0.0197514+0.00913817j -3.02075e-05+0.0206122j 0.00244561+0.032549j -0.00291325-0.0197228j 0.000460737-0.0100251j -0.0183967+0.0547493j -0.0171615+0.0610575j 0.0175484+0.00546798j 0.0323435+0.00958624j 0.0266444-0.0565535j -0.0389724+0.033936j 
-0.0447326+0.0456026j 0.02389+0.0469977j -0.259963+0.0648899j 0.063681-0.252268j -0.277315-0.0749142j -0.186452-0.378051j -0.264273+0.0875535j -0.300892+0.139322j 0.239357+0.104701j -0.040877-0.0364555j 0.0553188-0.0424367j 0.0572368+0.0258322j 0.0859029-0.0514924j -0.0298113-0.0339432j 0.0719615-0.0610896j 0.0701686+0.034284j 0.0912961+0.054282j -0.109236-0.0270492j 0.0645929-0.0542909j -0.0546555-0.0185952j 0.0352548+0.0314438j 0.0660655+0.0123129j -0.0177138+0.0288399j -0.062986-0.0011991j 0.00172676+0.0718132j -0.0338611-0.020539j -0.0705529-0.00452707j 0.00200849+0.0261074j 0.100074-0.0170673j -0.055498-0.0636562j -0.0378337-0.00736895j 0.0228235+0.0314554j 0.0428642-0.0450232j 0.112314+0.0200194j 0.0108475-0.098549j 0.05321-0.0738018j -0.00770408-0.0988839j -0.0588731-0.0501738j -0.0601729+0.129982j 0.0204569-0.0609898j 
-0.0180648+0.114227j 0.0913417-0.049164j 0.153702-0.0796151j 0.308033+0.140757j -0.181976+0.425882j -0.165627-0.402421j -0.169431-0.254409j 0.383686-0.0733265j 0.078523-0.131799j 0.0762005-0.133077j 0.0377726-0.0462038j 0.0585325+0.000378514j -0.0309078+0.0219576j 0.0578786-0.0482564j -0.0198044-0.0366805j 0.0569463+0.0119473j -0.106185-0.0229393j 0.0779373-0.0110683j 0.0803326+0.100802j -0.0452716+0.137963j -0.0270778+0.0113695j -0.0422909+0.0251039j -0.0493454+0.0397394j 0.000262369-0.0185352j 0.0324981+0.0196883j -0.00660759+0.000311943j -0.0377196-0.0258058j 0.0354441+0.0650887j -0.0529923-0.00331518j 0.0383024+0.0490183j -0.0307465+0.100517j 0.0453742-0.00231848j 0.00137128-0.0391401j 0.0556795-0.00787167j 0.00169519-0.00840255j 0.0286827+0.0383866j 0.0127322+0.0210349j 0.0502306-0.0720406j -0.00361015-0.0172657j -0.0378828+0.0458067j 
0.02303+0.0322318j -0.0959873+0.0251279j -0.0751218-0.0184798j 0.121437-0.104467j -0.166686-0.0763539j -0.0506597-0.269291j -0.175302+0.0990893j -0.129517+0.0897352j 0.203316+0.0342483j -0.174204-0.0812414j -0.0844411+0.106039j -0.0984103-0.0659737j -0.108942+0.0834174j -0.120519+0.110745j 0.0268336+0.115954j 0.0573359-0.122576j 0.0355912-0.0711583j -0.0323531+0.0961023j 0.0211845-0.0315484j -0.0533526+0.00560824j -0.0861388-0.0468971j -0.0381289-0.0094954j 0.0360294-0.0786025j 0.0193469-0.0488986j 0.0293747+0.0119986j -0.0415012+0.0651313j 0.001974+0.0809602j 0.0229343+0.0421425j -0.115369+0.000506238j 0.104094+0.0475048j 0.0314705+0.0362191j -0.207476-0.101654j -0.0826989+0.0954736j -0.168286+0.0232891j 0.0815862+0.0933679j -0.0404922-0.000886136j -0.0132656+0.0886589j 0.0182973+0.0425597j 0.0241881-0.0441685j 0.0990818+0.0110568j 
-0.0190245-0.0276274j -0.118848-0.0554062j -0.12334-0.0397658j 0.031847-0.100272j 0.0309216-0.228191j 0.05461+0.00768606j 0.0438388+0.181442j -0.163173+0.0712921j 0.0950861-0.0262416j -0.147433+0.0976646j 0.154605-0.0145778j 0.0787668+0.0812134j 0.090358+0.153781j 0.138555-0.142642j 0.0302415-0.0623626j -0.128422-0.121417j 0.010891-0.0755609j -0.0273897-0.0211563j 0.0627879+0.0459418j -0.0378558+0.00952062j -0.139237+0.0581066j -0.00987947+0.0107325j 0.0298723-0.00725296j 0.103532-0.00111073j 0.0859319-0.0207157j 0.0127465-0.0570407j 0.0275632-0.0785658j 0.0259803+0.0910971j -0.0829971-0.0432837j 0.111524+0.113305j 0.00781303+0.123593j 0.119187+0.001678j 0.135887-0.0316235j -0.0147526-0.122242j -0.0648+0.0228539j 0.0580922+0.10814j 0.0561801+0.0723858j 0.0520296-0.106993j 0.0128872-0.0659777j -0.0974367+0.125585j 
0.0338121-0.0293315j -0.0748031-0.00727617j 0.0779933+0.0272622j 0.0144199+0.0106426j -0.0583125+0.0123327j 0.00799731-0.053414j -0.0223419-0.0549177j 0.00528984-0.0309504j -0.0302033+0.014595j -0.0181433+0.0482175j 0.0604333+0.193454j -0.161577+0.150067j 0.0255557+0.184859j 0.145078+0.30558j 0.27356+0.0194777j -0.0823956+0.0435489j -0.0866236+0.0873574j 0.126649-0.046169j -0.0466468+0.020253j 0.0285028-0.0259001j -0.0305822+0.0726288j -0.0071326+0.099616j -0.134099+0.00310575j -0.0743278+0.0224618j -0.0734631+0.0189388j 0.0790108+0.0311611j 0.0584806-0.0125812j -0.0275995-0.040754j 0.0920538+0.00535479j -0.0541368-0.104208j -0.0525759+0.0368473j 0.0248895+0.0342304j 0.00360818-0.0265155j -0.0607236-0.109318j -0.0623622+0.170835j -0.0451219+0.137431j 0.0726292+0.0254708j -0.00845932+0.0256916j -0.0148465-0.107756j -0.112669+0.0684164j 
0.0159593+0.0459691j -0.0104936-0.0359461j -0.0335331-0.0495328j 0.0709942-0.0385742j 0.0050999-0.0506608j 0.0187381-0.0588968j 0.0388385-0.0903878j 0.00332737-0.08829j -0.0814243-0.131098j 0.038758+0.148633j -0.079699-0.153515j -0.0417565-0.155825j 0.0838801+0.0511244j -0.309423-0.0272395j 0.0516239+0.134537j -0.215698+0.0686471j -0.175375+0.0422997j 0.0712249-0.0420101j 0.0843882-0.0394089j 0.0885568+0.0398787j 0.0283975+0.148957j -0.04007-0.0454071j -0.0515909-0.0603565j 0.0136491+0.0425791j -0.011755-0.117412j -0.031455+0.0268213j -0.0672367+0.0229306j -0.0433868+0.0886817j 0.0806769-0.0644414j 0.0408004-0.0957917j -0.110082+0.125145j -0.0676682-0.0205582j 0.107876+0.118059j -0.019939-0.089554j -0.0155402-0.0474046j 0.0452388-0.0500646j -0.0507216+0.0704267j -0.0350521-0.160387j -0.133869+0.0410927j -0.0730135+0.102708j 
-0.0321635+0.0423626j 0.0206941+0.0696509j 0.0692922+0.04878j -0.0269797+0.135559j -0.0861741+0.00268728j 0.0602399-0.0449027j -0.0722252+0.0270158j 0.0168081-0.0622531j -0.0954009-0.027262j -0.294845+0.0652533j 0.297742-0.0467757j 0.0396388-0.253569j 0.0846523-0.0543523j -0.0160921-0.0613883j -0.0524233+0.034799j 0.132808-0.0770705j 0.0430111+0.154726j 0.27602+0.0021805j -0.0185721+0.0376166j -0.00481903-0.00552758j 0.0316938+0.00223965j 0.125905+0.0536966j -0.0279407-0.126994j -0.0132546-0.00889845j -0.00749684+0.0407987j 0.00137512+0.0226866j 0.00266112+0.00064145j -0.00613251+0.0153597j -0.0138711-0.084268j 0.0219364-0.102765j -0.00503238-0.0249148j 0.00689617-0.00238271j -0.0291516-0.0354604j 0.000333044+0.0219681j -0.00372126+0.0242957j -0.0188225+0.0518113j 0.026598-0.0137064j 0.00384998+0.0443201j 0.0231871-0.0347292j -0.00402995-0.00879546j 
-0.0438177-0.0281536j 0.000614151+0.0473751j -0.0266912-0.0228566j -0.0381544-0.0496073j 0.0632978-0.0480583j 0.017803+0.0184071j -0.0599421-0.0842797j 0.0208477-0.0639508j 0.0346508-0.165283j -0.0598513-0.264229j 0.028993+0.265904j 0.288468+0.041703j 0.134597+0.114569j -0.0283828-0.0789248j 0.00399822-0.048989j 0.0183009+0.165858j -0.227626+0.0528002j 0.00838635+0.250322j -0.0241313-0.040725j -0.0491387-0.0142995j 0.0514318+0.058514j 0.0333497+0.067348j 0.0683006-0.050877j 0.00480802+0.0604765j 0.0820898-0.055003j -0.0129929-0.0066889j -0.0101788+0.020095j -0.0213174+0.0193904j 0.0523591+0.0270433j 0.00565565-0.00280175j -0.0116073-0.0376505j -0.0128271-0.0156056j 0.0237613+0.0396594j -0.0593625+0.00970882j 0.0164763-0.00587656j -0.0171156-0.0414361j -0.016375+0.00733584j -0.0446932-0.0040164j -0.0300087+0.0284877j 0.0206738-0.00743724j 
-0.0173935+0.0103593j -0.0054167-0.0523254j 0.0198992+0.0182787j 0.0161393+0.0108371j 0.0332094+0.0233562j 0.0102454+0.0534426j 0.0791492-0.0050268j 0.0229768-0.0126006j -0.0522436-0.0263995j 0.0614732+0.131651j 0.151747-0.0679295j 0.0374081+0.136639j 0.173309+0.0557364j 0.218961-0.0881797j 0.070242-0.198788j -0.0591324+0.0515728j 0.0131771+0.0607383j -0.0251538-0.155103j 0.103355+0.0525502j -0.0188478+0.0221421j 0.0579258+0.118451j 0.0470662-0.0578549j 0.00855733+0.0306109j 0.00588792-0.0080809j -0.0271332+0.0232465j -0.0549507+0.0701548j -0.0477394+0.0829132j 0.00452342+0.00763586j 0.0321512-0.0516342j -0.0554871+0.0158817j -0.0057561+0.0275414j -0.181115-0.120791j -0.107149+0.0552739j -0.150132+0.108897j 0.10255+0.00033718j 0.0319503-0.0833632j -0.098842-0.000775684j 0.00411286+0.0287652j -0.0196313+0.00301413j 0.096898-0.034115j 
0.0166998+0.00211055j -0.0425677+0.0376344j -0.0442475+0.0408016j -0.0503839-0.0554449j -0.106028+0.0154127j -0.100362-0.0193938j -0.0233939-0.0784869j -0.0369456-0.0285065j -0.129863-0.0283454j 0.104227+0.01765j -0.0175347-0.0687696j 0.0592456-0.0196274j 0.171994-0.15378j -0.040398+0.0308526j -0.00904492-0.168813j 0.0746954+0.131427j 0.0242584+0.110141j -0.0818372+0.0173442j 0.0129365-0.21061j 0.0139589-0.0186343j 0.164413-0.0866054j -0.0660328+0.00597317j -0.099193-0.0315502j 0.0459262+0.00981952j -0.0139121+0.0527671j 0.116574+0.0157316j 0.107436-0.0115851j 0.0317111+0.0478157j -0.0594396-0.0821703j 0.0471111+0.018271j -0.0116655+0.0530228j 0.053009-0.00703062j -0.0314219-0.0279752j -0.0485728-0.199259j -0.172+0.223359j -0.126713+0.166304j 0.0510557+0.175648j 0.00822338+0.0193902j 0.0170332-0.213172j -0.234167+0.18617j 
