0.413586-0j -0.00123336-0j 6.07115e-07-0j -8.79057e-11-0j 4.42039e-15-0j -6.85776e-19-0j -0.000100499-0j 4.08879e-08-0j -4.58572e-12-0j 1.64823e-16-0j 1.18039e-20-0j 1.09114e-09-0j -1.09738e-13-0j 2.79253e-18-0j -1.1812e-15-0j -4.13409e-20-0j -6.52629e-06-0j 1.63672e-09-0j -1.16395e-13-0j 2.42896e-18-0j 4.9295e-11-0j -3.06882e-15-0j 3.75499e-20-0j -3.00188e-17-0j 8.84734e-13-0j -3.18398e-17-0j -2.85423e-19-0j -3.4046e-07-0j 5.39999e-11-0j -2.3771e-15-0j -4.80337e-20-0j 1.29224e-12-0j -4.6505e-17-0j -2.94784e-19-0j 2.5553e-14-0j -4.42176e-19-0j 2.73814e-16-0j -1.43656e-08-0j 1.44477e-12-0j -3.67654e-17-0j 2.69353e-14-0j -4.66095e-19-0j 3.95216e-16-0j 3.88101e-18-0j -4.90597e-10-0j 3.05417e-14-0j -3.73707e-19-0j 4.22504e-16-0j 4.01723e-18-0j -1.345e-11-0j 4.84039e-16-0j 4.3391e-18-0j 
-0.0371677-0j 0.381037-0j -0.00129388-0j 5.9488e-07-0j -6.85832e-11-0j 2.111e-15-0j -0.000553717-0j -6.53458e-05-0j 2.75838e-08-0j -2.39712e-12-0j 4.06163e-17-0j 2.13618e-08-0j 4.22881e-10-0j -3.30584e-14-0j -4.96977e-14-0j -1.44591e-16-0j -6.04436e-05-0j -3.67066e-06-0j 9.00982e-10-0j -4.30063e-14-0j 1.28858e-09-0j 1.47912e-11-0j -5.3358e-16-0j -1.54433e-15-0j 2.97618e-11-0j 1.87643e-13-0j -1.76255e-17-0j -4.74977e-06-0j -1.61703e-07-0j 2.30145e-11-0j -5.06931e-16-0j 4.34698e-11-0j 2.7407e-13-0j -1.82036e-17-0j 1.07513e-12-0j 3.12798e-15-0j 1.40864e-14-0j -2.81241e-07-0j -5.56749e-09-0j 4.35234e-13-0j 1.13328e-12-0j 3.29718e-15-0j 2.0332e-14-0j 2.39661e-16-0j -1.28243e-08-0j -1.47206e-10-0j 5.31033e-15-0j 2.17358e-14-0j 2.48073e-16-0j -4.52448e-10-0j -2.85261e-12-0j 2.67949e-16-0j 
-7.05679e-05-0j -0.0481909-0j 0.343907-0j -0.00108728-0j 3.97737e-07-0j -2.80597e-11-0j -0.000402358-0j -0.000622252-0j -3.76605e-05-0j 1.23434e-08-0j -5.05842e-13-0j 1.69919e-07-0j 1.42618e-08-0j 1.08708e-10-0j -1.11372e-12-0j -1.04721e-14-0j -0.000140861-0j -5.86503e-05-0j -1.72528e-06-0j 2.84913e-10-0j 1.54254e-08-0j 6.65832e-10-0j 2.19421e-12-0j -4.45259e-14-0j 4.99683e-10-0j 1.08674e-11-0j -6.35497e-16-0j -2.25165e-05-0j -3.88833e-06-0j -5.88232e-08-0j 4.19978e-12-0j 7.29833e-10-0j 1.58729e-11-0j -6.56339e-16-0j 2.40934e-11-0j 2.26546e-13-0j 4.06139e-13-0j -2.23709e-06-0j -1.87766e-07-0j -1.43121e-09-0j 2.53967e-11-0j 2.38801e-13-0j 5.86211e-13-0j 8.6411e-15-0j -1.53517e-07-0j -6.62654e-09-0j -2.18374e-11-0j 6.26686e-13-0j 8.94439e-15-0j -7.59635e-09-0j -1.6521e-10-0j 9.66105e-15-0j 
-2.49765e-08-0j -8.772e-05-0j -0.0527532-0j 0.300495-0j -0.000753564-0j 1.68561e-07-0j -1.56124e-06-0j -0.000721142-0j -0.00056189-0j -1.74017e-05-0j 2.69517e-09-0j 4.13572e-07-0j 1.76908e-07-0j 5.72568e-09-0j -1.38275e-11-0j -3.65303e-13-0j 7.13971e-06-0j -0.000214437-0j -4.31151e-05-0j -5.63046e-07-0j 7.60472e-08-0j 1.24181e-08-0j 1.54204e-10-0j -7.74924e-13-0j 4.12616e-09-0j 2.84114e-10-0j -1.47575e-14-0j -1.73714e-05-0j -2.87959e-05-0j -2.21022e-06-0j -1.10742e-08-0j 6.02664e-09-0j 4.14975e-10-0j -1.52415e-14-0j 2.99135e-10-0j 7.9027e-12-0j 7.06839e-12-0j -5.44493e-06-0j -2.3291e-06-0j -7.53821e-08-0j 3.15316e-10-0j 8.33018e-12-0j 1.02023e-11-0j 2.00663e-13-0j -7.56842e-07-0j -1.23588e-07-0j -1.53468e-09-0j 1.09068e-11-0j 2.07706e-13-0j -6.27272e-08-0j -4.3192e-09-0j 2.24348e-13-0j 
-2.64501e-12-0j -2.61817e-08-0j -8.05442e-05-0j -0.0521694-0j 0.24751-0j -0.000378417-0j -5.8582e-10-0j -2.30719e-06-0j -0.00105458-0j -0.000413339-0j -4.48469e-06-0j -1.77156e-08-0j 6.8584e-07-0j 1.12536e-07-0j -8.10372e-11-0j -7.17466e-12-0j 5.43471e-09-0j 1.22562e-05-0j -0.000251271-0j -2.23613e-05-0j 7.11575e-08-0j 9.71061e-08-0j 4.55283e-09-0j -7.59338e-12-0j 1.19886e-08-0j 3.71468e-09-0j -2.17224e-13-0j -4.16528e-08-0j -3.59519e-05-0j -2.59815e-05-0j -6.60669e-07-0j 1.75105e-08-0j 5.42564e-09-0j -2.24348e-13-0j 1.7531e-09-0j 1.55212e-10-0j 6.92623e-11-0j 2.33236e-07-0j -9.0295e-06-0j -1.48161e-06-0j 1.84793e-09-0j 1.63607e-10-0j 9.99715e-11-0j 2.95368e-12-0j -7.08179e-07-0j -9.66426e-07-0j -4.53109e-08-0j 1.06874e-10-0j 3.05735e-12-0j -1.82255e-07-0j -5.64718e-08-0j 3.30232e-12-0j 
-9.21115e-17-0j -1.95856e-12-0j -1.69615e-08-0j -5.5904e-05-0j -0.0457783-0j 0.17653-0j -4.9144e-14-0j -6.09551e-10-0j -2.32909e-06-0j -0.00140687-0j -0.000190031-0j -7.56049e-12-0j -3.11723e-08-0j 7.78609e-07-0j -1.0985e-10-0j -7.47086e-11-0j 6.85692e-13-0j 6.54109e-09-0j 1.52428e-05-0j -0.000232743-0j 9.41567e-11-0j 1.64612e-07-0j 6.32746e-08-0j -3.14764e-11-0j -4.35729e-10-0j 1.92562e-08-0j -1.80875e-12-0j -8.79979e-12-0j -5.94909e-08-0j -5.8784e-05-0j -1.3813e-05-0j -6.36423e-10-0j 2.81254e-08-0j -1.86807e-12-0j 2.37643e-09-0j 1.61619e-09-0j 2.87109e-10-0j 9.95385e-11-0j 4.10402e-07-0j -1.02509e-05-0j 2.50497e-09-0j 1.70362e-09-0j 4.14406e-10-0j 2.45943e-11-0j -9.37073e-10-0j -1.63826e-06-0j -6.29725e-07-0j 4.43018e-10-0j 2.54576e-11-0j 6.6241e-09-0j -2.92739e-07-0j 2.74973e-11-0j 
1.69464e-20-0j -3.04843e-17-0j -5.66859e-13-0j -5.25336e-09-0j -2.17771e-05-0j -0.029333-0j -8.19816e-19-0j -2.28292e-14-0j -2.74022e-10-0j -1.35742e-06-0j -0.00177941-0j -3.54463e-16-0j -5.89885e-12-0j -3.16647e-08-0j -5.28794e-14-0j -2.7828e-10-0j 1.52642e-17-0j 3.6811e-13-0j 3.60767e-09-0j 1.26369e-05-0j 7.37875e-15-0j 9.5116e-11-0j 2.94783e-07-0j 8.52655e-13-0j -6.86924e-14-0j -6.2613e-10-0j -5.61286e-12-0j -2.74566e-16-0j -5.59614e-12-0j -4.24827e-08-0j -8.59141e-05-0j -1.00332e-13-0j -9.14522e-10-0j -5.79694e-12-0j 1.14396e-12-0j 6.02012e-09-0j -7.77741e-12-0j 4.66673e-15-0j 7.76619e-11-0j 4.16886e-07-0j 1.20584e-12-0j 6.34577e-09-0j -1.12257e-11-0j 7.63203e-11-0j -7.34352e-14-0j -9.4662e-10-0j -2.93376e-06-0j -1.20008e-11-0j 7.8999e-11-0j 1.04428e-12-0j 9.51865e-09-0j 8.53286e-11-0j 
0.00654209-0j -0.00600279-0j 3.27689e-05-0j -1.6839e-08-0j 2.04097e-12-0j -6.46358e-17-0j 0.365777-0j -0.000767698-0j 2.42858e-07-0j -1.8755e-11-0j 2.97848e-16-0j -7.22502e-05-0j 1.75141e-08-0j -8.76991e-13-0j 4.0478e-10-0j -1.28566e-14-0j -0.000352255-0j 3.13525e-07-0j -5.37412e-11-0j 2.19719e-15-0j -2.61065e-06-0j 3.49199e-10-0j -7.8427e-15-0j 9.42737e-12-0j 4.08496e-10-0j -2.89274e-14-0j 5.96137e-14-0j -3.7093e-05-0j 1.65947e-08-0j -1.56957e-12-0j 2.87824e-17-0j -1.02822e-07-0j 7.28129e-12-0j 1.23495e-13-0j 1.68723e-11-0j -5.35898e-16-0j 2.48768e-13-0j -2.75184e-06-0j 6.67071e-10-0j -3.34025e-14-0j -3.06495e-09-0j 9.73488e-14-0j 3.59066e-13-0j 4.70362e-15-0j -1.50765e-07-0j 2.01663e-11-0j -4.52917e-16-0j -6.61515e-11-0j 4.86871e-15-0j -6.21009e-09-0j 4.39764e-13-0j -9.06268e-13-0j 
7.66008e-06-0j 0.00530876-0j -0.00877495-0j 4.37313e-05-0j -1.7835e-08-0j 1.32169e-12-0j -0.0323667-0j 0.325511-0j -0.000703879-0j 1.72224e-07-0j -6.26522e-12-0j -0.000542821-0j -3.80129e-05-0j 7.15453e-09-0j 1.07532e-08-0j 6.71699e-11-0j -0.000409923-0j -0.00026984-0j 2.34299e-07-0j -2.69261e-11-0j -3.28818e-05-0j -1.0627e-06-0j 8.23067e-11-0j 3.34225e-10-0j 7.73952e-09-0j 1.17483e-10-0j 2.7188e-12-0j -0.000137294-0j -2.39438e-05-0j 9.59483e-09-0j -4.53749e-13-0j -1.94811e-06-0j -2.95714e-08-0j 5.63223e-12-0j 4.48224e-10-0j 2.79982e-12-0j 8.81948e-12-0j -2.06748e-05-0j -1.44782e-06-0j 2.72499e-10-0j -8.14222e-08-0j -5.08602e-10-0j 1.27298e-11-0j 2.14518e-13-0j -1.89893e-06-0j -6.13708e-08-0j 4.75322e-12-0j -2.34524e-09-0j 2.22047e-13-0j -1.17659e-07-0j -1.78601e-09-0j -4.13322e-11-0j 
1.90654e-09-0j 6.71143e-06-0j 0.00406655-0j -0.0111008-0j 4.3052e-05-0j -1.07095e-08-0j -4.1412e-05-0j -0.040173-0j 0.277562-0j -0.000462805-0j 5.33033e-08-0j -0.000599668-0j -0.000533618-0j -1.43419e-05-0j 1.25758e-07-0j 3.32331e-09-0j -1.66562e-06-0j -0.000598801-0j -0.000186749-0j 1.08742e-07-0j -0.000113687-0j -2.49648e-05-0j -2.31216e-07-0j 5.87428e-09-0j 5.40869e-08-0j 4.14774e-09-0j 6.69658e-11-0j 8.43526e-06-0j -0.000166291-0j -1.2798e-05-0j 2.56801e-09-0j -1.36142e-05-0j -1.04402e-06-0j 1.38725e-10-0j 5.24194e-09-0j 1.38525e-10-0j 1.5501e-10-0j -2.28399e-05-0j -2.03242e-05-0j -5.46247e-07-0j -9.52227e-07-0j -2.51637e-08-0j 2.23737e-10-0j 5.28371e-12-0j -6.56543e-06-0j -1.44172e-06-0j -1.33528e-08-0j -4.12196e-08-0j 5.46916e-12-0j -8.22247e-07-0j -6.30553e-08-0j -1.01804e-09-0j 
1.42471e-13-0j 1.41099e-09-0j 4.34351e-06-0j 0.00281423-0j -0.0132308-0j 3.07085e-05-0j -8.7209e-09-0j -4.31152e-05-0j -0.0407076-0j 0.216887-0j -0.000169725-0j -1.33885e-06-0j -0.00107366-0j -0.000360568-0j 5.19022e-07-0j 6.92805e-08-0j -5.87859e-10-0j -2.00828e-06-0j -0.000756996-0j -0.000102576-0j 5.50944e-06-0j -0.000154774-0j -9.71082e-06-0j 4.87999e-08-0j 7.24453e-08-0j 5.17601e-08-0j 9.29336e-10-0j 6.02664e-09-0j 1.21056e-05-0j -0.000159849-0j -4.04672e-06-0j -1.82351e-05-0j -1.30285e-05-0j 1.9252e-09-0j 2.16342e-08-0j 2.8878e-09-0j 1.28773e-09-0j -5.09936e-08-0j -4.08933e-05-0j -1.37332e-05-0j -3.92997e-06-0j -5.24583e-07-0j 1.85867e-09-0j 7.33261e-11-0j 3.18171e-07-0j -8.93819e-06-0j -5.60801e-07-0j -3.42427e-07-0j 7.58998e-11-0j -1.10134e-06-0j -7.86875e-07-0j -1.41281e-08-0j 
