-0.183185-0j -0.20693-0j -0.168957-0j -0.170708-0j -0.147838-0j -0.12196-0j -0.0389668-0j 0.12005-0j -0.0266307-0j -0.0210534-0j -0.0140356-0j -0.0212716-0j -0.0245623-0j -0.00868409-0j -0.014328-0j -0.0151972-0j -0.00886501-0j -0.00231266-0j -0.0157022-0j -0.00226642-0j 0.0854988-0j 0.0123407-0j -0.0132736-0j -0.00191588-0j -0.0134111-0j -0.0121171-0j -0.00193573-0j -0.00174895-0j -0.0149941-0j -0.00999607-0j -0.00216421-0j -0.00874656-0j -0.00865685-0j -0.00144281-0j -0.00126246-0j -0.00124951-0j -0.0123695-0j -0.00618475-0j -0.00178538-0j -0.00510216-0j -0.00624885-0j -0.000892692-0j -0.000736434-0j -0.000901943-0j -0.00282353-0j -0.000407541-0j -0.00062253-0j -8.98544e-05-0j 
-0.806028-0j 0.00396812-0j 0.187001-0j -0.182392-0j 0.00283496-0j -0.262953-0j -0.168777-0j 0.0266307-0j -0.00203019-0j 0.0233019-0j 0.0155346-0j -0.0227275-0j 0.000471012-0j 0.00961153-0j -0.0308922-0j -0.0162373-0j -0.0287553-0j -0.0125321-0j 0.0173792-0j 0.00250847-0j 0.000328606-0j 4.74301e-05-0j -0.0584048-0j -0.00843-0j 0.0569652-0j 0.0134111-0j 0.00822222-0j 0.00193573-0j 0.00028753-0j 0.000191687-0j 4.15014e-05-0j -0.0188582-0j 0.00958138-0j 2.76676e-05-0j -0.00272194-0j 0.00138295-0j -0.0132161-0j 0.0001186-0j -0.00190758-0j -0.0165498-0j -0.0134729-0j 1.71184e-05-0j -0.00238876-0j -0.00194465-0j -0.0122296-0j -0.00176519-0j -0.00405052-0j -0.000584642-0j 
0.160287-0j -0.537381-0j -0.143629-0j 0.14937-0j -0.380709-0j -0.103677-0j 0.0340959-0j 0.0210534-0j 0.0233019-0j 0.0531178-0j 0.0122812-0j -0.0552408-0j -0.0208802-0j -0.037344-0j 0.012537-0j -0.0391354-0j -0.00753606-0j 0.00202357-0j 0.0137395-0j 0.00198312-0j 0.0149941-0j 0.00216421-0j -0.0112838-0j -0.00162867-0j 0.0117347-0j -0.0314672-0j 0.00169376-0j -0.00454189-0j 0.0378301-0j 0.00874656-0j 0.00546031-0j -0.0227142-0j -0.022293-0j 0.00126246-0j -0.00327851-0j -0.00321771-0j -0.0105152-0j -0.0265961-0j -0.00151774-0j 0.00446439-0j -0.0160919-0j -0.00383882-0j 0.000644379-0j -0.00232267-0j -0.00240026-0j -0.000346447-0j 0.000544713-0j 7.86226e-05-0j 
0.106858-0j 0.120709-0j -0.486209-0j -0.491248-0j 0.0862386-0j 0.0711432-0j 0.0227306-0j 0.0140356-0j 0.0155346-0j 0.0122812-0j 0.0551429-0j 0.0124084-0j -0.0706831-0j 0.00506572-0j -0.0412318-0j 0.00886501-0j 0.00517126-0j 0.00134905-0j 0.00915964-0j 0.00132208-0j 0.00999607-0j 0.00144281-0j 0.00774292-0j 0.00111759-0j 0.00782316-0j -0.0348693-0j 0.00112918-0j -0.00503296-0j 0.00874656-0j 0.0392724-0j 0.00126246-0j 0.00510216-0j -0.0249119-0j 0.00566849-0j 0.000736434-0j -0.00359572-0j -0.0355958-0j 0.00360777-0j -0.00513781-0j -0.0146825-0j 0.00364516-0j 0.000520737-0j -0.00211924-0j 0.000526134-0j 0.00164706-0j 0.000237732-0j 0.000363142-0j 5.24151e-05-0j 
-0.161948-0j -0.524136-0j -0.14937-0j 0.150827-0j 0.12617-0j -0.0968064-0j -0.361243-0j -0.0212716-0j 0.0227275-0j 0.0552408-0j -0.0124084-0j -0.0557797-0j 0.0209623-0j -0.00767732-0j -0.011373-0j 0.0134273-0j -0.037042-0j -0.0371644-0j -0.0138818-0j -0.00200367-0j 0.0146245-0j 0.00211087-0j -0.0117347-0j -0.00169376-0j 0.0118492-0j 0.0317932-0j 0.00171029-0j 0.00458896-0j -0.0379789-0j 0.00853098-0j -0.00548178-0j 0.0206052-0j -0.00765324-0j 0.00123134-0j 0.0029741-0j -0.00110465-0j 0.0109289-0j 0.00527827-0j 0.00157745-0j -0.0213191-0j -0.00496006-0j 0.000761853-0j -0.00307715-0j -0.000715923-0j -0.0261756-0j -0.00377813-0j -0.0152998-0j -0.00220834-0j 
-0.187001-0j -0.00365992-0j -0.329538-0j -0.330834-0j 0.00769545-0j -0.235626-0j 0.155668-0j -0.0245623-0j -0.000471012-0j 0.0208802-0j 0.0706831-0j 0.0209623-0j -0.000830028-0j 0.043568-0j -0.056034-0j -0.0440759-0j -0.0257669-0j 0.0115588-0j -0.0160294-0j -0.00231364-0j -0.000303083-0j -4.37463e-05-0j 0.0131644-0j 0.00190011-0j 0.0132161-0j 0.0243259-0j 0.00190758-0j 0.00351114-0j 0.000257648-0j 0.000872184-0j 3.71883e-05-0j 0.0173935-0j -0.0511483-0j 0.000125889-0j 0.00251053-0j -0.00738263-0j 0.0232898-0j 0.0005376-0j 0.00336159-0j -0.030019-0j -0.036572-0j 7.75959e-05-0j -0.00433288-0j -0.00527871-0j -0.0109586-0j -0.00158174-0j 0.00373592-0j 0.000539234-0j 
-0.066115-0j -0.0746848-0j 0.299692-0j -0.0616118-0j -0.666565-0j 0.216329-0j -0.0140638-0j -0.00868409-0j -0.00961153-0j 0.037344-0j -0.00506572-0j -0.00767732-0j 0.043568-0j -0.0226975-0j -0.00517126-0j -0.0685204-0j 0.0157245-0j -0.000834682-0j -0.00566724-0j -0.000817996-0j -0.00618475-0j -0.000892692-0j 0.0235443-0j 0.00339833-0j -0.00484034-0j -0.00437328-0j -0.000698642-0j -0.000631229-0j 0.0265961-0j -0.00360777-0j 0.00383882-0j -0.0031568-0j -0.0390317-0j -0.000520737-0j -0.000455645-0j -0.00563374-0j 0.0219407-0j -0.016165-0j 0.00316687-0j -0.00184147-0j -0.0281746-0j -0.00233322-0j -0.000265793-0j -0.00406665-0j 0.0050083-0j 0.000722885-0j -0.000224683-0j -3.24302e-05-0j 
0.109084-0j -0.240043-0j -0.197863-0j -0.179492-0j -0.171495-0j 0.279179-0j -0.295534-0j 0.014328-0j -0.0308922-0j 0.012537-0j -0.0412318-0j 0.011373-0j 0.056034-0j 0.00517126-0j -0.0645014-0j 0.00812524-0j 0.00632016-0j -0.0601127-0j 0.00935047-0j 0.00134962-0j -0.0198783-0j -0.00286918-0j 0.00790423-0j 0.00114088-0j 0.00717033-0j -0.0141901-0j 0.00103495-0j -0.00204817-0j -0.0173935-0j 0.0572037-0j -0.00251053-0j 0.0200218-0j -0.0101379-0j 0.00825665-0j 0.0028899-0j -0.00146328-0j -0.013006-0j -0.00717444-0j -0.00187725-0j -0.00715352-0j 0.0143043-0j -0.00103554-0j -0.00103252-0j 0.00206464-0j -0.0214144-0j -0.0030909-0j -0.0360466-0j -0.00520288-0j 
0.115701-0j -0.12617-0j -0.314069-0j -0.107756-0j -0.0800217-0j -0.203548-0j 0.258084-0j 0.0151972-0j -0.0162373-0j -0.0391354-0j 0.00886501-0j -0.0134273-0j 0.0440759-0j 0.0685204-0j 0.00812524-0j -0.00851609-0j -0.0778855-0j 0.0265515-0j 0.00991767-0j 0.00143149-0j -0.0104483-0j -0.00150808-0j -0.0246738-0j -0.00356136-0j -0.0084655-0j 0.00765324-0j -0.00122189-0j 0.00110465-0j 0.0269062-0j -0.00609483-0j 0.00388358-0j 0.00496006-0j 0.00485399-0j -0.000879712-0j 0.000715923-0j 0.000700613-0j 0.0229794-0j -0.0471088-0j 0.0033168-0j 0.0152311-0j 0.00314587-0j -0.00679957-0j 0.00219842-0j 0.000454067-0j -0.0550376-0j -0.00794399-0j 0.0109307-0j 0.00157772-0j 
-0.0674924-0j 0.223439-0j 0.0604782-0j -0.297268-0j -0.469808-0j 0.0522656-0j 0.267306-0j -0.00886501-0j 0.0287553-0j 0.00753606-0j -0.00517126-0j -0.037042-0j -0.0257669-0j 0.0157245-0j -0.00632016-0j 0.0778855-0j -0.0441483-0j -0.0267923-0j -0.00578531-0j -0.000835037-0j 0.0185033-0j 0.00267071-0j 0.00475127-0j 0.000685787-0j -0.0233539-0j -0.00446439-0j -0.00337085-0j -0.000644379-0j -0.0157294-0j 0.0107936-0j -0.00227035-0j -0.00385815-0j 0.00938695-0j 0.00155792-0j -0.000556876-0j 0.00135489-0j 0.0209268-0j -0.0328206-0j 0.00302053-0j 0.0261536-0j 0.00811225-0j -0.00473724-0j 0.00377495-0j 0.0011709-0j -0.0188176-0j -0.00271608-0j -0.046565-0j -0.00672108-0j 
0.0176071-0j -0.0973788-0j 0.0162395-0j 0.298251-0j -0.0695708-0j -0.511678-0j 0.528918-0j 0.00231266-0j -0.0125321-0j 0.00202357-0j 0.00134905-0j 0.0371644-0j -0.0115588-0j 0.000834682-0j -0.0601127-0j 0.0265515-0j 0.0267923-0j -0.0337978-0j 0.00150924-0j 0.00021784-0j -0.00806407-0j -0.00116395-0j 0.00127581-0j 0.000184147-0j 0.0234311-0j 0.00116465-0j 0.00338199-0j 0.000168102-0j -0.00705606-0j -0.00470404-0j -0.00101846-0j -0.0366959-0j 0.000832064-0j -0.00067897-0j -0.00529659-0j 0.000120098-0j 0.0216112-0j -0.00291048-0j 0.00311931-0j 0.01542-0j -0.0262168-0j -0.000420091-0j 0.00222569-0j -0.00378407-0j 0.0383254-0j 0.00553179-0j -0.0589191-0j -0.00850424-0j 
