-0.291467-0j -0.360672-0j -0.210392-0j 0.107792-0j -0.0423722-0j -0.0259476-0j -0.0370757-0j -0.0152929-0j -0.0228981-0j -0.00330506-0j 0.0767687-0j 0.0110806-0j -0.0211197-0j -0.00304836-0j -0.0213385-0j -0.0184797-0j -0.00307995-0j -0.00266732-0j -0.015245-0j -0.00220042-0j -0.00487084-0j -0.000703046-0j -0.0170137-0j -0.00300763-0j -0.000250636-0j -0.0188307-0j -0.00332884-0j 0.0441834-0j -0.000277403-0j -0.00992468-0j 0.0446413-0j 0.0078106-0j -0.00175445-0j -0.0173682-0j 0.000650883-0j 0.00789154-0j -0.00614058-0j -0.000146204-0j -0.0101314-0j 0.000657628-0j -0.010746-0j -0.00307029-0j -0.00108551-0j -0.000255857-0j -0.001791-0j -0.00626851-0j -9.04593e-05-0j -0.00189964-0j -0.00014925-0j -0.00163529-0j -0.00110813-0j -0.000158304-0j -0.000289082-0j -9.23439e-05-0j -2.40902e-05-0j 
0.00797908-0j -0.0386391-0j -0.0733559-0j -0.0468802-0j 0.214036-0j -0.0334929-0j -0.501838-0j 0.367533-0j 0.000626851-0j -0.00862275-0j -0.00277107-0j 0.0381179-0j 0.000578164-0j -0.00795303-0j 0.00612559-0j -0.00197975-0j -0.0842616-0j 0.0272328-0j -0.00531537-0j 0.0731164-0j 0.00663243-0j -0.0912335-0j 0.000465762-0j -0.00388222-0j -0.000984277-0j -0.00201736-0j 0.0168151-0j 0.000407541-0j 0.00426321-0j 0.000271694-0j 0.00431786-0j -0.00339694-0j -0.00226463-0j -0.00186067-0j -0.000861242-0j -0.0359902-0j 0.000168102-0j -0.000574162-0j -0.00353246-0j -0.00912477-0j 0.00308483-0j 0.0155091-0j -0.00140117-0j 0.00393209-0j 0.0294438-0j -0.00319505-0j -0.000355244-0j -0.0257127-0j 0.00746502-0j 0.00632204-0j 0.0266314-0j -0.00651905-0j -0.0526955-0j 0.00675198-0j -0.0133601-0j 
0.0241368-0j 0.0298677-0j 0.0174228-0j 0.00300763-0j 0.0035089-0j 0.00214876-0j 0.00307029-0j 0.00126643-0j -0.181289-0j 0.000273697-0j -0.204788-0j 0.000309173-0j -0.167208-0j 0.000252439-0j -0.168941-0j -0.146307-0j 0.000255055-0j 0.000220884-0j -0.120697-0j 0.00018222-0j -0.0385634-0j 5.82202e-05-0j -0.0070297-0j 0.118807-0j -0.000103557-0j 0.0015594-0j -0.026355-0j 0.00123281-0j 2.29721e-05-0j 0.000821876-0j 0.00124559-0j -0.0208355-0j -0.0138903-0j 0.00143828-0j 1.81611e-05-0j -0.0210514-0j 0.00050851-0j 1.21074e-05-0j 0.000838998-0j 1.83493e-05-0j 0.000889892-0j -0.0243081-0j -0.0085942-0j 2.11879e-05-0j -0.0141797-0j 0.000519104-0j 7.49106e-06-0j -0.0150398-0j 1.23596e-05-0j 0.000135421-0j -0.00877324-0j 1.31094e-05-0j -0.00228872-0j 7.64712e-06-0j 1.99494e-06-0j 
-0.00348384-0j -0.00431103-0j -0.00251477-0j 0.041372-0j 0.0482673-0j 0.0295576-0j 0.0422339-0j 0.0174206-0j -0.000273697-0j -0.175616-0j -0.000309173-0j -0.198379-0j -0.000252439-0j -0.161976-0j -0.000255055-0j -0.000220884-0j -0.163654-0j -0.141729-0j -0.00018222-0j -0.11692-0j -5.82202e-05-0j -0.0373566-0j 0.00101465-0j -0.017094-0j 0.203629-0j -0.00022508-0j 0.00379196-0j -0.000177941-0j -0.0451711-0j -0.000118628-0j -0.000179785-0j 0.00299781-0j 0.00199854-0j -0.000207598-0j -0.0357109-0j 0.00302888-0j -7.33971e-05-0j -0.0238073-0j -0.000121099-0j -0.036081-0j -0.000128445-0j 0.00349745-0j 0.00123653-0j -0.0416627-0j 0.00204018-0j -7.49262e-05-0j -0.01473-0j 0.00216393-0j -0.0243032-0j -1.95463e-05-0j 0.0012623-0j -0.0257775-0j 0.000329301-0j -0.0150369-0j -0.00392274-0j 
-0.0267145-0j -0.000572749-0j 0.0375648-0j -0.00332884-0j -6.72874e-05-0j -0.00237824-0j 0.00328044-0j 0.0041079-0j -0.797685-0j 0.00120429-0j 0.00392705-0j -5.92877e-06-0j 0.185066-0j -0.000279399-0j -0.180504-0j 0.00280562-0j 0.000272512-0j -4.23572e-06-0j -0.260231-0j 0.000392878-0j -0.16703-0j 0.00025217-0j -0.0015594-0j 0.026355-0j -2.29721e-05-0j 0.000118881-0j -0.00200918-0j -0.00136448-0j 1.75128e-06-0j -0.00090965-0j 0.00133084-0j 0.0230607-0j 0.0153738-0j -2.75808e-05-0j -2.01006e-05-0j -0.0224923-0j -0.000562817-0j -1.34004e-05-0j 0.00180894-0j 1.96052e-05-0j 0.000950801-0j 0.000466136-0j 0.00951203-0j -4.06304e-07-0j -0.0305724-0j 0.00168381-0j -8.29108e-06-0j -0.0160692-0j 2.66481e-05-0j 0.000733837-0j -0.0284577-0j 1.40066e-05-0j -0.0124024-0j 2.48049e-05-0j 1.08104e-05-0j 
0.00385591-0j 8.26692e-05-0j -0.00542201-0j -0.0457904-0j -0.000925583-0j -0.0327142-0j 0.0451246-0j 0.0565069-0j -0.00120429-0j -0.772723-0j 5.92877e-06-0j 0.00380416-0j 0.000279399-0j 0.179274-0j -0.000272512-0j 4.23572e-06-0j -0.174856-0j 0.00271782-0j -0.000392878-0j -0.252088-0j -0.00025217-0j -0.161803-0j 0.00022508-0j -0.00379196-0j 0.0451711-0j -1.7159e-05-0j 0.000289081-0j 0.000196945-0j -0.00344362-0j 0.000131297-0j -0.000192091-0j -0.00331797-0j -0.00221198-0j 3.98095e-06-0j 0.0395247-0j 0.00323619-0j 8.12357e-05-0j 0.0263498-0j -0.000261097-0j -0.0385505-0j -0.000137236-0j -6.70677e-05-0j -0.00136859-0j 0.000798932-0j 0.00439876-0j -0.000243037-0j 0.0163031-0j 0.00231204-0j -0.0523994-0j -0.00010592-0j 0.00409449-0j -0.0275418-0j 0.00178446-0j -0.0487749-0j -0.021257-0j 
-0.0211197-0j 0.0253903-0j -0.015245-0j 0.0078106-0j -0.00307029-0j 0.00553344-0j 0.00261003-0j -0.00110813-0j 0.158628-0j -0.000239485-0j -0.531819-0j 0.000802901-0j -0.142142-0j 0.000214596-0j 0.147823-0j -0.376768-0j -0.000223173-0j 0.000568817-0j -0.102604-0j 0.000154904-0j 0.033743-0j -5.09427e-05-0j -0.00123281-0j 0.0208355-0j -1.81611e-05-0j -0.00136448-0j 0.0230607-0j -0.00311039-0j -2.01006e-05-0j -0.000719142-0j 0.00323471-0j 0.0525679-0j 0.012154-0j 0.00122267-0j -4.58204e-05-0j -0.054669-0j 0.00218673-0j -1.0594e-05-0j -0.000734124-0j 4.76517e-05-0j 0.00229163-0j -0.0206641-0j -0.0369574-0j 1.80116e-05-0j 0.0124072-0j 0.000441285-0j 3.22136e-05-0j -0.0387303-0j -1.08147e-05-0j -0.000118493-0j -0.00745805-0j 3.3759e-05-0j 0.00200263-0j 6.50075e-06-0j -1.74557e-06-0j 
0.0694584-0j -0.0174228-0j -0.0101633-0j -0.00175445-0j 0.0100976-0j -0.00125344-0j -0.001791-0j -0.000738751-0j 0.105752-0j -0.000159656-0j 0.119459-0j -0.000180351-0j -0.481176-0j 0.000726445-0j -0.486163-0j 0.0853459-0j 0.000733973-0j -0.000128849-0j 0.0704068-0j -0.000106295-0j 0.0224953-0j -3.39618e-05-0j -0.000821876-0j 0.0138903-0j -1.21074e-05-0j -0.00090965-0j 0.0153738-0j -0.000719142-0j -1.34004e-05-0j -0.00322897-0j -0.000726594-0j 0.012154-0j 0.0545721-0j 0.00413895-0j -1.0594e-05-0j 0.01228-0j -0.000296631-0j -4.75673e-05-0j 0.00241439-0j -1.07037e-05-0j -0.000519104-0j -0.0699514-0j 0.00501328-0j 6.09725e-05-0j -0.040805-0j -0.000302811-0j -4.36978e-06-0j 0.00877324-0j 3.55673e-05-0j -7.89956e-05-0j 0.00511773-0j -7.64712e-06-0j 0.00133508-0j -4.46082e-06-0j -1.16371e-06-0j 
0.00304836-0j -0.00366477-0j 0.00220042-0j 0.10744-0j -0.0422339-0j 0.0761161-0j 0.0359026-0j -0.015243-0j 0.000239485-0j 0.153664-0j -0.000802901-0j -0.515176-0j -0.000214596-0j -0.137694-0j 0.000223173-0j -0.000568817-0j 0.143198-0j -0.364978-0j -0.000154904-0j -0.099393-0j 5.09427e-05-0j 0.0326871-0j 0.000177941-0j -0.00299781-0j 0.0357109-0j 0.000196945-0j -0.00331797-0j 0.000448946-0j 0.0395247-0j 0.000103799-0j -0.00046689-0j -0.00756348-0j -0.00174872-0j -0.000176477-0j 0.0900986-0j 0.00786578-0j -0.000315627-0j 0.0208314-0j 0.000105962-0j -0.0936997-0j -0.000330769-0j 0.00297315-0j 0.00531743-0j -0.0354171-0j -0.00178516-0j -6.36941e-05-0j -0.063343-0j 0.00557252-0j 0.0212653-0j 1.7103e-05-0j 0.00107307-0j -0.0663817-0j -0.000288138-0j -0.0127827-0j 0.00343239-0j 
0.0213385-0j -0.0254901-0j 0.0138295-0j -0.00789154-0j -0.00299461-0j 0.00189964-0j -0.00271271-0j 0.00529171-0j -0.160272-0j 0.000241966-0j -0.51871-0j 0.000783111-0j -0.147823-0j 0.000223173-0j 0.149266-0j 0.124864-0j -0.00022535-0j -0.00018851-0j -0.0958043-0j 0.000144638-0j -0.357503-0j 0.000539732-0j 0.00124559-0j -0.0210514-0j 1.83493e-05-0j -0.00133084-0j 0.0224923-0j -0.00323471-0j -1.96052e-05-0j 0.000726594-0j 0.00326627-0j 0.054669-0j -0.01228-0j -0.00122748-0j -4.76517e-05-0j -0.0552023-0j 0.000449557-0j 1.07037e-05-0j 0.000665961-0j 4.81166e-05-0j -0.000786253-0j 0.0207453-0j -0.00759785-0j -1.80825e-05-0j -0.0112552-0j 0.00216905-0j 6.6226e-06-0j 0.0132883-0j 9.81053e-06-0j 0.00217622-0j -0.0366585-0j -1.15826e-05-0j -0.0367797-0j 3.19531e-05-0j 3.20587e-05-0j 
-0.0100255-0j 0.00251477-0j 0.00146695-0j -0.0241337-0j 0.138899-0j -0.0172419-0j -0.0246364-0j -0.010162-0j 0.000159656-0j 0.102443-0j 0.000180351-0j 0.115721-0j -0.000726445-0j -0.466119-0j -0.000733973-0j 0.000128849-0j -0.470949-0j 0.0826752-0j 0.000106295-0j 0.0682036-0j 3.39618e-05-0j 0.0217914-0j 0.000118628-0j -0.00199854-0j 0.0238073-0j 0.000131297-0j -0.00221198-0j 0.000103799-0j 0.0263498-0j 0.000466062-0j 0.000104875-0j -0.00174872-0j -0.00785184-0j -0.000597406-0j 0.0208314-0j -0.00176685-0j 4.2815e-05-0j 0.0935336-0j -0.000348487-0j 0.0210472-0j 7.49262e-05-0j 0.0100646-0j -0.000721312-0j -0.119893-0j 0.00587103-0j 4.37069e-05-0j 0.00859249-0j -0.0012623-0j -0.0699376-0j 1.1402e-05-0j -0.000736339-0j 0.0150369-0j -0.000192092-0j 0.00877151-0j 0.00228826-0j 
