-0.291467-0j -0.360672-0j -0.210392-0j 0.107792-0j -0.0423722-0j -0.0259476-0j -0.0370757-0j -0.0152929-0j -0.0228981-0j -0.00330506-0j 0.0767687-0j 0.0110806-0j -0.0211197-0j -0.00304836-0j -0.0213385-0j -0.0184797-0j -0.00307995-0j -0.00266732-0j -0.015245-0j -0.00220042-0j -0.00487084-0j -0.000703046-0j -0.0170137-0j -0.00300763-0j -0.000250636-0j -0.0188307-0j -0.00332884-0j 0.0441834-0j -0.000277403-0j -0.00992468-0j 0.0446413-0j 0.0078106-0j -0.00175445-0j -0.0173682-0j 0.000650883-0j 0.00789154-0j -0.00614058-0j -0.000146204-0j -0.0101314-0j 0.000657628-0j -0.010746-0j -0.00307029-0j -0.00108551-0j -0.000255857-0j -0.001791-0j -0.00626851-0j -9.04593e-05-0j -0.00189964-0j -0.00014925-0j -0.00163529-0j -0.00110813-0j -0.000158304-0j -0.000289082-0j -9.23439e-05-0j -2.40902e-05-0j 
-0.00307995-0j 0.00367918-0j -0.00199611-0j -0.108553-0j -0.0411929-0j 0.0261309-0j -0.0373152-0j 0.072791-0j -0.000241966-0j -0.155256-0j -0.000783111-0j -0.502478-0j -0.000223173-0j -0.143198-0j 0.00022535-0j 0.00018851-0j 0.144595-0j 0.120956-0j -0.000144638-0j -0.0928063-0j -0.000539732-0j -0.346316-0j -0.000179785-0j 0.00302888-0j -0.036081-0j 0.000192091-0j -0.00323619-0j 0.00046689-0j 0.0385505-0j -0.000104875-0j -0.000471445-0j -0.00786578-0j 0.00176685-0j 0.000177171-0j 0.0936997-0j 0.00794252-0j -6.4888e-05-0j -0.0210472-0j -9.61231e-05-0j -0.0946138-0j 0.000113486-0j -0.00298484-0j 0.00109318-0j 0.0355563-0j 0.0016194-0j -0.000313075-0j -0.0130223-0j -0.00191192-0j -0.0192909-0j -0.00031411-0j 0.00527443-0j 0.0227754-0j 0.00529187-0j -0.0628307-0j -0.0630384-0j 
-0.0484563-0j -0.000513226-0j -0.0346472-0j 0.00307029-0j -0.00012205-0j -0.00645567-0j 0.00293951-0j -0.00378885-0j -0.185066-0j 0.000279399-0j -0.00362204-0j 5.46829e-06-0j -0.326127-0j 0.000492363-0j -0.327409-0j 0.00761579-0j 0.000494299-0j -1.14978e-05-0j -0.233187-0j 0.000352048-0j 0.154057-0j -0.000232584-0j 0.00143828-0j -0.0243081-0j 2.11879e-05-0j 2.75808e-05-0j -0.000466136-0j -0.00122267-0j 4.06304e-07-0j -0.00413895-0j -0.00122748-0j 0.0206641-0j 0.0699514-0j 4.86035e-05-0j -1.80116e-05-0j 0.0207453-0j -0.00255119-0j -6.09725e-05-0j 0.00328116-0j -1.80825e-05-0j 0.00258093-0j -0.000821436-0j 0.043117-0j 7.15998e-07-0j -0.055454-0j 0.00150882-0j -3.75825e-05-0j -0.0436196-0j 4.8336e-05-0j -0.00067684-0j -0.0255002-0j 3.80207e-05-0j 0.0114391-0j 2.2227e-05-0j -9.9708e-06-0j 
0.00871142-0j -0.0529785-0j 0.00628823-0j 0.00108551-0j 0.00126643-0j 0.00968823-0j -0.00544599-0j 0.000457079-0j -0.0654306-0j 9.87824e-05-0j -0.0739117-0j 0.000111587-0j 0.296589-0j -0.000447769-0j -0.0609741-0j -0.659665-0j 9.20542e-05-0j 0.000995914-0j 0.21409-0j -0.000323217-0j -0.0139183-0j 2.10128e-05-0j 0.00050851-0j -0.0085942-0j 7.49106e-06-0j 0.000562817-0j -0.00951203-0j -0.00218673-0j 8.29108e-06-0j 0.000296631-0j 0.000449557-0j 0.0369574-0j -0.00501328-0j -0.00255119-0j -3.22136e-05-0j -0.00759785-0j 0.00132909-0j 4.36978e-06-0j 0.000302811-0j 6.6226e-06-0j 0.00401231-0j 0.043117-0j -0.0224626-0j -3.75825e-05-0j -0.00511773-0j -0.000920772-0j 1.95793e-05-0j -0.0678111-0j 4.46082e-06-0j 4.8876e-05-0j 0.0155617-0j 5.91069e-05-0j -0.000826041-0j -1.35642e-05-0j 7.20012e-07-0j 
0.00699407-0j 7.40778e-05-0j 0.00500089-0j 0.0422339-0j -0.00167888-0j -0.0888021-0j 0.040435-0j -0.0521181-0j -0.000279399-0j -0.179274-0j -5.46829e-06-0j -0.00350869-0j -0.000492363-0j -0.315922-0j -0.000494299-0j 1.14978e-05-0j -0.317164-0j 0.00737747-0j -0.000352048-0j -0.22589-0j 0.000232584-0j 0.149236-0j -0.000207598-0j 0.00349745-0j -0.0416627-0j -3.98095e-06-0j 6.70677e-05-0j 0.000176477-0j -0.000798932-0j 0.000597406-0j 0.000177171-0j -0.00297315-0j -0.0100646-0j -7.01531e-06-0j 0.0354171-0j -0.00298484-0j 0.000368232-0j 0.119893-0j -0.000473594-0j 0.0355563-0j -0.000372525-0j 0.000118188-0j -0.00620367-0j -0.0014079-0j 0.00797873-0j -0.000217779-0j 0.0739001-0j 0.006276-0j -0.0950451-0j 9.76935e-05-0j 0.00366897-0j -0.0747617-0j -0.00164586-0j -0.0437059-0j 0.019606-0j 
0.0282662-0j 0.0346472-0j -0.0398827-0j -0.001791-0j -0.00800486-0j -0.00127955-0j -0.00164155-0j -0.00090288-0j 0.107955-0j -0.000162983-0j -0.237558-0j 0.000358647-0j -0.195815-0j 0.000295628-0j -0.177634-0j -0.169719-0j 0.000268179-0j 0.00025623-0j 0.276289-0j -0.000417121-0j -0.292475-0j 0.000441558-0j -0.000838998-0j 0.0141797-0j -1.23596e-05-0j 0.00180894-0j -0.0305724-0j -0.000734124-0j 2.66481e-05-0j 0.00241439-0j -0.000665961-0j 0.0124072-0j -0.040805-0j -0.00328116-0j -1.08147e-05-0j 0.0112552-0j -0.000302811-0j 3.55673e-05-0j 0.00377698-0j -9.81053e-06-0j -0.000475785-0j 0.055454-0j 0.00511773-0j -4.8336e-05-0j -0.0638337-0j -0.000370086-0j -4.46082e-06-0j 0.00804113-0j 5.56401e-05-0j 0.00351999-0j 0.00625473-0j -7.00898e-06-0j -0.0594904-0j -5.45188e-06-0j 5.18543e-05-0j 
-0.00125738-0j 0.00764679-0j -0.000907628-0j 0.0149319-0j 0.0174206-0j 0.133268-0j -0.0749133-0j 0.00628742-0j -9.87824e-05-0j -0.0633831-0j -0.000111587-0j -0.0715988-0j 0.000447769-0j 0.287308-0j -9.20542e-05-0j -0.000995914-0j -0.059066-0j -0.639022-0j 0.000323217-0j 0.20739-0j -2.10128e-05-0j -0.0134827-0j -7.33971e-05-0j 0.00123653-0j -0.01473-0j -8.12357e-05-0j 0.00136859-0j 0.000315627-0j -0.0163031-0j -4.2815e-05-0j -6.4888e-05-0j -0.00531743-0j 0.000721312-0j 0.000368232-0j 0.063343-0j 0.00109318-0j -0.000191837-0j -0.00859249-0j -4.37069e-05-0j -0.0130223-0j -0.000579127-0j -0.00620367-0j 0.00323192-0j 0.0739001-0j 0.000736339-0j 0.000132902-0j -0.0384996-0j 0.00975667-0j -0.00877151-0j -7.05465e-06-0j -0.00223902-0j -0.116225-0j 0.000118851-0j 0.026672-0j -0.00141579-0j 
-0.015245-0j -0.0535962-0j -0.00988026-0j -0.00189964-0j 0.00213946-0j -0.00120483-0j -0.00570383-0j -0.00378058-0j 0.114504-0j -0.000172869-0j -0.124864-0j 0.00018851-0j -0.310818-0j 0.00046925-0j -0.106641-0j -0.0791933-0j 0.000160998-0j 0.00011956-0j -0.201441-0j 0.000304121-0j 0.255413-0j -0.000385603-0j -0.000889892-0j 0.0150398-0j -1.31094e-05-0j 0.000950801-0j -0.0160692-0j 0.00229163-0j 1.40066e-05-0j -0.000519104-0j 0.000786253-0j -0.0387303-0j 0.00877324-0j -0.00258093-0j 3.3759e-05-0j -0.0132883-0j -0.00401231-0j -7.64712e-06-0j -0.000475785-0j 1.15826e-05-0j 0.000498672-0j 0.0436196-0j 0.0678111-0j -3.80207e-05-0j 0.00804113-0j 0.0045607-0j -5.91069e-05-0j -0.00842794-0j -7.00898e-06-0j -0.00155477-0j -0.0770792-0j 7.34614e-06-0j 0.0262767-0j 6.71854e-05-0j -2.29039e-05-0j 
-0.00407987-0j -0.00500089-0j 0.00575658-0j -0.0246364-0j -0.110112-0j -0.0176011-0j -0.0225806-0j -0.0124197-0j 0.000162983-0j 0.104577-0j -0.000358647-0j -0.230124-0j -0.000295628-0j -0.189688-0j -0.000268179-0j -0.00025623-0j -0.172075-0j -0.164408-0j 0.000417121-0j 0.267643-0j -0.000441558-0j -0.283323-0j 0.000121099-0j -0.00204018-0j 0.0243032-0j -0.000261097-0j 0.00439876-0j 0.000105962-0j -0.0523994-0j -0.000348487-0j 9.61231e-05-0j -0.00178516-0j 0.00587103-0j 0.000473594-0j 0.0212653-0j -0.0016194-0j 4.37069e-05-0j -0.0699376-0j -0.000545159-0j 0.0192909-0j 6.86737e-05-0j -0.00797873-0j -0.000736339-0j 0.0950451-0j 0.0091844-0j 5.34173e-05-0j 0.00877151-0j -0.00115696-0j -0.109408-0j -0.000508066-0j -0.000899932-0j 0.0137821-0j 0.00855949-0j 0.0107203-0j -0.101963-0j 
0.00220042-0j 0.00773594-0j 0.00142609-0j -0.0261309-0j 0.0294296-0j -0.0165732-0j -0.0784599-0j -0.0520044-0j 0.000172869-0j 0.11092-0j -0.00018851-0j -0.120956-0j -0.00046925-0j -0.301091-0j -0.000160998-0j -0.00011956-0j -0.103303-0j -0.0767152-0j -0.000304121-0j -0.195137-0j 0.000385603-0j 0.24742-0j 0.000128445-0j -0.00216393-0j 0.0257775-0j -0.000137236-0j 0.00231204-0j -0.000330769-0j -0.0275418-0j 7.49262e-05-0j -0.000113486-0j 0.00557252-0j -0.0012623-0j 0.000372525-0j -0.0663817-0j 0.00191192-0j 0.000579127-0j 0.0150369-0j 6.86737e-05-0j -0.0227754-0j -7.19772e-05-0j -0.006276-0j -0.00975667-0j 0.0747617-0j -0.00115696-0j -0.00065828-0j 0.116225-0j 0.00121261-0j 0.0137821-0j 0.000224411-0j 0.0110902-0j -0.014445-0j -0.00378069-0j -0.13211-0j 0.0450368-0j 
0.0088929-0j 0.0313325-0j 0.00768529-0j 0.00110813-0j -0.00378885-0j -0.00232998-0j -0.00519434-0j -0.00649171-0j -0.0667938-0j 0.00010084-0j 0.221126-0j -0.000333839-0j 0.0598522-0j -9.03604e-05-0j -0.294191-0j -0.464945-0j 0.000444148-0j 0.00070194-0j 0.0517246-0j -7.80899e-05-0j 0.264539-0j -0.000399381-0j 0.000519104-0j -0.00877324-0j 7.64712e-06-0j -0.00168381-0j 0.0284577-0j -0.000441285-0j -2.48049e-05-0j 0.000302811-0j 0.00216905-0j 0.00745805-0j -0.00511773-0j 0.00150882-0j -6.50075e-06-0j -0.0366585-0j -0.000920772-0j 4.46082e-06-0j 0.000370086-0j 3.19531e-05-0j -0.0045607-0j -0.0255002-0j 0.0155617-0j 2.2227e-05-0j -0.00625473-0j 0.00258517-0j -1.35642e-05-0j 0.0770792-0j 5.45188e-06-0j 0.00156886-0j -0.0436913-0j -6.71854e-05-0j -0.0265149-0j 3.80832e-05-0j 2.31115e-05-0j 
-0.00128358-0j -0.00452245-0j -0.00110928-0j 0.015243-0j -0.0521181-0j -0.0320504-0j -0.0714517-0j -0.0892978-0j -0.00010084-0j -0.0647036-0j 0.000333839-0j 0.214206-0j 9.03604e-05-0j 0.0579792-0j -0.000444148-0j -0.00070194-0j -0.284985-0j -0.450395-0j 7.80899e-05-0j 0.0501059-0j 0.000399381-0j 0.256261-0j -7.49262e-05-0j 0.0012623-0j -0.0150369-0j 0.000243037-0j -0.00409449-0j 6.36941e-05-0j 0.0487749-0j -4.37069e-05-0j -0.000313075-0j -0.00107307-0j 0.000736339-0j -0.000217779-0j 0.0127827-0j 0.00527443-0j 0.000132902-0j -0.00877151-0j -5.34173e-05-0j -0.0628307-0j 0.00065828-0j 0.00366897-0j -0.00223902-0j -0.0437059-0j 0.000899932-0j -0.000373137-0j 0.026672-0j -0.0110902-0j -0.0107203-0j -0.000226446-0j 0.00628631-0j 0.13211-0j 0.00381497-0j -0.0748846-0j -0.0454452-0j 
-0.00231993-0j 0.0140554-0j 0.0730968-0j -0.000289082-0j 0.00165125-0j -0.00020653-0j -0.00536422-0j -0.00382747-0j 0.0174248-0j -2.63067e-05-0j -0.0963708-0j 0.000145494-0j 0.0160714-0j -2.42635e-05-0j 0.295164-0j -0.0688506-0j -0.000445616-0j 0.000103946-0j -0.506381-0j 0.000764497-0j 0.523443-0j -0.000790256-0j -0.000135421-0j 0.00228872-0j -1.99494e-06-0j 0.000733837-0j -0.0124024-0j -0.000118493-0j 1.08104e-05-0j -7.89956e-05-0j -0.00217622-0j 0.00200263-0j 0.00133508-0j 0.00067684-0j -1.74557e-06-0j 0.0367797-0j -4.8876e-05-0j -1.16371e-06-0j 0.00351999-0j -3.20587e-05-0j -0.00155477-0j -0.0114391-0j 0.000826041-0j 9.9708e-06-0j -0.0594904-0j -0.00156886-0j -7.20012e-07-0j 0.0262767-0j 5.18543e-05-0j 0.00197908-0j 0.0265149-0j -2.29039e-05-0j -0.0334479-0j -2.31115e-05-0j 2.91546e-05-0j 
0.000334853-0j -0.00202873-0j -0.0105506-0j -0.00397652-0j 0.0227141-0j -0.00284096-0j -0.0737885-0j -0.0526494-0j 2.63067e-05-0j 0.0168795-0j -0.000145494-0j -0.0933551-0j 2.42635e-05-0j 0.0155685-0j 0.000445616-0j -0.000103946-0j 0.285927-0j -0.0666961-0j -0.000764497-0j -0.490535-0j 0.000790256-0j 0.507063-0j 1.95463e-05-0j -0.000329301-0j 0.00392274-0j -0.00010592-0j 0.00178446-0j 1.7103e-05-0j -0.021257-0j 1.1402e-05-0j 0.00031411-0j -0.000288138-0j -0.000192092-0j -9.76935e-05-0j 0.00343239-0j -0.00529187-0j 7.05465e-06-0j 0.00228826-0j -0.000508066-0j 0.0630384-0j 0.000224411-0j 0.00164586-0j -0.000118851-0j -0.019606-0j 0.00855949-0j 0.000226446-0j 0.00141579-0j -0.00378069-0j -0.101963-0j -0.000285655-0j -0.00381497-0j 0.0450368-0j 0.00481249-0j 0.0454452-0j -0.0573279-0j 
0.0181884-0j 0.022507-0j 0.0131291-0j 0.00226642-0j 0.00264416-0j 0.00161921-0j 0.00231364-0j 0.000954328-0j 0.00142892-0j 0.000206246-0j 0.00161413-0j 0.00023298-0j 0.00131793-0j 0.000190227-0j 0.00133159-0j 0.00115319-0j 0.000192199-0j 0.000166449-0j 0.000951335-0j 0.000137313-0j 0.000303956-0j 4.38723e-05-0j -0.153272-0j 0.000187686-0j 1.56405e-05-0j -0.169641-0j 0.00020773-0j -0.134113-0j 1.73108e-05-0j -0.0894089-0j -0.135503-0j 0.000164225-0j 0.000109483-0j -0.156466-0j 1.36854e-05-0j 0.000165927-0j -0.0553189-0j 9.12361e-06-0j -0.0912715-0j 1.38272e-05-0j -0.0968081-0j 0.000191596-0j 6.77393e-05-0j 1.59663e-05-0j 0.000111764-0j -0.0564714-0j 5.64495e-06-0j 0.000118544-0j 9.31368e-06-0j -0.014732-0j 6.91506e-05-0j 9.87865e-06-0j 1.80396e-05-0j 5.76255e-06-0j 1.5033e-06-0j 
-0.00321529-0j -0.00397872-0j -0.00232092-0j 0.0188911-0j 0.0220396-0j 0.0134965-0j 0.0192847-0j 0.00795452-0j 0.0241498-0j 0.00347467-0j 0.0272801-0j 0.00392506-0j 0.0222741-0j 0.0032048-0j 0.0225049-0j 0.0194898-0j 0.00323801-0j 0.0028042-0j 0.0160783-0j 0.00231334-0j 0.00513709-0j 0.000739124-0j -0.000187686-0j -0.149564-0j 0.000396629-0j -0.00020773-0j -0.165538-0j -0.000164225-0j 0.000438988-0j -0.000109483-0j -0.000165927-0j -0.130869-0j -0.0872459-0j -0.000191596-0j 0.000347051-0j -0.132225-0j -6.77393e-05-0j 0.000231367-0j -0.000111764-0j 0.000350647-0j -0.000118544-0j -0.15268-0j -0.0539807-0j 0.000404892-0j -0.0890635-0j -6.91506e-05-0j 0.000143151-0j -0.0944662-0j 0.000236187-0j -1.80396e-05-0j -0.0551053-0j 0.000250514-0j -0.0143756-0j 0.000146133-0j 3.81225e-05-0j 
0.000267941-0j 0.00033156-0j 0.00019341-0j -0.00478955-0j -0.00558781-0j -0.00342182-0j -0.00488933-0j -0.00201675-0j 2.10499e-05-0j 0.0413914-0j 2.37784e-05-0j 0.0467565-0j 1.9415e-05-0j 0.0381765-0j 1.96162e-05-0j 1.69881e-05-0j 0.0385722-0j 0.0334045-0j 1.40145e-05-0j 0.0275573-0j 4.4777e-06-0j 0.00880469-0j 1.56405e-05-0j -0.000396629-0j -0.144818-0j 1.73108e-05-0j -0.000438988-0j 1.36854e-05-0j -0.160284-0j 9.12361e-06-0j 1.38272e-05-0j -0.000347051-0j -0.000231367-0j 1.59663e-05-0j -0.126716-0j -0.000350647-0j 5.64495e-06-0j -0.0844772-0j 9.31368e-06-0j -0.128029-0j 9.87865e-06-0j -0.000404892-0j -0.000143151-0j -0.147835-0j -0.000236187-0j 5.76255e-06-0j -0.0522676-0j -0.000250514-0j -0.0862371-0j 1.5033e-06-0j -0.000146133-0j -0.0914683-0j -3.81225e-05-0j -0.0533565-0j -0.0139194-0j 
-0.0198494-0j -0.000425563-0j 0.0279113-0j -0.00247339-0j -4.99958e-05-0j -0.00176707-0j 0.00243742-0j 0.00305225-0j -0.0015594-0j -0.00022508-0j -3.052e-05-0j -4.40518e-06-0j -0.00143828-0j -0.000207598-0j 0.00140283-0j -2.18045e-05-0j 0.000202481-0j -3.14721e-06-0j 0.00202245-0j 0.000291916-0j 0.00129811-0j 0.000187367-0j -0.834569-0j 0.00102195-0j 8.51625e-05-0j 0.00320758-0j -3.92776e-06-0j 0.14636-0j -3.27313e-07-0j 0.0975734-0j -0.142753-0j -0.000179221-0j -0.000119481-0j 0.00295845-0j -1.49351e-05-0j 0.000174804-0j 0.0603705-0j -9.95675e-06-0j -0.194035-0j 1.4567e-05-0j -0.101987-0j -3.62269e-06-0j -7.39251e-05-0j -3.01891e-07-0j 0.000237601-0j -0.180613-0j -6.16042e-06-0j 0.000124886-0j 1.98001e-05-0j -0.0787148-0j 0.000221166-0j 1.04072e-05-0j 9.63882e-05-0j 1.84305e-05-0j 8.03235e-06-0j 
0.0035089-0j 7.52296e-05-0j -0.00493407-0j -0.0206162-0j -0.000416725-0j -0.0147289-0j 0.0203164-0j 0.0254411-0j -0.026355-0j -0.00379196-0j -0.000515811-0j -7.42149e-05-0j -0.0243081-0j -0.00349745-0j 0.0237089-0j -0.000368513-0j 0.00341124-0j -5.30217e-05-0j 0.034181-0j 0.00491796-0j 0.0219391-0j 0.0031566-0j -0.00102195-0j -0.814379-0j 0.00215965-0j 3.92776e-06-0j 0.00312998-0j 0.000179221-0j -8.30038e-06-0j 0.000119481-0j -0.000174804-0j 0.142819-0j 0.0952129-0j 3.62269e-06-0j -0.000378742-0j -0.139299-0j 7.39251e-05-0j -0.000252495-0j -0.000237601-0j 0.000369407-0j -0.000124886-0j 0.00288688-0j 0.05891-0j -7.6557e-06-0j -0.189341-0j -0.000221166-0j -0.000156223-0j -0.0995202-0j 0.000502113-0j -9.63882e-05-0j -0.176244-0j 0.000263917-0j -0.0768106-0j 0.000467381-0j 0.000203694-0j 
-0.000292409-0j -6.26913e-06-0j 0.000411172-0j 0.00522692-0j 0.000105654-0j 0.00373429-0j -0.00515092-0j -0.0064502-0j -2.29721e-05-0j -0.0451711-0j -4.49602e-07-0j -0.000884072-0j -2.11879e-05-0j -0.0416627-0j 2.06657e-05-0j -3.21211e-07-0j 0.0406358-0j -0.000631611-0j 2.97935e-05-0j 0.0585843-0j 1.9123e-05-0j 0.0376024-0j 8.51625e-05-0j -0.00215965-0j -0.788535-0j -3.27313e-07-0j 8.30038e-06-0j -1.49351e-05-0j 0.00303065-0j -9.95675e-06-0j 1.4567e-05-0j 0.000378742-0j 0.000252495-0j -3.01891e-07-0j 0.138287-0j -0.000369407-0j -6.16042e-06-0j 0.0921914-0j 1.98001e-05-0j -0.134879-0j 1.04072e-05-0j 7.6557e-06-0j 0.000156223-0j 0.00279526-0j -0.000502113-0j 1.84305e-05-0j 0.0570405-0j -0.000263917-0j -0.183332-0j 8.03235e-06-0j -0.000467381-0j -0.0963619-0j -0.000203694-0j -0.170651-0j -0.074373-0j 
-0.0153752-0j 0.0184843-0j -0.0110984-0j -0.00191588-0j -0.00223519-0j 0.00402837-0j 0.00190011-0j -0.000806723-0j 0.00480204-0j 0.000693114-0j -0.00136448-0j -0.000196945-0j 0.00108237-0j 0.000156227-0j -0.00112563-0j 0.00286898-0j -0.000162471-0j 0.000414102-0j 0.000781299-0j 0.000112771-0j -0.000256943-0j -3.70866e-05-0j 0.129566-0j -0.000158656-0j -1.32214e-05-0j -0.570099-0j 0.0006981-0j -0.110143-0j 5.8175e-05-0j 0.07558-0j 0.114545-0j 0.000134872-0j -9.25496e-05-0j -0.1285-0j 1.12394e-05-0j -0.000140263-0j -0.22982-0j -7.71246e-06-0j 0.0771546-0j -1.16886e-05-0j -0.240845-0j 0.000157351-0j 0.00028142-0j 1.31126e-05-0j -9.44777e-05-0j -0.046378-0j 2.34517e-05-0j 0.000294921-0j -7.87314e-06-0j 0.0124534-0j 5.6791e-05-0j 2.45767e-05-0j -1.52494e-05-0j 4.73258e-06-0j -1.27079e-06-0j 
0.0155346-0j -0.0185569-0j 0.010068-0j 0.00193573-0j -0.0021801-0j 0.00138295-0j -0.00197487-0j 0.0038524-0j -0.0048518-0j -0.000700297-0j -0.00133084-0j -0.000192091-0j 0.00112563-0j 0.000162471-0j -0.00113662-0j -0.000950801-0j -0.000164056-0j -0.000137236-0j 0.000729523-0j 0.000105298-0j 0.00272229-0j 0.000392928-0j -0.130908-0j 0.000160301-0j 1.33584e-05-0j -0.556047-0j 0.000680894-0j -0.114545-0j 5.67411e-05-0j -0.0763633-0j 0.115662-0j 0.000140263-0j 9.35087e-05-0j 0.129005-0j 1.16886e-05-0j -0.000141631-0j -0.0472474-0j 7.79239e-06-0j -0.0699908-0j -1.18026e-05-0j 0.0826332-0j -0.00015797-0j 5.78555e-05-0j -1.31641e-05-0j 8.57055e-05-0j -0.227962-0j 4.82129e-06-0j -0.000101186-0j 7.14212e-06-0j -0.228715-0j 0.000279145-0j -8.4322e-06-0j 0.000280067-0j 2.3262e-05-0j 2.33389e-05-0j 
0.0276025-0j -0.0173682-0j -0.0101314-0j 0.00519073-0j 0.00401274-0j -0.00124951-0j -0.00178538-0j -0.000736434-0j -0.00110266-0j -0.000159156-0j 0.00369681-0j 0.000533588-0j 0.00200007-0j 0.000288686-0j 0.0020208-0j -0.000889892-0j 0.000291678-0j -0.000128445-0j -0.000734124-0j -0.000105962-0j -0.000234556-0j -3.38552e-05-0j 0.118277-0j -0.000144833-0j -1.20694e-05-0j 0.130908-0j -0.000160301-0j -0.307156-0j -1.33584e-05-0j -0.340366-0j -0.310339-0j 0.00037612-0j 0.000416786-0j -0.23745-0j 3.13434e-05-0j 0.000380018-0j 0.0426884-0j 3.47322e-05-0j -0.138512-0j 3.16682e-05-0j 0.0747046-0j 0.000290763-0j -5.22729e-05-0j 2.42302e-05-0j 0.000169612-0j 0.0435777-0j -4.35608e-06-0j -9.14776e-05-0j 1.41343e-05-0j 0.0113683-0j -5.33619e-05-0j -7.62314e-06-0j -1.39208e-05-0j -4.44683e-06-0j -1.16006e-06-0j 
0.00271798-0j -0.00326759-0j 0.00196194-0j -0.0159692-0j -0.0186308-0j 0.0335773-0j 0.0158378-0j -0.0067242-0j 0.081158-0j 0.011677-0j -0.0230607-0j -0.00331797-0j 0.0182929-0j 0.00263199-0j -0.0190241-0j 0.048488-0j -0.00273718-0j 0.00697645-0j 0.0132045-0j 0.00189987-0j -0.00434253-0j -0.000624804-0j 0.000158656-0j 0.126431-0j -0.000335283-0j -0.0006981-0j -0.556308-0j -0.000134872-0j 0.00147527-0j 9.25496e-05-0j 0.000140263-0j -0.107478-0j 0.0737516-0j -0.000157351-0j 0.000285021-0j 0.111774-0j -0.00028142-0j -0.000195582-0j 9.44777e-05-0j -0.000296413-0j -0.000294921-0j -0.125391-0j -0.22426-0j 0.000332524-0j 0.0752881-0j -5.6791e-05-0j 0.000594715-0j -0.235019-0j -0.000199656-0j 1.52494e-05-0j -0.0452561-0j 0.000623245-0j 0.0121521-0j 0.000120014-0j -3.22261e-05-0j 
-0.000226499-0j 0.000272299-0j -0.000163495-0j 0.00404875-0j 0.00472355-0j -0.00851302-0j -0.00401544-0j 0.00170482-0j 7.07407e-05-0j 0.1391-0j -2.01006e-05-0j -0.0395247-0j 1.59449e-05-0j 0.0313531-0j -1.65822e-05-0j 4.22641e-05-0j -0.0326062-0j 0.0831057-0j 1.15096e-05-0j 0.0226319-0j -3.78513e-06-0j -0.00744287-0j -1.32214e-05-0j 0.000335283-0j 0.122419-0j 5.8175e-05-0j -0.00147527-0j 1.12394e-05-0j -0.538653-0j -7.71246e-06-0j -1.16886e-05-0j -0.000285021-0j 0.000195582-0j 1.31126e-05-0j -0.104067-0j 0.000296413-0j 2.34517e-05-0j 0.0714111-0j -7.87314e-06-0j 0.108227-0j 2.45767e-05-0j -0.000332524-0j -0.000594715-0j -0.121412-0j 0.000199656-0j 4.73258e-06-0j -0.217144-0j -0.000623245-0j 0.0728989-0j -1.27079e-06-0j -0.000120014-0j -0.22756-0j 3.22261e-05-0j -0.0438199-0j 0.0117665-0j 
-0.00274615-0j 0.00328044-0j -0.00177978-0j 0.0161347-0j -0.0181716-0j 0.0115272-0j -0.016461-0j 0.0321105-0j -0.081999-0j -0.011798-0j -0.0224923-0j -0.00323619-0j 0.0190241-0j 0.00273718-0j -0.0192097-0j -0.0160692-0j -0.00276389-0j -0.00231204-0j 0.0123295-0j 0.00177397-0j 0.0460087-0j 0.00661974-0j -0.000160301-0j -0.127742-0j 0.000338757-0j -0.000680894-0j -0.542596-0j -0.000140263-0j 0.00143891-0j -9.35087e-05-0j 0.000141631-0j -0.111774-0j -0.0745159-0j 0.00015797-0j 0.000296413-0j 0.112864-0j -5.78555e-05-0j 0.000197608-0j -8.57055e-05-0j -0.000299305-0j 0.000101186-0j 0.125884-0j -0.0461044-0j -0.000333832-0j -0.0682976-0j -0.000279145-0j 0.000122264-0j 0.0806342-0j 0.000181118-0j -0.000280067-0j -0.222447-0j -0.000213834-0j -0.223182-0j 0.000589906-0j 0.000591856-0j 
0.0173682-0j -0.000361767-0j -0.0244224-0j -0.00642321-0j 4.37463e-05-0j -0.00455053-0j 0.00207203-0j -0.00267071-0j 0.00136448-0j 0.000196945-0j -7.92582e-05-0j -1.14399e-05-0j -0.00122267-0j -0.000176477-0j -0.00122748-0j -5.61506e-05-0j -0.000177171-0j -8.10465e-06-0j 0.00171927-0j 0.000248155-0j -0.00113585-0j -0.000163946-0j -0.14636-0j 0.000179221-0j 1.49351e-05-0j -0.00280663-0j 3.43679e-06-0j -0.369266-0j 2.86399e-07-0j -0.0853767-0j -0.370718-0j 0.000452176-0j 0.000104546-0j 0.00251495-0j 3.76813e-05-0j 0.000453954-0j 0.259609-0j 8.71215e-06-0j 0.169781-0j 3.78295e-05-0j -0.262636-0j -3.07962e-06-0j -0.000317898-0j -2.56635e-07-0j -0.000207901-0j -0.153538-0j -2.64915e-05-0j 0.000321604-0j -1.7325e-05-0j 0.0688755-0j 0.000188011-0j 2.68004e-05-0j -8.43397e-05-0j 1.56676e-05-0j -7.02831e-06-0j 
