0.000201772+0.00237498j 0.0333224-0.00252747j 0.0435937-0.00165074j 0.0153669-0.00466832j -0.0102543-0.00454718j 0.000526479-0.0054674j -0.0218402+0.00404785j -0.0454634+0.00426257j -0.0120251-0.00865633j -0.0194277-0.0096789j -0.00222556+0.00939963j 0.015483+0.00857837j 0.0345055-0.0101696j 0.0179076+0.01375j 0.0174692+0.000841684j 0.0218307+0.00421755j -0.0471895-0.00527655j -0.0537831+0.00431845j -0.0334009+0.00191167j -0.0934589+0.00982064j 0.00886372+0.0257456j 0.0884521-0.0164404j 0.0919091+0.00794868j 0.104411-0.0130832j 0.00443012-0.0495647j 0.0329665-0.00678348j 0.0357768-0.0148395j -0.0173443+0.0132584j -0.0339544+0.00896444j 0.0217814-0.00613818j -0.0380566+0.00139119j -0.0166277-0.0113739j 0.00740333-0.025332j 0.0176246-0.0058869j 0.0461066+0.0128776j 0.0039517+0.00611585j -0.0333281-0.00110123j 0.000807464-0.00339532j 0.061458-0.0148719j 0.0119957-0.0139609j -0.0183833+0.00972798j 0.00515887-0.0044392j -0.00913968+0.00824752j -0.00757498-0.0124659j 0.0106376+0.00992282j 0.0199412+0.000115147j 0.00243223-0.00395182j -0.0420663+0.0254993j 0.0144565-0.00071842j 0.0229199-0.0138517j -0.0586717-0.00689834j 0.00370257-0.00721627j 0.00337176+0.00109018j -0.0104307-0.00612491j -0.042369-0.00259901j 0.0367999-0.0193608j 0.0358835+0.00639747j 0.079019-0.0154008j -0.0445934+0.0440805j 0.0397746-0.0375121j 0.0862549-0.0281556j 0.0860993-0.0178481j 0.306146+0.0509982j -0.101979+0.00774675j -0.124014+0.046242j -0.0618513+0.0198935j -0.118994+0.0197375j 0.0272941+6.39517e-05j -0.0495345+0.0169599j 0.141454-0.0711333j 0.0372179-0.0174419j -0.0237073-0.0157016j 0.0369149-0.00582718j -0.00329492-0.00833556j -0.00741389-4.73605e-05j 0.0284201+0.0153903j 0.017956+0.00117262j 0.050666+0.00939402j 0.058304+0.00250511j -0.00122298-0.0102738j 0.00847592-0.00755292j 0.0266941+0.0131018j 0.0110314-0.00394552j -0.017405+0.0106796j -0.0261879+0.00276599j -0.00737367+0.0185983j -0.037173-0.0101823j -0.0347356+0.0103449j -0.0205998+0.0125451j -0.0706364+0.00404765j 0.0197878+0.0110731j 0.349233-0.00111674j 
0.0320638-0.0032447j 0.00478269-0.0033283j 0.0131048-0.00898064j -0.0244078+0.000907138j -0.0155377+0.00840291j -0.0153559+0.00146429j -1.14022e-05+0.00567605j 0.0246973+0.00950617j -0.0399605-0.000280533j -0.0289333+0.00765382j 0.0249904-0.000729647j 0.0171631-0.00411195j -0.0362712-0.00901869j 0.0673031-0.00784429j 0.0124038-0.00168669j 0.0197489-0.0047268j -0.0262182+0.0159899j 0.0149748+0.0126166j 0.01772+0.00622495j 0.00674349+0.0205475j 0.0749165-0.0097149j -0.0326777-0.024227j 0.0543951-0.0292445j -0.0206576-0.0421456j -0.147015+0.00996062j 0.00108423-0.0107102j -0.0316214-0.0144109j 0.0300768+0.0042149j 0.0193642+0.0145106j -0.0165101-0.00538462j -0.0151773+0.0150277j -0.0250858+0.011549j -0.0652032-0.0042848j -0.00907774-0.00564706j 0.0461393-0.0230857j 0.0110446-0.0044767j -0.00566691+0.0123413j -0.0104686-0.00112107j -0.0318009-0.026129j -0.0282106-0.00290493j 0.0173229+0.00157324j -0.0101167-0.00143801j 0.0176173+0.000787297j -0.0306995+0.00264488j 0.0303264-0.00805585j -0.00247648-0.00820846j -0.00186983-0.0018321j 0.051341+0.0131287j -0.00530233-0.00348009j -0.032863-0.0105846j -0.0152647+0.0187342j -0.0119327+0.000582725j 0.00952886+0.00240001j -0.0110348+0.00410593j 0.00445316+0.0132007j -0.055178-0.0201754j 0.0107816-0.0264651j -0.0392652-0.0160817j 0.129955+0.00566113j -0.140939+0.00103971j -0.0758226-0.0143138j -0.049702-0.0242296j 0.25669-0.112188j 0.00586301+0.0373396j 0.133796+0.0315378j 0.0463185+0.0200335j 0.0355052+0.0304571j 0.00515849-0.00700786j 0.0546011+0.00626314j -0.205253-0.0217702j -0.0475881-0.00713149j -0.0770178+0.0174237j 0.00967565-0.0147797j -0.0227744+0.00139852j -0.023546+0.00535288j 0.0619931-0.0175238j -0.00886739+0.000197104j 0.0527997-0.0196974j 0.0379406-0.0258421j -0.0417378+0.00753817j 0.00153661-0.000147245j 0.0402397-0.0122446j -0.00420999-0.00689141j -0.00662872+0.00400336j 0.0308644-0.00278956j 0.0512283+0.0058289j -0.0177801+0.0308793j 0.000458771+0.0200161j 0.0845785-0.00396375j -0.0454842+0.0113657j -0.34444+3.07746e-05j 0.0145475+0.00817669j 
0.0024362-0.00143624j 0.015406-0.00207254j -0.00372119-0.00712149j -0.000221635+0.00413027j 0.0393122+0.0278585j 0.0235965+0.00432476j 0.0267047-0.00959209j -0.00224649+0.0202619j -0.0327997-0.0200772j -0.0205197+7.84763e-05j 0.0362514-0.0306055j 0.0377151-0.0129859j 0.00762577-0.0175662j 0.00888621-0.00641397j -0.0087716+0.0124673j 0.000392434+0.00715408j 0.0547029-0.00846622j -0.00959619+0.00106697j -0.0438319+0.0256196j -0.0024994-0.0203493j 0.056313-0.000671365j -0.0164438-0.0114298j -0.061113+0.00097798j -0.1198-0.0235573j -0.00592806+0.110727j -0.0600893+0.0283189j -0.0480807-0.0156832j 0.0475713-0.00415203j 0.0306572-0.00266006j -0.00402242+0.000696401j 0.000685237+0.0192043j -0.00335241+0.0282614j -0.0612427+0.00789931j -0.00910398+0.00903647j 0.0257602-0.017303j 0.00883489+0.00441052j -0.00244587+0.00228542j -0.0119356+0.00778499j -0.0386091-0.0138222j -0.00717098+0.0183189j -0.0018914-0.00935107j -0.0195107-0.00325133j 0.0116521-0.00836482j -0.01375+0.00996967j 0.00839646-0.0389823j 0.00895068-0.00636888j -0.0196347-0.00317216j 0.0175933-0.0361272j 0.00565567+0.0226565j -0.0152298+0.000200101j -0.0117698+0.038871j 0.0328887-0.00686938j -0.0149535+0.00357753j -0.0696222+0.0198051j 0.0250384+0.0466387j -0.162769+0.0188922j -0.0927487+0.00958642j 0.0844743+0.000255719j 0.0385843-0.0173002j 0.0225108-0.0284691j 0.0772606-0.0173673j 0.0853577-0.00854798j -0.00379863+0.0154202j -0.0150328+0.0232569j -0.0618227+0.0252113j -0.0164916+0.00164556j -0.0764157+0.00294316j 0.0496756-0.00229173j -0.0675578+0.0152588j 0.112708-0.0282805j -0.0127764+0.00125657j 0.00393441-0.00255864j -0.0467102+0.00573509j -0.0125224+0.00627172j 0.0334204-0.00830883j 0.0502588-0.0145745j 0.011761-0.00255155j 0.00378511+0.0200089j 0.0225781+0.000551262j 0.0262036-0.00620187j 0.0197442+0.009788j -0.00192777+0.0123335j -0.0290827+0.0138589j -0.0176258-0.00648788j -0.0429921+0.018161j 0.0263819+0.0171999j 0.00496919-0.0115295j -0.0546285+0.000852468j 0.124213+0.00577723j 0.123996+0.00259945j 0.0629823+0.00598689j 0.108891-0.00295224j 
0.0244858-0.00552633j 0.00559437+0.00388632j -0.00914728+0.0148474j -0.00314928-0.00105351j 0.0532811-0.026155j -0.000443334-0.0133238j 0.00577786-0.0083989j 0.0270492-0.00891286j -0.038744+0.0205137j 0.0130803+0.0145385j -0.0185959-0.00988477j -0.0193242-0.00569658j -0.00276684+0.0027481j 0.00277504-0.00850925j 0.0146622-0.00692179j 0.00731422-0.0071438j -0.0191494-0.0181133j 0.007438+0.0175225j -0.00942092+0.00180629j -0.0139528+0.0256702j -0.0245374-0.0473214j 0.0311983+0.025027j -0.0412719+0.0335211j -0.0456751+0.0759849j 0.195581-0.020832j 0.00036379+0.0177621j 0.00117286+0.0402341j 0.0135702-0.0181149j 0.0227271-0.0175075j 0.0164521+0.0072631j 0.0477483+0.00394936j 0.0353149-0.0031727j 0.031049+0.0430389j 0.028393+0.00789494j -0.0439483+0.0017277j -0.00683411-0.00635114j 0.017287+0.00950594j 0.0107318+0.000574271j -0.0526706+0.0235147j 0.0228647+0.0028095j -0.0121056+0.009699j -0.00462464+0.00840439j -0.0145233-0.00683173j 0.0198688+0.0152724j -0.0648838+0.0131236j -0.00846754+0.00159358j 0.0125241+0.00846923j -0.0470433-0.00323906j 0.0451524-0.0106284j -0.0117055+0.00694753j 0.109544-0.0231961j 0.0390009-0.0064122j 0.0169015+0.00316934j 0.0229451+0.030407j 0.125099-0.013403j -0.0218435+0.0695829j -0.0343135+0.0169138j 0.0464219-0.0222373j 0.0135135-0.0249369j -0.077583-0.00344725j 0.0385067-0.00672947j -0.0138112-0.0189682j 0.141676-0.00215418j 0.0342211+0.000489904j 0.0450077+0.0052812j 0.0290077+0.00393427j -0.0354381+0.0170827j 0.0300218-0.0148336j 0.000368044+0.013508j -0.0134801-0.0222201j -0.0341752+0.0102943j -0.0142106+0.00121417j -0.0193698+0.0246111j 0.00618327+0.00330747j 0.00587452-0.0132301j 0.0271928-0.0183727j -0.0325114-0.00116036j 0.0881035-0.0152805j 0.0354335-0.010868j -0.0427148-0.00797442j 0.0168661-0.00628411j 0.0393373-0.00111319j -0.0340459-0.000434017j -0.0216645-0.00124241j -0.0426625+0.0191525j 0.0823709-0.00344954j 0.0266875-0.00426383j -0.0786991+0.0201556j -0.0757051+0.000374532j 0.123797+0.0055897j -0.114122+0.00417123j 0.0833503+0.0041904j 
0.00719443-0.00679533j 0.0181127+0.00492976j 0.0165935+0.0278694j -0.015471+0.00983651j -0.0123451-0.0532408j 0.00715545-0.0259164j -0.0297167-0.0068905j -0.00155474-0.0231923j -0.00399017+0.0133083j 0.00110223+0.0361092j -0.00600968-0.0204447j 0.0245695+0.000422169j -0.00177943-0.00869592j 0.00637996-0.0154229j 0.00751928-0.00163126j -0.00203123-0.00207872j 0.00261409-0.0201988j -0.00222528+0.00513576j 0.0112414+0.0106978j 0.0147871-0.0492644j 0.0891418-0.0248958j 0.0245901-0.00575371j 0.0146131+0.0116451j 0.111734+0.00583317j -0.0520382+0.0322388j -0.012065+0.00550783j 0.00222217+0.0178544j -0.0371714-0.0189804j -0.00986276-0.00229788j -0.0080089+0.000327592j -0.00811798+7.71092e-05j -0.0230253+0.012982j 0.0186224+0.00658526j 0.00963194-0.000653928j 0.0391796-0.0106093j 0.0089299+0.000587893j 9.68025e-05-0.0100663j 0.0130904-0.00384851j 0.0337177+0.0142719j 0.00475687+0.00221041j 0.00295912-0.00871095j 0.0159897+0.00495639j 0.00970494-0.00708399j -0.00835379-0.00582613j 0.0288174-0.00327171j -0.0125381+0.00168063j 0.0146863+0.000276413j 0.0363013-0.0172148j 0.033565+0.017137j -0.00341442+0.00587992j -0.0109238+0.00756144j -0.0292596-0.00517075j -0.00750018+0.00234428j -0.0638028+0.0148423j 0.00440123-0.0217484j 0.055989+0.00290941j 0.0765399-0.00482016j -0.0318319+0.0324214j -0.0269991-0.0162161j 0.0259469+0.0253599j -0.0219017+0.0110555j 0.0142822+0.0157322j 0.030132+0.000326009j -0.0173656-0.00695605j 0.00272687-0.0233101j -0.0285696-0.00878836j 0.0155108-0.0191803j -0.00747319+0.00259306j 0.00783421-0.00791855j 0.0071517+0.0430434j 0.0163194+0.00624042j -0.0163236+0.00503452j 0.0299993-0.000537443j -0.00531343+0.0047674j -0.0157646+0.00420334j 0.00164855-0.00568877j 0.0213452-0.00168611j -0.00623508+0.00139531j -0.00112811-0.000809811j 0.0132447-0.00543089j -0.0130412+0.00997562j -0.0125919-0.00619765j -0.00245681-0.00316063j 0.00526078-0.00417254j 0.0135284-0.000846418j -0.0232586-0.00421371j 0.0141114-0.00484185j 0.0505035-0.00579156j 0.0152507-0.0212381j -0.0829695-0.00848684j -0.0213391+0.00308413j 0.0434935+0.00627339j 
-0.00386635-0.00777448j 0.0135813+0.00169749j 0.0278787-0.00593289j 0.00367033+0.000392845j -0.0222813+0.040163j -0.0153559+0.020919j -0.011174+0.00298541j -0.0118461+0.00127558j -0.0024138+0.0149131j 0.00906776+0.00300435j -0.0268243-0.0358701j -0.00718154+0.039301j 0.00894419+0.0185034j 0.00619953+0.0210915j 0.0117129-0.000663595j -0.01648+0.0116407j -0.0156529-0.0170178j 0.0103874+0.0358042j 0.0397182-0.00671058j -0.019305+0.012624j -0.0596442-0.0332614j 0.0229017+0.00680038j 0.0461591-0.0229112j 0.101191+0.00246964j -0.0078175+0.0593537j 0.043967+0.00933205j 0.0286657+0.0362277j 0.0304661-0.0250303j -0.0163087-0.0171053j 0.0215364+0.00812941j -0.0156692+0.0126107j -0.0212649-0.000143271j 0.0332499+0.0171477j -0.0071306+0.00420978j 0.0137257-0.00160359j 0.0116432+0.00268412j -0.00113336+0.00412813j 0.0144031-0.00180171j 0.0180237+0.0160402j 0.00135081+0.00898906j 0.00681546-0.00911792j 0.01498+0.00548584j -0.00352548-0.00957762j 0.00609189+0.000652069j 0.00177461+0.00981035j 0.00384341+0.00625362j 0.0160746+0.00609644j -0.0251296-0.017831j -0.0267887-0.00218096j 0.0202599+0.00102436j -0.0252347+0.0126574j -0.00474804-0.00202323j 0.0108882+0.00140803j 0.0394943-0.0148264j -0.0156171-0.00239402j 0.0758309-0.00126727j 0.00472177-0.00713481j -0.0355916-0.00520379j -0.0348541-0.0259937j 0.0159001+0.0309298j -0.00999894+0.0155348j -0.0144013+0.016154j 0.0403694-0.0377334j -0.0103898-0.00206856j 0.000293892-0.0246729j -0.00556628-0.0101482j -0.00128395-0.00734146j -0.0132372-0.00174588j 0.0055638-0.00889884j -0.00492748+0.038256j 0.0194762+0.0100072j 0.00656262+0.00701969j 0.0284748+0.00320081j 0.00308938+0.00259355j -0.0361396-0.000659915j -0.00547239-0.0100524j 0.00183523-0.0123441j -0.0146133-0.00760473j -0.00234995-0.00273675j 0.00590811+0.00754409j 0.0132868+0.00356651j 0.0185723-0.00374222j 0.00362349+0.00393581j -0.00450389-0.00365968j 0.0282929-0.000545017j -0.0239626-0.00597992j -0.0289268+0.00738926j 0.0205037-0.00816532j -0.0510731-0.0242803j -0.0733883+0.000204326j 0.00439146+0.00516056j 0.0474902+0.00381805j 
0.0185865-0.00608747j 0.0140058+0.00909136j 0.00848587+0.0108873j -0.0295442-0.00825394j -0.0339627+0.0278437j -0.0518636+0.0224452j -0.00244465-0.0129407j 0.00089056-0.000156957j 0.0240851+0.00125926j -0.0198011-0.0292762j 0.0112176+0.0147717j 0.00278688-0.0370879j 0.00743951-0.0405482j -0.0193944-0.0203726j -0.00518688+0.000609093j 0.00664501-0.0164557j -0.0145009+0.0135491j -0.0273756-0.0356667j -0.0379576+0.0631335j -0.00801692-0.0152061j -0.00738871+0.00604891j 0.00743316+0.0427849j 0.0366003-0.00788959j 0.0239406+0.0698374j -0.0891455+0.0279321j -0.0056783+0.0226671j 0.0205497+0.0137731j 0.00799768+0.00563873j -0.0217072+0.0122225j -0.00445781+0.013293j -0.0227198-0.0147448j -0.038424-0.000760723j 0.0258153+0.028694j -0.0189978+0.0142508j 0.0202224+0.000207596j 0.0117674-0.0179787j -0.00146829+0.00126531j -0.010167+0.00634476j 0.0285879+0.026891j -0.0209578+0.0100955j 0.0371446-0.0128521j -0.00344409-0.00082173j 0.00690098+0.00788046j 0.0110436+0.00950913j 0.0425359-0.0159734j -0.00589046+0.0044997j -0.00592655-6.60786e-05j -0.0114135-0.0133299j -0.0214249+7.9388e-05j 0.00823519+0.0147484j -0.0286231-0.0107489j -0.0253004-0.0118928j -0.00652849-0.015965j 0.0159619+0.00658019j -0.0239298-0.0185157j 0.0288573+0.0118118j 0.0113178+0.011807j -0.00603536+0.00740449j 0.0159874-0.0110635j 0.0034098+0.0284564j 0.00497111+0.0141476j -0.00255052+0.0132878j 0.0429906+0.030614j 0.00412355-0.0277685j 0.0258986-0.0317815j 0.0117732-0.0210723j 0.0134596-0.018144j -0.000577676-0.00202593j -0.0064972-0.0102284j -0.00827937+0.0362953j -0.0018186+0.0131997j -0.0208517-0.00275379j 0.0229438+0.0133207j -0.00228805+0.00456238j -0.0230274-0.0112162j 0.023404-4.45799e-05j 0.00684388+0.0021024j -0.0264016-0.00293334j -0.00168044+0.0106912j 0.02281+0.00294817j 0.0158174+0.00247291j -0.000937528+0.00272038j -0.00610268+0.00495342j -0.00960551-0.00624668j 0.0169533+0.00510029j -0.0229299-0.011217j -0.0448126-0.0123383j 0.0166245-0.00288418j 0.0206736-0.0163261j -0.0571167-0.0140642j -0.0566653+0.000815435j 0.0234231+0.00855112j 
0.0039438+0.00244316j 0.00463572+0.00489841j 3.75906e-05+0.0121915j -0.0180343-0.00623634j -0.0216973-0.00639579j 0.000589067-0.0036525j 0.0245196-0.00940581j 0.00795822+0.00597138j 0.00151708+0.0091848j -0.00830198-0.00785349j 0.0275976+0.0141086j 0.0272286+0.0275593j 0.0118652+0.00643613j -0.00743347+0.0174034j -0.0175361+0.00766114j -0.0129951+0.00520279j 0.00562707-0.0210144j 0.000668286+0.0574748j -0.00691614-0.0583786j 0.0214952+0.0301205j 0.0587765-0.0281534j -0.0314458+0.0334787j -0.00140577+0.0146502j -0.0312725+0.0528326j -0.162617-0.0238644j -0.0177954-0.00387059j -0.0376225+0.0283432j 0.0414225-0.0126146j 0.0314477-0.0182199j -0.023852+0.00957884j -0.0202244+0.00295399j -0.0259486-0.0115093j -0.0687355-0.00274873j -0.00603281+0.001027j 0.0232415+0.0154935j 0.0132853+0.00114548j -0.0307222-0.0117595j -0.00378794-0.00301584j -0.0164385+0.0119415j -0.0248821-0.00396318j -0.00178373+0.00700135j 0.0126332-0.000424301j 0.0177819-0.00519336j -0.0490192-0.00196486j 0.0254022+0.0209289j 0.0132003+0.0116846j -0.00296068+0.00560469j 0.0665966+0.00146038j -0.0180337-0.000344939j -0.00677239-0.00801755j -0.0492333-0.00143982j 0.0251022-0.00691366j -0.0066875+0.0146347j -0.0364686-0.00178019j -0.0629581+0.00659171j -0.0733642-0.000111504j -0.0175062+0.0128996j -0.00548934+0.0160817j -0.00118076+0.00678268j 0.0182081-0.00322498j 0.0101712+0.00252929j 0.0490741+0.00981343j -0.0330679+0.0599441j -0.0233054-0.00859718j -0.0207408-0.00561797j -0.0209631-0.000170774j -0.00234793-0.0134711j 0.0222114+0.0040357j -0.024686+0.000194832j 0.0323778-0.000573889j -0.00274829-0.00108671j 0.0050436-0.0114638j -0.0205775+0.00372168j -0.0073143-0.00137801j 0.00503342-0.000680663j 0.0414512+0.0119725j 0.0125192-0.00454183j -0.0334228+0.0122497j 0.000536734+0.0170994j 0.0357491-0.00909075j -0.0116138-0.000432291j -0.0408649+0.0118309j 0.00150749-0.00120465j 0.0113084-0.00819566j 0.000442923-0.00193968j -0.0058106-0.00254745j -0.0192783-0.0235985j 0.0128368-0.0020587j 0.143952+0.00953244j -0.000483619-0.0151459j 0.00854511-0.00305781j -0.00310031+0.00259545j 
0.0148717+0.00304603j -0.0102426+0.00497089j -0.051747+0.00487444j 0.000676123-0.0246832j 0.0250125-0.0219853j -0.0255517+0.0152912j 0.0158496+0.0258429j -0.0412401-0.0247506j -0.0173795+0.0307646j -0.00827285+0.0521707j -0.0012901+0.0265871j -0.00347703+0.0426789j 0.00461039-0.00470098j -0.00259424+0.0486813j 0.00180699+0.000141516j 4.83858e-06+0.00630995j 0.042657-0.0364566j 0.00575561-0.0151299j -0.0132132+0.0352326j 0.0484226-0.0251756j -0.019861+0.0215256j -0.0361244+0.0120413j 0.00140686-0.0357234j -0.0322783+0.0162455j -0.0441686-0.0159388j -0.0243127-0.0253847j -0.016804+0.0415792j 0.0218844+0.0021702j 0.0423058-0.000987386j -0.0087593+0.00364577j 0.0227554-0.00387615j -0.0133991-0.0209776j 0.00647929+0.00539165j -0.000590748-0.000614247j -0.00183165+0.013346j 0.00112521-0.00194134j 0.00426342-0.00178013j -0.00442432-0.00410159j -0.0301789+3.44861e-05j -0.0088318-0.0135389j -0.00196209-0.00453772j 0.00843031+0.0101478j 0.00525043+0.00366332j -0.0150357-0.00848148j 0.00351533+0.0331627j 0.00990642+0.00967431j 0.00442305+0.00514197j 0.00940183+0.0100826j -0.0185194+0.000231473j 0.00707465-0.00484807j -0.00467798+0.00786894j 0.0443802-0.0133661j -0.0125849-0.00952364j 0.0154589-0.00750247j -0.0100806-0.0117676j -0.0569091-0.00773994j -0.0592355+0.0167405j 0.00846857-0.0153675j 0.00131756+0.0298664j -0.029358+0.00346256j 0.0311156-0.0128207j -0.000243479+0.00191089j -0.00792955+0.0348314j -0.00371491-0.00587782j 0.00553447+0.00740351j -0.000862712+0.0019303j -0.0150123+0.00798075j 0.027288-0.00613526j -0.0105133+0.007552j 0.0125895-0.0251659j -0.0134836-0.0103606j 0.0035417-0.0126394j -0.0281075+0.00160151j -0.00919506-0.00437117j 0.00087152-0.00514775j 0.0310683+0.0117197j -0.0112708-0.00222175j 0.00330886+0.00235758j 0.0179965-0.00279111j 0.00529276-0.00309109j 0.0103456-0.00250569j -0.00702904+0.0114114j -0.00380528-0.000504867j -0.00993255+0.00612508j -0.023578-0.000126566j 0.0305543-0.0017473j -0.0294678-0.0131586j -0.0137834+0.00767924j 0.0427915+0.0174121j 0.0643876-0.00384922j -0.0104891-0.00283473j -0.00937769-0.000472027j 
-0.0113822-0.00289121j -0.00982114-0.000805317j 0.0311472+0.0115716j 0.0168974+0.00929526j -0.071028-0.0179734j -0.0827326-0.00601729j 0.0722699-0.00613937j -0.00297782-0.0120416j 0.0258564-0.0061849j 0.00214826-0.0152162j 0.00480113-0.0179093j -0.0185516+0.00651504j 0.0350657+0.0156683j -0.00790419+0.00224081j 0.00464329-0.0201952j -0.0313545+0.00838218j 0.0284782+0.0115645j -0.0158301-0.0141209j -0.0126582+0.00424313j -0.0676946+0.0224709j -0.196762+0.00674547j -0.047878+0.0167047j 0.0566015+0.00302045j -0.0324787+0.00403422j -0.0713189+0.0274982j 0.03083+0.0151796j 0.00334653+0.0055287j -0.0108815+0.00330371j 0.00572926-0.0171154j 0.00860555-0.00205652j 0.0366948-0.00158984j 0.0346628-0.0136642j 0.0216395+0.028201j 0.0368138+0.0015503j 0.00420426+0.0118442j -0.024639-0.000202938j 0.000933342+0.0143942j -0.0482896+0.00120238j -0.0230442+0.0147518j -0.00236402+0.0137044j 0.0371677+0.00143897j -0.00472009+0.0015328j -0.0135046+0.00518627j 0.00529843+0.0103873j 0.0152527-0.00466005j -0.011684-0.00407855j 0.0214643-0.00873851j -0.032912-0.0112739j -0.0507369-0.0127027j 0.0128228+0.0206816j -0.00513231-0.0108292j 0.0405463-0.00232641j 0.00412519-0.0128547j 0.107273-0.0306443j -0.088113+0.0069415j -0.017894+0.0130631j -0.0707864+0.0101001j 0.069394-0.043617j 0.00789105-0.015421j -0.0114104-0.0048083j 0.0507695+0.0109614j -0.0892552+0.000912974j 0.00793072+0.00141093j 0.0261742-0.00932375j 0.0434386-0.00939686j 0.0540326-0.0161076j 0.00104531+0.00105282j 0.000267296-0.00440743j -0.0169882+0.0101601j 0.0171487-0.00304396j -0.0187383+0.0132239j -0.0192047-0.00798014j 0.0159104+0.0155255j 0.00441204+0.0012707j -0.0136791-0.0167276j 0.0104167-0.00275047j -0.002728+0.0071029j -0.0123293-0.005676j -0.00964089+0.000673479j -0.000797932+0.00138477j 0.0171957-0.00365523j 0.00137107+8.8808e-05j -0.010135+0.00470417j -0.0140939-0.00589025j -0.00264267+0.0101635j -0.0107547-0.00967659j -0.120947-0.00389882j -0.0552907-0.000260488j -0.0238369+0.000462034j 0.0269068+0.000238048j -0.00313079-0.000431051j -0.0133805-0.000225339j 
-0.0293721-0.00304722j 0.0122263-0.0130319j 0.0104935-0.0093357j -0.00140495+0.00437544j 0.0477622-0.00347041j -0.000367488-0.000505548j 0.0154305-0.00671096j -0.0216986+0.015939j 0.00968669+0.000253753j -0.0229212+0.00996613j -0.0149063+0.0310003j -0.0117268-0.0200884j 0.0215813-0.0269197j -0.0163595-0.0171292j -0.0442676-0.0115922j -0.0122486-0.023433j 0.0300227+0.0134409j -0.0360128+0.0292428j 0.0368821+0.00100385j 0.127448+0.0336746j -0.0406256+0.0127051j 0.0947926+0.00620121j -0.0194145-0.0577821j 0.0388939-0.0102434j 0.0304828+0.00149125j -0.0248717-0.0211749j 0.0584796-0.00520794j 0.0211915+0.00107929j -0.00196819+0.0343788j 0.0184022+0.00521054j 0.0348891+0.0151491j -0.00819945-0.00519055j 0.0699266-0.000380754j 0.0381979-0.0138132j 0.01685-0.0329879j -0.0275129-0.00750315j 0.047076+0.00970466j -0.000739467+0.00431774j 0.000776469-0.010678j 0.024315-0.0229849j -0.00561932+0.00458449j 0.0115794-0.00713902j 0.0075157+0.0116234j 0.0357998-0.0028184j 0.00322078-0.00215895j -0.00600983+0.00729595j 0.0236693+0.0030783j 0.00257297+0.0386834j -0.04381+0.0175708j 0.0316922-0.0247156j -0.0470475+0.0596188j 0.0725559-0.0168984j -0.0249309-0.00600114j -0.043728-0.0074779j 0.0230565+0.00720974j 0.00461374-0.0385624j -0.0647733-0.0200251j -0.0405057-0.0117689j -0.0401814+0.0422068j -0.0276809+0.0256527j 0.0712635-0.0326486j -0.0259983+0.00464001j -0.0678505-0.0967202j -0.0283131+0.035826j -0.0440447+0.0412261j -0.0274355+0.019433j -0.025518+0.0355838j 0.0256979-0.0039946j -0.00498117+0.00875023j 0.00915463-0.0318545j 0.0112622-0.022645j 0.00994794+0.0163621j -0.000354504-0.0216728j 0.00267406-0.000594374j 0.00718758+0.0118597j 0.0103698-0.00243996j 0.00610344-0.00913052j 0.0136016-0.0164987j 0.025577-0.0238178j -0.00374308+0.000320949j 0.0108022-0.00268326j 0.0163736+0.000815347j -0.0112204-0.00687433j -0.0174283+0.0151688j -0.0347735-0.00226923j 0.0236291+0.0149359j -0.02046+0.0246477j 0.0587266+0.00334393j -0.0269454+0.00757245j 0.032792+0.027193j 0.101798+0.00492042j 0.0261452-0.0134351j 
