0.279143-0.131985j -0.266179-0.0833633j 0.122603-0.0463415j 0.0184816+0.015011j 0.0129263-0.0170137j 0.00754003-0.0153364j -0.034293-0.0364423j -0.0141348+0.00273378j -0.0261589-0.0269064j -0.00600424-0.0176503j -0.0206606+0.00381409j 0.00725051+0.0138584j 0.0282228+0.00188437j -0.000768782+0.000350682j -0.0347291-0.00876707j 
0.181001+0.493895j 0.0333709-0.0784666j -0.0119382+0.0864803j 0.0384373-0.0119935j -0.0210241-0.046054j -0.0309924+0.0399133j 0.00233732-0.0262077j -0.0118112-0.0113254j -0.0335853-0.0371576j 0.00628668-0.00949542j -0.014222+0.0354264j 0.0051914-0.00889453j 0.0292558+0.0297187j 0.000942647+0.000641435j -0.00263864-0.0266326j 
0.17516-0.0694633j 0.0715897+0.0593614j -0.0318034-0.0606229j 0.0352328-0.00151737j -0.00808124+0.0933297j -0.012339+0.0429823j -0.0139748-0.0002679j -0.0329683-0.00600866j -0.0243759-0.0422337j 0.0201391-0.0351953j -0.0215476+0.0104502j 0.0025615+0.0399068j 0.0132366-0.0137014j 0.0166348+0.0162392j -0.00830217+0.00620558j 
0.573763-0.163243j 0.103+0.0328474j -0.00850072-0.00213051j -0.0254247-0.0172762j -0.0365975-0.0218234j 0.0104266-0.0156355j 0.0105584+0.0166737j 0.0258819+0.019767j -0.00232727+0.00498128j -0.0056387+0.0272028j -0.0268423-0.023078j 0.0346643-0.0127415j -0.0134004+0.0251914j 0.0103735-0.00214762j -0.00804144+0.00173983j 
0.0708589+0.445743j -0.101283+0.114435j 0.0557139-0.084075j -0.0500456-0.00387216j -0.0108663+3.63676e-05j 0.0480926-0.00993248j -0.0132982-0.0186739j 0.0253859+0.0119385j -0.0101111+0.00954966j 9.45743e-05+0.00801617j -0.00989264+0.0193346j 0.00863739-0.0423011j 0.0202128+0.0225068j -1.19954e-05-0.0235835j -0.0187415+0.00788368j 
-0.20672-0.0591813j -0.306052+0.0185954j 0.113176-0.107652j -0.0278359-0.0352588j -0.0540488-0.0265213j 0.00383667+0.030274j -0.0346645-0.0237079j -0.0189067+0.0312616j 0.0315864+0.00892266j -0.0108242-0.0141613j 0.000555152+0.00966058j -0.0045662+0.00735468j 0.0164623-0.0023723j -0.0112124-0.00752392j -0.0277797-1.40489e-05j 
-0.0506968-0.184744j 0.0210601-0.336095j -0.00489106+0.140761j 0.0296309+0.00662618j -0.0303294-0.0426762j 0.0632616+0.0311281j 0.0374773-0.0503694j 0.0116672+0.0117585j 0.0126384-0.0335046j -0.0057026+0.0227128j 0.0026988+0.00431721j 0.0192431-0.00451501j 0.00255826-0.00996614j -0.0260175+0.010388j 0.0259812-0.0390132j 
0.0652834-0.0211219j -0.171288-0.130954j 0.10707+0.0595341j -0.0952809+0.0477995j 0.054951-0.0422508j -0.070096+0.0784699j 0.0220674-0.0643868j 0.0445786+0.00333989j -0.0348-0.0277373j -0.0325638+0.00281664j 0.0292905-0.00580512j -0.0127771+0.00465213j 0.0252648+0.0198712j 0.0175433+0.00137868j -0.009413-0.0559934j 
-0.0898691+0.0817152j -0.0224776-0.300738j -0.0126496+0.244766j -0.0279112-0.00297792j 0.0090014+0.00177022j -0.0394389+0.0103959j -0.0230982+0.00319687j -0.00479818+0.0138727j -0.0196868-0.0438813j -0.0137692+0.0352263j 0.00860793-0.0285354j -0.0169326-0.00381908j 0.0179747+0.0076358j 0.00782922+0.00529117j -0.00666003+0.00939354j 
0.0121184-0.0388554j 0.161341-0.141152j -0.171917-0.0178218j -0.086304-0.040477j 0.0207235-0.00112133j -0.0627293-0.0103669j -0.0629381-0.049215j 0.00625531+0.0495478j -0.00489174+0.0058126j 0.0231806+0.0270121j -0.0286999-0.0200004j -0.0218153-0.0112257j -0.0255787-0.0206928j 0.024919-0.00505686j 0.0238941+0.0106228j 
0.0790269+0.0970598j -0.00797394-0.336846j -0.00148529+0.155653j 0.0487387-0.0068725j -0.0312176-0.0452951j 0.0383295+0.0265223j 0.00887746-0.0538587j -0.00882559+0.00524122j -0.0123354-0.0426262j 0.00405389+0.0118889j -0.00526632+0.0209082j 0.00622251-0.0075444j 0.0237964-0.0061125j -0.0217526+0.0085952j 0.0142462-0.0321281j 
-0.080584+0.0239783j 0.392747+0.00445412j -0.204231-0.0594334j -0.0138461+0.0126822j 0.0476627-0.043446j -0.0514058+0.0485697j 0.0514874-0.0647202j 0.0292855-0.00719118j 0.00993398+0.0237506j 0.0243805-0.00998849j 0.0103178+0.011839j -0.0111229+0.0121335j -0.0530132-0.0234666j 0.00747603+0.0134309j 0.0757309-0.0638282j 
