0.0312542+0.469412j 0.0970199+0.0219731j 0.0248794-0.0108996j -0.0176459+0.0225662j -0.0197441+0.0141158j 0.0199237+0.0215182j -0.0150782+0.0229778j -0.0207125-0.00854802j 0.00192321+0.0252817j 
-0.399306-0.00969399j -0.0414644+0.0174615j 0.0391395-0.0410615j -0.0356926-0.0235489j 0.0395178+0.0232009j 0.030656-0.0121666j 0.0103084+0.0147805j 0.00458468+0.03248j -0.0225148-0.0164511j 
-0.122347+0.22392j -0.0181031+0.0235912j 0.0723336+0.104957j -0.0308656-0.0020016j 0.0472945-0.00225932j 0.024858-0.0211306j -0.0304923+0.0239565j 0.0271176-0.0205288j -0.0336383+0.0101006j 
0.391079+0.000941246j 0.107719+0.0145811j 0.0150129-0.0353412j 0.0121025-0.0138536j -0.0210496+0.0211987j -0.0274863+0.0403433j -0.00717646-0.0360793j -0.000455617+0.0205247j -0.0075194-0.00864649j 
-0.143724-0.210173j 0.0546821-0.113585j -0.0115006+0.0590013j -0.0270034+0.0402017j -0.02303-0.00801941j -0.0140027-0.0235831j 0.036887-0.00950472j -0.0188707-0.0124745j 0.0134643-0.0150858j 
0.403178-0.00829591j 0.0274409-0.00714218j -0.0230778+0.0508763j 0.0350247+0.0138947j -0.0272597-0.0211572j -0.026682+0.0120861j -0.0196903-0.0144933j 0.00359569-0.0306972j 0.0136196+0.0149155j 
-0.0421576+0.459925j -0.0496418+0.0531228j -0.0574173-0.0428372j 0.0285781+0.0267683j -0.0282636-0.0196732j 0.0324714+0.0055787j -0.0170977+0.0512738j -0.0275214-0.032591j 0.0388443+0.04844j 
