0.012306-0.0122886j 0.0763621+0.0844347j 0.137282-0.37813j -5.79705e-05+0.010461j 0.000123931+0.0503253j 0.0370889-0.017662j 0.0450781-0.200392j 0.121578+0.769078j 0.00969993-0.00584212j -0.00724936-0.0189275j -0.00661977-0.00215939j 0.0283545+0.00552977j 0.00748563+0.041157j -0.046151-0.0194042j 0.0141543+0.0807857j 0.0842686+0.00130217j -0.0148446+0.0844404j 0.185779-0.0308018j 0.186559-0.131745j 0.230409-0.0496671j -0.229837-0.233755j -0.0500343+0.353266j 
0.0815301+0.00611857j -0.106078+0.324518j 0.0405356+0.354873j -0.000453135-0.0503177j -0.000495062+0.237301j -0.0324935+0.137098j -0.0538529-0.62487j -0.0476208+0.178733j -0.015473-0.0131071j -0.0790298+0.025861j 0.0246104+0.0267083j 0.0011258-0.114328j 0.069291-0.0185731j -0.0229348+0.0687774j 0.0682574-0.187165j -0.24823+0.0261454j -0.174149+0.162017j 0.0319775+0.214429j -0.30035-0.11412j 0.108283+0.0462086j -0.0142651+0.330263j 0.0979133+0.0813611j 
-0.0802784+0.027711j 0.000572425+0.365029j -0.0815002-0.0200748j 0.0372587+0.017672j 0.0320637+0.13802j -0.000294327-0.754742j -0.0316826+0.13731j -0.0380448+0.0151123j 0.0157233-0.0302879j -0.0423078-0.0167418j -0.0117166-0.00151819j 0.0304468-0.141463j 0.110636-0.196228j 0.243607+0.0352513j -0.0308271+0.177506j 0.0274849+0.178608j -0.247035+0.0344932j 0.109605+0.193833j -0.0364824-0.143808j 0.0112591-0.00152421j -0.0407345+0.0205977j 0.0170268+0.02828j 
-0.0460303+0.342386j -0.100996-0.338573j -0.0847804-0.00230847j -0.0445133-0.201104j -0.0532274+0.623347j -0.0312434-0.138229j 0.000492426-0.22291j 0.000443213+0.0397434j -0.0952388+0.0944891j 0.0251169+0.324547j 0.114397-0.0476648j -0.289519+0.118006j -0.0500722+0.217422j -0.174058-0.164879j -0.251342-0.024597j 0.0755821+0.183262j -0.0172771-0.0714503j -0.0730683-0.0185541j 0.0102854+0.117442j 0.0191829-0.0270492j 0.0812281+0.0182209j 0.0126264-0.0167293j 
-0.135499-0.387807j 0.0814359-0.0720963j -0.0103422-0.0156315j 0.121516-0.765804j 0.047053+0.179537j 0.038206+0.0151483j -0.000158481-0.0397445j 5.01439e-05-0.0140448j 0.0527881+0.352735j 0.229465-0.246351j 0.219932+0.0509604j 0.20197+0.12824j -0.180714-0.0346806j -0.00819539-0.0806924j 0.0914377+0.0019563j 0.0131398-0.0841348j -0.0454788+0.0204782j -0.00423194+0.0403281j 0.0294944-0.0093214j -0.00803968+0.00328916j 0.00491507-0.0194119j -0.0105259-0.00556709j 
-0.013919-0.0169685j 0.0520401-0.0171115j -0.138807-0.213888j 0.00219273+0.0023605j 0.00543815-0.00160597j -0.00164679-0.00823634j -0.0168972-0.0309703j -0.031256+0.0872004j 0.00206508+0.00877078j -0.000383854+0.00862464j -0.0153444-0.00112004j 0.00817478+0.00694936j 0.00988554+0.0157926j 0.0241048-0.0138036j 0.024188+0.016457j -0.0591884+0.024786j -0.00538892+0.0277157j 0.0429845-0.00329517j 0.0570077+0.0968338j -0.581276+0.0321117j 0.142302+0.0748373j -0.0601697+0.418747j 
0.0136915-0.0454825j 0.140774+0.178012j -0.0106617+0.187688j -0.00410417+0.00417553j 0.0201335+0.0151798j 0.0104665+0.00334362j 0.0275109-0.0754914j -0.00852494-0.0761233j 0.000310931+0.00896289j -0.0159973-0.034393j 0.00115003+0.0102462j -0.0542069+0.0521135j 0.0573226+0.0459725j 0.00964013-0.0201972j 0.0945664+0.0562043j -0.125724+0.0322283j -0.0173304-0.1134j 0.326123-0.0477698j 0.332567+0.100274j -0.179337+0.0514035j -0.0544213+0.326017j -0.064522+0.0652103j 
-0.0567347+0.0154623j -0.0811076+0.145463j 0.20969+0.0936707j 0.0102216-0.00540366j 0.000424134-0.0126128j 0.0084665-0.0686197j 0.00114457-0.0835158j 0.017095+0.0117887j 0.0115902+0.0175471j 0.0271631+0.0394127j -0.047679-0.000115742j 0.0691312+0.00504917j 0.0482621+0.102312j 0.158492-0.0844704j 0.0886085-0.0503436j 0.131203+0.115639j 0.371277+0.119913j -0.276599+0.202622j -0.0440291-0.219114j 0.06895-0.0480737j 0.0591589-0.0526264j -0.02301-0.0238733j 
0.225677+0.143643j -0.00587522-0.12029j 0.229825-0.143421j -0.0238926+0.00833723j -0.0242827+0.0474242j -5.11967e-05-0.0527279j 0.0229844+0.0462845j 0.0232314+0.00898704j -0.0175739-0.0199481j -0.0150641-0.0889072j 0.053688+0.00803696j -0.104513+0.035678j 0.0702726-0.0370279j -0.214782-0.0930906j 0.315567+0.244534j -0.310042+0.248712j 0.218828-0.09066j 0.0631471+0.0415145j 0.0967971+0.0318343j -0.0442132+0.00599103j -0.0155574+0.0858657j -0.0164914+0.0153025j 
-0.213017+0.0877645j -0.0802679-0.145282j 0.0523561+0.015327j 0.0179818-0.0145249j 0.000979687+0.0822416j 0.00803093+0.0675054j -0.000215383+0.0131231j 0.0096195+0.00525784j 0.0219603-0.0228076j -0.0599148-0.0539572j 0.0694126+0.0473057j -0.0514333+0.21468j 0.279936+0.20688j 0.374392-0.119976j 0.125362-0.119842j 0.0917381+0.0456801j 0.150651+0.0861145j -0.0450867+0.102225j 0.067804-0.0067604j -0.0440311+0.00065592j -0.0289702+0.0389091j -0.0103978+0.0159205j 
-0.0163154-0.181957j -0.143179+0.180141j 0.00935142+0.0495927j 0.00957111-0.073017j -0.0266199-0.0736925j -0.0104626+0.00292163j -0.0199027+0.0126564j 0.0034988+0.00376794j -0.0662014-0.076328j -0.0498033-0.326958j 0.198666+0.0543797j -0.341439+0.0996294j 0.315782+0.0470083j 0.0141748-0.110551j 0.117489+0.0299673j -0.088632+0.0548985j -0.0143777-0.0195029j 0.0530113-0.0461988j 0.0468016+0.0527832j 0.00444306+0.00908779j -0.0150774+0.0301504j 0.00125669-0.0119029j 
