-0.113169+0.41867j -0.000221008+0.178873j 0.0592459+0.810115j -0.0472712-0.0242459j -0.0334116+0.131345j 0.206635-0.238267j 0.153908+0.171588j 0.352977-0.0123484j 0.0700728+0.363177j -0.0255486+0.0124727j -0.0923462-0.0586086j -0.0483557-0.0468548j -0.0589722+0.037473j -0.0825209+0.208065j 0.0593407-0.062136j 0.092178+0.0643086j 0.21341+0.0135821j 0.107432+0.111733j -0.162842+0.00751808j -0.0176933+0.0617849j -0.0216275+0.17777j -0.0584278-0.155039j -0.055289+0.135522j -0.15204+0.00443631j 
-0.111825-0.42327j -0.0588773+0.808862j -0.000224231+0.166655j -0.0679219+0.364593j 0.349569+0.00999707j -0.160116+0.175939j -0.211005-0.238292j -0.0398192-0.131414j 0.0455374-0.0288917j 0.150719+0.00345157j 0.0577791+0.137958j 0.0610679-0.152333j -0.0183804-0.179874j 0.021899+0.0591355j 0.158715+0.010456j -0.113709+0.110547j 0.210476-0.00968311j -0.0965609+0.0602853j -0.0529624-0.058167j 0.0822891+0.209483j -0.0598863-0.040384j 0.0481863-0.0437997j 0.0931864-0.0610373j 0.0288805+0.0118552j 
0.202914+0.204268j 0.0154593+0.00674013j -0.0297346+0.0894934j -0.0015982-0.00510047j 0.0205337-0.0333048j 0.0551447+0.0755889j 0.269423-0.0577596j -0.523449-0.165872j -0.236955+0.408348j -0.000892254-0.0149583j 0.0489225+0.0212788j 0.0443576+0.0399192j 0.0498363-0.0699374j -0.034455+0.0490359j 0.0317945+0.00718998j -0.0691423-0.294565j -0.0283101-0.02724j 0.067786+0.00213093j -0.0690353+0.21167j -0.00268567+0.126405j 0.0555964+0.0685956j -0.031721-0.174108j 0.00372315-0.135109j 0.154454-0.367953j 
-0.0017037-0.130245j -0.0112961+0.0841046j -0.0106065-0.0843909j -0.0608069-0.0652316j 0.0831337-0.152255j 0.385008+0.223172j 0.381477-0.223803j -0.0732223-0.152353j -0.0564313+0.0614444j -0.0817102+0.0224306j -0.0732397-0.264763j -0.0839822-0.25462j -0.00945056+0.0694373j 0.0107354-0.282719j 0.0527801-0.00993606j -0.0727668+0.118633j -0.000206508-0.0696165j -0.0734495-0.112831j 0.054957+0.0170668j 0.00968584+0.278686j 0.00979172+0.0683359j -0.0804733+0.254242j -0.0725417+0.269209j -0.0854538-0.0153194j 
0.203945-0.203902j 0.0292618+0.0881424j -0.0153945+0.00507168j 0.239339+0.406654j -0.52582+0.166251j -0.260875-0.0558211j -0.0463654+0.0734099j 0.0169511+0.032034j -0.000148759-0.00285039j -0.155596-0.367592j -0.00795144-0.138844j 0.0314255-0.179656j 0.0562137-0.0666591j 0.00490134+0.127906j 0.0677084+0.204632j -0.0692055-0.000344291j -0.0283669+0.0253709j 0.0668326-0.296943j -0.0312823+0.0119672j 0.0367131+0.0516785j 0.050322+0.0711859j -0.0446413+0.0431432j -0.0507813+0.0247621j -0.000520556-0.0155688j 
-0.109275+0.117408j 0.0198551-0.0209222j 0.0256065+0.15933j -0.0013725-0.0121385j 0.0219584+0.00793382j -0.0531692+0.0134779j -0.0592205+0.0311906j 0.116896+0.247125j 0.271451-0.130695j -0.00273097+0.00128416j 0.0016295+0.00215261j 0.00597806-0.000656167j -0.0165364-0.0149359j 0.0212673+0.00362251j -0.00440221+0.00237063j -0.0266628-0.0184399j -0.0131514+0.014422j 0.0318181+0.044505j -0.0459247+0.340014j -0.04577+0.108449j 0.00260113-0.0262254j 0.281015+0.094872j -0.183794-0.0605234j -0.101429+0.0228803j 
0.0684931+0.0426897j 0.00462243-0.0606502j -0.195108+0.109086j -0.0252871+0.0169782j -0.0103643-0.0569203j 0.0344743+0.0958704j 0.127154-0.0581831j -0.062364+0.0673685j 0.205216+0.0523554j -0.00251312-0.00230795j 0.0175539-0.00483685j 0.0159453-0.0114173j -0.00737263+0.00862871j -0.00855881+0.02269j -0.0192974-0.0261523j 0.0452109-0.127543j 0.0223602+0.0307676j -0.036997-0.0685126j 0.212117-0.0994493j 0.164496+0.0415424j -0.0547639-0.0221476j 0.0104673-0.244641j -0.183305+0.127233j 0.195613+0.0968904j 
0.10438+0.087167j 0.0134639+0.132539j -0.0357878+0.000778686j 0.049993-0.0145864j -0.0152927+0.094025j 0.0161484-0.203971j -0.192598+0.00530847j -0.273493-0.0883843j -0.0982833+0.242482j 5.59274e-05+0.00581734j -0.0185372+0.00961233j -0.019539+0.0119427j -0.0444057+0.00624385j -0.0141684-0.0499362j 0.0447398+0.0235573j -0.0442634+0.204048j -0.0134681-0.00441537j 0.102293-0.00145391j 0.232433+0.153418j -0.112774+0.0166384j 0.154643+0.0448473j 0.212136-0.149242j -0.115642+0.0433809j 0.138353+0.080576j 
-0.0318802-0.0081644j 0.197552-0.0312636j -0.0682798-0.00884473j 0.0280343-0.0378096j 0.0723858+0.0395869j -0.164869+0.0111505j 0.106882+0.0750488j -0.192539+0.0739878j 0.136159+0.197978j -0.00642134-0.00166041j 0.00606027-0.0140555j -0.0339002-0.0102058j 0.105432-0.0437917j 0.0359794+0.0748778j -0.025541+0.0319811j -0.218716+0.0549456j -0.0229562-0.0888873j -0.0362038+0.107587j -0.114359+0.0938771j -0.0327343-0.196966j -0.201605+0.0723107j 0.0501531+0.119053j 0.115836+0.0944987j 0.00453597-0.0130353j 
-0.0871713-0.112998j 0.0658471+0.184913j 0.128184+0.162233j 0.0304779+0.0532356j -0.00858486-0.0169092j 0.0610808+0.208486j 0.227381-0.0988699j 0.0836078-0.0743732j -0.0394452-0.00983847j -0.000222133-0.0188448j -0.0306716+0.0128533j 0.0153063+0.0190506j 0.0457848-0.10845j -0.0866024+0.187916j 0.0387398-0.100467j 0.0293035+0.157913j -0.318955-0.153296j -0.0704141-0.0338797j 0.140858+0.0005027j -0.199901+0.0618105j 0.0534821+0.0177893j -0.00840804-0.0600737j -0.0383189-0.0262755j 0.00205556+0.0035739j 
-0.0849036+0.112281j -0.131241+0.16415j -0.0582497+0.184758j 0.0459294-0.015629j 0.08777+0.0783906j -0.221962-0.102657j -0.0682517+0.206705j -0.0151107+0.0185143j -0.0300022+0.0561142j -0.00399508+0.00587075j 0.0449002-0.0277473j 0.0105281-0.0671133j 0.0591397-0.0137259j 0.197097+0.0668j -0.153504-0.00486386j 0.074095-0.0391691j -0.314183+0.153752j -0.0335578+0.153496j -0.0351557-0.09816j 0.092492+0.188114j 0.0426805+0.103938j -0.0157282+0.0183626j 0.0282976+0.0153353j 0.00130654-0.0172568j 
