-1.10679+0.000154802j -0.290163-0.263095j 0.290903-0.261899j 0.106477-0.0840763j -0.130639-0.054271j -0.149989-0.20003j 0.15304-0.198868j -0.130459+0.0511358j -0.105625-0.0848823j -0.0144702-0.0443568j -0.0157042-0.0393203j -0.122097+0.0684028j 0.0402104+0.0428364j 0.00947558+0.0690009j -0.1334-0.0880939j -0.0633516-0.13134j -0.0322005+0.000263361j 0.067888-0.12996j 0.13452-0.0814082j -0.0149786+0.0709068j 0.0420382-0.0425621j 0.119707+0.0713293j 0.017688-0.0383j 0.0152001-0.0442875j 
-0.106726-0.000210639j -0.330963+0.476196j 0.3338+0.473159j -0.406252+0.127803j -0.206394-0.0747944j -0.145499+0.00760205j 0.146608+0.00757186j -0.205393+0.0753902j 0.406053+0.125987j 0.0386904+0.184779j 0.00537805+0.0395788j 0.160088+0.0115765j -0.0507872-0.104803j 0.0294862+0.0571242j -0.14727-0.0364347j -0.0232861-0.039331j -0.0627681-0.000817194j 0.0242813-0.0396697j 0.14625-0.0339004j -0.0336903+0.0569691j -0.0503037+0.104698j -0.159532+0.0102123j -0.00716984+0.0399763j -0.0378426+0.185276j 
-0.168767+0.0326299j 0.26588+0.0272957j -0.0276943-0.335879j -0.0547056-0.0146917j -0.305368-0.0962626j -0.0890097-0.00210322j -0.158332+0.344635j -0.026222-0.0119284j -0.0130247-0.181681j 0.0327653+0.0947654j -0.0335857-0.102701j -0.0122759+0.151645j -0.200522-0.039162j -0.0313476-0.0551603j 0.0800837-0.077948j 0.0102178-0.0407944j -0.11922-0.253986j -0.122729-0.118561j -0.0134184+0.119158j 0.0526582-0.193416j -0.0813441-0.108574j 0.180208-0.0284214j 0.0224142-0.0270053j 0.223224+0.259426j 
-0.192973-0.000276043j -0.222754+0.189817j 0.222775+0.190775j 0.176194+0.103275j -0.100161+0.0632905j -0.157131+0.341797j 0.161508+0.33759j -0.101858-0.0574441j -0.175799+0.106353j -0.0124731-0.153867j -0.0237515+0.0527292j 0.194057-0.116878j 0.131309+0.12466j -0.0599929-0.162425j -0.129276+0.0390099j -0.0687463-0.0539049j 0.026972+0.00337617j 0.0716615-0.0537343j 0.127113+0.0348113j 0.0575853-0.16413j 0.130596-0.123332j -0.196194-0.114459j 0.0210722+0.0517868j 0.00871879-0.154609j 
0.235476+0.0526821j -0.15532+0.0286203j 0.13008+0.0916156j 0.132949-0.1428j -0.260759+0.0240684j 0.0488676+0.230626j -0.13767+0.189752j -0.226575-0.128095j -0.0624203-0.185385j -0.0672706+0.0649867j -0.034708-0.193213j 0.0327069+0.00435945j 0.135249-0.0554123j -0.138828+0.0603442j -0.00222181-0.117529j -0.0652787+0.125259j 0.370316+0.0799015j 0.00920401+0.142135j 0.0526178-0.105368j 0.101287+0.11853j 0.100218+0.106328j -0.0330361-0.00747506j 0.111221-0.161333j 0.0333242+0.0840924j 
0.16733+0.0329941j -0.0260096+0.335236j 0.266604-0.029768j -0.00896346+0.185231j 0.0245027-0.0155271j -0.162737-0.34021j -0.0906706+0.00702999j 0.303393-0.100451j -0.0582643+0.0152202j 0.222047-0.260606j 0.0207442+0.027185j 0.180953+0.0271141j 0.0826682-0.109041j 0.0548242+0.185696j -0.0181523-0.121571j -0.119701+0.117142j 0.119898-0.257722j 0.0132834+0.038834j 0.0787748+0.0779357j -0.031929+0.0505873j 0.201929-0.0417073j -0.0145574-0.153173j -0.0323886+0.101378j 0.0313176-0.0949288j 
0.0535104+0.0982295j 0.0227874-0.11498j 0.0423346+0.0239555j -0.0318563-0.0184324j -0.0887684-0.0529031j 0.00289512+0.0384427j -0.225867-0.0696059j -0.0939519-0.076176j 0.129353-0.420981j -0.002195-0.006881j 0.00876527+0.0229233j -0.0179589-0.0334052j 0.0380453+0.0244676j 0.0346454+0.0543576j 0.0218709+0.115555j -0.00116963+0.00526797j 0.00726676+0.00819299j 0.273737+0.205599j -0.00147344-0.0835981j -0.00329166+0.206488j -0.0328875+0.0636327j 0.0387389-0.182352j -0.0253124-0.215503j -0.065257-0.0638815j 
-0.139067-0.0530528j 0.135142+0.00602138j 0.0349175+0.117609j -0.131827-0.00527249j -0.179864+0.0701177j 0.106849+0.0498129j 0.0830852-0.00467638j -0.0166698+0.2079j 0.0962958-0.22631j -0.00860531-0.0144845j 0.0383096+0.0293442j -0.0436998+0.0018105j 0.118726+0.0760837j 0.132747-0.00452798j 0.102472-0.168239j 0.0302282+0.0216315j 0.0137774+0.123187j -0.307478-0.141503j 0.0196689+0.0245937j -0.187151+0.0350719j -0.0662121+0.197693j -0.0614281-0.112112j 0.1552-0.105005j 0.17699-0.0560567j 
0.0704186+0.0358393j 0.0432103-0.0225379j 0.0712583+0.0638912j 0.0387893-0.0308322j -0.0685225+0.0580892j -0.119364-0.0761621j 0.183972+0.0550646j 0.146371-0.215767j 0.128892+0.234397j 0.0158372+0.0270137j -0.00228609-0.0536187j -0.0104396+0.0249814j -0.00537962-0.100555j 0.0602055-0.0358295j 0.275414+0.0642374j 0.0430952-0.0679976j 0.113647-0.136027j -0.116917+0.00316719j 0.123208-0.21459j -0.352401+0.384677j 0.0296967-0.13108j -0.0195395-0.233383j 0.178787-0.251952j 0.168661-0.0582546j 
-0.0322232+0.000740337j -0.0174457+0.0120034j 0.0191454+0.012114j -0.183809+0.0256146j -0.0414294+0.139492j -0.216829-0.0193588j 0.217247-0.0164899j -0.0377502-0.141674j 0.186893+0.0272575j -0.0346872+0.00875283j 0.166552-0.0341876j -0.160531-0.0405554j -0.134502-0.154986j -0.225432-0.058403j -0.0432724+0.0903416j -0.231633+0.262076j -0.324778-0.00229495j 0.230374+0.261316j 0.0567205+0.0768366j 0.217312-0.0543076j -0.133132+0.150775j 0.163539-0.0470923j -0.161698-0.0369851j 0.0396367+0.00779111j 
-0.214196+3.63041e-05j -0.11724-0.103685j 0.118305-0.102276j 0.108844-0.0434407j -0.0134017+0.145295j 0.0375304+0.0201936j -0.0369067+0.0205441j -0.0123298-0.147073j -0.108242-0.0412686j 0.0709035+0.0469233j -0.0817476-0.0201245j -0.0334181-0.142979j 0.112983+0.0214611j 0.0193315+0.0818725j 0.00147622-0.05287j -0.156765+0.228389j 0.086517-0.00357158j 0.159127+0.226388j 0.000158371-0.0581882j -0.020388+0.0877601j 0.112818-0.0249869j 0.0296543-0.145597j 0.0839163-0.0260663j -0.0699677+0.0453913j 
0.0655696+0.0460301j -0.0151881-0.00415071j 0.00897787+0.0119863j 0.0271431-0.113994j -0.176253-0.0988085j -0.0924005+0.0558508j -0.0206328+0.107039j -0.152537-0.134502j 0.098996-0.0608222j 0.0650072-0.00502287j -0.0663561-0.0325479j -0.192649-0.00644928j 0.0983907+0.00382382j 0.100697+0.0993225j -0.173936-0.0859269j 0.130195+0.428097j 0.0932053+0.0631654j -0.440823+0.0199559j 0.140415+0.129542j -0.130651-0.0672835j 0.0383762+0.0930128j 0.071291+0.178928j 0.0535869+0.0551651j -0.0158002-0.060887j 
-0.0684463+0.0359268j 0.071794-0.062113j 0.0430585+0.0255414j 0.130796-0.231223j -0.14541-0.218943j 0.185434-0.0522073j -0.121053+0.07797j 0.070019+0.0609944j 0.0359298+0.0316738j 0.166804+0.0574129j 0.177714+0.250578j -0.0107868+0.245834j -0.0268221-0.125593j -0.349536-0.377835j 0.134865+0.225427j -0.111506-0.0157148j -0.107479-0.133739j 0.0398271+0.0572983j 0.276473-0.0673134j 0.0485612+0.0358668j 0.00822539-0.103939j -0.0162259-0.0227839j -0.000601955+0.0546443j 0.0155193-0.0268797j 
-0.133234+0.0659143j -0.0234365+0.12165j -0.133867+0.0179207j -0.119172-0.214978j -0.0388261-0.20467j -0.0827621+0.00297445j -0.0999035+0.0632571j -0.187844-0.0510225j 0.130833-0.0172735j -0.178748-0.0322979j -0.16832-0.0898985j 0.0478117-0.120941j -0.08866-0.189022j 0.189587+0.0162078j -0.0195101+0.0259014j 0.288702-0.173257j -0.00197373-0.123703j -0.0301808+0.0198586j -0.126363-0.15312j -0.12874+0.0118891j 0.109648-0.09003j 0.04338-0.000398902j -0.0366548+0.0336212j 0.00778378-0.0152223j 
