0.0606867+0.145287j -0.190189-0.119708j -0.080895-0.188014j 0.0250144-0.26048j 0.0555346+0.0171613j -0.0847716-0.130997j 0.0442505-0.0708109j 0.09007+0.0402267j -0.182505+0.00771214j 0.207482+0.164666j 0.156197-0.199365j 0.0544551-0.0333746j -0.0928042-0.198124j 0.27915+0.0631864j 0.0626477-0.0201152j -0.0450799-0.00965957j 0.0623762+0.105607j -0.00500795+0.0449106j 0.00726473-0.0499463j 0.033507-0.0373908j 0.00729885+0.0368533j -0.0521142+0.0057061j -0.0179547+0.0134651j -0.00709016+0.0190874j -0.0220873-0.0297386j -0.0165594+0.0294486j -0.0447826-0.0196909j 0.0249698-0.0425408j 0.0336725-0.00293245j 0.00785435-0.00583212j -0.092312-0.00837243j -0.0099834-0.0202455j -0.00371378+0.0723581j -0.0607825-0.0228026j -0.0121223-0.0339836j 0.0448889+0.0136161j -0.0369199-0.0431913j -0.0104994+0.0121005j -0.0287583-0.0213812j -0.0285528-0.0282675j 0.00878614-0.00323007j -0.00137795+0.00427187j -0.0103497+0.020328j -0.0115126+0.020905j 0.0221826-0.00801936j 0.0115769-0.0141576j -0.00590174-0.00456723j 0.00438276+0.0110012j 0.0110217-0.00644429j 0.0147533-0.00310471j 0.0425549-0.00120053j 0.00107727-0.00444969j -0.00150033-0.00245261j 0.00916434+0.00395448j 0.017075-0.00552019j -0.00165816-0.0115303j -0.0201952-0.00282184j -0.0210265-0.00263455j 0.0162958+4.33186e-05j 0.0220999+0.00427034j 0.00693762+0.00213615j -0.000548289-0.00325706j -0.0216693-0.00340314j 0.00991923-0.00746794j 0.011249-0.010486j -0.0159314-0.0101142j -0.00598139-0.00285576j 0.0176866+0.0102744j -0.00367381-0.00153137j -0.00455421+0.0159356j 0.025247-0.00498191j -0.00704156-0.0197843j -0.0118692-0.00644618j 0.00103817+0.0154195j 0.0409153+0.0222648j 0.0050406-0.000900487j -0.00503216+0.0278934j -0.00357479+0.0374475j -0.010179-0.0170694j -0.0164268+0.0132178j 0.0268654-0.0157059j 0.00401862-0.0163046j -0.0276219+0.0187473j 0.0286711+0.0112264j -0.00873477+0.00315751j 0.0218053-0.0164663j 0.01635+0.0551867j 0.0643238+0.00559597j 0.00399122+0.0106339j -0.0130136+0.0318272j -0.000801628-0.017306j 0.00532407+0.00260802j 0.0595063+0.0477834j -0.0161344-0.000775911j -0.0521492-0.0661855j 
-0.180564-0.0594515j -0.143488-0.148355j -0.0661277-0.0716112j -0.0402356+0.147018j -0.038767-0.072288j -0.0205614+0.0345656j -0.165727+0.0448659j 0.214431-0.184804j 0.0209773+0.10509j 0.100842-0.177537j -0.236627-0.280551j -0.0425733+0.126075j -0.14418+0.16556j 0.122633-0.12822j -0.188904-0.0325943j -0.0639192-0.0873407j -0.0126113-0.0119194j 0.0219987-0.0596521j 0.021486-0.0445103j -0.0144751+0.0250225j 0.0228504-0.0132575j -0.00850641+0.024999j -0.0133453-0.0180277j -0.00797711-0.0207035j -0.0365244+0.0339848j 0.0232786+0.00198642j 0.026535+0.0428837j -0.0338647-0.0315671j 0.0721048-0.0154109j -0.0207596+0.0214604j 0.00653297+0.0635645j -0.0701495+0.0300008j 0.0588815+0.0339718j -0.00400038-0.000917931j 0.0149187+0.0283123j 0.0371973+0.0317603j 0.0318543+0.00743582j -0.0318772-0.0143221j 0.00301617-0.00721233j -0.0145859+0.00441355j -0.0164238-0.0181124j -0.0202914+0.00884382j 0.00596501-0.0224652j -0.014896-0.00139541j 0.0195236-0.0159978j -0.00524846-0.00237379j 0.0162662-0.0210571j 0.00765177-0.0112155j 0.0264956-0.00943928j -0.00597396+0.00783979j 0.0147759-0.00917774j 0.0260111-0.00482335j 0.00917286-0.0129687j 0.002222-0.0078658j -0.00778507+0.0131223j -0.00868485+0.000746651j -0.00649627+0.00160998j 0.00662148+0.00634166j 0.00978947-0.0026064j 0.00316671+0.00272639j -0.0175818+0.00874092j 0.0149526-0.0131798j 0.002984+0.0083027j -0.0372278-0.00682439j -0.00553355-0.0145317j -0.00313363+0.00917899j -0.00680713+0.000915072j 0.00899024-0.0116993j -0.0285175-0.0223177j -0.00755527-0.00593169j -0.00179121-0.0196797j -0.00467267+0.00968049j -0.0276907-0.00439779j 0.00428895+0.00217704j -8.41553e-05-0.031952j -0.0125009-0.00657391j 0.00235585+6.52696e-05j 0.0207318+0.00844399j -0.00742721+0.00236146j 0.0108391+0.0114508j 0.0036248-0.0488331j -0.0419798+0.00201762j 0.0127126+0.0214123j -0.018704-0.0154056j 0.0206008-0.0405765j 0.0133872-0.00736643j 0.0557724-0.0125286j -0.0163335-0.0461159j 0.0103787+0.0255547j 0.000372342-0.0274612j 0.0187657-0.0261648j 0.0310678+0.0171767j 0.0128609-0.0234932j 0.0350445+0.0534023j -0.0320605+0.018304j 
-0.146083+0.0326287j -0.165929-0.0273863j -0.143285+0.0144651j -0.0824848-0.0555713j 0.00695122-0.0499691j -0.194939+0.156636j 0.075134-0.0484866j -0.00280327+0.198934j -0.0139795+0.235148j -0.0553449+0.210882j -0.104861+0.269248j -0.0302358-0.0576811j -0.276777-0.00714144j -0.117176+0.432828j -0.509169+0.231872j -0.0452282-0.00934991j 0.0369043-0.0214979j 0.0333911-0.0210791j 0.00773462-0.00544561j -0.0125185-0.0114743j 0.0254294-0.0162968j -0.0339819+0.0193923j 0.0222731-0.0106837j 0.0274286-0.0314594j 0.00246369-0.0138974j -0.0199361-0.0181201j 0.00110012-0.0341512j 0.00150316+0.0180943j 0.00307891+0.00905227j 0.0230322-0.0105016j 0.00592448+0.0585114j -0.00502013+0.0112037j -0.044511-0.0334841j 0.00763452-0.0164637j -0.0106187-0.00716052j 0.0333655+0.00378174j 0.00944699-0.0329813j -0.0122795+0.00467774j -0.0110909-0.00551674j -0.0187927+0.0116173j -0.00913862+0.00831093j -0.0147033+0.0014623j 0.00873928-0.00316501j -0.00235582-0.00705891j 0.0165029-0.00567162j 0.00123176+0.0119167j 0.00864277-0.00569693j 0.00648596-0.00994565j 0.00151831+0.00795201j 0.00125733-0.00602604j 0.026119+0.00455293j 0.00411888-0.00490903j 0.0107584-0.0196256j 0.00185608+0.00493412j 0.00461741+0.00799738j 0.00277138-0.0200196j 0.00195819+0.00849011j -0.00671038-0.0134626j 0.00910362-0.0096353j 0.00319411-0.000502971j -0.00579745+0.0048867j 0.00990846-0.026175j 0.00780549+0.0114552j -0.00910839+0.0171284j 0.0093526-4.37687e-05j -0.00821652-0.00479719j 0.00276391-0.00316324j -0.000774678+0.0155048j -0.00965081+0.0248245j 0.0257813+0.00387069j -0.00659385-0.0060726j -0.0116181-0.00506696j 0.00102015+0.00583245j -0.00558012+0.000750131j 0.0111275-0.00951776j 0.0132906+0.0234373j -0.0211143+0.00181183j -0.00799627+0.00324701j 0.00275871-0.00856472j 0.0222887-0.017215j -0.0208841+0.00858472j -0.0263495-0.0045425j -0.0142788+0.0209183j -0.00887804-0.00576957j 0.00351682+0.0230556j 0.00160429-0.00254027j 0.0133688+0.00844154j -0.0134381+0.00513265j -0.0114904-0.00162477j 0.0276562+0.0064078j -0.00980782+0.0326345j -0.00619354+0.0036198j 0.0131511+0.0187955j 0.0323867-0.0451165j -0.0495825-0.015844j 
-0.183417+0.161453j 0.00863954+0.0199422j -0.106678+0.126484j -0.195517-0.117266j 0.140329+0.0963707j -0.0110344+0.0711246j -0.100685+0.140487j 0.0687434+0.105949j 0.279531-0.0596427j 0.38576-0.0806314j 0.0171033+0.177068j 0.27017-0.204042j -0.085046-0.162633j -0.216602+0.110058j 0.212462-0.21394j -0.04796+0.0943642j 0.00965408-0.0388261j 0.0344163-0.0186288j 0.0099483+0.0289084j -0.00522792-0.0409109j -0.00474289-0.0449558j -0.0325469+0.00568395j 0.0112395-0.0145009j 0.00170265-0.0284777j -0.0267454+0.0117921j 0.0230854+0.000505515j 0.0109405-0.0367147j 0.0234186-0.00672567j -0.0244478+0.0159928j 0.0192016+0.0314802j 0.0443585-0.03055j 0.0165743-0.0170125j 0.0345795+0.0408868j -0.0409751+0.01974j -0.00997362-0.0294195j 0.00546966+0.0209163j 0.0231842-0.00376819j -0.0116718+0.00225594j -0.00627583-0.00527071j -0.0060554+0.0113045j -0.0122086+0.028029j -0.0135496+0.0130227j 0.0172441-0.00340824j 0.00141284-0.00211205j 0.0152033+0.00161784j -0.00291052+0.0178399j 0.00976154+0.00880792j 0.00932176-0.0160383j 0.000246892+0.00745337j -0.000581642-0.0142691j 0.01123+0.0207812j -0.00293902-0.0110103j 0.00189793-0.00530743j -0.00967742-0.00318528j 0.00320226-0.000338j -0.00258248-0.00318101j -0.00573407+0.00378338j 0.0149325-0.0179974j 0.00589247-0.0106087j 0.000952702-0.000914649j -0.00130313-0.0127443j -0.0146733-0.00365284j -0.00938058+0.0126877j -0.00993917+0.00687562j -0.0162242-0.00931452j -0.0057219-0.0134905j -0.0036221-0.0249141j -0.00748129-0.0157525j 0.00363879-0.00932333j -0.000361849-0.0123429j -0.00375298+0.0218474j -0.00154063-0.000140396j 0.00155922+0.00144485j -0.019668+0.021639j -0.00214705+0.00351307j -0.000178484-0.00396152j 0.00443815+0.00916528j 0.00467179-0.00674755j 0.0334977-0.008424j 0.0127056+0.0132403j 0.00946298-0.0296222j 0.0166234+0.0128186j -0.00402762-0.0115164j -0.00385406-0.00746816j 0.00635031+0.00915733j -0.0109544+0.00171874j -0.000941607-0.000207816j -0.00899842-0.0099996j -0.00197851-0.00297481j 0.00665676+0.0222342j -0.0180869+0.0070727j -0.000318443-0.00679225j 0.0249308-0.00831678j 0.0362532-0.0137342j -0.00337853-0.0318109j 
-0.132111-0.00332977j -0.0164406-0.0619446j -0.0397109-0.0322043j 0.0763447+0.0897396j 0.00858234+0.0238714j -0.0607996-0.183722j 0.157893-0.28898j -0.114518-0.30863j 0.110532+0.0541098j -0.00155036-0.233025j 0.315188+0.097607j 0.133424-0.191575j -0.00717904+0.0946168j -0.0907439+0.0247624j -0.102745-0.0799896j -0.0462005-0.0217557j -0.0123098+0.000239226j 0.00533394-0.013463j -0.0097344-0.0271469j -0.00595514-0.00642883j 0.00360561+0.0194138j 0.0319786-0.01442j -0.0101096+0.0128135j -0.00116066+0.0341145j -0.0303199+0.00945254j -0.00730592-0.00702204j 0.0140031+0.0206803j -0.0318643-0.0501275j -0.00740266+0.00726124j 0.012619-0.0540192j 0.0328228-0.0138124j 0.0261222-0.0142098j -0.0015279-0.00927244j 0.0104383+0.012244j -0.0121569+0.0116597j -0.000241168+0.0026927j 0.00393302-0.00158734j -0.00939715-0.00266546j -0.00150452-0.00722911j -0.000745572-0.00172554j -0.0132055-0.00162001j -0.00741052+0.00256856j 0.000463243-0.000280686j -0.00185358+0.00332884j 0.00636163+0.00181356j -0.00913705-0.00645814j 0.00130193-0.0107337j 0.00320352-0.00494847j 0.00257414-0.00397244j 0.00260532+0.00395118j 0.00058482+0.00672215j 0.00227846+7.21197e-05j 0.00838829+0.00758474j 0.00362295-0.0145008j 0.00187739+0.0194587j -0.00289092+0.00143593j 0.00309834-0.011614j -0.00580368-0.00631534j -0.0206448+0.0032865j 0.00538439-0.019693j -0.00706492+0.00133582j -0.00820191-0.00252621j -0.0144912+0.0118112j -0.0300132+0.00688815j -0.00401733-0.0128455j -0.0107497-0.00282102j -0.0304537+0.00950173j 0.00896844-0.0073563j -0.00200744+0.0367684j 0.00579965+0.00631603j -0.010178+0.00062244j -0.024074+0.0103799j -0.0186521-0.01138j 0.00110714-0.00882438j 0.0191964-0.0199569j 0.00671386-0.0205307j -0.00375852+0.0143848j -0.012267-0.00597669j 0.0132219+0.0194637j 0.00162111-0.0122228j 0.00835119+0.0036855j 0.00122323+0.00237036j -0.00592+0.00258041j 0.00170338-0.0140242j 0.00490396-0.00197819j -0.00285585+0.00108148j 0.0041387-0.0025548j 0.00352943+0.00328158j -0.00475582+0.0065277j -0.00119558+0.000490551j -0.00564619-0.00170127j 0.00279163-0.000941525j 0.00592721-0.00744121j 0.0105194+0.00376909j -0.00496355-0.00231646j 
-0.110904+0.00568888j 0.0244391-0.0238821j 0.014479-0.0358764j 0.00876276-0.056483j -0.23848-0.0435459j 0.030114+0.025888j 0.0292071-0.136969j -0.296377-0.169578j 0.037026+0.40482j 0.211784-0.172583j 0.217504-0.00765616j -0.0115509-0.152964j -0.0609661+0.0476317j -0.0788666+0.0475993j 0.000278286-0.063911j -0.0272039+0.000139967j -0.0206328-0.0226591j -0.00505902-0.00850987j -0.00359356+0.00500746j 0.00630625+0.0119857j 0.0150339+0.00894008j 0.0108502+0.0168078j 0.010017-0.000517537j 0.00943426+0.0160767j 0.00574321+0.0210941j 0.0237199+0.0222298j -0.0118253+0.0141667j 0.0108077+0.0359634j -0.012369+0.0116222j -0.0437974+0.0253586j -0.0231267+0.0101159j -0.00101043+0.00279858j 0.0111065+0.0018216j -0.00142757+0.017907j -0.0133711-0.00275201j 0.00359118+0.00322939j 0.00453161-0.00322746j -0.00691855-0.00312398j -0.00109224-0.00234312j 0.00326378+0.00373443j -0.0096128+0.00290833j -0.00523281+0.00381758j 0.00458486-0.000247015j -0.00179249-0.00228918j 0.00640392+0.00418061j -0.00856243+0.00132014j 0.00287674+0.00130758j -0.00275852-0.00684563j 0.000829682+0.000881144j 0.00642012-0.00430457j -0.00364037-0.00014658j 0.00188066-0.000315583j 0.00720572+0.00304884j 0.0066565-0.000251964j 0.00674331+0.023843j 0.00401293-0.00272799j -0.0129936-0.00213858j -0.00713741-0.000653244j -0.00448145-0.0160723j 0.0126164-0.00921163j 0.00342472+0.0182182j 0.0309578-0.00315943j -0.000894577+0.0106845j 0.015296+0.0164829j 0.00221384-0.0122572j 0.00584711+0.0442359j -0.0190291-0.0203386j 0.0193805-0.018675j 0.0106961+0.00120444j 0.00171311+0.00945149j 0.0118008+0.00958848j -0.00852656-0.00247428j 0.0116789+0.0158425j -0.0386712+0.00880693j -0.00606565-0.0139723j 0.0174915+0.00552276j -0.0184251-0.00448569j 0.00778185+0.00435344j -0.012663-0.00523511j 0.0039032+0.00261573j 0.0143341-0.00125431j -0.00510738-0.00751675j 0.00266451+0.0029013j 0.0087072-0.00775307j 0.00115406+6.92456e-05j 0.000771031+0.00274478j 0.00511976+0.00225282j 0.00318285-0.00473517j 0.000600084+0.0027477j 0.00153977+0.00153356j -0.00394578+0.00263059j -0.0025512+0.000210514j 0.00340826-0.00861017j 0.00896393-0.00453375j -0.00705733-0.00234209j 
0.00728309+0.155719j -0.164273-0.133576j -0.206514+0.0350485j -0.00995185+0.0209839j 0.12138+0.162207j -0.151942-0.0956037j 0.139086+0.0199697j 0.259584-0.120505j 0.0642869-0.346323j -0.142624+0.00380291j -0.127239+0.00103894j 0.121843-0.0199387j -0.0427866-0.0389488j 0.135477-0.0231428j -0.155563-0.00191969j -0.0161143+0.0523329j 0.0614948+0.0774588j 0.0375532+0.00624668j -0.00618094-0.0290614j 0.00358527-0.0402964j 0.0150547-0.000710777j -0.00436674-0.0339991j 0.00312739-0.00525568j -0.0515854+0.0418534j 0.0252772+0.00343876j 0.0186293+0.0036304j 0.0117371+0.0318109j 2.11125e-05-0.00722631j 0.00958368+0.0216804j -0.00980791-0.0272874j 0.0317945+0.0150442j -0.000247622-0.00985963j -0.00734796+0.0286049j 0.00349961-0.019619j 0.0170592+0.0058027j -0.00647187+0.00191704j 0.000471536-0.000194592j -0.00203067+0.0102373j -0.00542757-0.00440891j -0.020232-0.0147301j 0.00614184+0.0099909j -0.000281344+0.00544879j -0.00418294-0.00375677j 0.000485279+0.0137129j 0.0111097-0.00965205j 0.00474062+0.00599892j -0.00209075-0.00861508j 0.0110507+0.00337806j -0.00535524-0.00515657j 0.0133193+0.00146588j 0.0247161+0.0190272j 0.00510753-0.0231884j 0.00247818-0.00961748j -0.012761-0.0118657j -0.0140471-0.0098815j -0.00313197+0.00321258j 0.0138074-0.00159101j 0.0112144-0.00609625j -0.0115496-0.0116727j 0.00699946+0.0140731j 0.022939+0.00336248j -0.00105893+0.0318836j -0.000538569+0.0130519j -0.00368875-0.016539j 0.0175029+0.00655912j 0.0113988+0.0376096j -0.00409083+0.0176381j 0.00576467-0.0135033j -0.0129611-0.00790914j 0.0124064-0.005992j 0.0123155-0.011578j -0.0131034+0.00582151j 0.00589365+0.00427471j 0.00950182-0.00489557j 0.00713602-0.00733793j 0.00653421+0.0113018j -0.0031632+0.000731922j 0.00428462+0.0162951j 0.00271672-0.000174101j -0.00857315+0.00668489j 0.00757152-0.00239458j -0.00183307+0.00111591j -0.00571385-0.0103875j -0.00788378+0.00213712j 0.00512184+0.00040295j -0.00709362+0.00523745j 0.00318898-0.00317477j 0.00293376+0.000314143j -0.00115495+0.00740035j -0.000883899+0.00298258j -0.00365602-0.000195233j 0.0041113-0.0076815j 0.0168678+0.00545259j 0.00416025+0.00396432j -0.00400658-0.0124749j 
-0.0526731+0.0204162j -0.00380348+0.000395189j 0.00737193+0.096575j -0.0844085+0.0217914j 0.0477335+0.0743717j 0.0652188+0.113671j -0.101894+0.155778j 0.0534641+0.106802j 0.100085-0.0514124j 0.075509+0.015427j -0.181333+0.0512007j 0.0232441+0.043778j -0.0249099-0.0145507j -0.0821238+0.0052913j 0.0346024-0.0234182j -0.010296+0.0116223j -0.00275998-0.0158177j 0.00223442-0.0214169j 0.00735289+0.00383228j -0.00120739+0.0040124j -0.0113428-0.0150191j -0.0130879+0.0240252j 0.0262459+0.0191388j -0.0342743-0.0403813j -0.0115509+0.0337795j -0.0137237+0.0312261j -0.00217996-0.00880858j -0.0418587+0.0316112j -0.0180866-0.0107617j -0.0104766-0.0227121j -0.00553743-0.0043452j 0.00270186-0.00120621j -0.00160527+0.0116235j -0.00398873+0.0101972j -0.00613616-0.00624924j 0.00380897+0.00278247j 0.0024088-0.00073507j -0.0053126-0.000893j -0.000857935-0.00241829j -0.00115293+0.00359156j -0.00332716+0.00435588j -0.00459204+0.00378856j 0.00392754-0.00422717j -0.0043839-0.00184972j 0.00356419+0.000917227j -0.00147063+0.00509263j 0.00637679+0.00295968j -0.0017676-0.00917306j -0.00168007+0.00523384j 0.00338938+0.00613694j 0.00434774-0.00429643j 0.00820355-0.00507511j -0.000852564+0.00408881j -0.0152059+0.00741694j -0.0250869+0.0149465j -0.00458884+0.000559958j 0.0111283-0.00941453j 0.00138561-5.14693e-05j 0.0292255+0.0079014j 0.0179191-0.0140003j 0.00360506-0.00999077j 0.0132087-0.00851389j -0.00751832+0.00524336j 0.00596936+0.0237006j 0.00580215+0.0109781j 0.00400986-0.0258271j -0.0254372+0.0416614j 0.0141019+0.00258403j 0.0131322-0.000444315j -0.0200165+0.0118208j 0.0231145-0.00125395j -0.0132596+0.0138407j 0.0120294-0.00561928j -0.00808927-0.0141166j 0.000649842-0.0073594j -0.00603612-0.000102838j -0.000362793-0.00434613j 0.00877792+0.000650815j -0.000918447-0.00272455j 0.00839529-0.000504444j 0.00296219-0.00163552j -0.00174763+0.00346145j 0.00621179-0.000261782j 0.0013719-0.00125723j -0.00096515+0.00314104j -0.00277809+0.00136238j 0.00559821-0.00324901j -0.00255827-0.00303699j -0.00256784+0.00101287j 0.00175967+0.00317516j -0.00302411+0.00255329j 0.00250588-0.00157488j 0.00425385-0.00260669j 0.00940427-0.00308768j -0.0033874-0.00320546j 
0.167261-0.0608336j -0.0569816+0.129174j 0.0143031-0.307097j -0.0502622-0.0147676j -0.0843936+0.013586j 0.169886-0.30148j 0.341603+0.0626804j 0.089937+0.204554j 0.0922386+0.291739j -0.0712298-0.169682j -0.0481417+0.149642j -0.000317076+0.213184j -0.0425046+0.0736287j 0.127977-0.00597541j -0.0847333+0.0253686j 0.0421588-0.0469353j 0.0282564-0.0154102j -0.00256006+0.0652989j 0.0279505+0.000487145j 0.0300985-0.0071128j 0.00440277+0.0133712j 0.00603169-0.0450724j 0.0373583+0.00835106j -0.0252306-0.0339705j -0.0344293+0.0178821j 0.0236006+0.00450373j 0.0528765+0.00509103j -0.00887061-0.00292416j -0.00848298+0.019829j 0.0250134+0.0275866j -0.0145108-0.0163987j -0.00897917-0.0108464j 0.00204526+0.00544633j 0.0285201-0.00671147j 0.00770181+0.01076j -0.0067166-0.00733938j -0.00721217-0.00130125j 0.0169077+0.00268976j -0.0038792+0.00931293j -0.000885698+0.00710058j 0.0149402-0.0133758j 0.00930904-0.00815464j -0.0112892+0.0135415j 0.00076084+0.00448326j -0.00609335-0.0155767j 0.0170464-0.00784364j -0.00508336+0.00195844j -0.0118946+0.0203989j -0.000655698+0.00478136j 0.00240141-0.00215607j 0.0086879-0.0141824j -0.0217142+0.000755384j -0.0195274+0.00684684j -0.00623428+0.016846j -0.0111863-0.00879761j 0.00680931+0.0090384j 0.00501734+0.000628878j -0.0198734+0.00408113j -0.00894804+0.00414906j 0.0125615+0.00637625j -0.0107339-0.0105677j 0.00306368+0.0105028j 0.00471598+0.00322713j -0.00998641-0.00874779j 0.00538446-0.0206587j -0.0132145+0.0017648j 0.00444111-0.0122103j 0.0178123-0.0096969j 0.0288366+0.00471043j -0.00767785-0.0211855j -0.00295105-0.00158631j 0.00127319-0.00134112j -0.00807368-0.00112117j -0.00557997+0.00882888j -0.00110602+0.00838632j -0.00495827-0.00661172j 0.00327733+0.00547052j -0.00103733+0.00368376j -0.0016384-0.0097724j -0.00612307+0.00153419j -0.00335578+0.000592514j 0.00211019-0.0108209j -0.00378314+0.00137184j 0.00399195+0.000999802j -0.000685576-0.00688269j 0.00753667+0.00340977j -0.00936831+0.00795206j 0.00559737+0.00243292j 0.000774592-0.0048898j -0.000182934-0.00897131j 0.00744035+0.000252377j -0.00580774+0.00882503j -0.00744693+0.00687285j -0.0220121+0.00163883j -0.00219851+0.00961693j 
0.210815+0.311259j -0.0362154-0.0588158j -0.233203+0.0515381j -0.0408154-0.251805j -0.422793+0.179617j -0.0824479+0.0684341j 0.281352+0.173686j -0.167962-0.110779j -0.0267735+0.041746j -0.0537258-0.0245171j -0.0689812+0.000435021j -0.0155301-0.120196j 0.0122683-0.144706j 0.170624-0.0774144j 0.0634363-0.0325039j 0.114019+0.184809j 0.0160041+0.0188329j 0.0280252+0.00481786j -0.0171566+0.0346689j 0.0167797-0.00982405j 0.0337954-0.0277169j -0.000930372-0.0165439j -0.0298882+0.0278456j -0.0247359-0.0266758j 0.0344511+0.00724228j 0.00378812+0.00604583j -0.00811879+0.0170808j -0.0160842-0.00373809j 0.0243014-0.021436j 0.00783344+0.00513265j -0.0147219-0.00212768j 0.0140318+0.0154584j 0.00343742+0.00193528j -0.035166-0.00778418j 0.0189661-0.016767j -0.00313875+0.00735454j 0.0207389-0.000524114j -0.00486681-0.00747515j 0.0216047+0.0072688j 0.00709547-0.0187412j 0.0104431+0.0239697j 0.0203145+0.00464708j 0.0152804+0.00479085j 0.0233565+0.00308386j -0.0161421-0.000558457j -0.0236645+0.0138662j -0.00822205+0.0365091j 0.0322517+0.00681438j -0.0017813+0.0142288j -5.53244e-05-0.0253738j -0.00378739+0.00830861j -0.00634918-0.0103686j 0.0210723+0.00857915j 0.00285916+0.00683616j 0.00831769+0.0117075j 0.000647943+0.000577155j 0.00514736-0.0260254j -0.00623961-0.0148461j -0.0364996-0.0130892j -0.00718396-0.00255049j -0.00298897+0.00470393j -0.00928494+0.0193848j 0.00626117-0.0165261j 0.00061435+0.0157915j -0.00499704-0.00395094j -0.0151198+0.0028499j -0.00299934+0.0157606j -0.00644293+0.00554832j -0.0140177+0.0032785j -0.0138587+0.00259324j 0.00611004-0.00516016j 0.0101324+0.00810862j 0.00395797-0.00810855j 0.00347435+0.0034374j -0.00188876-0.00153558j 0.00968577+0.00100886j 0.00187699+0.00277473j 0.00978232-0.00746237j 0.00101236-0.00139504j -0.015684-0.00701899j 0.00116719-0.00119342j 0.0060068+0.00588136j -0.00260638+0.00195888j -0.00109555+0.0057797j 0.00151907-0.000479028j -0.0048442+0.000946425j -0.00736084-0.00583521j -0.0040968+0.00767473j 0.00708527-0.00431072j -0.00392321+0.00777144j -0.0104444-0.00334079j -0.00533373-0.0110029j 0.00206923-0.00944043j 0.0102403-0.0040663j 0.0148254-0.0138743j 
0.163529+0.00127447j 0.258708+0.369101j -0.201173-0.0801139j -0.130143-0.066745j -0.10379-0.465026j -0.290018-0.0360083j -0.0389081+0.0955513j 0.14398+0.200969j -0.00392771-0.00259633j -0.177172-0.0431089j 0.0268841+0.0383889j -0.043288-0.112479j 0.0363667-0.0297069j -0.0488798+0.0195909j 0.0867165-0.0579831j 0.0449863-0.0180078j -0.132525-0.176948j 0.0347043+0.00559753j 0.0167766+0.00627464j 0.0211165+0.00378181j 0.0399275+0.0192845j -0.00654503-0.0370593j -0.0317348-0.00732054j 0.0285342+0.0106535j -0.00196132+0.0285816j 0.0288586-0.00974877j -0.0178491-0.00335648j -0.0090453-0.00263657j -0.0275845+0.00568331j -0.00626755-0.00607238j 7.05837e-05+0.012076j 0.022109-0.0170626j 0.0049614-0.00369102j -0.00962018+0.0121234j -0.016766+0.00011989j 0.0154904-0.00298267j 0.00492019-0.00716991j -0.0162852-0.0112865j -0.00427233-0.00604087j 0.0156375+0.0277058j -0.00148788+0.0159885j -0.016887-0.00427972j 0.0263358+0.00412572j 0.00919361-0.0209278j 0.0159761+0.0101266j 0.0135637+0.0124129j 0.0287807+0.0127766j 0.0228989-0.023755j 0.00617577+0.00776341j -0.0183015-0.00656664j 0.00646463-0.0282316j -0.0100554-0.00923421j -0.0049394-0.0125775j -0.00640033+0.0113344j -0.0167443+0.0123639j -0.0119244-0.00314864j 0.0174951-0.00474413j 0.00629838+0.0125008j 0.00803321-0.0260369j 0.00686684+0.00114596j 0.00826761+0.00161627j -0.0259026-0.00158699j -0.0134355-0.00225446j -0.00347844-0.0157792j -0.0084149+0.002072j -0.00157325+0.000502629j -0.0042023+0.000492189j 0.0105151-0.00988997j -0.00246856-0.0019641j -0.0185042+0.00594054j -0.00472703+0.0104156j -0.00641317+0.00605209j -0.000748001+0.00767534j 0.000282743-0.000466788j -0.0081222+0.00592146j 0.00788583-0.00267642j -0.00211093-0.00120684j 0.00351824-0.00437479j 0.00621037-0.00109012j 0.0129659+0.00339414j 0.00248831+0.00116352j -0.000603389+0.00404351j 0.0123442+5.99139e-06j 0.0020413-0.00737953j 0.000413826+0.00155061j 0.00842042-0.00537642j 0.00279918-0.000169149j -0.00381482-0.00631577j -0.00447987-0.00670928j 0.00928073+0.00165671j -0.00359729+0.00380308j -0.00067157+0.00797431j -0.00359889-0.00577388j 0.00958193-0.00770754j -0.00707722+0.00247396j 
