0.00409795-0.0398372j 0.087023+0.204748j 0.118124-0.311679j -0.118597-0.334643j 0.269044-0.273529j 0.308261-0.591225j -0.120167+0.250496j -0.0131716-0.00850501j -0.0383873+0.059696j -0.114035+0.0620389j 0.0593903-0.123372j -0.0372091-0.0409323j -0.15767-0.012965j 0.105699+0.119973j 0.215182-0.000601547j 0.0633237-0.166143j -0.129234+0.108408j -0.00709023+0.12864j 
0.262046+0.166394j -0.340215-0.0218144j -0.227972-0.184298j -0.303405-0.521577j -0.291285+0.119104j -0.337736+0.0591168j 0.357624+0.0868152j -0.00253981-0.11392j -0.0731981-0.122496j 0.0262053-0.00205086j 0.114733-0.163778j -0.12643+0.0224581j -0.0318084-0.0596429j 0.1481-0.300716j -0.116901-0.052307j 0.0630764-0.00342722j 0.022793-0.173783j -0.180664+0.0883776j 
-0.0481582+0.167596j -0.260603+0.104526j -0.138666-0.187554j -0.194412+8.0932e-06j 0.136618-0.186589j -0.262905-0.100109j 0.0555337+0.170283j 0.0651636-0.0118308j -0.064586-0.0501988j -0.0351702+0.0239181j -0.123043-0.00716973j -0.22656-0.156487j 0.0694696-0.000662702j -0.224645+0.156573j -0.120026+0.00480005j 0.0360194+0.0229732j 0.0611341-0.0517433j -0.0671224-0.00902672j 
0.348626-0.0905085j 0.359432+0.0788446j -0.288517-0.122297j 0.306798-0.506268j -0.217879+0.171903j 0.360542-0.0441755j 0.246811-0.169598j -0.182352-0.0797124j 0.0327094+0.180758j 0.0592657-0.00223568j 0.120017-0.0528602j -0.144716-0.302859j 0.0277394-0.059729j 0.122745+0.0283614j -0.110534-0.158024j 0.027395+0.00502708j -0.0712693+0.130135j 0.00495651+0.109461j 
0.103924+0.239474j 0.309337+0.591853j -0.262171-0.262594j -0.118696+0.361243j -0.111273-0.316902j 0.0778343-0.201042j -0.0142157-0.0309753j 0.0131524+0.132952j 0.128868+0.10441j -0.067743-0.167847j 0.211797-0.000212234j 0.106518-0.112553j -0.156432+0.0150029j -0.0428758+0.0441916j 0.0646825+0.126485j 0.113276+0.0603401j 0.0393634+0.05463j 0.0123802-0.0128488j 
-0.0116162+0.000128586j -0.0783075-0.0137049j 0.0486972+0.0985045j 0.0704029+0.0722963j -0.150743+0.109692j -0.103326+0.0470057j -0.200337+0.312516j -0.0343766-0.0295684j 0.0139514+0.0677819j -0.0240681+0.148691j 0.0320527-0.173564j -0.0604154+0.0289637j -0.248219+0.156976j 0.0296609+0.181062j 0.0394056+0.263358j 0.154008-0.0986871j 0.280049-0.395926j -0.198177+0.250238j 
0.0781555-0.0123079j -0.176882-0.000341479j -0.0497165+0.00775523j 0.0055246-0.138426j -0.0821328-0.136671j -0.00297848+0.149179j -0.100109+0.0353804j 0.043733+0.0721512j 0.181984+0.164677j 0.0414785+0.112432j -0.164955+0.0962098j 0.0380611-0.0850286j -0.122571-0.174562j -0.318457+0.098867j -0.152969-0.350042j 0.129878-0.259425j 0.162507+0.0955751j -0.20375-0.016392j 
0.0495203-0.097883j 0.0490437+0.00794998j -0.118053+0.000370764j 0.0636946+0.107904j 0.260634+0.146175j -0.0883894-0.134395j -0.147553+0.11278j 0.190164-0.0104768j 0.0321369-0.117637j -0.252965-0.0529116j 0.0329437-0.139714j -0.0303269-0.141564j 0.205922+0.316478j -0.261476-0.0969686j -0.00211754-0.0611593j 0.341104-0.00721982j -0.172517-0.216841j -0.143883+0.185912j 
0.0706584-0.0706452j -0.00719175-0.136662j 0.0621106-0.109529j 0.066662-0.00223468j -0.0626179-0.104622j -0.00577943+0.13562j -0.0676937-0.0787053j 0.193155+0.0506862j 0.0966658+0.020384j -0.0586471-0.12875j 0.21182+0.181273j 0.0914759+0.301894j -0.289936+0.00144915j 0.0966847-0.302809j 0.209867-0.174006j 0.0513923-0.124205j -0.106156+0.0302365j -0.190081+0.0493534j 
0.149463+0.109247j -0.0811917+0.137898j -0.261778+0.145796j 0.0610632-0.106205j 0.124692-0.000390092j 0.0452761-0.0138479j -0.0495447-0.0972981j 0.144651+0.178814j 0.161597-0.219542j -0.342772-0.00770529j -0.00959521+0.0607422j -0.264327+0.0968991j 0.210616-0.314147j -0.0278224+0.144892j 0.0333606+0.138839j 0.253697-0.0538396j -0.0417607-0.117758j -0.188729-0.00773269j 
-0.103764-0.0449154j 0.00191837+0.147654j -0.0874679+0.135598j -0.00747877-0.134017j -0.0446298-0.0139931j 0.177981+0.000403699j 0.0708865+0.0122647j -0.198028+0.0158785j 0.176079-0.0822188j 0.130902+0.261477j 0.154877-0.343286j 0.315971+0.108366j 0.126821-0.175406j -0.03865-0.0857665j 0.168885+0.0863575j 0.0489108-0.124518j 0.18188-0.169727j 0.0334004-0.0668473j 
