0.000455288-0.00610236j 0.0235124+0.00863044j -0.0102873-0.0179046j 0.00366981+0.00315775j 0.0111374+0.0121903j -0.0327705-0.0344387j 0.0122999+0.0074649j 0.0180688+0.0242436j -0.0418079+0.0348226j 0.0627965+0.29103j 0.143463-0.353894j 6.06975e-05-0.0180437j -4.06541e-06+0.0214004j 0.00515708-0.040925j -0.00256875+0.0168398j -0.00197154-0.0188108j 0.00573875-0.0124557j -0.0133326+0.0255563j 0.0320434-0.0104859j 0.00543208-0.00421957j -0.0229995+0.0721436j -0.0296738+0.0455091j -0.0195945+0.0355456j 0.0418837+0.172205j 0.0296244-0.102028j 0.136225+0.655643j 
0.0190402+0.00748684j 0.00548822+0.0141357j 0.0377145+0.0166855j -0.0287154-0.0257037j 0.000191835+0.012712j -0.00177043-0.0424527j -0.00240128+0.0190313j 0.0422885+0.0531081j -0.0623131-0.131193j -0.143859+0.305307j 0.0404254+0.356334j 0.00039235+0.0213994j -6.7185e-05+0.0353642j -0.000497878+0.0130593j 0.0170787-0.0592864j 0.000209028-0.0101933j 0.0161131-0.0726681j 0.00297712-0.0273635j 0.0138625-0.049102j -0.00361285+0.041214j -0.0160444-0.0160046j 0.00212631+0.0455127j -0.0634487-0.139508j -0.107923+0.221407j -0.134541-0.534529j -0.0402627+0.0550403j 
-0.0152676-0.0124605j 0.0306292-0.00172778j -0.0327596-0.0302209j 0.0228821+0.00493911j 0.0254072+0.0280334j -0.071453-0.0563262j 0.0347954+0.0344514j -0.01037-0.0551962j -0.100194+0.266697j 0.00655446+0.316811j -0.0578234+0.00669817j -0.00520953-0.040916j 0.000992223+0.0130348j -9.95174e-05-0.0672855j -0.00616679+0.0270775j -0.0031724-0.0331061j 0.0057895-0.00435583j -0.0271493+0.070485j 0.0595331+0.00204385j 0.021096-0.013025j 0.00429514+0.221997j -0.0206377+0.0951797j -0.0880095+0.185556j -0.136952-0.513438j -0.110052+0.208542j -0.0461077-0.155164j 
0.00822815-0.0186475j 0.0535591-0.00488232j 0.0247416-0.0138759j 0.0466287+0.0203221j -0.00383936+0.00371077j -0.00448556-0.045772j -0.0219075+0.130841j 0.0448188-0.241143j 0.00573759-0.388177j 0.106908+0.100977j 0.0630447+0.0919513j -0.00232928-0.0169168j 0.0173563+0.0592918j -0.00601114-0.0271892j 0.000225151-0.0503345j -0.00564671-0.0831628j -0.0469978-0.0409447j 0.0462926-0.0364691j -0.00670609+0.219842j -0.0027922+0.117462j -0.0316473+0.00612131j 0.000187637-0.0749006j 0.0374998+0.486768j 0.0889876-0.163263j 0.0671017+0.124209j -0.0153869+0.0480099j 
0.00759355+0.00792177j -0.0111163+0.00338676j 0.0414856+0.0153456j -0.0419266-0.0489579j 0.0326961+0.0300636j 0.0124211+0.0209471j 0.0012323+0.234525j -0.11534+0.138323j 0.0139645-0.127966j -0.0294286+0.0151734j -0.119917-0.0714629j -0.00191272+0.0187108j 6.62618e-06+0.0103855j -0.00295918+0.0329475j 0.00564583-0.0833361j -1.32985e-05-0.00213012j 0.0116658-0.0315103j -0.0171546+0.0177757j 0.0141192+0.0079787j -0.00714528+0.14229j 0.0274117-0.113796j 0.0653967+0.707267j 0.0021094-0.0551629j 0.0227868-0.0975532j 0.00167365-0.0420805j -0.0306559+0.038512j 
0.0298927-0.0153319j 0.0489783+0.00168016j 0.0733539+0.0330928j -0.00195642+0.0263866j -0.0454072-0.0288015j 0.0792975-0.212072j -0.00733936-0.120787j 0.00454517+0.313468j -0.0940932-0.149454j -0.0757111-0.0465095j -0.0325234-0.0517316j 0.00616217+0.0123874j 0.0162003+0.0725602j 0.00625134+0.00442111j 0.0470059-0.0405792j -0.0115469-0.0313146j 0.000133805-0.232011j -0.00361241-0.129083j -0.0570256+0.00322662j -0.0264349+0.0160223j 0.0229445+0.558648j 0.0287573-0.105666j -0.0295395+0.00235579j -0.00460318-0.212281j 0.0178632+0.00542267j -0.0231242+0.0698713j 
0.00989976-0.000259931j -0.0292119+0.0104015j 0.0581319-0.00546986j 0.143972-0.0955243j -0.0318166-0.0116664j -0.0502826+0.160765j -0.0211901-0.337437j 0.0137039+0.0496811j -0.0124398-0.0378064j 0.0385264-0.0116405j -0.00924201+0.0015391j 0.0132336+0.0256406j -0.00304323-0.0272935j 0.0270594+0.070698j 0.0463696+0.0361718j -0.0173839-0.0178209j -0.00384986+0.12897j -7.3057e-06+0.0433736j -0.0325395-0.112726j 0.0219685+0.634864j -0.0256901+0.0161883j -0.00862096+0.125258j -0.00216201+0.114552j -0.0214666+0.015849j 0.00283529-0.0384422j 0.00587991-0.00747596j 
0.0430469-0.0513312j 0.0543202+0.0280544j 0.0212231+0.0064921j -0.080368+0.189617j 0.0218365-0.0461731j 5.59187e-06+0.315606j -0.021855-0.0522273j 0.0784835+0.200959j -0.0179876+0.0150179j -0.060828+0.0256326j 0.040529+0.0527104j 0.0323115+0.0105064j 0.0141539+0.0490757j 0.059554-0.00163878j 0.00620975+0.220045j -0.0140751+0.007384j 0.0569475+0.00431235j -0.0329315+0.112562j -0.000183148+0.595772j -0.0322056-0.0975351j -0.0552934-0.00214476j 0.0148344+0.0136944j -0.00488295+0.203136j -0.0603506+0.00937525j -0.0175738+0.0408138j 0.0320863-0.00507848j 
0.0113699+0.00326893j 0.037234+0.00994711j -0.0110374+0.0481278j 0.0104076-0.0532162j -0.0214456+0.333524j -0.0490399-0.166224j -0.0304+0.00838263j 0.143045+0.0914037j 0.061823+0.0023709j -0.0287628-0.015318j -0.00981512+0.0016693j -0.00534451-0.0043161j 0.00364239+0.0412048j -0.0212161-0.013257j -0.00253671-0.118438j -0.00699584-0.142319j -0.0266578-0.0166682j -0.0218432+0.634914j -0.0326001+0.0974023j -1.01699e-05+0.039472j -0.00312148-0.124966j -0.0183972+0.00700672j 0.0461376-0.0375805j 0.0289247-0.0674694j -0.00139353+0.0222986j -0.0136971+0.0267065j 
-0.0276027+0.052895j 0.0743321-0.0347836j 0.0991756-0.150342j -0.00584938+0.306732j 0.00572648-0.120821j -0.0745999-0.222381j 0.0443602-0.0273355j 0.00047835+0.0392705j -0.0742482+0.025195j -0.0548245+0.00350471j 0.0272856+0.0163972j -0.0228074-0.0719613j -0.0156681+0.0157688j 0.00475321-0.222268j 0.0317506+0.00687888j -0.0275609-0.113858j -0.0232378+0.557974j -0.0259107-0.0168192j 0.0552116-0.00111599j -0.00334712+0.124873j 0.00012451-0.218933j 0.0134656-0.0310576j -0.0477952-0.0424618j -0.00595267-0.00206196j -0.0165579+0.0692599j 0.00443209-0.00496701j 
-0.117799+0.07317j 0.0387204+0.0198495j -0.0117485-0.12255j 0.115439+0.144947j -0.00280669+0.237653j -0.0136857+0.0172112j -0.0339588+0.0255187j 0.0481473-0.0452382j -0.0420001+0.0098116j 0.0103049+0.00728191j 0.00808941-0.00822812j -0.0299738-0.0452819j 0.00246514-0.0456224j -0.0204945-0.0952202j 0.000324862-0.0744401j -0.0657753+0.70623j -0.028924-0.105743j -0.00848337-0.125328j -0.0147981+0.013154j -0.0186259-0.00707897j -0.0133542-0.0308951j -8.21979e-06+0.00237434j -0.00563017-0.0754233j 0.00299667+0.025231j 0.000201369+0.0134937j -0.00211665-0.0174068j 
