0.00887174+0.00315024j 0.00815053-0.0514434j -0.00975123-0.0124032j 0.0380466+0.0260662j 0.00747566-0.00486304j -0.0215332-0.0340737j -0.0124734-0.0568658j -0.0132029-0.0226025j 0.00332904-0.0204425j 0.00801919-0.0156559j -0.00273271-0.00511656j -0.00838083+0.0217193j -0.0103949-0.0260887j 0.00471731-0.0156722j 0.0158348-0.0080086j -0.00571981+0.0455152j -0.0190031+0.00575888j -0.0260581-0.0069191j 0.00734541+0.00208964j 0.0043147+0.0300281j 0.00139128+0.0064672j -0.0109029+0.00401219j 0.00813431+0.00763417j 0.00339699+0.00832987j -0.0131128-0.000542263j 0.00763612-0.00420133j -9.25342e-05+0.0215871j -0.0210346-0.00617996j -0.00950814+0.0264004j -0.00685533+0.0129822j 0.0113003+0.00576658j 0.00463346-0.0132003j -0.00876351+0.00710931j -0.0192876-0.0111885j -0.0087028-0.0205644j 0.00663715-0.0103773j 0.0100819+0.00556856j -0.0203337+0.0265398j -0.00429511-0.00861795j 0.0014971-0.010416j 0.0129359+0.0193163j 0.0162612-0.0359683j -0.00140875+0.00779529j 0.001185-0.0073506j -0.00565471+0.0102523j 0.0249885-0.0123328j -0.0172245+0.00933919j -0.00144565+0.00561194j -0.00405403+0.0500861j 0.00357093+0.0100591j 0.0294197-0.0195547j 0.0132888-0.0194532j 0.0149398-0.00443139j 0.0190848+0.00585399j 0.0129318-0.00859665j -0.00412951+0.048129j -0.0130861+0.0643062j 0.0385405+0.00284169j 0.00574661-0.0102132j 0.0140425+0.0355988j 0.00942528+0.0174226j 0.0340638-0.0347144j 0.0428669-0.0301726j 0.0158385-0.00128071j 0.00366927-0.0210344j 0.0354857-0.052025j -0.00324922+0.0173017j -0.0634911+0.00135115j -0.0568483+0.0735956j 0.0352779-0.00392688j -0.0875426+0.141446j -0.0494943-0.00617683j 
-0.00624302+0.0568321j 0.0115778+0.000107574j -0.0355167-0.0181899j -0.00304283-0.0125052j 4.2637e-05-0.0199705j -0.0237084-0.0418076j 0.0131371+0.0261962j -0.000882536-0.0247356j 0.0111011-0.00110844j 0.00173959+0.00636295j -0.00950046+0.0379704j 0.000903677-0.00630001j 0.00688907+0.0100052j -0.00711742-0.0427985j -0.00083072-0.00270767j 0.0220719+0.0105379j -0.00182371-0.00083178j -0.00727259+0.0369327j -0.0152298-0.0237919j 0.0134474-0.00236011j 0.00342239-0.00208625j 0.000549666+0.0199513j 0.0016613+0.00518102j 0.00487788+0.00835714j -0.00900936+0.0275844j -5.17332e-05-0.0017224j -0.00461498-0.020239j -0.000385016+0.00517447j 0.00729333+0.0143987j 0.00731565+0.00422039j 0.0122806-0.0203158j -0.0134513-0.011153j 0.00555934+0.01319j -0.00420669+0.00975593j -0.00270757+0.00241319j 0.00205717-0.0131372j 0.00387819-0.0201557j 0.00224802+0.0177514j -0.0122735+0.0127258j -0.00415044-0.00775169j 0.00867285-0.0208199j -0.00483767+0.00254875j 0.00104319+0.0266412j -0.0182355+0.00435319j 0.0127064-0.00501266j -0.00411331-0.0336142j 0.01312-0.0110664j -0.00696106+0.00270918j 0.034962-0.0130124j -0.00617466-0.0016376j -0.0232283-0.0292343j 0.00851827-0.0315365j -0.00301751-0.0151164j -0.00122556-0.0235618j -0.0169166-0.02672j 0.0456056-0.0113777j 0.0505624-0.000481141j 0.0169807-0.0483462j 0.0196541+0.00189043j -0.00143975+0.0103542j 0.0226894-0.06172j 0.00725626-0.0277575j -0.0219367+0.0014747j -0.0161334-0.0200291j 0.0123871+0.022705j 0.0227149+0.00435608j -0.06777+0.0625044j 0.0136982-0.0488526j -0.050858-0.00203748j -0.0506157+0.0571623j -0.0469482-0.00415953j 0.0882661-0.143483j 
-0.00416276+0.0498785j 0.0160324+0.0360237j -0.0132025-0.0141749j -0.0213075-0.0156126j 0.037577-0.00675193j -0.0368845-0.0221512j 0.0162348-0.000959821j 0.0108572+0.00276923j -0.00095885-0.00916978j 0.0147994+0.0413338j 0.00566576+0.00300441j -0.0124111+0.0099116j 0.0261838+0.0185841j -0.0225991-0.0183279j -0.00307693-0.0256328j 0.0192312-0.00649573j -0.0163354+0.00661356j 0.00311659+0.035293j 0.000722988-0.0204079j 0.0253695+0.0217456j -0.00683088+0.0148089j -0.00260895+0.0109024j 0.005647-0.00792603j 0.00220159+0.00487314j 0.00930017+0.00487196j -0.00236762+0.00934999j 0.00861908-0.025323j -0.0120042-0.0129833j 0.0112107+0.000852686j 0.0101136+0.0163643j -0.00224563-0.0117134j 0.000221746-0.0154343j -0.00331712+0.00637509j -0.00643868-0.00460539j -0.00511096+0.00100881j -0.00292649-0.00396148j 0.0146159-0.0129302j 0.00761685-0.00400293j 0.0160557-0.00716666j -0.0087859-0.0131968j 0.0121278+0.0077184j -0.00250848+0.0360925j -0.00434576+0.0193908j 0.0136929+0.00888328j -0.0122768-0.0035727j 0.00691145-0.00715892j -0.0183561-0.0309489j -0.00909675-0.00113261j -0.0166576+0.0106006j -0.0040689+0.00678514j -0.0244052-0.0155175j -0.0253198-0.00593916j -0.0471518-0.0132346j -0.00496785+0.0246787j 0.0190556-0.0168848j -0.0289401+0.0164957j -0.00369355-0.0368062j 0.00607294+0.00504095j 0.0232693-0.056227j 0.0135608-0.0026596j -0.00997863-0.00876527j 0.0159485-0.0253012j 0.0108053+0.0417538j 0.039708+0.0127133j -0.0274932+0.0325222j 0.0373405-0.00567859j 0.0218418+0.042986j 0.0308555+0.0124762j 0.0108533-0.0191924j -0.0576592-0.0251328j 0.0294897-0.0661866j 0.0121777-0.0233361j 
0.0131766+0.0299767j -0.00500403-0.0592225j -0.0269397-0.00731615j 0.00352104+0.0254909j -0.0490725-0.00493224j -0.00890397-0.0230728j -0.00380018+0.018209j 0.0125191-0.0122813j -0.00111962-0.010124j -0.0109799-0.0243209j -0.0116785+0.0112931j -0.0025642+0.0115913j -0.0203829+0.000698517j -0.00549969-0.0350729j 0.0135003+0.0115117j 0.00632458+0.02317j 0.00455333-0.02022j -0.0239367-0.00170231j 0.00203259-0.0193235j -0.0166057+0.00254107j 0.00736085-0.0189098j -0.0182128+0.0225256j 0.00978618+0.0312128j -0.00204324-0.0108682j 0.00416363+0.028228j -0.00100951-0.00188742j 0.00597303+0.0166114j 0.00730275-0.00270496j 0.0104477+0.0183008j -0.00339566+0.00748103j 0.0180125+0.00425487j -0.01164-0.0134554j 0.00927749-0.00461656j -0.00776483-0.0148865j 0.00633543-0.00351162j 0.00859364+0.000320003j 0.0140965-0.00664541j -0.00567899+0.012075j 0.0013333-0.00363181j 0.00699793+0.00420244j -0.00188867+0.00882892j -0.0179145-0.0179393j 0.00028396+0.00887622j -0.00816309-0.0016528j 0.0036993-0.000667045j -0.0194057-0.00356563j 0.01541-0.0124951j -0.0225984-0.0219145j 0.01422-0.00600008j 0.017993+0.000909699j 0.00778157-0.0371813j 0.0165445-0.0481983j -0.00137212-0.0254476j -0.00642511-0.0275274j -0.0234144+0.0202578j -0.00921218-0.0137043j 0.0377383+0.039289j -0.00401885+0.0193398j 0.0405159-0.0107193j 0.0166123-0.00380436j 0.0204189-0.0246116j -0.00415167-0.0205357j 0.00587533+0.017667j -0.0200072-0.00136631j 0.0801886-0.0082809j -0.00527612-0.0996639j 0.0179739-0.0329391j 0.0480291-0.0297995j -0.0774964-0.0247491j 0.0141725+0.00220767j -0.0204009+0.0354443j 0.0380709-0.0842992j 
-0.010897+0.0103236j -0.0115718+0.0275013j -0.00115892+0.000620347j -0.0332423-0.0164241j -0.021223-0.00598632j 0.0184067+0.0194385j 0.000735638+0.057512j 0.0189724+0.0120545j -0.00386919-0.0032776j 0.00635226-0.000662163j -0.0142154+0.00802859j 0.0187438+0.00075513j -0.000705204+0.0288909j 0.00562136+0.0129131j -0.0106026+0.00489483j 0.0208461-0.0344284j 0.0165518-0.0237572j 0.0140112+0.00497133j -0.017915-0.0179518j -0.0013091-0.0154082j 0.00127244-0.0267211j 0.0258169+0.0210799j 0.00303611-0.00668304j -0.00231359-0.0155642j 0.00728348-0.0138362j -0.00805238-0.0250031j 0.0042811-0.0451242j 0.0267368+0.0129855j 0.00512515-0.00116815j 0.0129005-0.00640648j 0.000360884-0.00220563j -0.00234893-0.00369162j 0.00888045-0.0187145j 0.0141761-0.0150566j 0.00244341+0.0129318j -0.0122644+0.00595642j -0.00487943-0.0228669j -0.00426715-1.0125e-05j -0.000919025+0.00720055j 0.0283121-0.0197273j 0.0041146-0.0200856j -0.0122161+0.0179454j -0.00462273-0.00887339j 0.00285562+0.0184465j -0.00277142-0.0148108j -0.0332599+0.0242251j 0.0286881-0.0314911j 0.000229228-0.0104077j 0.00347747-0.0557138j -0.0120253+0.00546742j -0.0298804-0.000886901j -0.0276666-0.000693526j 0.000696255-0.0293221j -0.025145-0.00345949j -0.0207208+0.00625298j 0.0184714-0.0504659j 0.0240449-0.0454166j -0.0347275-0.0122138j 0.0387626-0.00583589j -0.0511153+0.0042059j -0.00823745-0.0246628j -0.0453189-0.00716019j -0.0274845-0.0166667j -0.0284083-0.0380874j 0.000766712+0.0263712j -0.02225+0.00660617j -0.0128151-0.023075j 0.0793639+0.000924376j 0.0181559-0.0824773j -0.0444403-0.00226843j 0.0354603-0.0837288j 0.045786-0.0404982j 
0.0135539-0.0268916j -0.0172279-0.0039148j 0.0156245+0.00984297j -0.00557483+0.00549883j -0.00543539+0.0129919j 0.00441133+0.0272077j -0.02214-0.00805887j -0.00147477+0.0135585j -0.00548662-0.0106664j 0.000756325+0.0176934j -0.0083551-0.016939j -0.00242511+0.0200989j -0.013352-0.010019j 0.00105564+0.0387636j -0.00614929-0.0161319j -0.00597218-0.000197645j -0.000405767-0.00840633j 0.0133349-0.0258241j 0.0184801+0.0326561j -0.0102508-0.00306349j -0.0099874-0.0138002j -0.00249214-0.0146499j -0.0089104-0.00616972j -0.011098-0.00209486j 0.0165204-0.0200108j -0.00752695-0.00796394j 0.000444419-0.00321427j 0.00401079-0.0110846j -0.00499957+0.00379475j -0.00251475-0.00892182j -0.0196659+0.0233572j 0.0165174+0.00251055j 0.0115996-0.00590902j -0.0102137+0.00643357j 0.00381366+0.00234382j -0.00551124+0.0223057j -0.0210347+0.0116973j 0.00827289+0.00216187j 0.00446727-0.0116894j 0.0062611+0.000704857j -0.00800343+0.00654693j -0.0035724+0.0416859j 0.00421946-0.0201182j 0.027626-0.0103273j 0.00370623-0.00314319j 0.00677387+0.018344j 0.00512193-0.00799561j 0.00296745+0.00344193j -0.0385469+0.0136529j 0.0282587-0.0231258j -0.00690057+0.0344949j -0.0154536+0.0129966j 0.00455638+4.60728e-05j -0.00963886+0.018926j 0.0145971+0.0261238j -0.0646863-0.000571353j -0.0222127-0.0210586j -0.00816163+0.0294497j -0.0296909+0.0103255j -0.0214783-0.00619317j -0.00254206+0.00364614j -0.0212883+0.00594745j 0.0193044-0.00243619j 0.00871584+0.0666506j -0.0260241+0.0313329j -0.015991-0.0302695j 0.063235-0.0269464j 0.0261738+0.0420755j 0.0406771+0.00191342j 0.0256524-0.0668461j 0.0339921-0.0291477j -0.0271929+0.0635557j 
-0.00486403-0.0457002j -0.0207998-0.0378039j -0.0214113+0.00723099j 0.0581162+0.0083785j 0.0041927-0.0112827j -0.0161321+0.00725588j -0.0220121-0.0411982j -0.0265128-0.00727129j 0.00111928+0.0298544j -0.0218897-0.0336505j -0.0192311+0.0181269j 0.00504402-0.0268222j -0.0422313-0.0105926j 0.0276748+0.0153509j -0.00924086+0.00649819j -0.00793971+0.0130029j -0.0073606+0.0232774j -0.02513-0.0283425j -0.0208263-0.00804132j 0.0246336-0.0256871j 0.0106725+0.00749011j 0.000418601-0.0198978j -0.0109095-0.00514332j 0.00951395+0.0361298j -0.0147176-0.0219733j 0.0188933-0.00529129j 0.00467369+0.0138272j 0.00435608-0.0286331j -0.0114838-4.41309e-05j 0.00221521-0.0120636j 0.0160927-0.00360647j 0.00171015-0.0129032j 0.00748124-0.00905806j 0.00716056+0.00417665j -0.0145921-0.0116234j 0.00715662-0.00770898j -0.00601744+0.0202432j -0.00841592+0.00724233j -0.0221457+0.0052357j 0.0173409+0.00928573j 0.00428126-0.00967379j 0.00981072-0.0410616j -0.00230471+0.00065308j -0.0275467-0.00142176j -0.00515275-0.00813711j 0.0182859-0.00730022j 0.0135064+0.0224431j 0.0137462+0.00100057j 0.0297399-0.0103041j 0.00174167-0.0164658j 0.0363938+0.00648547j 0.0253076+0.00763665j 0.0168659+0.0189497j 0.0285378+0.0134492j -0.0109041+0.00576751j 0.02744+0.00343838j 0.0268516-0.00136327j 0.0400525+0.00897415j -0.0408487+0.0516456j 0.0116183-0.00531615j -0.00396434+0.00861441j 0.0038296+0.000133424j -0.0307011-0.0166464j -0.0388245-0.0462495j 0.00687685-0.0666697j -0.030531+0.0329645j -0.0387262-0.0592615j -0.040623-0.0656938j -0.0517839+0.0121084j 0.0229008+0.0262199j -0.0462898+0.0562137j 0.0259237-0.00185216j 
-0.0112813-0.0140564j 0.0114365+0.0283856j 0.0220446+0.0113582j -0.01201-0.0341695j -0.0116476+0.0030836j 0.0599216-0.0133403j 0.0300812+0.0207123j -0.026198-0.0189968j 0.0169313-0.0258871j 0.0190581-0.0069866j 0.0149038-0.013351j 0.0174355+0.00100717j 0.0124285-0.0385721j -0.0144797+0.00896621j -0.000474557+0.00196675j -0.00645166-0.0180857j 0.0274949+0.00621647j 0.0301142-0.00201302j -0.0126457+0.021789j -0.0337801-0.00423238j 0.0146001-0.0277219j 0.0131374+0.00754212j -0.0315178-0.0121745j 0.0359508-0.0434466j 0.00170022+0.0135813j -0.0073977-0.0289261j -0.0271086-0.0131518j -0.00615639+0.0537262j -0.0148439-0.0119986j -0.026014-0.00521911j -0.0274612+0.0169677j 0.00128021+0.0185004j 0.00828924+0.0164057j 0.00997967+0.0172383j -0.00655622+0.0158568j -0.00147345+0.00213128j -0.0130606+0.0177345j -0.0047245+0.00102445j 0.0156558+0.00807382j 0.00104944-0.0229786j -0.0142404-0.0189997j 0.00259595+0.000698964j 0.0199254+0.00748562j 0.0103102+0.00477696j 0.00783488+0.00268724j -0.00518621+0.00768818j 0.0058241+0.0131464j 0.01209-0.00112402j 0.00733512-0.00697436j -0.00791431+0.0417989j 0.00468771+0.0255369j 0.024475-0.0100969j 0.0427994+0.00118808j -0.0293992-0.0303858j 0.000324447-0.026732j 0.0278002-0.0365145j -0.0739475+0.0346728j -0.0537923-0.0295466j -0.0262153+0.00587909j 0.00525435+0.00807152j -0.0367564-0.0444175j 0.014606+0.00799487j 0.0182336-0.0762058j 0.0127953+0.0346398j 0.0224039-0.00190212j -0.0773262+0.0202651j -0.0231326-0.0383785j -0.0350211+0.0104602j 0.0684121-0.0234063j 0.0170569+0.00567422j 0.0133404-0.0201017j 0.00325925+0.0210488j 
-0.0307513-0.0509555j 0.00724096+0.031411j 0.0527303+0.0204842j 0.0193589-0.00608807j 0.0175712+0.0357467j 0.0313466+0.00871375j -0.0282047-0.0156509j 0.00724295+0.00635884j 0.0174557-0.0205323j 0.0269159+0.0189324j 0.00950907-0.033703j 0.0153373+0.00880587j 0.00267852-0.0266055j 0.00100432-0.00150645j -0.00276963+0.0106792j -0.0344069-0.0139894j -0.0132955+0.0019677j 0.0167159+0.000679576j 0.0137299+0.0278154j -0.000421061-0.00653395j -0.00709191+0.00698582j -0.000322522-0.0263965j 0.00462529-0.00627024j -0.0378476-0.00919821j 0.0117311+4.27087e-05j 0.00526662+0.0114804j -0.00821952+0.00643311j 0.0135218+0.000849657j -0.00267531+0.000535177j 0.0238559+0.000214567j -0.00658724-0.00852968j 0.0271255+0.0167752j -0.0108557-0.00214988j -0.0118972+0.00919567j 0.0114689-0.00224449j -0.0125048-0.00292942j -0.00355085+0.0168533j -0.00108162+0.00188798j -0.00861748+0.00791292j -0.0162762+0.00294783j 0.0111894+0.00918217j 0.026173-0.00244617j -0.0105337-0.00335693j 0.00185864+0.000172632j 0.0173996-0.00451424j 0.00555849+0.00488438j -0.00415565+0.00517348j -0.0169933+0.00729072j -0.0250776+0.0233816j -0.00965423-0.0172413j 0.0183841+0.0165871j -0.020366+0.0190201j 0.0120522-0.00924941j 0.000644983+0.00346199j 0.00311735-0.00407708j -0.0108879+0.0191264j 0.0110698+0.0267292j 0.0320677+0.0257591j 0.0256352+0.041881j -0.0055423+0.0526513j 0.013661+0.0143158j 0.0200525+0.071734j 0.0557013+0.0120348j -0.0261698+0.0804305j -0.0370593+0.0022116j -0.0313998+0.0319146j 0.0130997+0.0140314j -0.0299901+0.0189325j 0.0128716+0.0285315j 0.0659505-0.0192975j -0.0248388+0.0134558j -0.0426244+0.0614155j 
-0.00406509-0.025876j 0.00116921+0.00568084j 0.0123545+0.00567338j 0.00606374-0.00425731j -0.0218236+0.00663006j 0.0321491+0.00702003j -0.00875734+0.0231411j -0.0116573-0.0290812j 0.0231533+0.0121929j 0.000908242+0.00266258j -0.0111807+0.0108118j 0.0237318-0.0148295j -0.0132344-0.0258138j 1.28196e-05-0.000578792j 0.00498195+0.0132291j -0.0235722-0.00614485j 0.000239007-0.00157806j 0.00791749-0.0116537j -0.00212267+0.00672403j -0.007901-0.0162709j 0.00488571-0.022795j 0.0167757-0.00301238j -0.0152204+0.00178654j -0.000590192-0.00917327j -0.00301171+0.00379954j -0.00225336-0.0159075j -0.0209577+0.0112879j 0.0254698+0.000251677j -0.00404084-0.0086236j 0.00142031+0.00726436j 0.0054942-0.00268159j 0.02127+0.0135139j -2.42943e-05-0.00174954j 0.028848+0.033548j -0.00420023-0.00291592j -0.0012119-0.0194181j -0.0185995+0.0224518j -0.0243115+0.0166928j -0.0256901+0.0110824j -0.00276148-0.00311946j -0.00575642-0.00772142j 0.0119836-0.0360792j -0.0132543+0.00119262j -0.017056-0.00412521j 0.0199573-0.0226368j -0.0247034-0.0308089j -0.00501071+0.0128271j 0.00864916-0.0180205j 0.0122837-0.0155432j -0.00933421+0.00495176j 0.0205526+0.0112151j 0.023015+0.0158395j 0.0201905+0.0202511j 0.00676975-0.046017j -0.0102803-0.00671173j 0.0820987-0.013442j 0.0189635+0.0418551j 0.0145451-0.0422197j -0.0153658+0.0597165j -0.00258162+0.0158428j 0.000940971-0.0112798j -0.00147931+0.0356086j -0.00630263-0.00634224j -0.022137-0.00541845j 0.00594792-0.0404289j -0.047589+0.048739j -0.0666795-0.0164734j -0.0384164-0.050081j -0.00939365+0.0368564j 0.0442545+0.0315571j -0.00913144+0.0230256j 0.0109744+0.0242968j 
-0.0167324+0.00169607j 0.0106148+0.0584675j 0.00989648-0.0302917j -0.0123263-0.0221823j 0.0594155-0.00669141j -0.0107954-0.0218639j 0.0385523-0.013817j -0.0210085+0.00541594j 0.0101305+0.00539223j -0.0055857+0.00668812j 0.0346335+0.0239915j 0.0167297-0.0316426j 0.0430806+0.033451j 0.0315509+0.00277424j -0.0185908+0.0091228j 0.0215939-0.0109208j -0.000810865+0.0107334j 0.0320921+0.0300179j -0.0255501-0.0262648j 0.0381996-0.014694j -0.019193+0.0296423j 0.0326641-0.0118828j 0.010208-0.0459636j -0.000316741+0.0291116j -0.0279511-0.0253049j -0.00822964+0.00237256j -0.00624866-0.0500414j -0.0090067+0.0165361j 0.0149172-0.0046301j 0.00629033-0.00622207j -0.00363434-0.0334023j 0.00827591+0.0161341j -0.0215619+0.00837189j 0.0166677-0.00298697j -0.000595305-0.00771863j -0.0143876-0.0220319j -0.0297681-0.00191275j -0.00339085+0.010128j -0.00783226+0.0325604j 0.000943791-0.0106152j 0.0248591-0.0299836j 0.0174429-0.0274283j -0.00976283+0.00734351j -0.0381375-0.00352867j -0.00224963-0.00367194j -0.00531434+0.0121518j 0.0114825+0.00698926j 0.0111003+0.0195948j 0.0438338-0.00221588j -0.0517949+0.023343j -0.029674+0.0190538j -0.0189846+0.0116452j 0.0109947+0.0352878j -0.00339598+0.0329792j 0.019371-0.0634715j 0.0485196+0.0150927j 0.0108366-0.0496707j 0.00153601-0.0501125j -0.0433911+0.0117327j -0.0112792+0.0248788j -0.00160208-0.0254497j 0.0206331-0.00402956j -0.0994278-0.00716122j 0.0305305-0.0675783j -0.0691567-0.0338189j 0.0502922+0.144042j -0.111257+0.0860615j -0.0732082-0.0299885j 0.0517059+0.0317034j -0.0403307+0.0290877j -0.0524484-0.00901678j 0.0105811-0.0339382j 
