0.185351+0.089658j 0.257135+0.201468j -0.112617-0.0680813j 0.0157769+0.0342746j -0.061613-0.00869208j 0.0238674-0.0407301j 0.137545+0.04432j 0.00572133-0.146581j -0.0268206-0.00792481j 0.00231973-0.00603297j 0.0297021+0.021124j 0.0195375+0.0299564j 0.00299657+0.00159013j 0.0204045+0.00254294j -0.00954775+0.0144522j -0.0501221+0.0107528j -0.0284989-0.0367452j -0.00800118-0.0489038j -0.00731185-0.0133131j 0.0830872+0.0422588j -0.0240082-0.000771178j 0.0150137-0.108315j 
0.11741+0.337083j -0.291742+0.190231j -0.168728-0.304184j -0.0326352+0.0459582j -0.102573-0.0354272j 0.0308543-0.00479784j -0.0360402-0.0150274j 0.034129-0.00237904j -0.0205207-0.015664j -0.00605401-0.0240733j 0.00564251+0.0126066j 0.027268+0.0388053j 0.00431198-0.0114882j -0.0132927-0.0301226j 0.0137737-0.00226813j 0.00640699-0.046908j -0.0244707-0.0032772j 0.0202191-0.0289313j -0.0320574-0.0232899j -0.00464599-0.00892903j 0.0169799-0.0424245j 0.00189515-0.0172712j 
-0.0841296-0.454612j -0.653652+0.0599115j -0.0572771+0.483661j -0.0322979-0.0717812j -0.0497159+0.0262826j 0.0131389+0.0113817j -0.00380471-0.0222755j -0.0020212+0.00752031j 0.0012706-0.00187598j 0.00848954+0.00213065j -0.00574277-0.0015104j -0.004798-0.00683886j -0.000175114+0.00837392j -0.00994073+0.00896161j -0.00463343+0.00424326j -0.0182296-0.0103507j 0.0114334+0.00472762j -0.0109576-0.000728307j -0.00416502+0.0189561j -0.0137817-0.00128832j -0.00323533-0.0120035j -0.00483938+0.0169389j 
-0.254745+0.175755j -0.220833-0.34765j 0.232125-0.250499j -0.0991905+0.011752j 0.015984-0.0870894j 0.0280975+0.00188776j 0.0555854+0.011741j -0.00326728-0.0293727j -0.0315922-0.0130653j -0.010564-0.0379068j -0.017008-0.00586134j 0.00589166-0.0094207j 0.00885283+0.0313771j -0.0297723-0.0293181j -0.000456955+0.0494274j 0.0164709+0.0132465j 0.0244536+0.00750627j 0.011535+0.00217951j -0.0281542+0.0147591j -0.0054295+0.00229j -0.00412468-0.0135348j 0.003017-0.0209524j 
0.0901434+0.00427564j -0.330888+0.219301j -0.180652+0.0117138j 0.0262132+0.100445j 0.0175025+0.0102901j -0.0109462-0.0261294j 0.0116767+0.0207215j -0.0020299+0.0293972j -0.00098808+0.0525928j -0.0267521-0.00225022j -0.000927203+0.0133474j 0.0308599+0.00412472j 0.0288435+0.00215838j 0.00889991+0.00555242j 0.0592777-0.0032091j 0.00101754+0.010407j -0.0157098+0.00818748j -0.00851341+0.00884964j 0.000117898-0.0122793j -0.00752449+0.00083103j 0.00780673+0.013447j -0.011165+0.015326j 
0.0551415+0.0856982j 0.0790741+0.0788845j -0.0789815-0.0577875j 0.059962-0.00320173j 0.127324+0.0248798j -0.054623+0.0376228j -0.23605-0.0765263j 0.00216578+0.177403j 0.0480794+0.0214718j -0.0159091-0.0106301j -0.00968167-0.0236439j 0.0104225+0.0219845j -0.0289748+0.0109393j 0.0292245+0.0188982j 0.0191848+0.00232603j 0.0247306-0.0590086j 0.0117963+0.024734j -0.0531369+0.104253j 0.0805673-0.00486941j -0.254045-0.10376j -0.00946252+0.0336313j -0.0323092+0.333113j 
0.061007-0.0446316j 0.0731332+0.0351013j 0.0153422+0.0978283j -0.179871-0.142536j -0.187668-0.230839j 0.0530143+0.0247812j -0.19005+0.015632j -0.0186093-0.206946j -0.0457245-0.0862071j 0.0136103+0.0226794j -0.0898459-0.00255416j 0.0251709+0.00109259j 0.0273035-0.0322402j -0.119717-0.0639974j -0.0321255+0.00482277j -0.0561762-0.00693311j -0.122012-0.0897971j 0.06962+0.0227444j -0.000334779+0.000197115j -0.0311454-0.0474836j 0.00240845-0.0212404j 0.0549996-0.0420571j 
-0.0547932+0.0351274j 0.044397-0.040749j -0.0230009+0.00959549j 0.127203-0.00368448j 0.00481672+0.134686j -0.080924+0.114943j -0.533857-0.0466494j -0.0264456+0.546144j 0.0855002+0.0252625j -0.0138562+0.00315408j -0.0560205-0.0161999j 0.00959586+0.000491639j 0.0246437+0.000662913j -0.0337828+0.0209188j -0.0114206+0.000798838j -0.0213371-0.00339571j -0.0228546+0.0232558j 0.0217451+0.0201281j 0.0172971+0.0336568j -0.0274806-0.0489772j -0.0105522+0.00934088j -0.00403852+0.0742998j 
-0.0351821-0.0592705j 0.0321961-0.0357422j 0.0187015-0.00173113j 0.0760903+0.268171j -0.208481+0.0946263j -0.0351618-0.0220986j 0.109033+0.355363j -0.212054+0.210996j 0.000178197+0.111306j -0.0024586-0.0239539j 0.126666+0.0314812j -0.0506281-0.017001j -0.00766519+0.0106121j -0.059352+0.0517437j 0.00624252+0.00366321j 0.0111037+0.0105688j -0.0635367+0.0435961j -0.0164718-0.000424678j 0.0170541+0.00399133j -0.0527167-0.032548j -0.00493485+0.0125343j -0.00898939+0.0649348j 
0.0216851+0.114286j -0.00750046-0.0217811j 0.0539172+0.0294522j -0.0545085-0.450139j -0.548283+0.189795j 0.0962184+0.134239j -0.135634-0.165595j 0.109868+0.073667j -0.0414411-0.233905j 0.00338237+0.053771j 0.141159-0.0513572j -0.0622401+0.0129247j -0.0228347-0.0642486j -0.0058852-0.035272j 0.00914522+0.0374758j 0.0217515-0.0107899j -0.00896942-0.0232163j -0.0315054-0.00344099j 0.00116809-0.0115609j 0.00586718+0.0153926j 0.0056982+0.00297992j 0.0404343-0.012835j 
-0.00167107+0.00311367j 0.0142724+0.00223535j 0.0015759+0.0015234j 0.0935288-0.112134j 0.116259+0.239369j 0.0200629-0.00871189j 0.350483-0.232506j 0.197206+0.0386334j 0.107749-0.0465748j -0.0241949+0.00772896j -0.0105892-0.160864j -0.000921712+0.0673444j 0.0568056-0.0013761j -0.0216844-0.0191375j -0.0340903-0.0112569j -0.0137999-0.0141701j -0.0145435-0.0357109j 0.0266451+0.0130557j -0.00567487+0.00579928j -0.00962323-0.0290285j -0.000129026-0.0182824j 0.0155018-0.0671821j 
