0.144286+0.0022915j -0.00705386-0.0701597j 0.0138516-0.0753282j -0.0106231+0.012308j -0.0173256-0.0152894j 0.0404236-0.0264317j 0.0247662+0.0473035j -0.0269909+0.0104255j 0.0175687+0.0159918j 0.00534332-0.000869025j -0.00647394-0.00838061j 0.0187385+0.00229354j -0.000749386+0.00288479j 0.00985529-0.00901941j 0.00179279+0.0347713j 0.0291737-0.0113976j -0.000127545-8.80099e-05j 0.0317552+0.0149488j 0.00636697-0.0313528j -0.00395117+0.000242623j 0.00692526+0.00729214j -0.0179412+0.00248521j -0.00542741+0.00542258j 0.00198813-0.000436538j 
-0.987654+0.00304107j -0.0220398+0.0101541j -0.0293688-0.00915559j -0.00825166+0.0518623j 0.0440176+0.00917291j 0.0109773-0.0126144j 0.0135156-0.00411946j 0.0561249-0.0133134j 0.0107972+0.0470385j 0.0239195-0.0129105j -0.0126409-0.00389254j 0.0303409-0.00073297j -0.0263268-0.00155845j -0.0310532+0.00837077j -0.00965782+0.00510449j -0.0182594-0.00524449j -0.00377092-0.00195243j -0.0088458-0.0020082j -0.0101409-0.000465513j 0.0345171+0.000279701j -0.0114426-0.0119461j -0.0317009-0.00823543j -0.0155967-0.00891917j 0.0189031+0.0110529j 
-0.0900843-0.0745468j 0.0816202-0.0998906j -0.536893+0.380243j -0.0304386-0.0212758j 0.0482619+0.0191756j -0.0697515-0.0146719j 0.0120014+0.0412216j -0.113874-0.0274008j 0.0546279-0.0703379j -0.00412992-0.00352338j 0.0181611+0.0161206j 0.000405929+0.0121923j -0.0223532-0.0110958j -0.0129255-0.0205689j 0.0176902+0.0158726j 0.00975166-0.00182808j 0.0107343-0.0292881j -0.00919257+0.0122648j 0.00195271+0.0176332j -0.0205596-0.0191094j -0.0125644+0.00528101j -0.029136+0.0111221j 0.0272553+0.0112241j 0.00413232+0.0264897j 
0.0912188-0.00561902j -0.330317+0.446979j 0.112714+0.405291j 0.0627704-0.0162231j -0.0610443-0.0563989j 0.0268495-0.00118647j 0.0164648-0.0352648j -0.0124781+0.0489836j -0.0432802-0.0310066j -0.00536605+0.00914239j -0.0186832-0.0201261j -0.00811964-0.0191266j -0.0163929-0.039596j -0.00516665+0.00701528j -0.0235902+0.0101649j 0.00281016-0.00304527j 0.0524636-0.00385554j 0.00831021-0.0229221j -0.0182835-0.0106917j -0.00475996-0.0407254j -0.0151741+0.00315359j 0.00525634-0.0178728j 0.00756352+0.0174032j -0.0192092-0.00195792j 
0.0305778+0.0964423j -0.264832+0.26481j -0.393382-0.421068j 0.062036-0.0157317j -0.0435769-0.00895763j 0.0327366-0.0620994j -0.0165594-0.0147824j 0.00308927-0.086755j 0.0521543+0.0586433j -0.0163172-0.0124969j -0.00132673-0.0215106j 0.00220872-0.00699963j -0.0225934+0.0076903j -0.016428-0.0055679j 0.00297082+0.0147113j -0.0040556+0.0137714j -0.0217808-0.0392544j -0.00165926+0.00629276j -0.00220357+0.0109655j -0.0357756+0.00615835j 0.0342583-0.00833561j -0.00831565+0.00461511j -0.0101781-0.0405614j 0.0194456+0.00225274j 
-0.0828256+0.0778331j 0.511279+0.458883j -0.00778861-0.0292443j -0.0299966-0.0931651j -0.0375237+0.0699755j -0.0321197-0.0534402j -0.0391251-0.0127408j -0.00441224-0.0184206j 0.0292431+0.0319428j -0.0175843-0.0240675j 0.0420002+0.0121564j 0.0144664-0.0259589j 0.0210789-0.00474823j 0.00330859-0.0496222j -0.0169063-0.00709211j -0.0161707+0.0175699j 0.0289222+0.036698j -0.00446135+0.00593947j -0.00809136-0.0177218j 0.0215284-0.00763319j 0.0200949+0.00230788j 0.0108118+0.000712192j -9.85118e-05-0.0230677j 0.0196467+0.00541613j 
-0.0244631+0.00233699j 0.0514305+0.00556469j -0.164906+0.0144673j 0.0651157+0.0587225j -0.0108666+0.00952752j 0.0455286+0.103058j -0.0276538+0.0606546j 0.124079+0.213531j 0.225966-0.13721j 0.0391744+0.0334064j -0.024517-0.00683056j -0.0452671-0.0328048j -0.0157211+0.000463188j 0.0464227+0.0176787j -0.0597367-0.0207201j -0.000274648+0.00225249j 0.0139171-0.00226575j -0.0144839-0.0284721j -0.0917068-0.0435068j -0.0152966-0.0175969j 0.0681953+0.0788344j 0.0325875-0.0449595j -0.118043-0.0820802j 0.0758411-0.103923j 
0.00353396-0.0301707j 0.131695-0.0202306j -0.08054+0.0426108j 0.0631537+0.113099j -0.086446+0.0281428j 0.0917256+0.189081j -0.222095+0.0753503j 0.0754625-0.23774j -0.130667-0.0995051j 0.0436273+0.01899j -0.0553465-0.0175667j -0.0230021+0.0196702j 0.00471034-0.00698333j 0.0844169+0.0350408j -0.082037-0.0111247j -0.0332395-0.0475861j -0.0389768-0.00902633j -0.0246368-0.0619779j -0.0531796-0.00521892j -0.00946605+0.0290015j 0.0650737+0.0109469j -0.00774157-0.0766957j 0.0655546+0.023667j -0.0446346-0.024951j 
-0.0216286-0.0390362j -0.0102027+0.0142699j -0.0150478-0.0158994j -0.0068947-0.0776437j 0.0330372-0.0173719j 0.0763892-0.122072j 0.165586-0.025033j 0.373892-0.173406j -0.204205-0.402769j -0.00867606-0.0136019j -0.0101045-0.0166295j 0.0268152+0.011246j 0.0177165+0.0110735j -0.0206487-0.0271061j -0.0228125-0.0202479j -0.0426258+0.00191692j 0.0142624-0.00235161j 0.0126526+0.067012j 0.0264085+0.0301529j -0.0282332-0.00271723j 0.124809-0.0103262j -0.0157744+0.0632935j 0.00437571+0.0236824j -0.0747975-0.0910055j 
0.0337972-0.0222614j 0.00618049-0.0213611j -0.0649718+0.0216062j -0.0172552+0.0842242j -0.0531182+0.0151485j -0.282059+0.0858878j -0.142037-0.311843j -0.0368321-0.229357j -0.257756+0.0905418j 0.00772324+0.000196648j 0.0080572+0.0209696j -0.0340498-0.00484532j 0.0204817-0.0249527j 0.0220485+0.0308131j 0.0169928+0.0288223j 0.0247183+0.0135109j 0.0236239-0.00333865j 0.0295215-0.0299342j -0.00860417-0.0186076j -0.0212897-0.000224231j 0.0323112-0.0639879j 0.0640554+0.0192735j 0.00690403-0.0518129j -0.0193985+0.0477508j 
0.0387533-0.00726475j 0.0812409-0.0395494j -0.00547376+0.0337116j 0.157923+0.098533j -0.131764+0.146516j 0.23051-0.20237j 0.145079+0.29191j -0.200099-0.130985j -0.122994+0.1024j 0.0188926-0.018782j -0.111687-0.00716533j 0.0517019+0.0100611j -0.0399209-0.0151614j 0.0497904+0.00204857j -0.0424434+0.0391095j -0.0607866+0.042936j 0.0208832+0.0178839j -0.01528+0.00640938j 0.0260085+0.00743413j 0.0111146-0.00087773j 0.00697697-0.0850891j -0.0385521-0.0105404j -0.00544121-0.0799697j -0.0482725-0.00304066j 
-0.00872601-0.000555683j -0.106877+0.0375901j -0.0271276+0.00777006j -0.127338-0.189785j 0.172496-0.169949j 0.229182+0.0830594j -0.0866994+0.157822j -0.106182-0.157286j -0.140734+0.10712j -0.020068+0.0184678j 0.0701934-0.00832023j 0.00976606-0.0399438j -0.00111194-0.0138368j -0.079983-0.0837487j -0.0460691-0.0194349j -0.0209015+0.0348364j -0.0198645-0.012447j 0.0140724+0.0330807j -0.0167651-0.000396783j 0.00308482+0.0368933j 0.0261044-0.0449396j 0.008525+0.0014685j -0.00637247-0.0488658j -0.0244293+0.0118223j 
0.0107676-0.0277917j 0.0373805-0.0212042j -0.0662657+0.00322262j -0.178982+0.112553j -0.142796-0.154827j -0.0972309-0.331384j 0.297482-0.107912j -0.0504005+0.0144459j -0.0191026+0.00263213j 0.0565263-0.0164104j 0.00924715+0.0378278j -0.0217912-0.060428j -0.0120986+0.0420514j -0.0123337+0.0338834j -0.0573667+0.0515695j 0.0152854+0.0376275j -0.0183838-0.0001343j 0.0351815-0.0207333j -0.0171368-0.0391749j 0.00966799+0.00428568j 0.000575194+0.0136598j 0.00484333+0.0251707j 0.0139497-0.00810472j -0.0255491+0.0436478j 
-0.0150094-0.0436406j 0.0173701+0.0210809j 0.0137413-0.00416878j -0.319629+0.244591j -0.252135-0.34079j 0.129563+0.042821j -0.113302+0.109003j 0.0263143-0.0114641j 0.0435902-0.00374836j 0.0932054-0.0330736j 0.0667281-0.0673417j -0.0183756+0.0772385j -0.024548-0.0280048j -0.0148105+0.0641936j 0.000103506-0.0273425j 0.00533031-0.0517697j 0.00740755+0.0128675j 0.0239911+0.0052824j 0.00260346+0.035844j 0.00596773-0.00500355j 0.0117895-0.00449395j 0.040959+0.000199137j 0.00704646+0.0271306j 0.0356535-0.010124j 
0.0382412-0.00219642j -0.12421+0.00758481j 0.0386489+0.00806266j 0.188184+0.254436j -0.261758+0.199442j -0.0290321+0.0213886j -0.0172947-0.0199069j 0.0249004+0.00314428j -0.0151604-0.0194625j -0.0814309-0.141415j 0.0510605-0.104432j 0.0287789+0.00525419j 0.0053656+0.0382751j -0.0183938-0.0650608j -0.00696768+0.00720945j -0.0157322-0.000928328j -0.00473023-0.0065237j 0.00857866-0.00245881j -0.00623138+0.0293638j -0.00218077+0.0118021j 0.00945246-0.01488j 0.0293351-0.0298647j -0.0125463-0.0171649j 0.0185356-0.0284204j 
0.00611241-0.00658301j 0.00189359+0.00317094j 0.0303423-0.0157914j -0.00111237-0.0174259j 0.032021-0.0245159j 0.00119516-0.00963271j 0.0229709-0.0396149j -0.03147-0.0599874j -0.173467+0.0697014j 0.055022+0.0216956j -0.0202169+0.0033602j -0.0570502-0.0217074j -0.00629797-0.0101376j 0.0137741+0.0180206j -0.0434509-0.0198897j 0.0238933+0.00485194j 0.00453069+0.00789373j 0.031126+0.0124253j -0.0412436-0.0265567j -0.00289988+0.0060398j 0.0380094-0.011038j 0.119846+0.122488j -0.269364-0.26062j 0.0079675-0.00453514j 
0.0100128+0.0124091j -0.023438-0.0149484j 0.0400953+0.0348898j 0.0161415-0.0470953j 0.0287498+0.014167j 0.00973676-0.0703732j 0.0586271-0.00376668j -0.097963-0.053419j -0.0377242+0.0870614j 0.00336828-0.0453341j -0.029033-0.0153929j 0.00743298+0.0546143j 0.00981002+0.0143802j 0.0060193-0.00593906j -0.0433846+0.00911585j -0.0265315-0.0258326j -0.0146829-0.00845874j 0.0456939+0.012609j -0.0806451-0.0181432j -0.0308595-0.0340779j 0.208742+0.170317j 0.0485754-0.134497j -0.126689+0.279218j 0.119726+0.167032j 
0.0142482-0.00700382j 0.00608637-0.0036211j 0.00651613-0.00694252j -0.0257174+0.0189048j -0.0395381+0.0178143j -0.0092673+0.0397605j -0.0758844+0.0341238j 0.0182347+0.00588769j 0.0150993-0.00188714j -0.0716587-0.0212952j 0.0330484+0.021945j 0.0775401+0.0455297j -0.00463721+0.00689918j -0.0260004-0.0109378j 0.0497884+0.0411728j -0.0711703-0.0529013j 0.019644+0.00968083j -0.0672631-0.088545j 0.288006+0.221813j -0.0228547-0.0213996j -0.00298267+0.0404732j 0.109382-0.0225999j -0.133717+0.0990753j 0.0996618+0.0790922j 
