-0.0159973+0.0111808j 0.101306-0.122751j -0.108667+0.000608676j -0.0197138-0.039589j -0.0144283-0.00808869j -0.0332603-0.00362927j 0.00109704-0.015343j 0.0270021-0.0349258j 0.0176072+0.0204923j -0.0481029+0.0367151j -0.0129874-0.00115864j -0.0119788+0.0121879j 0.0160346-0.0658276j 0.00926599+0.0584118j 0.041531-0.00997346j 0.0897866-0.030404j 0.0393813+0.00352823j 0.0960975-0.0262601j 0.0391697+0.0291784j -0.0582933+0.0428656j 0.0326357+0.00832586j -0.0429352-0.00182605j -0.0226238+0.0235916j -0.0428819+0.0304864j 0.0320416-0.0277943j 0.00554867+0.0267217j 0.0485917+0.0299102j 0.019622+0.0039008j -0.00264404+0.0130327j 0.012422-0.0115808j -0.00878281-0.00334283j 0.00925399-0.0261428j 0.0135076+0.00270672j 0.00539432-0.00991696j -0.00612883+0.00302079j -0.00181893+0.00475308j 0.00833956+0.0187132j 0.0270629-0.000174968j -0.050507+0.0842689j -0.0131794+0.00807995j -0.00834672+0.0642308j -0.0413456+0.0222546j 0.0201841-0.102239j -0.00122233+0.0804601j 0.118195-0.0304442j 0.0941108-0.0892251j -0.0456618-0.0992384j -0.00694408-0.0250578j -0.0153032-0.0396844j -0.039677+0.0385375j -0.0210617-0.0456576j -0.00836089-0.0205983j 0.0173679+0.0244218j 0.0448542-0.00552805j -0.0108431+0.0722266j 0.0345069-0.00465175j -0.0674061-0.0358674j -0.0333837+0.0147357j -0.0108318-0.049129j -0.0214567-0.0636679j -0.0650286+0.0199912j 0.0150961-0.10529j -0.0504606-0.164696j -0.218401+0.254221j -0.0506596+0.0574945j -0.0338135-0.0262808j 0.0445773+0.0179794j -0.125241-0.0221778j 0.103182+0.197246j 
0.0885505-0.120198j 0.0212455-0.0032013j 0.0110451-0.00972793j -0.0532972-0.0595109j -0.0181848-0.00250446j -0.00889+0.0240897j 0.0237051+0.00187133j 0.00314479+0.0142697j 0.0117541-0.0385369j -0.0294182-0.00391946j -0.0178924-0.0152416j -0.0240002-0.00544126j -0.0194375-0.0156386j 0.0672092-0.0881383j -0.064124+0.00039484j 0.0173788-0.0310691j 0.041212-0.0321337j -0.0189333-0.0302437j -0.0204069-0.000824793j -0.0595713+0.0288117j -0.053964-0.00760309j -0.0350112+0.0237936j -0.0315838+0.0119856j -0.0219651+0.006361j -0.0278573+0.013786j 0.00275629-0.00721513j -0.0219105-0.0314341j -0.0117829-0.0329391j 0.00528478+5.89225e-05j 0.00484361-0.0120107j 0.0206245+0.000659372j 0.028014-0.024382j -0.0139094+0.0257827j 0.0634922-0.0234167j 0.0407612-0.00409537j -0.0468874+0.0239032j 0.0174562-0.0136678j 0.00864592-0.0770897j 0.0051403-0.00574912j 0.0440605-0.00658588j 0.0424231-0.0362683j -0.0240538+0.0359073j -0.0742607-0.0750427j 0.078966+0.0182767j 0.0309004-0.128389j 0.058769-0.103819j -0.0992645+0.119558j 0.0108375+0.0020938j -0.0182051-0.0152703j 0.00656405-0.0115306j -0.0309965+0.0117722j -0.0088903+0.00348396j 0.0193317-0.0340608j 0.0274131-0.0334911j -0.0019371+0.0575987j 0.0108327-0.0749065j -0.013003+0.0919485j -0.0234784-0.0158214j 0.0143903-0.0252623j -0.135588+0.174816j -0.101657+0.0875706j -0.0837391-0.019643j -0.129018+0.141428j 0.111532+0.173121j 0.0168247-0.0235114j -0.0161418+0.0333895j 0.0977743-0.164029j 0.112796+0.167957j 0.149959+0.041197j 
-0.0782234-0.0427501j 0.0151875+0.0178742j -0.00295017+0.0243613j -0.0952877+0.0149283j -0.0336703-0.104827j 0.0097926-0.0119517j 0.075446+0.110047j -0.159465+0.0771738j -0.0788111-0.0123103j -0.0336811-0.0241836j 0.0255515-0.0463385j 0.0755878-0.106174j -0.121983-0.0877798j 0.0184563-0.0497016j 0.0202545+0.00506039j -0.104519-0.0466754j -0.0243948-0.0638563j -0.0226936+0.0431805j 0.00532562+0.0180994j 0.0767641-0.0517904j 0.010821+0.0236076j -0.0304838+0.0332761j -0.00905742+0.0161314j -0.0072332-0.0333894j 0.06189+0.0437187j -0.0365836+0.0603576j 0.0239365-0.0706117j 0.0739963+0.0511703j 0.0260211-0.083998j -0.0487729+0.0386118j 0.0344775-0.0783223j 0.0490662-0.0701056j -0.00302037+0.00913556j 0.00294801+0.0323433j 0.0351632-0.115949j 0.100058-0.0346382j -0.0477748-0.0341381j 0.0659228+0.0353589j 0.103912-0.10774j 0.0745339-0.01923j -0.0382493-0.0428813j 2.48888e-05+0.0256543j -0.0531308-0.0790934j 0.0461657-0.0165652j -0.00744804+0.0235528j -0.0329766-0.0224806j 0.0234759-0.0786616j 0.018566-0.00743204j -0.0204248+0.00987591j 0.0239647+0.0146136j -0.0349774+0.00777338j -0.0917361+0.0184031j -0.0330339+0.00723974j 0.0151869+0.0105428j -0.00823889+0.0550651j -0.00501664-0.0122607j 0.0226075-0.0604125j -0.00569993-0.0204164j 0.00632559-0.0351375j 0.0206687+0.105274j 0.166832-0.122018j -0.0717899-0.0226581j -0.0299294-0.0560339j 0.0230632+0.021838j 0.0211038-0.0357899j 0.0161435-0.0102964j -0.0304334+0.0317822j -0.0689205-0.0149655j 0.0819588+0.0489602j 
-0.0166108-0.00698287j 0.0648319+0.121617j -0.00885728-0.042108j -0.0431342+0.0535829j -0.0703804+0.0159292j -0.00270293-0.0247199j 0.017581+0.00742814j -0.0329729+0.0548769j -0.0318771+0.0349649j 0.0217122+0.020891j -0.013713+0.0358536j 0.0211011-0.137804j 0.00271326+0.0335263j -0.0910335+0.0786169j -0.010277-0.0122752j -0.00319015+0.00684176j -0.0827607+0.0498081j -0.0379554+0.0721743j 0.100456+0.0454028j 0.0286135-0.0491204j 0.049065+0.0185538j 0.00470441-0.00673127j 0.00854888-0.0491723j 0.00533738-0.0436754j 0.0267363-0.0073131j -0.00439883-0.00837422j -0.0332988+0.06711j 0.0202383-0.00498173j 0.0245575-0.0489735j -0.0114328+0.0214685j 0.00875345+0.0258786j 0.0164548+0.0451859j 0.0745002+0.0206621j -0.00234979+0.0297786j 0.0580148+0.0280578j 0.045429-0.0670464j -0.0394191+0.079436j -0.078049+0.0604464j -0.102267-0.0923623j 0.0496631+0.0651373j -0.117121+0.110034j -0.0969431+0.00192293j 0.00557253+0.0282288j 0.00854477+0.0787132j -0.038153-0.0375471j -0.000259807+0.12408j 0.10498+0.0344873j 0.00922295-0.0495666j 0.0144646+0.0231367j -0.0595188+0.0148231j 0.0296122+0.0286753j -0.004629+0.0307556j -0.0338675+0.0249015j -0.0530715-0.0380905j -0.00668646+0.00967226j -0.104691+0.0951681j 0.0435492-0.0137493j 0.0183121+0.0636317j -0.00563826-0.0167709j 0.0672842-0.0991133j -0.116483-0.0988345j -0.0611886-0.00448491j 0.00937341+0.132719j -0.0086095+0.0957207j -0.0296157+0.0636625j 0.0342143-0.052156j 0.0844926-0.103517j 0.145981+0.0601029j 0.0880773-0.00756443j 
-0.00367295-0.0895566j -0.0067309+0.0261051j 0.00578411+0.0717375j 0.0865173+0.0238246j -0.0304924+0.0717075j 0.0404801-0.0150439j -0.015411-0.105665j 0.128661-0.0242085j 0.0417736+0.0704154j 0.0507184-0.00628686j -0.0642089-0.0145883j 0.0228541+0.0138905j 0.0474232+0.0635205j -0.102683+0.0148892j -0.00835958+0.0137181j 0.0736116+0.0162946j 0.0154779+0.0195097j 0.0222064+0.0392866j 0.046539-0.036267j 0.00873184-0.00244472j 0.052367+0.00992779j -0.0579447+0.00483819j 0.017324-0.0519854j -0.0397187+0.0898161j -0.0199696-0.0872928j -0.0262206+0.00192341j 0.0371372+0.00294387j 0.00335895-0.0567563j -0.00711509+0.0468214j 0.00602824-0.0039726j -0.00780669+0.000997835j -0.0947524+0.00404135j -0.107715+0.0274955j -0.041928-0.00741921j 0.0408045+0.00674331j 0.0220615+0.0161795j -0.00458594-0.0857781j -0.0444616-0.0222383j 0.0335852-0.117117j 0.0625479+0.00570505j -0.0457046-0.0737031j 0.0356673-0.0826878j -0.0821654-0.0252506j -0.0507693+0.0336593j -0.0366747+0.0422121j -0.103424-0.0606237j 0.0100453-0.0582874j 0.00483764+0.0158167j -0.00199571+0.022069j 0.0279986-0.0178998j -0.0144506+0.0400311j 0.0347176+0.013135j 0.0536053-0.0286291j 0.00499061-0.039106j -0.000388621+0.0565205j -0.0224765-0.0329588j 0.0214335-0.0807164j -0.0203873+0.0312405j 0.0154769-0.078005j 0.0643316+0.17209j 0.153917-0.123853j -0.130128-0.0499685j -0.0725761-0.0633922j -0.000498385-0.027044j 0.0353068-0.0419967j 0.0372973+0.000157092j 0.0206408+0.053514j -0.0481759-0.0123281j 0.131101+0.0565771j 
0.00645276-0.0217982j 0.015903+0.012797j -0.00418622-0.051926j 0.0327029+0.00458902j 0.0684646-0.0457717j 0.0440385-0.0286815j -0.00957667-0.0203946j 0.098237+0.0111046j -0.0711575+0.0147618j -0.00101141+0.0647063j -0.0952141+0.138784j 0.039997-0.0366838j -0.0416825-0.136847j -0.202959+0.166549j 0.024703+0.0677895j -0.0167568-0.0247895j 0.0111775+0.0495536j -0.0122761-0.0778762j -0.086284+0.044761j -0.00842749-0.0539711j 0.00736556-0.0424838j -0.00202727+0.0157083j 0.0462056+0.00442425j 0.0121132+0.0165954j 0.0647707-0.0606324j -0.0245934-0.00306684j 0.116557-0.0632799j 0.0199737-0.00130172j 0.0555626-0.00818809j -0.0663245-0.0101013j 0.0284495+0.0175976j 0.0263608+0.0147416j -0.00461984+0.00120246j -0.0598092+0.0923892j -0.0725895+0.0573674j 0.0170991+0.0370386j -0.0458254-0.0118495j -0.0711151-0.0695282j 0.129406-0.0687689j -0.0386623-0.059631j 0.0700215+0.0595341j -0.0135426+0.00975106j -0.017573+0.048365j 0.0214+0.0173985j 0.0820037-0.0671445j -0.0634067-0.123917j -0.0223127-0.0950167j 0.0363073+0.018001j 0.00801862-0.053816j -0.0319889+0.0419846j -0.00594816+0.00396113j -0.0322868+0.0676805j 0.0154323+0.0303892j 0.0398287-0.0299309j -0.0371283+0.0639794j -0.0520687+0.0868945j 0.0624095-0.0881089j 0.017669-0.0587574j -0.019216-0.034748j 0.0350188-0.00595654j 0.117479-0.11606j 0.00505461+0.0060063j 0.0361549+0.00851258j -0.00902729+0.160359j 0.0343476-0.0196549j -0.0193194-0.0162862j -0.117564-0.0801724j -0.0416865-0.0347274j 0.137003+0.00441114j 
0.00275918-0.0157064j 0.0675086+0.058981j 0.0510586+0.0447359j 0.0835269+0.0124758j -0.00295593+0.00628179j 0.028936-0.0184264j -0.0152531+0.0631751j -0.0116745+0.0222702j -0.0562054-0.00730634j 0.142891-0.130718j -0.0649729+0.0784962j 0.135092-0.04097j -0.146203+0.0513538j -0.0587569-0.055146j 0.0463452+0.00456887j -0.0729125-0.0396595j -0.00282146-0.0401726j 0.0341314+0.0223941j 0.00280771-0.0237441j -0.083511-0.00839308j 0.0753698+0.0561828j 0.0248688+0.0174031j -0.0328695+0.0545444j 0.0174729+0.00300228j -0.0140442-0.0209687j -0.0161323+0.039918j -0.00787724+0.0369485j 0.0703373-0.0170611j 0.0203591-0.0231891j -0.0262973+0.0408729j 0.0131932-0.11128j -0.0817263+0.0262405j 0.0109245-0.0781386j 0.060709-0.00407518j 0.115326-0.0581165j 0.0685096-0.00251447j -0.071998-0.0477853j -0.0296149+0.028347j 0.0556043-0.0208028j -0.0631076-0.00840807j 0.0201525-0.100149j -0.0103756-0.058638j -0.00906909+0.0933943j 0.0169317-0.0780167j -0.0124782-0.0203748j -0.00153624+0.0374812j 0.0172879+0.0380605j -0.0157082+0.0200099j -0.0208895+0.0076498j -0.0153078-0.10377j -0.00422827-0.00491452j -0.0676409-0.00455117j -0.0275877+0.0100936j 0.0636735-0.0973637j 0.0716826-0.0680502j -0.0411879-0.0324077j -0.10845+0.0728914j -0.107722+0.0174439j -0.0115959-0.012419j 0.0300775-0.038298j -0.09576+0.103624j 0.063326+0.0497497j 0.00318964-0.0690862j -0.136603+0.0690759j -0.0400335+0.0983513j -0.0246604+0.0237805j 0.00648008+0.0610882j 0.00184946-0.0631891j 0.0597582+0.0419822j 
-0.0193414+0.010854j -0.038185-0.044764j -0.0352547-0.030554j 1.43194e-05+0.0975767j 0.0837482-0.0273311j 0.0396566-0.00746587j -0.0351517+0.0346464j -0.0355474+0.0539753j 0.065813-0.17906j 0.0599952-0.108852j 0.05858-0.00602796j 0.0190301+0.00711535j -0.0815505-0.0090739j 0.0739577+0.0264895j -0.0486162+0.0455958j -0.00619331-0.0313806j -0.0252304+0.0288976j -0.0346328-0.0501319j 0.0515636-0.0418466j 0.0283973-0.0294941j -0.0150372+0.0172887j -0.0311413-0.0893414j -0.0160291+0.0286989j -0.061596+0.00543048j -0.0102522+0.114639j 0.0288736-0.052822j 0.0667098-0.0677623j 0.0148005+0.0564318j 0.0428238+0.0236952j -0.131469+0.0126083j 0.0468309-0.0671556j 0.0850449+0.0359511j 0.0333577+0.0584825j 0.0765166-0.0960378j 0.0502773+0.0179283j -0.100137+0.102768j -0.00875439+0.022118j -0.0304471-0.029759j 0.0423138+0.115829j -0.0610456+0.153447j 0.0272604-0.00838557j -0.0401782-0.0148904j 0.113016+0.0933301j -0.033261-0.124592j 0.0683618+0.0435957j -0.0917543+0.0308401j -0.0108784-0.125786j 0.0352417+0.00480883j 0.0259114+0.0106328j 0.0492086+0.00272732j 0.0220267-0.0541317j 0.00879952+0.035032j -0.0155906+0.0676956j -0.0696059-0.00294976j -0.00602407-0.0316714j -0.000355366+0.0852762j 0.0234915+0.0185641j 0.0598678+0.00935476j -0.0438352+0.0634298j -0.0462364+0.0519112j 0.028651-0.0429087j -0.0482866-0.0235054j -0.10378-0.0452281j 0.0239871-0.0228184j -0.0137706+0.0149787j -0.00539807+0.00131335j 0.0380637+0.0785666j -0.158577-0.0863984j 0.0714889-0.058548j 
0.0405932+0.0263218j -0.0154742-0.0178253j -0.0145691-0.0467765j 0.0277604-0.00901016j -0.00430041-0.0984942j -0.0216475+0.0826965j 0.0650842-0.0382139j -0.0437697-0.0408292j 0.0129645-0.023073j 0.0723328+0.0167077j 0.0612578-0.0147497j 0.115591-0.00119397j 0.0046283-0.113703j -0.180696+0.166027j 0.0219631-0.0167995j -0.00986706-0.0337332j -0.0441575+0.139742j 0.0412939-0.0397607j 0.00434054-0.0139312j -0.036469+0.0396654j 0.0121637-0.00195624j -0.0186583-0.00202409j -0.0613888+0.042267j -0.00983488+0.0336976j 0.0199519+0.00558007j 0.0172825-0.0241981j 0.0283861-0.0215789j -0.00240673+0.0207053j -0.0436753-0.0140695j -0.0109948+0.0807235j 0.0347436-0.060517j -0.0203005-0.000388545j -0.0427775+0.0323453j -0.137089+0.0187848j -0.0405431-0.0778476j 0.0511729-0.0143888j -0.0716684+0.0578148j 0.0822335+0.00953503j 0.0229136-0.0084111j 0.0822961-0.0790444j -0.0797043+0.0719665j 0.0171733+0.0323909j -0.000304939-0.0442j -0.00741044+0.0473852j 0.00781361-0.0245293j 0.00111911+0.00208512j 0.00584019+0.00504403j -0.0401259+0.00433114j 0.00325853-0.0217776j 0.023087-0.0464841j 0.00596693-0.0229706j 0.0187734+0.00611062j -0.0399946+0.00190337j -0.0105695-0.00181739j -0.0176741-0.024582j 0.0396939-0.0118536j 0.0151083+0.0130471j 0.0263085+0.0565864j -0.0335745-0.0174277j 0.0116981+0.0174492j -0.0427567+0.0582532j -0.00779701+0.0307513j -0.0262872+0.0568468j 0.0296337+0.0127479j -0.00480452+0.00160653j -0.0123905+0.00967216j 0.090903-0.0811223j 0.0461989+0.0439721j -0.019472+0.0285708j 
-0.0502529-0.00978913j 0.0647183-0.015637j 0.0695906-0.0197794j -0.0362976+0.0157085j -0.0444764-0.0504544j 0.0183228-0.122422j 0.0259835-0.141191j -0.0897314+0.0656368j 0.0961149+0.0114333j -0.0274086-0.231089j 0.0218206+0.0395466j 0.0409156-0.106709j 0.065683+0.139336j -0.0775577+0.0549869j 0.0433792-0.0512528j -0.0101588+0.136069j -0.0186803+0.0345985j 0.0507268+0.0298419j -0.0391368-0.0237293j 0.0395277+0.04674j -0.0572938-0.0162838j -0.0395757+0.0465647j 0.0193082+0.0590924j -0.0756108+0.0353415j 0.0507127-0.11667j 0.0625879-0.0454747j 0.0207233-0.0698289j -0.154324-0.0761303j -0.0330467+0.125297j -0.115492+0.0396255j -0.058856-0.0273452j -0.0684071-0.0251344j 0.0236519-0.0680203j 0.0215328+0.0949165j 0.0666315+0.0644208j -0.0364619-0.0634149j -0.0914017+0.0546777j -0.00427919-0.137013j -0.0127651+0.0240965j -0.0707577-0.0564198j -0.00199953-0.0721459j -0.0521626-0.00861083j 0.0334514-0.0814375j -0.00230064-0.0904208j -0.0109527-0.0211372j 0.000101716+0.0429883j -0.02518-0.0449228j -0.0103975+0.00358948j -0.0157244+0.0197156j -0.00743179+0.00393028j -0.0144531+0.0220161j -0.00680054-0.0391546j -0.0271113-0.0298427j 0.0456453+0.0127496j -0.0235887-0.0057828j 0.0309533-0.0619885j 0.026134-0.0212306j -0.0368201-0.00261352j -0.0538705+0.0308869j 0.0491129+0.0158208j -0.00964948+0.0447156j 0.0229512-0.00459345j -0.00811683-0.0128789j 0.0714506+0.0159004j -0.0106828-0.00800849j -0.0134945+0.0247246j -0.0191452+0.0424328j -0.0397841+0.0979549j -0.0255813-0.0323539j 
-0.0052885-0.0247895j 0.0521883+0.0126466j -0.00283766+0.0313486j 0.0551063-0.0131942j -0.0587614-0.0819467j 0.0352823-0.0212119j 0.00909444-0.0272991j 0.0550618+0.00431188j 0.0376068-0.114529j -0.0998991+0.0976828j 0.0519948-0.0812533j -0.0727935+0.0921171j -0.0174753-0.265008j 0.00751136+0.0511363j -0.0577685+0.00914116j -0.0209979-0.0888863j 0.00483565-0.00582037j 0.0191914-0.000840421j 0.00700235+0.0478273j 0.00435771+0.0179472j 0.00364518+0.00577439j -0.065417+0.0449024j -0.0330496-0.0393814j 0.0802682-0.116132j -0.0590184-0.0804501j 0.0233175+0.0535045j -0.0323731+0.00115103j -0.0433749+0.0112658j -0.0450106+0.0738124j 0.0295586+0.0683119j -0.121547-0.000201987j -0.0289739-0.0680742j 0.0572266-0.0937378j 0.0195506+0.0110458j -0.0391672+0.0940314j -0.0773517+0.135158j 0.0138731+0.0113046j -0.0334478-0.023271j -0.0730666+0.0408931j -0.0169668+0.0110292j -0.0627899+0.0120575j -0.0695732-0.00081757j -0.0713844-0.0493705j 0.050259+0.0908626j -0.0630423-0.0212002j -0.00344244+0.037072j 0.0384248-0.0327747j 0.0317075-0.0152902j -0.0202511-0.0162671j -0.043706+0.0529337j -0.0306403+0.00621191j 0.0064196-0.0402909j 0.0227313+0.0353505j 0.0112634-0.0531923j -0.00627812+0.02828j -0.0354731-0.00365199j -0.00313921-0.0132665j 0.00124514-0.0521189j 0.0108177-0.00302486j 0.0717924+0.0106502j 0.0151283-0.0210151j -0.0297518-0.034392j 0.013003+0.00416669j 0.00135236+0.0087614j -0.0241197+0.0430703j -0.0220487-0.0243845j -0.0271361-0.00639795j 0.0561115+0.00744392j 0.0606634+0.0167295j 
