-0.0121355+0.0143971j 0.00207576+0.032972j 0.00268993-0.0428513j 0.00943769-0.0101441j -0.000748767+0.0283655j 0.00787897+0.0252533j -0.00711423+0.0285748j 0.00145523-0.0459702j -0.00200907-0.00895752j -0.00131506-0.0333706j -0.00613848+0.0203838j 0.000439019-0.0109355j -0.00136665-0.00801224j -0.00620429+0.00257137j 0.00121813+0.0829084j -0.000484964-0.0152592j 0.000220496-0.00472428j 0.000859841+0.0193978j -0.00330753+0.0356996j -0.000536437-0.00269803j 0.000346967+0.0216772j -0.00151474-0.0263093j -0.00210077-0.00254941j -0.00334173-0.0397353j 0.00161185+0.00467621j -0.000483935-0.0243115j 0.000748699-0.00406518j 0.000636215+0.0260606j -0.0039902+0.0236959j -0.0011779+0.0344643j 0.002534-0.0425776j 0.000476999+0.0382128j -0.00178189-0.0345392j 0.000779711-0.0100073j 0.000479908-0.0016061j -0.000109235-0.0153579j 0.000866047+0.0277347j 0.000153502-0.0101448j -0.000437307+0.0197964j 0.000748931+0.00762838j 0.000700512+0.0570414j 0.00291677+0.0254249j -0.000168712-0.00300539j -0.000768117+0.0015342j 0.00209856+0.0331439j -0.00182345+0.0447803j -0.00122691-0.0334143j -0.00183116+0.0352747j -0.000918248-0.0365929j 0.00195727+0.00738645j -0.00109703-0.00297517j 0.000360365-0.0446709j 0.00161412-0.016738j 0.000497819-0.00530299j -0.00333017+0.0346577j 0.000206059-0.038984j 0.00401869-0.0368053j -0.00172331-0.01315j -0.00234756+0.00460913j -0.00293309-0.0334462j -0.00398657-0.129659j -0.00317632-0.00809957j -0.00482685-0.0135063j -0.0024802+0.0435516j -0.00253708-0.0192617j 0.000164562+0.0487545j -0.00110447-0.0222842j 0.00158615-0.0791782j 0.00597532-0.00756644j 0.00518564+0.103033j -0.00103453+0.0590149j -0.00370156-0.00674675j 0.00395545-0.0397123j -0.00384305-0.070189j 0.000161387-0.151295j -0.00047174+0.115059j 0.00397064+0.281511j 0.000952342+0.100464j 0.00227983+0.0132639j 0.000850764+0.0221695j -0.00199841-0.0738029j 0.00225288-0.0183041j 0.0047613+0.587581j -0.00324358-0.163515j 0.00340282-0.197209j 0.00262148-0.105982j -0.00799339-0.0771839j 0.0044485+0.152222j 0.00572775-0.0533209j -0.00971009-0.0866247j 0.0018929-0.038661j -0.0277996+0.0186384j 0.00243906+0.111665j -0.0288652+0.0506584j -0.0262591+0.0306129j 0.013694+0.0787221j -0.0491077+0.0222692j 0.00936677-0.359213j 
-0.00208259-0.0330161j -0.0122395+0.0146244j 0.00894447-0.00778319j -0.00247133+0.0457658j -0.0082963+0.00800089j -0.0039572+0.0325033j -0.00388533-0.0536055j 0.00622777-0.0168093j 0.00201277-0.00928946j 0.00346214-0.0221133j -0.000244984-0.0517957j 0.00079715+0.0145631j 0.00105089+0.0155369j -0.00154372-0.0571229j -0.00770366+0.0310506j 0.00193046+0.00742908j 0.000643277+0.0158607j 0.000180351+0.00956059j -0.00229656-0.0327186j 0.000255809+0.0150089j -0.00123215-0.000329054j 0.000728178-0.0251714j 7.66559e-05-0.0341925j 0.00340808-0.0450274j 0.000132053+0.0113406j 0.00125082-0.0102673j 0.00114985+0.0127388j -0.00282108-0.0157697j -0.00112875-0.0429131j -0.00209955-0.0112595j 0.00280002+0.0150469j -0.00152088-0.00741485j 0.00066417-0.0273316j 0.000928418+0.00425106j -0.000139786-0.0196843j 0.00117045+0.0020085j -0.00166622-0.0102756j -0.000757378-0.00189514j -0.00194597-0.0118713j 0.000466875+0.010064j -0.00213787-0.00764063j -0.00098752+0.023203j -1.22365e-05-0.00856346j -0.000621478-0.0214811j -0.00209721+0.0291452j -0.00265358-0.0311363j 0.00140554-0.0146746j -0.0029007-0.0411954j 0.00163498-0.0337435j 0.000793301+0.0294545j -0.00125699-0.0469921j 0.00134812+0.0154922j 0.00207471+0.0359208j -0.000263447-0.0100242j -0.000969078-0.0275266j 0.00235125+0.021549j 0.00347717+0.0760661j 0.00100726-0.0443918j 0.000447478-0.0654198j 0.000953617-0.0549906j 0.00312436-0.00609823j 0.00288134-0.0136945j -0.000464886-0.0866075j -0.00464487-0.0536212j -0.00022166-0.0543467j 2.3073e-05-0.0272741j -0.000210564-0.0472258j 0.005065+0.0680637j 0.00155313+0.0735172j -0.00603404+0.0486357j -0.000366376-0.106519j -0.00287304+0.0428867j 0.000229513+0.107238j 0.000811066-0.119051j -0.00141185-0.148648j -0.000115597-0.10681j -0.00553064-0.0612926j 0.000795804+0.023797j 0.00130672+0.124962j 0.00558464+0.443881j 0.00268917-0.0167123j 0.00376161-0.0867114j 0.00148021+0.0930608j 0.00138357+0.492474j -0.00440908-0.132419j -0.00330357+0.00958139j -0.00170313+0.132068j 0.00974537-0.00226883j -0.00976846-0.161057j 0.000971571+0.0196107j -0.00138193+0.0168733j -0.000680039+0.100215j 0.0405626-0.0388585j 0.00201994+0.0663902j -0.0103837-0.0858697j -0.0275049+0.0263732j 0.00896386-0.359216j 0.0489122-0.0224774j 
-0.000405738+0.0219316j 0.0118491-0.00824279j -0.000821198+0.0189968j -0.00227396-0.00637268j 0.000489069+0.00724095j 0.00606689-0.0107627j 0.00784828+0.0211279j -0.000269637+0.0485074j 0.00743989-0.0358152j -0.00308252+0.000422666j 0.00261433+0.0225983j -0.00186927-0.0277988j -0.00292437-0.0511605j 0.00046133+0.020302j -0.00124569-0.0542937j 0.00365549-0.0362715j -0.000422921+0.0142446j -0.00182987-0.0153899j 0.00439503-0.00462949j -0.00407158-0.0200833j -0.00665455+0.00506677j -0.000406684+0.0122866j -0.0053107+0.0611528j 0.00473874-0.0190263j -0.000136524-0.0410507j 4.01314e-05-0.00902071j -0.00185607-0.0178403j -5.23639e-05+0.0502616j 0.00151507-0.0611051j 0.00526263-0.0382661j -0.000316176+0.0428926j 0.001526-0.0458199j -0.000790796+0.0135129j 0.00265239+0.0089783j -0.00108529-0.00715206j -0.00300692-0.0466749j 0.00209692+0.072324j 0.00228532+0.0340681j -0.00190836+0.000173005j -0.00181951-0.053015j -0.00445357-0.0432303j -0.000510805-0.0328069j -0.000758581+0.00807721j -0.000704196+0.0130609j -0.00208406-0.0113586j -0.000268331+0.088598j -0.00137564-0.0130726j 0.00150923+0.0683656j -0.00217033+0.112232j 0.00172667-0.0359599j 0.000625489+0.0107447j -0.00144985+0.0485861j -0.00363605+0.0734529j 0.0022442-0.014284j 0.00334442-0.0828947j -0.00579615-0.055191j -0.00247726+0.028832j 0.000319824+0.0311933j -0.00281678-0.0455289j 0.0058872-0.176781j 0.00351102+0.139938j 0.00113295+0.125132j -0.000672534-0.000800704j 0.000508883+0.052781j -0.00687563-0.236628j 0.00739531+0.100183j -0.00457105-0.135321j 0.00353859+0.138313j 0.0012757-0.0595527j -0.004091-0.242733j 0.00527434+0.184684j -0.00451519-0.12297j -0.00246344-0.253746j -0.00255116+0.100147j -0.00305935-0.344272j -0.0101585+0.17129j -0.0127982-0.0815757j 0.00800119+0.0847246j 0.00135033-0.0977274j -0.0118687+0.0498437j 0.00705018+0.0108887j 0.0114157+0.0781466j 0.00645978-0.0274028j 0.005643+0.0425753j -0.0109384-0.000875131j 0.00925931+0.000751638j 0.0143128-0.0730858j -0.019372-0.0073604j -0.00529466-0.0787791j -0.0185057+0.123796j -0.0286806+0.0508365j -0.0295042-0.0739999j 0.0105128-0.00865174j 0.0108074+0.0230926j -0.052924+0.00298348j -0.0196595+0.320727j -0.00481964+0.013329j -0.00415556+0.0277438j 
0.0128432-0.0107901j -0.000926065-0.0222786j 0.00360312+0.00298193j 0.00214565+0.0227303j 0.00555152+0.0135209j -0.00405377-0.0315778j 0.00326781-0.0422921j 0.00753523-0.0291998j -0.00816859-0.0154498j -0.0018421+0.0424245j -0.000131354-0.00750913j -0.000619564+0.0562258j -0.00236855+0.042j 0.00361411+0.0198898j -0.00295516+0.00584652j -0.00204702+0.00360053j 0.00167364-0.0203805j -0.00253787+0.00439607j -0.00117013-0.0103332j -0.000273571+0.0335964j -0.000820172+0.0133164j 0.00247189+0.0100806j 0.0027652+0.00181542j -0.00174362+0.0106366j -0.00485111-0.0199721j 0.000805658+0.0416501j -0.00128322+0.00602172j 0.000611421-0.035699j 9.59631e-05+0.0503625j -0.00151126-0.0404963j 0.00221092-0.00907946j -0.00248786-0.011204j 0.00268497+0.0190601j -0.000247848-0.0626714j -0.000494726+0.0167474j -0.000785426+0.0420342j 0.000553018-0.0452215j 0.000812251-0.0167789j -2.32086e-05+0.0305785j -0.00229403-0.00695279j -0.00225438+0.000460406j -0.00315236+0.00573948j 0.000654089+0.00234366j 0.000415361-0.0209346j 0.00132511+0.0289163j 0.00313728+0.00861335j -0.00162959-0.0126581j -0.000241492-0.0563595j 0.0030183+0.0939174j 0.000251093+0.0217758j 0.00430904+0.0268716j 0.00504865+0.0781139j 0.00199878+0.00829061j 0.00472713-0.00201224j -0.00086155-0.021368j 0.00099067+0.0368077j 0.000617379+0.0988636j 0.000415992+0.0981901j -0.001891+0.0372697j -0.0075609-0.0279747j 0.00385807+0.0304888j -0.00620873-0.181138j -0.00499376-0.0144902j 0.00137328-0.0498812j 0.00461522-0.101597j 0.00221837-0.128834j 0.00133519+0.00970158j -0.00515485-0.19624j 0.00223923+0.466819j 0.000342784-0.0757818j 0.00328279+0.141945j 0.000600158-0.385626j 0.00215962-0.0724399j -0.0048242-0.0743663j 0.00431172+0.107938j -0.00932705-0.0475492j 0.00171748+0.0035199j -0.0038304+0.0988953j 0.00593582+0.0981504j 0.00504678-0.0643636j -0.00388674+0.00789412j 0.00645672+0.109174j -0.00669594+0.0443369j -0.00856889+0.034359j -0.0182418-0.0380037j -0.0139441+0.108608j 0.0239983+0.00187677j 0.0130394-0.000372773j 0.0122434-0.0540084j -0.00336331-0.0719792j 0.00679178+0.125233j -0.037443+0.0166547j -0.0202887+0.00173984j 0.0318507-0.00061978j -0.0103567+0.315942j 0.0469066-0.00933173j 0.00255691-0.0323021j -0.00544228+0.0135318j 
-0.000350071-0.00836226j -0.0058103+0.00599327j -0.00926008+0.0100184j -0.00909389-0.00610911j -0.00947363-0.0253181j -0.0095001+0.0402132j -0.00586409-0.00165636j -0.00577824+0.0332402j 0.0096804-0.000334331j 0.00136335-0.0190034j 0.0024307-0.047759j 0.0025599-0.0319947j 0.000659694-0.0370986j -0.00450621-0.0322469j -0.00276537-0.0303531j 0.00674498-0.000682232j 0.00569573+0.00833126j 0.00394394+0.0207948j 0.0043357-0.0629956j 0.00660387-0.00922834j -0.00122259+0.0178345j 0.00253108+0.0150817j -0.000411545+0.0355172j 0.00451088-0.0048704j 0.00476731+0.0716649j -0.00103433-0.0424555j 0.00162464+0.013804j 0.000626668+0.0421005j -0.00119174-0.0655189j -0.0014289-0.0161173j -0.00469151+0.00715283j -9.64568e-05+0.00187204j -0.00259604-0.0351877j -0.00381709+0.0470767j -0.0050217+0.0119112j -0.00213012+0.0218718j -0.00138823-0.021131j -2.25755e-06-0.000291081j -0.00171703+0.0534215j -0.000814936+0.0256212j -0.00440218+0.0246509j -0.00692103+0.0180582j -0.00189756+0.00444862j -0.00348589+0.0288595j -0.00535206-0.0509495j -0.00301031-0.00872825j 0.00438123+0.0959525j -0.0024481+0.0513j -0.00451535+0.0215576j 3.76789e-05-0.0570076j 0.00149568-0.0276454j -0.00806777-0.161156j 0.00123568+0.148106j -0.00251037-0.149411j 0.00667668+0.0929978j 0.00226843-0.00738091j -0.00372665+0.0012392j -0.00104746-0.191667j 0.00386364+0.00606595j -0.00799069-0.0720724j 0.00166835+0.336857j 0.0079033+0.225839j -0.000723847+0.0306053j 0.00492136+0.0987136j -0.00675563+0.183572j -0.00480844-0.181024j -0.0142286-0.150053j -0.000491401-0.358254j 0.000338726+0.0770031j -0.00325831-0.0166688j -0.0132056-0.0189882j 0.00337543+0.11048j 0.00216276-0.108135j 0.00731608+0.00565673j 0.00870692-0.057947j 0.00518296-0.109357j -0.0104981-0.0328237j 0.0124843+0.0337584j 0.00789496+0.0242617j 0.000924082-0.00951082j 0.0290924-0.0415929j 0.0190246+0.0279884j 0.0138113+0.00538863j 0.00879766-0.0362762j 0.0146333-0.132495j -0.0147026-0.090367j 0.0124629-0.0248905j -0.000427591-0.0792995j 0.018578-0.0486633j 0.010437-0.0186382j 0.0430802+0.00664034j 0.00080951-0.00813853j 0.0330826-0.00808605j 0.0242887-0.282606j 0.0137204-0.020452j -0.00634253+0.0175267j 0.00669267-0.0177377j -0.00689613-0.0213625j 
-0.00417743-0.00535737j -0.00930414+0.0130944j 0.0103364-0.0127281j -0.00374383+0.0209109j -0.0107025+0.0383293j 0.0133802+0.0159707j -0.00128556+0.0110135j 0.00371735-0.0166486j -0.00057161-0.0197794j 0.000292388-0.0100436j 8.38863e-05-0.03012j 0.00103665-0.0254891j -0.00275111+0.0181856j -0.00247125-0.00285668j -0.00316861+0.0439428j 0.00756923-0.025819j -0.00132126-0.00274265j 0.00863754-0.0364691j -0.00763896-0.032669j 0.000401374-0.0321491j -0.00408012+0.00157637j -0.00496524-0.0203664j -0.0011399-0.0229876j -1.24082e-06-0.075622j 0.00190486-0.0261731j -0.00376604+0.0190135j -0.000522718-0.00104342j -0.00328555+9.63456e-05j -0.00258628-0.0521333j -0.00207305+0.0138659j 0.000920385+0.0237901j 0.000425003-0.0570211j -0.00928431-0.0178715j -0.00129118+0.00243343j -0.00513803+0.0207802j -0.00132356+0.0220611j 0.000230847+0.0107326j -0.00402519+0.0166265j 0.000247307+0.00451553j -0.00228581+0.0114375j -0.00486047+0.00789232j 0.00440706+0.127869j 0.00325674+0.00923821j 0.000775324+0.0176663j -0.00286832+0.0918938j 0.00232779+0.0196981j 0.00387464-0.140689j 0.00169302+0.0303031j 0.00343463-0.00587799j 0.00149057-0.00674168j -0.00247557+0.00409255j -0.00861218-0.0175595j -0.00702873-0.0877624j -0.00656709-0.248581j -0.00273509-0.149028j -0.00103605-0.137515j 0.00917938+0.162059j -0.0067863+0.0239823j 0.00607237+0.0540161j 0.00484395+0.289259j 0.00614893-0.103215j 0.0110257+0.342262j 1.90239e-05+0.159206j -0.005614-0.32519j -0.00568794-0.045053j 0.0181992-0.0208632j -0.00926037-0.0143266j 0.00148568+0.0300136j 0.00835359+0.109196j 0.0133003-0.158655j 0.00492067-0.0515821j -0.00528171-0.0150128j 0.0124349+0.00201447j -0.00935932+0.00386813j -0.0101877-0.010946j -0.00564297+0.0234172j 0.00442806-0.00847522j -0.0225862+0.0386327j -0.0281814+0.0936599j -0.0114056+0.0152802j -0.00941609+0.116029j 0.0360302+0.0192057j 0.0124342+0.00740308j 0.0106404-0.122242j 0.00999916-0.034859j 0.0179302-0.0459475j 0.0480726+0.023667j -0.000416962+0.0513971j -0.00969924+0.0127292j -0.0277713+0.000455097j -0.0185785+0.0238355j -0.0280188-0.0138583j 0.0200049-0.271244j -0.0112645+0.0242977j 0.00742703+0.0141139j -0.0109118+0.00909348j 0.0148548+0.0151284j 0.00577672-0.0365313j 
-0.0153673+0.0168437j 0.00389623+0.0112403j -0.00260854-0.00850637j 0.00496857-0.0260537j 0.00530383+0.00317947j 0.00821685-0.019166j 0.00600531+0.0330083j -0.00132208+0.0034642j 0.000311062+0.0235334j 0.00731655-0.0354372j -0.00353833+0.0379118j -0.00977484-0.0414232j 0.000882022-0.0126452j 0.000343742+0.00258952j 0.00232533-0.0152128j -0.00524575-0.0176415j -0.00306629+0.0301477j -0.00383224-0.0182985j 0.00023924+0.0506134j -0.0105066-0.0187113j 0.00238871-0.0145293j -0.00340553-6.45612e-05j -0.00120057+0.0020772j 0.00020105+0.0249606j 0.00182267+0.0245131j 0.00453121-0.02621j 0.00149666-0.0166041j 0.000434811+0.0327716j -0.00317194-0.02216j 0.00443362+0.0141605j 0.000993641-0.0260932j -0.00152139-0.0253328j -0.0023367+0.0947367j -0.00156+0.0622939j 0.00360903-0.00409639j 0.000534819-0.034706j 0.00184016+0.0590049j 0.000334214+0.0763474j -0.00282879-0.0117146j 0.000417589-0.0357992j 0.000230745-0.0180118j 0.00431518-0.0362856j 0.000716626+0.0152149j -0.00022422-0.0104274j 0.0103088+0.109819j 0.00119969-0.0240918j -0.0010244-0.0184533j -0.00277147+0.0545443j -0.00242384-0.0274871j -0.000973542-0.0412396j 0.00566876-0.00886095j 0.00295437+0.151333j -0.00485844+0.220666j -0.00144034+0.0555027j -0.00185539+0.0551986j 0.00182879-0.123388j -0.00601625-0.0367888j 0.0043598+0.165004j -0.00434292-0.310746j -0.000923759+0.200593j 0.00358738-0.0527404j 0.00544387+0.0401621j -0.00170876-0.304328j 0.00553234-0.0777863j 0.00125106+0.134789j -0.00293154+0.184174j -0.00560132-0.158246j 0.000418833-0.143583j -0.0105418+0.101096j -0.00124042+0.0550151j 0.00534856+0.0971056j -0.00745133-0.0287897j 0.00412576+0.0925756j -0.0146066+0.0177095j 0.00258969+0.0337608j -0.00952937-0.0247179j -0.000926873+0.0214238j 0.00978763-0.0116604j -0.00280081-0.0349013j -0.0143794+0.016551j -0.0422303+0.0356973j -0.0050834+0.143669j -0.010308-0.0629509j 0.0118033-0.0158612j -0.00758785+0.0409914j -0.0380216-0.0665873j 0.0123937-0.041058j 0.0363568-0.0170646j 0.0184142-0.000797917j -0.00229569-0.00930167j 0.0452064+0.00961019j -0.0177901+0.258673j -0.0140206+0.000119216j 7.33032e-05-0.000187713j -0.00316128+0.00345548j -0.0157879+0.0268529j -0.00360601+0.0368763j 0.0151638+0.00839014j 
0.00219226+0.00669871j 0.00994561-0.0107695j 0.00932272+0.0168493j -0.00327609+0.0160812j 0.00636758+0.0158017j 0.0091986-0.0174183j 0.00182749-0.00469546j -0.00483404+0.00593623j 0.000616619-0.0224873j -0.0021576+0.00803461j 0.00489685+0.0355125j -0.000588057+0.0246067j 0.00282275+0.00339712j 0.0081445+0.00952668j -0.00140251-0.0166817j -0.00766262+0.0129919j -0.00999005-0.00863511j -0.00376529-0.0325041j -0.00279804+0.0158543j -0.00246633-0.0275477j -0.00229597-0.0727101j -0.00460065+0.00900309j -0.00298811-0.0452827j 0.00322076+0.00853054j -0.000944393-0.0731964j 0.00100868+0.0200406j -0.00343405-0.0211237j -0.00348351-0.0271372j 0.00104381+0.0307398j 0.00115286+0.00276941j 0.00505188+0.0465504j 0.000584922+0.011145j 0.00625061-0.00372315j 0.00905525+0.0188547j 0.00212881-0.015386j 0.00163487-0.0390573j 0.00463614+0.0990742j 0.00152447-0.0236917j -0.00029003-0.114588j -0.00150668-0.0656127j -0.00184277-0.120915j 0.00382639+0.0373929j 0.00347963+0.013817j 0.00532321-0.0206339j -0.000120522-0.0537154j 0.00144274-0.0423233j 0.00211381+0.0229543j -0.00695593-0.0483446j 0.00101466+0.0312737j 0.00458589+0.0477855j -0.00795777-0.0844158j 0.00661991+0.0815353j -0.00807279-0.170062j 0.00620475+0.145131j -0.00214907-0.136909j 0.00238928+0.13671j 0.00406546-0.0535672j -0.00925634+0.064845j -0.000127896-0.0183551j -0.00416266-0.233601j -0.0027395-0.176901j 0.00925535+0.403578j 0.00557398-0.0878451j -0.00207662-0.0132282j 0.00194629+0.12456j -0.000883253-0.10708j 0.00964995-0.101027j 0.00237208-0.105385j 0.000234238+0.0238508j -0.00344311+0.0344318j 0.000850176-0.0851849j 0.00285967-0.0825937j -0.0143153+0.0116595j -0.00850489-0.0194539j -0.00845091+0.128132j -0.0109476+0.106315j -0.00412117+0.0552554j -0.0151366+0.030633j 0.0105764+0.0198549j 0.00380549+0.0600701j 0.0115699-0.0280277j 0.00718648+0.0749635j 0.0194657-0.0610398j 0.00291+0.00272147j 0.0444444-0.0562534j -0.0205677+0.0460758j -0.0353796-0.00479686j -0.0398121-0.00605035j -0.0317037+0.0009536j -0.0317309-0.0135736j 0.00905481-0.218173j 0.0269889-0.00962491j -0.00674905-0.018197j -0.0263139+0.0130901j -0.00139749+0.0511866j 0.00350958+0.0268796j -0.0103717-0.0142928j -0.00715603+0.0136466j 
-0.00466544-0.00433499j -0.000315065-0.00141438j -0.0106931+0.0168462j -0.001166-0.00826083j -0.00152495-0.0146855j 0.00342745+0.00273687j -0.00631131+0.020062j -0.0119393+0.0349656j -0.000544112+0.0332692j 0.00576505+0.0113694j 0.00555141-0.00881388j 0.00322399-0.0456987j 0.00728396-0.00918765j 0.000765015-0.0282668j -0.00245351-0.0737264j 0.00422111-0.0018637j -0.000609481+0.00544105j 0.00563063-0.0268206j -0.00241018-0.00199228j 0.00689666-0.0639632j -6.27793e-05-0.0418349j -0.000485821+0.0049635j -0.00222682-0.0322662j 0.00695176+0.0526214j 0.00499001+0.0221345j -0.00118694+0.0408584j -0.00148189+0.0009854j -0.000617143-0.0110574j -0.00128206-0.03579j -0.00232363+0.00921104j 0.00276833-0.0146753j 0.00605805+0.00252628j 0.00034412-0.00114094j -0.00105428+0.000653183j -0.00141287+0.0091181j 0.000757351+0.0412504j 2.4764e-05+0.0488269j -0.0011368+0.0452354j 0.00410816+0.00912316j -0.00146995+0.0276973j -0.00018174-0.015692j -0.00206259+0.11302j 0.00204984+0.0133779j -0.000433702-0.0651017j -0.00384238+0.015699j -0.00614623-0.00962617j 0.00327487-0.0767722j -0.00564373+0.0160178j -0.00281594+0.0615j 0.00481578+0.059319j -0.00364838-0.0918714j -0.00402901+0.0112314j 0.00066598-0.0140407j 0.00320171-0.116447j 0.00699739+0.337863j 0.0050404-0.0546318j 0.00384471+0.118851j -0.0029319+0.00107839j 0.00511356+0.0891214j -0.00291524+0.0302595j 0.00386071-0.146329j -0.00280161+0.0647486j -0.00721328+0.0239295j -0.00179172-0.0919717j -0.00254568+0.0403765j 0.0150572+0.0198415j -0.00508132+0.0948401j 0.0090191+0.0384108j 0.00377006-0.0949071j 0.0128629-0.0310106j -0.0244368-0.0137643j 0.00244184+0.0834055j -0.00457825+0.0413906j 0.0125635+0.0040802j -0.00695332-0.0292075j -0.00474414-0.00637349j 3.34898e-05-0.0511956j -0.00231325+0.00585273j -0.000596657-0.0151453j 0.00831389+0.0670783j -0.000924811+0.0351482j 0.00975596-0.0238878j -0.00475724-0.0720174j -0.0149455+0.0151131j 0.0206385+0.0172285j 0.00455658-0.0131878j 0.0172995+0.0131972j 0.0148698+0.0437521j -0.0182659+0.048132j -0.0050568-0.112235j 0.0264925-0.00279026j -0.0475876+0.0136332j -0.0189345-0.0484744j -0.0217335-0.00228204j -0.0150646-0.0657925j 0.0465588+0.0166287j -0.0513277-0.0426248j -0.0123745+0.0502737j 
-0.000790336+0.00632018j -9.2719e-05-0.00945439j 0.00293449+0.000461105j 0.00510127-0.0152594j -0.000176409-0.00390427j -0.00544507-0.00657303j -0.00785944+0.0188193j 0.00344584-0.0119095j -0.00256528-0.00520811j -0.0046059+0.0217446j 0.00204688+0.0190154j 0.00262945+0.00268338j -0.00226338+0.0383576j 0.00391046+0.031261j -0.0070671+0.0230653j -0.000506156+0.00527856j 0.00322823-0.0236567j -0.000719338+0.0123974j -0.000148606-0.0135356j 0.00180351-0.00252944j 0.000321881+0.014168j 0.00185379-0.0199961j 0.00372395+0.0162545j 0.00265097-0.0270333j -0.00237385-0.0226756j -0.00196285-0.0019468j 0.000707553+0.0265552j -0.000851642-0.0410194j 0.000176315+0.0593148j 0.00210173+0.0302828j 0.0018716-0.0200524j -0.003531+0.0563561j -0.000354252-0.0386644j -0.000147765-0.0332054j 8.89925e-05-0.0206913j 0.000463626+0.0767703j -0.000769847-0.0341929j -0.00314025-0.0568759j -0.00083233+0.0288738j -0.00199286+0.0304089j -0.000969589+0.0734172j -0.00296001+0.00201992j 0.000613108+0.056383j -0.000138816+0.0862918j -0.000433808-0.0666687j 0.000981329+0.0275174j -0.00401798+0.0243976j -0.00448101+0.00543597j 0.0043638-0.0318191j 0.00420747-0.0452716j -0.00368527-0.194138j 0.00458028+0.0290506j 0.0103057+0.00796044j -0.00230896-0.168285j -0.00221845+0.0405345j -0.00232894+0.132875j 0.00722799-0.00735906j 0.0137629+0.0304878j -0.000780511+0.00571756j 0.00673442-0.0297531j -0.00266391+0.0245699j 0.0010975+0.0410698j -0.00656807+0.0764779j -0.00375727+0.0139644j -0.000390283-0.0142387j -0.0075415-0.137529j 0.0113934+0.0118038j -0.000165584-0.108846j -0.000143165+0.0595551j -0.000597696-0.009962j -0.00907059-0.0546012j 0.00708486-0.00387879j -0.0125079+0.0407634j 0.012322-0.0550907j 0.015436+0.106971j 0.00249401-0.0555431j -0.0136733-0.0265051j -0.00382841-0.0001363j 0.00141523+0.0215343j 0.0145793-0.078775j -0.00417654+0.0151375j 0.00124909-0.00832604j 0.0178138-0.0472482j -0.0177187-0.0690767j 0.0156029-0.0271293j 0.00523014+0.00784316j 0.00718569+0.0198034j -0.014977+0.000750869j -0.00820838-0.0608013j 0.00227281-0.0582822j -0.0133257-0.00798119j -0.0222941-0.0303721j 0.0620191-0.0135019j -0.0100923-0.0395602j -0.0520983+0.0162448j -0.0293362-0.057026j -0.0186584+0.0573254j 0.0612389+0.0546475j 
0.00437608-0.00967949j 0.00429746-0.00946871j 0.00460617+0.00460333j 0.00324857+0.011071j -0.00248113-0.00662142j -0.00295787-0.0105361j -0.00339279-0.0261415j 0.00748362-0.00444637j 0.00248293-0.0138186j -0.00789652+0.00846803j -0.0101866+0.0109739j 0.00811676+0.0184638j -0.00480713+0.0142944j -0.0118833-0.00193414j 0.00348879+0.0337145j 0.00566985-0.0136296j 0.00411136+0.000142658j 0.00156318+0.0167567j 0.0034069+0.00491047j -0.00309385+0.0270836j -0.00314901+0.0640809j 0.00533026-0.0192545j -0.00323739+0.024695j -0.00374083-0.0287127j -0.00511807-0.0504595j -0.00147439-0.0225076j 0.00580565+0.00971899j 0.00427618-0.0344721j 0.00106892+0.0116937j 0.00233927+0.00346297j -0.000126426+0.029454j -0.0037088+0.0209641j -0.00753307-0.00473338j -0.000350067+0.0259915j 0.000351292+0.020517j 0.000118649+0.00249365j 0.00129065-0.00741399j 0.00519504-0.0423933j -0.0067276+0.016522j 0.00190861+0.127335j -0.00119312+0.126133j -0.000850142-0.0468846j -0.00474872-0.050775j -0.00361388-0.0343113j -0.00142891-0.0625202j -0.000315511+0.0379246j -0.00386654-0.0944209j 0.00295621+0.0896197j -0.00062359-0.0274127j 0.00263443-0.0113958j -0.000306393+0.0354602j -0.00408803-0.120415j 0.00142243+0.084837j -0.00139373+0.141342j -0.00790805-0.309225j -0.0124104-0.0706332j -0.000686392-0.0750763j 0.00247478+0.00847041j -0.000266383-0.0885715j -0.00714788+0.21195j -0.00502535+0.114658j -0.00755344+0.109308j -0.00989882-0.0294877j -0.00891606+0.000426516j 0.00190213+0.0296992j -0.00535434+0.0312706j -0.0153408-0.116023j 0.00588582-0.000283942j 0.00534018+0.0259313j -0.0117815+0.110531j 0.00130175-0.0991578j 0.00175276+0.0691087j 0.0188196+0.0680918j -0.0185694-0.041926j -0.00901842+0.0687496j 0.0153329-0.0880399j 0.00724566-0.00727459j 0.01534-0.0779514j -0.0137384+0.0733013j -0.0415108+0.00359876j -0.00857488+0.0211881j 0.00863035-0.0167639j -0.0098071-0.0210789j 0.0311956-0.00866599j -0.027114+0.0024394j -0.00825928-0.0781111j 0.0166406-0.0408075j 0.00529372-0.0264386j 0.0428148-0.00635299j -0.0217059+0.127586j -0.0255729-0.00589376j -0.0337433+0.0256106j -0.00727419-0.0209396j -0.0186354-0.0112262j -0.037857-0.00559048j 0.0237676-0.0565528j -0.0424054-0.0378536j -0.0158209+0.0328833j 
