-7.1377e-13-0.221649j -4.35633e-14+0.191763j 3.07514e-15-0.10553j 2.90032e-15-0.183779j 2.55259e-15+0.0750578j 1.30912e-15-0.0557643j -1.10017e-15+0.0318248j -7.5659e-16-0.0162848j 1.64995e-15-0.0838409j -1.39113e-14-0.144112j 1.62394e-16-0.00848093j 1.95822e-15+0.049725j -2.70097e-15+0.150215j -3.22391e-15+0.140017j -1.19741e-15+0.00641913j 3.14092e-15+0.0425919j -1.72753e-14+0.0832968j -1.69501e-14-0.0723952j 2.29147e-14-0.208971j -1.84231e-14-0.0252898j -5.9939e-14-0.173541j -3.87186e-15+0.0270576j -5.06002e-15+0.169254j 9.73216e-15+0.0391338j 2.0678e-15-0.147838j -2.34885e-14-0.108271j 1.1053e-14-0.0572889j -9.64233e-14+0.146855j -1.77462e-14+0.00894277j -6.38662e-14-0.136335j 3.81921e-14+0.057958j -5.06002e-14-0.192739j 6.79598e-13-0.0785091j -4.20472e-14+0.0788708j -1.01742e-13+0.203267j 8.70035e-15+0.0014208j 1.54726e-14+0.0234448j -4.42944e-14+0.0684904j 8.81269e-14-0.042435j 8.76862e-16+0.00180857j -1.05183e-14+0.0701494j -7.17705e-14+0.0808264j 1.9508e-14+0.088079j -3.6792e-15-0.102689j -1.14671e-14+0.146436j 2.04363e-14-0.0529715j -1.9639e-14-0.00875069j -1.11643e-14+0.127358j -8.46634e-15-0.274954j -8.87733e-16+0.0207918j -1.83947e-14-0.112779j -2.39385e-14-0.0684978j 4.21213e-15+0.0794012j -7.3916e-15+0.00193463j -3.97937e-15+0.0451215j 1.89767e-15+0.0400549j -6.90148e-13-0.0737295j -1.84684e-15+0.00502064j 7.10315e-15+0.0478258j -1.88073e-15+0.0353828j -9.80993e-15+0.113592j -2.88064e-15-0.0715054j -2.24345e-15-0.0535886j 4.09073e-15+0.0612724j -9.89384e-16+0.0837428j -4.61134e-15+0.1563j 3.28132e-15-0.0248547j -5.46333e-15-0.00833799j -3.8708e-16-0.0530087j 1.0447e-15-0.0942649j -2.24507e-15-0.00665459j 1.66184e-15-0.0845531j -1.27622e-15+0.0420089j 5.26973e-15-0.0566254j -1.65838e-14-0.241596j 1.98608e-14+0.204234j -2.5627e-13-0.139815j 
-3.20732e-13-0.0767782j -5.9494e-14-0.218728j -1.02428e-14-0.0732414j -1.9723e-14-0.141505j -2.98371e-14-0.184629j -1.0921e-14-0.0753923j 3.44194e-16+0.0129261j 1.0647e-14+0.0640591j -1.45021e-14-0.0954912j -2.00256e-14-0.0694888j -3.59934e-14-0.136881j 2.12119e-14+0.108419j -2.76148e-14-0.139885j 9.38146e-15+0.0845108j -4.91445e-15-0.00360353j -2.89152e-14-0.176719j 2.08441e-15-0.0241731j 3.74827e-15-0.0451602j -1.98298e-14-0.131099j -1.24342e-14-0.0823989j 2.67553e-14+0.0415981j 4.59005e-15-0.0459502j -2.07715e-14-0.258847j -1.11236e-14-0.0103358j 1.14548e-15+0.0889371j -6.84988e-15-0.0712386j 3.18075e-14+0.0576195j -7.97811e-14+0.270746j -6.52018e-14-0.147487j 8.3903e-14+0.120712j -1.18515e-14+0.067766j -5.65303e-14+0.0687442j 1.27395e-12-0.126105j 7.53158e-15-0.099375j 1.69045e-14-0.0118427j 1.48632e-12+0.180139j 3.28101e-14+0.063413j 4.33332e-14+0.115482j -7.95132e-14+0.113311j 9.68038e-14-0.0571109j -3.92899e-16+0.225886j 2.96824e-14-0.0262052j 2.0535e-14+0.0534976j 3.80279e-15+0.161369j 2.02902e-14+0.117127j 1.07061e-14+0.0708378j 3.57297e-14-0.139738j 8.09618e-15-0.0787328j 1.20369e-14+0.0327367j -5.48607e-14-0.0133875j -5.39519e-14-0.123797j -6.28051e-14-0.111323j 1.16114e-14+0.0518827j 2.39566e-14-0.104354j -5.19255e-15-0.0764694j 7.92958e-15+0.0325035j 4.7474e-14+0.00355918j 1.30116e-14+0.0774856j -1.21495e-15-0.0245767j 2.389e-14+0.111068j -1.449e-14-0.115604j -2.92151e-14-0.0878224j 8.82702e-15+0.0236888j -1.93972e-14-0.110516j -6.36658e-15-0.046741j -5.32978e-15-0.0379624j -4.28959e-15+0.104448j 1.05382e-13+0.139905j -2.18008e-15-0.0308896j -1.8242e-14-0.122183j 2.07355e-14+0.10183j -1.959e-14-0.123492j 1.77841e-14+0.111156j -7.41751e-15-0.0584884j -6.15026e-15-0.0424505j -2.45687e-14-0.189662j -1.69302e-13-0.10419j 
-5.70945e-14-0.00571362j -4.31229e-15-0.167271j 1.53486e-15-0.151622j -1.06421e-16+0.110061j 7.18033e-17+0.00230997j -4.3083e-17+0.0346846j 6.05656e-15-0.185734j 4.53006e-16-0.0341131j -1.45849e-15+0.0368665j -4.18312e-15-0.0277523j 9.08864e-15+0.0796099j 2.18971e-15+0.072396j -6.27476e-15+0.186533j -9.30132e-16-0.159099j -4.66114e-15+0.0408446j 1.51724e-14-0.123908j 1.27485e-14-0.0105789j 1.08832e-14-0.100132j -4.14641e-15+0.0258179j 8.61674e-15+0.0402676j 3.09434e-14+0.0831909j 2.44074e-15-0.0410666j -1.74136e-14+0.110754j -1.34955e-14-0.184934j 1.76881e-14-0.163487j -3.44625e-14+0.00204926j 1.3541e-14-0.190215j -5.08237e-14+0.0633904j -1.43901e-14-0.0644337j 9.84061e-14+0.0887044j -2.31286e-14-0.327822j 8.70853e-14-0.215743j -1.35065e-12+0.122748j -2.27984e-14+0.185176j -7.53806e-14+0.104747j 7.23662e-14+0.00883363j -1.91025e-14-0.0693038j -1.23497e-13+0.163894j 1.8987e-13-0.0909744j 2.88278e-13-0.23015j 1.47458e-14+0.0840201j 1.0365e-13-0.132384j 2.5923e-14+0.130457j -2.26875e-14-0.0594389j -1.58348e-14-0.00232592j 2.20077e-14-0.118474j -2.09663e-14+0.0547607j -8.38141e-15-0.00622431j 2.44496e-15+0.0143207j 6.38456e-14+0.0081154j 2.80116e-14+0.138581j -1.53397e-15-0.0269537j 1.73997e-14+0.0783716j 8.29953e-14-0.224778j 2.85438e-14-0.0741317j 1.3105e-15+0.176839j -6.82077e-14-0.00699061j -1.58263e-15-0.198998j 4.02847e-15+0.149638j 1.08699e-15-0.0492342j 3.99276e-15-0.0312084j -1.14422e-14-0.050748j 1.52415e-15-0.0490394j -3.8802e-15+0.00958525j -2.8428e-15-0.0695974j 1.53311e-15-0.0362843j 4.36493e-16-0.00945504j -3.77538e-14-0.0591538j -2.21514e-15+0.10156j -1.33492e-15+0.0685255j 2.03522e-15+0.0702528j 6.69234e-16+0.038914j 1.08699e-15+0.120588j -9.61373e-17+0.118673j -1.17456e-15+0.0179992j 4.84898e-15-0.177158j -8.12387e-14-0.0599806j 
-1.74528e-14-0.00148j -3.22032e-16-0.0564202j -1.67462e-15+0.000831443j 4.22723e-15-0.0474343j -5.12247e-15+0.140492j -1.95896e-15+0.0409242j -1.45237e-14+0.217425j -6.19358e-15+0.121864j 3.06662e-16-0.0274434j 2.74448e-16+0.0361713j 1.19325e-14+0.163384j -6.51072e-15+0.158753j 1.06196e-14-0.129175j 1.05563e-14-0.223392j 9.13468e-16+0.0396314j -6.37713e-15+0.0718216j 2.25158e-14-0.0502533j 9.52871e-15-0.0810331j 1.16079e-14-0.0252516j -6.85032e-15+0.224703j 3.73973e-14+0.0746647j 2.2994e-15-0.0232488j 4.22198e-15-0.0337164j -1.04196e-14-0.111729j -7.11688e-15-0.109999j -1.39071e-14-0.162741j -4.78286e-15+0.0970365j -2.70424e-14+0.0375813j -1.88837e-14+0.0805792j -4.85392e-14-0.129953j 2.51707e-14+0.057261j -9.18943e-14-0.0152247j 1.49399e-12-0.150042j -3.82641e-15+0.0177118j -2.03694e-14+0.0365353j 1.1777e-12+0.144251j 4.37326e-14-0.00590511j -1.90531e-13+0.252982j 4.51269e-13-0.200304j -2.97429e-13+0.23631j 4.43653e-14-0.192808j 1.13558e-13-0.121196j 2.2261e-14-0.0267967j 1.06704e-14-0.139264j -2.87996e-15+0.0273276j -3.03694e-14+0.140867j 3.29544e-14-0.08356j 1.27926e-14+0.00132146j 2.20824e-15-0.0333277j 1.01276e-13+0.0696684j 2.22753e-14+0.048681j -2.28229e-14-0.0701053j 2.35675e-15-0.00989483j 2.2965e-14-0.0623325j 1.17625e-14-0.0541049j 1.7364e-15-0.0150366j 2.34386e-12+0.252725j 5.58025e-15-0.0987986j -2.96447e-15-0.0744733j 2.00724e-16-0.149989j -1.61048e-14+0.055026j -1.51384e-14-0.131962j 7.65713e-16+0.052104j 7.02588e-15-0.213471j 7.90453e-15-0.095134j 7.60683e-15-0.109795j -1.217e-15-0.00747542j -8.54993e-14-0.146834j 1.0671e-15-0.0626174j 5.44419e-15-0.16173j -1.23246e-16-0.197395j 5.11811e-16-0.0137346j 4.30293e-15-0.0945104j 4.4597e-15-0.0500722j 1.18443e-15-0.0189395j 3.15188e-15-0.0642893j -2.66787e-14-0.0204548j 
-1.83833e-13-0.0463658j -2.28397e-14-0.0982022j -8.86219e-15-0.108115j 9.82897e-15+0.0999855j -6.21876e-15-0.0323732j -2.01659e-15-0.0294069j -1.03028e-14-0.0751263j -1.54795e-14-0.16245j -1.3622e-14-0.127793j -2.35495e-14-0.110384j 2.47081e-14+0.109354j 6.25312e-15+0.0326285j -6.65115e-15-0.103306j 1.02288e-14+0.0551766j 2.70799e-15-0.0197498j 2.06867e-14+0.277192j 1.93921e-14-0.161479j 1.56426e-14+0.0595546j 6.34112e-15+0.112652j 9.939e-15+0.136043j -6.91603e-14-0.161717j -1.50119e-14-0.0187136j 1.88498e-15-0.0119657j -1.01872e-14-0.0356308j 4.68167e-15-0.0297114j 7.27582e-15+0.0550807j 8.98177e-15+0.0760548j 3.09555e-14+4.94106e-05j -6.53587e-15-0.130701j -3.79036e-14-0.00167628j 4.24918e-14+0.194771j 3.79134e-14-0.117323j -9.34054e-13+0.0914728j 2.69804e-14+0.125577j -5.05178e-15-0.0442838j 7.65366e-13+0.0896251j 1.10789e-13+0.225261j 7.16172e-14-0.1294j -2.14628e-13+0.0814054j 1.56188e-13-0.112257j 2.55373e-14-0.214125j -9.33172e-14+0.111368j 1.57557e-14+0.127328j -1.0564e-14-0.00742635j 2.34251e-14+0.0625455j 1.82312e-14-0.090722j 7.06688e-14-0.19699j 1.42357e-14-0.201638j -3.90305e-16-0.0156313j -9.88036e-14-0.0997195j 2.80542e-14+0.137409j 1.10185e-13+0.217542j 1.29393e-14+0.0421238j -5.54154e-15+0.0493674j -3.34895e-15-0.0443567j -1.42574e-14-0.0658302j 1.62724e-12+0.171156j 3.34712e-14+0.16805j 2.18084e-14+0.0373321j -4.26682e-15-0.0280441j -7.31448e-15+0.0693729j -5.93515e-14-0.241643j 6.40649e-15+0.0184408j -1.27752e-15-0.00836415j 1.00022e-14+0.0670957j 3.89257e-15+0.0903352j 7.67086e-15-0.141517j -7.45881e-14-0.108592j -1.19347e-14-0.119978j 3.45799e-15+0.0369021j 2.60576e-14+0.156675j 2.8915e-15+0.0181737j 1.10282e-14+0.0904767j 1.21994e-14+0.12872j -1.83017e-16+0.00234734j -2.91228e-15-0.10514j -1.47268e-13-0.0902337j 
-2.99854e-13-0.0842606j -1.76037e-14-0.0681979j 7.7899e-15-0.145947j -7.20787e-15+0.0821904j -3.18528e-15+0.132683j 4.86573e-15-0.0773156j -3.45274e-15+0.0871036j 6.86361e-15-0.0571786j 3.45813e-15+0.0591388j 9.71887e-15+0.11833j -1.56512e-15-0.0161032j -3.2282e-15+0.073478j 7.11186e-15-0.0839791j 7.62033e-15-0.0872253j 1.35679e-15+0.0844957j -7.68561e-15+0.0417251j 9.57815e-15-0.0543877j 4.1382e-15+0.000447233j -5.16899e-15-0.0743337j -8.34862e-16-0.113953j 5.6255e-14+0.207033j 2.46092e-17+0.0812843j -1.42959e-14+0.0298507j 3.82579e-15+0.203445j 3.65734e-15-0.0360661j 7.77289e-15+0.127129j 6.76904e-15-0.0119958j 3.93308e-14-0.0349929j 1.95089e-14-0.111999j 6.45489e-14+0.201128j -3.37031e-14+0.0401511j -3.70433e-14-0.0933973j 9.27905e-13-0.100746j -1.62332e-14+0.020806j 1.59206e-14+0.00213334j -6.11489e-13-0.0718478j -5.75924e-14-0.247639j 1.41171e-13-0.280774j -1.31267e-13+0.000593288j -3.53141e-13+0.237394j 6.32803e-16-0.0443212j -7.88186e-14+0.0764962j -9.68734e-15+0.192242j 1.57263e-14-0.0136947j -1.54815e-14+0.110623j -1.34359e-14+0.0343993j -7.98567e-14+0.158887j -2.13799e-14-0.0402892j -1.8209e-15-0.046903j -2.35779e-13-0.118709j -7.18268e-14-0.231605j 3.03337e-14+0.14286j 4.48392e-15+0.10228j 1.77312e-15+0.0251664j -1.04847e-14-0.0897579j 1.93941e-15-0.00375324j 1.02279e-12+0.109275j 4.44282e-15-0.0270975j 1.92468e-14+0.169431j 2.32852e-14+0.163913j 1.34175e-14-0.123991j 1.05456e-14+0.129146j -4.72507e-15+0.015394j 8.08158e-15-0.0467889j -5.49093e-15-0.245031j -6.59262e-16+0.0266904j -1.05564e-14+0.0485798j -9.34341e-14-0.161673j 6.17578e-15-0.0491415j -3.31326e-15+0.0304707j -7.23809e-15-0.112116j 9.05059e-16-0.0153069j 3.16395e-15-0.0445045j -7.75064e-15+0.159274j -1.04734e-14-0.0946451j 1.66392e-14-0.0584599j -2.26271e-13-0.141905j 
-1.49941e-13-0.0457779j -8.37761e-15+0.0107711j 6.09791e-15-0.0488234j -5.41266e-15+0.114998j -1.8777e-15+0.0101189j 7.73431e-15-0.137189j -3.77379e-15+0.068788j 5.76894e-15-0.111531j -5.16638e-16-0.085491j 1.42205e-14+0.185803j -4.97173e-15-0.0997615j 1.77882e-15+0.0230362j 3.31844e-15-0.0176183j 3.29738e-15+0.0427565j 1.2482e-15-0.102393j 6.27437e-15-0.0279351j -1.08296e-14+0.130132j 9.66515e-16-0.162565j -8.64424e-16+0.0615244j 1.41406e-15+0.168669j 2.45113e-14+0.0667742j 1.0729e-15-0.033244j -8.2542e-16-0.0211257j -9.68092e-15-0.0209499j 1.10078e-14+0.00465605j 1.53787e-14+0.0978677j 3.07092e-14-0.140766j -9.02138e-14+0.145894j -9.98732e-15+0.00767126j -3.6667e-14-0.0130237j 2.12586e-14+0.127563j 4.80028e-14-0.032988j -9.6285e-13+0.0988275j 4.15792e-14-0.204232j 8.04289e-14-0.0631622j 1.34e-13+0.0197145j -2.2674e-14-0.135533j -1.43548e-13+0.067181j 3.942e-13-0.213774j 9.87774e-14-0.0589401j 1.13669e-14-0.0542099j -1.06846e-13+0.118048j 5.5205e-15-0.113661j -2.28855e-14+0.212026j 2.41921e-14-0.194049j 4.67009e-14-0.154593j 1.33016e-13-0.219505j 2.76659e-14+0.0515058j 1.33471e-14-0.214697j -6.29127e-14-0.0734132j -9.51112e-15+0.0581754j 7.97617e-15+0.00482921j -1.61985e-14-0.154462j 1.64284e-14-0.100163j 4.38483e-15+0.261483j -2.81533e-16-0.0221784j 3.47973e-14+0.00325392j -8.98862e-16-0.0997642j 5.95411e-16+0.149464j 5.96405e-15+0.0439079j 1.29095e-14-0.0585832j -6.09653e-16+0.0786645j -2.53018e-15+0.0123926j 5.36004e-15-0.230053j -3.30653e-16+0.143112j -4.47271e-15+0.0260188j -3.04924e-14+0.188313j -2.36421e-14-0.0451378j 4.54706e-15-0.105432j -3.53877e-15+0.0659203j 2.70888e-15+0.0861934j 2.73082e-15-0.0907973j 4.32348e-15-0.160237j -9.539e-15+0.180502j 4.60733e-16+0.0295043j 8.31366e-15+0.042686j -1.11678e-13-0.0673755j 
-2.64671e-13-0.0796799j -1.64953e-14+0.0353077j 8.32859e-16-0.0480121j 6.42852e-16-0.0604078j 6.09249e-16+0.0124598j -2.1791e-16-0.030018j 1.04691e-17+0.0138382j -3.62868e-16-0.00761678j -3.64123e-17-0.0339848j -3.9745e-15-0.0435751j -1.92943e-15-0.0156209j 1.31474e-15+0.0277323j -1.31027e-15+0.0274423j -1.07281e-16+0.0488922j -9.1412e-16+0.00397014j 5.46512e-16+0.00488243j -3.4049e-15+0.0193456j -4.66613e-15-0.0257997j 6.14779e-15-0.075551j -5.26875e-15-0.0176231j -1.45159e-14-0.0415321j -3.91119e-16+0.00804023j -7.22014e-16+0.0302638j 2.81576e-15+0.0219885j -2.22138e-17-0.0384055j -5.50792e-15-0.0290515j 5.64473e-15-0.0134144j -3.66474e-14+0.0672374j -8.22501e-15-0.01838j -1.15605e-14-0.020337j 9.99483e-15+0.0314624j -2.16175e-14-0.0593369j 3.29335e-13-0.0362644j -1.1746e-14+0.0156968j -2.71699e-14+0.0586489j 1.03402e-13+0.0130146j 4.1858e-15+0.00262411j -2.74102e-15+0.0122245j 7.92873e-15-0.00259648j -3.26005e-15+0.00426029j -5.62347e-15+0.034593j -2.63343e-14+0.0311285j 6.42549e-15+0.0420379j -1.55694e-15-0.0145317j -3.53937e-15+0.058842j 6.12381e-15-0.0124601j -3.10151e-15-0.0124203j -1.68e-15+0.0267134j -3.51782e-15-0.0859441j -2.09769e-14-0.00426389j -1.30286e-14-0.0542875j -7.41602e-15-0.018159j 1.39251e-15+0.032551j 6.42854e-16-0.0061151j -2.32586e-16+0.00553588j 5.00847e-16+0.0127296j -1.37422e-13-0.0148616j 6.63909e-17+0.010057j 4.64852e-15+0.0237452j 2.05242e-15+0.0299031j -2.34072e-15+0.0185754j -1.9755e-15-0.0250987j -3.70403e-16-0.0131553j 3.83895e-16+0.00521592j -4.88544e-17+0.0127107j -1.00406e-15+0.0485518j -3.32847e-16+0.00357405j -4.6389e-16-0.00037271j -4.54645e-16-0.0247783j 9.19159e-17-0.0351104j -3.11497e-17+0.00601658j -2.49827e-16-0.0378299j -7.3673e-16+0.0199379j 2.06032e-15-0.00935822j -6.18715e-15-0.0814607j 7.92254e-15+0.0424283j -1.07193e-13-0.0609156j 
-1.42069e-14+0.00173872j -7.64538e-14-0.0997436j -1.75877e-14-0.0242744j -5.31273e-15-0.00794072j -3.94507e-14-0.0525801j -6.77746e-15-0.00947076j -7.07376e-15-0.00921916j 1.1401e-14+0.015182j -1.25335e-14-0.0169001j -9.56358e-15-0.01032j -1.49504e-14-0.0178979j 2.73084e-14+0.0358034j -3.97346e-14-0.0518356j -9.06763e-15-0.0116951j 3.14935e-15+0.00564293j -3.27881e-14-0.0445651j -1.52143e-14-0.0298155j 1.79584e-15-0.00662648j -8.48004e-15-0.0083143j -4.28898e-15-0.00940268j 3.8685e-14+0.0340263j -9.63169e-15-0.0174757j -5.56398e-14-0.0817172j -2.0311e-14-0.0208264j 1.50445e-14+0.0238231j -6.32109e-15-0.00958985j 1.94337e-14+0.0188433j 1.99063e-14+0.0571689j -4.70912e-14-0.0504646j 6.97574e-14+0.053731j -1.30395e-14-0.00274537j 5.20697e-15+0.0190174j 2.09249e-13-0.0216586j 4.95473e-16-0.0113023j -4.64879e-15-0.0183371j 4.93862e-13+0.0556593j 2.17522e-14+0.0182563j 2.91096e-14+0.0299962j -7.33993e-15+0.031468j 2.04236e-14-0.0226791j 2.69763e-14+0.0430485j 5.42413e-15-0.0258327j 2.13941e-14+0.0244563j 2.33663e-14+0.0404862j 1.91836e-14+0.0251739j 1.44437e-14+0.0220078j -9.85626e-15-0.0358172j -2.79696e-14-0.0470523j 3.54629e-14+0.0438242j -1.89387e-14-0.00793909j -1.13455e-14-0.00891728j -1.60158e-14-0.0139675j 1.55801e-14+0.0175553j -1.22871e-14-0.0404561j -2.74611e-14-0.0426944j 9.96766e-15+0.0133131j 2.73299e-13+0.0267153j 1.11012e-14+0.0128671j -1.47679e-15-0.00317937j 1.53401e-14+0.0181884j -2.96833e-14-0.0420394j -3.15217e-14-0.0335492j 1.06333e-14+0.0116085j -2.94102e-14-0.0384317j -2.55893e-14-0.035094j -2.15198e-14-0.030198j 9.85421e-15+0.0198379j 3.03041e-14+0.0229337j -1.47112e-16-0.000964427j -1.61708e-14-0.0220773j 2.31748e-14+0.0291843j -1.3597e-14-0.0184827j 2.80525e-14+0.0374225j 9.83209e-16+0.00141438j 1.25394e-14+0.0143677j -7.04009e-14-0.0952283j -4.16756e-14-0.0217597j 
-2.04036e-14-0.00482727j -1.16725e-15-0.0163106j 6.85733e-17-0.0172542j -5.57576e-17+0.00999683j 5.92246e-17+0.00166895j -2.8917e-16-0.000776521j 5.43063e-16-0.0119169j -7.28222e-17-0.00681394j -1.66581e-16-0.000194655j -8.13159e-17-0.00269822j 4.91469e-16+0.00694065j 2.72792e-16+0.00874443j -2.89404e-16+0.00794134j 4.25018e-16-0.0109821j -3.08053e-16+0.00429968j 7.15422e-16-0.00220158j 2.21321e-15-0.00556427j 8.14746e-16-0.00641881j -6.08641e-16+0.000922791j 4.00472e-16+0.00323423j 2.41415e-15+0.00649101j 4.3987e-17-0.00173459j -1.25524e-15+0.00678737j -6.43687e-16-0.00920551j 1.36451e-15-0.0129897j -1.96384e-15+0.00305016j 1.08341e-15-0.0113682j -2.96987e-15+0.00629487j -9.36531e-16-0.0108576j 7.63363e-15+0.0106821j -1.32329e-15-0.0163774j 5.29461e-15-0.0200696j -7.98556e-14+0.0068617j -2.00546e-15+0.015708j -5.1386e-15+0.00703827j 2.1676e-14+0.00267989j -8.38474e-16-0.00471053j -4.22286e-15+0.00369999j 5.54652e-15-0.00429448j 1.63525e-14-0.0131191j 1.90856e-15+0.00134175j 3.58478e-15-0.00492217j 1.91399e-15+0.016919j -1.23624e-15-0.00401209j -1.15042e-15+0.00514999j 1.66711e-15-0.00901412j -8.35991e-16+0.00147922j 5.77202e-17-0.00602745j -4.80317e-16-0.00147284j -3.43444e-15-0.0043263j -6.98292e-17+0.00634429j 2.28024e-15+0.00516152j 1.43554e-15+0.00928429j 5.83659e-15-0.0147825j 2.26045e-15-0.00851678j -9.3888e-17+0.0109847j 5.80299e-14+0.00619648j 2.85319e-16-0.0101871j 1.64199e-15+0.014979j 1.03314e-15+0.000288509j 2.25224e-18-0.00365056j -1.1544e-15-0.00733499j 1.39208e-16-0.00254774j -4.46554e-16-0.00171281j -1.90141e-16-0.00891099j 2.15341e-16+0.000308922j 5.70225e-16-0.0020859j -5.99551e-15-0.00960427j -3.00425e-16+0.00252745j -7.88187e-17+0.00472666j 2.41102e-16+0.00629951j -1.8723e-16+0.00146358j -1.49913e-16+0.0101148j 2.50604e-16+0.0141279j -6.73837e-16-0.00212041j 1.29492e-15-0.0166756j -1.65382e-14-0.0108205j 
-6.07601e-16-6.53002e-05j -6.37136e-17-0.00153783j -1.73207e-16+0.00331857j 2.68911e-16-0.0108606j 3.17095e-17-0.0020985j -8.04813e-17+0.00290294j -2.45533e-16+0.00440194j -2.96963e-16+0.0102779j -7.84647e-17+0.000483014j -6.5474e-16-0.00405771j -5.39155e-17-0.000549312j -9.28741e-17+0.0035383j -9.93461e-17-0.00128311j -1.71263e-16-0.00222825j -2.37921e-16+0.00186711j 2.37023e-16-0.00844495j -4.2331e-16+0.00105664j 9.01244e-17-0.00124321j 6.75428e-16-0.00745831j 4.06235e-17-0.00239298j 4.4008e-16+0.000963184j 5.01699e-16-0.00126161j 7.56443e-16-0.005335j -2.97335e-16-0.0032799j -9.84218e-16+0.000322374j -8.78819e-16-0.0101258j -9.5514e-17+0.00416226j -3.39277e-15+0.00532324j -1.51577e-15+0.00279194j 3.17185e-16-0.00319346j -1.95215e-16-0.00372679j -5.35974e-15+0.00499564j 9.17104e-14-0.00902139j -3.99013e-16-0.00117717j -2.02828e-15+0.00361839j 4.36054e-14+0.00533276j 1.05487e-15+0.00210366j -4.1242e-15+0.0130227j 6.47995e-15+0.00055258j -5.16755e-15+0.00432834j -1.52132e-15+0.00802127j 7.61922e-15-0.00791394j 7.02815e-16-0.00241565j -6.21903e-17-0.00314338j -6.3027e-16+0.00468039j -1.81617e-15+0.00867634j -1.75326e-15+0.00155155j -4.27432e-16+0.00327605j -5.18611e-17+0.00327397j 7.06513e-15+0.00635082j 5.99026e-16-0.0039385j -4.17091e-15-0.0111602j 1.74322e-16+0.00180166j 1.1155e-15-0.00273627j 2.54825e-16-0.00491326j 2.40555e-16+0.00230203j -8.2383e-15-0.000850097j -1.96554e-16-0.00148034j -8.51511e-16-0.00779008j -5.31482e-16-0.00244293j -1.04325e-16+0.000341157j -3.21617e-16-0.00243287j 1.03385e-16+0.00046066j 5.37599e-17-0.00127038j 3.59731e-16-0.00319859j 3.64481e-16-0.00486831j -5.56224e-16+0.00123083j 3.3323e-15+0.00574653j -8.28401e-17+0.00289909j 1.62863e-16-0.00901739j -6.05797e-17-0.00545622j 1.85454e-17-0.00216385j 4.64586e-17+0.00208051j 2.83897e-16-0.011174j 9.1985e-17-0.00216199j -2.21038e-16-0.00149962j 2.94291e-15+0.00170815j 
