9.75395e-15-0.106775j -3.63631e-14+0.312657j 1.90485e-15-0.0569335j 5.0716e-15-0.106503j -1.31816e-15-0.115223j 3.75956e-17-0.0449625j 1.00315e-15+0.109059j -2.39191e-15+0.0645381j -5.99124e-16+0.0336133j 4.70192e-16-0.125388j 1.32822e-15-0.00742589j -4.52944e-16+0.0198816j -2.96228e-15-0.205727j 2.34419e-15+0.0928517j -1.74226e-14+0.0527922j -6.1123e-14+0.197192j -1.01563e-14-0.115831j 1.04425e-14+0.00954048j -1.85429e-12-0.0167318j -2.09825e-14-0.145923j -8.25912e-15-0.141728j 1.45337e-14+0.0754838j 2.56116e-13-0.184807j -3.57974e-14-0.000491364j -3.53131e-15-0.150957j 4.08844e-15-0.0360482j -2.67704e-14-0.0160959j 1.87043e-14-0.0728093j -4.7481e-13-0.171568j -1.77625e-14+0.0226279j -2.9833e-15+0.16626j -9.28826e-15+0.100294j -9.03392e-15+0.0383003j -1.24303e-14-0.00230593j -1.73641e-14-0.229748j -1.09593e-14-0.00252421j 5.99224e-15-0.0567547j 1.3197e-14+0.00528964j 5.24018e-15-0.0722888j -6.62661e-14-0.120955j -7.60655e-14-0.0584329j -6.38885e-14-0.115019j 4.23283e-15-0.114371j 6.80428e-15-0.167765j 4.31827e-15-0.120767j 2.64279e-15-0.0288416j 3.59204e-15-0.0249856j -1.60231e-15-0.012644j -7.2099e-16+0.0707572j 9.82923e-16+0.127962j -2.39853e-15+0.058701j -2.02038e-15-0.00214831j -3.20272e-15+0.0361195j -3.93283e-15+0.179537j -1.75291e-13-0.296081j -4.01858e-14+0.0732402j 
-4.09679e-15+0.159659j -9.54601e-15+0.132133j -7.09581e-15+0.218137j -5.75099e-15+0.137606j -8.52333e-16-0.0465075j -3.92981e-15+0.0881659j -2.70965e-15+0.0964052j 3.02349e-15-0.105901j 2.14347e-15-0.131816j 1.0958e-15+0.148944j -2.17017e-16+0.128249j 6.45076e-15-0.0954726j -4.14402e-16-0.0812823j 3.83679e-15-0.0456261j 2.8942e-15-0.0283694j -1.86427e-14+0.0585321j 8.94503e-15+0.0613858j -5.78016e-14-0.0195337j -3.38371e-11-0.304509j 5.18049e-15-0.0229722j 8.9471e-15+0.122085j 3.70859e-14+0.184414j -1.06712e-13+0.0749807j 4.84099e-16+0.0469997j 4.83834e-15+0.0709626j 2.06212e-15+0.237477j -4.05643e-14+0.0256367j 3.68424e-14-0.125372j -6.16735e-13-0.233181j -6.06575e-14+0.194115j 6.0987e-15-0.197933j -2.97762e-15+0.0998607j 1.27041e-14-0.103793j -1.38423e-17+0.000544912j 5.39656e-15+0.0460699j 3.40154e-15+0.0866874j -1.83952e-15-0.0483604j 2.19001e-14+0.000594582j 1.14036e-14-0.047729j 1.03447e-13+0.18332j -8.98508e-14-0.246008j -1.18585e-13-0.0192733j 1.64522e-15-0.0976548j 5.65256e-16-0.0694437j -2.30946e-15+0.0582006j -3.3724e-15+0.0739988j -3.69636e-16+0.0396403j -5.38717e-16-0.00089677j 1.17898e-16-0.0744815j -1.13161e-15+0.100792j 3.75265e-15-0.134617j 4.13999e-15-0.16522j 1.18974e-15-0.0138393j 7.90034e-15-0.171181j -1.12714e-13-0.146549j -1.88953e-14-0.147778j 
-3.61676e-15-0.05937j 7.37988e-15-0.0825165j -4.96647e-16-0.145727j -4.12893e-15+0.120644j -8.26514e-15-0.104867j -3.46659e-16-0.037897j 1.4472e-14-0.121696j 4.95821e-15-0.210159j -2.82199e-15-0.0585278j 9.38678e-15-0.0263356j 5.02412e-15+0.16623j 2.21252e-16+0.0753634j 2.26486e-14-0.135414j -7.41633e-15-0.104582j 6.16177e-15-0.0319467j 1.64303e-14-0.0888891j -5.78582e-14-0.235489j -3.1793e-14+0.150865j -2.91482e-11-0.262599j -2.34191e-14-0.080319j -8.72262e-15+0.12225j -2.01651e-14-0.0792577j 1.78383e-13-0.117366j -1.44499e-15+0.0260547j 1.79483e-14+0.0242958j -2.25982e-14-0.282758j 2.53399e-14-0.196283j 9.77371e-15-0.175906j -2.48034e-13-0.0786852j -5.41793e-14+0.207033j 1.71174e-14+0.0102725j -2.15148e-14-0.0691677j -1.26799e-14-0.0817892j 3.65877e-14+0.372225j 1.21073e-14+0.0512633j 2.21974e-14-0.0881048j -1.79724e-14+0.194199j -6.23516e-15+0.0736098j 1.38437e-14-0.0938312j -7.03694e-14-0.0967103j 4.33281e-14-0.00812757j 6.30208e-14+0.149903j 1.8098e-14-0.168234j 1.80286e-14-0.0371276j 5.85647e-15-0.0800051j -1.06406e-15+0.127454j 1.16583e-14+0.172686j -6.88798e-15-0.0146825j 2.6456e-15-0.153308j 1.30675e-14-0.0660427j 1.74978e-15-0.030252j -4.16791e-15+0.0855288j 3.49323e-16-0.139615j 4.51318e-15+0.076765j 7.90952e-14+0.107328j 1.99475e-14+0.0857157j 
-6.46396e-15+0.0313085j -1.07458e-14+0.0344819j -9.53154e-15+0.0490911j 1.09567e-15-0.000198338j -3.40048e-14+0.138426j -8.13628e-15+0.0156119j 6.16682e-14-0.195467j 2.26195e-14-0.0740067j -1.64594e-14+0.0804472j 4.64125e-14-0.138361j 1.3234e-14-0.117691j 2.3503e-14-0.0871035j 1.06648e-13-0.396842j -3.96482e-14+0.208528j 4.68303e-14-0.11072j 4.8325e-14-0.058298j -6.97317e-15+0.0834932j -2.32868e-14-0.039047j -1.7928e-12-0.0162588j -4.35774e-15+0.129384j -1.21865e-14+0.0526218j -4.9354e-15-0.0139809j -3.24898e-13+0.208537j 1.16703e-14+0.114422j 3.63945e-14-0.104751j 3.4611e-14-0.170221j 7.30817e-14-0.0951359j -1.89093e-14-0.0837013j 2.39963e-13+0.0991552j 8.19815e-14-0.205107j 8.13521e-14-0.326729j -2.56432e-14+0.073682j -4.3226e-14+0.132084j -4.02551e-14+0.032177j 8.98585e-17+0.028323j 9.92267e-15-0.0159274j 4.60665e-15-0.0246224j 1.06153e-14-0.103695j 5.65966e-15+0.00500372j 3.17609e-14+0.0459976j 1.71303e-14+0.147726j 4.38384e-14-0.00543951j 6.22624e-14-0.157265j 1.15313e-13-0.405379j 1.96753e-14-0.0472969j -7.13813e-15-0.022757j 4.97877e-14-0.216567j -2.75941e-14+0.0743544j 1.71869e-14-0.090293j 5.73423e-14-0.204917j 5.79817e-15-0.0103092j -2.29496e-14+0.0446525j -7.50364e-15+0.0176387j 1.5647e-14-0.0661827j -2.59005e-14-0.0454132j 4.5874e-15-0.0482727j 
2.22809e-15-0.050789j 4.99051e-15-0.0202406j 4.38559e-15-0.0859006j -3.01153e-15+0.121087j 6.36445e-15-0.0699398j 1.11328e-15-0.133972j -1.26187e-14+0.0509469j -6.5432e-15-0.148693j 1.00355e-15+0.0182809j -7.2242e-15+0.236942j -3.81078e-16-0.124992j -4.41402e-15+0.0561765j -2.43338e-14+0.0319068j 1.0868e-14+0.141615j -1.61174e-14+0.16404j -2.08739e-14+0.0217514j -3.69059e-15-0.105852j -1.47448e-14-0.184713j 2.39658e-12+0.0219219j 2.8034e-14+0.0941757j 1.1271e-14+0.0379367j -1.58608e-14-0.0450299j -3.7456e-13+0.263486j -3.03575e-14-0.192369j 3.87239e-15-0.0256666j -1.39607e-14-0.064778j -1.35296e-13+0.267345j 3.44143e-14-0.282024j -5.34996e-13-0.21396j 1.7701e-14-0.119422j -1.148e-14+0.0134825j 1.27401e-14-0.0898972j 2.71018e-14+0.00368467j -7.64699e-15-0.0699741j -1.00658e-14-0.0766763j -1.34951e-14-0.1313j 7.84324e-15+0.025165j 7.40452e-14-0.346407j 7.31758e-14-0.188401j 1.40077e-14+0.0373723j 2.65883e-14+0.0600801j 1.21492e-14-0.0284599j -1.49075e-14+0.164795j -2.38469e-14-0.0556894j -5.40809e-15+0.0766192j 3.36738e-15-0.173254j -1.03602e-14+0.152889j 5.21876e-15-0.16165j -3.77516e-15-0.213638j -1.04925e-14+0.0217327j -7.36027e-16+0.0355302j 2.86524e-15-0.0974256j 4.90567e-15-0.191684j -3.25369e-15+0.061013j 1.82047e-14+0.0165731j 7.96031e-16+0.0846574j 
-2.37119e-15+0.0786868j 1.66252e-14-0.13782j 1.60397e-15+0.0644538j -3.7361e-16+0.0648846j 7.9927e-16+0.0582152j 1.025e-15+0.0408968j -2.35945e-16-0.0441818j -3.28121e-16-0.0374243j -1.38809e-15-0.0334495j 2.84727e-15+0.0723525j 8.41315e-16+0.0219334j -4.15741e-16-0.0272889j 1.48291e-15+0.0904021j -1.81828e-15-0.0550467j 8.90068e-15-0.0378483j 2.8707e-14-0.0917891j 9.45033e-15+0.0761662j -1.24366e-14-0.0027372j -3.16214e-12-0.0284049j 1.1671e-14+0.0694455j 7.93646e-15+0.0846022j 6.79143e-16-0.0104766j -1.31086e-13+0.0964427j 2.08266e-14+0.0152183j 3.90687e-15+0.0853598j 2.43323e-15+0.0558923j 1.40189e-14+0.00289821j -8.06559e-15+0.0343041j 1.85462e-13+0.067082j 3.80985e-15+0.0136834j -2.19099e-15-0.114274j 5.01376e-15-0.0316986j 3.70422e-15-0.030564j 5.85172e-15-0.00215477j 1.20879e-14+0.124833j 7.48044e-15+0.0197261j -3.62025e-15+0.0174986j -7.03813e-15+0.00962383j -4.56987e-15+0.0398283j 5.18926e-14+0.0861079j 2.22122e-14-0.00409909j 1.58464e-14+0.0540433j -2.45979e-15+0.0393869j -3.24807e-15+0.0746268j -7.58937e-16+0.0665306j -7.18443e-16+0.0291899j -1.35073e-15+0.00629078j 8.10136e-16+0.0140431j -1.30813e-15-0.0348389j -2.04128e-16-0.0530123j -6.66226e-16-0.0486145j -8.58761e-16-0.0178748j 1.12687e-15-0.00938683j -7.6188e-16-0.118076j 7.08735e-14+0.12713j 1.45863e-14-0.0622141j 
-4.33585e-15-0.0407179j 9.34405e-15-0.122375j -2.67732e-15-0.0806897j -1.77449e-15-0.0133212j 4.93444e-16+0.0253587j -5.77847e-16-0.0278645j -6.29156e-16-0.0587264j 1.03515e-15+0.00608924j 1.53443e-15+0.0315104j -2.70145e-15-0.0178032j -1.6845e-15-0.0273413j -1.79886e-16+0.0403851j 3.41895e-15+0.0781357j -1.70864e-15-0.018335j 3.10509e-15+0.00364096j 1.81804e-14-0.0676098j -8.32576e-15-0.0220309j 1.67199e-14+0.015586j 1.00223e-11+0.0901391j 5.67693e-16+0.029182j -4.14388e-15-0.003885j -2.16461e-14-0.0882397j 5.84694e-16-0.000170784j 3.78622e-15-0.0226124j -1.23376e-15+0.0130961j -8.59582e-15-0.0941956j 1.75062e-14-0.0131288j -1.24097e-14+0.0431278j 2.81589e-13+0.104398j 1.60395e-14-0.0499593j 3.78985e-15+0.0486431j -4.69652e-16-0.067266j -7.81926e-16+0.0162837j 7.22507e-15+0.0289159j 1.23018e-15+0.034662j 3.84487e-16-0.0393216j -6.75784e-16+0.0470237j -9.77118e-15+0.0024465j -2.55938e-15+0.0206744j -3.341e-14-0.0480858j 5.48499e-14+0.0938557j 5.98304e-14+0.0437195j 8.85924e-16+0.0543903j 4.66252e-17+0.0727502j -1.13841e-15+0.0019918j -5.74831e-16-0.0116242j 2.03035e-16+0.01756j -1.40533e-19-0.00430428j 1.26205e-15-0.00214088j -1.05718e-15-0.0598266j 1.8913e-15+0.0335097j 2.24829e-15+0.0623134j 1.38426e-16-0.0189442j 2.09617e-15+0.0322641j 8.88032e-14+0.12637j 2.05303e-14+0.0472552j 
6.8657e-17-0.00428076j -2.53204e-18-0.00172904j 1.36829e-16-0.00835418j 7.1792e-17+0.00678096j -2.63736e-16-0.00749779j 2.66749e-18-0.00433184j 3.01342e-16-0.00244313j -2.26091e-16-0.0110481j -2.16534e-16-0.00259388j 5.46712e-16+0.00301333j 3.1572e-16+0.00584536j -1.08661e-16+0.00482119j 4.86606e-16-0.00475145j -1.40049e-16-0.00264353j -2.04838e-16+0.00245118j -4.13737e-16-0.00167942j -2.74439e-15-0.0134356j -1.58918e-15+0.00364853j -1.27678e-12-0.0114942j -6.74681e-16-0.00369486j 1.13432e-18+0.00482272j -9.55236e-16-0.00343317j 4.95326e-15-0.00297696j -1.16806e-15-0.00282263j 8.84061e-16+0.000172194j -1.13646e-15-0.0125892j -1.6103e-15-0.00348132j 1.12211e-15-0.0128569j -2.6087e-14-0.00926796j -2.41716e-15+0.00851492j 2.33293e-16+0.00352682j -8.20927e-16-0.00417794j -1.53713e-16-0.0040949j 1.601e-15+0.0149027j 3.34298e-16-0.00089087j 5.59576e-16-0.00600017j -5.3574e-16+0.00862759j 9.52518e-16-0.00221954j 1.7529e-15-0.00802675j -3.24203e-15-0.00453476j 1.3664e-15-0.000827745j 2.21624e-15+0.00524128j 5.0066e-16-0.00455402j 2.6405e-16-0.00163605j 2.94527e-16-0.00272481j 5.72887e-17+0.00255046j 5.28497e-16+0.0113274j -2.75015e-16-0.00398728j -2.41276e-16-0.00952156j 2.94369e-16-0.00031752j -7.57226e-17-0.000361057j -2.2714e-16+0.00159928j -1.12022e-16-0.00933072j -5.51784e-17+0.00594025j 2.71658e-15+0.00292045j 5.44686e-16+0.00589152j 
6.96441e-17+0.00331486j 2.0586e-17-0.00279402j 3.0995e-17+0.00349681j 4.48094e-16+0.00227858j -1.48189e-16+0.00333922j -4.23084e-17+0.00163748j 7.30538e-17-0.0030652j -4.32923e-16-0.00218025j -2.61889e-16-0.000321229j 6.61482e-16+0.00117403j 1.83156e-16-0.000801741j 1.21865e-16-0.00233995j 3.44686e-16-0.00252412j -2.23138e-16+0.00125168j 5.14686e-16-0.00235908j 8.79929e-16-0.00291052j 3.24381e-16+0.00378573j -8.392e-16-0.00112247j -1.90883e-13-0.00171126j 7.57171e-16+0.00375875j 7.10399e-16+0.00335539j 3.95316e-17+0.000363765j -8.22724e-15+0.00616027j 9.70318e-16+0.00182315j 5.55669e-16+0.00129202j -4.38908e-17+0.000825178j 6.45658e-16-0.000382334j -9.19782e-16-0.000556656j 5.74392e-15+0.00214914j 8.99124e-16-0.00195204j -1.77442e-16-0.00816987j -1.25348e-16+0.000475021j -2.64801e-16+0.000555931j 1.38038e-16-0.000416192j 7.2428e-16+0.00389399j 1.49136e-16+0.000729688j 2.30529e-16-0.000347498j -2.15991e-16-0.00153637j -1.3552e-16+0.000978675j 2.71704e-15+0.00396573j 6.58424e-16+0.000855253j 7.14209e-16+0.00107141j 1.84949e-16-0.000790485j 3.74462e-16-0.00330422j 1.98356e-16+0.0017386j 1.2298e-17+0.000414533j 4.09537e-16-0.00257804j -2.17843e-16+0.00119779j -5.06534e-16-0.00236154j 5.26544e-17-0.00355088j -1.65806e-16-0.00194778j -2.52774e-16-0.000856857j -3.50488e-16-3.35362e-05j -1.74471e-16-0.00493779j 1.33504e-15+0.00224582j 1.91368e-16-0.00303188j 
8.75901e-17+0.00319942j -1.11698e-15+0.00404363j -2.41014e-16+0.00517447j 3.12101e-16+0.00159051j 2.54021e-16-0.000843835j -1.0897e-16+0.00153918j -6.96124e-16+0.00421745j -4.65022e-16-6.54934e-06j 2.01188e-17-0.00213911j 1.78748e-16+0.00406212j -7.09824e-18+0.000861597j 1.61658e-16-0.00211249j -1.42405e-16+0.000690801j 5.40112e-17+0.000101758j -2.2676e-16+0.000773141j -1.39604e-15+0.00281085j 6.47335e-16+0.0026641j -7.48615e-16-0.00229615j -3.64432e-13-0.00327457j 6.40504e-16-0.000178351j 7.00786e-16+0.000746742j 6.22661e-16+0.00452375j -2.8843e-15+0.00225953j -3.76199e-16-0.000312619j 1.45584e-16+0.00104717j -1.04278e-16+0.00779705j -1.69745e-15+0.00356449j 7.12098e-16-0.00145346j -1.31213e-14-0.00522034j -8.36447e-16+0.00214074j -5.0906e-16-0.0024076j -1.44188e-16+0.00238779j 4.03163e-16-0.0015644j -6.04608e-18-0.00404728j 3.68215e-16-0.000524252j -4.45361e-16+0.00223793j 5.07937e-16-0.00288118j 5.6712e-16-0.00140451j 2.4814e-16-0.000769498j 2.62692e-15+0.00421871j -2.20382e-15-0.00522823j -2.86896e-15-0.00224237j -8.80744e-17+0.000511753j -1.34982e-16-0.000200076j 6.80849e-17+0.00203102j 2.72855e-17-0.000342352j 8.54156e-17+0.000189729j 3.07289e-17-0.000646606j -4.7816e-16-8.33524e-05j -6.38034e-16+0.00373833j -5.55702e-17-0.00205006j 2.47158e-16-0.00455788j -2.92321e-16+0.000579216j -1.55924e-16-0.00326379j -2.50448e-15-0.00450688j -6.4142e-16-0.00315501j 
2.63434e-17-0.00204546j -3.74193e-16+0.00172028j -6.29973e-17-0.00207707j 1.02162e-17-0.00188608j 1.95914e-17-0.00165884j -1.57431e-17-0.000777976j -2.92451e-17+0.00153583j 3.33853e-17+0.0018174j 3.61354e-17+0.000418511j -3.52782e-17-0.00154083j -1.59342e-17+0.000415102j 4.75735e-18+0.00129125j 1.73658e-16+0.00121172j -5.9189e-17-0.000749004j -1.94632e-16+0.00102861j -6.39506e-16+0.00167839j -2.56625e-16-0.0019618j 5.76028e-16+0.00099506j 1.62075e-13+0.00145536j -4.09591e-16-0.00232477j -2.39019e-16-0.00229817j -1.20347e-16-0.00029405j 5.81021e-15-0.0041779j -6.33581e-16-0.000646831j -1.36291e-16-0.000949129j 4.99516e-17-0.000657635j 9.6269e-17-0.000373646j 2.38958e-16+0.00109285j -1.41897e-15-0.00046864j -2.95802e-16+0.000927902j 9.05417e-17+0.00487477j -1.46569e-16-8.42936e-05j -8.60019e-17-5.30189e-05j 2.19988e-17+0.00024658j -2.22385e-16-0.00229138j -1.62719e-16-0.000227621j 2.66268e-17+7.99725e-05j -1.72363e-16+0.00155261j -1.86501e-16-9.00056e-05j -1.62935e-15-0.00262978j -3.81586e-16-0.000234329j -1.53913e-16-0.000668293j 1.07847e-16+0.000148346j 1.35451e-16+0.00181187j 5.57791e-17-0.00131592j 3.04598e-18-5.04162e-05j 8.46685e-17+0.000889971j -8.08039e-18-0.000298586j 7.00919e-17+0.00198989j -2.90774e-17+0.00185575j 2.23801e-17+0.0012762j 6.61726e-17+0.000921056j -3.06189e-17+0.000547724j -4.89385e-18+0.00299338j -4.81563e-16-0.00138271j -1.07764e-16+0.0017507j 
