-6.87756e-15-0.0940107j -3.60726e-15-0.23473j -3.71293e-16-0.115374j 1.19612e-15+0.120846j -1.0191e-14-0.191901j -1.26045e-15+0.0815614j 3.73859e-15+0.245897j 5.13154e-15-0.244223j -8.74763e-15+0.154982j -1.12107e-14+0.0209826j 3.73841e-14-0.309908j 1.94802e-15+0.0784754j -1.62629e-14-0.0484402j 1.03956e-14-0.197642j -5.97672e-15+0.170559j 8.38898e-15+0.277198j -5.73853e-13+0.116714j 1.69467e-14+0.166175j 1.6905e-14-0.143505j -1.26938e-14-0.238288j 3.13915e-14+0.0467315j -1.32166e-14-0.175076j -1.75577e-14-0.0729266j -8.22811e-14-0.285615j -1.63923e-15+0.0833066j -1.42377e-15+0.0182058j 1.56412e-15+0.206376j 1.87906e-15-0.0890421j 1.28619e-13+0.0721576j -3.55867e-13-0.153323j 2.41145e-13-0.0769943j 4.06843e-14-0.339938j 6.9061e-16+0.0331631j -2.11375e-16+0.0071345j 1.45407e-16-0.0303197j -4.63319e-16-0.0087204j 3.57998e-16+0.00825716j -1.15096e-16-0.00234934j 3.49301e-16+0.000804108j -2.3195e-16-0.00419552j 6.42853e-16+0.0144147j -6.65332e-16+0.0137045j 1.20648e-15+0.00748582j -4.73159e-15-0.014133j 1.17228e-16+0.00062495j -2.22744e-15+0.0114657j -8.38517e-16+0.00666728j -4.48989e-16-0.0133237j -6.39779e-16-0.000353815j -2.2992e-15-0.0157287j -3.16612e-13+0.00561642j -8.91888e-16+0.00542701j -4.14223e-15+0.00803402j -8.73517e-16+0.00517648j 2.52039e-16-0.0237987j 4.64731e-16+0.00348142j 2.53753e-16+0.00876899j -5.61098e-16-0.00849042j -9.98452e-16-0.000887699j -6.65433e-16-0.0165366j -4.89923e-16+0.00209783j -3.22326e-16+0.0227617j 2.18241e-16-0.0152398j 2.55599e-16-0.0081633j 6.48497e-17+0.00719473j 3.15401e-16+0.0457488j -9.26838e-17+0.00462833j -5.25587e-16-0.0115055j 3.23685e-17-0.0357339j -1.48543e-16+0.00478952j -1.42528e-15-0.0829636j 1.8573e-15+0.00852148j 
-3.59527e-17+0.0346811j -8.3246e-16-0.0898478j -2.1878e-17+0.151166j -5.18978e-16+0.144405j -3.10656e-15+0.189078j -2.59067e-14-0.113116j 1.13968e-14+0.279243j 9.54272e-15+0.126129j 2.18993e-14+0.00913768j -1.46772e-13-0.305495j -1.20051e-14+0.0573648j -4.14784e-15-0.295071j -6.46613e-14-0.23463j -1.17981e-14+0.136062j -8.91515e-15+0.171038j 7.85918e-15+0.13173j -7.6784e-13+0.156546j -1.62844e-14-0.20654j -3.95007e-14+0.270603j -1.35101e-14-0.0193531j 1.19883e-13+0.249219j 5.5985e-15+0.0358162j -1.15289e-14-0.273364j 1.67196e-14+0.0842847j 7.83383e-15+0.123463j 6.43859e-15+0.272601j -3.77135e-15-0.243356j 4.76733e-15-0.028358j 1.07884e-13-0.0444568j -3.00627e-13-0.168523j 2.62452e-13-0.131727j 4.25299e-14-0.0896397j 1.09626e-16-0.0133664j 9.26288e-16-0.0176527j 4.44479e-16+0.0162756j 4.4452e-16-0.00643295j 2.36743e-16+0.0334019j -7.72573e-16+0.0184806j -1.98256e-16+0.0139041j -7.69812e-16-0.0151952j 2.93283e-16-0.00277372j -1.19505e-16+0.00014711j 5.26005e-16-0.0036007j -1.20823e-15-0.00251098j 9.52694e-16+0.00555246j -1.22192e-15+0.00210876j 2.41362e-16-0.00330135j -2.08008e-16-0.00470021j 1.44663e-16+0.00126702j -8.52315e-16-0.0051916j -3.51181e-13+0.00623808j -3.52927e-16-0.0132631j 1.04083e-15-0.000668611j -1.04414e-15+0.0044762j -5.56066e-16-0.00662647j 7.71182e-17-0.00150723j 2.6513e-16-0.00321302j -2.37578e-16-0.0110357j 1.808e-16+0.000412281j 1.82639e-16+0.00348338j 6.77325e-17-0.0108447j -4.01163e-17+0.0172481j -1.42361e-16+0.00658454j -7.31845e-17+0.00691557j -4.27059e-16+0.0198198j 8.7807e-17-0.00358961j -2.48873e-16-0.00601924j -1.79809e-16-0.030906j -2.45912e-16+0.00108625j 2.40278e-16-0.0338522j -5.96481e-16-0.0247873j 1.20225e-15+0.0231446j 
-6.58199e-15-0.0988727j -4.37338e-15-0.192116j 7.26193e-17+0.019046j -2.12836e-16-0.0400563j 2.08026e-16+0.00606135j 1.22638e-15+0.0174992j -7.63455e-16-0.0055136j -1.04669e-16-0.00527715j -4.584e-16-0.0196636j 1.00225e-14+0.0150068j -2.10246e-15+0.0145272j -5.62657e-16-0.0194947j -3.47261e-15-0.00595188j -1.65303e-15+0.00693689j -4.23062e-16-0.0343004j -2.30447e-15-0.0361626j 1.65374e-13-0.0339682j 2.2627e-15-0.00129589j -6.55141e-16+0.0252343j 2.20307e-15+0.0465252j -1.55162e-14-0.0289426j 3.17328e-15+0.0140666j 5.85373e-15+0.0270985j 1.82764e-14+0.0585356j -2.40852e-16-0.0356802j 1.59308e-15+0.0137705j -1.97788e-15-0.0784677j -5.1312e-15+0.10527j -3.78955e-14+0.156089j 1.06005e-13+0.108894j 7.7243e-14-0.0656454j 1.39178e-14+0.132031j -2.19972e-16-0.0443245j 9.49778e-17+0.0267869j 5.22691e-16+0.120604j 4.79893e-16-0.0507198j -2.28009e-15-0.10695j 2.17254e-16+0.170514j 9.18348e-16-0.0527247j -1.85046e-15+0.0770119j 2.44796e-16-0.13536j -4.07246e-15-0.014883j 2.0881e-14+0.122855j -8.72687e-14-0.207227j 1.90688e-14+0.141363j -2.64642e-14+0.108087j -4.45103e-15+0.0634634j -2.29771e-15+0.0682636j -8.11291e-15-0.103562j -1.8692e-14-0.143409j -6.28582e-12+0.111613j -1.36333e-14-0.0311819j -1.0116e-13+0.22559j -7.21149e-16+0.0586834j 2.54634e-15-0.130854j 6.45129e-16+0.0471664j 1.11887e-15+0.0406852j -3.41332e-16-0.0735432j -1.29113e-15+0.140828j -9.34582e-16-0.187642j -1.64131e-15+0.0658634j -4.01954e-16+0.139224j -4.77901e-16-0.0316207j 2.28248e-16-0.0573812j 3.34802e-16+0.13825j 1.55626e-15+0.195056j -1.29042e-16+0.0390283j -4.34214e-16-0.00633676j -5.91378e-16-0.0235115j 7.99505e-17+0.105113j -6.77039e-15-0.314911j 7.16108e-15+0.0356681j 
-1.39185e-15-0.0792192j 6.38535e-16+0.0814749j -6.37946e-16-0.0938308j -5.46698e-17-0.0633665j -1.62016e-15-0.030754j 3.6388e-15+0.0510437j -1.5709e-15-0.00122701j 6.5825e-16+0.00234693j 2.27472e-15+0.00120307j -1.29352e-14-0.0261456j 1.31134e-15-0.0117636j 2.34576e-16-0.00966559j 1.69069e-15+0.00578328j -3.98832e-17+0.000166051j -1.34043e-15+0.00286222j 1.32631e-15+0.00737804j -7.16531e-14+0.0145505j 3.19009e-15-0.00321128j -4.98555e-16+0.0318562j -6.43516e-16-0.0197804j 3.25292e-15+0.00912738j 2.37001e-16+0.0171911j -1.61859e-15+0.0239293j -5.04399e-15-0.0234214j 1.77402e-15+0.029141j 1.275e-15+0.0576192j -1.66576e-15-0.0739641j 2.19665e-15-0.00446306j -4.26923e-14-0.0982j 1.16337e-13+0.0231162j 1.77558e-13-0.088351j 3.04671e-14-0.0652057j -1.91359e-16-0.213649j -2.07366e-15-0.118417j 2.31506e-17+0.123575j -1.1436e-15-0.0793601j -1.91527e-15+0.189994j -2.95581e-15+0.0815516j 3.62455e-15-0.0570969j -1.48317e-15+0.117036j 4.05706e-15-0.0022315j -5.71449e-15+0.0185369j -4.20608e-15-0.108215j 1.8215e-14+0.021401j -4.39625e-15-0.0426406j -4.46491e-14+0.201365j -1.14558e-14+0.368108j -2.46717e-14-0.102479j -1.43007e-14-0.177637j 2.94078e-14+0.265457j 2.99776e-12-0.0531736j 9.53855e-15+0.0590512j -4.12471e-15+0.0224304j -7.93423e-15-0.00307946j 3.88121e-15-0.101283j 4.13367e-15+0.235277j -3.10921e-15+0.17308j -1.01284e-14+0.232821j -1.54679e-14-0.170455j -1.03834e-14-0.0526593j -6.94469e-15+0.142005j -4.73754e-15-0.00676323j -8.25935e-16+0.0210586j 3.06735e-15-0.0894857j -4.59778e-15-0.0291979j 1.44134e-15-0.0290239j 5.60136e-16+0.153297j 1.37835e-15+0.21981j -2.80936e-15-0.0492649j 1.26627e-15+0.225969j 5.32133e-15+0.0761079j -7.31653e-15-0.156765j 
3.25658e-15+0.0255498j -2.40125e-15-0.0314067j 4.1891e-15+0.0519218j -1.50098e-16-0.0247931j 3.79754e-15+0.0430768j -2.20497e-15-0.0199654j -2.21424e-15-0.0190799j -1.54757e-15-0.0364069j 1.61251e-15+0.0328095j -8.8996e-15-0.0114735j 2.80472e-15-0.0101606j 5.54051e-16-0.00958815j 4.37252e-15+0.00951388j 9.69507e-16+0.00771082j 4.02615e-16+0.00129572j 2.30234e-16+0.00194188j -1.12643e-14+0.00218908j 9.67075e-16+0.00646479j 4.33131e-16-0.00676069j 6.5075e-16+0.0093118j 3.22005e-15+0.0107032j 2.07402e-15+0.0337069j 5.82549e-16+0.0209111j -1.1992e-15-0.00596991j -2.01526e-15-0.00925076j -2.15068e-15-0.0178601j 2.69506e-15+0.0215366j -6.84907e-16-0.0240289j 2.85575e-14+0.058721j -6.8775e-14-0.0129991j -5.60558e-14+0.0350335j -9.76133e-15-0.00868775j 3.17277e-15-0.00373682j 8.45734e-15+0.119779j -3.9759e-15-0.046268j 1.05701e-14+0.181498j 2.18502e-15+0.10696j 7.92858e-15+0.18258j -8.60913e-15-0.207097j 3.67983e-15+0.106116j -6.40461e-15-0.121282j 1.50139e-14+0.2761j 9.3765e-15+0.155242j 4.21963e-14+0.0986352j -4.16531e-14-0.255712j 2.32583e-14-0.0861032j -1.24019e-14+0.0404469j 6.33833e-15+0.138843j -1.6624e-14-0.22402j 9.02817e-15+0.118339j 1.42038e-13-0.00267921j 1.84473e-14+0.0949928j 1.22574e-13-0.269659j -7.07389e-14+0.286841j -3.57052e-15-0.0484205j -1.22892e-14-0.305099j -1.11913e-14-0.0612946j 7.88489e-16+0.12727j -1.9038e-15-0.0888363j -5.3782e-15-0.0282446j 5.29717e-15+0.218498j 5.58955e-15+0.143511j -7.99814e-15-0.153006j -8.35143e-15-0.193132j 1.40322e-14+0.259663j -6.92502e-15-0.134772j -3.46204e-15-0.0103504j -4.35265e-15-0.0137153j 8.81078e-15+0.147899j -9.19337e-15-0.0988285j -4.02222e-15-0.0280632j 9.53823e-15+0.0811612j 
4.1943e-15+0.0739543j 2.6051e-15+0.124683j -1.39239e-16+0.00618124j -1.46671e-16+0.0194444j 7.48094e-16+0.0132032j -6.53186e-16-0.0210537j 1.37205e-16-0.0175002j -3.32041e-16+0.0198517j 3.90663e-16+0.000399865j -2.91e-15-0.00600736j -1.43407e-15+0.0152885j 1.88549e-16+0.00861285j 3.69182e-15+0.00850729j 3.37759e-16+0.00991936j 7.44149e-16+0.00610448j 3.77214e-16-0.000980477j -4.32355e-14+0.00896491j -2.85054e-15-0.00986978j -4.0488e-16-0.00936661j -5.7499e-17-0.00757062j 5.6257e-15+0.0112482j -9.17311e-16+0.00347406j -1.81223e-15-0.0106554j -4.15184e-15-0.0118187j -5.0062e-17+0.0111492j -9.07087e-16-0.0174256j 8.80879e-16+0.0405139j 3.02898e-15-0.0558879j 1.67733e-14-0.0878524j -4.61903e-14-0.0546616j -8.46878e-14+0.0550736j -1.44287e-14-0.0463492j -3.2041e-16+0.0446149j -1.98737e-16-0.00296511j 2.70075e-16-0.082533j -7.78216e-16+0.0416877j 1.26774e-15+0.0464373j 3.23704e-16-0.106566j -6.73896e-16+0.033357j 1.40996e-15-0.0550695j -6.83986e-16+0.0779248j 2.43789e-15+0.0106866j -1.23363e-14-0.0608367j 5.06232e-14+0.124389j -1.06077e-14-0.084651j 2.15514e-14-0.0862915j 4.27692e-15-0.0732244j 3.48152e-15-0.0274942j 6.1055e-15+0.0752383j 8.37665e-15+0.0632001j 3.49234e-12-0.0620154j 7.32928e-15+0.0141932j 6.45846e-14-0.141965j -6.41183e-16-0.0303535j -2.32279e-15+0.0889319j 4.16252e-16-0.0562356j 3.83526e-18-0.0426636j 1.06038e-15+0.024285j 2.65064e-15-0.0690457j 1.03719e-15+0.117858j 1.52323e-15-0.0494475j 7.18596e-16-0.0819039j 6.36771e-16+0.0153845j -3.02993e-16+0.0402254j -8.06111e-18-0.0760527j -3.59638e-16-0.119337j 3.63601e-16-0.0385779j 4.97857e-16-0.0165734j 1.89341e-16+0.0239622j 6.40069e-16-0.0863405j 3.00287e-15+0.186633j -3.98236e-15-0.00561191j 
-1.2198e-15+0.0058952j -1.05071e-15-0.0778121j -5.46002e-17+0.0386353j 6.91288e-18+0.0195321j 5.73939e-17+0.0130615j -1.62121e-15-0.0151715j 8.65421e-16+0.0139239j 2.14978e-16-0.00835145j -5.2736e-16+0.00281951j 1.32226e-15+0.00322266j 9.94629e-17-0.00216441j -1.8306e-16-0.00696453j -3.39936e-15-0.0106838j -3.45974e-16-0.000799983j 1.84257e-17+0.00249471j -2.88014e-16+0.00300308j 1.66618e-14-0.003427j -4.58993e-16+0.000796893j -4.14581e-16-0.00301559j -2.72506e-16+0.00827084j 3.48652e-16+0.000214388j 2.38257e-16-0.00558471j 7.7541e-16-0.0112759j 2.97288e-15+0.0123734j -4.30338e-16-0.011307j 1.57052e-16-0.00927769j 3.59378e-17+0.00997634j -1.56574e-15+0.0176317j 1.48809e-14+0.0687178j -4.12887e-14+0.00382604j -3.21737e-14+0.0120979j -5.68676e-15+0.0343461j -2.71627e-16+0.0627535j 3.481e-16+0.0516078j 3.76649e-16-0.0201077j 3.77459e-17+0.0263765j 3.27467e-16-0.0774287j 7.61789e-16+0.0183045j -6.6407e-16-0.00329214j 7.63249e-17-0.0178393j -1.03816e-15-0.033243j 6.76584e-16+0.00741161j 5.17106e-15+0.0700489j -2.17496e-14-0.0436636j 3.97925e-15+0.0279308j 1.16963e-14-0.0499304j 2.8995e-15-0.107406j 7.16799e-15+0.055471j 2.78607e-15+0.0252562j -1.30011e-14-0.111116j -2.27804e-12+0.0404192j -5.1819e-15-0.0206073j -1.06676e-14+0.0224714j -3.08083e-15+0.029918j -9.97055e-16+0.00359525j 8.81231e-17-0.0866757j 1.34495e-15-0.0528749j 3.32575e-15-0.0855627j 4.71311e-15+0.0799868j 2.9849e-15-0.022361j 1.58132e-15-0.0215128j 1.08613e-15+0.0399253j 5.00011e-16-0.0226471j -7.52486e-16+0.00689572j 1.06906e-15+0.0535656j -2.52836e-17+0.0424902j 3.07871e-18-0.043849j -2.06573e-16-0.0765744j 4.92321e-16+0.0192024j 7.32041e-17-0.0606937j -3.05889e-15-0.0938574j 3.74576e-15+0.0651043j 
1.15967e-16+0.00174759j 1.4305e-16+0.00349348j -7.32412e-18+0.00126609j -3.05785e-17-0.00183337j 9.82796e-17+0.002216j 3.00833e-17-0.000844174j -1.81471e-16-0.00241957j 9.57626e-17+0.000614782j -3.37898e-17+0.000121427j -2.709e-16-0.000718288j 4.19553e-18+0.00157981j 3.7476e-17-0.00056078j 3.54362e-16+0.000875998j 1.93088e-17+0.00147726j -4.77481e-17-0.000869699j -1.56862e-16-0.0015179j 1.66471e-15-0.000354348j -1.32919e-16-0.000871444j -2.58786e-17+0.000672728j 1.65856e-16+0.001304j -8.27806e-17+0.000243803j 9.78198e-17+0.00224412j 8.74098e-17+0.00123258j 4.25027e-16+0.00095469j -6.25119e-17-0.000300395j -3.83127e-17-0.000452079j -7.04677e-17-0.000498769j 1.75127e-16-0.00123544j -2.32708e-16-0.00121493j 6.61901e-16-0.000159759j -2.85988e-15+0.00157885j -2.85208e-16+0.00020438j 3.53268e-17-0.00179072j -1.09423e-16+0.00226349j 7.51102e-17-0.00136297j -2.24266e-16+0.00541266j -2.33063e-16+0.00600831j -2.23138e-16+0.00450673j 3.04477e-16-0.00627841j -1.23377e-16+0.00351052j 1.21156e-16-0.00239134j -3.22107e-16+0.00863398j -3.95161e-16+0.00241553j 2.06486e-15+0.00547309j -7.59293e-16-0.00966183j 9.12587e-16-0.0020326j -4.49772e-16+0.00382253j -3.7921e-16+0.00268797j 9.83092e-18-0.00732596j 4.32547e-16+0.00760505j 9.96987e-14-0.00177398j 5.33055e-16+0.00371928j 5.61455e-15-0.0104361j -2.99344e-15+0.00805196j -2.09014e-17-0.000837644j 5.63013e-16-0.00769915j -1.67267e-16-0.000800971j -3.88325e-16+0.00680273j 8.52637e-17-0.00570769j -2.3096e-16+0.000752745j -4.38745e-16+0.00722721j -2.30988e-16+0.00267745j 1.77272e-16-0.00403478j 2.72624e-16-0.00602782j -3.05516e-16+0.00613151j 2.0143e-16-0.00673301j -2.75457e-17+0.000620988j -2.48523e-17+0.00171913j -1.6679e-16+0.0045595j 8.81188e-17-0.00210107j 2.88856e-17+0.00373326j -1.1482e-16+0.00061759j 
3.198e-16+0.0066932j 1.10883e-16+0.0117405j 2.47137e-18+0.00235015j -6.96394e-17-0.00084212j 2.21148e-16+0.0036895j 3.84008e-17-0.00262469j -7.86456e-17-0.0054867j -1.41112e-16+0.00426731j 1.09481e-16-0.00191732j 2.07403e-16-0.000141311j -5.92655e-16+0.00529517j -1.31402e-17+1.44155e-05j 6.56358e-16+0.00185202j -9.66188e-17+0.00329789j 1.46966e-16-0.00237645j -1.195e-16-0.00430918j 6.84443e-15-0.00138435j -3.95369e-16-0.00256292j -1.60178e-16+0.000740892j 2.24737e-16+0.00304455j -3.04573e-16-0.000335454j 1.38267e-16+0.00295585j 1.80315e-16+0.00104651j 8.7111e-16+0.00307876j -2.47451e-17-0.000807886j -4.44724e-17-0.00226849j 2.16111e-18+0.000630523j 2.26105e-16-0.00272j -5.42595e-16-0.00632608j 1.85778e-15-0.0013547j -1.06479e-14+0.00559855j -1.74569e-15+0.00187712j -1.09309e-16+0.00286017j 3.00321e-17+0.000966449j 1.04958e-16-0.00585285j -2.78786e-17+0.00475019j 9.78601e-17+0.00373126j 2.24962e-16-0.00578589j -1.71269e-16+0.000451387j 2.20886e-16-0.00288414j -1.9653e-16+0.00406372j 2.95889e-16+0.0030143j -7.51117e-16-0.0027405j 3.77814e-15+0.00962891j -1.00943e-15-0.00810356j 1.93577e-15-0.00714025j 3.82488e-16-0.00522835j 3.28528e-16-0.000302464j 1.82842e-16+0.00337573j 6.52147e-16+0.00531594j 2.42992e-13-0.00431543j 6.66992e-16+0.00171102j 5.78896e-15-0.012348j -6.46886e-16+0.000429504j -3.17589e-16+0.00616254j 4.82738e-17-0.00697689j -5.46983e-18-0.00382901j 1.30521e-16+0.00267043j 2.32308e-16-0.0053239j -9.25268e-17+0.00814732j 2.45399e-16-0.00161122j 1.86085e-16-0.00468793j -3.07184e-17-0.000149402j -1.58183e-16+0.00123478j 1.88419e-16-0.00298762j 3.25684e-17-0.0100391j 7.78204e-17-0.0029963j 7.94954e-17-0.00131454j 4.94049e-17+0.00355977j 1.2034e-16-0.00711883j 1.15295e-17+0.0137265j -2.49379e-16+0.000377938j 
6.56953e-17+0.00237613j 1.24387e-17+0.000477214j -2.67408e-18+0.00265051j -2.1465e-17+0.00162037j 5.47138e-17+0.00226886j -1.87211e-16-0.00190558j 9.43289e-17+0.000277828j -1.18898e-17+0.00237562j 1.41669e-16-0.0010709j -4.53319e-16-0.00122528j -3.41907e-16+0.00233322j -4.7021e-17-0.0016729j -3.02779e-16-0.00112972j -1.26962e-16+0.00176041j 2.12076e-17+6.89887e-06j -5.9472e-18-0.000896709j -4.89096e-17+1.66911e-05j -2.50475e-16-0.00204562j -3.03795e-16+0.00162994j -9.24882e-18+0.00135306j 4.45659e-16+0.000914859j 8.46056e-17+0.000527667j 4.90285e-17-0.00176797j 5.69403e-16+0.00232528j 3.88421e-17-0.000126133j 2.97179e-17+0.000382494j -1.18831e-18-0.000978057j -1.56623e-17+0.000206403j 5.61567e-16-3.21805e-05j -1.53903e-15-0.00078482j -3.08481e-15+0.00133776j -5.68258e-16+0.00219233j -4.93348e-17+0.00387825j 3.62778e-17+0.000871052j 1.80721e-17-0.00211363j 3.82626e-17+9.44116e-05j 1.09349e-16-0.00383775j 1.10834e-16-0.00371467j -1.37983e-16+0.00315959j 8.14435e-17-0.00346318j -1.03048e-16+0.00158552j 1.73256e-16-0.00277888j -4.72523e-18+3.52339e-05j -2.53029e-16-0.000306291j 2.05219e-16+0.00244998j 7.01679e-16-0.00345309j 4.07487e-16-0.00743298j 4.8902e-16+0.000421021j 2.83033e-16+0.00567543j -4.33997e-16-0.00523262j -2.94499e-14+0.000523271j -2.09551e-16-0.00188566j -7.03604e-16+0.000943974j 9.556e-16-0.00271849j -1.01289e-16+0.00294296j -1.45198e-16-0.00186548j 1.29199e-16-0.0028773j 2.83505e-16-0.00508328j 2.43499e-16+0.00331265j 2.16634e-16+0.00212811j 2.47184e-16-0.00487347j 1.38575e-16-0.00176968j -1.27539e-17+0.00121486j -1.20686e-16+0.00366546j 1.26224e-16-0.00227056j -5.47059e-17+0.000600755j 2.92211e-17-0.00294573j 2.7819e-17-0.00398155j 6.30459e-17-8.30594e-05j 2.03249e-17-0.00393222j -5.35639e-17+0.000540721j 5.46676e-17+0.00208397j 
-1.97743e-16+0.00173651j -3.89974e-16+0.000892884j -4.5752e-17+0.00171797j -4.66529e-17+0.000821826j -4.39085e-17+0.00176179j -6.35777e-17-0.00126268j 1.40566e-16+0.00060878j -1.91942e-17+0.000877084j 9.69839e-17+8.62005e-05j -7.07324e-16-0.00150974j -1.6276e-16+0.000846658j -4.91081e-17-0.00140717j -2.5699e-16-0.000871833j -1.0003e-16+0.00108368j -2.21154e-17+0.000642689j 4.68055e-17+0.000213391j -3.16415e-15+0.000642988j -1.15675e-16-0.00124788j -1.56994e-16+0.00115539j -3.50173e-17+0.000287371j 5.65291e-16+0.00128537j 6.369e-19+0.000635581j -3.7833e-17-0.00124653j 1.83156e-16+0.0006781j -1.14689e-18+0.000414035j 9.65826e-17+0.000655633j -1.53011e-16-0.000436695j 2.52358e-16-0.000881669j 1.16888e-15-0.000558947j -2.31583e-15-0.00146032j -1.56131e-15+0.000810475j -9.62544e-17-0.000344831j -1.5573e-16+0.00129344j -4.1691e-17+0.00127248j 3.16653e-16-0.00177891j -2.44472e-16+0.00222332j -1.91794e-16+0.000778666j 2.80693e-16-0.000179025j -1.89002e-17-0.000876407j 1.53117e-16-0.000417709j -2.28257e-16+2.46186e-05j -1.21557e-16+0.00216323j -1.46349e-17+0.000840811j 3.7043e-16+0.00224273j 9.26458e-17-0.00283152j 1.03159e-15-0.00257067j 2.68429e-16-0.00212998j 1.43464e-16+0.00113368j -6.36917e-17-4.73607e-05j -2.39931e-16+0.000622724j 3.18303e-14-0.000562941j 6.45897e-17+0.000599495j 2.52369e-15-0.00396284j -6.86272e-16+0.00184915j -3.50014e-16+0.00115894j 4.01586e-16-0.00401962j 1.53674e-16-0.0017376j -1.12913e-16+0.000297576j 3.81876e-16-0.000855392j -3.70174e-16+0.00151756j 7.30003e-17+0.000427049j 2.19972e-16+0.000150136j 4.11138e-17-0.00101677j -5.07584e-17-0.000571606j 1.41042e-16+0.00124048j 4.69992e-16-0.00249696j 1.36389e-16-0.00122182j 6.30195e-17-0.00133547j -1.47627e-16+0.00169134j 3.49856e-16-0.00292768j -6.25488e-16+0.00181837j -1.89663e-17+0.0012865j 
