-0.0344236-0.0110047j 0.00981104-0.0429491j -0.00963074+0.00448018j -0.0313113+0.00904224j -0.0187372-0.0185285j -0.0112099+0.00168848j 0.0158962-0.0316046j 0.0104922+0.00431481j -0.0294107-0.0177312j 0.0247369+0.000132148j -0.000755593+0.0358908j -0.0190884+0.000432527j 
0.0326096-0.0186283j 0.0205726+0.0489283j 0.00798022-0.00564214j 0.041494-0.0115196j 0.00339622+0.0239498j -0.0142211-0.00490041j 0.00421292-0.00467448j -0.00200327+0.00155353j 0.00363819-0.00417803j -0.00158278+0.004212j -0.00820086-0.00231254j 0.00176911-0.00595523j 
-0.0101854-0.0119154j 0.0161454+0.0029176j 0.00926191-0.00199484j 0.0291011-0.00409085j -0.00948755+0.0336248j -0.0290222+0.00482177j -0.00892754-0.050838j 0.0173114-0.00223065j -0.0422964+0.00832598j 0.0208303-0.0155484j 0.0235163+0.0417015j -0.0260497+0.0110562j 
0.0135255-0.000143678j 0.00353174+0.00207729j -0.0124185-0.00558112j -0.0127217+0.00365864j -0.00288902-0.0143377j 0.010816+0.0133725j -0.00891514+0.00535738j 0.00736146+0.0142357j -0.0194441+0.0153399j -0.00507548+0.000114602j -0.00830591+0.0322038j -0.0286383-0.0109771j 
0.0256093-0.0151403j 0.00977825+0.0143202j -0.0279019-0.000981088j -0.0124876+0.0162871j -0.0186656-0.0230771j 0.00429926+0.025405j -0.0152758+0.00272113j 0.000611359+0.0033153j -0.00573+0.0167318j -0.00138183-0.000473045j 0.00675365+0.0140683j -0.0112017+0.00505175j 
-0.0160244-0.00022565j -0.000782579-0.00686309j 0.00349915+0.00147949j 0.00172816+0.00157179j -0.00546408+0.00410038j -0.0237939+0.00369748j 0.00169362-0.0249918j -0.0116697-0.0110377j -0.00187232-0.0234488j 0.014314-0.00672014j -0.000349738-0.0225568j 0.0274957+0.00185374j 
-0.0107666+0.0210315j -0.0126955-0.0109148j 0.0240599-0.00722948j 0.00443533-0.0187416j 0.0266283+0.0143797j 0.00942171-0.0291455j 0.0140816+0.0102273j 0.015178+0.0063526j -0.00255549+0.00728577j -0.0080565+0.00559544j -0.00248927+0.0193355j -0.0238642-0.00398308j 
0.00981612+0.000383284j -0.000767648+0.00226992j 0.000965443-0.00463205j -0.00221658-0.00394418j 0.00777775-0.00292033j 0.010779-0.015824j 0.0090081+0.0120538j 0.0181919+0.00295961j 0.00327863+0.0199399j -0.00616475+0.00913097j 0.0135694+0.026155j -0.0293471+0.0119812j 
