-0.301847-0.0473246j -0.0334143+0.379209j 0.293737-0.173732j 0.306093-0.0370595j 0.0358909+0.162488j 0.346835+0.326896j -0.0507777-0.254478j -0.233122+0.191419j 0.108857-0.29423j -0.184635+0.0208494j -0.108548-0.0520117j -0.0486946+0.00541289j 0.00971459-0.0590741j -0.0122409-0.0268558j -0.0350819-0.067592j 0.0104532+0.0485969j -0.0515541+0.0815977j 0.0725373+0.0380045j 
0.154897-0.12403j -0.119399-0.180289j 0.0188374-0.110413j 0.0375785+0.0220121j 0.119709+0.0386363j 0.0903034+0.0133742j -0.219459-0.0862667j -0.133812+0.0126667j 0.0203214-0.262748j 0.0275685-0.118667j 0.12436+0.163352j -0.0967565+0.0853627j 0.226516-0.0335511j 0.121462+0.0522883j -0.157329+0.173438j 0.0668832+0.130478j 0.0845453-0.328125j -0.312629-0.0849323j 
-0.120363+0.0517368j 0.0458548+0.131922j -0.0174904+0.0613298j -0.0135098-0.0306551j -0.0613201-0.0212375j -0.0249255+0.00746909j 0.122339+0.072183j 0.0736942+0.0354049j -0.00854865+0.12186j -0.114083+0.0242536j -0.0422462-0.156462j 0.0642827-0.069434j -0.136191+0.000101497j -0.0716361-0.0772179j 0.0874546-0.13434j -0.0981898-0.0162646j -0.0116679+0.196515j 0.196493-0.0425327j 
0.0221993+0.00181077j 0.0103997-0.0230606j -0.0250491-0.0341525j 0.0198238-0.0209414j -0.0068159+0.00720535j 0.0172898+0.0153667j 0.0200847+0.0025786j -0.000867364-0.038728j 0.0244213+0.00276929j -0.0421787-0.00346894j 0.0140593-0.0550487j 0.0179118+0.0123561j 0.0057327+0.019763j 0.025268-0.0278735j 0.0160327+0.0525391j 0.0599029+0.00331056j 0.0314009+0.032314j 0.00212352-0.0106943j 
0.0013155-0.0275956j -0.0181422-0.00847539j -0.0327389-0.0463683j 0.027556+0.00485526j 0.0119077-0.0110036j -0.0303089+0.00760266j -0.0216111+0.0623298j -0.025186-0.037437j -0.0400279-0.0202451j 0.00201687+0.0138203j -0.00632382+0.0373088j -0.0227497-0.030429j 0.0035594-0.00173638j -0.0354704+0.0151888j -0.0409678-0.0506454j -0.0798573+0.00757468j 0.000599898-0.0351897j -0.0324866+0.00677945j 
0.00213045-0.0333963j -0.0254483+0.0040572j 0.035119-0.011194j -0.0393412-0.021117j -0.0582378+0.0460974j 0.04741+0.007818j 0.0014622+0.0314528j 0.0162791+0.00266103j -0.0326859+0.0199032j 0.00488034+0.00837467j 0.0104851+0.0256194j -0.0161549-0.0205278j -0.00843949-0.00856984j -0.0219937+0.0231607j -0.0158291-0.0374394j -0.0345376+0.000521977j -0.00936256-0.000518j -0.00995554+0.0103854j 
-0.0182453-0.00587077j -0.0244807+0.00803752j 0.00788151+0.0314522j -0.0249363+0.00204697j 0.0276295+0.000715948j -0.00497403-0.00719355j -0.0247472+0.00670676j -0.00770862+0.0254993j -0.0062797-0.0157081j 0.0278338+0.00271969j -0.0410181+0.0405674j -0.00104424-0.0448797j -0.00601949+0.0121787j -0.0505093+0.0113836j 0.0120157-0.0261756j -0.0290131-0.0293595j -0.0115656-0.00991916j -0.0314032+0.0228179j 
-0.00422177-0.00694182j -0.0188136+0.00281899j -0.0266432+0.00671458j -0.00636652-0.00820121j 0.0211569-0.0124253j 0.00968359+0.00180749j -0.000634598+0.0311556j 0.00965477+0.0246471j 0.0178773-0.0268171j -0.0840182-0.0493472j 0.0313051-0.0292443j 0.0229674-0.0211831j -0.0205935+0.0262362j 0.00121118-0.0397733j -0.0169137-0.000818483j -0.0289603+0.0260614j 0.0437772+0.014009j -0.0169043-0.0415367j 
-0.00182541+0.0231128j 0.00717881-5.46723e-05j 0.0122114+0.0192164j -0.0175311-0.00279427j 0.014686-0.0186177j 0.0137749+0.00757576j 0.0197134-0.0272888j 0.0123821-0.0156883j 0.0145538-0.00266736j 0.00377406+0.00915087j 0.000855058-0.00572771j 0.0121098+0.0242452j -0.00282539+0.0288544j 0.024748-0.00737831j 0.00709654+0.0334966j 0.0267329-0.0283183j 0.00502015+0.0174762j 0.0135228+0.0339985j 
0.0363916-0.0326063j -0.015802-0.0325819j 0.00478704-0.00243237j -0.023495-0.0045416j 0.00987315-0.00244688j -0.000372622-0.032055j -0.0239063-0.00742058j -0.015572-0.00518455j -0.00755487-0.0211746j -0.0150586-0.004688j 0.0475083+0.0266679j 0.0158299+0.00398542j 0.0213221+0.0170063j 0.0190214-0.0254157j -0.0511832+0.0350637j -0.0403768+0.0241421j 0.0236346-0.0708668j -0.0283177-0.00907494j 
0.00185837-0.0122889j 0.0156225-0.00585877j 0.00233833-0.00465577j -3.23029e-05-0.00244494j -0.00936483-0.0161639j -0.0150912-0.00814898j -0.00419498-0.0273191j -0.0132639+0.00365442j 0.0086037+0.006881j -0.024814+0.0101804j 0.0215418+0.00188667j -0.0179813+0.00365421j -0.0553252-0.0207261j 0.00990405+0.0168997j -0.024531-0.0106062j 0.00110047-0.0261256j -0.00464634-0.00996789j -0.00818532-0.00196283j 
0.00947497+0.00657892j 0.000602982+0.0019402j 8.63683e-05+0.0277283j 0.0435736-0.0158335j 0.0155898+0.0439355j -0.00548453-0.00201162j 0.00735676+0.00134781j 0.0304019+0.00036902j 0.00355543-0.00191687j -0.00898539+0.00169944j 0.0205239+0.0105461j 0.015022-0.0177723j 0.0204885-0.0122545j -0.0163157-0.0238232j -0.022578+0.00901554j -0.00603967-0.0133673j 0.00369379+0.00321261j 0.00210623+0.0106807j 
0.0063886-0.0194243j 0.0197928-0.00342739j 0.0024388+0.00761467j 0.0266027-0.00530968j -0.00176453+0.0153448j -0.0241799-0.0197394j -0.0108343-0.0132833j -0.00452815+0.018529j 0.00027575+0.0114238j -0.0253857-0.00386983j 0.0107252-0.00292214j -0.0222355-0.0152625j -0.00724754+0.0133627j -0.000872066+0.0156453j 0.00125499+0.00728959j 0.0113224-0.0156103j 0.0018907+0.00431939j -0.000924804+0.00460169j 
0.0222042+0.00027572j -0.00331633+0.0120696j 0.0193866+0.0142189j 0.0049205-0.0129599j 0.010262-0.00229473j 0.00375924-0.00913722j -0.00143576+0.00522475j -0.00442635-0.0269913j -0.0198563-0.00200546j 0.0301388-0.00699363j -0.029697-0.0149845j 0.00770202+0.0344914j -0.0208708+0.00942224j 0.0237539-0.01329j 0.00321702+0.00536251j -0.0124304+0.022578j -0.00315789-0.011269j -0.00270434-0.0034527j 
0.0104156-0.0332596j 0.00910474-0.00544306j 0.0150997+3.00358e-05j 0.00993214-0.0262839j 0.0115981+0.0159065j -0.028552-0.0105391j -0.0119056+0.0127889j -0.00336853+0.00579101j -0.0253203+0.00605978j -0.00580715-0.0197507j -0.022394+0.00799017j -0.00829983+0.0162095j 0.0193557+0.046926j 0.0093951+0.0168894j 0.0126401-0.000294376j -0.000638401+0.011086j -0.0018287-0.0051219j -0.0118012+0.000683234j 
0.00109496+0.00120359j 0.003637-0.000345356j 0.000198961+0.000333541j 0.00322948-0.00536367j -0.00291583+0.00688345j -0.0105154+0.00607276j -0.00531391-0.018894j 0.000917086-0.00569923j -0.0112534+0.0233022j -0.0120641+0.00551356j -0.0137423+0.00669515j 0.0115039+0.0250485j -0.00210552-0.0300776j 0.0162183-0.012576j -0.00363585-0.00398816j -0.0124398+0.0076543j 0.00353164-0.00434218j -0.00654101-0.00791168j 
-0.00909732+0.0106115j 0.00767739+0.00409038j 0.00678395+0.00636672j 0.00847736-0.000103267j -0.00307267+0.002646j -0.00925162+0.00462032j -0.00681967-0.0152674j 0.0043832-0.000376978j -0.0043453+0.0281886j -0.00369055+0.0120131j -0.015365-0.0107338j -0.00159475+0.0055054j 0.00375877-0.0345391j 0.00677996-0.00960905j 0.0120033+0.0061981j -0.0145907+0.00782621j 0.00309845+0.00918228j 0.0148245-0.00312519j 
0.0147174-0.0189125j -0.0150002-0.0231997j -0.00526589-0.00257954j 0.00439814+0.00462972j 0.00824669+0.00879199j -0.0049165-0.0223112j -0.0202237+0.0227128j 0.00309331+0.0181469j 0.0137923-0.020882j -0.0134258-0.0249724j -0.0106466+0.00540999j -0.0307808+0.0168698j 0.00205142-0.0147882j 0.0273019+0.042939j 0.0281682+0.00466011j 0.00711044+0.0295543j 0.0304749-0.0432822j -0.0155483-0.0198357j 
0.013737-0.00277343j 0.00482705-0.0114003j -0.0166921-0.0200354j 0.00127278-0.0182433j -0.0065474+0.00349585j 0.00633156+0.0210493j 0.0152472-0.00286126j 0.00177724-0.012864j 0.00327983-0.00905528j -0.0135339-0.0133645j 0.0260307-0.000399571j -7.21601e-05-0.00876763j -0.00318666+0.00510643j -0.0361387+0.0138044j 0.0125179+0.0255229j 0.0204226+0.00467137j 0.000923061+0.0146103j 0.00978292-0.00130323j 
-0.00824262-0.00535865j 0.012445+0.00539592j -0.00214284-0.00999068j 0.0181146+0.0159746j -0.00675797-0.0198777j 0.0133976+0.0201306j -0.0090165+0.0135857j -0.0115337-0.00982594j -0.00860976-0.00542042j -0.00659658+0.0027545j -0.0162912+0.00528948j -0.00818926-0.0134188j -0.00133661-0.000134047j 0.0226242-0.0207111j -0.0118931-0.00787763j -0.0107909+0.00452048j 0.0139085-0.000887881j -0.0021573+0.015167j 
-0.00889375+0.0161606j 0.0137392+0.000643323j 0.0109728+0.00541015j 0.0155951-0.00336263j 0.00223475+0.00444188j -0.0109779+0.00668419j -0.000506323-0.01439j 0.00667814-0.00591734j 0.00912882+0.0224354j 0.00617785+0.0145098j -0.0067306+0.00725318j 0.00946368-0.0134616j -0.0145706-0.0101826j -0.00939998-0.0108715j 0.0116949+0.0142779j 0.0125841-0.00298266j -0.0150329+0.0149723j 0.0177515+0.0130341j 
0.0012652-0.00129362j -0.00394513-0.000421322j -0.00861673+0.00200579j -0.0121401+0.00394224j -0.00138917+0.00217093j 0.0103867+0.000463937j -0.00375665-0.0134104j -0.00648237+0.00131616j -0.00757977+0.0103736j -0.00674314-0.00928149j 0.00726587-0.00111863j -0.0376706-0.0101903j -0.008126-0.00541089j -0.00816685-0.0007436j 0.00828688+0.00722572j -0.000506291-0.0080475j 0.00843105+0.0143274j -0.0096708+0.00165069j 
0.0120981-0.00724433j -0.0223914-0.00865961j -0.0135337-0.00281993j -0.0160481-0.0128294j 0.00597554+0.0275649j -0.011293-0.0115633j 0.00655181-0.00618798j 0.00801448+0.00727307j -0.00153277-0.0176544j -0.00258559+0.00251301j 0.0112121+0.0257231j -0.014745-0.0226121j -0.00415988+0.00182952j 0.0195292+0.0113235j 0.0137972+0.0154259j -0.00814543+0.00656122j 0.00353429-0.02348j -0.00216395-0.00580238j 
0.0110955-0.00308046j 0.00772664+0.00814742j -0.00599704+0.00302066j 0.00882716+0.00788674j -0.00497878+0.0106202j -0.00392583-0.00903002j 0.000746531-0.00752667j -0.000115771+0.00740098j 0.00280789+0.00332512j -0.00636214-0.00478234j 0.0029042+0.0105442j -0.00715089-0.000680099j -0.000857529-0.00249815j -0.0186466-0.0118733j 0.00665745+0.00848209j 0.00093025+0.00157896j 0.00954411-0.00420016j 0.00441738+0.0103413j 
-0.00167272+0.00820978j -0.00322961-0.0031989j -0.00604987+0.0026161j 0.0131509+0.0108975j 0.0021065-0.00689478j 0.00592399-0.00880403j 0.00598486-0.0059674j -0.0036174-0.00543827j -0.00059255-0.0193922j -0.00415874-0.00202728j 0.0154997-0.00616232j -0.00464397-0.008694j -0.00115673+0.00176334j -0.00366612+0.0118937j 0.00489272-0.0019484j 0.00787867-0.0021331j -0.0059358-0.00825728j 0.011186-0.0121774j 
0.0147996-0.0140335j 0.0127031+0.0171257j -0.00477397+0.00691148j 0.00462301-0.0141987j 0.00150212+0.0277724j -0.0144835+0.0101728j -0.00822575-0.0099956j 0.00365553+0.0171049j -0.00190824+0.0134248j 0.00546667+0.00364202j 0.00724977+0.0029723j 0.0158776-0.00973359j 0.0118414+0.000293468j -0.0102328-0.0184138j -0.0136698+0.000810347j 0.000482876-4.39125e-05j -0.0043954+0.0143903j -0.0104994+0.00408354j 
0.0116077-0.0157402j 0.00952987-0.00767258j -0.014648+0.0214718j 0.019485-0.00685272j -0.0158273+0.00937515j 0.0277043+0.00808132j -0.00984491+0.00550825j -0.0178309-0.00834496j -0.016044+0.0138525j 0.00400059+0.0141381j 0.0154539+0.00036031j 0.00689917-0.0162061j 0.000795365+0.00737463j 0.0161823+0.00564891j 0.00588194-0.0190244j 0.0155374+0.00842006j -0.000982228-0.00611728j 0.0119596-0.00639216j 
0.00150804+0.00676305j 0.000257604-0.00110074j 0.00213429+0.0025443j 0.00692868+0.00260404j 0.00408818-0.00454741j -0.001363-0.00237776j -0.00670128-0.0021919j -0.00100725-0.00108675j 0.00654671+0.00636839j -0.0104219-0.00141661j 0.00504323-0.0062638j 0.0262519+0.0169793j 0.00885994-0.0020183j -0.0207836+0.0187089j -0.0074505+0.00104795j -0.000154323-0.00102999j 0.00106175+0.00490761j -0.00487141+0.00285295j 
-0.00629625-0.00942545j 0.0091575-0.00675662j 0.00482445+0.000382746j 0.00173844-0.00612939j -0.000610101+0.00144516j -0.00536049+0.00497581j 0.000732034+0.00584324j 0.00674671+0.00286119j 0.00646733+0.000917717j -0.00101302+0.00271281j -0.00998338+0.000819931j 0.0112403+0.0191034j -0.00230554-0.000658295j 0.00218215-0.00818471j -0.0098749+0.000891477j -0.0063906-0.00254022j 0.00448972-0.00907272j 0.00199137+0.00682782j 
-0.00526924+0.0116268j 1.36885e-05-0.015942j 0.0093235-0.00538165j 0.027625+0.0086464j 0.00659721-0.0107287j -0.00876625-0.00930527j -0.00855457+0.0121188j 0.0014998-0.0077996j 0.00522131-0.000426472j -0.0155061-0.0043239j 0.00630641+0.0146963j -0.00793362-0.0202308j 0.00508028+0.00781142j -0.00319386-0.00121902j -0.00153901+0.00516869j 0.00822039-0.000307401j -0.00155327-0.00350321j -0.00186659+0.00412103j 
0.00762755+0.000973665j -0.0038384+0.0113595j -0.0122778+0.00117718j 0.00229973+0.00374574j -0.00273567+0.0113668j 0.00651435+0.0045377j -0.00457526-0.0117009j -0.00881409+0.00174814j -0.00724245+0.00320967j -0.00292614+0.00244619j 0.0069976+0.00609919j 0.000660201-0.0125561j 0.00241069+0.000794227j -0.00799701+0.000974426j 0.00312532+0.00220135j -0.00256769+0.0030574j 0.00100336+0.00794323j -0.00383714+0.00388337j 
0.0180206+0.0211969j -0.0180345-0.000464344j 0.00627926-0.00418808j -0.00317125+0.0024641j 0.018913-0.0162109j -0.010053-0.0184653j -0.013439+0.00233263j -0.0104378-0.0084361j 0.0121134+0.00197153j 0.00772285+0.0119127j 0.0318659-0.00119564j 0.0183915-0.0193378j 0.0248326+0.0043192j -0.00509227+0.0158834j -0.0121757+0.000813179j 0.0113922+0.00223349j -0.0114383+0.00185423j -0.0153083-0.00779254j 
-0.00109898-0.00143121j 0.00183605+0.000820519j -0.00212709-0.000167938j -0.0113124+0.00706612j 0.00486181-0.0111155j 0.0152352+0.0028271j -2.68187e-05+0.00771742j -0.00346661-0.00165424j 0.0140729-0.00212261j 0.00992838+0.00463678j 0.0187349-0.0027332j -0.0203393+0.00254933j 0.00132464+0.000502669j -0.0190332-0.0153952j 0.00292455-0.00664143j 0.00757902-0.00231261j 0.00613447-0.00394789j 0.00784841+0.00353555j 
0.003277-0.00422866j 0.0140839+0.00861642j 0.000108621+0.00179506j 0.003556+0.014406j -0.00207141+0.00223419j -0.00384294-0.0085435j 0.00726404-0.00475337j 0.00507043+0.00631131j 0.00382239-0.00749888j 0.00911468-0.00585195j 0.0109889+0.00701129j 0.000355944-0.00239149j -0.00122264-0.00203777j -0.0158641-0.0204752j -0.00976182-0.00189751j 0.00527322+0.00120158j -0.0056994-0.0102964j 0.00826755+0.000578823j 
-0.000920314+0.0177515j -0.0159148-0.00359347j 0.00382222-0.00912459j -0.0124561+0.00256253j 0.000654737-0.00585741j -0.00702726-0.00929674j 0.00391798-0.00118149j 0.00207701-0.00820976j -0.00520264+0.00558562j 0.00359671-0.000881544j 0.00166648+0.0104456j -0.0365785-0.013044j -0.00722237+0.00645345j 0.0004842-0.00848081j 0.02044+0.00514649j 0.00251039-0.00150095j -0.00719477+0.00781703j -0.000862147-0.00308543j 
0.0056526-0.00120605j -0.00178585+0.0116122j -0.0127057-0.00501275j -0.0169048+0.0102112j -0.0031395+0.00959711j 0.00389797-0.00504674j 0.0112436-0.0115376j 0.00276556+0.00371364j 0.00856626-0.00448055j -0.0104038-0.000569898j -0.0048012+0.00382912j 0.025294+0.00994464j -0.00345527-0.00168262j 0.00163077+9.76078e-06j 0.00469496+0.0110472j 6.73292e-06+0.00473036j 0.0131488-0.00508786j 0.00136975+0.0084616j 
0.020779-0.015904j -7.93127e-05+0.00381328j 0.00386902-0.00731296j -0.0194949-0.00257471j 0.00911076-0.00321299j -0.00167184-0.00254974j -0.0112051+0.0184373j -0.00497823+0.00519139j 0.0128119-0.00514511j 0.0253152+0.00356611j 0.00687874+0.00800317j 0.00438806-0.00493944j 0.0157733+0.00417452j 0.00654382-0.00057828j -0.0106742-0.00188029j 0.00852833+0.0109003j 0.00573885-0.0149253j -0.0157645+0.00698447j 
0.0329333+0.00595557j -0.0191188+0.00181329j -0.00725752-0.0035839j 0.000579641+0.0179898j 0.00660173-0.00300901j -0.00140362-0.0250371j -0.0226776+0.00228635j -0.0135278+0.00506249j 0.00822853-0.00612774j -0.0075914-0.00708166j 0.0185677+0.0139504j 0.00236606-0.00423504j 0.018688-0.00424251j 0.00971647-0.00313062j -0.00936691+0.0149792j -0.00689779+0.0245202j 0.0219549-0.0238406j -0.0259559-0.00304323j 
0.00686588+0.0149384j -0.00622511+0.00807973j 0.00325359+0.0042749j 0.0132628+0.0091571j -0.0014623-0.000287445j -0.00462049-0.00481738j -0.0148825-0.00360571j -0.00560007-6.38745e-05j -0.00692991+0.0165375j -0.00280956+0.000997511j -0.00410227+0.0150262j -0.00869534-0.00586812j 0.00215155-0.00938349j -0.0048186-0.0051821j 0.00579804-0.000459395j -0.0101485+0.00934154j 0.00178793+0.00451345j -0.00615534+0.0060073j 
-0.0131213+0.0243102j 0.00589595+0.00958251j 0.00391234+0.00907312j 0.00569932-0.00419367j -0.00436454+0.0021886j -0.000142029+0.0131796j 0.00619911-0.0233755j 0.00406484-0.0097042j 0.000107292+0.0276669j 0.000882092+0.0168273j -0.00921869-0.00666227j 0.00154828+0.00596123j -0.0219644-0.00955803j -0.0129644-0.0035753j 0.0215065+0.0039974j 0.0063329-0.0114055j -0.0140928+0.0307504j 0.0200147+0.00988522j 
