-0.169339-0j -0.178702-0j -0.132529-0j -0.133902-0j 0.221774-0j -0.141145-0j -0.0823347-0j -0.104773-0j -0.100182-0j 0.237665-0j -0.0698488-0j -0.0748536-0j -0.106956-0j -0.0441171-0j -0.113168-0j -0.109331-0j 0.179658-0j 0.181519-0j -0.0808511-0j -0.0864335-0j -0.0666987-0j -0.0598829-0j 0.281695-0j -0.0873292-0j -0.0213106-0j -0.0605034-0j 0.150312-0j 0.196063-0j -0.0305588-0j -0.035652-0j 0.11437-0j -0.0956643-0j -0.062391-0j 0.311779-0j -0.0558042-0j -0.0363947-0j 0.120064-0j 0.107388-0j -0.00949446-0j -0.0378146-0j 0.153444-0j 0.246483-0j -0.0540322-0j -0.0394595-0j 0.0632924-0j 0.147891-0j 0.249037-0j -0.0222871-0j -0.0398684-0j 0.121308-0j -0.0180145-0j 0.266018-0j -0.0155977-0j 0.100074-0j -0.00397182-0j 0.101669-0j 0.155177-0j -0.0315188-0j 0.0319741-0j 0.177921-0j -0.0225181-0j 0.0353815-0j 0.103787-0j -0.00830765-0j -0.00287726-0j 0.0412784-0j 0.0270754-0j -0.00158627-0j -0.00712085-0j 0.0228434-0j -0.00656778-0j 0.00712269-0j -0.00342673-0j 0.00119942-0j -0.00113329-0j -0.000241393-0j -3.00214e-05-0j 
0.209546-0j 0.00437675-0j -0.157706-0j -0.159136-0j 0.141145-0j -0.00332434-0j -0.197718-0j 0.12965-0j 0.123969-0j 0.00299378-0j 0.0864335-0j -0.270775-0j 0.122237-0j -0.159454-0j 0.0027717-0j 0.00267772-0j -0.109955-0j -0.110953-0j -0.00578871-0j -0.102854-0j 0.154027-0j -0.0712593-0j 0.071304-0j -0.103787-0j -0.102872-0j -0.0719055-0j 0.0956643-0j -0.00237502-0j 0.0378146-0j -0.215509-0j -0.141257-0j -0.00225314-0j 0.216759-0j 0.001562-0j -0.134008-0j 0.126498-0j 0.0015124-0j -0.199795-0j -0.0573488-0j -0.13679-0j 0.0901944-0j -0.0599981-0j 0.0617519-0j -0.004721-0j -0.117656-0j 0.0169807-0j -0.0605422-0j -0.0805533-0j 0.279876-0j -0.00446702-0j 0.0836258-0j -0.000799878-0j -0.132148-0j 0.118859-0j -0.0288083-0j -0.125714-0j -0.0475736-0j 0.182983-0j -0.0793842-0j 0.126443-0j 0.237921-0j -0.00305145-0j 0.0737905-0j 0.0482556-0j -0.0383453-0j 0.249046-0j -0.0334534-0j -0.0134295-0j 0.0745423-0j 0.165794-0j 0.162526-0j 0.0255517-0j 0.10111-0j -0.00597085-0j 0.0280476-0j 0.00252842-0j -0.000399822-0j 
-0.122235-0j 0.250328-0j -0.0956643-0j -0.0854045-0j -0.0823347-0j 0.197718-0j -0.227145-0j -0.0756293-0j -0.0723154-0j 0.171229-0j -0.0504195-0j -0.0540322-0j -0.0682179-0j -0.0389658-0j 0.158527-0j 0.153152-0j -0.0666987-0j -0.0595455-0j 0.113257-0j -0.062391-0j -0.184009-0j -0.0432257-0j -0.041594-0j -0.0556997-0j 0.19324-0j -0.0385899-0j -0.0558042-0j 0.141257-0j -0.0220585-0j -0.025735-0j -0.16228-0j 0.134008-0j -0.0397938-0j 0.0893387-0j -0.153953-0j -0.0321451-0j 0.0865018-0j -0.0398684-0j 0.295973-0j -0.027296-0j -0.0503356-0j -0.0363947-0j -0.0344624-0j 0.0552755-0j -0.0287515-0j -0.00990539-0j -0.0324915-0j -0.0196848-0j -0.109989-0j 0.0873982-0j 0.163352-0j 0.0475736-0j -0.011259-0j -0.141995-0j 0.276089-0j -0.0150121-0j -0.0546541-0j -0.0201031-0j 0.149119-0j -0.023213-0j -0.0198888-0j 0.0254912-0j -0.0187513-0j 0.258977-0j -0.00207691-0j -0.0585701-0j 0.172651-0j 0.203301-0j -0.00454177-0j 0.106536-0j -0.0058009-0j 0.254645-0j 0.106822-0j 0.130289-0j 0.145245-0j 0.0779018-0j 0.0195034-0j 
0.0211541-0j 0.0223237-0j 0.0165557-0j 0.0167273-0j 0.0142489-0j 0.0176321-0j 0.0102854-0j -0.0383259-0j 0.0125149-0j 0.0152698-0j 0.00872561-0j 0.00935082-0j 0.0133611-0j 0.00551117-0j -0.0413967-0j 0.0136577-0j 0.0115429-0j 0.0116625-0j 0.0101-0j -0.0316172-0j 0.00833211-0j 0.00748066-0j 0.00719826-0j -0.0319449-0j 0.00266215-0j 0.00755818-0j -0.0282793-0j 0.012597-0j -0.0411701-0j 0.0044537-0j 0.00734823-0j -0.0349939-0j 0.00779397-0j 0.00796702-0j -0.0204131-0j 0.00454648-0j -0.0528909-0j 0.00689964-0j 0.00118606-0j -0.0323889-0j 0.00985868-0j -0.0184434-0j -0.0462796-0j 0.00492934-0j 0.0040665-0j 0.00171423-0j -0.0186345-0j -0.0190893-0j 0.00498042-0j -0.0228225-0j 0.00225039-0j 0.0042425-0j -0.00570563-0j -0.0188276-0j 0.000496165-0j 0.00259799-0j 0.00247479-0j -0.0115295-0j -0.00601552-0j 0.00454648-0j -0.00823708-0j 0.00227324-0j 0.00265212-0j -0.00303893-0j 0.000359431-0j 0.00265212-0j 0.00069187-0j -0.000580255-0j 0.000889547-0j 0.00146768-0j 0.000820456-0j 0.000457629-0j 0.000428072-0j 7.70619e-05-0j 0.000141572-0j 3.01552e-05-0j 3.75032e-06-0j 
-0.0246798-0j -0.000515481-0j -0.019315-0j 0.0187426-0j 0.0323218-0j -0.000407146-0j 0.0232867-0j -0.0152698-0j -0.0146007-0j 0.000685565-0j -0.0101799-0j -0.0109093-0j 0.0149709-0j 0.0187801-0j -0.000326443-0j -0.000315374-0j 0.0261836-0j -0.0254077-0j -0.000233222-0j -0.012597-0j 0.0188644-0j -0.00872743-0j 0.0410547-0j 0.0122237-0j 0.012116-0j 0.00846882-0j 0.0219068-0j 0.000565562-0j -0.0044537-0j -0.00519598-0j -0.0323473-0j -0.000275952-0j 0.00873302-0j 0.000899354-0j 0.0157831-0j 0.0154928-0j 0.000346335-0j 0.015651-0j 0.00675437-0j -0.00551117-0j -0.0214779-0j 0.0359228-0j 0.00756302-0j -0.000113824-0j -0.0269427-0j 0.0215539-0j -0.0348584-0j 0.00948734-0j 0.011276-0j 0.000349924-0j 0.010242-0j 0.000767352-0j -0.00227324-0j -0.0283039-0j 0.00339296-0j 0.0148174-0j -0.0438887-0j 0.00441176-0j -0.0181787-0j -0.024904-0j 0.00958565-0j 0.000102061-0j -0.0441808-0j 0.00591007-0j -0.000419336-0j -0.0116748-0j -0.0192615-0j 0.00158169-0j 0.000996723-0j -0.0129875-0j 0.00279582-0j -0.00608462-0j 0.00243778-0j -0.0013673-0j 0.00113002-0j 0.000309667-0j 4.70899e-05-0j 
-0.0151132-0j -0.0159488-0j 0.0345766-0j -0.0119505-0j -0.0101799-0j 0.0368246-0j -0.00734823-0j -0.00935082-0j -0.00894109-0j -0.0109093-0j -0.00623388-0j -0.00567533-0j 0.0279047-0j -0.00393737-0j -0.0101-0j -0.00975756-0j 0.0241074-0j -0.00833211-0j -0.00613006-0j 0.0225504-0j 0.0174016-0j 0.0156234-0j -0.00514269-0j -0.00779397-0j -0.00190193-0j -0.00539982-0j -0.00689964-0j 0.0263088-0j -0.00272732-0j -0.0391959-0j -0.00524983-0j 0.0249587-0j -0.00473043-0j -0.00569191-0j -0.00498042-0j 0.00949534-0j -0.00551117-0j -0.00418763-0j -0.000847364-0j -0.00286707-0j 0.0205899-0j 0.0131544-0j 0.0140969-0j -0.0433819-0j -0.00290525-0j -0.0012247-0j -0.00454648-0j -0.00198909-0j -0.00302279-0j -0.00473043-0j 0.00469995-0j 0.00886047-0j -0.0438273-0j 0.0134284-0j -0.000354478-0j -0.0228643-0j -0.00176808-0j -0.0346518-0j -0.00146768-0j -0.00275942-0j -0.0017073-0j -0.0511319-0j 0.00553895-0j 0.00216746-0j -0.0238563-0j -0.0233406-0j -0.000494296-0j -0.000141572-0j -0.0370794-0j -0.000890783-0j -0.0184545-0j 0.000955759-0j -0.00376736-0j -5.50556e-05-0j -8.59247e-05-0j 6.29792e-05-0j -2.67936e-06-0j 
0.0215948-0j -0.0218867-0j -0.0162524-0j -0.0170624-0j 0.0145457-0j 0.0166239-0j 0.00927745-0j 0.0133611-0j 0.0127757-0j -0.0149709-0j 0.0089074-0j -0.0279047-0j 0.0131061-0j 0.0263747-0j -0.0138604-0j -0.0133904-0j -0.0113315-0j -0.0118962-0j 0.0289474-0j -0.0105996-0j -0.00722735-0j -0.00734362-0j 0.00734823-0j -0.0111278-0j 0.0283014-0j -0.00770959-0j 0.00985868-0j 0.0118767-0j 0.00389699-0j -0.0222093-0j 0.00662813-0j 0.0112672-0j 0.0232405-0j -0.00781105-0j 0.006288-0j -0.0209236-0j -0.00756302-0j -0.0205899-0j 0.0218686-0j -0.0140969-0j 0.0096705-0j -0.0061831-0j 0.00662094-0j 0.0236082-0j 0.019461-0j 0.00174994-0j -0.00649124-0j 0.013324-0j -0.0131325-0j 0.022338-0j -0.0230064-0j 0.00399992-0j -0.0136185-0j -0.00557718-0j 0.0139952-0j -0.0129554-0j 0.00223227-0j 0.0196191-0j 0.0218395-0j 0.013557-0j -0.0393537-0j 0.0152593-0j -0.0122054-0j -0.0184012-0j -0.00395168-0j -0.0116858-0j 0.0127567-0j 0.00791386-0j 0.00799231-0j -0.0456119-0j -0.0268828-0j -0.0124131-0j -0.0385559-0j 0.00413274-0j -0.0165281-0j -0.0020091-0j 0.000399313-0j 
-0.0089074-0j 0.0274555-0j -0.00697114-0j -0.0330195-0j -0.0059998-0j 0.0216853-0j -0.00529924-0j -0.00551117-0j -0.00526969-0j 0.0187801-0j -0.00367411-0j -0.00393737-0j -0.0263747-0j 0.0319349-0j 0.017387-0j 0.0167974-0j -0.0048604-0j -0.0230218-0j 0.0124218-0j -0.00454648-0j -0.00429288-0j -0.0031499-0j -0.00303099-0j -0.0215349-0j 0.0208038-0j -0.0149198-0j -0.0040665-0j 0.0154928-0j -0.00160742-0j -0.00187533-0j -0.00378596-0j 0.0146977-0j -0.0153853-0j 0.00979848-0j -0.00359168-0j 0.026345-0j 0.00948734-0j -0.00290525-0j -0.0153296-0j -0.00198909-0j -0.019461-0j -0.00265212-0j -0.013324-0j 0.0060625-0j 0.0235636-0j -0.000721814-0j -0.012562-0j 0.0161329-0j -0.00256602-0j 0.00958565-0j 0.0175861-0j 0.00521777-0j -0.000820456-0j -0.00331272-0j -0.0417884-0j -0.00109394-0j -0.00127507-0j -0.00777235-0j 0.0160538-0j -0.00897474-0j 0.0163001-0j 0.00279582-0j 0.0153679-0j -0.0134134-0j -0.000151346-0j -0.00136643-0j -0.00894226-0j -0.0481937-0j -0.00175596-0j 0.0114694-0j 0.0047542-0j -0.0385427-0j -0.00553274-0j -0.041331-0j -0.0344312-0j -0.03074-0j -0.0105803-0j 
0.0133706-0j 0.0141099-0j 0.0104642-0j 0.0105726-0j 0.00900611-0j 0.0111445-0j 0.00650096-0j 0.00827264-0j -0.0309554-0j 0.00965142-0j 0.0055151-0j 0.00591026-0j 0.00844499-0j 0.00348338-0j 0.00893548-0j -0.0337821-0j 0.00729579-0j 0.00737139-0j 0.00638381-0j 0.00682458-0j 0.00526638-0j -0.0417347-0j 0.00454972-0j 0.00689531-0j 0.00168263-0j -0.0421672-0j -0.0238876-0j 0.00796201-0j 0.00241285-0j 0.002815-0j 0.00464451-0j -0.0295594-0j 0.00492624-0j -0.0197062-0j -0.017243-0j 0.00287364-0j 0.00487572-0j -0.0170661-0j 0.00074966-0j 0.00298576-0j -0.0243852-0j 0.00398101-0j 0.00426625-0j -0.0121926-0j -0.0100584-0j 0.00108349-0j 0.00402226-0j 0.00175974-0j -0.012319-0j 0.00492624-0j -0.0055663-0j 0.00268151-0j 0.00123156-0j 0.00406394-0j -0.00122725-0j 0.00164208-0j 0.00156421-0j 0.00248865-0j 0.00129845-0j 0.00287364-0j 0.00177798-0j 0.00143682-0j 0.00167629-0j 0.000655953-0j 0.000227181-0j 0.00167629-0j 0.000437302-0j 0.000125248-0j 0.000562245-0j 0.000927657-0j 0.000518576-0j 0.000289248-0j 0.000270567-0j 4.87076e-05-0j 8.94815e-05-0j 1.90599e-05-0j 2.37042e-06-0j 
-0.00192988-0j -0.00203658-0j -0.00151037-0j -0.00152602-0j -0.00129992-0j -0.00160857-0j -0.000938332-0j -0.00119405-0j 0.00446803-0j -0.00139306-0j -0.000796036-0j -0.000853073-0j -0.00121893-0j -0.000502783-0j -0.00128972-0j 0.00487603-0j -0.00105306-0j -0.00106397-0j -0.000921424-0j -0.000985044-0j -0.000760136-0j 0.00602388-0j -0.000656696-0j -0.000995252-0j -0.000242867-0j 0.00608631-0j 0.00344787-0j -0.00114922-0j -0.000348266-0j -0.00040631-0j -0.000670377-0j 0.00426653-0j -0.000711042-0j 0.00284435-0j 0.00248881-0j -0.000414775-0j -0.000703749-0j 0.00246328-0j -0.000108204-0j -0.000430957-0j 0.00351971-0j -0.000574609-0j -0.000615781-0j 0.00175985-0j 0.0014518-0j -0.000156389-0j -0.000580564-0j -0.000253997-0j 0.00177809-0j -0.000711042-0j 0.000803427-0j -0.000387042-0j -0.000177761-0j -0.00058658-0j 0.000177139-0j -0.000237014-0j -0.000225775-0j -0.000359205-0j -0.000187415-0j -0.000414775-0j -0.000256629-0j -0.000207387-0j -0.000241952-0j -9.46786e-05-0j -3.27908e-05-0j -0.000241952-0j -6.31191e-05-0j -1.8078e-05-0j -8.11531e-05-0j -0.000133896-0j -7.485e-05-0j -4.17494e-05-0j -3.90529e-05-0j -7.03033e-06-0j -1.29155e-05-0j -2.75105e-06-0j -3.4214e-07-0j 
-0.0151037-0j -0.000315468-0j -0.0118205-0j 0.0114703-0j -0.0101735-0j -0.000249168-0j 0.0142512-0j 0.0273641-0j -0.00893548-0j -0.000215786-0j -0.00622996-0j -0.00667635-0j 0.00916201-0j 0.0114932-0j 0.000584999-0j -0.000193005-0j -0.00824147-0j 0.00799725-0j -0.000142729-0j 0.0225743-0j 0.0115448-0j -0.00534108-0j -0.00513946-0j -0.0219053-0j 0.00741484-0j 0.00518281-0j 0.020191-0j -0.000178015-0j 0.0293948-0j -0.00317988-0j 0.0101815-0j 0.000494517-0j 0.0053445-0j -0.000112586-0j -0.0282839-0j 0.00948138-0j 0.00074743-0j -0.00492624-0j 0.00413359-0j 0.0231252-0j 0.00676032-0j 0.0131683-0j -0.0317349-0j -6.96592e-05-0j 0.0084804-0j -0.00122394-0j -0.0127781-0j -0.0398095-0j 0.00690076-0j 0.000322518-0j 0.00626799-0j -5.99531e-05-0j 0.00407374-0j -0.0260871-0j 0.00207645-0j -0.00185493-0j 0.00342902-0j -0.00790605-0j -0.0167549-0j 0.00311763-0j -0.0171779-0j -3.21244e-05-0j 0.0055308-0j -0.0105911-0j -0.000256629-0j 0.00367471-0j 0.00241126-0j -0.00283446-0j 0.000609982-0j 0.0040879-0j 0.00171101-0j 0.00191517-0j 0.00149189-0j 0.000430367-0j 0.000691556-0j 0.000189512-0j 2.88184e-05-0j 
