-0.0824341-0.0407561j -0.054567+0.0597519j 0.0157868-0.0337502j 0.0059383-0.19817j 0.244267-0.0118691j -0.0338-0.11046j -0.00702054-0.111415j 0.0856812-0.000182241j -0.12023+0.0825287j 0.199981+0.0988608j 0.0923097-0.121012j -0.18287-0.173381j -0.0493434+0.0144448j 0.0573932-0.109996j -0.0260698-0.0493475j 0.0365651-0.140151j -0.0342916+0.202835j -0.0595996+0.13763j -0.107784+0.128451j 0.0866053+0.138826j -0.391664+0.015665j -0.0117476-0.31266j 
0.0113742+0.121549j 0.145107+0.00640283j -0.0174279+0.0764133j -0.0162431+0.0860899j -0.118618+0.00134052j -0.00509335+0.0393617j -0.0151472+0.0250326j 0.012068-0.0439911j 0.0487381-0.0615358j -0.136258-0.0991084j 0.328169-0.139708j -0.2463-0.247046j -0.06881-0.244323j 0.040768-0.0214527j -0.000858944+0.337604j 0.0248194-0.181005j -0.0897793-0.039022j -0.355436+0.191247j 0.115548-0.232838j 0.286344+0.181985j 0.0799842+0.077894j -0.0306839+0.0596945j 
0.0516623+0.0346867j 0.033281-0.0238965j -0.00642722+0.0195058j -0.0347154+0.123064j -0.146285-0.0161386j 0.00504314+0.056435j 0.00908167+0.0585094j -0.037468-0.0289178j 0.101874+0.00525709j -0.0718776-0.0951896j -0.0793368+0.0485905j 0.0732114+0.119341j 0.0147225+0.0247386j 0.00368894+0.0307327j -0.0112546+0.0322342j -0.0249751+0.098279j 0.0369341-0.146634j 0.0601653-0.0555886j 0.106009-0.0596334j -0.0188074-0.0382926j 0.187592-0.0809289j 0.130145+0.134147j 
0.0123042-0.0583437j -0.0418064-0.0157414j -0.00804081+0.0053695j 0.0437807-0.0269878j 0.0405417+0.0298242j -0.0244529-0.0109034j -0.00288883-0.0180962j 0.0440368-0.0159993j -0.0707789+0.00126583j 0.0459178+0.0840733j -0.0639072-0.0113435j 0.0166698+0.0403521j 0.0224007+0.0249348j -0.018951+0.00553038j 0.0124795-0.118829j -0.0484435-0.00160713j 0.0068758+0.0347484j 0.0424983-0.050614j -0.0156323+0.0802746j -0.0979894+0.0072947j -0.0928152+0.0445888j -0.017501-0.0539782j 
0.0194456+0.0589606j 0.00922529+0.0067042j 0.00339906-0.066418j 0.0276683+0.00530147j -0.019195+0.0490823j -0.0239188+0.0204346j 6.10195e-05-0.00125247j 0.00739568-0.0220576j -0.0154176-0.014205j -0.00712621+0.0169556j -0.000358303-0.0180169j -0.014761+0.0140098j 0.00980457-0.0296576j 0.00221304+0.00194465j -0.00190001-0.0042777j -0.0295048-0.0136878j -0.0138961-0.00132775j -0.0267584-0.0136039j 0.0188231-0.00116833j -0.00619306+0.0277562j -0.00483801+0.0215755j -0.0118857+0.00503563j 
-0.0305186-0.00641273j -0.00967857+0.00595738j 0.00131381-0.00632751j -0.0143036-0.0517385j 0.03258+0.000416977j 0.0367783+0.00424193j -0.0160939+0.0127303j -0.00296272+0.0384186j -0.0117023-0.0342609j -0.00627573-0.00261204j 0.0346745+0.0408901j 0.0141429-0.0375802j 0.0158499+0.00843635j -0.0661561+0.0157245j 0.00266577+0.0209504j 0.0161773-0.00174803j 0.0243543+0.0376195j 0.00695623+0.0293932j -0.0387458+0.0114154j 0.0344039-0.0438864j -0.0161565+0.0256282j 0.0108506-0.00375383j 
0.0269998-0.0140948j 0.00572745-0.00477764j 0.00608279+0.0107256j 0.0444527+0.0314997j -0.0218921+0.0386018j -0.0311834+0.0120616j 0.000968278-0.00652456j -0.000799314+0.00230422j -0.0543521-0.0635309j -0.0313925+0.0368172j 0.00751799-0.00910524j 0.00316375+0.010214j 0.0520478-0.0476912j -0.0353129+0.019489j 0.00633533-0.0272001j -0.0271352-0.0240021j -0.012273+0.0256153j -0.0273204-0.0421285j -0.0246672+0.00380484j -0.0301183+0.000899602j 0.0356122+0.0621207j -0.0706277+0.0525627j 
-0.00830548+0.00991456j -0.00263363-0.0215557j -0.0139292+0.00353073j 0.00790794+0.00475963j -0.00881383+0.00679634j -0.0162135+0.00081966j 0.0035434+0.00853039j 0.00535228-0.00857989j 0.00140879+0.00790035j 0.00383089-0.00132513j 0.00749544-0.00509575j -0.00749397-0.00326193j -0.00992776-0.00278452j -0.0143489+0.00245792j 0.0273791-0.0168045j -0.0249492-0.0358847j -0.0288374-0.00645065j -0.0242338-0.00607829j 0.0393059-0.0341879j -0.0192719+0.0148806j 0.00150274+0.0136515j -0.00165269+0.0166036j 
-0.0134395-0.0126973j 0.00294754-0.00517307j -0.00798647-0.00771526j 0.00798404-0.0255633j 0.0231046+0.00163448j -0.0360408-0.0243998j 0.0218606+0.00782889j 0.00694877+0.0133348j -0.00109273+0.00314215j 0.00908722+0.0101379j 0.0107428-0.00801739j -0.00681235-0.0301421j -0.0240568+0.00638301j 0.0462387-0.0280544j -0.00178651-0.00442176j 0.00250689-0.000225773j -0.0018205-0.0271897j 0.00599051+0.0602375j 0.0129266+0.0424236j 0.0281715+0.0345758j -0.0621441+0.0067657j -0.000449088-0.0189097j 
0.00703166+0.00941036j -0.0249017+0.00905568j 0.00334433+0.000583886j -0.00708323-0.00712793j 0.0137604+0.00134134j 0.0108468-0.0166317j 0.0143701-0.0165992j -0.020696+0.0086799j 0.00321505-0.00586179j 0.00866504+0.0161028j -0.000448251+0.00608793j 0.0135499+0.0170262j -0.040555+0.0542759j -0.0177876+0.0186757j 0.0150779+0.00940335j -0.0104467+0.0149303j 0.010008+0.0142659j 0.00594299+0.00632464j 0.0288481+0.0133377j -0.0322455+0.0266044j -0.0317636-0.00205759j -0.00718779-0.0065343j 
-0.00623879+0.016217j -0.00451917-0.00755983j -0.0141689+0.00664062j -0.00976283+0.00471005j -0.00989758+0.00621046j 0.0151491-0.0029418j -0.0165994+0.000942779j 0.0181668-0.0313674j 0.00528853-0.00234523j 0.00371263-0.00237832j 0.00208625+0.0178007j -0.000885151-0.0306554j 0.0224724-0.0228858j 0.0501524-0.0571752j -0.00880299-0.0370841j -0.0114281-0.0146138j -0.0238025-0.0474066j -0.00441771+0.0331636j -0.0328166+0.00733629j 0.016953-0.0127346j 0.0238668+0.0023552j -0.0188188+0.0116112j 
-0.0250016+0.00314826j 0.00277141-0.0174742j -0.00741459-0.00321265j 0.00766205+0.00405365j -0.00276853-0.0254294j 0.00744456+0.00475311j 0.00686567-0.0270241j -0.0203506+0.0116393j 0.0125196+0.00101111j 0.00366441-0.00331816j 0.0275159+0.0187376j 0.0152378+0.00896614j -0.0155906-0.0209939j -0.0253053+0.0259506j 0.0111417-0.0121134j -0.0521845-0.0336434j -0.0057809-0.0138323j -0.012811+0.0196694j 0.0247525-0.0187276j -0.00645506-0.00472516j -0.0121313-0.0040436j 0.00767187-0.00978015j 
0.0128305-0.00621835j 0.00531947+0.0223886j 0.0139093-0.00714968j 0.00476694+0.0190897j 0.0112632-0.000372393j 0.024344-0.000433358j -0.022153-0.0197087j -0.014883+0.00172281j -0.00514305+0.0054877j 0.00221985+0.0231084j 0.0275312+0.0377632j 0.0314586+0.00378757j 0.0174007-0.0158822j -0.00803632+2.22613e-05j 0.0212324-0.0296205j -0.0373071-0.0130063j -0.0148141-0.0610961j 0.0274216+0.0379722j 0.0400147+0.00774139j 0.0120044-0.016648j -0.00078086+0.00969734j 0.00215264+0.0118191j 
0.0113796-0.0062197j -0.00975323+0.0280243j 0.0183553+0.0150686j -0.0113339-0.0114873j 0.00125906-0.00651369j -0.0422566+0.016388j 0.0249681-0.0225286j 0.00136485+0.0247812j 0.00478871+0.0029697j 0.00677628-0.00607272j -0.00327418+0.00309315j 0.00806478+0.000856121j 0.000116607-0.0339096j 0.013989-0.0103468j -0.0221935-0.028869j -0.0202973-0.0122789j -0.00685022-0.0102744j 0.0100459-0.00357239j -0.0223657+0.00784975j 0.00620731-0.029251j -0.0058804-0.010975j 0.00579485-0.00628058j 
-0.00348902-0.0103067j 0.0222284-0.00350466j -0.00273952-0.00774731j -0.00447858+0.0196759j 0.00973887-0.0164912j 0.00145475-0.00930259j -0.00436249-0.010748j -0.00536276-0.00159866j 0.0353135+0.0273174j 0.00381051+0.0214877j -0.017819-0.0212562j -0.0184151-0.0224595j -0.0122006+0.0101707j 0.0183885-0.0128713j -0.00424014+0.00973067j 0.00828652+0.00928889j -0.0050964-0.000656336j -0.0294815-0.0125196j -0.0182707-0.0208823j -0.0118541-0.00112453j -0.00558692+0.00622587j -0.00179044+0.00631621j 
0.00739838+0.0298675j -0.0251062-0.00366893j -0.00295425+0.0143873j 0.0225346+0.00599856j -0.0160319-0.00816452j 0.00367694-0.00620403j -0.0249524-0.0288735j -0.0138814+0.00853212j 0.00654343+0.0125467j 0.00653563+0.0363427j -0.00602662-0.0170836j -0.0171291+0.00661753j 0.0149372-0.0158982j 0.0151335-0.00487131j -0.0055797+0.0346257j 0.0264573+0.0116786j 0.00624574-0.00210893j 0.00200624-0.0166111j -0.00433873+0.0134887j 0.0193683+0.00898922j 0.00239878-0.00142317j -0.00294075+0.00204686j 
-0.00473284-0.0021016j -0.0105038+0.00168688j 0.0113815+0.0166724j -0.0154612-0.00234575j -0.00191506+0.0163791j 0.0119301-0.00327195j -0.037588+0.0134881j 0.011709-0.0156497j 0.00476117+0.0319024j 0.00128591-0.0198963j -0.0016295-0.0162298j -0.00752111-0.00342525j -0.00253039+0.00475269j -0.015582+0.0198012j 0.0040639-0.00382877j -0.00199462-0.0148774j -0.0147062+0.0210079j -0.00255056+0.00143768j 0.00486487+0.00344536j 0.00782409+0.0212081j -0.0353697-0.0161094j 0.014688-0.00740265j 
