0.0617549-0.229691j -0.24458-0.0899623j 0.0743661-0.119975j 0.039111-0.0101516j -0.0110258+0.0330154j 0.0391803+0.117414j 0.00495358-0.0962257j -0.165709+0.208953j 0.278575-0.093095j 0.216981+0.184607j -0.0477325+0.171314j -0.391561-0.104265j -0.0257681+0.112257j -0.0537322-0.295362j -0.0715698+0.239359j 0.00533173-0.267427j 0.214731-0.0594315j -0.101902-0.0467912j 0.0395955-0.0293653j 0.177385-0.0564172j 0.0481776+0.0338092j 0.0730289+0.0687649j -0.00244047-0.0578646j 0.0165987+0.0339919j -0.0297636-0.0369945j 0.058832-0.0385071j -0.0157358+0.00219074j -0.0188003-0.0924923j -0.0619339-0.0777002j -0.00639539+0.0592548j -0.0665733+0.0171568j -0.0113652-0.0589323j 0.131667-0.0185364j -0.0058328-0.134293j 
0.0665754+0.151526j 0.121035-0.0524868j -0.064975-0.0266488j -0.0566956+0.0193287j -0.139015+0.0906191j -0.0634592-0.047673j 0.0525617+0.129376j -0.0279857+0.0961747j 0.0937232+0.0697657j 0.170979+0.0293837j 0.16091+0.103943j -0.0955303-0.0170574j -0.074196+0.138016j 0.100448-0.017096j 0.0185903+0.249821j -0.126174+0.00727932j 0.0252325+0.0277639j 0.0783545-0.132493j -0.0136201-0.0777835j 0.0354765-0.114701j 0.0427961-0.0547266j -0.122299-0.146282j 0.0057977-0.0682575j -0.0642567+0.0194007j 0.128185-0.0271401j 0.149564-0.00747629j 0.141035+0.0267482j 0.0409853+0.109704j -0.187926+0.159075j -0.0442479+0.00473686j 0.120497-0.0448366j -0.0807409-0.146312j -0.285741+0.116557j 0.106762+0.31123j 
0.0620852-0.183418j -0.165769-0.0650741j -0.0195695+0.0310256j 0.0297841-0.0518303j 0.0635231-0.036949j 0.0221795-0.0372144j -0.0843812-0.0693269j -0.00547259-0.0395474j -0.0542141-0.0271068j -0.0756974-0.00273166j -0.0444198+0.0418153j 0.019194-0.0390176j -0.180411-0.110088j 0.157302+0.119287j 0.101133+0.215147j -0.163023+0.177007j 0.0352564-0.151972j 0.0316561-0.122281j 0.199553+0.029391j 0.00491905+0.109857j 0.11193-0.0822744j -0.0712534-0.156197j -0.263+0.0465433j 0.0896787+0.0586765j 0.152236-0.12598j -0.0389539+0.195984j 0.073886+0.0811929j -0.106758-0.0611134j 0.0450584+0.104143j 0.0210449-0.343362j 0.334947+0.0114256j 0.0819629-0.0849221j 0.114898+0.0365291j 0.0502569-0.108785j 
0.0139672+0.0796526j 0.0695137+0.000133898j -0.046035-0.00935667j -0.0311493-0.00374259j -0.0596172+0.0304412j -0.00785506-0.0146092j 0.00302915+0.0677496j -0.0204958+0.0502239j 0.0325033+0.0511204j 0.0525005+0.0146538j 0.0499055+0.0727077j -0.0168907-0.0351385j -0.0100655+0.0529395j 0.0598533+0.0507667j 0.000904946+0.061077j -0.0687015+0.00396919j -0.0716029-0.0242813j 0.0879575-0.0198103j 0.0348447-0.00921775j 0.00580295-0.0589435j 0.02932-0.0426133j -0.0244665-0.116699j -0.00660007-0.0236556j -0.0296743+0.00918939j 0.0462261+0.00457749j 0.0725515+0.0104696j 0.0581183+0.030151j 0.00152948+0.103168j -0.0588859+0.078724j -0.00164467-0.0086577j 0.0499791-0.0529634j -0.0984209+0.0195496j -0.100932+0.108785j 0.0839719+0.0640979j 
-0.030318+0.0484905j 0.027495+0.0125927j 0.0275737-0.0174504j -0.00182731+0.0216495j -0.0406008-0.00789824j -0.0404136-0.0178962j 0.0261306+0.0149022j -0.0461732-0.0141806j 0.00861184+0.0498116j 0.0375205+0.00726133j 0.0599869+0.0205522j 0.0181255+0.00397402j 0.0446829+0.0395598j -0.0119532-0.0370569j -0.0147522-0.0454337j -0.00613175-0.0200847j -0.102918+0.014667j 0.0147276+0.0391295j -0.0246551-0.0597029j 0.0253543-0.0845237j -0.0157692+0.00403208j 0.0161807-0.0258112j 0.0629023+0.0106804j -0.0231069-0.0390343j -0.0166149+0.031455j 0.00997563-0.0689643j -0.0282165+0.0461333j 0.0313448+0.0216871j -0.0565081-0.00574389j -0.00160343+0.0614924j -0.0712218+0.026015j -0.0126263+0.0583991j -0.0432806+0.0762974j 0.0563237+0.0530137j 
0.00480014+0.00012501j 0.00838254-0.0083393j -0.0076862+0.0280814j 0.0150899-0.0338085j 0.00984167+0.0266813j 0.0131913+0.00692731j 0.0259139+0.00272615j 0.0238936+0.0127123j 0.0293161+0.0190193j 0.0106591-0.0361982j 0.0502931-0.0310445j 0.046082+0.00227278j 0.0129429+0.0366834j 0.031399+0.0138639j 0.0293667+0.00584846j -0.000800491+0.0171676j 0.0145522-0.00994341j 0.0260838-0.00229391j 0.0179836+0.011503j 0.00196944+0.0114963j 0.0225498+0.0299217j 0.0088275-0.0566827j -0.00757935+0.0119831j -0.0154612+0.0198717j 0.0147016+0.0266042j -0.0213335-0.00488049j -0.0222572+0.0212345j -0.0235623-0.0172133j -0.0301639-0.0290296j -0.0683386-0.0282793j 0.00590905-0.0387168j 0.0627774-0.0289802j -0.025642+0.0178353j 0.00764219+0.0355679j 
0.049332-0.0145815j -0.00911656-0.0286748j -0.00473963-0.0045877j -0.028376+0.0384071j 0.0154445+0.0246472j -0.0105035+0.0313086j 0.00433512-0.00370809j -0.0363174+0.00931507j -0.00805246+0.00708269j -0.00719963+0.00865869j 0.021072-0.0480068j -0.00215939+0.0170713j 0.0429702-0.000554113j -0.0109349+0.0118305j 0.0205826+0.00481675j -0.0287551+0.00739107j -0.010587-0.026224j 0.0145109+0.0326701j -0.0171566-0.068388j 0.0237351-0.0026614j 0.0220458+0.0137069j -0.00223726-0.0417376j 0.000180979-0.00832921j 0.017643+0.000963104j 0.000693138-0.0400566j 0.015591+0.0099685j -0.000974114+0.0458397j -0.081234-0.024303j 0.00743511-0.0742626j -0.0360108-0.00306942j -0.0192353-0.0138301j 0.0976187-0.000554104j -0.0194226+0.0243923j 0.0245798+0.0188272j 
-0.00388226+0.0149383j -0.00544343+0.00879777j -0.0304302-0.0330742j 0.0230122+0.0503855j -0.0110203-0.00496093j -0.0278049-0.00649094j -0.016033-0.00797201j 0.0581713+0.010889j 0.0502871-0.0209592j 0.0069436-0.0129413j 0.00915265-0.00926787j 0.0111795-0.0172325j 0.0131325+0.0287166j 0.0167308+0.00317159j 0.00128359+7.75542e-05j 0.0208134-0.013467j 0.0311482-0.0058904j 0.0256554-0.0151116j 0.0313074+0.0482178j -0.00599096+0.0212137j 0.0138714+0.0118687j 0.0168281-0.0214192j 0.00234764+3.74105e-05j -0.0207548+0.0295577j 0.00588367+0.0384734j -0.0126999-0.00512627j -0.0125767-0.0182839j 0.00662388+0.0065032j -0.0108291-0.00686534j -0.0434863+0.00260142j -0.00390588-0.0476931j -0.00790316-0.01524j -0.000517252-0.0125996j -0.0111087-0.00387489j 
0.00160661+0.04526j 0.0224129-0.0339596j 0.0152266-0.00732698j 0.0272194-0.019272j -0.0118525+0.0314187j -0.0441755-0.00650976j 0.041655-0.0148916j 0.0230767+0.0435553j -0.020118+0.00231199j -0.00912782+0.0214391j -0.00753671-0.0272767j -0.0264632+0.0188652j 0.0369728-0.0112961j -0.0189664+0.0287423j -0.0153351-0.0166529j -0.0164344-0.00775212j 0.00418839-0.0121044j 0.033144+0.0366515j -0.0315545-0.0287703j 0.00201917+0.00706245j -0.00582237-0.00360204j -0.00833583-0.00507483j 0.0137514-0.0325845j 0.0123787+0.00500947j -0.015179-0.0324915j 0.0448206+0.00617824j 0.0233791-0.0104168j -0.0570781+0.0237904j 0.0308126-0.0513909j -0.0135224+0.0365873j -0.0364678-0.029738j 0.0219114+0.0144434j -0.0244137-0.00199725j 0.00161535+0.0168767j 
0.00760182-0.0242651j -0.00943297-0.00884821j 0.00356285+0.00121723j 0.0117816-0.00583789j 0.0106291-0.00878749j -0.0174976-0.00228196j 0.0192028-0.00729791j 0.00845821-0.0140685j -0.0227868-0.0034994j 0.025795-0.0204034j -0.00188019-0.0425942j -0.00793126+0.00861723j -0.035526+0.0345436j 0.00329746-0.0119693j 0.000940545+0.0348377j 0.0115309+0.00742196j 0.00932007+0.0196997j -0.0418069-0.0225843j -0.015749-0.0360957j -0.00440746+0.00889584j -0.000252816+0.0340316j -0.0255379-0.0088625j -0.0091842+0.00810008j 0.00331946-0.0247447j 0.00599341+0.0257089j -0.0275866+0.0319723j -0.0219933+0.0101608j -0.0186321-0.00484868j -0.0160313-0.00807184j -0.00221729-0.0151774j 0.0176073+0.0234341j 0.0215708-0.00521791j -0.0166821-0.00251198j -0.0018711-0.00809658j 
0.0102804+0.0438646j 0.0370498-0.0122398j -0.017095+0.00638087j -0.0144433+0.018007j -0.0209496+0.0207057j -0.0059926-0.0102423j 0.00896628+0.0228435j 0.027717+0.00661114j -0.00582201-0.0136005j 0.0094952+0.00196303j 0.00569761+0.00311555j -0.00314687+0.00782119j -0.00618374+0.0120859j 0.00455576+0.0141369j -0.00179513+0.0181194j 0.0102426-0.00203879j 0.0614211+0.0205998j -0.000138196-0.000853823j -0.025976+0.0038038j -0.0413985-0.00218485j -0.0258663-0.0196161j -0.037239+0.000420633j 0.000646769-0.00596393j 0.00769571-0.00693697j -0.00246739+0.0151384j 0.00366623+0.0199296j 0.0518945-0.0604456j -0.0139293-0.00146507j -0.0415019+0.0236618j -0.0261446+0.0109001j -0.000701532-0.0159138j 0.00802859-0.0245323j -0.0577195-0.0034874j -0.0128846+0.059574j 
