0.00302215-0j -0.0468069-0j 0.026819-0j -0.108166-0j -0.0785322-0j 0.0579526-0j -0.0211587-0j 0.165286-0j -0.142946-0j -0.0152122-0j 0.0290373-0j 0.0709749-0j 0.181553-0j -0.126819-0j -0.306851-0j -0.07148-0j 0.0879064-0j -0.145732-0j 0.0732112-0j 0.22393-0j -0.0274178-0j -0.147502-0j 0.107922-0j -0.114679-0j 0.115697-0j -0.0568039-0j -0.257925-0j -0.0893113-0j 0.208574-0j 0.073405-0j 0.11525-0j -0.202054-0j -0.00978351-0j -0.0411665-0j 0.049774-0j 0.00142976-0j -0.0306447-0j -0.0140446-0j -0.00683347-0j 0.00604665-0j 0.0423208-0j 0.0109063-0j 0.0907715-0j 0.0605299-0j 0.237034-0j 0.0307575-0j -0.096179-0j 0.0841124-0j 0.268596-0j 0.0356012-0j -0.150783-0j 0.0609695-0j -0.0917696-0j 0.0583281-0j -0.122175-0j -0.163139-0j -0.00144442-0j 0.184395-0j -0.0764138-0j 0.133025-0j -0.0544432-0j 0.0611429-0j 0.231172-0j 0.10719-0j -0.113826-0j 0.0425258-0j -0.0120505-0j 0.00125473-0j -0.127491-0j 0.142694-0j -0.019797-0j 0.0481733-0j -0.0708144-0j 0.0990736-0j 0.0251009-0j 0.044335-0j 0.00301217-0j 
2.10199e-05-0j -0.000325555-0j 0.000186534-0j -0.000752328-0j -0.000546213-0j 0.000403077-0j -0.000147165-0j 0.00114961-0j -0.000994231-0j -0.000105805-0j 0.000201963-0j 0.000493651-0j 0.00126276-0j -0.000882062-0j -0.00213423-0j -0.000497163-0j 0.000611413-0j -0.00101361-0j 0.000509204-0j 0.00155749-0j -0.000190699-0j -0.00102592-0j 0.000750626-0j -0.000797625-0j 0.000804702-0j -0.000395087-0j -0.00179394-0j -0.000621185-0j 0.00145069-0j 0.000510552-0j 0.000801594-0j -0.00140534-0j -6.80471e-05-0j -0.000286324-0j 0.000346192-0j 9.9444e-06-0j -0.000213143-0j -9.76839e-05-0j -4.75287e-05-0j 4.20561e-05-0j 0.000294353-0j 7.58561e-05-0j 0.000631341-0j 0.000421003-0j 0.00164864-0j 0.000213927-0j -0.000668952-0j 0.000585025-0j 0.00186816-0j 0.000247617-0j -0.00104874-0j 0.00042406-0j -0.000638283-0j 0.000405688-0j -0.000849759-0j -0.00113467-0j -1.00464e-05-0j 0.00128252-0j -0.000531479-0j 0.000925227-0j -0.000378668-0j 0.000425266-0j 0.00160786-0j 0.000745536-0j -0.000791692-0j 0.000295778-0j -8.38146e-05-0j 8.72698e-06-0j -0.000886738-0j 0.000992475-0j -0.000137694-0j 0.000335059-0j -0.000492534-0j 0.000689085-0j 0.000174584-0j 0.000308363-0j 2.09505e-05-0j 
-2.39179e-05-0j 0.000370439-0j -0.000212251-0j 0.000856051-0j 0.00062152-0j -0.000458649-0j 0.000167454-0j -0.00130811-0j 0.00113131-0j 0.000120392-0j -0.000229807-0j -0.00056171-0j -0.00143685-0j 0.00100367-0j 0.00242848-0j 0.000565707-0j -0.000695709-0j 0.00115335-0j -0.000579408-0j -0.00177222-0j 0.00021699-0j 0.00116736-0j -0.000854114-0j 0.000907594-0j -0.000915646-0j 0.000449557-0j 0.00204127-0j 0.000706828-0j -0.0016507-0j -0.000580942-0j -0.00091211-0j 0.0015991-0j 7.74287e-05-0j 0.0003258-0j -0.000393921-0j -1.13154e-05-0j 0.000242528-0j 0.000111152-0j 5.40814e-05-0j -4.78544e-05-0j -0.000334935-0j -8.63144e-05-0j -0.000718384-0j -0.000479046-0j -0.00187593-0j -0.000243421-0j 0.00076118-0j -0.000665682-0j -0.00212572-0j -0.000281755-0j 0.00119333-0j -0.000482525-0j 0.000726283-0j -0.00046162-0j 0.000966915-0j 0.00129111-0j 1.14315e-05-0j -0.00145934-0j 0.000604754-0j -0.00105279-0j 0.000430875-0j -0.000483897-0j -0.00182954-0j -0.000848323-0j 0.000900843-0j -0.000336557-0j 9.53701e-05-0j -9.93017e-06-0j 0.00100899-0j -0.00112931-0j 0.000156678-0j -0.000381253-0j 0.00056044-0j -0.000784089-0j -0.000198654-0j -0.000350876-0j -2.3839e-05-0j 
-1.43696e-19-0j 2.22555e-18-0j -1.27518e-18-0j 5.14305e-18-0j 3.73401e-18-0j -2.75551e-18-0j 1.00604e-18-0j -7.85894e-18-0j 6.79674e-18-0j 7.23301e-19-0j -1.38065e-18-0j -3.37468e-18-0j -8.63242e-18-0j 6.02993e-18-0j 1.459e-17-0j 3.3987e-18-0j -4.17973e-18-0j 6.9292e-18-0j -3.48101e-18-0j -1.06473e-17-0j 1.30365e-18-0j 7.01337e-18-0j -5.13141e-18-0j 5.45271e-18-0j -5.50109e-18-0j 2.70089e-18-0j 1.22637e-17-0j 4.24653e-18-0j -9.91717e-18-0j -3.49023e-18-0j -5.47984e-18-0j 9.60717e-18-0j 4.65182e-19-0j 1.95737e-18-0j -2.36663e-18-0j -6.79817e-20-0j 1.45708e-18-0j 6.67785e-19-0j 3.24915e-19-0j -2.87503e-19-0j -2.01225e-18-0j -5.18566e-19-0j -4.31596e-18-0j -2.87805e-18-0j -1.12704e-17-0j -1.46244e-18-0j 4.57307e-18-0j -3.99934e-18-0j -1.27711e-17-0j -1.69275e-18-0j 7.16937e-18-0j -2.89895e-18-0j 4.36342e-18-0j -2.77336e-18-0j 5.8091e-18-0j 7.75684e-18-0j 6.86788e-20-0j -8.76752e-18-0j 3.63329e-18-0j -6.32502e-18-0j 2.58864e-18-0j -2.90719e-18-0j -1.09916e-17-0j -5.09662e-18-0j 5.41215e-18-0j -2.022e-18-0j 5.72972e-19-0j -5.96592e-20-0j 6.0619e-18-0j -6.78474e-18-0j 9.413e-19-0j -2.29052e-18-0j 3.36705e-18-0j -4.71071e-18-0j -1.19349e-18-0j -2.10802e-18-0j -1.43222e-19-0j 
8.36983e-06-0j -0.000129631-0j 7.42751e-05-0j -0.000299566-0j -0.000217494-0j 0.000160499-0j -5.85988e-05-0j 0.000457758-0j -0.000395888-0j -4.213e-05-0j 8.04186e-05-0j 0.000196565-0j 0.000502811-0j -0.000351224-0j -0.000849821-0j -0.000197963-0j 0.000243456-0j -0.000403604-0j 0.000202758-0j 0.000620171-0j -7.59335e-05-0j -0.000408506-0j 0.000298888-0j -0.000317603-0j 0.000320421-0j -0.000157318-0j -0.000714321-0j -0.000247347-0j 0.000577644-0j 0.000203295-0j 0.000319183-0j -0.000559587-0j -2.70954e-05-0j -0.00011401-0j 0.000137849-0j 3.95972e-06-0j -8.48703e-05-0j -3.88963e-05-0j -1.89252e-05-0j 1.67461e-05-0j 0.000117207-0j 3.02048e-05-0j 0.000251391-0j 0.000167637-0j 0.000656463-0j 8.51825e-05-0j -0.000266367-0j 0.000232949-0j 0.000743874-0j 9.85974e-05-0j -0.000417593-0j 0.000168855-0j -0.000254155-0j 0.000161539-0j -0.000338362-0j -0.000451811-0j -4.00032e-06-0j 0.00051068-0j -0.000211627-0j 0.000368412-0j -0.00015078-0j 0.000169335-0j 0.000640228-0j 0.000296862-0j -0.000315241-0j 0.000117775-0j -3.33738e-05-0j 3.47496e-06-0j -0.000353086-0j 0.000395189-0j -5.48277e-05-0j 0.000133416-0j -0.00019612-0j 0.000274384-0j 6.95168e-05-0j 0.000122786-0j 8.3422e-06-0j 
9.89989e-07-0j -1.53329e-05-0j 8.78532e-06-0j -3.54329e-05-0j -2.57254e-05-0j 1.8984e-05-0j -6.93111e-06-0j 5.4144e-05-0j -4.6826e-05-0j -4.98316e-06-0j 9.51198e-06-0j 2.32498e-05-0j 5.94729e-05-0j -4.15431e-05-0j -0.000100517-0j -2.34152e-05-0j 2.87962e-05-0j -4.77386e-05-0j 2.39823e-05-0j 7.33543e-05-0j -8.98147e-06-0j -4.83184e-05-0j 3.53527e-05-0j -3.75663e-05-0j 3.78996e-05-0j -1.86077e-05-0j -8.44904e-05-0j -2.92564e-05-0j 6.83241e-05-0j 2.40458e-05-0j 3.77532e-05-0j -6.61883e-05-0j -3.20486e-06-0j -1.34852e-05-0j 1.63048e-05-0j 4.68358e-07-0j -1.00385e-05-0j -4.60068e-06-0j -2.23849e-06-0j 1.98075e-06-0j 1.38633e-05-0j 3.57265e-06-0j 2.97347e-05-0j 1.98282e-05-0j 7.7647e-05-0j 1.00755e-05-0j -3.15061e-05-0j 2.75533e-05-0j 8.79859e-05-0j 1.16622e-05-0j -4.93932e-05-0j 1.99722e-05-0j -3.00617e-05-0j 1.9107e-05-0j -4.00217e-05-0j -5.34406e-05-0j -4.73161e-07-0j 6.04036e-05-0j -2.50314e-05-0j 4.3576e-05-0j -1.78344e-05-0j 2.0029e-05-0j 7.57266e-05-0j 3.5113e-05-0j -3.72869e-05-0j 1.39305e-05-0j -3.94747e-06-0j 4.11021e-07-0j -4.17633e-05-0j 4.67433e-05-0j -6.48506e-06-0j 1.57805e-05-0j -2.31972e-05-0j 3.24543e-05-0j 8.2225e-06-0j 1.45232e-05-0j 9.86721e-07-0j 
1.01719e-05-0j -0.000157541-0j 9.02666e-05-0j -0.000364063-0j -0.000264321-0j 0.000195055-0j -7.12152e-05-0j 0.000556314-0j -0.000481124-0j -5.12006e-05-0j 9.77328e-05-0j 0.000238885-0j 0.000611067-0j -0.000426843-0j -0.00103279-0j -0.000240585-0j 0.000295872-0j -0.0004905-0j 0.000246412-0j 0.000753694-0j -9.2282e-05-0j -0.000496458-0j 0.000363239-0j -0.000385983-0j 0.000389408-0j -0.000191189-0j -0.000868114-0j -0.000300601-0j 0.000702011-0j 0.000247064-0j 0.000387904-0j -0.000680066-0j -3.2929e-05-0j -0.000138557-0j 0.000167528-0j 4.81225e-06-0j -0.000103143-0j -4.72707e-05-0j -2.29998e-05-0j 2.03516e-05-0j 0.000142442-0j 3.67079e-05-0j 0.000305516-0j 0.00020373-0j 0.0007978-0j 0.000103522-0j -0.000323716-0j 0.000283103-0j 0.00090403-0j 0.000119825-0j -0.000507501-0j 0.000205209-0j -0.000308875-0j 0.000196319-0j -0.000411211-0j -0.000549086-0j -4.86159e-06-0j 0.00062063-0j -0.000257191-0j 0.000447731-0j -0.000183243-0j 0.000205793-0j 0.000778069-0j 0.000360777-0j -0.000383112-0j 0.000143132-0j -4.05592e-05-0j 4.22312e-06-0j -0.000429106-0j 0.000480274-0j -6.66321e-05-0j 0.00016214-0j -0.000238345-0j 0.000333459-0j 8.44838e-05-0j 0.000149221-0j 1.01383e-05-0j 
-8.8979e-20-0j 1.3781e-18-0j -7.89613e-19-0j 3.18466e-18-0j 2.31216e-18-0j -1.70626e-18-0j 6.22959e-19-0j -4.86639e-18-0j 4.20866e-18-0j 4.4788e-19-0j -8.54924e-19-0j -2.08966e-18-0j -5.34534e-18-0j 3.73384e-18-0j 9.03437e-18-0j 2.10453e-18-0j -2.58816e-18-0j 4.29068e-18-0j -2.1555e-18-0j -6.59299e-18-0j 8.07242e-19-0j 4.3428e-18-0j -3.17746e-18-0j 3.37641e-18-0j -3.40637e-18-0j 1.67243e-18-0j 7.59388e-18-0j 2.62953e-18-0j -6.14088e-18-0j -2.16121e-18-0j -3.39321e-18-0j 5.94892e-18-0j 2.88049e-19-0j 1.21203e-18-0j -1.46546e-18-0j -4.20955e-20-0j 9.02249e-19-0j 4.13504e-19-0j 2.01193e-19-0j -1.78027e-19-0j -1.24602e-18-0j -3.21105e-19-0j -2.67252e-18-0j -1.78214e-18-0j -6.97881e-18-0j -9.05569e-19-0j 2.83173e-18-0j -2.47646e-18-0j -7.90806e-18-0j -1.04818e-18-0j 4.4394e-18-0j -1.79508e-18-0j 2.7019e-18-0j -1.71731e-18-0j 3.5971e-18-0j 4.80317e-18-0j 4.25271e-20-0j -5.429e-18-0j 2.24979e-18-0j -3.91656e-18-0j 1.60293e-18-0j -1.80018e-18-0j -6.80621e-18-0j -3.15591e-18-0j 3.3513e-18-0j -1.25205e-18-0j 3.54794e-19-0j -3.6942e-20-0j 3.75363e-18-0j -4.20123e-18-0j 5.82869e-19-0j -1.41833e-18-0j 2.08494e-18-0j -2.91695e-18-0j -7.39027e-19-0j -1.30532e-18-0j -8.86852e-20-0j 
2.35678e-06-0j -3.65017e-05-0j 2.09145e-05-0j -8.43521e-05-0j -6.12422e-05-0j 4.51936e-05-0j -1.65003e-05-0j 0.000128896-0j -0.000111475-0j -1.1863e-05-0j 2.26443e-05-0j 5.53488e-05-0j 0.000141582-0j -9.88981e-05-0j -0.000239293-0j -5.57427e-05-0j 6.85526e-05-0j -0.000113647-0j 5.70927e-05-0j 0.000174628-0j -2.13814e-05-0j -0.000115028-0j 8.41612e-05-0j -8.94309e-05-0j 9.02244e-05-0j -4.42977e-05-0j -0.000201139-0j -6.96482e-05-0j 0.000162653-0j 5.72439e-05-0j 8.98759e-05-0j -0.000157569-0j -7.62953e-06-0j -3.21031e-05-0j 3.88155e-05-0j 1.11498e-06-0j -2.38978e-05-0j -1.09525e-05-0j -5.32898e-06-0j 4.71539e-06-0j 3.30033e-05-0j 8.5051e-06-0j 7.07869e-05-0j 4.72034e-05-0j 0.000184847-0j 2.39858e-05-0j -7.50038e-05-0j 6.55938e-05-0j 0.000209461-0j 2.77631e-05-0j -0.000117586-0j 4.75462e-05-0j -7.15652e-05-0j 4.54863e-05-0j -9.52762e-05-0j -0.000127221-0j -1.12641e-06-0j 0.000143798-0j -5.95902e-05-0j 0.000103738-0j -4.24568e-05-0j 4.76814e-05-0j 0.000180276-0j 8.35906e-05-0j -8.87657e-05-0j 3.31631e-05-0j -9.39741e-06-0j 9.78481e-07-0j -9.94224e-05-0j 0.000111278-0j -1.54384e-05-0j 3.75673e-05-0j -5.52236e-05-0j 7.72612e-05-0j 1.95746e-05-0j 3.45741e-05-0j 2.349e-06-0j 
1.74993e-05-0j -0.000271028-0j 0.000155292-0j -0.000626321-0j -0.000454729-0j 0.000335566-0j -0.000122516-0j 0.000957064-0j -0.000827709-0j -8.80837e-05-0j 0.000168136-0j 0.00041097-0j 0.00105126-0j -0.000734327-0j -0.00177677-0j -0.000413894-0j 0.000509009-0j -0.00084384-0j 0.000423918-0j 0.00129663-0j -0.000158759-0j -0.00085409-0j 0.000624905-0j -0.000664032-0j 0.000669924-0j -0.000328914-0j -0.00149347-0j -0.000517144-0j 0.00120772-0j 0.000425041-0j 0.000667337-0j -0.00116996-0j -5.665e-05-0j -0.000238368-0j 0.000288209-0j 8.27883e-06-0j -0.000177444-0j -8.1323e-05-0j -3.95682e-05-0j 3.50122e-05-0j 0.000245052-0j 6.31511e-05-0j 0.000525599-0j 0.00035049-0j 0.00137251-0j 0.000178096-0j -0.00055691-0j 0.00048704-0j 0.00155526-0j 0.000206144-0j -0.000873088-0j 0.000353035-0j -0.000531378-0j 0.00033774-0j -0.000707434-0j -0.00094463-0j -8.36372e-06-0j 0.00106771-0j -0.000442463-0j 0.000770262-0j -0.000315245-0j 0.000354039-0j 0.00133856-0j 0.000620668-0j -0.000659093-0j 0.000246239-0j -6.97766e-05-0j 7.26531e-06-0j -0.00073822-0j 0.000826247-0j -0.000114632-0j 0.00027894-0j -0.00041004-0j 0.000573671-0j 0.000145343-0j 0.000256715-0j 1.74416e-05-0j 
-5.33324e-19-0j 8.26009e-18-0j -4.7328e-18-0j 1.90883e-17-0j 1.38587e-17-0j -1.0227e-17-0j 3.73391e-18-0j -2.91683e-17-0j 2.5226e-17-0j 2.68451e-18-0j -5.12426e-18-0j -1.25251e-17-0j -3.2039e-17-0j 2.238e-17-0j 5.41504e-17-0j 1.26142e-17-0j -1.5513e-17-0j 2.57176e-17-0j -1.29197e-17-0j -3.95172e-17-0j 4.83847e-18-0j 2.603e-17-0j -1.90451e-17-0j 2.02376e-17-0j -2.04172e-17-0j 1.00243e-17-0j 4.55164e-17-0j 1.57609e-17-0j -3.68074e-17-0j -1.29539e-17-0j -2.03383e-17-0j 3.56568e-17-0j 1.72651e-18-0j 7.26472e-18-0j -8.7837e-18-0j -2.52313e-19-0j 5.40792e-18-0j 2.47847e-18-0j 1.20591e-18-0j -1.06706e-18-0j -7.46842e-18-0j -1.92465e-18-0j -1.60186e-17-0j -1.06818e-17-0j -4.18297e-17-0j -5.42782e-18-0j 1.69729e-17-0j -1.48434e-17-0j -4.73995e-17-0j -6.28261e-18-0j 2.6609e-17-0j -1.07594e-17-0j 1.61947e-17-0j -1.02932e-17-0j 2.15604e-17-0j 2.87893e-17-0j 2.549e-19-0j -3.25404e-17-0j 1.34849e-17-0j -2.34752e-17-0j 9.60768e-18-0j -1.079e-17-0j -4.07952e-17-0j -1.8916e-17-0j 2.00871e-17-0j -7.50459e-18-0j 2.12657e-18-0j -2.21424e-19-0j 2.24986e-17-0j -2.51814e-17-0j 3.49361e-18-0j -8.50122e-18-0j 1.24967e-17-0j -1.74837e-17-0j -4.4296e-18-0j -7.82388e-18-0j -5.31563e-19-0j 
