-0.0165693-0.00117437j -0.00520377-0.01448j 0.0126622+0.0002701j 0.0243325+0.00791626j 0.0153994-0.0198415j 0.00576819+0.0267631j -0.00503495-0.00546562j 0.0208227-0.0158737j -0.00255021-0.0020221j 0.0115317+0.0109931j 0.00797518+0.0105611j 0.0246597+0.000898409j -0.0250715-0.0116893j -0.00633149-0.003828j -0.0138317-0.0106669j 0.00546631-0.00552682j -0.0169665+0.023149j 0.00250824+0.00652518j 0.00848817-0.0190905j 0.0133815-0.00281984j -0.0010319-0.00484372j 0.00516202+0.00310732j 0.00452376-0.0211349j 0.00150122+0.0150633j -0.00761332+0.00468961j 0.00563119-0.00520434j 0.00645608+0.0013522j -0.000748047-0.0178724j -0.0109974-0.00125659j 0.00531117-6.04668e-05j 0.00746586+0.00689697j 0.017048-0.0122585j 0.0108047+0.00550632j -0.005882+0.0107146j -0.00113711+0.00928538j 0.0109102-0.0152357j -0.0039515+0.000315043j 0.0313116+0.00167503j 0.00315444+0.000381639j -0.0306286-0.0129209j 0.00876383-0.0163541j -0.0218557-0.00442078j -0.0151654-0.00883374j -0.00377796-0.00281944j -0.023611-0.0106355j 0.00486361-0.0124923j -0.016244-0.00673156j 0.00902996+0.0101038j -0.0117198+0.00133712j -0.00375944+0.0233101j -0.0117405+0.0259419j 0.0395133-0.00849494j 0.00455043+0.00966771j 0.0113403+0.0260098j -0.00752455-0.0130269j 0.0104914+0.0345516j 0.00725621+0.0156986j 0.0185633-0.00245761j -0.00532201-0.0315182j 0.0121221-0.0372801j -0.0133016-0.00109149j -0.00178245-0.0198282j -0.00769104+0.00211019j 0.0248955+0.00174141j 0.0043902-0.00522665j 0.020313-0.00342477j -0.00499385-0.00288095j -0.00948394-0.0208408j 0.0215864+0.0295063j 0.042607-0.0291872j 0.0307642-0.0288975j 0.0240631-0.0347082j 0.0443749+0.0515613j 0.0315305-0.0261552j -0.026861-0.0662898j -0.0120507-0.00452043j -0.012486-0.00316141j 
-0.00449202-0.0148954j 0.0184395+0.0019477j -0.0274321-0.0152955j 0.00490154-0.00206398j -0.0159808-0.0221802j 0.00829482-0.0224467j 0.00638197-0.018253j 0.0019747-0.00977583j 0.00661983+0.00025452j 0.00563305-0.0237372j -0.00995915-0.000201337j -0.00759952-0.00449931j -0.0122091+0.0104878j -0.0091375+0.0183096j -0.00177805+0.00290407j -0.000244528-0.0138822j -0.00296381-0.00429143j -6.47532e-05-0.00982466j -0.0109632-0.00446158j -0.0126307-0.00801096j -0.00341077-0.00636647j 0.00688437-0.0045638j -0.0156645+0.000288195j -0.00672252+0.00736253j -0.00660384-0.00502956j -0.0074983+0.00169059j 0.012899-0.0133949j 0.00745289-0.00803545j 0.00834312+0.00654076j 0.00667052+0.00381253j -0.0251835+0.00347938j -0.0157983+0.0190031j -7.70357e-05-0.00199369j -0.0101469+0.0117817j -0.00981301-0.00417443j 0.0189182-0.00641718j 0.00487462+0.0100741j 0.00131033-0.0153324j 0.00349191-0.0156547j 0.00392462-0.0181162j -0.00879847+0.00560939j 0.0221864-0.00455407j -0.0142763-0.00739878j -0.00987986-0.0128531j -0.00908397+0.00653793j 0.0189595+0.0376868j 0.00672744+0.00130056j -0.00509167+0.0204321j 0.00444696-0.0236988j -0.0211978+0.00347869j -0.0163262-0.000602347j 0.016009+0.0330375j -0.000641873+0.00931325j -0.00982584-0.00998235j 0.016963+0.00593922j -0.0263638-0.00271767j -0.0177864+0.0192371j 0.00446789-0.0259382j -0.0324381-0.01771j 0.0056763+0.00510826j -0.00927998-0.00821544j -0.0173074+0.0132598j 0.0174221-0.0267523j 0.0108568-0.0101613j 0.00729512-0.00943344j -0.00746311+0.0128785j 0.0180909+0.0181439j -0.00998918-0.0125886j 0.0202363-0.0197385j -0.00950298-0.0504843j -0.0185658-0.013848j -0.0601396-0.0146608j 0.0500474-0.0417485j -0.0196626-0.049291j -0.0462879+0.0339295j 0.0113488+0.00110293j -0.0149781-0.00348474j 
-0.00907264-0.00763184j 0.00962685-0.00277877j -0.0109925-0.0316689j 0.000782922-0.0157664j -0.0288328-0.0376505j 0.0163038-0.00020322j 0.0101258+0.00720125j -0.0117284+0.00135709j 0.00597244+0.0234975j -0.000198228-0.0333341j -0.00893362+0.00905799j -0.000554535-0.0252489j 0.0289848+0.01471j 0.00762164+0.0147282j 0.0292747+0.00605428j 0.00735872-0.0306547j -0.00526732-0.0105824j 0.00702854-0.0360613j 0.00279143+0.00535139j -0.00362563-0.0136567j -0.0110878-0.000419103j 0.00196047-0.0252055j -0.00832659+0.0157325j 0.00952495+0.0131407j -0.00570827+0.00943991j -0.0113417+0.0145184j 0.00725995-0.017898j 0.023711+0.0144745j 0.0146593+0.0179995j -0.0162894-0.0258956j -0.00169148+0.00510345j -0.0301625+0.0311772j -0.0123973-0.010982j 0.0039622-0.0103817j 0.00951862-0.00537334j 0.0270533+0.0130824j 0.0177774-0.0220574j 0.0179059+0.00458882j -0.0130932-0.0317746j -0.00831786-0.0124248j -0.00400398+0.0224958j 0.0177612+0.0111184j 0.003531+0.00167801j -0.00389471-0.00730344j 0.00207103+0.00730003j 0.000697756+0.0120922j 0.0120424+0.00367101j -0.000626704+0.00245953j -0.00381208-0.00829384j -0.0244417+0.0095641j 0.0101688-0.0393716j 0.031291-0.0142255j -0.0218716+0.00691529j -0.0309672-0.010156j -0.0180167-0.0410506j 0.00508738+0.00527489j 0.0133744+0.0225943j -0.021098-0.00356418j 0.0220227-0.00136141j 0.00256206+0.0278232j 0.0196403-0.00644638j 0.0245299+0.0200418j -0.00750703+0.0135343j 0.0144983-0.00991154j -0.0172522-0.0309623j -0.0234352+0.0503643j -0.0281279+0.00387423j 0.0107739+0.0654024j -0.00452791+0.0391872j 0.0424338+0.0017127j 0.029701+0.0043277j 0.0098915-0.0454928j 0.0326184-0.045993j 0.0206034-0.00888767j -0.0074006+0.0270685j -0.0110302-0.00639293j -0.00432719+0.0112463j 
-0.00669728+0.004862j -0.00901911-0.00500976j 0.0111889-0.0348099j -0.00467617+0.00306892j -0.000431611-0.0262669j 0.00468439+0.024657j 0.00256614+0.0258933j 0.00571141+0.0182238j -0.0152171+0.00524192j -0.0062665-0.0109467j -0.0138545+0.0081133j -0.0113693+0.00313669j 0.0164696+0.00695179j -0.00444391+0.0029363j 0.0257541-0.0114365j 0.0215827-0.0242613j -0.0167101-0.00990048j 0.00332002-0.0230095j 0.023394-0.00373061j 0.019895-0.0229096j 0.00360071-0.000358608j 0.000990697-0.025735j 0.00572115-0.0106685j -0.0154853+0.0143805j 0.00263722+0.00264546j 0.0345986-0.00346972j -0.0232578-0.0205698j 0.00644439-0.0105837j 0.00948823+0.0122814j -0.00997314+0.00374243j 0.00596288-0.010283j -0.000596303+0.00472565j 0.00135048-0.0103241j 0.00967074-0.0109324j -0.00239041-0.00201471j 0.0202266-0.00595143j 0.00227689-0.0211716j 0.00973474+0.0137675j -0.00761742+0.00396725j -0.022844+0.00336623j 0.0239843-0.000903312j -0.00536925+0.00825974j 0.00812144-0.0129566j 0.000328788+0.0160879j -0.00819857+0.00548164j 0.00055122-0.0131631j 0.00259686-0.0100088j -0.000213434-0.0192361j 0.00115249-0.00243457j -0.00261541+0.016858j 0.0174859+0.00568709j -0.0112274-0.0461408j 0.00912738+0.0120422j 0.0198918+0.0183575j -0.0289436-0.0142151j 0.0359139-0.0187705j 0.0247752-0.00980916j -0.0154111+0.0134258j -0.0103249+0.012651j -0.00537081+0.00538612j 0.0102631-0.0267514j 0.018965+0.000837893j 0.00694589-0.0104482j -0.0241781-0.00704083j 0.026953-0.0547634j -0.0223026-0.0176683j -0.0334694-0.0250987j -0.0309407+0.0344707j -0.0459624-0.00757328j 0.029484+0.0361149j 0.00473712+0.0316048j 0.0590455-0.000704122j 0.0113907+0.0136854j 0.0147292+0.0113592j -2.90178e-05-0.00739664j -0.00813778+0.0101758j 0.00664152+0.00927884j 
-0.0230301-0.00750714j 0.00294559-0.0209593j 0.0106275+0.00291885j 0.0339605+0.0134292j 0.0197276-0.0335232j 0.0162447+0.0277693j 0.00693595-0.0127203j 0.0358344-0.0310659j 0.00941713-0.00164786j 0.022627+0.0103063j 0.0166682+0.00525792j 0.0391624-0.00891769j -0.0433511-0.0222804j -0.01226-0.0046268j -0.0262167-0.0146281j 0.00316194-0.00547572j -0.0201368+0.0356686j -0.00119204+0.00800348j 0.00351371-0.0223397j 0.0153561-0.00260608j -0.00946875-0.00791911j 0.00943163+0.00300683j 0.00251217-0.0350933j -0.00294224+0.0322555j -0.015729+0.00421061j 0.00364587+0.00123264j 0.0199476+0.00359202j 0.000984125-0.02688j -0.0148823-0.00876638j 0.0104703+0.00463938j 0.00279628+0.0138717j 0.0267998-0.016615j 0.019456+0.0143424j -0.0156597+0.0223j -0.000263499+0.0153991j 0.0272184-0.0233776j -0.0261242+0.0078823j 0.0509334+0.00319812j 0.00511756-0.0118038j -0.0518433-0.032612j 0.0152109-0.0238539j -0.0368379-0.0145259j -0.0333641-0.0184277j -0.00639953-0.0144959j -0.032183-0.0296201j 0.00906087-0.0113173j -0.0176027+0.000795791j 0.00246599+0.030603j -0.0243511+0.00900075j -0.00606064+0.0350191j -0.0320954+0.0491741j 0.102279+0.00487198j 0.0050272-0.00162949j 0.0063665+0.0532554j -0.00182134-0.0408285j 0.0134593+0.0637068j 0.0100342+0.0270169j 0.0446212-0.0336544j 0.00197206-0.0555164j 0.0144948-0.0458786j -0.0427544+0.000849839j -0.0131602-0.0498769j -0.0110717+0.0190594j 0.0291533+0.00539788j -0.0088591-0.00804594j 0.0307719+0.0159455j -0.0017068+0.0126174j 0.00382497-0.00856928j 0.0319469+0.0352284j 0.067553-0.0459197j 0.0419984-0.0455591j 0.0212906-0.0702015j 0.073383+0.0909555j -0.00432913-0.0488015j -0.0485338-0.0507164j 0.0145722-0.00153279j -0.0250298+0.0212597j 
-0.00276661+0.019278j -0.0216896-0.00695944j 0.0341785+0.0260751j -0.00173419-0.0036644j 0.0221203+0.0223599j -0.0133069+0.0334093j -0.00910928+0.0270768j 0.00381409+0.0106112j -0.00602129+0.00822115j -0.00633727+0.0310873j 0.0227653+0.00247052j 0.0282132-0.00020833j 0.0156228-0.0157686j 0.0195589-0.0236983j -0.00135795-0.00160724j -0.00659352+0.0225797j 0.00188913+0.0111593j -0.00235187+0.016303j 0.0152747+0.00743097j 0.0177334+0.0163997j 0.00650749+0.0143596j -0.00312906+0.00209013j 0.0149535+0.00811752j 0.0163972+0.00208978j -0.000289977+0.0127292j 0.00499636-0.00162907j -0.0182507+0.0238889j -0.00751381+0.0201395j -0.0190028-0.0109229j -0.0138209-0.0188521j 0.0362325+0.00141547j 0.0236701-0.0203193j 0.00172051+0.00320643j 0.0157086-0.0261146j 0.0216743+0.0124982j -0.0311913+0.0139001j -0.016264-0.0162364j 0.00435347+0.0343369j -0.0140337+0.0152546j -0.00420356+0.0216253j 0.0179209-0.0133377j -0.0418034+0.006739j 0.0228753+0.0240501j 0.0107493+0.0165888j 0.00463156-0.0116792j -0.0378368-0.0648114j 0.0051684+0.00350714j 0.0151128-0.0191221j -0.00723603+0.0464489j 0.0312956+0.00101716j 0.0460119-0.00956534j -5.36216e-06-0.073897j -0.0170267-0.0192246j 0.00953355+0.0250498j -0.0371446-0.0388175j 0.049329+0.00943465j 0.0346312-0.0192681j -0.0317419+0.0483523j 0.077797+0.0255012j 0.00222474+0.00369243j 0.00254533+0.0325858j 0.0317632-0.0208962j -0.0391515+0.028957j -0.00723837+0.0365128j -0.0262842+0.00886086j -0.00165116+0.00171248j -0.0164583-0.0244315j 0.0187599+0.0353697j -0.0236883+0.0409028j 0.0284588+0.0685361j 0.0463508+0.0172648j 0.0869579+0.0143452j -0.085249+0.0634478j 0.0394899+0.0202579j 0.0218112-0.0583849j -0.0245132+0.0209818j -0.013976-0.00305815j 
0.00437211+0.00442054j -0.00372319-0.000377629j 0.00532141+0.00738135j -0.0115608+0.0172845j 9.31571e-05+0.0060282j -0.0318013+0.0171901j -0.0211795-0.00174488j 6.00252e-06-0.00496143j -0.0185418-0.0156288j -0.0125524+0.0139016j -0.0393163+0.0174545j -0.0132708+0.0383017j -0.0158767+0.00500832j -0.00446457-0.00324845j -0.00179448-0.0241654j 0.0317198-0.0154651j -0.0337697+0.00229119j 0.00532545+0.0021996j 0.0153097-0.0276314j 0.00828365+0.00319742j 0.0108327-0.00749991j -0.0138886+0.015111j -0.00377955-0.02253j 0.00207438-0.0149978j 0.00804696-0.0152821j 0.0193631-0.0363998j -0.0204762-0.011425j -0.00332951-0.00903758j 0.00605436+0.00712521j 0.0167997+0.00593682j 0.0268333-0.0181167j 0.021596-0.0132167j -0.011229-0.0187226j -0.00314247+0.00310058j -0.0222002-0.00445709j -0.00248592-0.0342747j 0.0270351-2.03662e-05j -0.00867395-0.00525875j 0.0221+0.0260834j -0.0106347+0.0165158j 0.0152695+0.0129833j -0.000100721+0.0112003j -0.0152462-0.00732517j 0.0107683+0.00443069j -0.00836794+0.00736514j -0.00430828+0.00087724j -0.0593526-0.0187397j 0.00713216+0.0111348j -0.021784-0.0159963j -0.000350785+0.0121468j 0.00307204+0.00682343j -0.032795-0.00178963j 0.0213179+0.00887128j 0.0113946+0.00832415j 0.00215964+0.0406202j -0.00220526+0.0089242j -0.0101581-0.00223955j 0.00511658-0.00893447j 0.00015796-0.00603631j 0.0286396+0.0106051j 0.0392291-0.0291656j -0.02028+0.0193285j 0.0404908+0.000397736j -0.000414515+0.0103611j 0.0280457+0.0161446j 0.00931276-0.035855j -0.00948844-0.0205589j -0.0268561-0.0597179j -0.0253299-0.0115764j -0.0041222-0.011124j -0.00743984-0.00388761j 0.0208579+0.0195159j 0.0229761+0.00461592j 0.000915451-0.0144727j -0.0146764+0.00576332j 0.0109469+0.0136693j -0.00742825-0.000300681j 
0.00524458+0.00045582j -0.000207499+0.00092928j 0.00732219+0.00746368j -0.00731565+0.000509382j -0.0144489+0.0111813j -0.0295333+0.0085988j 0.00356777-0.0204565j -0.0139214+0.0123993j -0.00327284+0.0167062j -0.0102334+0.0178313j -0.0172202+0.0327128j 0.0119318+0.0215165j 0.0100824-0.00521598j 3.6141e-05+0.0142933j 0.0130769+0.00768356j -0.0128618-0.00169902j -0.0498773-0.0220642j -0.0114748+0.00306529j 0.0305349-0.0242289j -0.0316342-0.00151011j 0.0227695+0.0110362j 0.0138099+0.0138433j -0.0202728-0.0275552j 0.0210958+0.000715588j 0.00251955-0.000673841j 0.0171252+0.00124571j 0.0186603+0.0120385j 0.0180578+0.0057563j -0.0141326+0.0143941j -0.0142185+0.0103116j 0.0374272+0.00858516j -0.0241327+0.0125873j 0.00789926+0.00831072j 0.0229965-0.0205175j -0.0132509-0.0245869j 0.0034016+0.00505696j 0.0372052-0.0266293j 0.0310078-0.0317155j -0.0250855+0.0155119j 0.0317906+0.0156181j -0.00834882+0.0081908j 0.0201231+0.0209369j -0.0112558+0.0121654j -0.0102371-0.0244831j -0.0401556+0.0199574j -0.0008408-0.00838606j -0.0274998-0.0108932j 0.0130588+0.00742295j -0.00177097-0.0364074j -0.0153701-0.00430942j 0.036415+0.00418554j 0.00438662+0.00219848j 0.0255668+0.0583757j -0.0142412-0.00171949j 0.0353539+0.00790048j -0.00562651+0.0280274j -0.0341385+0.0426007j -0.0144336+0.0174839j -0.00159757+0.0344483j -0.013211-0.0118216j 0.0175368-0.0031203j 0.0381932-0.00917129j 0.0305636-0.00612294j 0.0332071+0.0335311j -0.0137598+2.08521e-05j -0.0311977-0.00945635j -0.0477482+0.00798816j -0.0292534-0.0157118j 0.0202527+0.0354606j -0.0231987-0.0382808j 0.0224651+0.00379594j -0.00669257+0.0216907j 0.0111188-0.0376677j -0.00802933-0.00575188j 0.000770674+0.0269186j 0.0105315+0.00568175j 0.0045699+0.00600052j 
0.000288546+0.00196928j -0.00895729-4.91325e-05j 0.0159903-0.0387082j 0.00201708+0.0191768j 0.0468592-0.023426j 0.0104936+0.00122987j 0.0137491+0.035214j 0.0134006+0.0365129j -0.0164606-0.00477917j 0.014423-0.0228054j 0.0156035-0.0228599j -0.0226324-0.0128126j -0.0100615-0.00497908j -0.0194673+0.00977222j -0.00201553+0.00938152j -0.00184894+0.00569882j -0.000903669+0.00085604j -0.0253055-0.0143862j 0.0077734-0.0122314j 0.0362845+0.00639894j -0.00184491+0.0178438j 0.0023439-0.0171006j -0.00987604+0.0207795j -0.0472623+0.0261068j -0.0238501+0.0105999j 0.0367947+0.00916678j -0.019368-0.00113671j -0.00141953-0.0250676j -0.00460078-0.0224511j -0.0109281+0.0382445j -0.0340119+0.0240759j 0.0203617+0.00706942j 0.0330396+0.018802j 0.0182534+0.00260342j -0.00277523+0.0232398j 0.0125107+0.0113951j -0.0286477+0.00392532j -0.0103353+0.0118787j -0.00498867+0.0314987j 0.00218242+0.0126346j 0.0181483-0.0187059j -0.00629959-0.0375661j 0.00989463-0.00226549j -0.00097949+0.0272038j -0.00326182+0.0058512j 0.0368199+0.00202332j 0.0379849-0.0045717j -0.0145403-0.0219818j 0.0197902+0.0151735j 0.0283817+0.00605311j 0.0113965+0.0158218j -0.0418686+0.0141359j 0.0242345-0.0158451j 0.0212274+0.0167095j -0.0196736-0.00525454j 0.0113076-0.0686661j -0.0180384-0.0333979j 0.0341204+0.0222035j -0.0201986-0.00485989j -0.0186688+0.0229486j -0.0229938-0.0129161j 0.0052013-0.0142637j 0.027019-0.0129785j -0.00782588-0.0416815j 0.0539799-0.0164413j -0.0121233-0.0144254j -0.00135118+0.0184524j -0.023069+0.0212102j 0.00285513-0.0577332j -0.0251688+0.0571389j -0.0038148+0.0284209j 0.000198211+0.00986926j -0.0394354+0.0336614j -0.00997962+0.0262804j 0.0147667-0.00299554j 0.00189822+0.00290685j 0.0128294+0.00865383j 
-0.00184526-0.00733517j 0.00966064-0.000103589j -0.00697371-0.0198336j 0.00575715-0.0206485j -0.0296567-0.0342149j 0.0189613-0.00775378j -0.00473316+0.00569543j -0.025636-0.00847661j 0.00554233+0.0258881j 0.00936225-0.0333519j -0.011168+0.00874091j 6.37211e-05-0.0318825j 0.0437869+0.01435j 0.0224604+0.00622381j 0.0336131+0.0104669j 0.0154933-0.0249843j 0.016174-0.0120506j 0.0197491-0.0310566j -0.00799297+0.00348461j -0.0171748+0.00146192j -0.023504-0.0119343j 0.00163839-0.0264394j -0.0132778+0.0476817j 0.0278+0.0112497j -0.00199969+0.0235423j -0.0587988+0.017558j 0.00933769+0.00144028j 0.0265117+0.0467942j 0.0214644+0.0341113j -0.0299507-0.0693304j 0.00375539+0.0029198j -0.0441065+0.0360697j -0.033658-0.0235767j -0.00403793-0.0207511j 0.0328381-0.00551278j 0.012899+0.0319842j 0.0132377-0.0283395j 0.00395884-0.0121658j -0.00336298-0.0565743j 0.00341143-0.00137979j -0.0200699+0.0525368j 0.0107971+0.0251623j 0.00768451+0.0300436j 0.024716-0.0171677j 0.0210209+0.00828003j -0.0374623-0.00939451j 0.00785758+0.0160314j -0.0156495+0.0125736j -0.0192803-0.00298524j -0.0283113+0.00934498j 0.051525-0.0944749j 0.0650627-0.0138312j -0.0699003-0.0202141j -0.0854145-0.0575003j -0.0477303-0.0645421j 0.00209754+0.0471931j 0.00461282+0.0401154j -0.0329682+0.00725953j 0.0938091+0.0117629j -0.00864971+0.0538728j 0.0387234+0.0224922j 0.0419549+0.0138529j -0.0517054+0.0530448j 0.030989+0.014019j -0.0394178+0.0149857j -0.0134489+0.0821575j -0.0198603+0.00118808j 0.0528904+0.0720074j 0.00482566+0.077638j 0.0814586-0.00574589j 0.0227668-0.0323364j 0.0181491-0.0278091j -0.0103871-0.0353916j 0.0339416+0.00970261j 0.0108566+0.0325533j -0.00837001-0.0154903j -0.010112+0.0133j 
0.00952878+0.00244896j -0.000978206+0.0063508j -0.00434477+0.051541j 0.0124749+0.00166633j 0.0210296+0.0493414j -0.0142619-0.0243386j -0.0192205-0.0181222j -0.00392714-0.0219141j 0.0142868-0.0128075j 0.0102013+0.0211239j 0.0201281-0.0174846j 0.0015995+0.00525935j -0.0288113-0.0193068j 0.012565-0.0192201j -0.0370419-0.00381887j -0.0276419+0.0351741j 0.0280426+0.0340888j -0.0117766+0.0276521j -0.0181683-0.0109978j -0.0217078+0.039113j -0.00969623+0.00151711j -0.00323141+0.0346619j -0.00180313+0.0357416j 0.0143018-0.0220191j -0.00173263+0.0118422j -0.0568424+0.00873343j 0.018528+0.0427145j -0.0199497+0.0224619j -0.0241839-0.0262092j 0.00441774-0.0213578j 0.00460918+0.0138238j 0.0233204-0.00386432j 0.000675435+0.00983506j -0.0112194+0.0260754j 0.00447464+0.00549827j -0.0420174+0.00634223j -0.00644387+0.0265995j -0.0225098-0.0302396j 0.0272621+0.00780826j 0.01825+0.0267518j -0.0294317+0.00419684j -0.00828811-0.0222777j -0.0203247+0.0221787j 0.0183088-0.00518941j 0.0258809-0.00845204j -0.0031587+0.0048423j -0.0227743+0.0281111j -0.0206736+0.0378054j -0.00961561+0.00840325j 0.0103821+0.000967672j -0.00120873-0.0127396j 0.000514799+0.0776948j -0.0345686-0.0394942j -0.0189797-0.0469366j 0.0248063+0.0251834j -0.0694799+0.031438j -0.036653-0.012537j 0.0117543+0.00740805j 0.0453965-0.0135296j -0.027857-0.00526534j 0.00937157+0.0525359j -0.02833-0.00270066j -0.0217353+0.0289551j 0.0357026+0.0102498j -0.0358893+0.096926j 0.0331323+0.0100522j 0.059557+0.024152j 0.0446879-0.0490979j 0.0449055+0.000436555j -0.0625479-0.0399614j -0.0167665-0.000997661j -0.0157691+0.0113301j -0.0280214+0.0126152j -0.0087903+0.012532j 0.00974362-0.00572578j 0.00894804-0.00999545j -0.00529955-0.00661021j 
