-0.0070671+0.000779612j -0.00440262-0.00911296j -0.0110366-0.0067086j 0.0109022+0.00879987j -0.0176435+0.00225101j 0.0066723-0.01783j 0.00542334+0.00196346j -0.0176631+0.00431872j 0.00595403+0.00341816j -0.00475034-0.0154936j 0.00498565+0.0061236j -0.0100357-0.0119842j 0.00450811+0.00531266j 0.0112086+0.00970574j -0.000379999-0.00979647j 0.0121992-0.0118301j 0.0147589+0.00374073j -0.00170285-0.0051185j -0.0135626+0.00554343j 0.000744103+0.00171388j -0.00268794+0.00253926j 0.00425225+0.00927387j 0.012667-0.0106257j -0.00661949+0.0028656j -0.00427651+0.00531715j -0.0138415-0.00856924j -0.0119445+0.00447984j -0.0100238-0.00915821j -0.0036099+0.00116662j -0.0161365+0.00394284j 0.00135202+0.0134478j 0.00476031-0.00829421j 0.00465917-0.0110566j -0.00742897-0.0109156j 0.0145497+0.00945402j 0.00221755-0.00535811j 0.00761807-0.0125951j 0.00719221+0.0105709j -0.00703794-0.0183353j 0.0127098+0.0108308j 0.00522846-0.0122993j -0.00366184-0.00614257j 0.00368482+0.00598763j 0.00973647-0.000646904j -0.00467962+0.00492053j -0.00339026-0.00409283j 0.00346936+0.00924325j 0.00458592+0.00948491j 0.0164141-0.010408j 0.0107148-0.0110181j 0.0112025-0.0106938j -0.0201166-0.03047j 0.0109731-0.00666271j 0.011678+0.0389762j -0.000838137-0.000671j -0.00141558-0.00324684j 
0.0029267+0.00970587j -0.00862832-0.00114054j -0.00831036-0.019086j -0.00263984+0.000855471j -0.00367925-0.0217969j 0.0111765-0.00575386j 0.00760646-0.00473874j 0.0014791-0.00586724j 0.00296171+0.00442855j 0.00811193-0.010863j 0.00707843-0.000552382j 0.00392136-0.00612864j -0.00722053+0.006417j 0.000889802-0.00195468j -0.00324532+0.00301844j 2.3235e-05-0.00833351j -0.00797743+0.00830236j 0.00658252-0.00843015j -0.00124482-0.0066439j 0.00381415-0.00123273j -0.00511095-0.0137719j 0.0127352-0.00348849j 0.00364871+0.00623619j -0.00785039+0.00289446j -0.000223045+0.00628063j -0.0116481+0.00806071j 0.00544828+0.00758197j 0.00476107-0.00882277j 0.00339244+0.0134613j 0.00474449+0.0136505j 0.0153801+0.000710032j -0.00697196-0.0091193j -0.00916945+0.00145624j -0.00128858+0.00195602j 0.00796672-0.00766753j -0.00227787-0.0149512j -0.00134637+0.00756323j -0.020201-0.00510588j -0.00420024-0.00270397j -0.0140342+0.0104007j -0.00708531-0.00844593j -0.000196882+0.0102697j 0.00432662-0.00306691j -0.00342672+0.00729946j -0.00483472+0.0053727j 0.00146934+0.0137751j 0.000111195+0.00645781j -0.0130383+0.00994918j -0.000909366+0.0177356j 0.00938801+0.0028438j 0.0241875+0.00890511j 0.0257977-0.0211047j 0.00428409+0.0216683j -0.024031+0.0156463j -0.000159637-0.000850568j 0.00339344-0.000938296j 
0.00389323+0.00776106j -0.00595533+0.00112159j 0.0031049-0.0311502j 0.00181443+0.00438256j -0.00358375-0.0311817j 0.0114878+0.00636776j 0.0080655+0.00814208j -0.00467458+0.00530572j 0.00356508+0.0125747j 0.00342628-0.0148843j 0.00999734-0.00419871j 0.00192961-0.013736j 0.00166031+0.00615605j 0.0129764+0.000941911j -0.0187076+0.00309717j 0.00129244-0.0172989j -0.00755397+0.0143519j 0.00511105-0.0206656j 0.000964675-0.00188242j -0.0112032-0.00314721j -0.00544266-0.00686017j 0.0121228+0.000607162j -0.00413373+0.00584276j -5.63245e-05+0.0169759j 0.00680215+0.00707876j -0.0110479+0.00265496j 0.00934949+0.00167877j 0.00108837-0.0079095j -0.000158157+0.00607415j 0.00844333+0.0103498j 0.0145139-0.00669758j -0.00304149-0.00928838j 0.00385678-0.0132065j 0.00939435+0.00692367j 0.00776493-0.00176891j 0.00156418+0.00543647j 4.03904e-06+0.00245901j 0.0024274-0.00211549j -0.000372828-0.0041376j 0.00978824+0.00616406j -0.00818181-0.0160597j -0.00319484-0.00526923j 0.00395496-0.0144443j -0.00706794+0.00573548j -0.000637559+0.024192j -0.0201853+0.00437867j -0.003608+0.0352295j -0.00212128-0.00570499j -0.0257771-0.00102488j -0.00641608-0.00136631j -0.00340588+0.0250266j 0.0219617-0.0150001j -0.013076+0.00918524j -0.00566941+0.0187309j 0.00572841+0.00183837j -0.00263595-0.00797257j 
-0.00288737+0.00534574j -0.00691842-0.00487368j -0.0177356+0.00663474j -0.00481575+0.00351503j -0.013647+0.00148469j 0.0146808-0.0173251j 0.0098411-0.011883j -0.00119986-0.0146682j 0.010291+0.000789665j 0.0114434-0.000479849j -0.00777536+0.00545676j 0.00342796-0.00279325j -0.00106464+0.00116143j -0.0055589-0.000681477j 0.00994137-0.0046155j 0.00458943+0.00318505j 0.0167959-0.00162657j 0.000188251+0.00258984j -0.0115425-0.000759632j 0.015427+0.0036377j -0.000857304-0.0162132j 0.00148678+0.00264104j 0.00834492-0.00074299j -0.0209983-0.0112462j -0.00739608+0.00430758j -0.013924+0.00585995j -0.0051422+0.00935632j -0.00238115-0.00620246j 0.00427684+0.00852473j -0.00780068+0.0134315j 0.00831705+0.013492j -0.00974012-0.0106799j -0.0120044+0.00875065j -0.00822258-0.0051503j 0.0150348+0.00618387j -0.00319996-0.0212069j -0.00842204+0.00703466j -0.0120499-0.00630972j -0.0096663+0.000731747j -0.0142382+0.00612078j 0.00161625+0.00573802j 0.00399593-0.000345791j -0.0110987+0.0127762j 0.000782402-0.000967648j 0.0031895-0.00602818j 0.0135974+0.0161306j 0.0216619-0.00606662j -0.0140329-0.00351708j 0.0181003+0.0248847j 0.0114336+0.0097515j 0.0367479-2.59705e-05j 0.00437316-0.0242277j 0.0143237+0.00718828j -0.00463232+0.0132587j 0.0019734+0.00403356j 0.00118236+0.00570197j 
-0.0130679-0.00299462j 0.00115887-0.0156861j -0.0119378-0.0145884j 0.016754+0.0186177j -0.030129+0.0107493j 0.00807275-0.0253809j 0.000249533+0.00486487j -0.0402452+0.0156389j 0.00399162+0.00334329j -0.0150524-0.0262382j 0.012031+0.00791179j -0.0210348-0.0229482j 0.0108595+0.00945271j 0.0248298+0.0228797j -0.00359619-0.0189581j 0.0260261-0.0196012j 0.0298085+0.00680934j -0.00460202-0.00736837j -0.0223739+0.00772049j -0.00105182+0.00653391j -0.00203944+0.0128477j 0.00113873+0.0206636j 0.0230418-0.0240477j -0.00650798+0.0100521j -0.00797756+0.0036159j -0.0214717-0.0269465j -0.0307063+0.00730099j -0.0173498-0.0200399j -0.00729051-0.00688241j -0.0370376-0.00139995j -0.00541651+0.0202895j 0.0202829-0.0143958j 0.0170902-0.0241823j -0.0107829-0.0334303j 0.0237583+0.0201695j 0.00894482-7.52262e-05j 0.0255678-0.0402185j 0.0195808+0.0206703j -0.0116625-0.0262729j 0.0416861+0.0225724j 0.0117838-0.0200547j -0.0078277-0.0063508j 0.00964016+0.0116543j 0.00733701-0.00268693j -0.00829497+0.00491363j -0.0108842-0.0185867j -0.00365344+0.00915042j 0.00622677+0.00806818j 0.025172-0.0251244j 0.0140449-0.019279j 0.0017563-0.0276713j -0.0457343-0.0512874j -0.00645925-0.0275772j 0.0375373+0.0440026j 0.0133092+0.000544087j -0.00532805+0.00559583j 
0.00229216-0.0144581j 0.0131986+0.00428775j 0.0083648+0.033343j 0.00108701+0.00353598j 0.00657509+0.0290688j -0.0205764+0.0114704j -0.0157412+0.0111315j 0.00518913+0.00856294j -0.0051207-0.00219912j -0.0113091+0.0187153j -0.0196166-0.00297054j -0.000582039+0.0111084j 0.0131621-0.01088j -0.00900172-8.62066e-05j 0.00402492-0.00130085j -0.00399715+0.01538j 0.0148103-0.0102551j -0.00976586+0.00963975j 0.00629049+0.0111463j -0.010456+0.00343551j 0.0110597+0.0263897j -0.0216385+0.0035004j -0.00694913-0.00886053j 0.0132894-0.000247712j 0.00314589-0.0119526j 0.0252897-0.00924902j -0.00592356-0.0195626j -0.00418523+0.0182477j -0.00614543-0.0161199j -0.00250398-0.0274069j -0.0243046-0.0085545j 0.0128746+0.01615j 0.0207672-0.00483119j 0.0108817+0.0062962j -0.014247+0.013244j -0.00125822+0.0340727j 0.00530583-0.00989557j 0.0453456+0.00346191j 0.00255871+0.00713624j 0.0218269-0.0131132j 0.00484337+0.0166674j 0.000726424-0.015533j -0.0134486-0.00511251j 0.00286387-0.0244095j 0.00617046-0.00555316j 0.00388204-0.0205795j 0.00140138-0.00664129j 0.0219868-0.022966j -0.00622551-0.0184801j -0.0234457-0.000759857j -0.0388387-0.00614884j -0.0371036+0.03692j -0.0190356-0.00954094j 0.0178043-0.0403257j 0.00443861-0.00989733j 0.00971316+0.00524175j 
0.00475584+0.00644179j -0.00288282+0.00422182j 0.00519939-0.0158011j -0.00970075-0.00131842j 0.0171555-0.0164395j 0.0266903+0.00274623j 0.0126188+0.013211j 0.00972561+0.00746929j 0.00168173+0.00780649j 0.0230926-0.00169753j -0.0237387+0.00495591j -0.00273026-0.00831053j -0.000313152+0.00269742j 0.00266302-0.000515836j 0.0061449-0.00365218j 0.00394058+0.00279865j 0.00686734+0.00586338j 0.0037377-0.0204003j -0.00488392+0.00827326j -0.0171794-0.0015787j 0.00474801-0.00757426j 0.0222412-0.0186269j -0.00135488-0.0027935j 0.00473867+0.00849041j -0.00240644+0.0030287j 0.00149612+0.00733898j 0.0215654+0.00150781j -0.00102077+0.00648313j -0.00919948-0.000245559j -0.00283983-0.00235098j 0.00784774-0.00368603j -0.00981528-0.00637804j 0.00571007-0.00613535j 0.0268508+0.0205014j 0.0131391+0.0227738j -0.00410906+0.0141358j -0.00520044+0.00278451j 0.00866961-0.0102311j 0.00537786-0.00899563j 0.0101953-0.00231129j -0.0154049+0.00268346j 0.0207446-0.00710653j -0.00128658-0.0210984j -0.00134077-0.00379999j 0.000658942+0.0209108j -0.00140581+0.00259331j 0.0201774+0.0358362j -0.00124332-0.00677231j -0.0261522-0.00831473j -0.00316986+0.00390558j 0.00692458+0.0267615j -0.00932484+0.017059j -0.00756932-0.00231379j 0.00333784-0.00972166j 0.00973037+0.00708312j -0.00253532+0.00086858j 
0.00255855-0.00442822j 0.00551763+0.00198343j 0.00775896+0.00874752j -0.00567215-0.00996016j 0.0328083+0.016112j 0.00165958-0.00394866j -0.00803988+0.0115854j 0.0141341+0.00433519j -0.0144237-0.0158943j 0.0103877-0.00352962j -0.0214721+0.016422j -0.0146179+0.00248645j -0.00489158-0.00887011j -0.00777319+0.00528683j 0.0277559+0.00957962j 0.00268056+0.0220234j -0.00976106-0.00294559j 0.00483438+0.00425319j -0.00167823+0.0124454j -0.00726445-0.00559324j 0.0132038+0.0171863j 0.00843336-0.0304423j 0.00741444-0.0249847j 0.02294-0.00468913j -0.00699072+0.00796683j 0.0176075+0.000846022j 0.0121024+0.000904772j -0.00957952+0.0185512j -0.00525854-0.00230654j -0.00496636-0.0231094j -0.0194794+0.00463178j -0.00297973+0.0143055j -0.0126263+5.19641e-06j 0.00988499+0.0154494j -0.00586986+0.00817301j -0.00330964+0.00246372j 0.00081483+0.00190548j 0.00332801-0.00877439j 0.0104669-0.0333905j -0.0151902-0.000125789j -0.00132146+0.00585364j 0.0125099+0.00305707j -0.00124877+0.00658605j 0.0097503+0.0021163j -0.00431532-0.00119708j 0.026942-0.0085986j 0.0117856-0.0165485j 0.00885364+0.0259301j 0.00779309-0.0342455j 0.00623943-0.0152313j -0.00576669+0.00124414j -0.0259294+0.0383013j 0.00518153-0.0156651j 0.00113851-0.0273729j -0.00175644+0.00266731j 0.00213382+0.000282411j 
-0.000809626-0.00472177j 0.00505084+0.00152781j 0.0169434+0.000781463j 0.00340557-0.00831446j 0.0232889+0.0150398j -0.00904262+0.00071852j -0.00193419+0.00870827j -0.0064572+0.0246514j -0.0103145-0.00237233j 0.0018301+0.000486518j -0.00694064-0.00471388j -0.00821464-0.0103081j -0.00615344-0.00577041j -0.00298053+0.00465789j 0.00995096-0.0118138j -0.00481364-0.00695439j -0.00210548-0.00137228j -0.0038484-0.0100509j 0.0151068+0.000475323j -0.0162857-0.00431798j -0.00551889+0.0192394j 0.0107762-0.00828754j 0.00761124-0.0224033j 0.00956833-0.00101038j 0.00316133-0.00836078j 0.0104029-0.00270754j -0.00236568-0.00331204j 0.00318854+0.00586149j 0.00098408-0.0117711j -0.0160958-0.00920678j -0.00599067-0.000865061j 0.0064483-0.00546273j 0.0134802-0.00712462j 0.00012659+0.00478196j -0.00157384+0.0043005j 0.00141654+0.0157385j 0.0052808-0.0172121j 0.000863989+0.00441194j 0.00247731-0.0129497j 0.00659855+0.00295965j 0.00252965+0.00424806j 0.00287331-0.00143806j 0.010797-0.00929964j -0.00316681-0.0068886j -0.0174137-0.00385933j 0.00106412-7.62355e-05j -0.00841375+0.00898138j -0.000457292+0.0101473j 0.0160752-0.0285133j -0.00939518-0.0146062j -0.0088407-0.00857446j -0.0322276+0.00967866j 0.000733735-0.017042j 0.0138208+0.00100318j -0.00542884+0.00190245j -0.00653047-0.00908057j 
-0.00270853-0.0032296j 0.0062202-0.000985833j -0.0086667+0.0274643j -0.0032518-0.010069j 0.0148982+0.0361046j -0.0115157-0.0154748j -0.00152575-0.00577479j 0.0159296-0.00125965j -0.00912866-0.0125536j 0.00368477+0.0108041j -0.02111+0.00500919j -0.00915661+0.0153429j -0.0183018-0.0128851j -0.0239705-0.0133924j 0.0330782+0.00990633j -0.0143872+0.0187748j -0.000753353-0.0172807j -0.00278009+0.0175257j 0.0130838-0.00716332j 0.0119448+0.00216356j 0.00387851+0.0050774j -0.00832061-0.0116484j 0.00320268-0.0151288j -0.00623494-0.0261803j -0.00587307-0.00848312j 0.00862958+0.0186227j -0.0108241+0.00685743j 0.00689031+0.0184434j 0.0165714+0.000630983j -0.0124789-0.0142498j -0.0053511+0.0156999j -0.00338555+0.00792129j -0.032978+0.0299329j -0.0185322+0.00151825j -0.00540934-0.00732452j -0.00571861-0.0210242j -0.00210247-0.000325305j -0.0379098-0.0122142j -0.00269771+0.00149134j -0.0382819+0.00224593j 0.0133449+0.0209536j 0.0024287+0.02102j 0.000446498+0.0239623j 0.00645543+0.0120072j -0.0113279-0.0330761j 0.0349473+0.00534567j 0.00767554-0.0441037j -0.00875486+0.0212206j 0.0473571+0.00534976j 0.0117308-0.0141084j 0.0209037-0.0238542j -0.0110418+0.00757265j 0.0240901-0.00764595j -0.00098799-0.0231392j -0.00728965-0.00359709j -0.00394158+0.0114795j 
0.00503768+0.0103111j -0.00976653+0.00748863j 0.0214237-0.0521997j 0.0229134-0.010173j 0.0131648-0.049001j -0.0127361+0.0264615j 0.00234781+0.00345943j 0.0013309+0.0215216j -0.00839473+0.00241319j -0.0192178-0.0123656j 0.0388473-0.0150707j 0.00192162+0.00570197j -0.0162249+0.00818482j 0.0182854-0.0179559j -0.0284224+0.011313j -0.0129711-0.0268398j -0.0660994+0.00502176j 0.0129139-0.000582176j 0.0213373-0.0218499j -0.0319286-0.0139524j -0.0119085-4.14006e-05j 0.0233254-0.00460738j -0.020141+0.0362114j 0.0293979+0.0301202j 0.0206622-0.00418515j -0.00355074+0.00989772j 0.00985713+0.00213722j 0.0205217-0.00396419j 0.0121543+0.00290172j 0.0281612+0.00991768j 0.0294934-0.0280366j -0.00126318+0.0126313j -0.0100526-0.0096635j 0.00656563+0.00329079j -0.0278055-0.0451186j 0.0105072-0.00362277j 0.00295502+0.00203269j -0.0439749+0.000440724j 0.000974558+0.0113284j -0.00938731+0.00548079j -0.0287172-0.0328648j -0.0205762+0.0400745j 0.0476843-0.0283279j -0.00992396+0.0306219j -0.0143745+0.0213988j -0.0442958-0.00222773j -0.0490899+0.017868j -0.00802926+0.0237206j -0.0477878-0.0134521j -0.00664017+0.00618176j 0.00322518+0.00528793j 0.0407367-0.0137076j -0.0105178+0.0293895j -0.0161221+0.0098594j 0.00541099-0.0122627j -0.0116086+0.00683282j 
