-0.00398349+0.0496255j -0.0348066-0.0629957j 0.0928278-0.0204117j 0.072308+0.140163j -0.11511-0.000246957j -0.122881+0.113489j 0.133818+0.024852j 0.146297+0.0562511j 0.08221-0.0702848j -0.0630605+0.0284922j -0.0725616+0.000964557j -0.0182046-0.00674076j 0.024293+0.0101587j 0.0455014+0.00570072j -0.00893494-0.0122242j -0.0435222-0.0255837j 0.0205648-0.010533j -0.0094739+0.013284j -0.00029165+0.00593149j 0.00677588-0.00929368j -0.00347729+0.00119403j 0.00120028+0.00598152j -0.0261289-0.0120517j 0.00999835+0.0238195j -0.00496765-0.0079558j 0.0187716+0.00507484j -0.0108749-0.0015393j 0.00633134-0.0084849j -0.00280837-0.00338874j 0.0165289-0.00612243j 0.0544913-0.0258993j 0.0100027-0.00175014j -0.0112107-0.00858794j 0.0265038-0.000309999j 
-0.0500337+0.0249021j -0.0453865+0.028703j 0.0889186+0.00530517j 0.0112774+0.112967j -0.0597493+0.0542052j 0.0677113-0.141592j 0.0542073-0.103876j -0.118059-0.0853108j 0.0997594-0.0313323j -0.00885613+0.0685426j -0.0114649+0.0878382j -0.00708175+0.00378792j 0.0048627-0.00228821j 0.0299314-0.0547889j 0.00377427-0.0302223j -0.015495+0.0325268j 0.00342685-0.00537394j 0.00426586+0.0161566j 0.0159872+0.000927989j 0.00270765+0.0151867j -0.015769+0.026139j 0.00225704+0.0162948j -0.0287742+0.0291126j 0.0403355-0.0184689j 0.0281911-0.00825173j 0.00216256-0.0109474j -0.00945823+0.00585933j 0.000503919-0.0109619j -0.00729643+0.00879162j 0.00682921-0.00328634j -0.0129753-0.00940346j -0.00526558+0.00123975j -0.0258776-0.00295569j 0.0180813-0.0127418j 
-0.0245006-0.0636453j 0.0266004+0.0830455j 0.0480201+0.0415557j -0.0560434-0.168323j 0.00696358-0.0323048j 0.0509531-0.230287j -0.0702498-0.0355664j -0.429825-0.129933j 0.216344+0.138474j -0.055136-0.0427643j -0.00572084+0.00748069j 0.062045+0.0626392j -0.0151647+0.00234803j -0.00636073+0.00192596j 0.0606553-0.0587687j 0.0468789+0.0439105j -0.00972663+0.00670786j -0.010991-0.00649493j -0.0108433-0.00158291j 0.0407367+0.0334739j -0.00960343-0.015322j -0.00641652-0.000682852j -0.0338906+0.024402j -0.0166718-0.0342989j 0.018877+0.0124327j -0.0161769+0.000554748j -0.0132094-0.0161136j 0.00416205+0.0067487j 0.0170004+0.0166289j -0.0169119-0.0305089j -0.0150993-0.0067907j 0.000349948+0.0199566j 0.0388585+0.0379617j -0.000729684+0.016698j 
0.0153391-0.0512854j 0.138845+0.0292317j -0.27838+0.0905488j -0.274387+0.0368271j 0.115316+0.0143983j 0.100312-0.13479j -0.102809+0.0483075j 0.1276+0.262177j -0.235758-0.0753694j 0.0703827+0.0594442j 0.0344597-0.00232258j 0.0568509-0.0109752j -0.01583-0.00793008j -0.00162673+0.0311375j -0.0406641-0.06773j 0.0100714-0.0186467j -0.0122848-0.000687555j -0.0056375-0.0247121j -0.00305767+0.0104525j -0.0395995+0.00523423j 0.000648318-0.0200951j -0.00483144-0.008405j 0.0261156+0.0181727j -0.0050033+0.0177619j -0.0244356+0.014599j 0.0162984+0.00892665j 0.00626929+0.0103613j 0.00211791-0.00519058j -0.000479342-0.00119783j -0.0229207+0.0145592j -0.000164163+0.0249045j 0.0212386+0.000770022j 0.0214596-0.0210467j 0.00321414+0.0245097j 
0.165033+0.0428798j -0.0193826+0.0105663j -0.181171-0.190537j 0.298115-0.259126j -0.0126322-0.020266j -0.158477+0.22228j 0.0264198+0.0634009j 0.16063+0.0367841j -0.0818919-0.00615181j 0.0230721-0.0693382j 0.0672281-0.0658836j -0.00996297+0.00988329j 0.0685605-0.0238267j -0.030492+0.0337402j 0.0137733+0.0215148j 0.00312348-0.00357867j -0.0118219-0.0356214j 0.0157096+7.36774e-05j -0.0120869-0.00589175j -0.0186192-0.0154907j 0.0298499-0.0346865j 0.00923196-0.0209794j 0.00354104+0.00864252j 0.00162055-0.00402293j -0.0209-0.00607491j 0.0100036+0.00310151j 0.0124928+0.00509661j 0.0316714-0.0260482j -0.0223553+0.0120016j 0.00415221-0.0087484j -0.0172786-0.0190731j -4.41133e-06-0.00436211j 0.00078195+0.0157386j -0.0318874+0.0111912j 
0.046708-0.0332032j -0.0597648+0.0174162j 0.0166158+0.0136494j 0.0656333-0.0510038j -0.140391-0.00188652j -0.272125-0.00635328j 0.16556-0.0212514j -0.0414791+0.0913687j 0.269284-0.0420655j -0.123037+0.0280726j 0.0114807+0.000499936j -0.027374-0.0551143j 0.0329344-0.0133449j -0.00960963+0.00195639j 0.0645353-0.0202831j -0.0020363-0.0207722j -0.000815717-0.0134241j 0.015892+0.00432346j 0.00505021-0.00298515j 0.039347-0.00528199j -0.0384186+0.014206j -0.012476+0.00305258j -0.00654979+0.0140744j -0.0142771-0.00869629j 0.0263256-0.0031622j -0.00949836-0.0135628j -0.00410337+0.00209601j -0.00866316-0.0304278j 0.00765547+0.0169709j 0.0269326-0.00283725j 0.0419523+0.0108726j -0.0122378+0.00460626j -0.0201442-0.00469788j 0.0172031+0.011844j 
0.0304475-0.021474j 0.0225468+0.0106309j -0.0803442+0.0831091j -0.143351+0.111909j -0.0878598+0.0472452j -0.0460752-0.203501j 0.0237277-0.0631317j -0.00270333+0.176196j 0.0938422-0.166095j -0.0653735+0.0193379j -0.0501943+0.0336974j -0.0194523+0.0210921j 0.0301064+0.012787j 0.0100828-0.0393194j -0.0378606-0.034021j -0.0108994+0.0222169j -0.00241849+0.00800679j 0.00703069+0.00120648j -0.00765127-0.00154488j 0.0234968+0.00877792j -0.000577141+0.0481243j -0.00273043+0.0342353j 0.000212754-0.0158986j -0.00624667+0.00412721j 0.00219786-0.0405342j 0.0101621+0.020927j -0.00727849-0.00986872j -0.0165949+0.00708914j 0.0022677-0.0110756j 0.0268196-0.00229751j -0.00924361+0.00622932j 0.000388716+0.00616903j -0.00343607+0.000752146j 0.013056-0.0212572j 
-0.0109213+0.139001j -0.0495209-0.00989669j -0.0655306-0.142696j -0.134179+0.317431j 0.0101198+0.0375443j 0.342691-0.295419j 0.0233591-0.0387984j -0.0183151+0.156034j -0.0568223-0.0603299j 0.000816073+0.0177605j -0.0443139+0.110829j -0.0394852+0.0251454j -0.0185086+0.0715841j 0.0240507-0.0576408j 0.0418351-0.0194321j -0.0372101+0.0267467j 0.0163972-0.0141229j -0.00154996+0.00956531j 0.0218318-0.00639698j -0.0170683+0.044007j -0.0300002+0.00180821j -0.0102646+0.00173415j 0.00473976-0.00673026j 0.00854097-0.0034018j -0.0243343-0.0117771j 0.00730952+0.00989336j -0.000348423+0.00596175j -0.00720845+0.0197333j -0.00252421-0.0131567j 0.0120486+0.0112716j 0.0331516-0.0293226j 0.00236751-0.00512801j -0.0248698+0.00446965j 0.0120305-0.0314444j 
0.0546949+0.0420836j -0.0693026+0.0599219j 0.0231033-0.0148504j 0.143923+0.0129781j -0.177626+0.0940984j -0.166628-0.0312663j 0.157747-0.0640074j -0.0403093+0.00200932j 0.129931-0.0951411j -0.0709586+0.0669023j -0.0140549+0.0146935j -0.0314773+0.0686999j 0.0316419+0.00435982j 0.0239362-0.0515579j 0.00994364-0.0376136j 0.00656167+0.00242077j 0.0207835-0.0202792j 0.0110853+0.0090564j 0.0221826-0.0209847j 0.0357024-0.0103146j -0.00523636+0.0252634j 0.023964+0.00191403j -0.00499365+0.0094636j 0.00733491-0.0172918j -0.0252809-0.00286182j 0.0255782+0.00136935j -0.0184393+0.00218443j -0.00180683-0.0151092j -0.00116785+0.00229438j 0.00782381+0.00419059j 0.00272742+0.00770071j -0.000313711+0.00735675j -0.0204275+0.0164696j 0.00544717+0.00120225j 
0.145743+0.124511j 0.014978-0.00827783j -0.321723-0.255018j 0.00887396-0.160068j -0.001783-0.177237j 0.0501705-0.0356235j -0.0144505+0.221769j 0.0654335+0.301352j -0.0213727+0.00801335j -0.00916963-0.115654j 0.0279181-0.0903058j 0.019884-0.0743066j 0.047069+0.0285456j -0.00893354+0.0473976j -0.0168414+0.0127467j -0.0260952-0.0852851j -0.0252097+0.0240662j 0.030821+0.0107711j -0.0165382+0.014475j -0.0192506+0.0147146j -0.0088126-0.0322145j -0.0169087-0.00391646j -0.00178409-0.00417512j -0.00409275+0.00307764j -0.00678998-0.0126709j 0.00281751+0.0162863j 0.00660256-0.0183185j 0.00279633-0.0430584j 0.00162227+0.0119818j -0.00449323+0.0162232j -0.00712225+0.0168693j 0.00519186-0.00688749j 0.00874371-0.0195377j -0.00151345+0.0329562j 
-0.0240665-0.0916966j 0.04288-0.0172302j 0.0535821+0.106366j -0.0803012-0.166598j -0.137848-0.0942077j -0.270754+0.0447119j 0.104165+0.146686j -0.173004+0.0844263j 0.231353+0.0626681j -0.069836-0.0540527j -0.0134784-0.0784882j -0.00666052-0.0569292j 0.0392862+0.0250832j 0.00177179+0.0315974j 0.021512+0.0337523j 0.032306-0.0339266j -0.0102372+0.0134169j -0.00578182-0.0166405j 0.00926446+0.0176685j 0.0576419+0.000203342j -0.0140843-0.0287237j 0.0106-0.00563604j 0.00599529+0.00960049j -0.0230601-0.000923543j 0.00929205+0.0111571j 0.00105962-0.00315577j -0.0272245-0.0200394j -0.0148025-0.000950126j 0.0168883-0.00628962j -0.00153427-0.00559412j 0.00591205+0.0151708j -0.000548445-0.00155953j 0.0121961-0.0139111j 0.0219444+0.0206445j 
