0.017679+0.0205376j 0.00448789-0.0132484j -0.0541641+0.0178373j 0.0555799-0.0666774j 0.00857328+0.0221239j -0.0117658+0.011821j 0.0261118-0.00829069j 0.032848-0.0198828j -0.000699665-0.000364969j 0.00390876-0.0643866j 0.00408434+0.0101986j -0.00911617-0.0189461j 0.00808466-0.00552714j 0.00960088+0.00170541j -0.00426837+0.00356097j 0.0041073+0.0180249j 0.0126243-0.0159613j -0.0117014-0.00898843j -0.016919+0.00567631j -0.00246988+0.00422991j 0.00137357+0.00470782j 0.00264398+0.00731491j -0.0139756+0.0232685j -0.0108814-0.0238737j -0.000763634+0.00715086j -0.014763-0.0145972j 0.003111-0.000755623j 0.00553065+0.00484167j 0.00173882-0.00961953j 0.00592223-0.00545445j -0.00219743+0.0122692j 0.0144109-0.00366171j 0.00787798+0.0124938j -0.0148254+0.0034836j 
-0.00343793-0.0453773j -0.0108085-0.0326712j -0.0285698-0.02234j 0.0507566+0.193613j -0.0227158-0.0558343j -0.010912-0.0149234j -0.0358077-0.0217079j -0.0299561+0.0470879j 0.0216172+0.0967409j 0.00894613+0.0236748j -0.0205113-0.0359063j 0.0122684+0.0151618j 0.00687296-0.0138463j -0.0455339-0.0202192j 0.00737188+0.000320333j -0.00995151-0.0074676j -0.0286505-0.0117957j -0.00592115-0.020536j 0.0128285-0.0143928j 0.0096258+0.0179048j -0.0292393+0.00136081j 0.00149727+0.00974766j -0.00264162-0.0067836j 0.00704631-0.00201631j -0.0175896-0.00948862j 0.00529256+0.000536494j 0.00853976+0.0112966j -0.0134832-0.0155404j 0.0120649+0.00779366j 0.0116077-0.00790861j 0.00890035+0.0116299j -0.0196358+0.000354388j -0.0219496-0.0204578j -0.026832-0.00831595j 
-0.00419282+0.00896553j -0.00393557-0.0139654j -1.29685e-05+0.0178825j 0.0283337-0.0553804j 0.014006-0.00434813j -0.0194183+0.0699956j 0.0199124+0.0146631j 0.0241553+0.101574j -0.0028246+0.0635138j -5.53967e-05+0.0148712j -0.0107527+0.0309227j 0.00980077+0.0124625j 0.00682946+0.0191237j 0.0097167+0.0226456j -0.00143777-0.00609116j -0.00637617-0.0154985j 0.0167972-0.00649957j -0.00624611+0.0136787j -0.000232167-0.0339414j 0.0369659+0.0192091j -0.0060561-0.0168842j 0.00753269+0.00915005j 0.00478816+0.000689661j -0.00131298+0.00406545j -0.00576179-0.00612294j -0.00673848+0.00682395j -0.00687449+0.00273941j 0.000579921+0.0148639j 0.00953089+0.0146798j -0.00200509+0.000464773j -0.012401-0.00261621j -0.0068309-0.0130539j -0.00127157+0.00508476j 0.0105819+0.00844773j 
-0.0383246-0.0389094j -0.0358217-0.0570061j -0.0154492+0.00189362j 0.144531+0.160554j -0.0218421-0.0171098j -0.0191833-0.0602462j -0.0155563+0.0388043j 0.0200213+0.022454j 0.0544275+0.0542185j 0.021305+0.017641j -0.0518847-0.044209j 0.0605366+0.0248528j 0.00726561+0.0135935j -0.053237-0.024827j -0.0066349-0.00688702j -0.00985846-0.0160972j 0.00370711-0.00612518j 0.00521232+0.00393897j -0.00783171+0.00185239j -0.013766+0.0050034j -0.0353821+0.00810899j -0.00267205+0.00662136j 0.000113355-0.00422962j 0.00974723+0.0151494j -0.0170321-0.0186982j -0.0209956+0.00121379j 0.00942532+0.00333291j -0.00566926-0.0177747j -0.00216322+0.0225137j -0.00373184+0.00170456j 0.00791943+0.00274761j -0.020456+0.0104825j -0.0258318-0.00133702j -0.0301709-0.0256533j 
-0.0451919+0.031928j -0.0157476+0.0449137j -0.00666599+0.0293037j 0.139649-0.175703j 0.0261964+0.0310537j -0.0078367-0.00770441j -0.0516417+0.0444018j 0.0518976-0.0120755j -0.0032124-0.0292895j 0.0270946-0.0411982j 0.00299338+0.00224893j -0.00897957+0.0100836j -0.0454255+0.0262503j -0.010584-0.00127043j 0.00884893-0.0111703j 0.00647812-0.0131608j 0.0111148-0.00944995j -0.0140726+0.0134545j -0.00240676-0.00421838j -0.00477909-0.0114038j -0.0161359-0.0110109j -0.00345354-0.004401j -0.00609702+0.0194111j 0.00787768-0.003407j 0.00159108-0.00144782j 0.00314558-0.00924885j 0.00790723-0.0145298j -0.00873779+0.0218183j -0.00596934-0.01417j 0.0127061-0.00879887j 0.00439588-0.00214j -0.00410062-0.0195791j -0.00831606-0.00793419j -0.00435055+0.0189535j 
0.028693+0.0683017j -0.0286337+0.00372831j -0.0246756+0.0365397j 0.0340499-0.247794j 0.037245+0.096908j 0.00813718+0.0578866j 0.0764058+0.148214j 0.0491679+0.0405654j -0.00230337-0.0839824j 0.00856178-0.0847161j -0.0302224+0.0663888j -0.00955982+0.0363976j 0.0109101+0.0239311j 0.0481135+0.0836614j -0.0150118-0.00856723j -0.0311522-0.0273587j 0.00452727+0.00356862j -0.0148793+0.008272j -0.0326898-0.00566831j 0.00955186+0.00547531j 0.0342496+0.0128031j -0.0284077-0.0287564j 0.0156271+0.00370821j 0.0243807-0.0136218j 0.0070906+0.0197288j 0.00851768+0.00578636j -0.00697576-0.0336651j 0.00749339+0.0454259j 0.00340089-0.0164825j 0.00760103-0.00151016j -0.00461106-0.0195952j 0.0200559-0.00562659j -0.00339047-0.0186767j 0.0476245+0.0370862j 
-0.0203852-0.0299143j -0.00689367+0.150267j 0.00803417+0.269455j 0.0149928-0.346355j -0.0349627-0.0946325j 0.0183409+0.0325352j 0.00138977-0.111989j -0.0373806-0.18256j 0.00616087-0.0180777j -0.0170254-0.00723492j 0.010418-0.0436924j 0.00504955-0.0655287j 0.00617892+0.0340212j -0.0186692-0.0220778j 0.0147624+0.00865688j -0.00481378+0.0296256j -0.0182166-0.0385868j 0.0181268-0.0126015j 0.022316+0.0240628j 0.0100009-0.0152946j 0.000327228-0.0036178j 0.00113148-0.0062788j -0.0189464+0.0323701j -0.0211489-0.0421704j 0.010136+0.0065759j 0.000891696-0.0273841j 0.000365638+0.00454857j 0.00174712+0.0150728j -0.00509293-0.0236708j -0.00324475-0.00984033j -0.00806435+0.0183178j 0.0158993-0.0115576j 0.0179232+0.0504825j -0.0193178+0.0126955j 
-0.0256784+0.139369j 0.0069742+0.0380427j -0.00106421-0.146844j 0.145141-0.230286j -0.0782583+0.0352469j -0.0526578-0.0289026j -0.10405+0.0137596j -0.0349506+0.0379904j 0.0770941-0.0461836j 0.0526817-0.0276927j -0.072503+0.0714685j -0.000829605+0.0117319j -0.000115254+0.0169841j -0.0375481+0.0140196j -0.0145052-0.00842216j 0.0394509-0.0103012j -0.0239721+0.0129024j 0.0144106+0.0201977j 0.00536377+0.00425974j 0.0182538-0.00841271j -0.035754-0.0125801j -0.0427637-0.0026944j -0.00884094-0.00227447j -0.0175467-0.0172304j -0.00969479+0.00672153j 0.00605017-0.0052227j 0.00970299-0.0196456j -0.0110922+0.0310037j -0.00259836-0.0212948j 0.0107862-0.012485j 0.0141378-0.0279417j -0.00954449-0.0146874j 0.00293777-0.00988919j -0.039457+0.0160383j 
-0.0180595+0.0370683j -0.0412928+0.0725751j -0.0677886+0.000522754j 0.0926189-0.123441j 0.0103365-0.0140494j -0.0368982+0.0116679j 0.0276406-0.0712962j 0.0797604-0.113299j 0.021209+0.0215587j 0.0133852+0.0233578j 0.0185855+0.0059584j 0.0658418-0.040138j -0.00422317-0.00471067j -0.0135662+0.00383029j -0.00609103-0.00773792j -0.0333907+0.0212555j -0.0023793+0.000746715j 0.0037364-0.00631513j -0.00276202-0.00117768j -0.00186265-0.0126444j 0.00722372-0.0103495j -0.0162446+0.00142123j -0.018051+0.0202963j 0.013572-0.00823587j -0.0250871-0.0238896j -0.0298439+0.00999448j -0.00686114-0.0243272j -0.00599842+0.0218454j -0.0113281+0.00210493j 0.0220512-0.0197803j 0.00181214+0.0209077j -0.00848481-0.00311844j -0.00526699+0.0208274j -0.00622923+0.00932947j 
0.0139609+0.0144143j -0.0255383-0.0293592j -0.0505475-0.0457605j 0.0439386+0.0409919j -0.0382596+0.00924214j -0.00697507+0.0388525j 0.00384751+0.000455863j 0.0522285-0.0407661j -0.0252095-0.0269816j -0.00140683+0.000503969j -0.0282534+0.0101676j 0.000647579+0.0090426j 0.0230425-0.00340504j -0.00963335+0.0144781j 0.00856414+0.00456762j -0.00331632-0.00155494j 0.000773786+0.00819993j -0.00525298-0.00236882j 0.00670308-0.00825533j -0.00177029+0.00177309j -0.00423161+0.00416264j -0.00802298-0.0137001j -2.1358e-05-0.00673376j 0.00847645+0.0201332j 0.0281493-0.0180161j -0.0154707-0.031311j 0.0343169-0.00832095j -0.0218523-0.00726673j -0.00840983-0.00810949j 0.0132635+0.020131j -0.0200942+0.0144203j -0.00409838-0.0179075j -0.00851798-0.00302903j -0.000498886+0.00627477j 
-0.0319918+0.24035j 0.0214703-0.02346j 0.0938726-0.414284j 0.0169645-0.0769867j 0.0249603+0.0184515j 0.0276185-0.13484j -0.00962501+0.0632867j -0.0121916+0.106078j -0.0117418-0.0354876j -0.0134558-0.0115635j -0.0296169+0.0333316j -0.0240611+0.020554j -0.0130058+0.0215722j -0.00487872+0.0355053j 0.00499028-0.027201j -0.00522645-0.0171889j -0.00700712+0.0355639j 0.0129491+0.0101408j -0.0193058-0.0167405j 0.0102674-0.00200602j 0.0017126-0.0150448j -0.0043434-0.0160675j 0.00134615+0.0040844j -0.00123647+0.024008j 0.0158282+0.0127847j 0.00559761+0.00642127j -0.00609271+0.000372178j 0.00738391+0.01721j -0.00146288-0.00879253j -0.000329123-0.00487504j -0.00345314-0.0533534j 0.0132996-0.00115656j 0.0103724-0.0102421j 0.0257399+0.0279137j 
