-0.00949281-0.0189678j 0.00630598+0.0216936j 0.00338287+0.061929j 0.0226939+0.0188459j -0.110586-0.247569j 0.0204473+0.0893182j -0.10925+0.127674j -0.0605354+0.111941j 0.024699+0.00779732j 0.0336923-0.0501359j -0.0598995+0.00870228j -0.0338944-0.0728434j -0.0442467+0.0511311j 0.0240411-0.0405169j 0.000117818+0.0577112j -0.0770737-0.00392004j -0.0507318+0.0493165j -0.0222592+0.0170767j 
-0.00308242-0.0215899j 0.00126138-0.0763506j -0.0340844+0.0333429j -0.0280194+0.0897494j 0.058898-0.340712j 0.0136324+0.0510395j 0.101321+0.0185044j 0.0707988+0.142205j -0.0385095+0.0633944j 0.0310479-0.0395471j 0.0718898-0.151843j 0.017962-0.107321j -0.0147985-0.0304208j -0.0413351+0.00535866j 0.0569475+0.00811426j 0.0518184-0.0319629j 0.0726398+0.00447173j 0.0368475+0.0468387j 
0.0331254+0.00670894j 0.0234995-0.150242j -0.0307413+0.0368587j -0.0119424+0.0257439j -0.0632901+0.075065j -0.0111963-0.106802j 0.0456841-0.020392j -0.140434+0.229247j 0.0256377+0.0216889j -0.0720938-0.0300247j 0.0209111-0.0692939j -0.146592+0.0595518j 0.074179-0.057933j -0.0201399+0.0431054j -0.0020449+0.0213072j -0.0704623+0.0103995j 0.0322076+0.0113265j -0.0841096+0.0632228j 
-0.0129547-0.0105706j -0.0345637+0.00572501j 0.0255114+0.103266j -0.000175368-0.0729678j -0.10433+0.198969j 0.0503204-0.00576323j 0.0579244-0.0487482j 0.1066-0.00533566j 0.00995399-0.0302339j -0.00139335+0.015384j -0.0230792+0.0524504j -0.037619+0.00780611j -0.0449264+0.0104693j -0.0123779-0.00324793j 0.00556546+0.0507809j 0.0835971-0.037199j 0.0588861-0.0200198j 0.0738026-0.005861j 
-0.000730111-0.0185676j -0.00710503+0.0410196j 0.00839507-0.055056j 0.0085424-0.0067563j -0.0133302+0.265055j 0.00767995-0.0239626j 0.0311585+0.0685018j 0.0540404-0.0288101j 0.0232159-0.0521712j 0.00239497+0.01554j -0.0106336+0.0491875j 0.0292229+0.0288428j 0.00256395+0.0341753j -0.0102884-0.00175459j 0.0619918+0.00436151j -0.0199696+0.00717763j -0.0116519+0.0115782j 0.0442851-0.016827j 
0.0223216+0.0638336j 0.00471193+0.0792715j -0.026966+0.220118j -0.00617876-0.30209j 0.00701077-0.0946854j -0.0346923+0.154346j 0.0451887-0.0793535j 0.0021255+0.000623223j 0.0218224-0.0245621j 0.0347572-0.00956522j 0.0258719+0.0814037j -0.028382+0.0204915j 0.0138238-0.0030898j 0.00740608-0.023133j -0.0226282+0.019126j 0.00212627+0.0148511j 0.0112747+0.00713756j -0.0104121-0.0287355j 
0.0325531-0.0224206j 0.0406816-0.0900168j 0.0298659-0.0448957j -0.0454511+0.174764j -0.0165113+0.0656571j 0.0223806-0.122188j -0.0364214+0.00654535j -0.042056+0.024564j 0.040581+0.0484377j 0.0292422-0.0243751j -0.0190198-0.16521j 0.0246409-0.0824437j -0.0171146-0.00455057j 0.0337877+0.0329452j -0.0462459-0.0200639j 0.0160839-0.0129611j -0.00554931-0.0100858j -0.0071604+0.0393936j 
0.0139368-0.0376835j 0.00665907+0.0636034j 0.00818425+0.0903505j -0.00975368-0.00278844j 0.120821-0.128635j -0.0366613+0.0990489j 0.0172626-0.0128135j 0.011081+0.0133061j -0.03449+0.049677j -0.0108887+0.0472483j -0.0109722+0.129341j 0.00104407+0.013766j 0.0166041+0.00474249j 0.00869845+2.77545e-05j 0.00524513-0.0289871j -0.00834122+0.0214873j 0.012959+0.0210646j -0.0164406-0.00745784j 
0.00549744-0.0106892j -0.0728359+0.0700733j 0.0535157-0.338829j -0.014168+0.203474j -0.0377602-0.149588j 0.00473695+0.0172035j -0.00723982+0.203296j 0.0736809-0.0583416j 0.0399316+0.00189734j -0.0354164+0.0558364j -0.0196557+0.00215509j -0.0474066+0.0270409j -0.00408999+0.0188181j 0.00684508-0.0154273j -0.0165805-0.0137488j 0.0304682-0.0208049j -0.00131538+0.0212424j 0.037553-0.0232838j 
0.0132062+0.03821j 0.0751742+0.0549289j -0.0434923-0.125477j -0.0601406-0.011891j 0.20318-0.0774431j -0.0367051+0.0425012j 0.00583956+0.0291968j -0.110777-0.000992942j -0.0172858-0.00778227j -0.0229372+0.0616955j 0.137999-0.0303368j 0.0658236+0.10481j 0.105038-0.0307668j -0.0304942-0.0189324j -0.0184815+0.0447563j 0.0245501-0.0144692j 0.0483136-0.026772j -0.0864013+0.0291886j 
-0.0403365+0.0366745j 0.00808419-0.0306045j -0.0144773-0.0411485j -0.0741908-0.0114345j 0.0721582-0.025534j 0.114643-0.0126477j 0.297732+0.0191601j 0.358331+0.12753j -0.0741211-0.0111979j -0.024997+0.0295635j 0.102378-0.014137j 0.0513722+0.0708752j 0.0875695-0.0332766j 0.0253863+0.0113077j -0.033411+0.00322218j 0.00955921+0.021811j 0.0132808-1.34684e-05j 0.00224263+0.0264475j 
0.0212739-0.189301j -0.0495996+0.0343507j 0.0575278+0.231575j -0.0323221+0.103392j 0.0344832+0.120567j -0.0697179+0.0763902j -0.0307123+0.0609422j 0.156341+0.0112757j -0.00696507+0.010988j 0.0129531-0.140174j -0.0512854-0.218828j 0.135737-0.187263j -0.0819259+0.0691608j 0.0787902+0.019163j -0.00660192+0.0185977j -0.036987-0.0281595j 0.0222537+0.0587892j -0.0156924+0.0358666j 
0.00612477-0.0308063j -0.0705653+0.109362j 0.0151852-0.00693444j 0.149795+0.0167485j -0.389361-0.0589291j -0.0299546+0.113048j -0.0594845-0.0715113j 0.152239+0.0613479j 0.102377-0.0139564j -0.0750458+0.107546j -0.149143-0.103733j -0.0820495+0.150226j 0.0368527-0.0738168j -0.0174401+0.0303124j 0.00912936-0.00699394j -0.0329741+0.00390687j 0.0186775-0.0391667j 0.0156521+0.0397775j 
0.0509675-0.172295j 0.123098+0.153603j -0.15143+0.0339173j -0.172035+0.133174j -0.168394+0.110384j 0.0549036+0.142179j 0.156639+0.02656j -0.0801905-0.0453658j -0.0368166-0.0325494j 0.0269391+0.0370128j 0.135372-0.0824595j -0.0944398+0.0231283j 0.0431165+0.0133473j -0.055069+0.0223906j 0.00711309-0.0155779j -0.0125967+0.00662539j 0.071147+0.00374456j -0.0708442+0.0169905j 
-0.003421+0.0797591j 0.117795-0.0932941j -0.0218861-0.0229904j 0.0320425-0.0560012j -0.368364-0.0890764j 0.183059-0.0704149j 0.159737+0.0716395j -0.108158-0.0328275j 0.00928984+0.0283762j 0.0172384-0.0787537j 0.0777444+0.0720538j 0.0350354-0.115444j 0.0224043+0.0455763j -0.0360019-0.0394122j 0.00410216+0.0106676j -0.00432564-0.0058992j 0.00973668+0.0293288j -0.027424-0.0236807j 
-0.0458092+0.0963925j 0.0535776-0.0832741j 0.380927+0.0153444j -0.177648-0.104519j -0.048835+0.0194221j 0.230246-0.0660038j -0.200728-0.0131564j 0.0811308+0.0259978j -0.0107074+0.0158163j 0.00674469-0.0192774j 0.086887-0.00722342j 0.00904646-0.000568924j -0.0334495-0.0223151j -0.00262258+0.00551215j 0.035097+0.0100433j -0.0255279+0.0156336j 0.0608372-0.00783659j -0.0549356+0.0168054j 
-0.102776+0.103537j -0.0251847-0.0754888j -0.135928-0.104021j 0.327213-0.0484801j 0.0745956+0.0922597j -0.052714-0.110676j 0.106807+0.0773064j 0.0443157+0.00130824j -0.0269457+0.0167952j 0.0620976-0.0271574j -0.0706915-0.145877j -0.0763363-0.0345561j -0.0228437-0.00979556j 0.0244424+0.0238445j -0.00685326-0.00978545j -0.0460262+0.00726759j 0.0785292-0.00409773j -0.0293716+0.0276189j 
0.112575+0.0282802j -0.0113133+0.0790101j 0.15994-0.113553j -0.197892-0.0322456j -0.0332007+0.0596656j -0.0696855+0.00305821j -0.0927896+0.086677j 0.0135371-0.0162826j -0.0744187-0.0126j 0.0823725+0.0106899j 0.110942-0.180159j -0.0191787+0.0137411j 0.0134795+0.0117729j -0.0516278+0.0212207j 0.0152746-0.00882138j 0.0499128-0.0197066j -0.0739107-0.000949838j 0.00552868+0.0075599j 
-0.0736711-0.195738j 0.0711098-0.117406j 0.104934+0.0272141j 0.0152145+0.331142j 0.0255683-0.0201203j 0.0197875-0.0534162j 0.00546258-0.131528j 0.0189072+0.0337473j -0.02651+0.00984762j 0.053699+0.0280493j -0.12291+0.379152j -0.0202607+0.0653698j -0.00419251-0.0203397j 0.0252858-0.0367218j -0.00192753-0.0013987j -0.0239984+0.0242483j 0.0244012+0.00534485j -0.011007-0.00866854j 
-0.159098-0.142886j 0.202996+0.188131j 0.142632+0.078753j 0.166723+0.0712955j 0.122296+0.0404972j 0.251605+0.156781j 0.0243108+0.0621429j -0.0625811-0.0443122j -0.0312096-0.0260443j -0.00357953-0.00212552j -0.112446-0.115994j -0.0675141-0.0445526j 0.101076+0.056743j -0.0147642+0.0109033j -0.0170672-0.0109218j 0.0202264-0.0252317j -0.0409781+0.0243979j 0.037089-0.00994432j 
0.0845997+0.0529242j 0.00924063+0.00383349j -0.0269954+0.00323267j -0.214327-0.086085j 0.0618402+0.00290522j 0.0184965-0.00912666j 0.145782+0.037736j -0.0369957-0.0183484j 0.0161402+0.0037837j -0.0488979-0.0321188j -0.441736-0.0773405j -0.102187-0.0523077j 0.0675344+0.0215424j 0.0100619+0.00360503j 0.00723214+0.00345626j -0.0186229-0.00878302j -0.0020112+0.00713545j 0.0227589-0.00393782j 
0.0739987-0.0268143j 0.0532694+0.0345208j -0.249346-0.0200251j 0.0517858+0.0334796j -0.08324+0.0269043j 0.1073+0.0211498j -0.116097-0.00265902j 0.0417519-0.0119549j -0.0294054-0.00296932j 0.271152+0.0231435j 0.045523-0.0055257j 0.339237+0.0369657j -0.112349-0.00744409j -0.00663463+0.0107663j -0.0227484-0.00550306j 0.0371737+0.00221541j -0.100696-0.00143131j 0.0115034+0.00272288j 
-0.118919-0.0556297j -0.125306-0.0815509j 0.0118983+0.106737j 0.146279+0.024215j -0.0354477+0.0249933j -0.0953323-0.0700608j -0.0758242+0.0432522j 0.0469781-0.00921113j 0.0384288+0.0357644j -0.0446061-0.138369j 0.233376+0.050955j -0.0835806-0.18353j 0.155765+0.0888988j -0.100076-0.0197731j -0.0187799+0.00577052j 0.0673142-0.00698453j -0.0457988+0.0589782j 0.0109272-0.0203578j 
-0.31125+0.0989566j 0.24965+0.00210365j 0.0584939-0.0632361j 0.117721-0.106167j 0.0111845-0.016037j 0.086659-0.0148756j -0.0374916+0.01665j -0.0090372+0.00708542j -0.0533707-0.00495372j 0.0801996+0.031072j -0.046755-0.0777145j 0.0701871+0.0355855j 0.00545639-0.0274448j 0.0271519+0.0134015j -0.0131956-0.000795535j -0.0109151+0.000523236j 0.0148387-0.0214271j 0.0112675+0.00676488j 
-0.125598-0.0428139j -0.227257+0.142509j 0.156039-0.021348j 0.131073+0.0225546j 0.0109228+0.0107467j -0.0463378+0.118713j 0.0289733-0.0133671j -0.0643047-0.0143374j 0.0412283-0.0305167j -0.0506009+0.0894899j 0.174917-0.076345j -0.0440236+0.105924j -0.0638878-0.0275411j 0.0185375+0.0238391j 0.0135794-0.0126377j -0.0263361-0.00205041j 0.0733805-0.0253335j -0.0361978+0.00823695j 
