0.0640447-0j 0.0103352-0j 0.00843863-0j 0.00121801-0j 0.00105483-0j 0.000124313-0j 5.67408e-06-0j 0.0588852-0j 0.00931056-0j 0.00736065-0j 0.0049071-0j 0.00106242-0j 0.00122677-0j 0.00043373-0j 0.000102231-0j 0.000108433-0j 9.03605e-06-0j 3.36754e-07-0j 0.0384285-0j 0.0388267-0j 0.00599109-0j 0.00605318-0j 0.00464068-0j 0.00468877-0j 0.000669824-0j 0.00423634-0j 0.000676766-0j 0.00428024-0j 0.000748886-0j 0.000499258-0j 0.000756647-0j 6.24072e-05-0j 0.00043237-0j 0.000504431-0j 6.30539e-05-0j 0.00043685-0j 8.82571e-05-0j 4.41285e-05-0j 8.91717e-05-0j 5.2006e-06-0j 6.36941e-06-0j 4.45859e-05-0j 5.25449e-06-0j 6.43541e-06-0j 4.11143e-07-0j 4.15404e-07-0j 1.29498e-08-0j 1.3084e-08-0j 
0.00931056-0j -0.0708437-0j 0.00122677-0j -0.0168751-0j -0.00723046-0j -0.0025925-0j -0.000197768-0j 0.000148318-0j -0.00110574-0j 1.85397e-05-0j 1.23598e-05-0j -0.000255026-0j -0.000145694-0j 1.09246e-06-0j -3.69386e-05-0j -2.60285e-05-0j -4.36084e-06-0j -2.44202e-07-0j 0.00558657-0j -0.00544888-0j -0.0410667-0j 0.0400545-0j 0.000674643-0j -0.000658014-0j -0.00928016-0j 0.000615862-0j 0.00905143-0j -0.000600682-0j -0.00513333-0j -0.00342222-0j 0.00500681-0j -0.00130148-0j 6.28561e-05-0j 0.00333787-0j 0.0012694-0j -6.13069e-05-0j -0.00122277-0j -0.000302485-0j 0.00119263-0j -0.000144861-0j -0.000132832-0j 0.000295029-0j 0.00014129-0j 0.000129558-0j -1.43303e-05-0j 1.3977e-05-0j -6.32658e-07-0j 6.17064e-07-0j 
0.00464068-0j 0.000748886-0j -0.058459-0j 8.82571e-05-0j -0.0146912-0j -0.000861182-0j 4.11143e-07-0j 0.00426682-0j 0.000674643-0j -0.0509912-0j 0.000355568-0j 7.69827e-05-0j -0.00849853-0j -0.00907691-0j 7.40767e-06-0j -0.0015102-0j -6.25976e-05-0j 2.44011e-08-0j -0.00270526-0j 0.00281338-0j -0.000421756-0j 0.000438613-0j 0.0312333-0j -0.0324816-0j -4.71537e-05-0j -0.000298226-0j 4.90384e-05-0j 0.000310146-0j 0.00504025-0j -3.51463e-05-0j -0.0052417-0j -4.39329e-06-0j 0.00585042-0j 3.65511e-05-0j 4.56888e-06-0j -0.00608425-0j 0.000593999-0j 0.000897212-0j -0.000617741-0j -3.66108e-07-0j 8.61848e-05-0j -0.000933072-0j 3.8074e-07-0j -8.96295e-05-0j 2.76713e-06-0j -2.87773e-06-0j -9.1163e-10-0j 9.48066e-10-0j 
-0.00468877-0j -0.000756647-0j 0.0590648-0j -8.91717e-05-0j 0.0148434-0j 0.000870107-0j -4.15404e-07-0j 0.00416165-0j 0.000658014-0j -0.0497343-0j 0.000346804-0j 7.50853e-05-0j -0.00828906-0j -0.00885318-0j 7.22508e-06-0j -0.00147298-0j -6.10547e-05-0j 2.37997e-08-0j -0.00281338-0j 0.00284083-0j -0.000438613-0j 0.000442892-0j 0.0324816-0j -0.0327985-0j -4.90384e-05-0j -0.000310146-0j 4.95168e-05-0j 0.000313172-0j 0.0052417-0j -3.65511e-05-0j -0.00529284-0j -4.56888e-06-0j 0.00608425-0j 3.69077e-05-0j 4.61346e-06-0j -0.00614361-0j 0.000617741-0j 0.000933072-0j -0.000623767-0j -3.8074e-07-0j 8.96295e-05-0j -0.000942176-0j 3.84455e-07-0j -9.05039e-05-0j 2.87773e-06-0j -2.90581e-06-0j -9.48066e-10-0j 9.57316e-10-0j 
-0.000669824-0j 0.0103014-0j -8.82571e-05-0j -0.0566296-0j 0.00105139-0j -0.0177122-0j -0.00272327-0j -0.000615862-0j 0.00928016-0j -7.69827e-05-0j -5.13218e-05-0j -0.0493955-0j 0.00122277-0j -4.53625e-06-0j -0.014566-0j -0.00504141-0j -0.00259304-0j -0.000242944-0j 0.00039047-0j -0.000406077-0j -0.00580153-0j 0.00603341-0j 4.71537e-05-0j -4.90384e-05-0j 0.0302559-0j 4.30453e-05-0j -0.0314652-0j -4.47657e-05-0j -0.000725192-0j -0.000483461-0j 0.000754177-0j 0.00863872-0j 4.39329e-06-0j 0.000502784-0j -0.00898399-0j -4.56888e-06-0j 0.00398657-0j -4.27323e-05-0j -0.0041459-0j 0.00144991-0j 0.000881685-0j 4.44403e-05-0j -0.00150786-0j -0.000916925-0j 0.00019171-0j -0.000199373-0j 1.27247e-05-0j -1.32332e-05-0j 
0.000676766-0j -0.0104082-0j 8.91717e-05-0j 0.0572165-0j -0.00106228-0j 0.0178958-0j 0.00275149-0j -0.000600682-0j 0.00905143-0j -7.50853e-05-0j -5.00568e-05-0j -0.048178-0j 0.00119263-0j -4.42444e-06-0j -0.014207-0j -0.00491715-0j -0.00252913-0j -0.000236956-0j 0.000406077-0j -0.000410038-0j -0.00603341-0j 0.00609228-0j 4.90384e-05-0j -4.95168e-05-0j 0.0314652-0j 4.47657e-05-0j -0.0317722-0j -4.52025e-05-0j -0.000754177-0j -0.000502784-0j 0.000761535-0j 0.00898399-0j 4.56888e-06-0j 0.00050769-0j -0.00907165-0j -4.61346e-06-0j 0.0041459-0j -4.44403e-05-0j -0.00418635-0j 0.00150786-0j 0.000916925-0j 4.48739e-05-0j -0.00152257-0j -0.000925871-0j 0.000199373-0j -0.000201318-0j 1.32332e-05-0j -1.33623e-05-0j 
0.00308408-0j 0.000497692-0j -0.0586641-0j -0.00846743-0j 5.07954e-05-0j 5.9863e-06-0j 2.73236e-07-0j 0.00283562-0j 0.000448351-0j 0.000354453-0j -0.0684631-0j 5.11608e-05-0j -0.00852834-0j 2.08863e-05-0j -0.000710695-0j 5.22158e-06-0j 4.35132e-07-0j 1.62164e-08-0j 0.00185053-0j 0.0018697-0j 0.000288502-0j 0.000291491-0j 0.000223472-0j 0.000225788-0j 3.22555e-05-0j -0.0294504-0j 3.25897e-05-0j -0.0297556-0j 3.60627e-05-0j -0.00696556-0j 3.64364e-05-0j 3.00523e-06-0j -0.00300577-0j -0.00703775-0j 3.03637e-06-0j -0.00303692-0j -0.00061355-0j 2.12502e-06-0j -0.000619908-0j -3.61538e-05-0j 3.0672e-07-0j 2.14704e-06-0j -3.65284e-05-0j 3.09898e-07-0j 1.97987e-08-0j 2.00038e-08-0j 6.23599e-10-0j 6.30062e-10-0j 
-0.000545194-0j 0.00414836-0j 0.00686785-0j 0.000988146-0j -0.0813799-0j -0.0145136-0j 1.15806e-05-0j -0.000501272-0j 0.0037371-0j 0.00599052-0j -4.17727e-05-0j 0.000861916-0j -0.0470765-0j 0.00106637-0j 0.000124842-0j -0.0169085-0j -0.00140907-0j 8.25336e-07-0j -0.00032713-0j -0.00033052-0j 0.00240472-0j 0.00242964-0j 0.00377685-0j 0.00381599-0j 0.000543414-0j -3.60627e-05-0j 0.000549045-0j -3.64364e-05-0j -0.0287379-0j 0.000200393-0j -0.0290357-0j 7.621e-05-0j 0.000707455-0j 0.00020247-0j 7.69998e-05-0j 0.000714787-0j -0.00684542-0j -0.00511562-0j -0.00691636-0j 8.48254e-06-0j -0.00149504-0j -0.00516863-0j 8.57044e-06-0j -0.00151053-0j -8.0225e-05-0j -8.10564e-05-0j 3.70462e-08-0j 3.74301e-08-0j 
-0.00381636-0j -0.000615862-0j 0.0725931-0j 0.0104779-0j -6.28561e-05-0j -7.40767e-06-0j -3.38112e-07-0j -6.07947e-05-0j -9.61249e-06-0j -7.59934e-06-0j 0.00146782-0j -1.09687e-06-0j 0.000182845-0j -4.47795e-07-0j 1.52371e-05-0j -1.11949e-07-0j -9.32907e-09-0j -3.47674e-10-0j 0.00222472-0j 0.00223347-0j 0.00034684-0j 0.000348203-0j 0.000268661-0j 0.000269717-0j 3.87778e-05-0j -0.0354055-0j 3.89303e-05-0j -0.0355447-0j 4.33549e-05-0j -0.00837407-0j 4.35254e-05-0j 3.61291e-06-0j -0.00361356-0j -0.00840699-0j 3.62712e-06-0j -0.00362777-0j -0.000737615-0j 2.55471e-06-0j -0.000740516-0j -4.34644e-05-0j 3.68741e-07-0j 2.56476e-06-0j -4.36353e-05-0j 3.70191e-07-0j 2.38021e-08-0j 2.38957e-08-0j 7.49697e-10-0j 7.52645e-10-0j 
0.00222621-0j 0.000359253-0j -0.042346-0j -0.00611211-0j 3.66661e-05-0j 4.32114e-06-0j 1.97232e-07-0j -0.00398733-0j -0.000630452-0j -0.000498416-0j 0.0962698-0j -7.19402e-05-0j 0.0119922-0j -2.93695e-05-0j 0.000999349-0j -7.34236e-06-0j -6.11864e-07-0j -2.28028e-08-0j 0.00133578-0j 0.00121175-0j 0.000208251-0j 0.000188915-0j 0.000161311-0j 0.000146333-0j 2.32832e-05-0j -0.0212584-0j 2.11214e-05-0j -0.0192846-0j 2.60314e-05-0j -0.00502801-0j 2.36144e-05-0j 2.16929e-06-0j -0.00216968-0j -0.00456116-0j 1.96787e-06-0j -0.00196822-0j -0.000442884-0j 1.53392e-06-0j -0.000401762-0j -2.60972e-05-0j 2.21402e-07-0j 1.39149e-06-0j -2.36741e-05-0j 2.00845e-07-0j 1.42914e-08-0j 1.29645e-08-0j 4.50138e-10-0j 4.08343e-10-0j 
4.54328e-05-0j -0.00105175-0j 5.9863e-06-0j 0.0117711-0j -0.000107344-0j -0.0554282-0j -0.0264048-0j 4.17727e-05-0j -0.000947484-0j 5.22158e-06-0j 3.48105e-06-0j 0.0102674-0j -0.000124842-0j 3.07685e-07-0j -0.0455825-0j 0.00104791-0j -0.0166435-0j -0.0031507-0j 2.72608e-05-0j 2.75433e-05-0j -0.00060968-0j -0.000615998-0j 3.29206e-06-0j 3.32618e-06-0j 0.00647332-0j 3.00523e-06-0j 0.0065404-0j 3.03637e-06-0j -7.621e-05-0j -5.08067e-05-0j -7.69998e-05-0j -0.0278259-0j 3.0672e-07-0j -5.13332e-05-0j -0.0281143-0j 3.09898e-07-0j 0.000852935-0j -4.49072e-06-0j 0.000861774-0j -0.00957899-0j -0.00283997-0j -4.53725e-06-0j -0.00967826-0j -0.0028694-0j -0.00191329-0j -0.00193312-0j -0.000212696-0j -0.0002149-0j 
