-0.0248811-0.0321648j 0.0501822+0.0125225j 0.0249554+0.0270174j -0.0168048+0.00462905j 0.0327816-0.00668517j -0.0161997-0.0190797j -0.00183224+0.0117587j 0.0103781-0.00515282j 8.04122e-05-0.0111192j -0.00334005-0.00501865j 0.00529541-0.00257893j 0.0108261-0.00343406j -0.000598019+0.0112474j -0.00746164-0.00237299j -0.00476406+0.00630277j 0.0263927-0.000286648j 0.0021829+0.0047314j -0.000136205+0.00347756j 0.00141578-0.00819795j 0.000142618+0.0104875j 0.00498101+0.00651715j -0.0122309+0.0102427j -0.000871971+0.00998757j -0.00278619+0.00310818j -0.00217159-9.77204e-05j -0.0105587-0.00264161j 0.00229563+0.00115923j -0.000135627-0.00197701j -0.0132624+0.00809604j -0.00947348+0.00434835j 0.00360681+0.00371413j 0.0103474-0.0127434j -0.0193027-0.00523266j -0.0023345-0.00302511j -0.0221185-0.000517691j 0.00135734+0.00741403j 
0.0358575-0.0275303j -0.0137023+0.0576078j -0.0248456+0.0208536j -0.0040067-0.0263998j 0.00439205+0.0336684j 0.0155157-0.0199018j -0.0106519-0.00723405j 0.00261659+0.016418j 0.0092595-0.00264882j -0.00147851-0.00381458j -0.000774152+0.00717051j 0.00353216+0.0146111j -0.0107099-0.000654001j 0.010242-0.00716887j -0.00431183+0.0145393j 0.00300854+0.012958j 0.003014-0.00274492j -0.00292992+0.013472j 0.00258701-0.00801574j -0.000270975+0.00548514j 0.000432692-0.00200522j 0.00305158+0.000966207j 0.00361462+0.00168309j 0.00866649-0.00545505j 0.00141643-0.00261991j -0.00700316+0.00996074j -0.00795819+0.00758149j 0.00186682+0.00455386j 0.00722447+0.00082694j -0.00034751+0.00839576j 0.00341375-0.00774876j -0.00645169-0.00265307j 0.00277596+0.00176933j -0.0135786+0.0124363j -0.0064667+0.00264395j -0.00901343+0.0124131j 
0.00442351+0.00628272j -0.0415765-0.0243108j -0.00845114-0.00196084j 0.012116+0.00948764j 0.0150178+0.00417387j 0.0108102-0.0121358j -0.0175151-0.00124097j 0.0169716+0.0044861j -0.00384669-0.00196052j 0.0248579+0.0165974j 0.014238-0.00205016j -0.00458342-0.0106508j -0.0112105+0.00202223j 0.00910397+0.0351836j -0.0117211-0.000400608j 0.0249481+0.0154225j 0.00464439-0.000255316j 0.00142615+0.00672531j 0.00349966-0.00516312j -0.00290926+0.00252458j 0.00923441-0.00636208j -0.00204848+0.00140229j 0.0124219+0.0077251j 0.00887982+0.00690771j -0.00675742-0.00488907j -0.00781454+0.000262087j 0.000849886-0.0043341j -0.0116796+0.000330753j 0.00612225+0.0136896j -0.00824028-0.00193381j -0.00138188-0.00709577j 0.000566724-0.00960847j -0.00384921+0.00597806j -0.00208451-0.00608571j -0.00820226-0.00517103j -0.000841691+0.00219678j 
0.00714796-0.00239098j -0.0435306-0.00332178j -0.0031465-0.00171924j 0.019912+0.0053207j -0.0114361-0.0300404j -0.00130286-0.00235245j 0.00298696+0.00485004j 0.00138409-0.00157543j 0.0138268+0.00810915j -0.00411623-0.0215988j -0.00122356-0.00579478j 0.00889899+0.0188334j -0.00665808-0.00405703j 0.00386318-0.0272379j -0.00723515+0.0156276j 0.00785097-0.00565242j -0.00736647-0.00708918j -0.00200854+0.00912001j 0.00513483+0.00239843j -0.00683226-0.00285562j -0.00160828+0.018907j -0.00979299-0.000593978j -0.0105247+0.020519j -0.00421343-0.000824057j 0.00229589-0.00190018j -0.000822746-0.00128166j -0.00225813+0.00822563j 0.00781863-0.017973j -0.0147288+0.00717791j -0.00236642-0.00234038j 0.00449302-0.00706355j 0.0104258-0.000624237j -0.0049513+0.0015399j -0.00600605+0.00886817j -0.0132362+0.00117852j -0.00525601+0.00597736j 
-0.0126517-0.00246907j 0.00127281+0.0232401j 0.00781467-0.00100115j -0.00727496+0.00470393j 0.0316517-0.0212684j -0.0114416+0.00553142j -0.00347404+0.00422186j 0.00231612+0.0114615j -0.00624839+0.0116936j 0.0145069-0.0138598j -0.00202078+0.0114598j -0.0173375+0.0235974j 0.0164747-0.0185842j 0.0124674-0.0120783j 0.0095178-0.0135144j -0.0180755+0.0163432j -0.00583317+0.00437827j 0.00764865-0.00344622j 0.00303706+0.000820295j -0.00205102+0.00365753j 0.017679+0.00662877j -0.00203938+0.00547996j 0.0199665+0.00662118j -0.00257795+0.00356452j -0.00826849+0.00129938j 0.00213031-0.00881744j 0.00613191+0.00213822j -0.0199091-0.00505413j 0.00973161+0.00984095j -0.00432686-0.00271321j -0.0103557+0.00445741j 0.00125356-0.00532476j 0.00516673-0.00171083j 0.0102319-0.000331604j 0.00465859+0.00496794j 0.00739622+0.000824856j 
-0.0162178-0.0191736j -0.0386104+0.0590218j 0.0159933+0.0224406j 0.00357658-0.00763896j -0.000749967-0.0120151j -0.0133539-0.0102614j 0.00710407+0.0124933j -0.00701459-0.013236j -0.00358142-0.0169964j -0.0034769+0.00632109j -0.00841805-0.00430421j 0.000402861-0.0177738j 0.00534027+0.018669j -0.00836402+0.0120514j 0.00320976-0.00639543j -0.00302304-0.00555686j -4.78646e-06+0.011575j -0.00189027-0.00973453j 0.00161765-0.00214127j -0.00354962+0.00828229j -0.00283654-0.00102j -0.00582917+0.003813j -0.00451603-0.00970359j -0.00341107-0.000565963j -0.000169005+0.00179009j -0.000249524-0.00751384j 0.00104324-0.00362163j -0.00102541+0.00721389j -0.00443236-0.00711572j -0.00552026-0.000242476j -0.00165633+0.0133816j 0.00597196+0.000386689j -0.000798949-0.0117863j 0.00265109-0.00761171j -0.000752918-0.00311471j -0.000544101-0.0033054j 
0.03977-0.0204772j -0.0128358-0.0202833j -0.0275041+0.0282875j -0.0132901+0.0010898j 0.0159046-0.0190959j 0.0235869-0.0203109j -0.00158115+0.00213848j -0.0147533-0.00383669j 0.00761092-0.00957686j -0.0035921-0.00331119j -0.00515858-0.00101925j -0.00931387+0.00267488j -0.0106464+0.00866143j -0.00713363+0.000473895j -0.0129638+0.0079617j -0.0295984-0.000161246j -0.0068024+0.0147307j -0.0106231-0.00366695j 0.013592+0.000548627j -0.0131353+0.00971684j 0.000839858+0.0123597j 0.000737129+0.00647664j 0.000820589-0.00347505j -0.00467849+0.00172605j 0.00358512+0.00413007j 0.000539513-0.00935979j -0.0158369+0.00490398j -0.0118486+0.004127j 0.00559236+0.000959702j -0.00222268+0.00384641j 0.00492698+0.0130841j 0.00827401-0.00363533j 0.0123033-0.00324224j -0.0114149-0.00173352j 0.0136749+0.00694337j -0.0128449-0.00752381j 
-0.00691778+0.00781618j 0.0384043+0.0283848j -0.00242389+0.0028015j 0.0113143+0.00599805j -0.0384331-0.0315908j 0.0170246-0.0086676j -0.00860809+0.00041842j 0.00858497-0.00372343j -0.00857105-0.00464337j 0.0190236+0.00921067j 0.0148386+0.00595424j -0.00596733-0.0108033j -0.0153556+0.00257639j 0.00900934+0.0106284j -0.01615-0.00198312j 0.0046008+0.00508344j -0.0056612+0.00283882j 0.00130289+0.00126446j 0.0049092+0.00590284j -0.00428738-0.00286268j 0.000318903+0.0123211j -0.000861121-0.0034218j -0.00271601+0.00753103j -0.00683024-0.00184932j 0.00158875-0.0016694j 0.00922694-0.00599745j -0.00104397+0.00439764j -0.00394731-0.0136087j -0.00239083+0.00170539j 0.00508123-0.0052337j -0.00271618+0.000189974j 0.00577852+0.00684292j 0.0097067-0.000383909j 0.004117+0.00401199j 0.00912888+0.00280389j 0.00114905-0.00247078j 
-0.00804527-0.0564744j -0.00708517-0.011301j 0.00875058+0.0493844j 0.00982462+0.00433167j -0.0284316+0.0105245j -0.00672206-0.0278321j -0.0088608+0.00331333j -0.000586207+0.00675753j -0.00917626-0.0124094j -0.000104756+0.0051955j -0.00658142+0.0144577j -0.00330669+0.00523312j 0.00856123+0.00541553j 0.0148507-0.0126779j 0.0163909-0.0101198j -0.00703049+0.0130512j -0.00248692+0.00231416j 0.0070603+0.0018748j -0.00276306-0.00106747j 0.00632597-0.000690019j 0.00190755+0.00375129j -0.00398518-0.00196693j 0.00376262-0.00378804j 0.00184781-0.00823269j 0.00663195-0.000535387j 0.00265112+0.00179399j 0.00707114+0.00732639j 0.00506891-0.00179783j -0.000507115-0.0101138j 0.00470261-0.000496024j -0.0123478+0.00353382j -0.0111654+0.00595774j 0.00803-0.00753282j 0.00241904+0.00829398j -0.00829047-0.00202543j 0.00103544+0.0104653j 
0.0405407+0.027336j 0.00402376-0.00729242j -0.027407-0.00991717j 0.00182568+0.0115045j -0.0105727-0.0119301j -0.0156706-0.01885j 0.000326555+0.0128252j -0.000479637-0.00244298j 0.0213438+0.0152849j -0.00231542+0.00179758j -0.0144845-0.0242619j -0.00194541+0.0138487j 0.00940395+0.00486551j 0.00297295+0.0227524j 0.0261861-0.000130059j -0.00403322+0.0149388j -0.00116483-0.0135312j -0.000706512+0.00369569j -0.00162812+0.00139735j -0.00311455-0.004512j -0.0125346-0.0115999j -0.00786235-0.0121119j -0.0025475+0.00956956j 0.00813528+0.00218115j -0.00944608-0.00345729j -0.00198736-0.00124782j 0.00453549-0.0126965j 0.00193549-0.0013867j -0.0039448+0.00467861j -0.00977856-0.0109174j -0.011806-0.00999442j 0.00565845+0.000108652j -0.00595031+0.000527032j 0.00958436-0.0125418j -0.0104232-0.0206819j -3.73482e-05+0.000898696j 
0.0526518+0.00858879j -0.0106708-0.0129867j -0.0321029-0.0159703j 0.0123378-0.00608658j 0.0053781-0.00442223j -0.0110709+0.0260765j 0.00769705+0.0013655j 0.0117026-0.000278782j 0.0259723-0.0193446j 0.00498592+0.00219768j -0.0161989+0.00551246j 0.00277314-0.0119077j -0.0130878+0.00189529j 0.0302173+0.00634554j -0.00804765-0.00881032j 0.00619689-0.0124445j 0.00279132+0.0153565j 0.00574995-0.00367747j 0.000295675+0.00213275j 0.00294527-0.0028261j 0.0130814+0.0118015j -0.00313028+0.00566538j -0.00137792-0.00770926j -0.00785177-0.000762309j -0.00217699-0.00670551j -0.00539698-0.00750523j 0.00922268+0.0163433j 0.00465896+0.00350926j -3.33633e-05-0.00624313j 0.00190541-0.00776434j -9.218e-05+0.0102898j 0.00453059+0.00908393j 0.00584524-0.010066j 0.00303581+0.0160103j -0.00706827+0.00223341j 0.00128297+0.00419035j 
0.0163643+0.00943712j -0.00195949-0.00404362j -0.0209018-0.0102721j 0.00462827-0.000616446j 0.00132879-0.00940317j 0.0121318+0.0117824j -0.00021796-0.00367291j -0.0052387-0.00262454j -0.0152274-0.0034942j -0.00213529-0.00395222j -0.000522812+0.00405958j 0.00626159-0.00651359j 0.0134285+0.00766216j -0.00458129-0.0133067j 0.00990269-0.00383467j 0.01413+0.00161021j 0.00462773+0.0179987j 0.00559487-0.00257824j -0.0041561-0.0111005j -0.00842449+0.00302408j -0.0206204+0.0036414j -0.00886879-0.000638894j 0.00712458-0.00605884j 0.0122485+0.0100362j 7.71223e-05-0.0125948j 0.00741074-0.0084432j -0.013768+0.000177644j -0.00383156+0.000707661j 0.00123792+0.0085636j 0.000262949-0.0112032j -0.0134272-0.00616613j -0.00796526-0.00207941j 0.00760647+0.000770015j -0.0146417-0.00285355j -0.00873962-0.0148253j -0.00740849-0.000413579j 
0.000948687-0.0234455j 0.000637528+0.00193573j 0.0216579+0.00836159j -0.00104384+0.00124338j -0.00475512+0.0087007j -0.0332794+0.00167107j 0.0113396+0.00608031j 0.00683937+0.00294459j 0.00574929-0.00388862j 0.00745782+0.00121012j 0.00826315-0.000195968j 0.00475634+0.00183318j -0.0022865+0.00341485j -0.00634552-0.00029771j -0.00933694+0.00915227j 0.00409031+0.00686371j 0.0174169-0.00968454j -0.00142112+0.00307093j -0.00562352-0.000978704j -0.0142053+0.00741993j -0.0239853+0.0129177j 0.0121496-0.00678115j -0.00742181-0.000120922j 0.00501886-0.00635456j -0.0313538-0.00394833j 0.0125601-5.74868e-06j -0.0198483+0.00311969j -0.00932231-0.000425775j 0.0258524+0.00874224j -0.00833882-0.00679892j 0.000911117-0.00262707j 0.0141965+0.00745737j 0.0106691+0.000295757j 0.0038314+0.00694392j 0.0265864+0.00997427j 0.00396691-0.0016838j 
0.0130819-0.0157674j -0.00227993+0.00326913j 0.00429884+0.00167661j 0.00177305+0.00337592j 0.00407481+0.0022139j -0.0200936+0.0128233j 0.00812128+0.00114571j -0.00120421-0.00260037j 0.00485521-0.0197322j 0.0101282-0.00331768j -0.00823917+0.00495009j 0.0110456+0.00261122j -0.00566929+0.0117377j 0.0201197-0.00586972j -0.00154137+0.00451209j 0.00500469+0.0113221j -0.0189146+0.0102228j 0.00544844+0.0053338j 0.0118126-0.00523489j -0.00471764-0.00503884j -0.0047629-0.0129915j 0.00121512-0.00490127j 0.00607254+0.00316318j -0.0140734+0.00847779j 0.0134813-0.000910572j 0.01087+0.00715253j -0.00399706-0.00751341j -0.000526179-0.00294902j -0.0065332-7.87826e-06j 0.0135398+0.00325502j 0.00849192-0.00728488j 0.00391575-0.0058476j 0.00440242+0.00483929j -6.48012e-05-0.0085671j 0.0174018-0.000130578j 0.000526284-0.00569751j 
0.0522061-0.0279879j -0.0217941+0.00420752j -0.0445602+0.0134312j -0.00081485-0.0145209j -0.00982315-0.0112922j 0.0133292+0.016358j 0.00504578-0.00299362j -0.00375835-0.017685j -0.0232089-0.0134771j 0.00845771+0.00979474j 0.00800077+0.00343085j 0.00703162+0.00657126j 0.0146905+0.00809886j -0.0115695-0.00995311j 0.004345-0.00479195j 0.0131851+0.0150606j 0.0068218-0.0219395j -0.000870801+0.00284939j -0.00193712+0.00263462j -0.00729485+0.00186869j -0.00567831-0.00335185j -0.000269831-0.00155298j -0.000874995+0.0046999j 0.00764066-0.00578201j -0.0123306+0.0153603j -0.00309763+0.00812335j 5.99189e-07-0.0102354j -0.000232177-0.00191301j 0.00464183-0.0021235j -0.017465+0.00748102j -0.000852241+0.00333273j 0.0079518-0.00552283j -0.00616853+0.00309874j 0.00690992-0.0100276j -0.00602201+0.00749198j 0.00461307-0.00170257j 
-0.0262077+0.0540782j 0.0145735-0.0213805j 0.018619-0.0424873j 0.0143508-0.0128441j 0.0104429-0.00423942j -0.00710964-0.00541846j -0.00521782+0.00639924j 0.00732258-0.0143075j -0.0167259-0.0246238j -0.00874043+0.0186718j 0.01178+0.00609793j -0.00579659+0.0165428j -0.00789924+0.0219359j -0.00563008-0.0121814j 0.00339865+0.00713416j -0.0148413+0.0267376j -0.00383551-0.00593678j -0.00864196+0.00824066j 0.00299554+0.00257974j 0.00185482-0.000699963j -0.00538537+0.00799227j -0.00174787-0.000797837j 0.00180166+0.00129192j 0.0034233-0.00931778j 0.00681532+0.0133583j -0.000202254+0.00315867j -0.0129128+0.00270575j 0.000764132+0.000977131j 0.00417485-0.010527j -0.00103869+0.00824854j -0.00576246+0.00842446j -0.00817918+0.0016297j 0.00451798+0.00497402j -0.0146621-0.00129939j -0.00673099+0.00166745j -0.00599149+0.000804204j 
