2.13941e-09-1.41874e-09j 
6.70467e-09-5.08134e-09j 
1.84132e-08-1.62809e-08j 
4.16311e-08-4.4172e-08j 
8.4554e-08-1.12143e-07j 
1.40677e-07-2.48772e-07j 
1.84498e-07-4.89397e-07j 
1.53709e-07-8.15453e-07j 
0-1.15677e-06j 
-1.53709e-07-8.15453e-07j 
-1.84498e-07-4.89397e-07j 
-1.40677e-07-2.48772e-07j 
-8.4554e-08-1.12143e-07j 
-4.16311e-08-4.4172e-08j 
-1.84132e-08-1.62809e-08j 
-6.70467e-09-5.08134e-09j 
-2.13941e-09-1.41874e-09j 
