-1.98865-0.0395629j 
-2.27247-0.0516678j 
-2.65072-0.0703125j 
-3.17988-0.101219j 
-3.97258-0.158064j 
-5.29028-0.280658j 
-7.90767-0.629272j 
-15.5223-2.47045j 
0-200j 
15.5223-2.47045j 
7.90767-0.629272j 
5.29028-0.280658j 
3.97258-0.158064j 
3.17988-0.101219j 
2.65072-0.0703125j 
2.27247-0.0516678j 
1.98865-0.0395629j 
