-0.0159596-6.39066e-19j 
-0.0234457+2.94918e-19j 
-0.0388937+2.91524e-18j 
-0.059727-5.27149e-17j 
-0.100086+2.34412e-17j 
-0.154899-1.08725e-16j 
-0.252775+1.01886e-16j 
-0.362398-2.98046e-16j 
-0.502674-1.85884e-16j 
-0.562565-4.0073e-16j 
-0.623192+4.39697e-17j 
-0.562565+4.67079e-16j 
-0.502674+7.05622e-17j 
-0.362398+2.78102e-16j 
-0.252775-1.57728e-16j 
-0.154899-2.14315e-17j 
-0.100086-1.33209e-17j 
-0.059727+1.97469e-19j 
-0.0388937-1.87472e-17j 
-0.0234457+1.1912e-17j 
-0.0159596-1.91383e-18j 
