7.22218e-08-9.38372e-10j 
9.5557e-08-8.40643e-10j 
4.06044e-07+1.21978e-08j 
-4.29773e-07-7.73674e-09j 
-2.24478e-05+1.73425e-07j 
-3.14002e-05-3.66949e-08j 
0.00224447-7.05433e-05j 
9.02776e-05-5.99372e-06j 
8.34463e-05-0.180193j 
-1.4354e-05+2.63697e-06j 
-0.00062381-2.15872e-05j 
3.10528e-05-5.39314e-08j 
7.88672e-05-4.59308e-07j 
3.14563e-07+5.33541e-09j 
2.04846e-06-4.2779e-08j 
8.89363e-08-2.91654e-10j 
5.22871e-08-8.55615e-11j 
