2.91803e-14-0.080297j 6.28463e-15+0.143808j -3.40635e-16+0.139435j 4.2237e-16+0.187095j 3.12691e-16-0.19564j 4.75273e-16-0.0062471j 8.0881e-19+0.107577j 1.60497e-15+0.138546j -1.78729e-15-0.185967j 5.73553e-15-0.151937j 7.52341e-16-0.0033352j -1.5498e-15+0.0930597j -1.77156e-16-0.249133j 1.6499e-16+0.0363759j 3.81919e-15+0.104099j 2.05249e-14+0.0427346j 3.0067e-14+0.174828j 1.14375e-13+0.156613j 6.70642e-16-0.159382j -2.08677e-14-0.183108j -5.60275e-15+0.251323j 3.70152e-15+0.0626221j 4.39592e-17-0.150505j 1.58584e-14-0.121715j 1.01429e-14-0.0442154j -2.08777e-14+0.15672j -7.59343e-15-0.0488607j 1.49671e-14+0.0271493j 4.46121e-15+0.00217917j -2.46411e-16-0.0369319j 5.91206e-14+0.168565j 3.14437e-14+0.0557536j 2.03879e-14-0.113112j -6.98206e-17+0.133749j -1.1734e-14+0.0415416j 4.83336e-14-0.26235j -9.43618e-15-0.148132j -1.13586e-13-0.0125897j -1.1565e-13+0.219583j 6.84653e-14-0.122077j -1.89045e-14+0.0731557j 1.50108e-13-0.0389278j 3.96401e-15+0.0591065j 1.61541e-15+0.199263j 3.64021e-15+0.0492357j 5.9587e-15-0.0684379j -3.08236e-16+0.145845j 2.90229e-15-0.173218j 9.25807e-16-0.129001j -8.79819e-17-0.100925j -3.62496e-16+0.0106182j 2.43721e-16+0.175896j -4.69474e-16+0.173195j -4.15339e-16-0.130787j 1.15894e-15-0.136912j -5.27496e-15-0.0768406j 
4.06976e-16-0.0011199j 8.76512e-17+0.00200568j -4.75081e-18+0.00194469j 5.89075e-18+0.0026094j 4.36107e-18-0.00272857j 6.62859e-18-8.71278e-05j 1.12804e-20+0.00150037j 2.23844e-17+0.00193229j -2.49271e-17-0.00259366j 7.9993e-17-0.00211905j 1.04928e-17-4.65157e-05j -2.16149e-17+0.0012979j -2.47079e-18-0.00347463j 2.3011e-18+0.000507332j 5.3266e-17+0.00145186j 2.86259e-16+0.000596016j 4.19342e-16+0.00243831j 1.59518e-15+0.00218426j 9.35339e-18-0.00222289j -2.9104e-16-0.00255379j -7.81411e-17+0.00350519j 5.16248e-17+0.000873385j 6.13095e-19-0.00209908j 2.21176e-16-0.00169755j 1.41463e-16-0.000616668j -2.91179e-16+0.00218576j -1.05905e-16-0.000681456j 2.08745e-16+0.000378649j 6.222e-17+3.03927e-05j -3.43668e-18-0.000515086j 8.2455e-16+0.00235096j 4.38543e-16+0.000777591j 2.84348e-16-0.00157756j -9.73782e-19+0.00186539j -1.63653e-16+0.000579378j 6.74105e-16-0.00365897j -1.31606e-16-0.00206598j -1.58418e-15-0.000175587j -1.61296e-15+0.00306251j 9.54879e-16-0.0017026j -2.6366e-16+0.0010203j 2.09354e-15-0.000542922j 5.52857e-17+0.000824353j 2.253e-17+0.00277911j 5.07697e-17+0.000686686j 8.31055e-17-0.000954498j -4.29894e-18+0.00203409j 4.0478e-17-0.00241585j 1.29122e-17-0.00179916j -1.22708e-18-0.00140759j -5.05569e-18+0.000148091j 3.39916e-18+0.00245321j -6.54772e-18+0.00241553j -5.7927e-18-0.00182407j 1.61636e-17-0.0019095j -7.35694e-17-0.00107169j 
7.69893e-17-0.000211855j 1.65814e-17+0.000379423j -8.98731e-19+0.000367885j 1.11438e-18+0.000493632j 8.25003e-19-0.000516176j 1.25396e-18-1.64823e-05j 2.13396e-21+0.000283832j 4.23454e-18+0.00036554j -4.71557e-18-0.000490654j 1.51326e-17-0.00040087j 1.98498e-18-8.79958e-06j -4.08898e-18+0.000245528j -4.67409e-19-0.000657311j 4.35309e-19+9.59742e-05j 1.00765e-17+0.000274654j 5.41529e-17+0.000112751j 7.93287e-17+0.000461265j 3.01767e-16+0.000413206j 1.76942e-18-0.000420513j -5.50574e-17-0.000483111j -1.47823e-17+0.000663091j 9.76608e-18+0.000165222j 1.15982e-19-0.000397092j 4.18409e-17-0.000321134j 2.67611e-17-0.000116658j -5.50836e-17+0.000413489j -2.00345e-17-0.000128914j 3.94892e-17+7.16307e-05j 1.17704e-17+5.74952e-06j -6.50131e-19-9.7441e-05j 1.55984e-16+0.000444741j 8.2961e-17+0.0001471j 5.37914e-17-0.000298434j -1.84214e-19+0.000352884j -3.09589e-17+0.000109603j 1.27523e-16-0.000692183j -2.48964e-17-0.00039083j -2.99686e-16-3.32166e-05j -3.05131e-16+0.000579349j 1.80639e-16-0.000322087j -4.98777e-17+0.000193014j 3.96044e-16-0.000102707j 1.04586e-17+0.000155946j 4.26211e-18+0.000525735j 9.60433e-18+0.000129903j 1.57214e-17-0.000180566j -8.13249e-19+0.000384797j 7.6574e-18-0.000457017j 2.44265e-18-0.000340356j -2.32131e-19-0.00026628j -9.56407e-19+2.8015e-05j 6.43033e-19+0.000464084j -1.23866e-18+0.000456956j -1.09583e-18-0.000345067j 3.05774e-18-0.000361228j -1.39174e-17-0.000202736j 
3.68634e-16-0.00101439j 7.93934e-17+0.00181672j -4.30323e-18+0.00176147j 5.33577e-18+0.00236356j 3.9502e-18-0.00247151j 6.00409e-18-7.89193e-05j 1.02176e-20+0.00135902j 2.02755e-17+0.00175025j -2.25787e-17-0.00234931j 7.24566e-17-0.00191941j 9.50428e-18-4.21334e-05j -1.95785e-17+0.00117562j -2.23801e-18-0.00314728j 2.08431e-18+0.000459535j 4.82476e-17+0.00131507j 2.5929e-16+0.000539863j 3.79835e-16+0.00220859j 1.44489e-15+0.00197848j 8.47218e-18-0.00201346j -2.63621e-16-0.00231319j -7.07793e-17+0.00317495j 4.67611e-17+0.000791101j 5.55334e-19-0.00190132j 2.00339e-16-0.00153762j 1.28135e-16-0.000558571j -2.63746e-16+0.00197983j -9.59274e-17-0.000617255j 1.89079e-16+0.000342976j 5.63581e-17+2.75293e-05j -3.1129e-18-0.000466558j 7.46867e-16+0.00212947j 3.97227e-16+0.000704332j 2.57559e-16-0.00142893j -8.82039e-19+0.00168965j -1.48234e-16+0.000524793j 6.10596e-16-0.00331425j -1.19207e-16-0.00187134j -1.43493e-15-0.000159045j -1.461e-15+0.00277399j 8.64918e-16-0.00154219j -2.3882e-16+0.000924172j 1.8963e-15-0.000491772j 5.00771e-17+0.000746689j 2.04074e-17+0.00251728j 4.59866e-17+0.000621992j 7.52759e-17-0.000864572j -3.89393e-18+0.00184245j 3.66645e-17-0.00218825j 1.16957e-17-0.00162966j -1.11147e-18-0.00127498j -4.57938e-18+0.000134139j 3.07891e-18+0.00222209j -5.93084e-18+0.00218796j -5.24695e-18-0.00165222j 1.46408e-17-0.0017296j -6.66382e-17-0.000970723j 
5.08197e-17-0.000139843j 1.09451e-17+0.000250453j -5.93241e-19+0.000242836j 7.35588e-19+0.00032584j 5.44574e-19-0.000340721j 8.27722e-19-1.08798e-05j 1.4086e-21+0.000187354j 2.79517e-18+0.000241288j -3.11269e-18-0.000323875j 9.98885e-18-0.000264609j 1.31026e-18-5.80849e-06j -2.69908e-18+0.00016207j -3.08531e-19-0.000433883j 2.87342e-19+6.33514e-05j 6.6514e-18+0.000181295j 3.57457e-17+7.44254e-05j 5.23639e-17+0.000304475j 1.99193e-16+0.000272752j 1.16797e-18-0.000277575j -3.63427e-17-0.000318896j -9.75761e-18+0.000437698j 6.44647e-18+0.000109061j 7.65582e-20-0.000262115j 2.76186e-17-0.000211976j 1.76646e-17-7.70044e-05j -3.636e-17+0.000272939j -1.32245e-17-8.50945e-05j 2.60663e-17+4.72825e-05j 7.76952e-18+3.79518e-06j -4.29144e-19-6.43196e-05j 1.02963e-16+0.000293568j 5.47615e-17+9.70991e-05j 3.5507e-17-0.000196992j -1.21598e-19+0.000232934j -2.04356e-17+7.23478e-05j 8.41765e-17-0.000456901j -1.64338e-17-0.000257982j -1.97819e-16-2.19258e-05j -2.01413e-16+0.000382421j 1.19237e-16-0.000212606j -3.29236e-17+0.000127406j 2.61424e-16-6.77955e-05j 6.90361e-18+0.000102938j 2.81336e-18+0.000347031j 6.3397e-18+8.57476e-05j 1.03775e-17-0.00011919j -5.36816e-19+0.000253999j 5.05456e-18-0.000301671j 1.61236e-18-0.000224664j -1.53227e-19-0.000175768j -6.31313e-19+1.84924e-05j 4.24458e-19+0.000306336j -8.17624e-19+0.000301631j -7.23343e-19-0.000227775j 2.01837e-18-0.000238442j -9.18672e-18-0.000133824j 
1.49105e-16-0.000410299j 3.2113e-17+0.000734827j -1.74057e-18+0.00071248j 2.15821e-18+0.000956014j 1.59778e-18-0.000999674j 2.42853e-18-3.19212e-05j 4.13283e-21+0.000549696j 8.20102e-18+0.000707939j -9.13262e-18-0.000950247j 2.93072e-17-0.000776363j 3.84429e-18-1.70421e-05j -7.9191e-18+0.000475513j -9.05228e-19-0.00127301j 8.43059e-19+0.000185873j 1.95152e-17+0.00053192j 1.04878e-16+0.000218364j 1.53635e-16+0.000893329j 5.8443e-16+0.000800254j 3.42683e-18-0.000814405j -1.06629e-16-0.000935638j -2.86288e-17+0.0012842j 1.89139e-17+0.000319984j 2.24621e-19-0.000769045j 8.10329e-17-0.000621938j 5.1828e-17-0.00022593j -1.0668e-16+0.000800801j -3.88007e-17-0.000249667j 7.64785e-17+0.000138727j 2.27957e-17+1.11351e-05j -1.25911e-18-0.000188713j 3.02093e-16+0.000861327j 1.6067e-16+0.000284888j 1.04177e-16-0.000577975j -3.56767e-19+0.000683428j -5.99578e-17+0.000212268j 2.46974e-16-0.00134055j -4.82167e-17-0.000756918j -5.804e-16-6.43303e-05j -5.90946e-16+0.00112202j 3.49842e-16-0.000623784j -9.65978e-17+0.000373809j 7.67017e-16-0.000198912j 2.02552e-17+0.000302021j 8.2544e-18+0.00101819j 1.86006e-17+0.000251583j 3.04476e-17-0.000349702j -1.57502e-18+0.000745233j 1.483e-17-0.000885102j 4.73066e-18-0.000659165j -4.49567e-19-0.000515703j -1.85227e-18+5.42565e-05j 1.24536e-18+0.000898789j -2.3989e-18+0.000884985j -2.12229e-18-0.00066829j 5.9219e-18-0.000699587j -2.69538e-17-0.000392638j 
9.72254e-17-0.00026754j 2.09396e-17+0.000479152j -1.13496e-18+0.00046458j 1.40728e-18+0.000623379j 1.04185e-18-0.000651848j 1.58355e-18-2.08146e-05j 2.69486e-21+0.000358435j 5.34756e-18+0.000461619j -5.95502e-18-0.000619619j 1.91101e-17-0.000506236j 2.50671e-18-1.11125e-05j -5.16373e-18+0.000310064j -5.90264e-19-0.00083008j 5.49726e-19+0.0001212j 1.27251e-17+0.000346844j 6.83866e-17+0.000142386j 1.0018e-16+0.000582505j 3.81084e-16+0.000521814j 2.2345e-18-0.000531042j -6.95287e-17-0.000610093j -1.86677e-17+0.000837379j 1.2333e-17+0.000208649j 1.46467e-19-0.000501464j 5.28384e-17-0.000405541j 3.3795e-17-0.00014732j -6.95619e-17+0.000522171j -2.53004e-17-0.000162798j 4.98686e-17+9.04582e-05j 1.48642e-17+7.26073e-06j -8.21013e-19-0.000123053j 1.96983e-16+0.000561637j 1.04767e-16+0.000185764j 6.793e-17-0.000376875j -2.32634e-19+0.000445636j -3.90961e-17+0.000138412j 1.61042e-16-0.000874118j -3.14402e-17-0.000493557j -3.78456e-16-4.19473e-05j -3.85332e-16+0.000731626j 2.28118e-16-0.000406745j -6.29876e-17+0.000243746j 5.00141e-16-0.000129703j 1.32076e-17+0.000196936j 5.38237e-18+0.000663921j 1.21287e-17+0.000164047j 1.98537e-17-0.000228027j -1.02701e-18+0.000485937j 9.67009e-18-0.00057714j 3.08468e-18-0.000429815j -2.93145e-19-0.00033627j -1.20779e-18+3.53785e-05j 8.12049e-19+0.000586065j -1.56423e-18+0.000577064j -1.38386e-18-0.000435765j 3.86144e-18-0.000456173j -1.75755e-17-0.000256024j 
1.74596e-17-4.80443e-05j 3.7603e-18+8.60452e-05j -2.03813e-19+8.34285e-05j 2.52718e-19+0.000111945j 1.87093e-19-0.000117058j 2.84371e-19-3.73785e-06j 4.83937e-22+6.43671e-05j 9.60305e-19+8.28967e-05j -1.06939e-18-0.00011127j 3.43176e-18-9.09089e-05j 4.5015e-19-1.99556e-06j -9.27294e-19+5.56807e-05j -1.05999e-19-0.000149064j 9.87188e-20+2.17649e-05j 2.28515e-18+6.22857e-05j 1.22807e-17+2.55695e-05j 1.79901e-17+0.000104605j 6.84343e-17+9.37065e-05j 4.01267e-19-9.53635e-05j -1.24858e-17-0.000109559j -3.35231e-18+0.000150375j 2.21474e-18+3.74689e-05j 2.63022e-20-9.0052e-05j 9.48862e-18-7.28263e-05j 6.06885e-18-2.64555e-05j -1.24918e-17+9.37705e-05j -4.5434e-18-2.9235e-05j 8.95531e-18+1.62443e-05j 2.66929e-18+1.30387e-06j -1.47436e-19-2.20976e-05j 3.53738e-17+0.000100858j 1.88138e-17+3.33592e-05j 1.21987e-17-6.76785e-05j -4.17759e-20+8.00266e-05j -7.02081e-18+2.48557e-05j 2.89196e-17-0.000156972j -5.64598e-18-8.8632e-05j -6.79624e-17-7.53281e-06j -6.91973e-17+0.000131384j 4.0965e-17-7.30426e-05j -1.13112e-17+4.37715e-05j 8.98145e-17-2.32918e-05j 2.3718e-18+3.53654e-05j 9.66556e-19+0.000119226j 2.17806e-18+2.94593e-05j 3.56529e-18-4.09487e-05j -1.84428e-19+8.72637e-05j 1.73654e-18-0.000103642j 5.53941e-19-7.71855e-05j -5.26425e-20-6.03867e-05j -2.16893e-19+6.35321e-06j 1.45826e-19+0.000105244j -2.80902e-19+0.000103628j -2.48511e-19-7.82539e-05j 6.9343e-19-8.19188e-05j -3.15618e-18-4.59762e-05j 
-1.04787e-16+0.000288347j -2.25681e-17-0.000516416j 1.22322e-18-0.000500711j -1.51673e-18-0.00067186j -1.12287e-18+0.000702543j -1.70671e-18+2.24334e-05j -2.90444e-21-0.000386311j -5.76345e-18-0.00049752j 6.41815e-18+0.000667807j -2.05963e-17+0.000545606j -2.70166e-18+1.19767e-05j 5.56532e-18-0.000334178j 6.36169e-19+0.000894636j -5.92479e-19-0.000130626j -1.37147e-17-0.000373819j -7.37051e-17-0.00015346j -1.07971e-16-0.000627807j -4.10721e-16-0.000562396j -2.40828e-18+0.000572341j 7.49361e-17+0.000657541j 2.01195e-17-0.000902503j -1.32922e-17-0.000224876j -1.57858e-19+0.000540464j -5.69477e-17+0.00043708j -3.64233e-17+0.000158778j 7.49718e-17-0.000562781j 2.7268e-17+0.000175459j -5.37469e-17-9.74933e-05j -1.60202e-17-7.82541e-06j 8.84864e-19+0.000132623j -2.12302e-16-0.000605316j -1.12914e-16-0.000200212j -7.3213e-17+0.000406185j 2.50726e-19-0.000480294j 4.21367e-17-0.000149176j -1.73566e-16+0.000942099j 3.38853e-17+0.000531941j 4.07889e-16+4.52095e-05j 4.153e-16-0.000788525j -2.45859e-16+0.000438378j 6.78863e-17-0.000262702j -5.39038e-16+0.00013979j -1.42348e-17-0.000212252j -5.80096e-18-0.000715555j -1.3072e-17-0.000176806j -2.13977e-17+0.000245761j 1.10688e-18-0.000523729j -1.04221e-17+0.000622025j -3.32458e-18+0.000463243j 3.15943e-19+0.000362422j 1.30172e-18-3.813e-05j -8.75203e-19-0.000631644j 1.68588e-18-0.000621942j 1.49148e-18+0.000469655j -4.16175e-18+0.00049165j 1.89424e-17+0.000275935j 
-1.77834e-16+0.000489355j -3.83005e-17-0.000876412j 2.07594e-18-0.00084976j -2.57405e-18-0.00114022j -1.90564e-18+0.00119229j -2.89646e-18+3.80718e-05j -4.92914e-21-0.00065561j -9.78118e-18-0.000844344j 1.08923e-17+0.00113334j -3.49541e-17+0.000925951j -4.585e-18+2.03257e-05j 9.44494e-18-0.000567135j 1.07965e-18+0.00151829j -1.0055e-18-0.000221686j -2.32754e-17-0.00063441j -1.25085e-16-0.000260438j -1.83238e-16-0.00106546j -6.97037e-16-0.000954446j -4.0871e-18+0.000971324j 1.27174e-16+0.00111592j 3.41449e-17-0.00153164j -2.25582e-17-0.000381639j -2.67901e-19+0.000917224j -9.66463e-17+0.000741772j -6.18142e-17+0.000269463j 1.27235e-16-0.000955099j 4.62767e-17+0.000297773j -9.12142e-17-0.000165456j -2.7188e-17-1.32805e-05j 1.50171e-18+0.000225075j -3.60299e-16-0.00102729j -1.91628e-16-0.00033978j -1.2425e-16+0.000689339j 4.25509e-19-0.00081511j 7.15104e-17-0.000253168j -2.9456e-16+0.00159884j 5.7507e-17+0.000902761j 6.9223e-16+7.67254e-05j 7.04808e-16-0.00133821j -4.17249e-16+0.000743974j 1.1521e-16-0.000445834j -9.14805e-16+0.000237238j -2.41579e-17-0.000360214j -9.84484e-18-0.00121437j -2.21846e-17-0.000300058j -3.63142e-17+0.000417082j 1.87849e-18-0.000888824j -1.76875e-17+0.00105564j -5.64216e-18+0.000786172j 5.36189e-19+0.000615069j 2.20916e-18-6.47106e-05j -1.48531e-18-0.00107197j 2.86112e-18-0.0010555j 2.53121e-18+0.000797055j -7.06293e-18+0.000834383j 3.21472e-17+0.000468291j 
-1.63051e-16+0.000448677j -3.51167e-17-0.000803559j 1.90337e-18-0.000779122j -2.36008e-18-0.00104544j -1.74723e-18+0.00109318j -2.65569e-18+3.4907e-05j -4.5194e-21-0.000601112j -8.9681e-18-0.000774157j 9.98685e-18+0.00103913j -3.20485e-17+0.00084898j -4.20387e-18+1.86361e-05j 8.65981e-18-0.000519991j 9.899e-19+0.00139208j -9.21916e-19-0.000203258j -2.13406e-17-0.000581674j -1.14687e-16-0.000238789j -1.68006e-16-0.000976888j -6.39095e-16-0.000875106j -3.74736e-18+0.000890581j 1.16603e-16+0.00102315j 3.13066e-17-0.00140432j -2.0683e-17-0.000349914j -2.45631e-19+0.000840979j -8.86124e-17+0.000680111j -5.66758e-17+0.000247063j 1.16658e-16-0.000875705j 4.24299e-17+0.00027302j -8.36319e-17-0.000151703j -2.49279e-17-1.21766e-05j 1.37688e-18+0.000206365j -3.30349e-16-0.000941892j -1.75698e-16-0.000311535j -1.13922e-16+0.000632036j 3.90137e-19-0.000747353j 6.5566e-17-0.000232123j -2.70074e-16+0.00146594j 5.27267e-17+0.000827717j 6.34688e-16+7.03475e-05j 6.4622e-16-0.00122697j -3.82564e-16+0.00068213j 1.05633e-16-0.000408773j -8.3876e-16+0.000217517j -2.21497e-17-0.00033027j -9.02648e-18-0.00111343j -2.03405e-17-0.000275115j -3.32955e-17+0.000382412j 1.72234e-18-0.000814939j -1.62172e-17+0.00096789j -5.17314e-18+0.00072082j 4.91618e-19+0.00056394j 2.02552e-18-5.93314e-05j -1.36184e-18-0.000982858j 2.62329e-18-0.000967762j 2.3208e-18+0.000730798j -6.47581e-18+0.000765024j 2.94749e-17+0.000429363j 
