1.95577e-14-0.0521745j 9.98052e-15+0.0465741j 1.1345e-16+0.0661617j -1.55763e-16+0.0481208j -2.43858e-16-0.0508094j -2.27293e-16-0.000938166j 9.75532e-17-0.00071944j 4.80097e-15+0.0196948j -2.52208e-15+0.0237554j 1.85023e-15+0.00302975j 6.45982e-16+0.0159252j 1.84307e-16-0.00452547j 1.3997e-17+0.00213707j -8.69855e-16-0.0158466j 3.79882e-16+0.035956j 1.30296e-15-0.0122624j -6.6248e-16-0.00237915j 3.18784e-16-0.00122388j -6.97758e-16+0.0169317j -3.93568e-17+0.0110426j 1.54959e-17-0.00185962j 2.95138e-15-0.00611377j 1.82341e-17-0.0124968j -1.45072e-15-0.00186914j -6.41625e-16-0.0115318j 1.27267e-15-0.0302575j 2.37861e-15-0.0459893j 1.41152e-15-0.00826909j -2.27414e-15+0.0446154j 3.55433e-14+0.00875681j 6.00069e-13-0.0985912j 2.86081e-14-0.0162589j 4.67168e-14+0.0664843j 3.18259e-15+0.165326j 2.61549e-16-0.0452351j -1.75698e-15-0.138549j 3.20983e-15+0.124204j -4.6959e-15-0.245359j -2.12096e-15+0.288137j -1.19359e-15+0.141707j 2.36369e-15+0.205906j -6.24141e-15-0.131217j -5.70799e-13+0.143818j -2.97904e-15+0.0107996j -6.87954e-15-0.207449j 3.45526e-15-0.166744j -1.70478e-15-0.289259j 4.95038e-15-0.168269j -8.43298e-15+0.0539125j 3.03388e-16-0.00997607j 1.86029e-15+0.00188807j 1.9063e-15-0.0168785j -2.35334e-15-3.31908e-05j 7.43851e-15-0.0678104j 1.13813e-14+0.19933j -2.45648e-14-0.232671j -3.23724e-14-0.227132j -9.94416e-15+0.16469j 1.36034e-16-0.0720455j -6.07802e-15+0.145191j -9.0255e-15+0.171689j -7.11935e-15+0.196071j 1.6066e-15+0.0782357j -2.71435e-16-0.277784j -3.72091e-15+0.211313j -5.71251e-16+0.0511101j 1.1715e-15+0.0299882j 2.91152e-16-0.153928j 4.08595e-17-0.135695j -1.12156e-16+0.117818j -1.89831e-14+0.0711854j 5.64786e-14+0.0596305j 
2.72769e-16-0.000727674j 1.39197e-16+0.000649565j 1.58228e-18+0.000922752j -2.17242e-18+0.000671137j -3.40107e-18-0.000708634j -3.17003e-18-1.30845e-05j 1.36057e-18-1.0034e-05j 6.69587e-17+0.000274682j -3.51752e-17+0.000331315j 2.5805e-17+4.22557e-05j 9.00946e-18+0.000222108j 2.57051e-18-6.31164e-05j 1.95216e-19+2.98056e-05j -1.21318e-17-0.000221012j 5.29818e-18+0.000501476j 1.81722e-17-0.000171022j -9.23956e-18-3.31817e-05j 4.44605e-18-1.70694e-05j -9.73157e-18+0.000236145j -5.48906e-19+0.000154011j 2.16119e-19-2.59359e-05j 4.11626e-17-8.52683e-05j 2.5431e-19-0.000174292j -2.02331e-17-2.60687e-05j -8.94869e-18-0.000160833j 1.77498e-17-0.000421999j 3.31743e-17-0.000641408j 1.96864e-17-0.000115328j -3.17173e-17+0.000622247j 4.9572e-16+0.00012213j 8.36912e-15-0.00137504j 3.98994e-16-0.000226762j 6.51556e-16+0.000927251j 4.43873e-17+0.00230579j 3.6478e-18-0.000630891j -2.45045e-17-0.00193234j 4.47672e-17+0.00173227j -6.54934e-17-0.003422j -2.95809e-17+0.00401862j -1.66469e-17+0.00197637j 3.29662e-17+0.00287176j -8.70484e-17-0.00183007j -7.96089e-15+0.00200582j -4.15484e-17+0.000150621j -9.59484e-17-0.00289328j 4.81902e-17-0.00232556j -2.37765e-17-0.00403427j 6.90426e-17-0.00234683j -1.17614e-16+0.000751913j 4.23132e-18-0.000139135j 2.59453e-17+2.63328e-05j 2.6587e-17-0.000235403j -3.28218e-17-4.6291e-07j 1.03744e-16-0.000945746j 1.58734e-16+0.00278004j -3.42604e-16-0.00324505j -4.51494e-16-0.00316779j -1.3869e-16+0.00229691j 1.89726e-18-0.00100481j -8.47697e-17+0.00202497j -1.25878e-16+0.00239453j -9.9293e-17+0.00273459j 2.24071e-17+0.00109115j -3.78568e-18-0.00387423j -5.18952e-17+0.00294717j -7.96719e-18+0.000712828j 1.63388e-17+0.000418242j 4.06067e-18-0.00214683j 5.69863e-19-0.00189253j -1.56423e-18+0.00164319j -2.64756e-16+0.000992817j 7.87703e-16+0.000831661j 
5.1601e-17-0.000137657j 2.63326e-17+0.000122881j 2.99327e-19+0.000174561j -4.10965e-19+0.000126962j -6.43394e-19-0.000134055j -5.99688e-19-2.47526e-06j 2.57384e-19-1.89817e-06j 1.26669e-17+5.19628e-05j -6.65424e-18+6.26763e-05j 4.88164e-18+7.99368e-06j 1.70436e-18+4.20171e-05j 4.86275e-19-1.194e-05j 3.69298e-20+5.63844e-06j -2.29502e-18-4.18097e-05j 1.00228e-18+9.48663e-05j 3.43771e-18-3.2353e-05j -1.74789e-18-6.27713e-06j 8.41078e-19-3.22909e-06j -1.84096e-18+4.46726e-05j -1.03839e-19+2.91348e-05j 4.08842e-20-4.9064e-06j 7.78691e-18-1.61306e-05j 4.81089e-20-3.29716e-05j -3.82758e-18-4.93154e-06j -1.69286e-18-3.04255e-05j 3.35781e-18-7.98313e-05j 6.27573e-18-0.000121338j 3.72415e-18-2.18171e-05j -6.00009e-18+0.000117713j 9.37775e-17+2.31039e-05j 1.58322e-15-0.000260123j 7.54795e-17-4.28976e-05j 1.23258e-16+0.000175412j 8.39694e-18+0.000436197j 6.9007e-19-0.000119348j -4.63562e-18-0.000365548j 8.4688e-18+0.0003277j -1.23897e-17-0.000647354j -5.59595e-18+0.00076022j -3.14917e-18+0.000373879j 6.23635e-18+0.000543263j -1.64673e-17-0.000346203j -1.506e-15+0.000379449j -7.8599e-18+2.84937e-05j -1.8151e-17-0.000547334j 9.11634e-18-0.000439936j -4.49789e-18-0.000763181j 1.30611e-17-0.000443959j -2.22495e-17+0.000142243j 8.00458e-19-2.63208e-05j 4.90818e-18+4.98149e-06j 5.02958e-18-4.45322e-05j -6.20904e-18-8.75706e-08j 1.96257e-17-0.000178911j 3.00283e-17+0.000525912j -6.48118e-17-0.00061388j -8.54111e-17-0.000599264j -2.62366e-17+0.000434517j 3.58913e-19-0.000190085j -1.60362e-17+0.000383072j -2.38129e-17+0.000452983j -1.87837e-17+0.000517314j 4.23884e-18+0.000206417j -7.16154e-19-0.000732905j -9.81723e-18+0.000557528j -1.50719e-18+0.000134849j 3.09087e-18+7.91207e-05j 7.68174e-19-0.000406124j 1.07803e-19-0.000358017j -2.95912e-19+0.000310849j -5.0085e-17+0.000187816j 1.49013e-16+0.000157329j 
2.47071e-16-0.000659118j 1.26083e-16+0.000588368j 1.43321e-18+0.000835817j -1.96775e-18+0.000607907j -3.08064e-18-0.000641872j -2.87137e-18-1.18518e-05j 1.23238e-18-9.08865e-06j 6.06503e-17+0.000248804j -3.18613e-17+0.000300101j 2.33738e-17+3.82747e-05j 8.16066e-18+0.000201182j 2.32834e-18-5.717e-05j 1.76824e-19+2.69975e-05j -1.09888e-17-0.00020019j 4.79902e-18+0.000454231j 1.64602e-17-0.00015491j -8.36908e-18-3.00556e-05j 4.02717e-18-1.54612e-05j -8.81474e-18+0.000213897j -4.97192e-19+0.000139501j 1.95758e-19-2.34924e-05j 3.72846e-17-7.72349e-05j 2.30351e-19-0.000157871j -1.83269e-17-2.36127e-05j -8.10561e-18-0.000145681j 1.60776e-17-0.000382241j 3.00489e-17-0.00058098j 1.78317e-17-0.000104463j -2.87291e-17+0.000563623j 4.49017e-16+0.000110624j 7.58064e-15-0.0012455j 3.61404e-16-0.000205398j 5.90171e-16+0.000839893j 4.02055e-17+0.00208856j 3.30413e-18-0.000571453j -2.21959e-17-0.00175029j 4.05496e-17+0.00156906j -5.93231e-17-0.0030996j -2.6794e-17+0.00364002j -1.50786e-17+0.00179018j 2.98604e-17+0.0026012j -7.88474e-17-0.00165766j -7.21088e-15+0.00181684j -3.76341e-17+0.000136431j -8.69089e-17-0.0026207j 4.36501e-17-0.00210646j -2.15364e-17-0.00365419j 6.25379e-17-0.00212573j -1.06533e-16+0.000681073j 3.83268e-18-0.000126027j 2.35009e-17+2.38519e-05j 2.40822e-17-0.000213225j -2.97296e-17-4.19298e-07j 9.39703e-17-0.000856645j 1.43779e-16+0.00251813j -3.10326e-16-0.00293933j -4.08958e-16-0.00286934j -1.25624e-16+0.00208051j 1.71852e-18-0.000910146j -7.67833e-17+0.00183419j -1.14019e-16+0.00216893j -8.99383e-17+0.00247696j 2.02961e-17+0.000988347j -3.42902e-18-0.00350923j -4.7006e-17+0.00266951j -7.21658e-18+0.000645671j 1.47995e-17+0.000378839j 3.6781e-18-0.00194457j 5.16175e-19-0.00171423j -1.41686e-18+0.00148838j -2.39813e-16+0.000899282j 7.13491e-16+0.000753308j 
3.40612e-17-9.08658e-05j 1.73818e-17+8.11122e-05j 1.97582e-19+0.000115226j -2.71273e-19+8.38059e-05j -4.24697e-19-8.84883e-05j -3.95847e-19-1.63389e-06j 1.69896e-19-1.25296e-06j 8.36123e-18+3.43e-05j -4.39238e-18+4.13718e-05j 3.22231e-18+5.27653e-06j 1.12503e-18+2.77349e-05j 3.20984e-19-7.88144e-06j 2.43769e-20+3.72187e-06j -1.51492e-18-2.75981e-05j 6.61592e-19+6.26201e-05j 2.26919e-18-2.13558e-05j -1.15376e-18-4.14346e-06j 5.55185e-19-2.13148e-06j -1.2152e-18+2.94878e-05j -6.85427e-20+1.92315e-05j 2.69872e-20-3.23866e-06j 5.14004e-18-1.06476e-05j 3.17561e-20-2.17641e-05j -2.52653e-18-3.25525e-06j -1.11744e-18-2.00835e-05j 2.21645e-18-5.26957e-05j 4.14253e-18-8.00937e-05j 2.45827e-18-1.44012e-05j -3.96058e-18+7.7701e-05j 6.19013e-17+1.52506e-05j 1.04506e-15-0.000171704j 4.98231e-17-2.83161e-05j 8.13608e-17+0.000115787j 5.54272e-18+0.000287928j 4.55507e-19-7.87803e-05j -3.05992e-18-0.000241294j 5.59015e-18+0.000216311j -8.17826e-18-0.00042731j -3.69381e-18+0.000501812j -2.07873e-18+0.000246793j 4.11654e-18+0.000358601j -1.08699e-17-0.000228524j -9.94089e-16+0.00025047j -5.18822e-18+1.88083e-05j -1.19812e-17-0.000361288j 6.01758e-18-0.000290396j -2.969e-18-0.000503766j 8.62145e-18-0.000293052j -1.46866e-17+9.38925e-05j 5.28372e-19-1.73741e-05j 3.23983e-18+3.28822e-06j 3.31996e-18-2.93952e-05j -4.09851e-18-5.78043e-08j 1.29547e-17-0.000118097j 1.98213e-17+0.000347148j -4.27815e-17-0.000405214j -5.63788e-17-0.000395566j -1.73185e-17+0.000286819j 2.36914e-19-0.000125472j -1.05853e-17+0.000252861j -1.57186e-17+0.000299008j -1.23989e-17+0.000341473j 2.79801e-18+0.000136253j -4.72724e-19-0.000483781j -6.48023e-18+0.000368017j -9.94875e-19+8.9012e-05j 2.04025e-18+5.22266e-05j 5.07062e-19-0.000268078j 7.11597e-20-0.000236323j -1.95327e-19+0.000205188j -3.30605e-17+0.000123975j 9.83617e-17+0.000103851j 
9.99353e-17-0.0002666j 5.09982e-17+0.000237983j 5.79705e-19+0.000338071j -7.95914e-19+0.000245886j -1.24606e-18-0.000259624j -1.16141e-18-4.79381e-06j 4.98474e-19-3.67617e-06j 2.45318e-17+0.000100636j -1.28872e-17+0.000121385j 9.45424e-18+1.54813e-05j 3.30082e-18+8.13742e-05j 9.41766e-19-2.31241e-05j 7.15217e-20+1.09199e-05j -4.44476e-18-8.09727e-05j 1.94111e-18+0.000183727j 6.6578e-18-6.26579e-05j -3.38512e-18-1.21569e-05j 1.62891e-18-6.25376e-06j -3.56538e-18+8.65172e-05j -2.01104e-19+5.64252e-05j 7.91803e-20-9.5022e-06j 1.50809e-17-3.124e-05j 9.31722e-20-6.38558e-05j -7.41284e-18-9.55088e-06j -3.27856e-18-5.8925e-05j 6.50305e-18-0.000154609j 1.21542e-17-0.000234995j 7.21254e-18-4.22531e-05j -1.16203e-17+0.000227974j 1.81618e-16+4.47453e-05j 3.06622e-15-0.000503778j 1.46181e-16-8.30795e-05j 2.38712e-16+0.00033972j 1.62623e-17+0.00084478j 1.33645e-18-0.000231141j -8.97778e-18-0.000707955j 1.64015e-17+0.000634655j -2.3995e-17-0.00125373j -1.08376e-17+0.00147231j -6.09897e-18+0.00072409j 1.20779e-17+0.00105213j -3.18922e-17-0.000670489j -2.91665e-15+0.000734877j -1.52222e-17+5.51836e-05j -3.51529e-17-0.00106002j 1.76556e-17-0.000852022j -8.71104e-18-0.00147805j 2.52953e-17-0.000859813j -4.30906e-17+0.00027548j 1.55024e-18-5.09754e-05j 9.50565e-18+9.64762e-06j 9.74076e-18-8.62453e-05j -1.2025e-17-1.69598e-07j 3.80091e-17-0.000346495j 5.81557e-17+0.00101853j -1.25521e-16-0.0011889j -1.65415e-16-0.00116059j -5.08123e-17+0.000841526j 6.95105e-19-0.000368136j -3.10573e-17+0.000741893j -4.61182e-17+0.000877289j -3.63782e-17+0.00100188j 8.20934e-18+0.000399766j -1.38697e-18-0.00141941j -1.9013e-17+0.00107976j -2.91896e-18+0.000261161j 5.98608e-18+0.000153233j 1.48772e-18-0.000786539j 2.08782e-19-0.00069337j -5.7309e-19+0.00060202j -9.69994e-17+0.000363741j 2.88593e-16+0.000304698j 
6.51639e-17-0.000173839j 3.32539e-17+0.000155179j 3.78003e-19+0.000220443j -5.18984e-19+0.000160333j -8.12505e-19-0.000169291j -7.57312e-19-3.12586e-06j 3.25036e-19-2.39709e-06j 1.59962e-17+6.56208e-05j -8.40326e-18+7.91503e-05j 6.16474e-18+1.00948e-05j 2.15234e-18+5.30609e-05j 6.14088e-19-1.50783e-05j 4.66365e-20+7.12046e-06j -2.89825e-18-5.27991e-05j 1.26572e-18+0.000119801j 4.34129e-18-4.08567e-05j -2.2073e-18-7.92702e-06j 1.06215e-18-4.07783e-06j -2.32485e-18+5.64144e-05j -1.31132e-19+3.67927e-05j 5.16303e-20-6.19601e-06j 9.83364e-18-2.03704e-05j 6.07539e-20-4.16379e-05j -4.83362e-18-6.22775e-06j -2.13782e-18-3.84226e-05j 4.24038e-18-0.000100814j 7.92525e-18-0.000153231j 4.70302e-18-2.75516e-05j -7.57717e-18+0.000148653j 1.18426e-16+2.91766e-05j 1.99936e-15-0.000328494j 9.53186e-17-5.41728e-05j 1.55655e-16+0.000221518j 1.0604e-17+0.000550848j 8.71449e-19-0.000150718j -5.85406e-18-0.000461629j 1.06948e-17+0.000413833j -1.56462e-17-0.000817505j -7.0668e-18+0.000960038j -3.9769e-18+0.00047215j 7.87553e-18+0.000686055j -2.07956e-17-0.0004372j -1.90183e-15+0.000479184j -9.92581e-18+3.5983e-05j -2.29218e-17-0.000691196j 1.15125e-17-0.00055557j -5.68013e-18-0.000963777j 1.64941e-17-0.000560651j -2.80977e-17+0.00017963j 1.01085e-18-3.32391e-05j 6.19826e-18+6.29083e-06j 6.35157e-18-5.62372e-05j -7.84104e-18-1.10588e-07j 2.47842e-17-0.000225936j 3.7921e-17+0.000664144j -8.18471e-17-0.000775233j -1.07861e-16-0.000756775j -3.31327e-17+0.000548726j 4.5325e-19-0.000240047j -2.02512e-17+0.000483759j -3.00719e-17+0.000572046j -2.37208e-17+0.000653286j 5.35299e-18+0.000260672j -9.04389e-19-0.000925543j -1.23976e-17+0.00070407j -1.90334e-18+0.000170293j 3.90329e-18+9.99169e-05j 9.70082e-19-0.000512871j 1.36139e-19-0.000452119j -3.73689e-19+0.000392554j -6.32495e-17+0.000237181j 1.8818e-16+0.000198681j 
1.1702e-17-3.12177e-05j 5.97167e-18+2.78668e-05j 6.78811e-20+3.95867e-05j -9.31983e-20+2.87923e-05j -1.45908e-19-3.04009e-05j -1.35997e-19-5.61336e-07j 5.83693e-20-4.30465e-07j 2.87258e-18+1.17841e-05j -1.50904e-18+1.42137e-05j 1.10705e-18+1.8128e-06j 3.86512e-19+9.52858e-06j 1.10277e-19-2.70774e-06j 8.37489e-21+1.27868e-06j -5.20463e-19-9.48157e-06j 2.27296e-19+2.15137e-05j 7.79601e-19-7.33698e-06j -3.96384e-19-1.42352e-06j 1.90739e-19-7.32289e-07j -4.17492e-19+1.01308e-05j -2.35485e-20+6.60716e-06j 9.27168e-21-1.11267e-06j 1.76591e-18-3.65807e-06j 1.09101e-20-7.47725e-06j -8.68013e-19-1.11837e-06j -3.83905e-19-6.89987e-06j 7.6148e-19-1.81041e-05j 1.4232e-18-2.75169e-05j 8.44559e-19-4.94767e-06j -1.36069e-18+2.66948e-05j 2.12667e-17+5.23948e-06j 3.59041e-16-5.89904e-05j 1.71171e-17-9.72826e-06j 2.79522e-17+3.97798e-05j 1.90425e-18+9.89202e-05j 1.56493e-19-2.70657e-05j -1.05126e-18-8.28986e-05j 1.92055e-18+7.43155e-05j -2.80971e-18-0.000146806j -1.26904e-18+0.000172402j -7.14165e-19+8.47879e-05j 1.41427e-18+0.000123201j -3.73444e-18-7.85115e-05j -3.41528e-16+8.60511e-05j -1.78246e-18+6.46177e-06j -4.11626e-18-0.000124124j 2.06739e-18-9.97682e-05j -1.02003e-18-0.000173073j 2.96198e-18-0.000100681j -5.04573e-18+3.22576e-05j 1.81527e-19-5.96901e-06j 1.11307e-18+1.1297e-06j 1.1406e-18-1.0099e-05j -1.40808e-18-1.98592e-08j 4.4507e-18-4.05732e-05j 6.80979e-18+0.000119266j -1.4698e-17-0.000139215j -1.93694e-17-0.0001359j -5.94992e-18+9.85392e-05j 8.13939e-20-4.31072e-05j -3.63668e-18+8.68726e-05j -5.40025e-18+0.000102727j -4.25974e-18+0.000117316j 9.6128e-19+4.6811e-05j -1.62409e-19-0.000166207j -2.22634e-18+0.000126436j -3.41798e-19+3.05808e-05j 7.00945e-19+1.79429e-05j 1.74206e-19-9.21004e-05j 2.44476e-20-8.11907e-05j -6.71065e-20+7.04941e-05j -1.13582e-17+4.25926e-05j 3.3793e-17+3.56789e-05j 
-7.02317e-17+0.000187359j -3.58401e-17-0.000167248j -4.07401e-19-0.000237587j 5.59346e-19-0.000172802j 8.75695e-19+0.000182457j 8.16209e-19+3.36896e-06j -3.50314e-19+2.58351e-06j -1.72403e-17-7.07242e-05j 9.05679e-18-8.53059e-05j -6.64418e-18-1.08798e-05j -2.31972e-18-5.71875e-05j -6.61847e-19+1.6251e-05j -5.02634e-20-7.67423e-06j 3.12365e-18+5.69053e-05j -1.36416e-18-0.000129118j -4.67892e-18+4.40342e-05j 2.37897e-18+8.54352e-06j -1.14475e-18+4.39497e-06j 2.50565e-18-6.08018e-05j 1.4133e-19-3.96541e-05j -5.56457e-20+6.67788e-06j -1.05984e-17+2.19546e-05j -6.54788e-20+4.48761e-05j 5.20954e-18+6.71209e-06j 2.30408e-18+4.14108e-05j -4.57016e-18+0.000108655j -8.54161e-18+0.000165148j -5.06877e-18+2.96943e-05j 8.16645e-18-0.000160214j -1.27636e-16-3.14457e-05j -2.15485e-15+0.000354041j -1.02732e-16+5.83859e-05j -1.6776e-16-0.000238745j -1.14287e-17-0.000593688j -9.39223e-19+0.00016244j 6.30933e-18+0.000497531j -1.15265e-17-0.000446018j 1.6863e-17+0.000881084j 7.61639e-18-0.0010347j 4.28619e-18-0.00050887j -8.48802e-18-0.000739411j 2.24129e-17+0.000471201j 2.04974e-15-0.000516451j 1.06977e-17-3.87815e-05j 2.47045e-17+0.000744952j -1.24078e-17+0.000598777j 6.12188e-18+0.00103873j -1.77768e-17+0.000604253j 3.02828e-17-0.0001936j -1.08947e-18+3.58241e-05j -6.6803e-18-6.78008e-06j -6.84553e-18+6.06108e-05j 8.45085e-18+1.19188e-07j -2.67117e-17+0.000243507j -4.08702e-17-0.000715795j 8.82125e-17+0.000835524j 1.16249e-16+0.000815631j 3.57095e-17-0.000591401j -4.885e-19+0.000258716j 2.18262e-17-0.000521382j 3.24106e-17-0.000616534j 2.55656e-17-0.000704093j -5.7693e-18-0.000280945j 9.74725e-19+0.000997524j 1.33618e-17-0.000758826j 2.05136e-18-0.000183536j -4.20685e-18-0.000107688j -1.04553e-18+0.000552757j -1.46726e-19+0.000487281j 4.02752e-19-0.000423083j 6.81684e-17-0.000255627j -2.02815e-16-0.000214133j 
-1.19191e-16+0.000317968j -6.08244e-17-0.000283837j -6.91402e-19-0.00040321j 9.4927e-19-0.000293263j 1.48615e-18+0.000309648j 1.38519e-18+5.71748e-06j -5.9452e-19+4.3845e-06j -2.92586e-17-0.000120026j 1.53703e-17-0.000144773j -1.12759e-17-1.84642e-05j -3.93682e-18-9.70533e-05j -1.12322e-18+2.75796e-05j -8.53024e-20-1.3024e-05j 5.30117e-18+9.65744e-05j -2.31512e-18-0.000219127j -7.94062e-18+7.47307e-05j 4.03736e-18+1.44993e-05j -1.94277e-18+7.45873e-06j 4.25236e-18-0.000103187j 2.39853e-19-6.72972e-05j -9.44367e-20+1.13331e-05j -1.79866e-17+3.72593e-05j -1.11125e-19+7.61595e-05j 8.84114e-18+1.13911e-05j 3.91026e-18+7.02786e-05j -7.75605e-18+0.000184399j -1.4496e-17+0.000280273j -8.60225e-18+5.03944e-05j 1.38593e-17-0.0002719j -2.16612e-16-5.33667e-05j -3.65701e-15+0.000600846j -1.74347e-16+9.90871e-05j -2.84707e-16-0.000405176j -1.93957e-17-0.00100755j -1.59396e-18+0.000275677j 1.07076e-17+0.000844363j -1.95617e-17-0.000756939j 2.86183e-17+0.00149529j 1.29258e-17-0.001756j 7.27412e-18-0.000863606j -1.44051e-17-0.00125486j 3.80371e-17+0.000799678j 3.47863e-15-0.000876472j 1.81552e-17-6.58163e-05j 4.19261e-17+0.00126426j -2.10574e-17+0.00101619j 1.03895e-17+0.00176284j -3.01692e-17+0.00102548j 5.13932e-17-0.00032856j -1.84894e-18+6.07973e-05j -1.13372e-17-1.15065e-05j -1.16176e-17+0.000102863j 1.4342e-17+2.02275e-07j -4.53326e-17+0.000413258j -6.93611e-17-0.00121478j 1.49706e-16+0.00141797j 1.97287e-16+0.00138421j 6.06028e-17-0.00100367j -8.29037e-19+0.000439068j 3.70414e-17-0.00088484j 5.50042e-17-0.00104632j 4.33876e-17-0.00119492j -9.79111e-18-0.000476793j 1.65421e-18+0.0016929j 2.26764e-17-0.00128781j 3.48138e-18-0.000311481j -7.13947e-18-0.000182757j -1.77437e-18+0.000938088j -2.4901e-19+0.000826967j 6.83512e-19-0.000718017j 1.15689e-16-0.000433826j -3.44198e-16-0.000363407j 
-1.09283e-16+0.000291536j -5.57683e-17-0.000260243j -6.33929e-19-0.000369693j 8.70361e-19-0.000268885j 1.36261e-18+0.000283908j 1.27005e-18+5.2422e-06j -5.451e-19+4.02003e-06j -2.68264e-17-0.000110049j 1.40927e-17-0.000132739j -1.03385e-17-1.69294e-05j -3.60957e-18-8.89856e-05j -1.02985e-18+2.5287e-05j -7.82115e-20-1.19413e-05j 4.8605e-18+8.85465e-05j -2.12267e-18-0.000200912j -7.28054e-18+6.85186e-05j 3.70175e-18+1.3294e-05j -1.78127e-18+6.83871e-06j 3.89887e-18-9.46096e-05j 2.19914e-19-6.1703e-05j -8.65865e-20+1.0391e-05j -1.64915e-17+3.4162e-05j -1.01887e-19+6.98286e-05j 8.10621e-18+1.04442e-05j 3.58522e-18+6.44365e-05j -7.11132e-18+0.00016907j -1.3291e-17+0.000256975j -7.88717e-18+4.62053e-05j 1.27073e-17-0.000249298j -1.98606e-16-4.89305e-05j -3.35302e-15+0.0005509j -1.59854e-16+9.08503e-05j -2.6104e-16-0.000371495j -1.77834e-17-0.000923797j -1.46146e-18+0.000252761j 9.81752e-18+0.000774174j -1.79356e-17-0.000694018j 2.62394e-17+0.00137099j 1.18513e-17-0.00161003j 6.66945e-18-0.000791818j -1.32076e-17-0.00115055j 3.48752e-17+0.000733204j 3.18946e-15-0.000803614j 1.6646e-17-6.03452e-05j 3.84409e-17+0.00115917j -1.9307e-17+0.000931716j 9.52584e-18+0.0016163j -2.76613e-17+0.000940237j 4.71211e-17-0.000301248j -1.69524e-18+5.57434e-05j -1.03948e-17-1.055e-05j -1.06519e-17+9.43123e-05j 1.31498e-17+1.85461e-07j -4.15643e-17+0.000378905j -6.35953e-17-0.0011138j 1.37261e-16+0.0013001j 1.80887e-16+0.00126915j 5.55651e-17-0.000920238j -7.60122e-19+0.00040257j 3.39623e-17-0.000811287j 5.04319e-17-0.000959347j 3.97809e-17-0.00109559j -8.97721e-18-0.000437159j 1.5167e-18+0.00155218j 2.07914e-17-0.00118076j 3.19199e-18-0.000285589j -6.54599e-18-0.000167565j -1.62687e-18+0.000860108j -2.28311e-19+0.000758224j 6.26694e-19-0.000658331j 1.06072e-16-0.000397764j -3.15586e-16-0.000333198j 
