0.00600852+0.00422416j -0.00241955+0.00381197j 0.00644957+0.00695858j 0.00179745+0.00651043j -0.007578-0.0117513j -0.00185825-0.00276602j 0.00985018+0.0136619j 0.00127194+0.00194131j -0.00466635-0.00615542j -0.000891591-0.000625072j -0.00584323+0.0291348j 0.000811478+0.0240167j -0.00172755+0.0123119j -0.0114934+0.00958205j -0.0038238-0.00565472j 
0.000250151-6.60947e-05j -0.000361134+0.000719557j 0.00820383+0.0101716j -0.00239003-0.00615625j 0.00676494+0.0167339j 0.00282884+0.0231985j 0.00376795+0.00969449j -1.43002e-05-0.00168083j -0.00120035+0.00987135j -0.000498325+0.0236684j 0.0043664-0.0191332j 0.00275214-0.00672049j -0.00315006+0.0124725j -0.000295801-0.00392768j 0.000260097-0.00243015j 
-0.00104132+0.00183815j 0.00327687-2.6157e-05j -0.00465842+0.0057074j 0.00273736+0.00332284j -0.000581725-0.00406153j 0.00910596+0.00651068j -0.00816295+0.00308879j -0.00098659+0.000319155j 0.00413977-0.00105326j 0.00811999+0.00767512j 0.0150778+0.022849j -0.00319217+0.0127249j -0.0130907+0.00339713j 0.00660599+0.0273415j -0.00131214+0.017758j 
0.00398819-0.00575247j -0.000385958+0.00654561j 0.0106158-0.0100576j 0.00491557-0.00444504j -0.015206+0.00923504j -0.00508266+0.0021798j 0.0258598-0.00772438j 0.0038806-0.00167335j -0.0173103+8.55266e-05j -0.00148554+0.00168882j 0.0291711-6.66705e-05j 0.03475-0.00128007j 0.0209688-0.000471184j 0.00704357+0.00970628j -0.00917739-0.000894368j 
-0.00290352-0.00747081j 0.0028504-0.000754908j 0.00141384-0.0105054j 0.00401426-0.0205999j -0.000994559+0.00811408j -0.00228622+0.000478802j -0.00790571+0.0191164j 0.000363539-0.00214795j 0.01517-0.0233471j -0.00358063+0.00360377j 0.00479854-0.0065794j -0.00407586+0.00235616j 0.00627763-0.00559421j 0.00082704-0.00171522j -0.00248776+0.000895853j 
0.000130677+2.0133e-05j -0.000272248+0.000368213j -0.0166039+0.00898782j 0.00731999-0.00205255j -0.0222905+0.00887698j -0.0338832+0.0024824j -0.0131709+0.000900213j 0.00210223-4.99015e-06j -0.0141316-0.000780415j -0.034588-0.00260606j 0.022532+0.0090458j 0.0075139+0.00214966j -0.0165371-0.00894843j 0.000305458+0.000275294j -5.3054e-05-5.19805e-05j 
-0.00203526+0.00122847j -0.00326706-0.00673691j -0.000262075+0.0040309j -0.0109282-0.0041201j 0.00332217-0.00492788j -0.00306238-0.00362628j 0.0139702+0.0233452j -0.000720313+0.00237331j -0.00921533-0.0245064j -0.000674132+0.000172753j -0.00346372+0.00466451j 0.000557426+0.0213949j -0.00115145+0.00994254j -0.00378045-0.00478481j 0.00484842-0.00674349j 
0.00764262+0.00166152j -0.0109031+0.00758888j 0.0194622+0.00214638j 0.0320273+0.00120011j -0.0298799-0.00225612j -0.000877362-0.0018483j -0.0150636+0.00464061j 0.00404614+0.00145978j 0.0218425+0.00879647j -0.00446749-0.00201343j 0.0137459+0.0124079j 0.00503009+0.00880053j 0.0080441+0.0160059j 0.00122843+0.000433547j 0.000228183-0.00834623j 
-0.000436627-0.00393946j 0.00198078-0.00549145j 0.00653586+0.0126208j -0.00236003-0.00233531j 0.0110807+0.010832j -0.0023412+0.0248069j -0.000659518+0.00810922j 0.000483305-0.00157334j -0.00124445+0.0101855j -0.00587559+0.0243354j 0.00615279-0.015624j 0.00174616-0.00587515j -0.00541049+0.0108185j 0.000579804-0.00101567j -0.000379-0.000445385j 
-0.00279454+0.0174451j -0.00792127+0.0206677j -0.0110946-0.00109664j -0.00423487-0.0122617j -0.0182616+0.0282034j 0.00940151+0.00235179j 0.0061645+0.00179087j -0.00327927+0.000426212j -0.00933694-0.00068824j 0.00950378+0.00325829j 0.0013281-0.00972178j -0.00111154-0.00385306j -0.0125412-0.00252008j -0.00245937-0.00135612j 0.0026718+0.00317631j 
-0.00746404+0.00602607j -0.0165407-0.01208j -0.000258316+0.0120427j -0.00142439+0.0249881j -0.0038359-0.0302645j 0.00110051+0.00128443j 0.00471575-0.00788637j -0.000977068+0.00364917j -0.0116595+0.0084366j 0.00216144-0.000599494j -0.00875963+0.00876766j -0.00153179+0.00797131j -0.00704446+0.00519468j -0.00385803-0.00177873j 0.00493415-0.00316475j 
0.0234542-0.000444189j 0.0273842+0.00839661j 0.00267249+0.0119863j -0.00793305+0.00245681j 0.0251562+0.0253079j -0.00438532-0.0119132j 0.000755699-0.00650804j 0.00137609+0.00402439j 0.00229212+0.0096159j -0.00352943-0.0124051j -0.00402552+0.000262497j -0.00123287+0.00281198j -0.00139866+0.0157255j 0.000129617+0.00272242j 0.00276327-0.00520995j 
0.00312791+0.0167778j -0.00915615+0.0211067j -0.00345864+0.00534517j 0.00428182-0.00153558j -0.0198973+0.0133209j 0.00672245-0.00327529j 0.00208282+0.000295631j -0.000796512+0.00173571j -0.00485106+0.00478356j 0.00641282-0.00317176j 0.00126939-0.000477543j 0.00146287+0.00119896j -0.00692114+0.00314018j -0.00364059+0.00115693j 0.00261575-0.00145394j 
