-0.00248877-0.000927209j -0.00756133+0.00821895j 0.00424419-0.00022509j -0.0557177+0.00463754j -0.00297257-5.53734e-05j 0.0324259+0.00922248j 0.000413377-0.00285955j -0.00052011+0.000670424j 0.00163943+0.000569003j -6.72791e-05+2.91303e-05j 0.000773228-0.00147344j 0.000908341-0.00139094j 2.46095e-05+0.000269016j 0.00036878-2.32807e-05j -0.00100679-0.000532172j -0.000106545-0.000143936j 0.00106161-0.000202245j 0.000106613+0.000262417j 
0.00386205+0.00445292j 0.00728123-0.0217423j 0.0125343-0.0181124j 0.0058428-0.0124719j 0.0173074-0.0142819j 0.0226662-0.015193j -0.00835787+0.000333321j 0.00392945+0.000196871j 0.00293552-0.0186295j 0.00477182-0.00882812j -0.00867849+0.00997138j -0.00748279+0.0119464j 0.0205027-0.0183947j 0.00567919-0.00253064j -0.0179855+0.0132605j -0.0105037+0.0053463j -0.0130357-0.00014061j 0.00136454-0.00291428j 
-0.00407106+0.00475041j 0.0247558+0.0107346j 0.018458+0.0139835j 0.0117356+0.00762974j 0.0151759+0.0176774j 0.0170379+0.0246959j -0.000504446-0.0076797j 0.00306048-0.00135829j -0.0142737-0.0068046j -0.00886207-0.00619065j 0.00832827+0.00630358j 0.00906164+0.00460433j -0.0183725-0.0217145j -0.00112187-0.00388253j 0.00865379+0.0143721j 0.00557011+0.0110018j 0.00229607+0.0111651j -0.00199379+0.000164711j 
0.0117067+0.00615659j -0.00375195-0.00875059j -0.0146548-0.020708j 0.00169944+0.00638579j -0.00112102+0.00821224j 0.00212835+0.0130919j 0.00724898-0.0139696j 0.0105462+0.00338519j -0.00991221-0.019273j -0.0127719-0.02466j -0.00330701-0.0153961j -0.00139199-0.00274793j -0.00297621-0.00955657j -0.00116371+0.0236002j -0.00152772-0.00333609j 0.0056611-0.0115658j 0.0116249-0.0264188j 0.00801053+0.00204548j 
0.00678714+0.00802785j -0.0073389-0.0183863j 0.010717+0.0146683j -0.00285403-0.00368005j -0.00685192+0.0278436j -0.00199929-0.0100089j 0.00193411+0.0015652j 0.00713983+0.00160419j -0.0117823-0.0235803j 0.00525777+0.00381034j 0.00328474-0.00630084j 9.22359e-05+0.0208785j -0.00100303+0.0287161j 0.000286435-0.0140564j -0.00196025+0.0184345j 0.00918017-0.0143452j -0.00164806-0.000421281j 0.000661656-0.000982963j 
0.00861107-0.010197j -0.00580179-0.00105238j -0.0406977+0.0188479j 0.012857-0.00302351j -0.00130094+0.00136885j 0.0264489-0.00194338j -0.0217168-0.0065876j -0.00074234-0.00194713j -0.00482743+0.00178687j 0.00111989+0.00292831j -0.00181017+0.00299384j -0.00176983+0.00256182j -0.00087099+0.00358166j -0.00259315-0.0034997j -0.00294124+0.00349185j 0.000390887+0.00144562j -0.00597991+0.00126392j 0.000415602-0.00110928j 
0.0147665-0.0125737j -0.0348742+0.00607065j 0.00839321+0.00147502j -0.0020381+0.000481912j 0.0402356+0.0126731j -0.00880924-0.00439423j -0.00616886-0.00047152j -0.00354241-0.0017746j -0.00448961+0.00614837j -0.000462375-0.00314755j 0.00210891+0.00242043j -0.00202587-0.00420788j 0.00134495-0.00573957j -0.000891149+0.00469167j 0.00282642-0.00209437j -0.00167464+0.00251483j -0.0026132-0.00159152j -1.7036e-05-0.000823961j 
-0.00621436-0.00278767j 0.00333011-0.00580685j 0.00890743+0.0326981j -0.0015648-0.0117688j -0.008049+0.00500225j 0.001999-0.0233814j -0.00207656+0.0142625j 0.00135933+0.0017631j 0.00249744+0.00261907j -0.00785218-0.0198168j -0.0020113-0.0046288j -0.000705737-0.0119744j -0.000887261-0.0209076j -0.00337545+0.0287193j 0.00120655-0.00921154j -0.00133265-0.00209627j 0.00604262-0.0168842j 0.00341094-0.00159169j 
0.00784119+0.0160684j -0.000505964-0.0285262j -0.00244709-0.00560188j -0.00135162+0.00285954j -0.00901217+0.0290721j 0.000888613+0.000799829j 0.00193906-0.0085045j -0.00667604-0.00880724j 0.00798484+0.0216934j 0.000110883+0.0116523j -0.00266286+0.0155755j 6.30013e-05-0.0203383j 0.00225126-0.0163037j 8.70888e-06-0.00312599j 0.000964551-0.0123765j -0.00767452+0.0192529j -0.00116784+0.0101316j -0.00230001+0.00243479j 
0.00950923-0.000123367j 0.0055085-0.000796136j -0.0101427+0.00391766j -0.00332701+0.00178354j 0.0156443-0.00221709j -0.000816724+0.00105775j 0.0198897+0.0177563j 0.0111288-0.00232622j 0.00137868-0.00253684j -0.0207172-0.00338702j -0.00637982-0.00373313j 0.000510494-0.000988161j 0.0153519+0.00978369j 0.0210598+0.00503684j -0.00129442-0.00222063j 0.00577967+0.00809824j 0.020018+0.0245494j 0.00391757+0.0233847j 
0.0130327+0.00866705j -0.000164344+0.00243639j 0.00180172-0.00196554j 0.006935+0.00238663j -0.0237842-0.00605279j 0.00935118+0.00736457j -0.0149927+0.0117431j 0.0162454+0.00297084j -0.0057871-0.00454581j -0.00548903-0.00920861j -0.0191823-0.00939915j 0.00592599-0.00248443j -0.00820485+0.00177858j -0.0269986-0.0230017j -0.0186299-0.0223354j 0.00816972+0.0216752j -0.010164-0.00366434j -0.00433412+0.00563866j 
