0.117937-0.115974j 0.2115-0.155539j 0.0184798+0.0139413j -0.00899336-0.0247983j -0.00537557+0.0587018j -0.0014939+0.00438791j 0.0034789+0.0131707j -0.00480136-0.00499337j 0.00190385+0.0139658j 0.00299973+0.00330306j 0.00392855+0.0166029j 0.00139846-0.00477577j -0.00324989-0.00763824j -0.0224606+0.0391958j -0.0135777+0.00725882j 0.000936694-0.000558166j 0.00138131+0.00357342j -0.000564594+0.00114633j 0.00182865+0.00547796j 8.55159e-06-0.00947303j 0.000759719+0.00331825j -0.00048812-0.00488212j -0.00104278+0.00271699j 0.00124329+0.00558456j 0.00271012-0.00153479j -0.00220576+0.0120924j 0.00152752+0.00135649j -0.00281427-0.00405464j -0.0015728+0.01915j -0.00180307+0.0068002j -0.000909974-0.00518795j 5.006e-05-0.0149345j -0.0304149+0.0111727j -0.00475508+0.00581881j -0.0116587-0.00657629j -0.000195233-0.000680698j 
-0.107922-0.140878j -0.261326-0.278364j 0.000751805-0.00513741j -0.0133199-0.000865198j 0.054252-0.00497452j 0.00457072-0.000502391j -0.00133369+0.0108204j 0.0042742-0.00124577j -0.00273997+0.00627401j -0.00112109+0.0010687j -0.00723625+0.00159466j 0.00109096-0.0015157j 0.0105005+0.0012209j 0.017516+0.000346824j -0.000138475+0.0011812j -0.000200264-0.00141731j -0.00165121+0.00686476j 0.00447525-6.94487e-05j -0.00526962+0.00901516j 0.00479314-0.00798791j -0.00201783+0.0026565j 0.00698012-0.00150017j -0.00524315+0.00566847j -0.00221415+0.00680144j 0.000236899-0.00194717j -0.0076341+0.00997081j -0.00284931-0.00139289j 0.000449838-6.75426e-05j -0.0164393-0.0111659j -0.00617929+0.00545324j 0.00186965+0.000235661j 0.0100534+0.00264766j -0.00371592-0.017803j 0.000670587-0.00109323j -0.00323031-0.00947543j -0.00237413+0.00133438j 
-0.18388-0.26423j 0.0663721+0.036156j 0.0443242-0.0340999j -0.043019-0.0196269j -0.0229853+0.0154099j 0.00840655+0.00431818j 0.0253278-0.0159293j -0.0102064+0.00135608j 0.025423+0.00213555j -0.000900114+0.0030208j 0.0100604+0.0214886j -0.0132295-0.00500274j -0.00474928-0.0174561j -0.0195464-0.00491791j -0.00574622-0.00651664j 0.0028816-0.00160529j 0.00027255-0.0060631j 0.00131387+0.0030372j 0.00714347-0.00961664j -0.00945278+0.00269887j 0.000307584-0.000542252j -0.00503645+0.00215331j 0.0139343-0.000957888j 0.00158689-0.00129136j -0.00690602-0.00203447j 0.0121235+0.00131673j -0.00137591-0.00223516j 0.0101934+0.00468177j -0.00836507+0.00340812j 0.00749098+0.00376479j 0.00361858+0.00181023j 0.00830605-0.00348218j 0.00421678-0.0156438j -9.89157e-05-0.00208204j 0.00625-0.00570509j -0.000859154-0.000778359j 
-0.107461-0.0321142j 0.0753751-0.152285j 9.70667e-05-0.0343821j 0.0236545+0.0105951j 0.0166169+0.00787574j 0.00190484+0.000148269j 0.00968731-0.017596j 0.00543855+0.00468769j 0.000959044-0.00624395j -0.0188209-0.0042404j -0.01315-0.0149137j -0.0153396-0.00487539j 0.00571809+0.0122615j -0.000995012-0.0074646j -0.00113549-0.00580739j -0.0010493-0.00161646j 0.00439446-0.00450894j 3.35213e-05-0.0011401j 0.0109728-0.00865635j -0.00111297-0.00144409j -0.00672941-0.000883183j -0.000771936-0.00180309j 0.0177529+0.00309675j -0.00849713-0.00981615j 0.000588719-0.00282735j -0.00180584+0.00597254j 0.0064958+0.000813954j 0.0107513+0.0139831j -0.00421661+0.00214565j -0.00132658+0.00185158j 0.00275327+0.00412806j 0.00681622-0.00734765j 0.0119958-0.0180532j -0.00113818-0.000527364j 0.00881242-0.00341012j -0.00104843-0.00110779j 
-0.0275342+0.0157015j -0.158208+0.178939j 0.0063625+0.00818185j 0.0356796+0.0127311j 0.0146123+0.000318153j 0.00120275-0.000383193j 0.00664551+0.00235706j 0.0111335-0.00546103j -0.0122452+0.00351044j -0.031199-0.00974792j -0.00352315-0.010564j -0.0203993-0.0155053j -0.000662123+0.00891771j -0.00922381+0.0308769j -0.0119147+0.0130008j 0.000336103+2.31073e-05j -0.000639467+0.00107644j 0.00169901-0.00178702j -6.06822e-05+0.0023266j 0.00659435-0.003793j -0.0124356-0.000224703j 0.00303481+0.000401828j 0.011474+0.0115937j -0.0215017-0.00707378j 0.00631301-0.00453755j -0.00945677-0.00608409j 0.0105513+0.00280755j 0.00976877+0.0176516j 0.0112448+0.0120848j -0.00353527-0.00257975j -0.000904959+0.00497536j -0.00656005-0.00977274j -0.0110736-0.00150846j -0.000989898+0.00148735j -0.0028064-0.00515044j -0.00178724+0.00159244j 
0.278016-0.143705j 0.049905+0.147581j 0.0227614+0.00877933j 0.00863221-0.0333648j 0.00610556-0.0226774j 0.00102485+0.00562957j -0.000902958-0.00809762j 0.00250427+0.00620602j -0.00103205-0.0247042j -0.00338948-0.00799391j 0.000782527+0.0240863j -0.00305719-0.00152324j 0.00602972-0.0114092j 0.0246808+0.008317j 0.00924679+0.0109366j 0.00132884-0.000479631j -0.00545975+0.000375922j -0.000947562+0.00216049j -0.00762123-0.00251624j 0.0055437+0.00645427j -0.00568556-0.00549921j -0.0138986+0.000746701j -0.00880173-0.00195138j -0.0178367-0.0117664j 0.000302821+0.019715j 0.0202265+0.00368786j -0.00449057+0.0161483j 0.00898929-0.00797602j 0.0195631+0.00388663j 0.00590791+0.00398232j 0.00305414-0.00472891j -0.0123957-0.0138594j 0.00888769-0.0192955j 0.000783743+0.00255785j 0.00752099-0.0074806j -0.00108149+0.00162428j 
-0.331822+0.245759j 0.163736-0.0434674j -0.0279762+0.0100448j -0.00846278+0.0106069j -0.00607128+0.0125273j -0.00445357-0.00293786j 0.0125666+0.0121927j 0.0095852-0.00562983j -0.0216408-0.00615159j 0.000806214+0.0139255j -0.00356641+0.0179386j 0.00573465+0.0155726j 0.0099915-0.0108664j 0.00118593+0.0138633j -0.00159715+0.00638179j -0.00172589+0.00251359j 0.0103347-0.00227949j -0.000550448-0.00304943j 0.0167096+0.00271769j -0.000548034-0.00995596j -0.00189953+0.000918128j -0.000542059-0.0076807j 0.00155698+0.0102785j 0.000359158+0.00404001j -0.000862663+0.0219023j -0.00491621+0.0182155j -0.00629031+0.0205353j 0.00526122-0.015554j 0.00928465-0.00943155j -0.00315482+0.0049684j 0.00479296-0.00614382j -0.00137972-0.00657654j 0.0142898-0.0102627j 0.000831167+0.000696618j 0.00925535-0.00307567j -0.00146584-0.000398947j 
0.00109407+0.129566j 0.0524989+0.169555j -0.0096359-0.00510364j 0.015861-0.0539089j 0.0105731+0.0037141j -0.00325742-4.00147e-05j 0.00276553-0.00565359j -0.00575525+0.000863041j 0.0109968-0.00429406j -0.000985679+0.0217948j 0.0130875+0.00421903j -0.0145023+0.0197128j -0.0159788-0.00470434j -0.0139915+0.000895849j -0.0047932-0.00261943j -6.15959e-05+0.000591849j 0.00259732-0.00321963j 0.000567001+0.000899674j 0.00639519-0.00155417j 0.00367223+0.00362039j 0.00314281-0.00386613j -0.0021916+0.00723088j -0.00854039-0.000340746j 0.00517493-0.00345334j 0.00255397-0.00924982j 0.00938215-0.0140755j 0.00310976-0.00849992j -0.0126429+0.00764577j -0.00645653+0.0034826j 0.00438335-0.00434557j -0.00563604+0.00280063j 0.00420369+0.00564426j 0.00860379+0.00349108j -9.63e-05-0.00204754j 0.00389848+0.00334277j -0.000492298-0.000974806j 
-0.101024-0.0882852j 0.0986076+0.00673043j -0.00627371+0.00750861j 0.0183295+0.00159841j 0.054638+0.0093491j -0.00361143+0.000413744j 0.00652448+0.0191558j 0.00271835-0.00225929j -0.0046255-0.00102303j -0.0115682+0.02077j 0.0034772-0.00622766j -0.0157606+0.0182247j -0.00461859+0.00352016j 0.0177672-0.0069106j 0.00517943-0.00273561j 0.00155939+0.00212886j 0.00219287-0.00268479j 0.00104231-0.000368504j 0.00512709+0.0017138j 0.00362327-0.00316004j 0.00368068-0.000787187j -0.000722137+0.00460052j -0.0119862+0.00240016j 0.00408773+0.00379627j -0.00311268-0.00525223j 0.0127384-0.0061198j -0.0053142-0.00661294j -0.00536306+0.00165927j -0.0206928+0.00608953j 0.00504536+0.00153581j -0.000584741-0.000155459j 0.0113644-0.00377254j -0.0029754-0.0199359j -0.00172602-0.00192353j -0.00114806-0.00832436j -0.00104109+0.000933785j 
-0.0711744-0.00514582j 0.136982-0.109962j -0.000182851-0.0578438j 0.00220679-0.0245361j 0.0119401+0.00615934j 0.00957999-0.00990438j -0.0290577-0.0243437j -0.00843457-0.000535982j 0.0122803+0.014443j 0.012992-0.00379183j -0.0231072+0.00119011j 0.0131194-0.00890664j 0.0184752+0.00277396j 0.0037255+0.000492166j 0.000419334+0.000909733j -0.00468954-0.00495005j -0.00350232+0.0122826j 0.0026532+0.0024845j -0.0148926+0.00799429j -0.00146375+0.00406127j -0.00340007-0.00345885j -0.00130609-0.00846701j 0.00678116+0.000926858j -0.000730933-0.01251j 0.0119452+0.00394679j -0.00522464+0.0209677j 0.00948808+0.00913071j -0.00636177+0.00347439j -0.0105273-0.00814955j -0.00686921+0.00679362j -0.00127117-0.000607759j 0.00593+0.00208124j 0.000404442+0.000306614j -0.000202343+0.000183407j -0.000975802+0.000254083j -0.000230716-0.000200353j 
0.210204+0.298913j 0.191599-0.307524j 0.0417747+0.021654j -0.011914+0.00853242j 0.0192476-0.00677853j 0.00450835+0.0044978j 0.0119517-0.00925582j 0.0026224-0.0009487j -0.00735545+0.00314449j -0.00416052-0.00568304j 0.0133934-0.00513408j -0.000917918-0.00590431j -0.0112399-0.00138917j -0.00813478-0.0108477j -0.00231009-0.00715985j 0.000486845-0.00227679j 0.00216413+0.00404871j 0.000112914-0.00132691j 0.0048909+0.00480672j 0.00331409-0.00319736j -0.00500308+0.00589726j -0.00286036+0.00355789j 0.00550043-0.00411105j -0.0151848+0.00679387j -0.00342326-0.0106689j 0.00470153+0.00100225j 0.0027216-0.0111027j 0.0146745+0.00700637j -0.00189094-0.0046089j 0.000930524+0.00172245j 0.00434562+0.00475654j 0.00278784+0.000930692j 0.00358489-0.00948757j -0.000829465-0.00119411j 0.00446265-0.00210404j -0.000923977-0.000821578j 
