0.0017925-0.0058045j 0.00178048-0.0017115j 0.00319564-0.00377979j 0.000259836+0.00127477j -0.00209658+0.0045122j 0.00466145+0.00220251j -0.000514307+0.00237421j -0.00279473+0.0039047j -9.8437e-05-0.00102309j 0.000406619+0.00079081j -0.000513111+0.00163901j -0.00478607-0.00125427j -0.000504285-0.00332937j 0.00220878-0.000282621j -0.00109918+0.00137347j 0.00105709-0.000879411j 0.00311661-0.00128519j -0.0011562-6.08199e-05j 0.00209848+0.00113371j 0.0015314+0.000968186j 0.00107158-0.000673031j 0.000705191+0.0012734j -0.00435419-0.00107809j 0.000211124+0.000120571j -0.000249376+0.000318132j -0.00155063+0.000550855j 0.000901954+0.0010736j 0.000514853+0.00155781j 0.00136221-0.00209809j -0.000673281+0.000140726j 0.00170057+0.000488014j -0.00164299-0.000277498j -0.000643979+0.000758346j -0.00090265+0.000897864j -0.00290343-0.000934267j -4.8511e-05-0.000877826j -0.00204989+0.000150659j -0.000180389-0.00125268j 0.000395691+5.82046e-05j -0.0051913-0.0015883j -0.0017933-0.00108053j -0.00125306-0.000372385j 0.000835112-0.000785784j -0.000627446-0.00272423j -0.00462852+0.000442825j -0.000440877+0.00317824j 0.00196505-0.000910427j 0.0034206-0.00207143j -0.00870153-0.00188448j -0.00298142-0.00937032j 0.0241398+0.00254297j 0.0161259+0.0106007j -0.0103365-0.00721027j 0.0840861-0.00437315j -0.0627425-0.0067206j -0.291689+0.00574486j 
-0.00163319+0.00177657j 0.00195919-0.00607295j -0.000267711-0.00148072j 0.00304462-0.00441857j 0.00169642+0.0032486j 0.00153087-0.00405197j 0.00515059+0.000326712j 0.00224997+0.000630607j 0.00124944-0.000445991j -0.000604521-0.000717543j 0.00424454+0.00134952j -0.00206134+0.00252485j -0.00357415+0.000807875j 0.00050131-0.00018406j 0.00128473-0.000247592j -0.00247139-0.00175786j -0.000408451-0.00144125j -0.00164148-3.49309e-05j 0.000507051+2.05336e-05j 0.00162364-0.000945733j -0.00247999-0.000665327j 0.00224309-0.000671446j -2.10267e-06+0.00111905j 0.000967384-0.000833483j 0.00119291+0.000734739j 0.00164556+0.000990783j 0.00160643-0.00089111j 0.000718243+0.000110811j -0.00290784-0.000257962j 0.00140004+0.000542932j -0.00124183-0.000806494j -0.00086698+0.000770973j 0.00107712+0.000182268j -0.000774485+0.000616469j -0.00243181+0.000239834j -0.0030875-7.37874e-05j -0.00117405+0.000192328j 0.00105482+0.00137796j -0.00139147-0.000317687j 0.00118175+0.00255546j -0.00146977+0.00150477j 0.000327355-0.000660128j -0.00216028-0.000670283j -0.0034946-0.000526112j 0.00131035+0.00323781j 0.00589177-0.00222814j -0.00120118-9.83822e-05j 0.00391224-0.00076709j -0.00283609+0.000464429j -0.0220929-0.00261749j -0.00764559-0.0143284j 0.0119371+0.00215607j 0.079954-0.00117591j 0.0109339+0.00732871j -0.289981+0.00535638j 0.0626122+0.00683626j 
8.60839e-05-0.00364335j -0.00341049+0.00567671j -0.0026201+6.94187e-05j 0.000953769+0.000957667j -0.00148572-0.000284853j 0.000350581+0.00298508j -0.00328888-0.000128036j 0.0040664-0.00518215j -0.00375261-0.00245405j 0.000206175+0.000424505j -0.00463427+0.00190925j 0.000477348+0.00313691j -0.00197252+0.00298472j -0.00335167+0.00107991j 0.00331226+0.00044778j 0.00338607-0.000171366j -0.00497654+0.00258686j 0.00542563-0.00035894j 0.0018003+0.00110718j 0.00294071+0.00150334j 0.000793945-0.00350444j -0.0024007-0.00172936j 0.00107367+0.00192084j 0.000333633-0.00268852j -0.00252414+0.0011643j 0.000487152-0.0011576j 0.00270824-0.000896872j 0.0043205+0.00127882j -0.00424061+0.00109886j -0.000664736-0.00067764j -0.00267164+0.000580429j 0.00493036+0.000435184j 0.00625904+0.00211625j -0.00190888-0.00402929j 0.00652512+0.00196425j 0.000113371-0.00256731j 0.0028504+0.00133212j -0.0033633+0.00263077j 0.00556877-0.00137969j -0.00290207+0.0035292j 0.00553296-0.000277611j 0.00521677-0.00354588j 3.44076e-05+0.00293537j 0.00542435+0.00343969j -0.0202009-0.00521583j 0.00151498-0.00204714j -0.0261451+0.00178123j -0.0250613-0.00365763j 0.0405235+0.00651841j 0.057633-0.0169915j -0.0173136-0.00301253j 0.0944975+0.00353677j -0.0369002-0.0167427j -0.283641+0.00957199j 0.00421158-0.0079997j 0.0157665+0.00366559j 
0.00317075-0.00698673j -0.000636463-0.00216534j 0.0002382+0.00190983j -0.00106804-0.00330519j 0.00142411+0.00284003j 0.004517-0.00240841j -0.00382478+0.00298062j -0.00193215-0.00325288j -0.00858419-0.000315298j 0.00311984+0.00129465j 0.000527404+0.00302381j 0.00134104+0.00169179j 0.000376304-0.000165976j 0.000455787-0.000264579j -0.00130246-0.00251686j 0.00136437-0.00227061j 7.43021e-05-0.000525207j 0.00325886-0.000417856j 0.00415485+0.00215391j 0.00262665-0.000729849j -0.00215173+4.93607e-05j -0.00514185+0.0002838j -0.0015669-0.000321555j -0.00597218-0.00212027j -0.00100413-0.000173161j -0.00173615-0.000995251j -0.00104152-0.000209541j 0.00185672+0.00045414j -0.00362782-0.00113297j -0.000634473+0.000795392j 0.00233585+0.00112479j 0.00388379-0.000679475j 0.00229511-0.00294581j -0.0036263+0.00131956j 0.00583193+0.000158763j 0.000623869-2.24435e-05j 0.00138598+0.00348889j 0.0049928-0.00155936j 0.00339227+0.000452024j -0.00528812-0.00340268j -9.15945e-05+0.000758206j -0.0108143-0.00410048j 0.0103701-9.66789e-05j -0.00362939-0.00314257j -0.0101336-0.000240022j -0.000196864+0.00505769j 0.00339122+0.00898845j -0.0428951-3.9232e-05j -0.0794749-0.00281442j 0.0411836+0.00984268j 0.00426446-0.0190641j 0.0222586+0.0112747j -0.249586+0.0048697j 0.035277+0.0190052j 0.0208179+0.00692492j -0.0104313+0.00855907j 
-0.000804313+0.00168325j 0.002573-0.00262458j -6.49897e-05+0.00924594j 0.00244914-0.00309151j 0.00245757-0.00327771j 0.00251753-0.0101316j 0.00392014+0.00108386j -0.00195728-0.0013514j -0.00376946+0.000843592j 0.000266122+4.14028e-05j 0.00477069+0.00288035j -0.0019682-0.00213432j -0.00413282+0.000829809j 0.00221628+0.00102663j -0.00187145-0.00607131j -0.00574325-0.000909396j -0.00386708-0.00280289j -0.00061045+0.000233847j 0.00544699+0.0032952j -0.00214284-0.000429897j 0.00169411+0.00245762j -0.000271079-0.00174058j -0.00763269-0.00257445j -0.00442648+0.000212448j -0.000403037+0.000235138j 0.000183464-0.00247359j 0.00145663+2.98964e-05j 0.00217654-0.00123355j -0.0102793+0.000868856j 0.00182495+0.00273702j 0.00522255-0.001542j -0.000146845+0.00156534j -0.00384091-0.00382339j 0.00879426+0.00171469j -0.00396979-0.000547196j 0.000413402+0.00260512j 0.00762441+0.00170158j -0.00719601+0.005483j 0.0082523-0.000182116j -0.0261008+0.000813518j 0.00884926+0.00877944j -0.014407-0.0080064j -0.00460599-0.00803122j -0.0379937-0.00250754j 0.0129712+0.00539033j -0.0187538-0.00486864j -0.0488228-0.0106174j 0.0160992+0.0104047j -0.0449491-0.0177795j -0.041337+0.0127576j -0.0105305-0.00634898j 0.234476-0.00750375j -0.00130222+0.0161786j -0.00483891-0.00676063j -0.0191605+0.00345376j -0.0129194-0.0122523j 
-0.00296996-0.00255911j -0.00604293+0.00734528j -0.00524562-6.30882e-05j -0.00138226+0.00839559j 0.0022159-0.00627008j -0.00807999+0.00384154j 0.000209763-0.00319941j 0.00340255+0.00479124j -0.00209699+0.00508591j -0.00189195+0.00470927j 0.000873837-0.00210227j 0.0062355-0.00804353j 0.00263316-0.0017204j -0.00718222+0.000155273j -0.00286885-0.00428457j -0.00188803+0.00561263j -0.00599068+0.00174893j 0.00396418-0.000142548j -0.00126401-0.00823695j 0.000836783-0.00147115j -0.000809953+0.00359712j -0.00260805-0.000780596j 0.0114513-0.00105606j -0.00368346+0.00171364j -0.00628501-0.00440945j 0.00567917+5.38803e-05j -0.00139114+0.000406161j -0.00388474-0.00938556j -0.000611923-0.00159638j 0.0035638+0.00199908j -0.0130974-0.00357456j 0.00712988+0.00226315j 0.00743797-0.00101293j -0.00322074+0.00147735j 0.00204614+0.00306872j -0.00228176+0.00583919j -0.00870442-0.00273482j 0.0218014+0.00815276j 0.0101374+0.00375873j 0.0193031-0.00462339j 0.0345905+0.00635475j 0.0248963+0.0126076j -0.0159768-0.00773667j 0.00660774+0.000172844j 0.0102232+0.0117003j -0.0360675+0.0201019j -0.0676956+0.0015471j -0.0191735+0.00923381j 0.0629734-0.0113313j 0.0144516+0.00951222j -0.227738+0.0144625j 0.0112774+0.00502881j 0.00138134-0.00928582j -0.00147439-0.00962908j -0.00293761-0.0203748j 0.0342368+0.00497995j 
-0.0074234+0.0105275j 0.00428039+0.00376617j 0.000993795+0.000113801j 0.00388945-0.000436613j 0.000210525-0.00349973j -0.00220251-0.00499599j 0.00868463+0.00138417j 0.00211293-0.00269014j 0.0084771-0.00313007j -0.00851581-0.00379819j 0.00524514+0.000136362j -0.00239232-0.00025602j -0.000700388+0.00246062j 0.00601796-0.00275873j 0.00821958-0.000358387j -0.00933937-0.00281917j 0.00103495+0.000902252j -0.0110528-0.00197488j 0.00290162+0.00236491j -0.0015167+0.00160066j -0.00438953-0.000701897j 0.00909687-0.000846844j -0.0040402-0.000995612j 0.00506705-0.000549376j 0.0118146-0.0002007j 0.00391316-0.000266838j -4.80895e-05-0.000618136j 0.00464596-0.00114043j 0.0102103+0.00126093j -0.000742281-0.000266404j 0.00133947-0.00413145j -0.00879014-0.00234649j 0.00334713-0.00301175j 0.0115612-0.00194942j -0.0179972+0.000945021j -0.00304957+0.000548109j -0.0143375-0.000433412j 0.0031471-0.000917978j -0.0280011+0.00154924j 0.027261+0.0039857j -0.00074719+0.0158281j -0.019475-0.00810013j -0.0526984+0.0031734j 0.00378498-0.00337634j 0.0423304-0.0201918j 0.0427424+0.00852692j 0.031611+0.0167063j 0.042796+0.00650902j 0.0211501+0.0184114j -0.205279+0.00538284j -0.0101807-0.00192454j -0.017893-0.00124668j -0.000790231-0.00603275j 0.0191635-0.00859767j -0.0284165-0.00734482j 0.00315654-0.016535j 
-0.00147783+0.0058301j 0.00670614-0.00239489j 0.00577672+0.00274915j -0.000924948+0.000325851j 0.000251406+0.00151269j 0.00183647-0.00708608j 0.00435484-0.00723699j -0.0055709+0.00768794j 0.00340812-0.00613852j -0.00114244-0.00187676j 0.00239745+0.00619697j -0.0106035-0.00324003j -0.00233847+0.00100994j 0.0116303+0.00579472j -0.00843176-0.000227246j -0.00482253+0.00561403j -0.00338496-0.00335718j -0.00428848+0.00327452j 0.00275342+0.00240345j -0.00788553+0.00141687j 0.00734942+0.000969183j -0.00147842-0.00467396j -0.019079-0.0014109j 0.00122385+0.00016833j 0.00348305+0.00157106j -0.00441666+3.54822e-06j 0.00270243-0.00109892j -0.0013311-0.00169442j 0.00011361+0.00382088j 0.0027419+0.00318831j 0.00902+0.000889086j 0.00179467+0.00610765j -0.0203855+0.00332896j 0.0161051+0.0018432j -0.0128419+0.00056418j 0.0181092+0.000981674j 0.00276502+0.00633608j 0.0255108+0.0149265j -0.0326292-0.00502393j 0.0092754+0.00337318j -0.0289504-0.00170434j -0.0226268+0.0121757j 0.0627291+0.0217756j -0.0328219+0.0134833j 0.0528302+0.00384289j -0.000236149-0.013136j 0.0778258-0.0260117j 0.0521339+0.0133983j -0.165698+0.0118946j 0.00839818-0.0183662j -0.035821-0.00647732j -0.00304775-0.0267404j -0.0175621-0.0188886j 0.0391074+0.010691j 0.00226555+0.0146828j -0.0225234-0.0030294j 
-0.00803154+0.00411096j 0.00490355+0.00270449j 0.00376354-0.00041862j 0.0117263-0.00570595j -0.0048166-0.000735318j 0.00407171+0.00616416j 0.0170377-0.00300285j 0.000496545-0.00897603j 0.00789185+0.00315509j -0.00896581+0.00318562j 0.00951443+0.00192075j -0.0176474-0.000458467j -0.00272905+0.00353143j 0.00883646+0.00125609j -0.00298462-0.000859922j -0.00287546+0.00216001j 0.00960976+0.00892152j -0.0119784-0.00320083j 0.00207359-0.000243222j 0.0104233+0.000947645j -0.00639801+0.00315801j 0.00958234-0.000350191j -0.00809824-0.0025408j 0.0047077-0.0051883j 0.00304729-0.00083035j -0.00115975+0.000700315j 0.00811771-0.00405549j -0.00591866+0.00296949j 0.0201765+0.00683471j -0.00184213+0.00118144j -0.00376698+0.00613946j -0.0127509+6.33264e-05j 0.00421364+0.00542891j -0.000914153+0.00382724j -0.0345798-0.00511047j -0.0239492-0.00358585j 0.00794811+0.00517221j 0.00471989-0.00192874j -0.0303703-0.000621482j -0.0124984-0.0174759j 0.00957747-0.00390685j 0.0274434-0.00471678j -0.0275871+0.0051977j 0.00791693+0.0188575j -0.0579638+0.00137634j 0.0475909+0.0156702j -0.0217202+0.00562355j 0.131502-0.00150183j 0.00414765+0.00532689j 0.0426737+0.0358763j -0.0216758+0.0168824j -0.0156359+0.00614107j 0.0167122+0.0450978j -0.0169317-0.0166456j -0.0613243+0.0063115j -0.0246292-0.0477789j 
0.00764175+0.00115394j 0.00523171-0.00246897j 0.0126967-0.0129774j -0.0103136-0.00466514j -0.0058583+0.00495088j 0.00626323+0.000627644j -0.0088227-0.00479263j -0.0121859+0.00141401j 0.00470667-0.00450156j -0.00773215+0.00603916j -0.0142658-0.00370837j -0.00766264+0.00429838j 0.0173251+0.00441124j 0.00849998-0.00446759j -0.00535063-0.000788456j 0.00164295+0.00481858j 0.0180968-0.000796935j -0.00761791+0.000368793j 0.00319991-0.0100418j -0.0121554+0.000811264j 0.0106192-0.00210586j -0.00235631-0.00285482j -0.0120278+0.00497348j -0.00523284-0.00336035j 0.00225019-0.00717071j -0.0100957-0.00276308j -0.0158406+0.000230595j -0.0102624-0.0063399j 0.0348671+0.00344259j -0.0181404-0.00349131j 0.0208156-0.000822509j -0.0116686+7.9074e-05j -0.01378+0.00437915j -0.000539253-0.00252595j 0.013033+0.0109442j 0.0216931+0.00713833j 0.00221782+0.00866424j 0.0155552-0.00368132j -0.0294339+0.00351894j 0.0185236+0.0113523j -0.0154322+0.00449213j -0.0403295-0.00484872j -0.00937169-0.00735797j 0.0693015+0.00516325j -0.00749028-0.00377478j -0.0776045+0.0140016j 0.0633826+0.0139002j 0.0499286+0.00185725j 0.0443771+0.0107429j -0.0313333+0.0204821j -0.026104-0.0348076j 0.00428434+0.00974618j 0.0339704+0.0109769j 0.00734183+0.0599096j 0.0472365+0.0502012j -0.0571226+0.022443j 
-0.00463085-0.000376892j -0.01025+0.00596387j -0.00694855-0.00741424j -0.00179036+0.00208137j 0.000214049+0.000878575j -0.014922-0.00211985j -0.00202992+0.00879176j 0.00848268-0.00143155j 0.010931-0.0030761j -0.00418761-0.0013554j -0.00139358+0.00914187j 0.0159545+0.00171104j 0.00431806-0.000785507j -0.00826363-0.00127534j 0.0119648+0.00294995j -0.00466066-0.00406562j -0.00358399+0.00128001j -0.00790036-0.00173302j -0.0207202+0.00475304j -0.00367967+0.00820263j -0.0060621-0.00516769j 0.00674923-0.00390658j 0.0156041+0.00523893j 0.0111323+0.000870554j 0.0090933+0.00186666j 0.0152976+0.000492053j -0.00198659+0.00269001j -0.0122446+0.004919j 0.011034-0.00149923j 0.00274695+0.0051805j -0.0283301-0.00646638j -0.011449-0.00156628j -0.00239565+0.00563119j 0.0192773-0.00949225j 0.0155721-0.00289623j -0.00297608-0.0091108j 0.0203948+0.0130764j -0.00594906+0.00620662j -0.0506944+0.00253411j 0.0413953-0.00731784j -0.0221862-0.00811092j 0.0216695-0.0128657j -0.0485017-0.0131393j 0.0389374+0.0199301j 0.0481207-0.00668211j 0.0507622+0.0129075j 0.0664285-0.0132469j 0.0672331-0.00561472j -0.00178595+0.0078458j 0.00803992-0.0231074j 0.0390733-0.00579107j -0.0110592+0.0177377j 0.0210073-0.0518699j 0.0359969+0.00574985j 0.0154011-0.042383j 0.0609031+0.0229777j 
