0.00583433+0.0741123j 0.0134581-0.0107032j -0.0235284+0.0412072j -0.0292181+0.031788j 0.00487105-0.0530062j -0.0142071+0.00152164j 0.0120912-0.0659339j 0.0382881-0.0336753j -0.0284517+0.00924079j -0.00570273-0.00936723j -0.0188888+0.0201101j 0.00607495+0.00885714j -0.00964598+0.0224836j -0.00722868-0.00195759j -0.0390787+0.0766296j 0.0142301-0.032923j -0.0128175-0.0344294j 0.0115963-0.0345471j 0.0146214-0.0128968j -0.00720391+0.0391849j -0.0284992-0.0154799j -0.010259-0.00799532j 0.00294849-0.00117077j 0.00676531+0.00830776j -0.040967+0.0228642j -0.025527+0.0128766j 0.0108976-0.00950681j 0.00608979+0.0101167j 0.0121049-0.00080373j 0.0212438-0.025055j 0.0152183-0.00245997j -0.020434+0.00719654j -0.000121586+0.0240213j -0.00793089+0.0185909j -0.00227446-0.000764904j -0.00028382+0.00664389j 0.00159498-0.00546646j 0.0163091+0.00585128j -0.0247011+0.0278801j -0.0143359-0.0121954j 0.013649-0.00511837j -0.0124947-0.00229569j -0.00428686-0.00473406j -0.0359095+0.0146683j 0.00820553-0.0090605j 0.0506369-0.0170023j 0.0077348+0.0392018j -0.0196346+0.00784536j -0.00868418+0.0247227j 0.00891868+0.0139189j 0.0170135-0.0180609j 0.0216793-0.0049854j 0.00552343-0.0254223j -0.00474286-0.0179403j -0.0538311+0.0134208j 0.00899102-0.00605891j 0.00173318-0.005273j -0.0201029-3.22342e-05j -0.0260622-0.0141523j -0.0224137+0.0115399j 0.0369619-0.0197816j -0.103888+0.00584883j -0.0396329-0.0107591j -0.0158553+0.00934652j 0.0230535-0.037866j -0.0756265+0.0511375j 0.0691761-0.0866686j -0.00781184+0.0753792j 0.0415379-0.0254933j 0.00384804-0.0478453j 0.00298255-0.0414484j -0.0143935-0.00761166j 0.00581209-0.0144698j 0.033824+0.00127853j 0.11479-0.10395j -0.103912+0.098574j 0.114004-0.135079j -0.104234+0.0872944j 0.094211-0.0173845j 0.0161293+0.031921j 0.0552242+0.00797313j 0.0235998+0.0187403j -0.0109757-0.043278j -0.173033+0.142069j 0.0276934+0.00661674j 0.0300206+0.00560707j -0.0175807-0.00228092j -0.00395944-0.0150337j -0.0753531+0.0796117j 0.0264999-0.030228j -0.00959386-0.000162876j -0.0238734+0.060205j -0.0669066+0.0322069j -0.107985+0.200634j 0.144815+0.0202202j -0.178686+0.220682j -0.086015+0.0420748j 
-0.00912942+0.018293j -0.000758391+0.0820932j 0.021375-0.0476339j 0.00362413+0.0474656j 0.0106085-0.000285028j 0.00584304-0.0324594j 0.00653109+0.0222053j -0.000844434+0.0313886j -0.0435965+0.0632465j 0.0107171-0.0166697j 0.00402951+0.00940442j -0.00394804+0.00973267j -0.0384309+0.0510998j 0.0166542-0.0147328j 0.0272818+0.00717478j 0.0113584-0.000513088j 0.0358567-0.0498363j -0.0149952-0.0129885j 0.0183554-0.0314036j 0.0170157-0.0275087j -0.0164231+0.0189417j -0.0183624+0.0167856j 0.0182784-0.0119608j -0.00741202+0.0340551j 0.015814+0.00761887j -0.0118872+0.00177506j 0.0462524-0.0325379j -0.0167074+0.00148036j -0.0160871-0.00102384j 0.0143774+0.0127683j 0.00392291+0.0347566j 0.012527-0.0123049j -0.00753426-0.0184062j -0.0329045+0.0232004j 0.0256304-0.0242016j -0.0251606+0.0307185j 0.0122386+0.0107547j 0.0102097-0.0159425j 0.000772877+0.00761371j -0.00276583+0.0189275j -0.0186337-0.0400096j -0.00403276-0.00178293j -0.0255491+0.00519701j 0.00474926-0.0356666j -0.058181+0.0404384j -0.0218045-0.00707653j -0.0112725+0.0208134j 0.0192438-0.0289163j -0.065182+0.0414906j 0.00309281+0.0121401j 0.0254041-0.0313619j -0.0531546+0.0350512j 0.0178665-0.000636264j 0.0281966+0.000995363j 0.0283404-0.045264j -0.0167141+0.0120959j -0.0139925+0.00256671j -0.00306531-0.0159016j 0.0627372-0.0629127j 0.00938045-0.0517859j -0.00847463+0.0285884j -9.11047e-05-0.0735646j -0.00813676-0.0102093j -0.0127629-0.00334758j 0.0176823+0.00334945j 0.00257663-0.0384605j -0.00954328+0.0650841j -0.0558445+0.023613j -0.0123123+0.0183662j 0.0704292-0.0655482j 0.0646684-0.0669595j 0.00782418-0.0255819j -0.00929165+0.022074j -0.0680516+0.0661162j 0.0100953+0.033548j -0.0483354-0.0355697j 0.131869-0.0279581j -0.0437992-0.0231085j -0.1135+0.108916j -0.109821+0.0952537j -0.0864283+0.0991783j -0.0397368+0.0225675j 0.135405-0.125773j -0.0332338-0.0257022j -0.102736+0.0656026j -0.0347029+0.0079107j -0.0245935+0.00740816j -0.0217963+0.0191855j -0.00218272-0.0133112j -0.0650107+0.0376121j -0.0526645+0.0991836j -0.065641+0.0420977j 0.0463579-0.0907494j -0.11696+0.00344373j -0.117906+0.211887j -0.107412+0.0350342j 0.170336-0.200217j 
0.0461588+0.0474954j 0.0185604+0.0236878j 0.021429-0.00469673j 0.0563606+0.0244438j -0.0128104-0.0401563j -0.00447199-0.0109918j 0.0244685-0.00533021j -0.0238398+0.000279824j 0.0416177+0.0201456j 0.0121595+0.00802032j 0.00130829-0.0140764j -0.0336163-0.00255936j -0.0182598+0.0082493j 0.0348544+0.0393708j 0.0291019+0.0251404j -0.00953777-0.0448105j -0.0189079-0.00382043j -0.00362847-0.0359823j 0.0131442-0.0134554j -0.027502-0.0352332j 0.0163733-0.0374625j 0.018779+0.0356837j 0.0300491+0.021189j 0.0202672+0.0310068j 0.0223791+0.00463509j 0.0112025+0.021883j 0.021705-0.00469865j 0.0160637+0.028497j -0.00169586-0.0155246j -0.0231664-0.0330048j 0.0123479-0.0166099j -0.00350288+0.00587317j 0.0121083+0.0175354j 0.0154797+0.00501199j 0.0158339+0.00773612j -0.00240136+0.0205847j 0.0137533+0.00830335j -0.00312161+0.0137023j 0.00724414+0.0287872j 0.026487-0.0354367j -0.0396641-0.00592563j 0.0183741-0.00380022j 0.00105288-0.0288177j 0.0121659+0.022206j -0.00759794-0.00794197j 0.000971597-0.00215864j 0.00106148+0.00764931j -0.00831256+0.0147358j 0.00715982+0.00580981j 0.0214084+0.0332318j 0.018182-0.00842123j 0.00855285+0.00637215j 0.023959-0.0466775j 0.0374337-0.0301671j 0.041438-0.0333505j 0.0187151-0.0534428j 0.00592986-0.0212522j 0.00337955-0.0408095j -0.0222556+0.0258133j -0.0242353-0.0232335j 0.00306453-0.000406495j 0.0238201-0.0299636j -0.00923811+0.0224414j -0.013836+0.039878j 0.0174861-0.00726753j 0.0236525-0.0233255j 0.0179527-0.014047j -0.0392113+0.00407862j -0.0174917-0.0146294j 0.0579735+0.0274135j 0.0050297-0.00695833j 0.0043951-0.016798j 0.030688+0.0236865j -0.00698343+0.0367124j 0.0407164-0.00592983j -0.0309642+0.0540888j -0.00647536-0.0786041j -0.0512798+0.0532967j 0.0800281+0.0149584j 0.000746501+0.0203428j 0.0437759+0.05495j 0.000859262+0.0522752j 0.0132115-0.0224855j 0.00638815+0.00565084j 0.0481944+0.00206214j -0.00161209+0.0483499j 0.0421233-0.0855367j 0.0349061-0.054478j -0.00224239+0.0658378j 0.0160922+0.0924039j 0.0467708+0.0748793j 0.0153164+0.0191476j -0.0458317-0.0467591j -0.115164+0.095597j -0.0159265-0.118387j 0.00858173+0.0292057j -0.10507-0.108292j 
-0.0455246-0.024382j 0.0499746+0.0296039j -0.0220515+0.00294766j -0.00386713+0.0373541j 0.0273014+0.0215883j -0.0253251-0.0316402j -0.0161318+0.0149156j 0.00518653+0.0395051j 0.0395939+0.0299522j 0.0123218-0.017013j -0.0169358+0.0307011j 0.0189545+0.0217385j 0.053819+0.0237856j -0.00456348-0.03136j -0.0425675-0.017743j 0.00787227+0.0108773j 0.0180765-0.021961j -0.00351021-0.0112882j -0.0214029+0.00385873j -0.0550129-0.0201093j 0.0291466+0.0305523j -0.00392455-0.0141192j 0.00718407-0.0100997j -0.00162237-0.00598326j 0.0151886+0.00692242j -0.0114578-0.00263567j -0.0133409+0.0139312j 0.0237056-0.0107878j -0.000371138-0.02365j 0.0240519+0.0311127j -0.0184098+0.0240744j 0.0109146+0.0154762j -0.00181329-0.0174835j 0.00625439-0.0217201j -0.0308827-0.0199232j 0.0140247+0.0196239j 0.0103293+0.00328941j 0.0085794-0.00718119j 0.00182696+0.014066j 0.00144415+0.00372658j -0.00466794+0.00038352j -0.00681784+0.00983841j 0.00998733-0.00709051j 0.0402938-0.000953307j 0.0334736-0.00420513j -0.00546436-0.0503274j -0.0244849+0.0253317j 0.000408594-0.0123269j -0.00858463-0.034772j -0.02117+0.0375315j 0.00714277+0.015218j -0.00124185-0.00683422j -0.0590708-0.0226434j -0.0493743-0.0190889j 0.0115428-0.0160051j -0.0418391+0.00346177j 0.0123847-0.0224784j 0.00237671-0.0212199j 0.0311221+0.00422063j -0.00309141-0.00997905j 0.012623+0.0127349j 0.0156985-0.0215933j 0.00939696+0.0430795j 0.00217906+0.0495452j -0.00513319-0.0108688j -0.0432037-0.055313j -0.0517703+0.0603799j -0.0222129-0.0016431j -0.0188549+0.0296154j 0.0743368-0.0740759j 0.0443178-0.0301321j -0.0175214-0.0274216j 0.00898283-0.0132207j -7.33847e-05+0.0460086j 0.0296806+0.0239115j 0.00624592-0.0134425j 0.00378333+0.0952765j 0.0150553+0.00545709j -0.00213977-0.00175239j -0.0151563+0.0434901j -0.00850287+0.0346908j 0.0142561-0.0243859j -0.012466-0.0423848j -0.0355882-0.0618208j 0.00547949-0.0487599j 0.027319-0.0391865j -0.00535506-0.0432298j -0.016525-0.0176409j 0.0251863-0.121801j 0.0648746+0.0364255j -0.0996323+0.0712551j -0.0504292-0.0300348j 0.0146974-0.0579648j -0.0442848+0.0527516j -0.041141+0.0203635j -0.0720968-0.114534j -0.0148729-0.0602097j 
0.020582+0.0229756j 0.0177384+0.00356305j 0.0416497+0.0180671j 0.0229062-0.00867575j -0.0218015-0.0400357j -0.0223001-0.0151722j -0.0216461-0.0547617j -0.0114237+0.0571735j 0.0358126-0.0145134j 0.0245565-0.0146909j -0.00540832+0.0100677j -0.00120736+0.0231763j 0.00302773+0.012833j 0.0188812-0.0326084j 0.00841871-0.00399698j -0.0159084-0.0235966j -0.0107154-0.033168j -0.00578425-0.0504383j 0.0316556+0.0247971j -0.0153781+0.0282139j 0.0154685-0.0419885j 0.0067464-0.0287506j 0.0398119+0.0148456j 0.0244887-0.0142928j 0.035635-0.00707872j -0.00108449-0.0203848j 0.0152323+0.00736031j 0.0192472+0.0223392j -0.0173057+0.0112348j -0.0156856+0.0196182j -0.00259341-0.0250078j 0.0188645+0.00754357j 0.0220541+0.0516718j -0.00261711-0.0168952j 0.0080536-0.0155954j -0.00534665+0.0201086j 0.0210642-0.0141828j 0.0129023+0.00765604j 0.00223635-0.0305705j 0.00948409-0.0114565j -0.0205634+0.0162375j 0.0295444-0.00699806j -0.00537198-0.00523783j 0.0398643-0.0274259j -0.00226249+0.00704554j -0.0080109-0.0347385j -0.0192519+0.0432596j 0.00911564-0.0414344j -0.00542268-0.0320342j 0.010949+0.0167839j 0.0161228-0.0162536j 0.0126047-0.0186322j -0.0457614-0.0180516j -0.0071967-0.0514436j 0.0420191-0.0349309j -0.0175386-0.0121346j -0.00377745-0.032655j -0.038852-0.0304324j -0.0110617+0.0518915j -0.0318275-0.0513498j 0.0203446+0.0159455j 0.0358245-0.0927709j 0.0773206-0.0682718j 0.0387085-0.0490667j -0.0320434-0.0327394j 0.00542671-0.0187059j 0.0141494-0.10566j -0.0217549+0.0772819j -0.0306254+0.014102j 0.0421861-0.0223356j -0.0034244+0.0293852j -0.0179635-0.0220899j 0.0375922-0.0447651j 0.0193676+0.0223963j -0.00392952-0.0323886j 0.0343992-0.0270576j -0.010563+0.00740312j 0.0395894-0.0877122j -0.0370703+0.0498841j -0.00207867+0.00273975j -0.00901801+0.0947655j -0.00479612+0.0217795j -0.00488679-0.0962736j -0.0134786+0.00425184j -0.00591785-0.0190937j -0.0275788+0.0338949j 0.0247594-0.0218551j -0.0209238+0.0180335j 0.0188053+0.0127924j 0.0567094-0.0350657j 0.0509289-0.0919161j -0.0187673+0.0097976j -0.059325+0.0287093j 0.0280267+0.0409668j -0.0470213+0.127136j 0.0250517+0.0384028j -0.0261915-0.0672542j 
0.0281169-0.00697698j 0.0102282-0.00347757j 0.022995+0.0464636j 0.0382319+0.095806j -0.0123322+0.0141519j -0.0108521+0.0201231j -0.0270292+0.0966231j -0.0178664+0.0141966j 0.0360965+0.0118608j -0.0178169+0.0232677j 0.0380095+0.0485568j -0.0528824-0.0211936j 0.00117708-0.0486167j -0.00107023+0.0226774j 0.008955+0.0369612j 0.0109237+0.000831625j -0.0279966+0.0199203j -0.0351307+0.051525j 0.0244546+0.0245378j -0.022054-0.0367536j 0.0202685-0.00591693j -0.0315933+0.0481494j 0.0210538+0.0200206j -0.0145018-0.031202j 0.0107195+0.0113495j -0.00487697+0.00465141j 0.0149201+0.0838071j 0.0167884-0.00326965j 0.0011996-0.0398916j -0.00293417-0.0204837j -0.00619497+0.0113779j 0.00311845-0.0238962j 0.0260217-0.0484948j -0.0132168+0.0174052j 0.00148788-0.00518967j 0.0224805-0.0178018j 0.018355-0.00618537j 0.010566-0.030707j 0.00640886+0.0349643j 0.0272987+0.0188119j -0.0230263-0.037207j 0.00553472+0.00982821j 0.0381231-0.038554j 0.0155958+0.00437306j 0.000113272-0.0605385j -0.00440648-0.0446321j -0.00805427+0.0324132j -0.04042+0.0681327j -0.0460061+0.0162417j -0.0131239+0.138024j 0.0515463+0.0290516j 0.0104986+0.0162403j 0.0304016-0.0360303j 0.0305481+0.0205365j 0.0629043-0.0795629j 0.0671537-0.0474818j 0.0459947-0.039755j 0.0698882-0.0315102j -0.0467953-0.0108502j 0.0642066+0.0151108j -0.0188626-0.0228051j 0.037357+0.0496758j 0.0165247+0.0873018j 0.0394422+0.147425j 0.0242133+0.0206859j -0.0276658-0.0142936j 0.00148344+0.118905j 0.00570586-0.0639747j 0.053774-0.0411669j -0.0370625+0.00450551j 0.0186571-0.0436733j 0.0243983+0.0143396j -0.030302+0.0416172j 0.00570866+0.0061939j 0.0360668+0.0406229j 0.041751+0.0264954j -0.0178635+0.0855013j 0.0361525+0.0729786j 0.0511151-0.0662951j -0.0112644+0.0999965j 0.0242059+0.0639032j -0.00925681-0.0395243j -0.0230923+0.0431488j 0.014991-0.0313935j 0.0727187-0.0538823j -0.0272826-0.0300992j 0.0364682-0.0832043j 0.0411475-0.113417j -0.111898+0.00547229j 0.0143952-0.0051627j -0.00402733+0.129251j -0.00926906+0.0343769j 0.0165061-0.0811844j 0.000726807-0.0335734j -0.00329798-0.147488j 0.0203175-0.105913j -0.0899778-0.0845563j 
0.00397975+0.0136605j -0.0820066+0.00508468j 0.0669124+0.0138895j 0.0492949+0.0267653j 0.0142889+0.00785921j 0.0580462+0.0224082j 0.0581085+0.0293133j 0.0102004+0.0454884j -0.00250765-0.0200846j 0.00604558+0.00744674j 0.0305521+0.00651083j -0.0396283-0.0129779j -0.119443+0.00535763j -0.0064326+0.0197719j -0.0146166+0.00909893j -0.0210148-0.0256957j 0.0464326-0.0116625j 0.0625006+0.0107026j 0.0472722-0.00580344j 0.0313653-0.00888742j -0.0302873-0.0297035j 0.0349601+0.000934047j 0.00715528-0.0539089j -0.0168469-0.054493j 0.019835-0.00210094j 0.0498609-0.0282309j 0.0411019+0.0226106j 0.026283+0.0115904j -0.0700642-0.00567068j -0.055509-0.0259998j 0.00348812+0.00753796j -0.0156718-0.013262j -0.0152115+0.00504891j -0.0399988+0.0204911j 0.0430236-0.0317553j 0.0143903+0.00734577j 0.0430304-0.0209874j 0.0212162-0.0442248j 0.080197-0.0156497j 0.0317275-6.86065e-05j 0.047821-0.0140166j 0.0416901-0.0291968j 0.00987532-0.00148568j 0.0122461-0.0181305j -0.0456787-0.00223683j -0.024386-0.0217238j -0.0255359+0.0198506j 0.0168123+0.0514819j -0.0217109+0.0116425j 0.0513142+0.0337548j 0.0264806-0.021112j 0.0582933+0.013124j 0.00487003-0.045414j 0.0400493-0.0173534j -0.00304195-0.0828503j -0.0326153-0.0253627j 0.00277732-0.0190928j 0.0169266-0.0288526j -0.0117134+0.00938554j 0.0194906+0.0391211j 0.0122474-0.03908j 0.0557133-0.0359404j 0.129364-0.0306327j 0.126164+0.0407501j 0.0294768+0.0432633j -0.0283595+0.02217j 0.145579-0.0567819j -0.0203519+0.0134066j 0.0248984-0.00868056j -0.0284452+0.0143221j -0.0662653-0.00977708j 0.022213+0.0157882j -0.0251718-0.031325j 0.0735334-0.0181973j 0.0621177-0.0101094j 0.0486774+0.00705017j -0.0226478-0.0482573j 0.143668+0.0157003j -0.0844059+0.0269186j 0.0234076+0.0260813j -0.0318811+0.0566363j 0.0381268+0.00714553j 0.0140997+0.0157484j 0.0668325+0.0174212j -0.0582629+0.00620496j -0.0676638+0.0392827j -0.0448964-0.0731366j -0.0849761-0.0763117j -0.0411298+0.0164479j 0.0835598-0.0194403j 0.124469+0.0185217j -0.0204448+0.0176931j -0.0506828+0.0356981j -0.00438068-0.0121131j -0.140198-0.0159318j 0.078194+0.0284146j -0.0182039-0.0715763j 
0.0563455+0.000762872j -0.0351758+0.00168216j 0.00916221-0.0358548j -0.00626793-0.020172j -0.0480477-0.0103637j 0.0210816+0.00920497j -0.0221318+0.00400166j -0.0546046-0.00288106j 0.0476823+0.0582988j -0.0167367-0.00693411j -0.0149996-0.0306044j -0.0547284-0.0272767j -0.0187106-0.0144735j -0.00501664-0.0217037j -0.0260393-0.076458j 0.000964111+0.0382524j -0.0382015+0.022787j -0.000803001+0.0251525j 0.0391207+0.0349723j -0.00347545-0.0099706j -0.0384728+0.00169006j -0.0189727-0.0100454j 0.019816+0.0787668j 0.0394492+0.0182013j -0.0387003-0.0389092j 0.0152647+0.00710696j -0.0187628-0.0274284j -0.00456797-0.00247273j 0.0134304+0.0299487j -0.0576968+0.00732294j -0.021908-0.0208109j 0.0179779-0.00587424j 0.0436772+0.0419679j 0.0213941+0.00451315j 0.0216115+0.0343715j -0.00532516+0.0108585j -0.00577691-0.0207714j 0.0470951-0.0126944j -0.0204513-0.0580739j -0.0493343-0.0281268j 0.0194132+0.0281956j 0.00348758-0.0195972j -0.00332142-0.0531114j 0.0532836-0.0422431j -0.0197485-0.00123184j 0.0535908+0.0422024j -0.0208577-0.0297194j -0.0121701-0.0291517j -0.0531773-0.0454862j 0.014981+0.00376141j 0.0816015+0.0185551j -0.0299496+0.0172988j -0.0141165+0.0128087j 0.0376842-0.0214816j 0.042645+0.00249643j 0.0255686+0.0154621j 0.0369189+0.0182566j 0.0128335+0.0111732j -0.0766829-0.0686601j -0.00349714-0.0488514j 0.0625856+0.0513245j -0.0560046+0.0654389j -0.0480482+0.121849j -0.0366459+0.00251214j 0.0374861-0.0952383j -0.0109632-0.0194287j -0.0114458+0.00409213j 0.01347-0.00919931j 0.0332144+0.0152815j 0.0797018-0.0822046j -0.0174047+0.0729156j 0.00340501+0.00631873j 0.033018+0.10712j 0.00703868+0.0491321j 0.0635106+0.0214044j -9.78648e-05+0.0776605j -0.0589014+0.0862349j -0.0246158-0.00771215j 0.126523-0.000189514j 0.012434+0.00245309j 0.0539319+0.0394302j 0.044545-0.0508105j -0.0122234-0.0447058j -0.0907703-0.101414j 0.0983458-0.0205383j 0.0371795-0.0205582j 0.0249267+0.0105125j 0.05933+0.00779098j 0.00692146-0.0118106j 0.026146+0.043851j -0.0243294-0.0310913j 0.0339135-0.0288321j -0.0376093-0.0300933j -0.0713663+0.0543151j 0.000917677-0.111774j 0.0425698-0.0867805j -0.11734-0.0454326j 
-0.0106626-0.0104158j -0.0170335+0.0279413j 0.0130568-0.00710989j 0.03234+0.0156238j -0.00574261+0.00389288j -0.00718801+0.0130722j -0.0178008-0.0034289j -0.0270919-0.0145191j 0.0504137+0.0279948j -0.0253464+0.022498j 0.0257707+0.0207809j 0.0258003+0.0225346j 0.0454125+0.000863419j -0.0514302-0.0797866j -0.0443305-0.019064j 0.00522419+0.0968089j 0.00310518+0.00385527j -0.00208317+0.0122348j 0.0142664+0.0505097j 0.0130837+0.00737652j 0.0197295-0.00330218j 0.0350533-0.0860444j -0.0284964+0.0698164j -0.00320478+0.0143625j -0.0120158+0.000641893j 0.00282019-0.0340474j -0.0224493+0.0279735j -0.0598816+0.00419609j -0.0253532-0.000326341j -0.0610515+0.0711391j -0.0122075+0.00473491j 0.0210847-0.0152433j -0.00397422-0.0141169j -0.00154709+0.0191131j -0.0227987+0.0300768j -0.0471868-0.0269527j 0.0191957+0.0187886j 0.0296016-0.0223487j -0.00318301-0.00227041j -0.0133293+0.0491287j 0.060718-0.0543457j 0.0640414-0.0124842j 0.145956-0.0510852j 0.0297082-0.105374j -0.00231281+0.0098843j -0.0157889-0.0934263j 0.0411085-0.0443553j -0.11916+0.0538035j -0.0134468-0.00173356j -0.00995445+0.0358063j -0.000425454-0.081768j -0.0186488-0.0422237j -0.0749773+0.0929131j 0.00612947+0.0203489j 0.0330736-0.0230245j 0.0952606-0.0575784j -0.0500823+0.0202273j -0.0631011+0.0837506j -0.0401071-0.0550364j -0.0942053-0.0754804j 0.00142601+0.0795666j 0.0819323-0.00210931j 0.0555262+0.0405093j -0.0193109-0.0373156j -0.0581413-0.0392926j 0.0488295-0.0603735j 0.091013-0.0550247j 0.012886+0.00395055j 0.0341089-0.071237j -0.0449733-0.0287709j -0.096271+0.0241084j 0.000597525-0.031586j 0.015133+0.0853223j 0.0520044+0.0183225j -0.0347298+0.0292832j 0.0285215+0.00425659j -0.0511131+0.112397j 0.0142873-0.0884895j 0.0392176-0.0125749j 0.117072+0.00757412j -0.0197014+0.0631918j 0.0575637-0.108484j -0.155706-0.0264707j -0.0391324-0.0549641j 0.0910772-0.0571757j 0.00255705-0.0949126j 0.0130749+0.0713597j 0.0515362-0.00141587j -0.0103247-0.0147026j -0.0156938-0.0282362j 0.0623616-0.0323316j 0.0522502-0.00750453j -0.0977042+0.0160091j 0.0352989-0.0708851j 0.0224364+0.0312177j 0.0634581-0.0800112j -0.0469541-0.0448765j 
0.0114985+0.00266947j 0.00793202+0.0108958j 0.0140061-0.00237319j -0.0422693+0.00955842j -0.0527456+0.0285418j -0.00212675+0.0238625j -0.0705918+0.0173681j -0.0301699+0.0456211j 0.0118407-0.0144643j 0.0206517+0.00784274j 0.0168315-0.0258983j 0.00260392+0.016586j 0.0537895-0.0171424j -0.021078-0.0179309j 0.0136934-0.00768417j 0.0426158+0.0127028j 0.00539937-0.0468301j -0.0228806+0.0722407j 0.0596946-0.0457277j 0.0292004-0.0123414j 0.0148042+0.00594328j -0.0267444-0.0133211j 0.0341572+0.0132141j 0.0556338+0.0030623j 0.0119666-0.00438639j 0.00975732-0.0172845j -0.0536107+0.0135024j -0.0440892+0.0871248j 0.0276959-0.00201221j -0.0275307-0.0133895j -0.0403437+0.0392114j 0.0467314-0.0432276j 0.0342654-0.00196293j -0.0476655+0.0565832j 0.0663781-0.0317617j 0.0259258+0.0155207j -0.0532846-0.00824683j -0.0295777+0.055981j -0.0372494-0.00864892j -0.0599233+0.0584962j 0.0130508-0.0428574j 0.0562757-0.0638871j -0.0671615-0.0393763j -0.0538699-0.0560067j -0.00668701+0.0555412j -0.0515546+0.0656714j -0.0521377+0.0532577j -0.0465334+0.0963125j 0.0069897+0.110711j 0.0740007-0.0564784j 0.0240012+0.0116616j -0.0414531+0.0326109j 0.108353+0.0526892j 0.00335941-0.0290509j 0.0401535-0.0430855j 0.0265913-0.0402786j -0.0330321+0.051217j -0.0261737-0.00164449j 0.0446145-0.0540427j -0.169435+0.085957j -0.0484572+0.0363695j 0.102259-0.120848j -0.0262558+0.025756j -0.0696801+0.0343024j -0.116508+0.0380857j 0.0220397-0.0393801j 0.0194373-0.0307264j -0.00437882+0.0589742j -0.0609435+0.007679j -0.0961525-0.010695j 0.061558-0.0871868j 0.00818569-0.0402444j 0.0730319-0.0338724j 0.00229658+0.0113356j -0.105344+0.0208065j 0.104712-0.0335998j 0.0326991-0.0517458j -0.00415517+0.0279539j -0.0399845+0.0307623j 0.0304308+0.0250021j 0.00999287+0.0583957j -0.07365+0.0130668j -0.0394668+0.0191718j 0.0604178-0.00991444j 0.0129593-0.0197813j -0.0248807+0.00541407j 0.03022+0.014825j 0.0409572-0.0523872j 0.0379857+0.00237828j -0.0553533+0.0339399j -0.0639196+0.0656987j 0.0907527-0.00169647j 0.0256758-0.00244868j 0.0725617+0.020122j 0.00211099+0.0807353j -0.00101274+0.0284329j 0.0300215-0.0358931j 
-0.0195998+0.0439929j -0.0302441+0.0311251j 0.0624608-0.0186113j 0.0598684+0.0409605j 0.039467+0.0154378j 0.0374605-0.0194618j -0.0159125+0.029514j 0.0426903-0.000803275j 0.0300274+0.0407571j 0.0210326-0.0211252j 0.0470522-0.0117661j 0.01148+0.00102716j -0.0106213+0.0143665j -0.0559744+0.0129544j 0.000454442-0.0247906j -0.00348928-0.0148196j 0.0659073-0.0908448j 0.0161572+0.005777j 0.00370074+0.00492951j 0.0448018-0.0320646j -0.0132391+0.0542076j -0.00478509-0.0358512j 0.00627995-0.00114849j -0.0475527+0.0156518j 0.0242142-0.00956549j 0.0563836-0.017963j 0.0106725+0.041476j 0.0322481+0.00216405j -0.0546111-0.0348219j -0.0174664+0.0141174j -0.0357457+0.0849302j -0.0204089+0.00768342j -0.052397+0.0263839j -0.0499062+0.0150284j -0.0159544-0.013014j 0.0181912-0.0237527j -0.015664+0.0411835j 0.0152167-0.0628447j -0.00836465-0.00512922j 0.0336829+0.0224464j 0.047652-0.0552586j -0.021322-0.0338651j -0.032182+0.0128357j -0.108379+0.063294j -0.0303383+0.0183635j -0.113245+0.0363629j -0.0675053+0.0883893j -0.00522048+0.0203576j -0.00539732-0.0372691j 0.0902195-0.0536401j -0.0533162+0.0178095j 0.00626231-0.000779114j -0.00579133-0.150913j -2.72433e-05-0.059639j -0.143635+0.112169j -0.119884+0.0232741j -0.0190461+0.0329817j 0.0678608-0.0289667j 0.0368246-0.0809637j -0.145519+0.0765943j 0.0809983+0.026212j -0.0308333+0.0107663j -0.0548068+0.0590582j 0.00148726-0.000266487j 0.00620981-0.0051958j -0.0323084+0.0259092j -0.0481229-0.0886215j 0.0661614-0.042216j -0.057658+0.0113599j 0.047087+0.0571319j 0.00607076+0.0179483j 0.0532315-0.0378777j 0.0209438+0.0322798j 0.0205747-0.00742251j -0.00166284+0.0680006j 0.0450362-0.0216347j -0.0669719+0.0711963j -0.00416385-0.0445755j -0.0134504+0.0230448j 0.0892216-0.0534808j 0.0756789+0.0901933j 0.0189128-0.0133055j -0.0890174+0.0162809j 0.0278811-0.13036j 0.0271082-0.034522j -0.00597022+0.0653798j -0.0245334+0.0270628j 0.00135607-0.00864765j 0.0359816-0.0187351j 0.00564592-0.00389893j 0.0304723+0.00492885j 0.0961041-0.109153j 0.00233437-0.047839j -0.0568268-0.00226111j -0.0180648-0.0480172j 0.0538139-0.0635978j -0.0737662-0.0671351j 
