-0.157287+0.0832594j -0.0768157-0.155812j 0.0833832-0.197716j 0.208128+0.0835531j -0.0132356-0.0151764j -0.0460148-0.0389187j -0.0255209+0.153309j 0.161317+0.0508318j 0.0564607-0.0775927j -0.00945358-0.0685607j -0.0625263-0.0279903j -0.0227437+0.0500832j -0.116057+0.00312714j -0.0404202+0.0493016j 0.0737337+0.047268j 0.0719696-0.0119905j -0.0198185-0.0984346j -0.0124762+0.0729066j 0.0845304-0.0722195j -0.0236331+0.0123297j 0.080666+0.157134j -0.0213818-0.0196151j -0.0699413-0.0277266j -0.0186985-0.110843j -0.030016+0.0046316j -0.0840274-0.0211454j 0.0253284-0.0544472j -0.0489905+0.0576797j 0.0645211-0.148616j 0.000597214-0.0117516j 0.00518125+0.0183466j 0.0473535+0.0134765j -0.0649986-0.0203308j -0.0143969-0.034113j 0.00741741-0.0121705j 0.00379831-0.0849146j -0.000968511-0.0330435j -0.0659528+0.0296505j -0.140154-0.0107487j 0.00436816+0.00108892j -0.0583085+0.017999j 0.105726-0.0578504j -0.102085-0.0234805j -0.0281451-0.01689j -0.0389694-0.0685379j 0.0608887+0.0593826j 0.0492899+0.00669846j 0.0305111-0.0476651j 0.0155401-0.00423483j -0.0438299+0.0656743j -0.0048349-0.0867604j -0.0719372-0.0306427j 0.0454537-0.0898437j -0.0818463+0.0602753j -0.0290178+0.0143012j -0.0315384-0.00894463j -0.0127267-0.0157681j 0.0153208-0.106918j 0.084141+0.00237029j -0.0259535-0.0250549j -0.0470046+0.0233364j 0.12328-0.00272839j -0.0717539-0.0482121j -0.0537263-0.106255j -0.00856597+0.0464435j 0.044177-0.0433912j -0.0237271+0.0263144j 0.0225258+0.021131j -0.0497481-0.0714046j -0.064099+0.154325j 0.0628025+0.0338163j -0.0307943+0.0979123j -0.156528-0.0404423j 0.131722-0.121116j -0.120182-0.125839j -0.178305+0.0297556j 0.0327496+0.183068j 
0.0197629+0.153618j -0.15206+0.0231511j -0.00334213+0.00577189j -0.00426655-0.00260585j 0.214693-0.0687835j 0.111966+0.179252j -0.00463371-0.106871j -0.080323+0.104208j 0.094816+0.041152j 0.000482872-0.096757j -0.144394+0.0383203j -0.12248-0.120968j -0.00415951-0.182292j 0.00229113+0.0745472j -0.081123+0.103491j 0.0536136+0.038377j 0.01203-0.061545j -0.0388625+0.0120639j 0.0990797+0.0198042j 0.0784577-0.0831935j -0.0199644-0.151972j 0.108865+0.0400641j -0.02342-0.0640397j -0.0520044-0.0710203j -0.0100633+0.118822j 0.0513233+0.0512969j -0.0663681+0.0179088j 0.0173702-0.0627396j -0.0627912-0.0101317j -0.0666692-0.0886149j 0.101105-0.0576631j -0.152145+0.0494164j -0.0514042+0.0611095j -0.113311-0.00225492j 0.0456961-0.00380656j -0.106445-0.0257082j -0.105464+0.0584579j -0.0459308-0.048438j -0.0164296+0.0208774j 0.0264767-0.0289616j -0.0210762+0.0270933j -0.0743841-0.0571046j 0.0673777+0.00311989j -0.0514835+0.0272402j 0.0345156+0.00697004j 0.0175939-0.0115439j 0.00144848-0.063289j -0.0163856+0.029139j -0.0153085-0.11868j 0.0484354-0.0216796j -0.0534816+0.0375469j -0.0273077+0.063314j -0.0492084-0.115719j 0.0215996+0.146799j -0.000253559+0.0210474j 0.0045758+0.0655164j 0.0932121-0.0957582j -0.0211318+0.0259876j 0.0732781+0.103701j 0.111054-0.0705692j -0.0825577+0.0223478j 0.0657859+0.0247688j 0.0780042+0.0208142j 0.0292115-0.0402852j -0.132598+0.0341986j 0.0424704+0.0942242j -0.0649129+0.0603613j -0.115611-0.0857254j 0.000871413+0.0148853j -0.1644-0.0489104j -0.0036557+0.121703j -0.0479486-0.117855j 0.12766-0.119336j 0.0567556+0.0370206j 0.0394584-0.0553995j -0.0282512+0.182253j 0.180817+0.0305559j 
-0.046447-0.0940397j 0.0921342-0.0487773j -0.128623+0.0418259j -0.0436436-0.130425j -0.00897617+0.0744955j -0.108283+0.0353783j 0.0746746+0.0634328j -0.00483398-0.0520388j 0.112307+0.0895927j 0.0318017-0.21834j -0.137846+0.133028j -0.199798+0.0573522j -0.137005-0.108867j 0.0824121-0.119942j 0.130325+0.112975j -0.191571-0.0431583j 0.0782984-0.11299j 0.0439892+0.0870943j 0.0441886-0.0434609j 0.0726901+0.0850284j 0.063832-0.10051j 0.0609458+0.039063j -0.0768801-0.0300554j 0.0297478+0.00739546j -0.0885606-0.106967j 0.0923306-0.0486442j -0.0608054+0.102449j 0.00838245-0.0229459j 0.0461277-0.064306j -0.0116539-0.0574862j 0.0123623-0.0134049j -0.0841201-0.0632784j 0.0474925-0.113711j -0.089273-0.0325371j -0.0735335-0.0315711j 0.0553047-0.0273651j -0.00579112+0.0836913j -0.00136635+0.0441958j 0.0940812+0.00180465j -0.0147878-0.0452619j 0.0258762-0.00111614j 0.00705736-0.0211328j -0.0356986-0.0201765j 0.0419777-0.0473044j -0.0223726-0.00406266j -0.0679456+0.0819078j 0.0485818-0.104618j 0.0275968+0.0707185j 0.115545+0.069077j 0.00145227-0.0822745j 0.022297+0.109811j 0.0276987+0.0215026j 0.0605066-0.121513j -0.00682663+0.00897978j 0.110388+0.0109337j -0.0831943+0.0475747j -0.0338819+0.125831j -0.0866846-0.0984608j -0.0169157-0.0689828j 0.109635+0.042981j -0.0134091-0.137438j 0.103263+0.0392376j -0.173371+0.0766103j 0.0104339-0.0117918j 0.0716493+0.178211j 0.0984332+0.00143259j 0.122012+0.0664857j -0.143619+0.140508j 0.0586551+0.0756282j -0.0492299+0.047382j 0.0376024+0.0338579j -0.0620864+0.0363861j -0.0558723-0.0954073j -0.214431+0.0595048j 0.0581715+0.204495j -0.0582237-0.066961j -0.067067+0.0561893j 
0.0531784+0.0311543j -0.0304028+0.054404j 0.031785+0.0700059j -0.0703634+0.0297764j 0.113296+0.108879j -0.203696+0.0765755j -0.0738063+0.242592j 0.165998+0.140269j 0.0167098-0.0186294j 0.022594+0.136219j 0.194706+0.0228165j -0.185509+0.0873946j 0.0357374-0.133831j -0.0316906-0.140937j -0.0856548-0.0499291j 0.0246062-0.0826821j 0.0536298+0.0797415j 0.0772577+0.0510552j -0.0902218+0.0785984j 0.00905991-0.0842163j 0.0515887-0.0412129j 0.100692-0.0209194j -0.00913922+0.0448438j -0.0852724+0.0235104j 0.0215475-0.0461828j -0.019544-0.0557904j -0.00474583-0.014235j -0.00679438+0.0229244j -0.0871303-0.0514965j -0.00585222+0.0318738j 0.0327957+0.101952j -0.022988-0.00336887j 0.056644+0.0193222j 0.119294+0.041033j 0.0679244-0.0743492j -0.0256447-0.124522j 0.124966+0.0231681j -0.0770046-0.0289197j -0.0377854+0.002238j -0.0645306+0.00511147j 0.109468-0.00719925j 0.0351216-0.133059j -0.0188643-0.0689721j 0.0666133+0.0134054j -0.0244434+0.0489161j -0.0393709-0.0732936j 0.0239322-0.0558026j 0.00947122-0.01939j 0.018685-0.116148j -0.0406906+0.0311423j 0.00809788-0.0316861j -0.0247714+0.068653j -0.0393685+0.130907j -0.0648582-0.0414504j -0.0686459-0.039342j -0.086968-0.0327363j 0.0948269+0.0152908j -0.0120042-0.00651042j -0.0512989-0.00627865j 0.0397356-0.068523j 0.10492-0.00264121j -0.0875676+0.0909999j 0.0343371-0.00563852j 0.0193707+0.174805j -0.0612914+0.129783j 0.203599+0.127666j 0.117086-0.0848712j 0.00477084+0.00546173j -0.0771899-0.0149811j -0.162879+0.0886041j 0.0210268+0.273807j 0.270643+0.0575081j -0.0652441+0.159627j 0.0003785+0.000193285j -0.00236111+0.0021617j 0.0369072+0.00624454j 0.00623293-0.0359952j 
-0.0779572+0.0405617j -0.0409717-0.0798859j -0.0833353+0.118714j -0.125403-0.0833186j -0.0904709-0.17561j 0.126111-0.0836654j -0.00141081+0.0530658j 0.101775-0.0499098j -0.0698004+0.0798793j 0.184881+0.0391682j 0.0142449-0.0914751j -0.0621617+0.0457734j -0.0396602-0.116326j 0.0142186+0.0342601j -0.0359385-0.0827336j 0.135631-0.0178023j -0.0962939+0.0557333j 0.121303+0.0370331j 0.0257451-0.0394105j 0.0894116-0.0348275j 0.0291808-0.0135729j 0.028107+0.104109j 0.0992351-0.0385723j 0.0518515-0.128214j -0.0235475+0.148949j 0.0226361-0.0530689j 0.0604447+0.166545j 0.0585108+0.0332485j -0.0172333+0.0440576j -0.000126025+0.0775708j 0.00216406+0.0972496j 0.012413-0.00642059j 0.032552+0.0335065j -0.0450646+0.00317617j -0.0526136+0.01067j 0.0812078-0.0123697j -0.025303-0.0170961j -0.00378726+0.0136627j 0.0914064-0.00158076j 0.0163727+0.0506743j -0.0946574-0.119909j 0.0142815-0.0163698j 0.0228291-0.0143049j -0.168423-0.00428381j -0.175513-0.0341178j -0.014768-0.0264449j 0.0218537+0.093069j 0.0911755-0.0834242j 0.0120914+0.000284552j -0.0167928+0.0205777j 0.0571506+0.150818j 0.110113+0.000980722j -0.0581644-0.0453892j -0.0422756+0.0358649j -0.0861901+0.0572179j -0.0800285+0.030352j -0.0318064+0.199989j -0.111392-0.00295755j 0.0972329+0.0601608j 0.0229619-0.0920028j 0.0355117+0.110218j -0.0958817-0.0140912j 0.0792333-0.122677j 0.103493-0.00302195j -0.0909864+0.153349j 0.18015-0.0510643j -0.206805-0.141239j 0.00611246-0.231557j -0.134898+0.0929799j 0.11313+0.0114914j -0.0631865-0.108184j -0.0666722+0.139182j -0.123903-0.0278321j -0.0541618+0.108228j 0.107487+0.052063j -0.0306277+0.00385138j 0.00417381+0.0295115j 
0.0778667-0.015501j 0.0119545+0.0773186j -0.0379018+0.0788652j -0.0870158-0.0377815j 0.0331486+0.00948405j 0.0231647+0.0498436j 0.0239502-0.0787608j -0.0780388-0.0229472j -0.0119416+0.0343985j -0.0090027+0.0205337j 0.0182932+0.0239441j 0.00810522-0.0511024j 0.0803641-0.0134922j 0.0295631-0.0194351j -0.0450544-0.0171831j -0.034668+0.010695j 0.0107506+0.0441537j 0.0044553-0.0359995j -0.0377531+0.0436404j 0.0257139-0.0292158j -0.0495138-0.108516j 0.0108448+0.0196261j 0.0291283+0.00981027j -0.0117987+0.0591845j 0.0238553+0.00933729j 0.051948+0.0259106j -0.0239022+0.0222799j 0.0281616-0.0435389j -0.0476897+0.0793998j -0.00722528-0.0013639j 0.0122289-0.0261313j -0.0576003-0.00519773j 0.0346469+0.024375j -0.00592187+0.0253742j 0.00674627+0.00179156j -0.0227212+0.0464076j -0.00944853+0.0250384j 0.0284151-0.0165085j 0.0683868+0.0189489j 0.00125775-0.00328915j 0.032874-0.00221722j -0.069562+0.0249744j 0.0684829+0.0243015j 0.0175927+0.0204436j 0.0367894+0.043934j -0.0227502-0.0428298j -0.0301199-0.0195633j -0.0226324+0.02896j -0.0169132-0.0213465j 0.0338302-0.0442706j -0.00223245+0.0456133j 0.0268483+0.0233276j -0.029938+0.0363757j 0.04927-0.0216036j 0.0153683-0.0121258j 0.0211455+0.00352837j 0.018721-0.0176049j -4.03035e-05+0.0671695j -0.0432776+0.0122757j 0.0280271+0.00398224j 0.0123461-0.0176334j -0.0552186+0.0119877j 0.0535294+0.0220962j 0.0363558+0.0393878j -0.0178428-0.030317j -0.0178509+0.0412261j 0.00224393-0.0139898j -0.0308753-0.0102058j 0.0457384+0.0337135j -0.00557575-0.0816716j -0.0250619+0.0124425j 0.00531067-0.0627135j 0.0919504-0.00866751j -0.0446652+0.0656099j 0.0641272+0.0377374j 0.0796421-0.000788231j -0.00395107-0.0821157j 
0.0233252-0.0694063j 0.067209+0.0209562j -0.0360123+0.035472j -0.0392513-0.0395675j -0.0750678+0.0119174j -0.0188362-0.0495429j 0.0210761+0.00160022j -0.00669884-0.0599599j -0.0407877+0.0160286j 0.0023962+0.0193455j 0.0393623+0.0217626j 0.0246938+0.0424646j 0.00351339+0.0543418j 0.0256422-0.0358752j 0.024007-0.0317232j -0.0566123-0.0192048j -0.000129418+0.0373821j 0.0194428-0.0131727j -0.051567-0.00213606j -0.0144908+0.0412869j -0.00545527+0.0204622j -0.0514396-0.0102372j 0.0272833+0.0328479j 0.0220738+0.0497552j 0.00854175-0.0482121j 0.00682901-0.021373j 0.00832334+0.00826088j 0.0128026+0.0116481j 0.0129414+0.0414245j 0.0233887+0.0322471j -0.0418371+0.0174258j 0.0550114-0.0231201j 0.0392361-0.0353772j 0.035089+0.00573743j -0.0319458+0.00674451j 0.0486451+0.0340947j 0.0308557-0.00990339j 0.0335508+0.0169297j 0.0534773-0.00154142j -0.00929716+0.00604377j 0.0146686-0.0164234j 0.00715197+0.0378788j -0.00350829-0.00325227j 0.0290896-0.0162411j -0.00407201+0.0112097j -0.0312341-0.00280867j -0.0121237+0.0244621j 0.00784637+0.00740274j 0.0139142+0.0684626j -0.0127099-0.014391j 0.0341118+0.0151653j 0.0349807-0.0230275j 0.0160984+0.047274j 0.00198273-0.0712987j 0.0216047-0.00745416j 0.0105132-0.0117282j -0.037973+0.0566197j -0.00420482+0.00960134j -0.0435954-0.0429583j -0.0223174+0.0375359j 0.0320893-0.0305284j -0.0420184-0.00293701j -0.0227703+0.0180253j 0.0164456+0.0291966j 0.0639236-0.0160539j -0.0248724-0.025354j 0.0333288-0.034357j 0.0254823+0.0200923j 0.00967214+0.0283071j 0.0653777-0.026511j -0.0228298-0.048415j 0.00781654+0.0247426j -0.00585048+0.0321294j -0.0576365+0.0199934j 0.023072+0.0532563j 0.0266024-0.0695248j -0.0698533-0.030141j 
0.00157459+0.00318866j -0.00349525+0.000826367j -0.00541647-0.0147929j 0.0138844-0.00728112j -0.00807751-0.0171511j 0.00792996-0.00847707j -0.00299209+0.0117345j 0.0177814-0.00732611j -0.0120654-0.00456005j 0.00433902+0.00253349j -0.00241613+0.0064897j -0.00514179+0.00632447j -0.00634441+0.00405972j 0.0104472+0.000576132j 0.0172322+0.00205763j 0.00277781-0.00880266j 0.00434438+0.0165505j -0.00322173+0.00390666j 0.00677755+0.00647797j -0.0156996+0.0323183j 0.00961884-0.0301006j 0.0382969+0.00619933j -0.0201419-0.0128518j 0.0186143-0.00204796j -0.012923-0.00614118j 0.0323143+0.00910705j -0.000373298+0.0277061j 0.0122339+0.00986566j -0.00169754-0.0112646j -0.00311462-0.0192261j -0.00304505-0.00230627j -0.012914-0.00279274j 0.00033236-0.00480935j -0.00184863-0.00992946j -0.0152202-0.010109j -0.00142794-0.00131924j -0.000540008+0.0181574j -0.00270131-0.00319187j 0.0195382-0.0229681j 0.0115929-0.00151476j 0.00630856-0.0016558j -0.00411636+0.0134972j 0.00302822+0.00337102j -0.0112712-0.00565975j -0.016134-1.48875e-05j -0.00645723+0.00608096j 0.0231954-0.00607999j -0.00350387+0.0109349j 0.0273839-0.0123941j 0.00939739-0.00926653j -0.00604525+0.015734j 0.0134393+0.00498947j 0.0166117-0.00417627j -0.00495347+0.00671051j -0.00109308+0.00137754j 0.00444501+0.0137816j -0.00202752+0.0282859j -0.0119335-0.0204364j -0.0223477-0.000892708j 0.00546703+0.0109948j 0.00408097-0.0185245j -0.00891674+0.00680829j -0.0135027-0.0111507j 0.0110499+0.010992j 0.0191096+0.00606063j -0.00856454-0.0176875j 0.00194122+0.00623296j 0.00608368+0.00477997j 0.000283436-0.025355j -0.0142916-0.00111961j 0.00389983+0.00150802j -0.0090344+0.00634478j -0.00660105-0.00492506j 0.0163046+0.0141374j 0.014619-0.0167208j -0.00305429+0.00515679j 0.0050028+0.00199827j 
0.00165106-0.00134789j 0.00129122+0.00166756j 0.00142493-0.0123752j 0.0131302+0.00216162j -0.019258-0.0039158j 0.0130899-0.0213571j -0.006856-0.0178658j -0.00934719-0.0107039j -0.011407-0.0117266j -0.00661099-0.0018207j -0.00994524-0.000976001j -0.019412-0.00540324j 0.00880301-0.0263566j -0.0188632-0.0137364j -0.00429356-0.00217316j -0.0109061+0.0240725j -0.0130087+0.0178883j -0.00259846+0.0219159j -0.0338366-0.00552845j 0.0242939-0.0169796j -0.00210963-0.0190385j 0.0192005-0.00766187j 0.00112459+0.0167822j -0.0122719+0.00720751j 0.0111019+0.00131736j 0.00209852+0.00412703j -0.0145589-0.0104603j 0.00168703+0.000395791j -0.00773233-0.0121667j 0.00475843+0.011414j 0.00373728+0.0193068j -0.00296839-0.0119831j -0.00111185+0.00485762j 0.00964779+0.00967496j 0.00524348-0.0035798j 0.0123519-0.0032165j 0.011529+0.00489709j -0.000295918-0.000380584j -0.0183416+0.008352j 0.00771091-0.00197864j 0.0174296-0.00397415j -0.00590522-0.0119777j -0.00210934-0.0111791j 0.00769837-0.00172606j -0.0120972+0.0140217j 0.0069163-0.00570018j 0.0035263-7.72708e-05j 0.00597065-0.000540517j -0.00681915-0.01494j -0.0115767+0.0108919j 0.014415-0.00816233j 0.00175382-0.0092176j -0.00210283+0.0046538j -0.0119115-0.0204579j -0.00831734-0.0128968j -0.0295084-0.00692838j -0.00365313+0.0168355j -0.00890954-0.00720205j -0.0225795+0.00448906j 0.000664868-0.0119803j -0.00847419-0.0213845j -0.00791281-0.0145533j 0.00339551+0.00511481j -0.00678+0.0110619j 0.00227648+0.0164563j 0.0108849-0.00231259j -0.00706693+0.0119828j -0.0176263-0.00354451j 0.0077505+0.00921611j 0.00740424-0.00536956j 0.0149483-0.0105453j -0.0117287-0.0356414j 0.0320772-0.00797097j 0.0141045-0.00211762j -0.00119425-0.0138122j -0.0015195-0.000735941j -0.00076475+0.00150875j 
0.0103992+0.00358907j -0.00354758+0.0101865j 0.000593926-0.00795923j 0.00823803-0.00105009j 0.0114951-0.004892j 0.000156998+0.00122058j -0.0159524+0.00691088j 0.00419181+0.0129704j -0.012149+0.0148968j 0.0377063+0.011911j -0.00959022-0.032671j 0.0139538-0.0210244j 0.0111398+0.00252491j 0.00680957+0.00798415j 0.00846542+0.0134615j -0.00555259-0.00543003j -0.0043761-0.0151516j 0.0140139+0.00401945j 0.000615445-0.00516308j -0.00430907-0.0250998j -0.0158559+0.000423902j -0.00341027+0.00836615j -0.00494461+0.0132704j -0.00918106+0.0207491j -0.00221404+0.0110472j -0.0229701+0.0021291j -0.0100892+0.0113554j -0.0122083-0.00444211j 0.0162295-0.00290874j -0.0102702+0.00727137j 0.00883371-0.00227477j -0.0220333-0.0161122j -0.00841162-0.0144868j -0.0148853-0.0064745j -0.00831697+0.0120792j 0.00830327+0.00548982j 0.00882639-0.00195234j 0.00678878+0.00292018j -0.0035267-0.00261603j -0.00333138+0.00657952j -0.00406692-0.00409067j -0.00935232+0.00707091j -0.000449466+0.0191036j -0.00533055-0.00179369j -0.0197886+0.0102188j -0.0164587+0.012265j -0.0143818-0.0184844j -0.011412+0.0031541j -0.00457216-0.00357497j 0.00605967-0.0026139j 0.00318943+0.0153569j 0.00261494-0.0113447j -0.000478361-0.00672692j 0.0101985-0.0024488j -0.00423092+0.00399214j -0.00815969+0.00611339j -0.00513253+0.0109165j -0.0215709-0.00110753j 0.00306973-0.00366717j 0.0152131-0.0309154j -0.00754371+0.011444j 0.011148-0.0196163j 0.020219+0.0180973j -0.0209959-0.015757j 0.00787015+0.00709787j 0.00230854-0.00848597j -0.0105492-0.00357958j 0.0128694+0.00840825j 0.0275244-0.0193992j -0.0174075-0.0221159j -0.013047+0.0199244j 0.0112365+0.00373743j -0.000353782+0.00508426j 0.0111149-0.0131391j -0.0128095-0.011239j 0.0060068+0.00168766j 0.0018057-0.00635431j 
-0.00776845+0.00787389j -0.0077475-0.0075923j -0.00955829-0.00313198j 0.00312056-0.0080794j -0.0196584-0.00605106j 0.0119929-0.0206663j -0.0129251-0.0167009j -0.0129567+0.0129553j 0.0260578+0.0186169j 0.0188817-0.013305j 0.00863896-0.0137739j 0.00630569+0.00665174j -0.00573702+0.0111709j 0.0159257-0.0141387j -0.0144886+0.0087639j -0.0101071-0.019289j 0.000504977+0.0178934j -0.00685892-0.0212939j -0.00418088-0.00586866j -0.020714-0.00371979j 0.00613112+0.00234052j 0.000910343-0.00593021j -0.00620865+0.00252544j -0.0136129+0.000122483j -0.00357063-0.00864603j 0.00486137-0.00330445j 0.00016637-0.0132233j -0.00673083+0.000981066j -0.00788547-0.0145419j -0.0131093-0.00449632j 0.0179808-0.0237395j 0.00925284+0.00822515j -0.0098834-0.00942094j 0.00464036-0.0016956j 0.00259601-0.024818j -0.00430776-0.00995445j 0.00954628-0.00134576j -0.00562203+0.0036421j -0.00353344-0.00527401j 0.00795996+0.00498247j -0.00784694-0.00314799j 0.00357352-0.00505842j -0.00639415-0.00892607j 0.0175226-0.00465111j 0.0271167-0.00670051j 0.00262119+0.0107673j 0.000467212-0.0173975j -0.00897062-0.00750411j 0.019188+0.00550411j 0.00244569-9.35657e-06j 0.00896598-0.0152251j 0.0206565+0.0085511j 0.00916789+0.00263391j 0.00188599+0.022264j 0.00494726+0.0019674j -0.00811146-0.0194293j 0.00997882+0.0041374j -0.0185024+0.0127575j -0.00262354-0.00410963j -0.0164529-0.00483362j -0.00392082-0.0186259j 0.00736576-0.0172555j -0.0126808+0.0029952j -0.01136+0.00224223j -0.0153814+0.0144525j 0.0216414+0.0161721j 0.00186792-0.0311507j 0.0399303-0.00472621j -0.000245062-0.0223668j 0.0103668-0.00977155j -0.00668766-0.0215201j -0.0155548-0.00403862j 0.0078275-0.00499082j 0.000373298-0.0010264j -0.000863291+0.000515483j -0.000307712+0.00451209j 0.00453803+0.0005932j 
