-0.160382+0.109462j 0.107203+0.158496j -0.0512772+0.0783273j 0.0983032+0.0717274j 0.0702356-0.0383212j 0.0934983-0.090866j 0.0122747+0.166896j -0.214495-0.0506715j -0.0226741+0.0720983j -0.0214021+0.178138j 0.0902488+0.0766582j 0.102835+0.0315979j 0.10076-0.0696953j 0.0949008-0.18309j 0.0541846+0.0827904j -0.163996+0.0608596j -0.013432-0.0601393j -0.100385-0.0526429j -0.0391799-0.0449614j -0.243899+0.00530133j -0.0894325+0.0857618j -0.038485-0.0151056j -0.0779594-0.103052j 0.0755723+0.0694544j -0.120769-0.0185151j 0.0655204+0.0133235j -0.0476644-0.206636j 0.0574706-0.0103524j -0.0951694-0.157953j -0.0235318-0.0346678j -0.0795524-0.0892115j 0.0558739+0.178266j 0.134798-0.0838615j 0.0489238-0.059012j -0.0477842+0.0389123j -0.107403+0.156394j 0.0708503-0.033858j 0.0111076+0.086376j 0.119524-0.0108421j -0.0493448-0.000753261j 0.209902+0.0401091j -0.0487929+0.218164j 0.0960919-0.0494197j -0.0434349-0.0789738j 0.0676079-0.205644j -0.208459-0.0898482j -0.0620225+0.0603742j -0.000844799-0.016763j -0.133372+0.0722526j 0.0961632+0.148305j 0.0665723-0.0663423j -0.00756717-0.0228304j -0.0197974-0.0304525j 0.0172591-0.018298j -0.0427578+0.0335415j -0.0406608-0.0202492j 0.0153298+0.00467815j 0.000546731+0.0311548j 0.0159112+0.0247233j 0.00266624+0.0118733j 0.0120151-0.0196786j 0.000470711+0.0257098j -0.0296726-0.0105075j -0.0320833-0.00190735j -0.00828689+0.0162554j -0.0210543+0.0227636j 0.00189438+0.00913243j 0.0351423+0.0202414j 0.0197088-0.00535484j -0.021712-0.000958473j 0.00116714-0.0131902j -0.0126741+0.0119291j -0.0115714-0.0128537j 0.0135222+0.00340283j 0.0163364-0.00510193j 0.00962532+0.0152923j -0.00282717+0.0346802j 0.0117862+0.0186187j -0.000509688+0.0307588j -0.00864299-0.0254678j 0.0371891-0.00940551j -0.00878611+0.00809317j 0.00556704-0.0136969j -0.00625687-0.020417j 0.015565-0.000958291j -0.0273118+0.0147211j -0.00376657-0.0132011j 0.0204328+0.0138598j 0.00136422-0.0194469j 0.00681643+0.00034152j 0.0223411-0.00876336j 0.0147133+0.0301335j 0.0245025-0.00937357j -0.0070318-0.00533235j 0.0150537-0.0199128j 0.0162873+0.0116446j -0.0692137+0.038369j 0.0396044+0.0703726j 
0.00998676+0.0966814j 0.0965359-0.0113448j -0.141152-0.135461j -0.147802+0.158697j 0.00485929+0.0462688j -0.0643287+0.148652j -0.203622-0.16194j 0.147207-0.108929j 0.011166+0.0703414j 0.121999-0.0121805j 0.0970974-0.0323666j 0.0771453+0.0095077j -0.0521681-0.0276445j -0.0505903-0.152163j -0.107305-0.0353545j -0.0195717+0.208928j 0.0625555-0.0533622j 0.0981631-0.0535078j -0.0352183-0.101812j -0.0688523+0.0312205j 0.0189214+0.0139478j -0.0547589-0.0754594j -0.0184337+0.181366j 0.0901466-0.0364013j -0.147599+0.0137828j -0.00658961-0.0293128j 0.0509382+0.0112705j -0.00969128+0.0463659j -0.00932579+0.0906471j 0.0837334-0.134592j -0.0960267-0.0638329j 0.15883-0.013534j -0.0148428+0.0109424j -0.0852229-0.0110696j 0.00259095+0.0623096j 0.0945536+0.0396486j 0.106406-0.0928899j -0.222677-0.182009j -0.14349+0.182005j -0.0494422+0.0495334j 0.0133295+0.31687j -0.319954-0.00349855j -0.0424666-0.0420725j -0.0732722+0.0639915j -0.160303-0.0656429j -0.0327737+0.176438j 0.0896392-0.0929008j -0.0963815-0.0725171j -0.0542564+0.00794473j -0.0384762+0.0296663j -0.0017082+0.0341136j -0.00399709-0.0121662j -0.0494503+0.00336265j 0.025316-0.0173123j 0.0130952+0.0651437j -0.00711126+0.00756993j 0.0160309+0.0170373j 0.00775043-0.0157788j -0.0169233-0.00382381j 0.00375184+0.00052206j 0.0217525-0.0315796j 0.017942-0.00964556j -0.0126647-0.0207817j -0.018818+0.0204489j 0.020317-0.0141358j -0.0016426-0.0142628j 0.0172686+0.00384841j 0.0193912+0.00243488j 0.0031599-0.000929548j -0.0247893-0.0162517j 0.00747554-0.00185346j 0.00730407+0.0185189j -0.0152784+0.0058087j -0.00198154-0.00436365j -0.0230205+0.00328244j -0.0118857+0.0117249j 0.0166875+0.0133786j -0.0121803+0.00762944j 0.00413867+0.0110475j -0.00704388+0.000340851j 0.00340255+0.00707255j 0.00389995+0.0190931j 0.015407+0.00640095j 0.00942189-0.0187011j -0.0177272-0.0069587j -0.0137076+0.0213278j -0.0124823-0.00463341j 0.000736874-0.000569j 0.0123161+0.00159079j -0.004831+0.0137442j 0.01433+0.0167177j -0.0149219+0.00142129j -0.0115639+0.0063938j -0.00713746+0.015322j 0.0308255+0.0299272j -0.0292483+0.0276852j -0.00270909+0.0380536j 0.038113+0.0033005j 
-0.113029+0.115629j 0.112093+0.110776j -0.0727094+0.132715j 0.136896+0.0743726j -0.00747595-0.00593324j -0.0315538-0.00993793j 0.035771-0.0602425j 0.0723366+0.0549866j 0.0244303-0.043542j 0.00795623-0.0384684j 0.0119989-0.0124494j -0.0303041-0.00221149j -0.000890933+0.00532986j -0.00600808+0.0121709j -0.00695557+0.0110011j 0.0443909-0.0322566j 0.0163923+0.0398186j -0.00202792-4.9206e-05j 0.0391187+0.00471961j 0.051729-0.00964948j -0.0122302-0.0552182j 0.00334841+0.04214j 0.0274147+0.0230975j -0.0395012-0.018194j 0.0396967+0.0227186j -0.0141912+0.013316j 0.027913+0.0587085j -0.0441964+0.0238525j 0.0411589+0.0118815j 0.00143663+0.018578j -0.013094+0.012621j -0.0191681-0.0409473j -0.0448548+0.0463236j 0.00872505+0.0338705j 0.020705-0.00676215j 0.0101885-0.0303199j -0.0297087+0.0116413j -0.0194493-0.0393735j -0.0594444+0.021419j -0.0099406+0.0144294j -0.0925175-0.0379315j 0.0437344-0.0871896j 0.108176+0.0263306j 0.0225314-0.103635j -0.0700353+0.0773613j 0.0738396+0.0831245j 0.0296324-0.0393413j -0.0277742+0.0131489j -0.00184692-0.00772449j 0.00632606+0.0735073j 0.0962756-0.0368306j 0.0364156+0.00692847j 0.0343816-0.0691497j -0.122918-0.0490554j -0.0778169-0.105096j 0.012952+0.013808j 0.0227427+0.045187j 0.00937643-0.0792199j -0.0182958+0.0978746j -0.0674673-0.0118109j 0.0701867-0.0173648j -0.03768+0.162533j -0.0473907-0.0291918j 0.0459307-0.0167147j 0.0261214-0.0401595j -0.0331081+0.0861293j 0.0679632+0.00221238j 0.0570559+0.0241061j 0.0551814+0.00438765j -0.109215+0.0145864j -0.00290225+0.0224088j -0.0903027+0.00841866j 0.050934-0.024027j 0.128806+0.0154186j -0.00367177-0.102351j 0.0995506+0.0869076j -0.0349704+0.00653837j -0.0453429+0.0139086j -0.00402119+0.140084j -0.0059064-0.0192436j 0.0874805-0.00904603j -0.0440866+0.0771009j -0.013294-0.0885202j -0.0446226+0.00286563j 0.075427-0.0220597j 0.0125873+0.017106j -0.0634335+0.0641501j 0.0391098+0.00271503j 0.00299492+0.00980455j -0.135247-0.0209075j 0.0165927+0.135726j -0.0181049-0.00576663j -0.0231616-0.0631776j -0.0784057+0.0331866j 0.117996-0.182885j 0.176821+0.109569j -0.177167+0.0813106j 0.0850206+0.179972j 
-0.0681206-0.116474j -0.116445+0.0705263j 0.0551873+0.056603j 0.0579976-0.0447806j 0.124437-0.0172884j -0.0486633-0.117909j 0.0317607-0.0658776j 0.0395014-0.0676705j -0.0644574+0.00856756j 0.017607+0.0105489j -0.00252542-0.0630765j 0.0371575+0.00217291j -0.0254776-0.0110392j -0.0291566-0.00968828j -0.00146711-0.0239739j 0.0121028+0.0424086j -0.0280069+0.00774625j 0.0282231+0.00215472j -0.00222622+0.0127978j 0.00187875+0.0213878j 0.0183751-0.00771054j -0.0284022-0.0289464j -0.0110341+0.0156208j 0.0237156-0.0524036j -0.0349744+0.00184578j 0.0204685+0.00607023j 0.00171776-0.00127072j -0.0325739-0.0125203j -0.0194927+0.0282347j -0.016792-0.0366624j -0.0340311-0.0293323j 0.0345873+0.0159617j -0.014998-0.00645681j -0.0146585-0.0225706j -0.0343957+0.0407378j -0.0113872+0.00715614j -0.0361003+0.0171095j -0.0109162+0.0256957j -0.00149719+0.00882887j -0.00991757+0.0534339j 0.0238444+0.0771157j -0.0742343+0.0170384j 0.0194181-0.0161194j -0.00819085-0.0180707j -0.00306681+0.0816319j 0.0705368+0.0268792j 0.128736+0.00855957j 0.00745176-0.188191j -0.153821+0.10002j 0.149674+0.0324506j -0.154249-0.104949j 0.0438674+0.0839194j 0.0427855-0.0461184j -0.0678478+0.0773436j -0.0334315-0.127328j 0.116906+0.0789434j 0.0565482-0.140349j -0.075414-0.0357983j -0.12126+0.0921959j 0.0172037+0.00562276j -0.0194591-0.0222542j -0.0867078-0.0358748j -0.0276118-0.0339145j 0.0663409-0.0221351j -0.0810539+0.0873892j -0.047449-0.077718j -0.103249+0.0328794j 0.0194409+0.0334746j -0.0902068-0.0437659j 0.0251535+0.0245077j 0.036789+0.0909766j 0.0359919-0.0242953j -0.0378398-0.00373928j 0.0502618+0.0917762j 0.0863414-0.0272892j 0.0438018+0.113781j -0.100749-0.000967942j 0.054442-0.00502701j -0.027167-0.130466j 0.0104836-0.00860044j -0.00345321-0.0384447j -0.142012-0.0104751j 0.0130042-0.0275402j -0.0128421+0.0406742j -0.0653544+0.0978762j 0.152146-0.14469j 0.0272809+0.0459909j -0.000145888-0.187131j -0.133447-0.0724555j 0.0228893+0.0680294j 0.121016-0.0503638j 0.122466+0.0134262j -0.0934304-0.157513j -0.0982187+0.101427j -0.128685-0.0941839j 0.0985089-0.126091j -0.0141338-0.183876j -0.183109+0.0122011j 
0.0761762-0.0111848j -0.0112902-0.077856j -0.120009+0.0364091j 0.045838+0.1206j 0.00428289-0.106963j -0.101203+0.013664j -0.0223548-0.0416888j -0.0338294-0.0184403j -0.0604959-0.0286351j -0.0669788+0.0733501j 0.0262138-0.0080237j 0.020217+0.0536056j -0.0115756+0.0095631j 0.00289493+0.0248476j 0.0192264-0.014979j -0.0219087-0.0203356j 0.0242086+0.0129179j -0.00948832+0.0186539j -0.00242044-0.00199258j -0.0190147-0.0124392j 0.0282657+0.0295487j 0.0133943-0.0117618j -0.00114276-0.00851274j -0.0106956+0.0152584j 0.0268616-0.0208538j 0.0196287+0.008761j -0.00822666-0.00451566j 0.0114915-0.0221083j -0.0273932-0.0162951j 0.0150964+0.00946903j 0.0321816+0.0232898j -0.0316434+0.0050194j -0.0123194+0.00179575j 0.0321856-0.00326542j -0.0125422-0.0565636j -0.00574056+0.0290553j 0.0281528-0.0329457j -0.0464215+0.0113104j 0.0228592+0.0369558j -0.00538434-0.0318614j -0.0783134-0.0688611j 0.0663828-0.0755082j 0.0302943+0.0967103j 0.0893859-0.0503271j 0.0759521-0.0629758j -0.0642591-0.0492904j 0.0816514-0.0609569j -0.145089-0.116583j -0.0483399+0.11671j 0.0311008-0.036976j -0.133638+0.0290346j -0.118401+0.166752j 0.0897335+0.157855j -0.0527343+0.055217j 0.0927609+0.0643123j 0.0696981+0.0391609j 0.140594+0.0144341j -0.0802409-0.0484136j 0.104034+0.108732j -0.040692-0.0187016j 0.0198751-0.0108182j -0.0564621-0.0875804j -0.0387575-0.0346684j -0.0906855-0.0688482j 0.0550585-0.101634j 0.0271938+0.0670849j 0.0791874-0.114904j -0.00941636+0.0554299j 0.00794644-0.123046j -0.0111269-0.0116248j 0.0662649-0.0208095j 0.0474753-0.0613975j 0.0295637-0.0581323j -0.0139621+0.0502739j -0.026003-0.0197254j -0.0114381+0.00115617j -0.0327554+0.0750428j -0.0858962+0.0407149j 0.115858-0.0310919j 0.0189453+0.00478766j 0.0398172+0.0279383j -0.0692658+0.154715j 0.15267+0.100296j -0.000307325-0.0792139j -0.113876+0.0352506j -0.136416+0.0948499j -0.0956506-0.158635j 0.110806-0.0945273j -0.0992204-0.166164j 0.20469-0.0319793j -0.0232643-0.0943094j -0.0419904-0.150413j -0.210765+0.167834j 0.166776+0.163806j 0.140408-0.116476j 0.106948+0.128799j 0.0718758+0.0157792j 0.0160749-0.0708233j 
0.0793331-0.0489366j -0.0469634-0.0762976j 0.046237-0.0661061j -0.0713694-0.0512473j -0.0103141+0.00604275j 0.00738719+0.0290876j -0.0345652+0.0176262j -0.0205912-0.027677j -0.00898268+0.0129936j -0.010314+0.00806523j -0.0138164+0.0134147j 0.00169465-0.00137427j 0.00108701-0.000280594j 0.00206126+0.0106537j 0.00415627-0.0077223j -0.0141727+0.00702268j -0.00650481-0.0202491j 0.00555553+0.000282978j -0.0164103+0.00136369j -0.0121164+0.000528605j 0.0105249+0.0238655j 0.00564279-0.0177316j -0.0100217-0.00993323j 0.0103687+0.0122498j -0.0101485-0.0102107j -0.000788288-0.00575347j -0.0100772-0.0162381j 0.0240337-0.0128725j -0.0104459-0.000761442j 0.00518102-0.0022947j 0.012642+0.00285116j 0.00149965+0.0103957j 0.0166968-0.0173244j -0.00098506-0.0110969j -0.00297745-0.00292468j 0.00286686+0.00621035j 0.0128138-0.00770666j 0.00611424+0.0157506j 0.0245188-0.00762965j 0.00618521-0.0145386j 0.0277209+0.0169964j -0.0124791+0.0245613j -0.0552399-0.0243767j -0.0200581+0.0481961j 0.0441387-0.0222995j -0.0218903-0.0486284j -0.0247001+0.0218096j 0.0160714+0.00940455j 0.0287776+0.0183858j 0.0119465-0.0719607j -0.0515817+0.0224132j -0.0339192-0.0229573j -0.024479+0.0624783j 0.0869019+0.0394699j 0.0654981+0.0778213j -0.0285544-0.0158482j -0.0178559-0.0115477j -0.0124916+0.0543305j 0.031238-0.0796973j 0.0503762+0.010553j -0.0680193+0.0131604j 0.0557682-0.107637j 0.0479165+0.026589j -0.0407491+0.00458581j -0.000701084+0.0120475j 0.0336753-0.0568794j -0.0377541-0.0218168j -0.0471553-0.0339802j -0.0337024-0.00572339j 0.0680603-0.0107434j -0.00933888-0.0275613j 0.0650979-0.0015836j -0.0256832+0.0211859j -0.0934075-0.0280445j -0.0091113+0.080464j -0.0650343-0.0888938j 0.0215425-0.000966536j 0.00406232-0.00643544j 0.00183244-0.0731038j 0.00431603+0.0251453j -0.0683901+0.0160023j 0.0369524-0.0568922j 0.0129299+0.0673292j 0.024839-0.0217799j -0.0514828+0.0227451j -0.0220968-0.00397648j 0.023092-0.057288j -0.0372319+0.00316885j 0.0142565-0.00453023j 0.0946557-0.0155635j -0.0476662-0.0584636j -0.0117779-0.0076721j 0.0294819+0.0330038j 0.0360055-0.0459312j -0.0324627+0.120185j -0.112791-0.0195748j 0.0903392-0.0503326j -0.0545814-0.0927663j 
-0.0150213+0.0540147j 0.0547895+0.0132911j -0.0525035+0.00686872j 0.00721682+0.0533083j -0.0299169-0.0104029j -0.0050611+0.0331517j -0.00734101+0.000530253j 0.000536421+0.0286193j 0.0223769-0.00735799j 0.000349122-0.00324589j 0.00373839+0.017802j -0.0105035-0.00541679j 0.0182762+0.00501267j 0.00547349-0.000223495j 0.00136033+0.0127861j -0.00273894-0.0121836j 0.0182945-0.000443831j -0.00570896+0.000229047j 0.00312092-0.00490949j -0.000813618-0.00879392j -0.00948852-0.00117559j 0.00717807+0.0116891j 0.00667116-0.00145545j -0.0101626+0.00742647j 0.00905376-0.000324868j -0.00936731-0.00155874j 0.00258932+0.00279408j 0.00292844+0.0119143j 0.00903-0.00713663j 0.00508704+0.0127427j 0.00231909+0.00577346j -0.00976455-0.00554616j -0.00331646+0.00847391j 0.00530662+0.0133216j 0.00966331-0.0122151j 0.00374222+0.00249614j 0.00818322-0.00880183j -0.004862-0.0176532j -0.00878498+0.00737194j -0.00953819-0.00686412j -0.0164525-0.0339137j 0.032613-0.0199393j 0.00864928+0.0209665j 0.0165691-0.0123006j 0.00218441-0.0214654j -0.0163273-0.000754814j -0.0166392-0.0251288j -0.0377178+0.0363762j 0.0445509-0.0125434j -0.04264-0.00271419j 0.0667494+0.0278398j -0.0186504-0.0107077j 0.00618388-0.0109938j 0.0239069-0.0505965j -0.0122795+0.0326105j -0.0576348-0.034007j -0.0100444+0.0773942j 0.0343399+0.00416684j 0.0438322-0.000383962j -0.0219993-0.00957459j 0.0216955+0.0042869j 0.0140873+0.0347834j 0.0163551+0.0173172j -0.0148624+0.00216226j 0.0463676-0.0522194j 0.0104398+0.0512395j 0.0615778-0.0192497j 0.00589456-0.0151332j 0.0467465+0.0176187j -0.0409328-0.0147045j 0.00294074-0.03791j -0.0322496+0.00695156j 0.026901-0.0101926j 0.0141561-0.0429997j -0.042911-0.0185598j 0.00870744-0.0310654j 0.0349822+0.00397484j -0.0464321+0.00746248j 0.030037+0.0842504j -0.0202919-0.00277002j 0.0364708+0.00730185j 0.0476103+0.0421562j -0.00438495-0.00378579j -0.0167934-0.0339738j 0.0351746-0.0414803j -0.0657798+0.0670882j -0.0369595+0.00597402j 0.0217193+0.0661609j 0.0360973-0.0102145j -0.0245706-0.0338908j -0.00597854+0.0564982j -0.0528283+0.0111738j 0.0177781+0.0439498j 0.0084065-0.0104617j 0.0593557-0.013445j 0.0168462+0.052487j -0.00515951+0.0634477j 0.0640236+0.00806657j 
-0.00884831+0.00213713j 0.00371629+0.00903117j -0.00465613-0.00121262j -0.00355941+0.00435714j -0.00686944-0.00201634j -0.00455002+0.00919354j -0.000911381-0.00440361j 0.00185883+0.007468j 0.00406532+0.00232094j 0.000899826-0.0162711j 0.00265909-0.00208569j -0.00553576+0.019983j -0.00414993+0.00579011j -0.00670937+0.00190224j 0.00516422-0.00141737j -0.00582087+0.00510091j 0.00173172-0.00695546j 0.0172064+0.0101386j 0.00216336+0.0050898j 0.00672581+0.00290846j 0.00406809+0.00233413j 0.00654044-0.000747622j 0.00176384-0.00750354j -0.00388141-0.000564349j -0.0057859+0.000790702j -0.00307029+0.000720578j 0.0025213+0.000150586j 0.00804599-0.00323391j -0.00121134+0.0045682j 0.00350722+0.00486664j -0.00218912-0.00574116j 0.00401131+0.00516759j 0.00525031+0.00436007j 0.000313753+0.00790229j -0.00275135+0.00587945j -0.00208688+0.0074613j 0.0012297-0.0105766j 0.00159626-0.00083169j 0.00902061+0.00200491j -0.0137537-0.00748208j 0.00767288-0.00681382j 0.0092305+0.00178105j -0.0203478-0.011911j -0.00588895+0.0188371j 0.010253-0.0024064j -0.00215845-0.00949994j 0.00763133-0.00332318j -0.00532155-0.00687344j 0.0135763+0.00554349j -0.000239704-0.0166358j 0.0101511+0.014428j -0.0124323-0.0272236j -0.00747096+0.0422366j -0.037502+0.00932208j 0.0172297-0.0342614j 0.044915+0.00882348j -0.011872+0.00377717j -0.030539-0.0100874j -0.00597345+0.00992206j 0.0135228+0.018738j 0.0116527-0.0101503j 0.00236924-0.00854972j 0.00205364-0.0175452j -0.0165652-0.00208367j -0.0131034-0.000891938j 0.000275115+0.021028j 0.0014175-0.0101812j -0.00329311+0.0213849j 0.015405-0.0186999j 0.00477217+0.0133879j -0.0101528+0.0111378j 0.00787579-0.0138931j 0.00116851-0.0287024j -9.66559e-06+0.0206772j 0.00992434-0.0061973j 0.00138079+0.00539517j -0.00567275+0.00114211j -0.0126803+0.0109571j 0.00559748+0.00711768j 0.0417376+0.018867j 0.0202208+0.00508976j -0.0118804-0.0035355j 0.0116755+0.00521303j -0.013174+0.00302756j -0.0278883+0.0113838j -0.0212348+0.0257443j -0.0232518-0.019499j 0.00742986+0.00124792j 0.0234602-0.00139753j 0.00288192+0.0266943j -0.00305431-0.00208477j 0.00294654-0.00120743j 0.00722525+0.0119112j 0.0165121-0.0189878j -0.0333784+0.00109653j -0.00224252-0.0316521j -0.0064162-0.0073172j -0.00795526+0.00700923j 
0.00663649-0.00748747j -0.0077307-0.0063728j 0.0145019-0.0242953j -0.0210146-0.0163833j -0.00871638-0.0137655j -0.00250581+0.0172486j -0.0185512+0.0141624j -0.0182421-0.00488436j -0.000489047+0.00343271j 0.00456771+0.000841628j 0.00285796+0.0113299j -0.026317-0.00804824j -0.014402-0.0128952j 0.00254351+0.00790933j 0.00237636-0.00644163j 0.00907687+0.00898144j -0.0245463-0.00179657j -0.00754882-0.000178207j -0.00215485+0.0152013j 0.00357373+0.0150381j 0.0231397-0.000860188j -0.0025581-0.00398959j -0.0096642+0.0126409j 0.00780727+0.000166703j -0.00588254+0.0116432j -0.00514911+0.0142851j -0.00540712+0.0168175j -0.000950284-0.0162663j 0.00923648+0.00191949j 0.000854933+0.00144779j 0.00951316+0.00202773j 0.00933388-0.00136929j -0.00872336-0.00118317j -0.00536979-0.00356354j 0.000727945+0.00772264j 0.00354057-0.0140577j -0.000312871+0.00182979j 0.00669532-0.00140698j 4.42299e-05-0.00657012j 0.0092466-0.0252325j -0.00156063+0.0102272j -0.00890325+0.00247504j 0.00149193+0.0230779j 0.020181-0.00279486j 0.0183086-0.00198868j -0.00597364-0.0157982j 0.00508852+0.00118599j -0.00663851-0.0123491j -0.00180043+0.0104837j 0.00347238-0.000154867j 0.00807662+0.00909114j -0.00633271-0.00909448j 0.00632314+0.0108703j -0.000564638+0.00188479j 0.00362009-0.0117336j 0.00756894-0.00789268j -0.0107601+0.0104991j -0.00718925-0.00102449j -0.00170851+0.00290918j 0.00449453+0.00656866j 0.000127795-0.006757j 0.00447365-0.00964017j 0.0133438+0.00751692j -0.000776349+0.00016244j -0.000912968-0.00158383j 0.00780293+0.010073j 0.00736748-0.00464613j -0.00341094-0.000624023j 0.00642587-0.00312531j 0.00528908+0.00346418j 0.00377769-0.00271757j 0.00465841+0.000153889j -0.00251834-0.0139461j 0.00189986-0.00662245j -0.00393297-0.000752919j 0.00262451-0.00736643j 0.00431818-0.00867356j -0.0106185+0.00132644j 0.00949928+0.00169936j 0.00926352+0.00798088j 0.0109249-0.0026318j 0.0103702-0.00135409j -0.000604192+0.00774063j -0.0100141-0.00575738j -0.0129993+0.000876205j -0.0107382+0.0162861j -0.00831809-0.00490886j 0.00482154+0.00414639j 0.0148923-0.0096536j 0.0143839+0.00792335j 0.00140383+0.00599666j -0.00601591+0.00225786j 0.00685461+0.000228375j -0.00794268-0.00588008j -0.0211754+0.0017641j 0.00115767-0.0215484j 0.00901336-0.0106126j -0.00995089-0.00912982j 
0.00551001+0.00615204j 0.00677771-0.00510241j -0.00933825+0.00879969j 0.00650835+0.00564243j -0.0150427+0.00463854j 0.00504816+0.0100913j 0.00263174-0.000274842j 0.00420596+0.00547155j -0.00590837+0.010291j 0.0152081-0.0145983j -0.00745278+0.0111958j -0.0298083+0.00626116j -0.01207-0.00439633j 0.00163032-0.00156099j 0.00286554-0.00224414j -0.0151303-0.00523206j -0.00251832-0.0187754j 0.00329089+0.0261095j -0.00978282+0.00206262j -0.00163307+0.00513758j 0.00655046+0.00994563j 0.00933121-0.00491576j -0.00495073+0.000766521j 0.00253295+0.00638597j -0.00546924+0.00382913j -0.0164087+0.00747023j 0.000676735+0.00748069j 0.0168719-0.0138963j -0.00216114-0.00385345j 0.010871+0.00251263j 0.00354704-0.00511522j 0.00601215+0.0152156j 0.00715601+0.000364058j 0.0106324+0.0127599j 0.00106483-0.00159012j -0.00348687-0.000681682j 0.00558032-0.0188223j -0.0122829-0.00826404j 0.00503034+0.00878484j -0.0235993-0.0167485j 0.00274203-0.0020053j 0.00649201+0.00190646j -0.00128145-0.0029779j 0.00125341+0.00236785j -0.00214936+0.0175997j 0.0188572+0.000526918j -0.0048858+0.00382668j 0.0181402+0.0073815j -0.00245286-0.0240989j -0.0145317+0.003366j -0.00721637-0.00438493j 0.00160982+0.019429j 0.00723675-0.0156543j 0.0182542+0.00624423j -0.00701942+0.0210377j -0.0116035-0.00212126j 0.0105464-0.00805714j 0.0148462+0.00912433j 0.0065975-0.00727122j -0.00416714-0.0163007j -0.00048264+0.00651549j -0.0041757+0.00441006j -0.0146592+0.00697694j 0.00350604+0.00367415j 0.0105109+0.00277681j -0.00210204-0.0109424j -0.00351501+0.00521651j 0.00613808-0.00222005j -0.0141381+0.00250401j 0.00293589-0.0116629j 0.00440048-0.000119778j -0.00674009+0.00506986j 0.0015606+0.0190565j -0.000524786-0.00300054j -0.00339114-0.000150975j -0.00409252+0.00189016j 0.00360423+0.00261689j 0.0162503-0.00604748j -0.00453121-0.00656076j -0.0151471-0.0173878j -0.013473+0.00547288j 0.000792755+0.00854948j -0.00343533-0.00424226j 0.0183726+0.00630954j 0.0121703-0.0115206j 0.00550828-0.0143108j 0.00842056+0.00696501j -0.00811548-0.002387j -0.0156085+0.00874947j -0.00707258-0.0162872j 0.00216832-0.0086777j 0.00324732+0.00409434j -0.00796016+0.00296333j 0.00828918+0.0162407j 0.0177416+0.00776393j -0.00874482+0.0158144j 0.00492513+0.00903178j 0.00852502-0.00532538j 
-0.00371363+0.000268757j 0.000167224+0.00343541j 0.0131728+0.00124423j 0.00266086-0.0106308j 0.0155944-0.00936244j -0.00770359-0.0193816j 0.00789891+0.000495403j -0.00996173-0.00329018j 0.00380723+0.00700292j -0.00402485+0.000747694j 0.0109634+0.0186986j -0.00889456+0.0119299j -0.000481386-0.00481653j 0.00989514-0.00549811j -0.00994905+0.00106564j -0.00994662+0.00168353j 7.73477e-05-0.00507886j 0.00603447+0.0024645j -0.00908843+0.00249669j 0.00559372-0.000141804j -0.00095901-0.00167999j 0.0054289+0.00462386j 0.00176683+0.0130978j -0.00535894+0.000373814j -0.00244785-0.00581904j -0.0083684-0.00132773j -0.00523166+0.00473759j -0.00832801+0.00339326j -0.00242892-0.000214855j -0.00187274+0.00533583j 0.000661059+0.00444723j -0.0025204-0.00233616j 0.00104921-0.0027641j -0.00051959+0.014664j 0.0190982-0.00227068j 0.00164225-0.0179058j -0.0187395+0.000172244j -0.00810352+0.00706461j -0.00196835+0.0011691j 0.000843799+0.0138537j 0.0110323+0.00915791j -0.011203+0.0102233j 0.0089986+0.0113637j 0.00935364-0.0098881j -0.0155344-0.00229521j -0.00475161+0.0217704j 0.0253847+0.0116719j 0.0188952-0.0166745j 0.0162498-0.0285645j -0.0215867-0.029726j -0.0114515-0.00215104j -0.0262629-0.0203955j -0.0272285+0.0164348j 0.00270669-0.0021117j -0.00123191+0.0274735j -0.000911555-0.00272796j 0.00199299+0.0050761j -0.0190373+0.00632146j 0.0132879+0.0183833j -0.00114781+0.0135557j -0.00258391-0.00217029j -0.00620593-0.00149178j -0.00129092-0.00437475j -0.00465819-0.011063j 0.000941734-0.0174325j -0.00916647+0.0048139j -0.00538699-0.0193064j 0.0235648-0.00335957j 0.014661-0.0151603j 0.00806231+0.00436196j -0.000521361+0.00353456j -0.000662148-0.0104275j 0.0183671-0.000972901j -0.0139532+0.0123449j -0.0148697+5.87876e-05j 0.00602127+0.0142424j -0.00533577+0.00807508j -0.0195426+2.88176e-05j 0.012105+0.0113344j 0.00893543+0.000518404j 0.00715204-0.00464302j -0.0240174+0.00568652j 0.0108542+0.0197495j -0.00683223-0.00182597j -0.00307659+0.0294314j 0.00557656-0.0162205j 0.00633163+0.0164393j -0.0276166-0.000313808j -0.00600589+0.00221154j 0.0144998+0.00209618j 0.0240867-0.00817693j -0.0171633+0.0409861j 0.0392344+0.0314257j 0.0231699-0.019094j 0.00573075+4.06405e-05j -0.00099021+0.00522014j -0.00486251-0.00113785j -0.00101673+0.00507286j 
